"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2007-04-20",75.66,77.24,74.03,75.23,16289000,68.51
"2007-04-23",75.36,76.5,74.32,74.55,10639300,67.89
"2007-04-24",74.05,74.98,73.5,74.8,8447800,68.12
"2007-04-25",75.02,76.64,74.72,75.87,9815800,69.09
"2007-04-26",75.82,76.02,74.88,75.54,6844100,68.79
"2007-04-27",75.47,76.82,74.69,75.64,6965800,68.88
"2007-04-30",76,76.1,73.62,73.83,9997700,67.23
"2007-05-01",73.89,74.55,72.31,73.83,9415600,67.23
"2007-05-02",74.15,74.87,73.22,73.96,9375000,67.35
"2007-05-03",73.89,75.09,73.69,74.77,8028000,68.09
"2007-05-04",74.85,76,74.17,74.61,8948500,67.94
"2007-05-07",74.5,75.2,74.11,75,6109500,68.3
"2007-05-08",74.84,74.97,73.55,74.63,6830700,67.96
"2007-05-09",74.24,74.8,73.07,74.35,8084900,67.71
"2007-05-10",74.41,74.89,72.81,72.92,5625800,66.4
"2007-05-11",73.22,74.57,72.64,74.38,6951600,67.73
"2007-05-14",74.35,75.45,74.35,74.74,5804200,68.06
"2007-05-15",74.5,76.87,74.26,75.51,8311700,68.76
"2007-05-16",75.52,76.56,74.76,76.5,7575800,69.66
"2007-05-17",76.25,79.18,76.2,78.71,11048800,71.68
"2007-05-18",78.98,79.65,78.49,79.4,9672200,72.3
"2007-05-21",79.77,81,79.05,80.14,9980400,72.98
"2007-05-22",80.14,80.73,78.71,79.11,7443700,72.04
"2007-05-23",79.3,81.83,79.11,80.6,9079100,73.4
"2007-05-24",80.42,81.21,78.28,78.85,8610500,71.8
"2007-05-25",79.54,79.9,78.32,79.24,5577000,72.16
"2007-05-29",78.86,79.17,77.42,77.88,7276000,70.92
"2007-05-30",77.49,79.91,77.49,79.91,6798700,72.77
"2007-05-31",79.5,80.29,77.74,77.87,11261000,70.91
"2007-06-01",78.46,79.31,77.71,78.19,8220300,71.2
"2007-06-04",77.62,80.4,77.51,80.06,7165400,73.07
"2007-06-05",79.56,80.22,78.63,79.2,7336700,72.28
"2007-06-06",79.21,80.44,78.95,79.78,9354900,72.81
"2007-06-07",79.38,80.31,77.78,77.78,8180300,70.99
"2007-06-08",77.64,79,77.45,78.76,8746200,71.88
"2007-06-11",78.26,81.12,78.26,80.18,7166300,73.18
"2007-06-12",79.72,81.01,78.65,78.74,7404000,71.86
"2007-06-13",79.46,82.19,78.88,81.96,8762300,74.8
"2007-06-14",82.03,84.46,82.03,84.23,7370300,76.87
"2007-06-15",84.94,85.35,84.48,84.6,9580200,77.21
"2007-06-18",84.36,85.67,83.63,85.45,7501600,77.99
"2007-06-19",85.45,86.67,84.85,85.77,7980200,78.28
"2007-06-20",85.05,85.51,83.42,84.76,11527800,77.36
"2007-06-21",85.41,86.17,84.39,85.76,9602900,78.27
"2007-06-22",86,89.2,85.5,89.2,55743800,81.41
"2007-06-25",88.23,88.48,86.66,87.16,19532200,79.55
"2007-06-26",87.08,87.55,85.87,86.29,12607900,78.76
"2007-06-27",85.67,87.36,85.06,86.97,13202500,79.38
"2007-06-28",87.42,87.83,85.23,85.55,9784000,78.08
"2007-06-29",85.97,87.31,84.41,84.94,11807100,77.52
"2007-07-02",85.41,86.74,84.41,86.74,8958500,79.17
"2007-07-03",87,88.34,86.99,87.89,3714900,80.22
"2007-07-05",87.28,89,87.11,87.98,6607200,80.3
"2007-07-06",88.48,89.17,87.79,88.33,7103100,80.62
"2007-07-09",87.76,88.72,87.4,88.34,6841500,80.63
"2007-07-10",87.95,88.57,86.85,87.27,9347600,79.65
"2007-07-11",86.77,87.86,86.11,87,9113200,79.4
"2007-07-12",87.95,88.58,87,88.51,8722100,80.78
"2007-07-13",88.34,90.24,87.55,89.64,8540000,81.81
"2007-07-16",90.01,91.25,89.3,90.54,8714200,82.63
"2007-07-17",90.5,91.79,88.82,89.87,9261400,82.02
"2007-07-18",89.52,91.45,88.53,91.2,9717900,83.24
"2007-07-19",91.98,93.6,91.8,93.45,10932000,85.29
"2007-07-20",95.46,97.68,94.89,96.68,18167700,88.24
"2007-07-23",98.59,98.6,96.03,96.32,10359700,87.91
"2007-07-24",96,96.74,94.5,94.8,9720000,86.52
"2007-07-25",95.29,97.29,93.41,96.91,10292800,88.45
"2007-07-26",95.99,97.66,93.19,94.64,12893000,86.38
"2007-07-27",94.74,97.12,92.82,93.02,15021600,84.9
"2007-07-30",93.98,95.61,92.18,95.35,10050000,87.02
"2007-07-31",95.9,97.66,94.53,94.72,9918300,86.45
"2007-08-01",94.34,99.4,91.82,94.62,12652800,86.36
"2007-08-02",94.71,95.5,91.42,92,14045800,83.97
"2007-08-03",92,92.9,87.5,87.74,12609700,80.08
"2007-08-06",87.75,88.97,85.27,87.25,14800400,79.63
"2007-08-07",86.57,89.54,86.32,88.76,14791200,81.01
"2007-08-08",89.4,94,88.22,93.72,15914900,85.54
"2007-08-09",91.8,94.65,90.86,92.2,11952300,84.15
"2007-08-10",89.99,93.12,88.5,92.1,10545700,84.06
"2007-08-13",92.76,93.22,89.44,90.68,7018300,82.76
"2007-08-14",91.42,91.75,88.98,89.17,7292600,81.38
"2007-08-15",89.41,90.45,86.67,87.24,10168800,79.62
"2007-08-16",85.54,86.95,81.26,85.84,17268400,78.34
"2007-08-17",88,91.26,87.01,88.56,13075300,80.83
"2007-08-20",88.43,90.96,87.4,90.7,7845400,82.78
"2007-08-21",89.3,90.99,88.77,89.25,6606700,81.46
"2007-08-22",90.33,91.35,89.58,91.04,6715900,83.09
"2007-08-23",91.31,92.99,90.96,92.42,6445000,84.35
"2007-08-24",92.98,94.99,92.75,94.23,6692100,86
"2007-08-27",93.92,94,92.03,93.14,4375300,85.01
"2007-08-28",93.09,93.79,90.9,91.31,6855500,83.34
"2007-08-29",92.38,96.41,91.68,95.72,8313300,87.36
"2007-08-30",94.75,95.79,94.27,95,6474700,86.7
"2007-08-31",96.68,97.69,95.85,96.5,6249100,88.24
"2007-09-04",96.19,101.2,96.19,100.14,9103400,91.56
"2007-09-05",99.64,100.12,98.08,99.11,8375300,90.62
"2007-09-06",100.07,100.48,96.89,97.61,11301600,89.25
"2007-09-07",96.48,98.11,95.25,97.47,7660500,89.12
"2007-09-10",97.74,99.75,95.31,99.03,9251800,90.55
"2007-09-11",99.06,100.49,97.65,100.18,10234900,91.6
"2007-09-12",100.05,100.97,99.11,99.82,9977900,91.27
"2007-09-13",99.99,101,99.09,100.55,6545500,91.94
"2007-09-14",99.76,100.57,99.4,100.37,5880200,91.77
"2007-09-17",99.99,101.86,99.45,99.63,5695300,91.1
"2007-09-18",100.49,105.07,99.21,104.79,11482900,95.82
"2007-09-19",105.48,107.81,104.7,106.97,9241000,97.81
"2007-09-20",106.64,108.08,105.42,107.27,7044200,98.08
"2007-09-21",108.75,108.75,106.2,106.2,12232600,97.11
"2007-09-24",106.24,106.5,103.75,104.92,7877900,95.94
"2007-09-25",103.27,105,102.6,104.62,7477300,95.66
"2007-09-26",104.94,105.47,100.73,103,10745800,94.18
"2007-09-27",103.79,105.74,103.79,105.03,6957100,96.04
"2007-09-28",105.85,107.21,104.51,105,7144800,96.01
"2007-10-01",105,107.04,104.06,106.59,7306800,97.46
"2007-10-02",105.52,107.11,103.99,106.47,7740200,97.35
"2007-10-03",105.81,106.25,104.71,105.76,6443400,96.7
"2007-10-04",105.49,106.71,104.01,106.19,6393700,97.1
"2007-10-05",106.36,106.43,104.35,104.93,6583900,95.94
"2007-10-08",104.25,104.43,103.16,103.95,4822300,95.05
"2007-10-09",104.81,105,102.89,104.63,7698400,95.67
"2007-10-10",103.47,108.87,103.35,108.26,11740400,98.99
"2007-10-11",109.1,111.24,106.66,108.58,10479500,99.28
"2007-10-12",109.2,110.31,108.19,109.84,5408600,100.43
"2007-10-15",111.68,114.84,110.77,111.39,8366800,101.85
"2007-10-16",111.5,113.41,111.22,112.09,9004100,102.49
"2007-10-17",112.7,112.86,109.65,111.03,8270500,101.52
"2007-10-18",110.46,111.87,109.68,111.62,7668400,102.06
"2007-10-19",105,105.48,98,99.32,38174400,90.81
"2007-10-22",97.64,97.8,94.77,95.34,24007900,87.18
"2007-10-23",97.3,100.06,96.05,99.92,14655900,91.36
"2007-10-24",99.65,101.56,98.57,100.86,12744100,92.22
"2007-10-25",101.3,101.99,97.87,98.1,15077200,89.7
"2007-10-26",99.53,100.75,98.81,99.51,7978200,90.99
"2007-10-29",100.32,101.45,99.08,99.79,5794700,91.24
"2007-10-30",99.02,99.74,95.64,95.99,9194400,87.77
"2007-10-31",96.61,97.07,94.52,96.57,15816800,88.3
"2007-11-01",95.69,99.47,94.98,96.15,13658700,87.92
"2007-11-02",97.45,99.55,96.88,98.82,9610100,90.36
"2007-11-05",97.6,99.47,96.58,97.68,8061800,89.32
"2007-11-06",98.23,98.98,97.68,98.15,8897400,89.74
"2007-11-07",98.24,98.76,94.74,94.76,9913300,86.65
"2007-11-08",95.22,97.28,93.43,96.33,11347000,88.08
"2007-11-09",95.25,97.14,94.34,94.76,7754100,86.65
"2007-11-12",94.5,94.5,90.56,91.04,10868200,83.24
"2007-11-13",91.17,94.18,91,92.94,10637100,84.98
"2007-11-14",93.69,94.31,92.03,93.29,9658300,85.3
"2007-11-15",92.73,93.76,90.12,90.84,8036600,83.06
"2007-11-16",91.9,93.48,90.74,93.46,8596600,85.46
"2007-11-19",93.1,93.8,90.77,91.52,6135900,83.68
"2007-11-20",91.77,94.18,91.31,93.26,9089700,85.27
"2007-11-21",92.68,94.48,91.07,91.78,8195300,83.92
"2007-11-23",92.2,94.58,91.4,94.11,3033900,86.05
"2007-11-26",93.93,94.96,90.48,90.56,6951700,82.8
"2007-11-27",89.35,90.67,87.42,89.17,10845300,81.53
"2007-11-28",89.7,91.39,89.5,90.63,9287600,82.87
"2007-11-29",90.52,92.98,90.51,92.16,6891700,84.27
"2007-11-30",93.42,94.17,92.21,93.45,9760100,85.45
"2007-12-03",92.68,94.29,91.75,93.84,6798000,85.96
"2007-12-04",93.47,94.3,92.15,93.84,8229400,85.96
"2007-12-05",94.86,97.38,94.52,95.8,9385200,87.76
"2007-12-06",95.77,99.25,95.36,98.89,6532900,90.59
"2007-12-07",98,99.09,96.79,97.19,5813400,89.03
"2007-12-10",97.27,99.05,97.27,98.45,5090500,90.19
"2007-12-11",98.4,99.49,94.98,95.5,6373700,87.49
"2007-12-12",97.71,99.58,96.22,97.65,9782000,89.46
"2007-12-13",97.2,97.97,94.72,96.62,6842600,88.51
"2007-12-14",95.68,95.99,94.43,94.57,6158900,86.63
"2007-12-17",93.74,93.75,88.3,90.28,12581100,82.7
"2007-12-18",91.12,91.69,89.04,90.39,7041200,82.8
"2007-12-19",91.69,94.4,91.1,91.11,9684100,83.46
"2007-12-20",91.87,92.42,89.91,90.78,7830600,83.16
"2007-12-21",91,94.78,91,94.64,10431600,86.7
"2007-12-24",94.62,96.1,93.84,95.83,2205300,87.79
"2007-12-26",95.87,99.17,95.87,98.55,5696200,90.28
"2007-12-27",98.5,99,97.26,97.35,5139300,89.18
"2007-12-28",98.17,99.74,98.17,98.8,4536200,90.51
"2007-12-31",98.38,99.05,98.07,98.37,4525500,90.11
"2008-01-02",99.44,102.52,98.81,100.58,9177800,92.14
"2008-01-03",100.7,102.71,99.88,102.31,8587500,93.72
"2008-01-04",101.31,101.35,97.48,98,9891100,89.78
"2008-01-07",98.79,99.97,95.68,96.81,10334000,88.69
"2008-01-08",97.93,100.31,96.44,96.71,10650100,88.59
"2008-01-09",97.35,99,96.06,98.61,8010400,90.33
"2008-01-10",97.11,97.94,95.19,97.09,10320800,88.94
"2008-01-11",96.01,96.57,93.78,94.01,9877500,86.12
"2008-01-14",94.77,95.95,93.5,95.53,7813000,87.51
"2008-01-15",93,93.05,88.79,88.93,15830600,81.47
"2008-01-16",87.98,88.5,83.27,85.9,22827300,78.69
"2008-01-17",86.89,88.37,81.49,82.51,18038400,75.59
"2008-01-18",78.39,80.25,72.3,79.52,57291400,72.85
"2008-01-22",74.43,79.22,74.43,77.09,21785100,70.62
"2008-01-23",74.98,80.44,72.68,80.34,18894200,73.6
"2008-01-24",80.82,83.49,79.04,80.32,15241600,73.58
"2008-01-25",82.39,82.71,76.46,77.7,14391800,71.18
"2008-01-28",77.65,79.95,76.5,79.23,9310400,72.58
"2008-01-29",79.76,79.91,77.89,78.69,10565400,72.09
"2008-01-30",78.2,79.12,75.55,75.75,14109000,69.39
"2008-01-31",74.03,75.96,73.2,75.4,25331800,69.07
"2008-02-01",76.11,78.5,75.72,78.28,12507200,71.71
"2008-02-04",78.3,79.97,77.28,79.09,8186200,72.45
"2008-02-05",77.86,77.93,76.75,76.93,18192600,70.47
"2008-02-06",77.6,77.76,74.73,74.86,13125700,68.58
"2008-02-07",74.59,77.13,73.54,75.76,11042200,69.4
"2008-02-08",76.99,77.98,75.78,77.37,10244300,70.88
"2008-02-11",77.5,80.78,76.94,80.49,9925100,73.74
"2008-02-12",82,83.82,80.77,81.49,11288100,74.65
"2008-02-13",82.86,85.65,82.34,84.89,10109500,77.77
"2008-02-14",85.48,86.43,83.98,84.11,7791900,77.05
"2008-02-15",83.62,84.81,82.23,84.08,9390900,77.22
"2008-02-19",86.2,87.84,85.61,86.72,10066700,79.64
"2008-02-20",86.14,86.88,85.48,86.06,8848600,79.04
"2008-02-21",86.25,86.73,83.56,83.91,9729000,77.06
"2008-02-22",84.42,85.63,82.23,85.45,6165500,78.47
"2008-02-25",85.33,87.8,85.22,87.54,7430800,80.39
"2008-02-26",87.29,89.38,86,89.1,7708800,81.83
"2008-02-27",88.74,89.11,87.59,88.25,7237700,81.05
"2008-02-28",87.78,90.36,87.5,89.69,8175600,82.37
"2008-02-29",88.91,89.19,85.93,86.45,8606300,79.39
"2008-03-03",86.41,89,85.23,86.98,9407100,79.88
"2008-03-04",86.34,87.17,82.67,84.55,10326600,77.65
"2008-03-05",85.01,88,85.01,87.85,10181800,80.68
"2008-03-06",87.6,89.5,87,87.66,10236200,80.5
"2008-03-07",87.1,87.7,84.22,85.61,8947600,78.62
"2008-03-10",85.66,85.95,82.51,82.8,10124500,76.04
"2008-03-11",84.36,86.61,84.36,86.61,10591000,79.54
"2008-03-12",86.63,87.49,84.11,84.34,10058500,77.46
"2008-03-13",83.15,85.76,81.82,85.16,9684500,78.21
"2008-03-14",85.68,85.68,81.84,83.9,10254200,77.05
"2008-03-17",81.74,82.8,79.88,81.23,11851700,74.6
"2008-03-18",83.08,84.37,81.86,84.37,9894900,77.48
"2008-03-19",83.04,84.25,79.89,80.17,10977800,73.63
"2008-03-20",79.04,82.04,78.95,80.64,12296700,74.06
"2008-03-24",80.81,82.78,80.45,81.27,7505000,74.64
"2008-03-25",81.46,83.34,81.36,82.64,9753900,75.89
"2008-03-26",82.88,86.76,82.26,86.52,10408300,79.46
"2008-03-27",86.41,87.73,85.32,85.38,8727900,78.41
"2008-03-28",85.63,86.96,84.18,85.66,6754800,78.67
"2008-03-31",85.6,88.67,85.48,87,9225900,79.9
"2008-04-01",87,89.24,85.72,89.24,8595200,81.96
"2008-04-02",89.15,91.36,88.02,90.8,8613000,83.39
"2008-04-03",90.43,92.5,89.16,91.3,7287900,83.85
"2008-04-04",91.62,92.89,90.42,91.37,6935500,83.91
"2008-04-07",92.56,95,90.5,90.58,13870600,83.19
"2008-04-08",90.28,92.19,89.05,89.62,10757300,82.3
"2008-04-09",89.85,91.29,88.5,90.18,11534600,82.82
"2008-04-10",90.37,93.18,90.37,92.6,11560700,85.04
"2008-04-11",92.23,92.59,90.5,90.61,7155200,83.21
"2008-04-14",90.76,91.59,89.93,91.19,7092900,83.75
"2008-04-15",91.59,92.3,90.11,91.13,7009600,83.69
"2008-04-16",91.99,95,90.89,94.8,9444900,87.06
"2008-04-17",94.8,95.3,92.64,95.3,8257400,87.52
"2008-04-18",93.25,101.91,92.68,101.85,24207000,93.54
"2008-04-21",102.3,107.22,102.21,106.91,14142100,98.18
"2008-04-22",105.5,106.33,104.02,105.91,10700300,97.26
"2008-04-23",105.41,106.48,103.79,104.87,10388400,96.31
"2008-04-24",103.9,103.9,100.52,101.94,8902600,93.62
"2008-04-25",102.65,103.59,100.52,102.74,6957800,94.35
"2008-04-28",103.26,103.79,101.47,102.36,5938800,94
"2008-04-29",101.31,101.42,98.74,99.26,7350800,91.16
"2008-04-30",100.23,101.95,99.02,100.55,9723500,92.34
"2008-05-01",98.89,99.51,95.81,98.35,10312600,90.32
"2008-05-02",99.1,100.51,98.17,99.63,7563100,91.5
"2008-05-05",100.25,102.66,100.14,101.56,5565100,93.27
"2008-05-06",101.1,104.2,101.1,103.58,6791500,95.12
"2008-05-07",104.2,104.5,102,102.01,7986800,93.68
"2008-05-08",102.61,105.75,102.07,105.56,7322000,96.94
"2008-05-09",105.26,105.95,103.3,105.01,6093200,96.44
"2008-05-12",104.44,104.44,101.65,103.45,7138100,95.01
"2008-05-13",103.6,105,101.09,104.9,7266800,96.34
"2008-05-14",104.3,104.99,102.82,103.06,8291000,94.65
"2008-05-15",104.36,104.7,100.01,103.45,10962000,95.01
"2008-05-16",104.83,105.75,103.85,105.31,9684300,96.71
"2008-05-19",105.67,107.97,104.26,106.63,7712500,97.93
"2008-05-20",107,107.52,104.85,105.92,8424400,97.27
"2008-05-21",105.85,108.53,103.9,104.26,9357300,95.75
"2008-05-22",104.58,104.58,101.93,102.47,9112600,94.11
"2008-05-23",103.32,103.51,99,100.03,8184500,91.86
"2008-05-27",99.5,101.89,98.07,101.03,7942200,92.78
"2008-05-28",100.07,103,98.85,102.89,6918200,94.49
"2008-05-29",102.35,102.91,100.56,100.99,7441300,92.75
"2008-05-30",101.14,102.54,100.67,101.13,8362100,92.87
"2008-06-02",100.54,101.95,99.05,100.26,6009400,92.27
"2008-06-03",99.67,101.22,98.79,98.98,8071200,91.09
"2008-06-04",98.51,100.98,98.48,99.15,8385300,91.25
"2008-06-05",99.37,105,99.37,104.99,7773900,96.62
"2008-06-06",105.67,108.58,101.84,101.94,13101500,93.81
"2008-06-09",102.66,105.4,101.8,104.81,7057600,96.45
"2008-06-10",104.27,104.9,101.09,102.34,7799800,94.18
"2008-06-11",102.72,103.13,100.1,101.3,6748100,93.22
"2008-06-12",100.02,100.43,98.21,98.82,9059000,90.94
"2008-06-13",98.5,100.67,98.26,99.69,5667500,91.74
"2008-06-16",100.44,101.82,100.01,100.87,5617500,92.83
"2008-06-17",100.1,103.87,100.01,103.47,6875900,95.22
"2008-06-18",103.3,105.59,103,104.92,9617400,96.56
"2008-06-19",106.16,107.83,104.69,104.83,11428300,96.47
"2008-06-20",105.88,106.4,103.67,104.1,8593100,95.8
"2008-06-23",104,108.49,103.7,108.42,10519800,99.78
"2008-06-24",107.79,110.11,106.32,106.76,10249200,98.25
"2008-06-25",107.37,107.6,102.13,105.22,10768200,96.83
"2008-06-26",105.33,107.19,102.75,105.01,8327300,96.64
"2008-06-27",105.33,107.33,104.83,105.9,8627100,97.46
"2008-06-30",106.27,108.65,106.27,107.43,8051500,98.87
"2008-07-01",107.14,110.15,105.7,109.86,11915100,101.1
"2008-07-02",110.36,111.95,103.23,103.36,11342400,95.12
"2008-07-03",104,104.89,100,101.88,8433400,93.76
"2008-07-07",100.96,101.99,98.25,99.51,9728400,91.58
"2008-07-08",98.7,98.78,94.19,96.19,14244300,88.52
"2008-07-09",98.05,100.86,96.99,97.23,12030800,89.48
"2008-07-10",97.44,99.41,94.68,99.23,10766700,91.32
"2008-07-11",98.78,101.55,97.85,99.16,9137700,91.26
"2008-07-14",98.7,103,98.7,101.79,8544300,93.68
"2008-07-15",101.18,102.24,96.79,97.31,11359100,89.55
"2008-07-16",96.95,97.99,93.14,95.86,13275400,88.22
"2008-07-17",97.77,99.89,94.56,96.78,19265400,89.06
"2008-07-18",99.86,102.7,98.8,100.55,19957500,92.53
"2008-07-21",101.49,106.08,101.2,106.08,12308100,97.62
"2008-07-22",106.17,108,103.12,104.09,11349800,95.79
"2008-07-23",103.92,104.1,99.08,100.54,16185400,92.53
"2008-07-24",101,102.36,97.51,99.27,17255900,91.36
"2008-07-25",99.96,100.96,97.72,98.96,9898500,91.07
"2008-07-28",99,99.8,97.51,97.64,8029400,89.86
"2008-07-29",97.86,98.13,95.54,96.23,10652000,88.56
"2008-07-30",96.18,102.41,95.5,102.41,13150800,94.25
"2008-07-31",100.69,103,100.14,101.6,11811200,93.5
"2008-08-01",100.9,103.07,99.03,100.2,8657600,92.21
"2008-08-04",99.93,100,93.82,94.41,11627300,86.88
"2008-08-05",94.42,96.5,93.78,95.91,10407100,88.26
"2008-08-06",96.18,97.91,94.75,97.45,8535200,89.68
"2008-08-07",98,99.09,95.6,95.77,7660600,88.14
"2008-08-08",95.11,95.41,91.02,92.28,11414300,84.92
"2008-08-11",93.67,93.67,90.05,92.69,9763100,85.3
"2008-08-12",93.5,94.99,92.02,92.65,10076600,85.26
"2008-08-13",92.87,96.37,92.69,95.91,9984000,88.26
"2008-08-14",94.84,95.5,92.22,94.05,7929400,86.55
"2008-08-15",93.29,93.37,90.1,91.47,11430900,84.18
"2008-08-18",92.05,93,89.28,89.37,8870800,82.25
"2008-08-19",89,93.68,88.86,92.88,8571500,85.48
"2008-08-20",93.9,96.1,92.92,95.62,8891200,88
"2008-08-21",96.86,100,96.85,98.96,11120300,91.07
"2008-08-22",98.1,99.05,96.71,97.26,5937400,89.51
"2008-08-25",96.99,98.29,95.72,96.18,4987000,88.51
"2008-08-26",97.22,98.81,96.85,98,5324400,90.19
"2008-08-27",98.89,99.32,97.13,98.52,8770000,90.67
"2008-08-28",99.05,99.24,96.12,96.68,6871500,88.97
"2008-08-29",97.39,97.54,94.22,94.22,7504100,86.9
"2008-09-02",92.08,92.08,90.08,90.46,11913200,83.43
"2008-09-03",89.95,91.48,86.22,88.65,12478800,81.76
"2008-09-04",88.6,89.98,85.75,86.74,10907500,80
"2008-09-05",86.86,87.45,83.89,85.79,10966600,79.12
"2008-09-08",88.27,89,84.9,86.01,13473800,79.33
"2008-09-09",85.23,85.55,80.68,80.9,16508800,74.61
"2008-09-10",82,85.69,81.73,84.61,15809400,78.03
"2008-09-11",84.22,87.55,83.4,87.03,13031500,80.27
"2008-09-12",87.04,89.5,87.03,88.68,10643400,81.79
"2008-09-15",84.86,88.05,82.95,82.95,12541600,76.5
"2008-09-16",80,86.86,78.17,86.85,15430900,80.1
"2008-09-17",86.69,88.21,81.52,82.02,14184200,75.65
"2008-09-18",84.65,85.07,79.21,82.64,17480700,76.22
"2008-09-19",85.5,90.71,82.95,90.71,15728900,83.66
"2008-09-22",90.7,93.69,89.93,89.94,9530100,82.95
"2008-09-23",89.37,90.21,85.85,86.22,12190800,79.52
"2008-09-24",87.93,87.93,84.92,86.23,9526700,79.53
"2008-09-25",86.46,89.13,86.23,88.02,9099600,81.18
"2008-09-26",85.6,86.53,83.61,86.03,7683700,79.34
"2008-09-29",83.36,83.98,73.53,73.75,21839100,68.02
