"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2008-11-03",80.59,82.17,79.04,81.98,643500,67.12
"2008-11-04",83.11,87.11,81.56,87.11,908700,71.32
"2008-11-05",86.97,86.97,76.82,78.25,1851300,64.07
"2008-11-06",77.75,80.9,74.14,74.25,1795500,60.79
"2008-11-07",74.56,75.23,71.8,73.78,1149500,60.41
"2008-11-10",74.99,74.99,70.03,70.9,1394900,58.05
"2008-11-11",70.13,71.33,68.09,68.64,1056300,56.2
"2008-11-12",67.43,69.87,64.75,64.81,1189800,53.07
"2008-11-13",66.49,67.42,61.38,67.29,1742100,55.1
"2008-11-14",66,68.78,64.87,65.83,1081600,53.9
"2008-11-17",64.8,66.51,61.79,62.04,968900,50.8
"2008-11-18",61.4,63.68,57.59,61.1,1804500,50.03
"2008-11-19",61.13,61.87,56.06,56.14,1561100,45.97
"2008-11-20",56.15,60.9,54.9,55,2982400,45.03
"2008-11-21",56.29,58.54,52.2,58.21,2618900,47.66
"2008-11-24",59.52,63.2,58.19,62.9,2445100,51.5
"2008-11-25",63.21,66.09,61.8,64.38,1410400,52.71
"2008-11-26",63.23,65.09,61.56,65.09,723100,53.88
"2008-11-28",64,64.39,61.91,64.25,578700,53.19
"2008-12-01",62.85,62.85,56.17,56.23,1744100,46.55
"2008-12-02",56.67,60,55.81,59.84,1260400,49.53
"2008-12-03",57.95,62.45,56.9,62.25,993900,51.53
"2008-12-04",61.04,65.5,60.76,62.17,1161300,51.46
"2008-12-05",60.06,68.14,60.06,67.88,1505000,56.19
"2008-12-08",69.39,70.96,67.32,69.48,1341300,57.51
"2008-12-09",69.15,69.95,65.14,65.67,1003000,54.36
"2008-12-10",65.26,66.76,62.48,64.82,932000,53.66
"2008-12-11",64.11,64.59,58.81,58.95,1233000,48.8
"2008-12-12",57.25,59.98,56.38,59.07,1227500,48.9
"2008-12-15",60.38,60.38,55.8,57.2,881600,47.35
"2008-12-16",58.37,62.27,58.25,61.18,1829400,50.64
"2008-12-17",60,62.33,59.69,61.38,1014300,50.81
"2008-12-18",61.71,62.22,59.44,59.72,810200,49.44
"2008-12-19",59,59,55.32,55.96,3484600,46.32
"2008-12-22",56.77,56.78,54.57,55.25,1225900,45.74
"2008-12-23",55.55,56.03,52.84,53.9,932400,44.62
"2008-12-24",53.88,56.15,53.88,55.93,365800,46.3
"2008-12-26",56.45,57.31,54.75,55.39,512900,45.85
"2008-12-29",55.01,55.43,52.3,53.63,987900,44.39
"2008-12-30",53.49,55.47,53.26,55.22,795000,45.71
"2008-12-31",55.45,57.68,55.22,57.41,951900,47.52
"2009-01-02",58.74,59.08,55.6,57.32,1039500,47.45
"2009-01-05",55.88,56.12,53.8,53.96,1465100,44.67
"2009-01-06",53.53,54.41,51.78,53.34,2000500,44.15
"2009-01-07",52.2,52.22,49.24,49.6,2581500,41.06
"2009-01-08",50,50.25,48.23,49.3,1738100,40.81
"2009-01-09",48.9,49.74,47.44,48.1,1922800,39.82
"2009-01-12",48.39,48.39,44.92,45.46,1864200,37.63
"2009-01-13",44.82,48.27,44.82,47,2370100,38.91
"2009-01-14",45.1,46.13,44.33,45.18,1842000,37.4
"2009-01-15",44.73,44.75,40.56,42.59,3565000,35.26
"2009-01-16",43.48,44.3,38.5,39.93,3581600,33.05
"2009-01-20",38.3,39.16,35.29,35.6,3585800,29.47
"2009-01-21",37.1,38.24,34.88,37.9,3869100,31.37
"2009-01-22",39.41,40.6,33.52,36.24,5648200,30
"2009-01-23",34.81,38.07,33.98,37.38,3750400,30.94
"2009-01-26",37.64,38.73,36.09,36.7,3019000,30.38
"2009-01-27",37.4,38.17,36.5,37.81,1753200,31.3
"2009-01-28",40.05,43,40.05,42.13,3554000,34.87
"2009-01-29",41.08,42.04,39.9,39.98,1561600,33.09
"2009-01-30",40.48,41.31,38.7,38.91,2272200,32.21
"2009-02-02",38.35,39.35,37.84,38.94,2028200,32.23
"2009-02-03",39.46,39.47,36.6,37.23,1796500,30.82
"2009-02-04",37.96,39.43,37.18,38.25,1604300,31.66
"2009-02-05",37.92,39.53,35.98,38.27,2766000,31.68
"2009-02-06",38.87,41.47,38.69,41.1,3301200,34.02
"2009-02-09",40.64,43.23,40.37,41.43,1792700,34.3
"2009-02-10",39.84,41.43,37.71,37.89,3460800,31.36
"2009-02-11",39,39.5,37.08,38.12,2518200,31.56
"2009-02-12",37.66,39.44,36.35,38.57,3144600,31.93
"2009-02-13",38.04,38.96,36.78,36.91,1976400,30.55
"2009-02-17",36.45,36.5,34.9,35,2218200,28.97
"2009-02-18",35.93,36.26,34.3,36.03,2212600,29.83
"2009-02-19",36.3,36.64,32.89,33.3,2357500,27.57
"2009-02-20",32.8,36.46,31.9,35.1,4071500,29.06
"2009-02-23",35.58,37.13,34.19,35.32,2274700,29.24
"2009-02-24",35.35,38.95,33.86,38.95,3042800,32.24
"2009-02-25",38.09,39.88,35.77,38.43,2390800,32.39
"2009-02-26",39.57,42.46,38.58,39.75,2518600,33.51
"2009-02-27",37.9,39.39,36.23,36.6,2565200,30.85
"2009-03-02",35.96,36.71,34.15,34.95,2390100,29.46
"2009-03-03",35.38,36.64,32.84,33.69,2311400,28.4
"2009-03-04",34.33,34.89,32.3,33.52,2246100,28.26
"2009-03-05",32.8,33.19,29.53,30.5,2941900,25.71
"2009-03-06",31.23,32.1,29.11,31.85,2852900,26.85
"2009-03-09",31.42,34.13,31.07,32.33,2148300,27.25
"2009-03-10",33.51,35.78,33.34,35.78,2034300,30.16
"2009-03-11",36.87,37.75,34.89,35.66,1400000,30.06
