"","LO.Open","LO.High","LO.Low","LO.Close","LO.Volume","LO.Adjusted"
"2011-09-02",110.54,111.3,109.89,110.07,2889300,32.42
"2011-09-06",107.98,109.07,106.99,108.59,6221100,31.98
"2011-09-07",110.01,110.75,109.04,110.47,5332800,32.53
"2011-09-08",110.12,110.5,109.15,109.4,3860700,32.22
"2011-09-09",108.73,108.73,106.98,107.54,4977000,31.67
"2011-09-12",106.62,109.34,105.91,109.23,5456400,32.17
"2011-09-13",109.51,110.3,108.63,109.68,4303800,32.3
"2011-09-14",109.96,110.74,109.01,110.01,5196900,32.4
"2011-09-15",110.88,112.14,110.02,111.89,4793700,32.95
"2011-09-16",112.24,112.96,111.25,111.8,6859800,32.93
"2011-09-19",110.58,112.04,110.58,111.55,4764600,32.85
"2011-09-20",111.98,112.78,111.66,111.75,3902700,32.91
"2011-09-21",111.9,111.97,108.62,108.62,3809700,31.99
"2011-09-22",107.02,108.26,105.93,106.65,5012400,31.41
"2011-09-23",106.21,107.32,105.29,106,4657500,31.22
"2011-09-26",107.08,109.87,107.08,109.73,12833700,32.32
"2011-09-27",111.26,111.54,109.93,110.29,4058400,32.48
"2011-09-28",110.3,110.36,107.89,108.51,4419600,31.96
"2011-09-29",109.91,110.22,108.75,110.07,6089400,32.42
"2011-09-30",109.04,112.71,109.04,110.7,6298200,32.6
"2011-10-03",110.66,114.52,110.54,112.95,11281500,33.27
"2011-10-04",110.39,112.12,109,112.01,9600000,32.99
"2011-10-05",112.01,112.4,109.56,111.98,7382400,32.98
"2011-10-06",112.09,115.86,111.57,115.13,7936800,33.91
"2011-10-07",115.6,116.7,115.33,115.95,7970700,34.15
"2011-10-10",117.45,120,117.39,118.47,8982300,34.89
"2011-10-11",118.3,118.81,117.14,117.53,5737500,34.61
"2011-10-12",117.47,118.24,115.96,116.05,4906800,34.18
"2011-10-13",116,117.24,115.37,116.49,4525200,34.31
"2011-10-14",117.36,117.85,116.17,117.53,2852400,34.61
"2011-10-17",117.25,118.15,116.41,116.6,5592600,34.34
"2011-10-18",116.35,116.76,111.38,111.64,7447500,32.88
"2011-10-19",112.48,115.49,111.68,114,5429100,33.57
"2011-10-20",116.3,117.48,113.97,114.34,3913500,33.67
"2011-10-21",115.15,116.46,114.55,115.64,4912800,34.06
"2011-10-24",112,116.65,109.19,114.97,10242300,33.86
"2011-10-25",113.72,114.92,113.1,113.47,4313100,33.42
"2011-10-26",114.63,114.63,111.08,111.96,4532400,32.97
"2011-10-27",113.53,113.53,111.62,113.17,4401000,33.33
"2011-10-28",113.42,114.99,112.04,114.61,4238100,33.75
"2011-10-31",114.57,114.57,110.57,110.66,4986900,32.59
"2011-11-01",108.79,109.27,107.44,108.09,5866800,31.83
"2011-11-02",109.26,109.28,107.23,108.78,3408300,32.04
"2011-11-03",109.9,111.47,109.25,109.94,3499200,32.38
"2011-11-04",109.17,109.69,108.28,109.39,2108400,32.22
"2011-11-07",110.9,111.01,109,110.34,4382400,32.5
"2011-11-08",110.63,110.71,108.5,109.83,2830200,32.35
"2011-11-09",108.12,109.05,106.75,107.08,3279600,31.54
"2011-11-10",107.85,108.74,106.46,107.73,3552900,31.73
"2011-11-11",108.5,109.7,108.26,109.49,2319000,32.25
"2011-11-14",109.04,109.39,107.95,108.31,1843500,31.9
"2011-11-15",107.71,109.3,107.54,109.06,2924700,32.12
"2011-11-16",110.13,111.57,108.26,110.06,5328600,32.41
"2011-11-17",109.75,111.13,109.19,109.68,9198900,32.3
"2011-11-18",110.04,110.34,107.49,109.49,14099700,32.25
"2011-11-21",108.67,109.18,107.56,108.44,13911600,31.94
"2011-11-22",108.35,109.17,107.3,107.96,2676000,31.8
"2011-11-23",107.23,109.51,106.64,108.69,2766000,32.01
"2011-11-25",108.5,109.5,107.99,108.63,1403400,31.99
"2011-11-28",110.49,110.49,108.8,109.27,3628200,32.18
"2011-11-29",107.9,109.33,107.77,108.53,3550500,32.35
"2011-11-30",110.48,111.62,109.94,111.62,4433700,33.27
"2011-12-01",111.19,112.5,110.86,112.32,3312300,33.48
"2011-12-02",112.52,112.96,109.97,110.02,2865900,32.79
"2011-12-05",111.12,112.19,110.52,110.96,2327700,33.07
"2011-12-06",111.46,111.8,110.59,110.72,2771100,33
"2011-12-07",110.72,111.04,108.99,109.59,4503300,32.66
"2011-12-08",109.2,110.7,108.89,109.09,2527200,32.52
"2011-12-09",109.52,110.35,109,109.3,2314200,32.58
"2011-12-12",108.79,109.58,108,108.88,3002700,32.45
"2011-12-13",109.18,110.97,108.98,109.78,4574400,32.72
"2011-12-14",109.83,109.97,108.07,108.37,3236700,32.3
"2011-12-15",108.72,110.19,108.48,109.63,2897700,32.68
"2011-12-16",110.02,110.42,107.93,108.03,8103600,32.2
"2011-12-19",108.45,110.11,108.45,108.84,2792700,32.44
"2011-12-20",110.09,111.36,109.46,111.06,2889300,33.1
"2011-12-21",111.06,112.69,111.06,112.5,3290400,33.53
"2011-12-22",113.03,113.15,111.95,112.19,2620500,33.44
"2011-12-23",112.54,113.67,112.29,113.67,1324800,33.88
"2011-12-27",113.27,114.59,113.27,114.02,1554600,33.98
"2011-12-28",114.26,114.77,113.31,114.33,2352600,34.08
"2011-12-29",114.25,115.05,113.67,114.94,2149800,34.26
"2011-12-30",115.09,115.09,113.59,114,2008500,33.98
"2012-01-03",115.28,115.51,113.04,113.27,4231500,33.76
"2012-01-04",113.31,113.66,111.77,112.68,3028200,33.59
"2012-01-05",112.6,114.25,112.41,114.09,2754300,34.01
"2012-01-06",113.81,114.22,112.98,114.06,2689800,34
"2012-01-09",114.04,114.72,113.3,114.34,1977000,34.08
"2012-01-10",114.6,115.67,113.71,113.86,3357000,33.94
"2012-01-11",113.48,113.98,111.92,112.07,3953100,33.4
"2012-01-12",112.33,112.83,111.83,112.07,2100900,33.4
"2012-01-13",111.8,113.25,111.6,113.1,1835700,33.71
"2012-01-17",113.86,114.83,112.55,114.02,2729700,33.98
"2012-01-18",114.06,114.19,112.14,112.99,2400000,33.68
"2012-01-19",112.86,113.01,110.22,110.34,2793600,32.89
"2012-01-20",110.48,110.82,109.45,109.69,4683900,32.69
"2012-01-23",109.81,110.54,109.21,110.26,3953100,32.86
"2012-01-24",110.06,112.15,110,112.07,3872400,33.4
"2012-01-25",111.83,114.64,111.19,114.41,4017300,34.1
"2012-01-26",114.96,115.2,110.78,111.38,5895900,33.2
"2012-01-27",111.31,111.47,107.4,107.48,7217700,32.04
"2012-01-30",107.06,109.98,106.9,109.59,4076400,32.66
"2012-01-31",109.62,109.9,106.83,107.39,7381800,32.01
"2012-02-01",107.75,108.61,106.99,107.51,5228400,32.04
"2012-02-02",107.95,109.83,107.95,109.6,3381900,32.67
"2012-02-03",109.9,111.69,109.71,111.57,3614700,33.25
"2012-02-06",111.26,112.5,111.07,112.19,2894700,33.44
"2012-02-07",112.28,114.11,112.24,113.01,2977500,33.68
"2012-02-08",112.99,113.74,112.84,113.36,3564600,33.79
"2012-02-09",118.79,127.68,117.09,124.37,11762100,37.07
"2012-02-10",122.05,123.27,120.07,122.58,5351700,36.54
"2012-02-13",123.35,123.42,121.13,122.46,5664900,36.5
"2012-02-14",122.3,122.74,121.54,122.74,6746100,36.58
"2012-02-15",122.7,125.54,122.28,123.83,3324600,36.91
"2012-02-16",124.28,126.93,124.28,126,3696600,37.56
"2012-02-17",126.49,127.16,125.05,127.05,3851700,37.87
"2012-02-21",128.24,129.66,127.8,129.06,4520700,38.47
"2012-02-22",129.46,130.13,128.75,128.98,4351800,38.44
"2012-02-23",129.25,129.37,126.72,128.88,14920800,38.41
"2012-02-24",128.91,130.01,128.73,130.01,10900500,38.75
"2012-02-27",129.67,131.1,128.87,130.57,3895200,38.92
"2012-02-28",129.06,130.61,128.6,129.61,3697500,39.1
"2012-02-29",129.95,132.61,129.39,131.08,4852800,39.54
"2012-03-01",131.38,131.52,129.34,129.89,3155700,39.18
"2012-03-02",129.39,129.86,128.24,128.83,3997500,38.86
"2012-03-05",129.06,129.71,127.91,128.38,4075200,38.72
"2012-03-06",128.01,129.1,127.25,128.07,3138600,38.63
"2012-03-07",127.05,128.54,126.76,128,3368700,38.61
"2012-03-08",128.73,130.62,128.73,130.34,4101600,39.32
"2012-03-09",130.07,130.21,128.59,128.91,2727000,38.88
"2012-03-12",129.33,130.62,129.02,129.93,3492300,39.19
"2012-03-13",130.37,131.22,129.28,131.22,2604300,39.58
"2012-03-14",131,131.6,129.61,130.15,2259600,39.26
"2012-03-15",130.21,130.71,129.08,130.4,1993500,39.33
"2012-03-16",130.66,131.24,130,130.54,5072100,39.38
"2012-03-19",130.6,132.37,129.91,131.95,3699300,39.8
"2012-03-20",130.83,131.98,130.26,130.4,3049800,39.33
"2012-03-21",130.99,131.43,129.93,130.97,3318900,39.51
"2012-03-22",130.3,130.73,129.32,129.41,3468300,39.04
"2012-03-23",130,131.31,129.06,131.2,2353200,39.58
"2012-03-26",131.5,132.5,130.57,131.35,3387000,39.62
"2012-03-27",131.78,132.69,131.35,131.82,1978500,39.76
"2012-03-28",131.88,132.18,129.88,130.34,2004600,39.32
"2012-03-29",130.39,131.37,129.7,131.33,2407500,39.61
"2012-03-30",131.28,131.63,129.11,129.48,5359200,39.06
"2012-04-02",129.76,132.2,129.66,131.82,2976000,39.76
"2012-04-03",131.92,133.47,131.54,133.39,2529900,40.24
"2012-04-04",133.08,136.9,133,135.58,5565900,40.9
"2012-04-05",135.25,136.58,134.58,136.46,2561400,41.16
"2012-04-09",135.47,136.92,135.12,136.4,2286300,41.14
"2012-04-10",136.38,136.38,134.34,134.55,2708400,40.59
"2012-04-11",135.52,136.34,135.14,136.13,2601000,41.06
"2012-04-12",135.95,136.55,135,136.06,1882200,41.04
"2012-04-13",136.03,138.88,135.76,137.88,3483600,41.59
"2012-04-16",137.69,137.74,134.39,134.39,5140500,40.54
"2012-04-17",135.19,135.32,133.17,134.05,3006900,40.43
"2012-04-18",134.06,136.98,133.96,136.89,2154300,41.29
"2012-04-19",137.16,137.54,135.19,136.25,2198100,41.1
"2012-04-20",136.31,138.12,135.73,137.95,2256300,41.61
"2012-04-23",137.25,137.57,135.69,137.07,2460000,41.35
"2012-04-24",136.31,137.05,133.88,134.82,3519900,40.67
"2012-04-25",126.26,130.73,125.12,129.53,7919100,39.07
"2012-04-26",129.76,134.75,129.53,134.68,3918300,40.62
"2012-04-27",134.9,136.45,134.79,135.69,2689500,40.93
"2012-04-30",135.73,136.22,134.41,135.29,2450700,40.81
"2012-05-01",134.8,135.18,133.31,133.56,5812500,40.29
"2012-05-02",133.43,134.8,133.01,133.98,2154300,40.41
"2012-05-03",134.16,134.81,133.51,133.97,2178000,40.41
"2012-05-04",133.88,135.01,132.64,132.65,2793900,40.01
"2012-05-07",132.68,133.98,130.36,130.57,3526200,39.39
"2012-05-08",130.51,131.02,129.8,130.73,5076600,39.43
"2012-05-09",129.97,130.35,127.38,127.49,3767400,38.46
"2012-05-10",128.24,129.49,126.94,128.12,4641900,38.65
"2012-05-11",127.84,128.97,127.2,128.78,2762400,38.85
"2012-05-14",128.33,129.33,128,128.96,4218600,38.9
"2012-05-15",128.8,129.1,126.28,126.57,2572200,38.18
"2012-05-16",126.61,127.99,126.34,127.43,1733400,38.44
"2012-05-17",127.48,127.76,125.39,125.39,2096400,37.82
"2012-05-18",125.91,127.38,124.83,125.1,2418000,37.74
"2012-05-21",125.22,126.29,124.54,126.19,1774500,38.06
"2012-05-22",126.16,126.39,124.93,125.25,2955900,37.78
"2012-05-23",127.14,127.14,124.78,125.77,3057600,37.94
"2012-05-24",125.91,128.74,125,128.18,13081500,38.66
"2012-05-25",127.77,128.42,124.77,124.84,13788600,37.66
"2012-05-29",125.4,126.18,123.58,124.77,13950600,37.64
"2012-05-30",122.05,124.35,121.33,124.01,3743700,37.88
"2012-05-31",124.13,124.36,122.75,123.6,3437400,37.75
"2012-06-01",122.23,122.56,119.79,119.98,3150600,36.65
"2012-06-04",120.29,120.53,119.11,120.34,2295300,36.76
"2012-06-05",120.17,120.45,118.72,120.14,2181300,36.69
"2012-06-06",120.82,121.68,120.5,121.16,4690800,37.01
"2012-06-07",122.17,122.95,121.47,122.42,2230200,37.39
"2012-06-08",122.3,123.57,121.66,123.16,1954800,37.62
"2012-06-11",123.76,124.77,123.01,123.08,2162700,37.59
"2012-06-12",124.41,124.41,122.3,122.95,1419600,37.55
"2012-06-13",122.9,124.84,122.62,123.32,2239500,37.67
"2012-06-14",123.49,125.44,123.01,125.06,3445800,38.2
"2012-06-15",125.32,127.31,125.32,127.17,3784200,38.84
"2012-06-18",127.01,128.93,126.53,128.36,1876200,39.21
"2012-06-19",128.77,129.5,127.77,127.94,2475600,39.08
"2012-06-20",127.67,128.66,127.01,128.06,3680100,39.11
"2012-06-21",128.7,129.72,127.97,128.84,2797500,39.35
"2012-06-22",129.29,129.54,128.21,129.4,10068600,39.52
"2012-06-25",129.09,129.25,127.56,128.72,2051400,39.32
"2012-06-26",128.38,128.88,126.78,128.2,2274300,39.16
"2012-06-27",128.76,130.81,128.27,130.34,2743800,39.81
"2012-06-28",129.48,131.72,128.85,131.58,2262600,40.19
"2012-06-29",133.31,133.31,131.1,131.95,2684400,40.3
"2012-07-02",132.5,135.49,132.15,135.45,2277900,41.37
"2012-07-03",135.92,137.3,135.53,136.92,1260900,41.82
"2012-07-05",136.88,136.88,135.28,135.38,2583000,41.35
"2012-07-06",134.64,137.09,134.3,136.05,1803000,41.55
"2012-07-09",135.91,137.01,135.3,135.73,2042700,41.46
"2012-07-10",136.44,136.44,134.88,136.01,1980900,41.54
"2012-07-11",136.33,138.19,136.24,137.73,1945800,42.07
"2012-07-12",137.91,137.91,136.2,137.14,1734900,41.89
"2012-07-13",137.26,138.88,137.09,138.66,1581300,42.35
