"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2008-09-16",103.18,113.98,102.42,112.97,11285600,103.68
"2008-09-17",112.37,115.15,106.4,107.65,11095800,98.8
"2008-09-18",109.32,115.04,102.59,112.65,10145100,103.38
"2008-09-19",117.99,120,115.81,118.41,9625300,108.67
"2008-09-22",118.96,121.32,116.06,116.99,6742100,107.37
"2008-09-23",116.34,116.76,111.17,112.14,6607800,102.92
"2008-09-24",113.8,114.7,110.28,112.48,4883800,103.23
"2008-09-25",112.76,112.92,107.9,109.24,7897400,100.26
"2008-09-26",105.22,106.42,102.56,106.06,6376400,97.34
"2008-09-29",103.18,103.8,92.67,97.15,11250800,89.16
"2008-09-30",98.55,101.71,94.06,98.98,8323500,90.84
"2008-10-01",99.51,100.69,94.8,97.84,7224700,90.01
"2008-10-02",84.76,87.3,77.1,82.01,39618000,75.45
"2008-10-03",84.32,90.03,82.44,83.26,15993000,76.6
"2008-10-06",80.01,80.5,69.2,75.48,26095600,69.44
"2008-10-07",79.3,82.7,72.4,74.18,17838000,68.24
"2008-10-08",68.02,87.82,68.02,81.44,27036900,74.92
"2008-10-09",84.24,89.49,78.65,79.34,15868700,72.99
"2008-10-10",74.32,85.74,73.91,78.66,19238000,72.37
"2008-10-13",83.65,95.39,83.28,93.64,14979600,86.15
"2008-10-14",96.59,96.79,85.05,88.68,14057700,81.58
"2008-10-15",85.41,85.41,78.49,79.06,11802400,72.73
"2008-10-16",80,83.28,74.6,78.25,20069200,71.99
"2008-10-17",75.97,84.5,75.01,80,13241800,73.6
"2008-10-20",82.96,89.79,81.68,89.45,10873800,82.29
"2008-10-21",87.22,90,84.53,85.38,9675300,78.55
"2008-10-22",82.1,82.26,75.86,78.4,12258900,72.13
"2008-10-23",79.94,80.5,71,74.91,13983900,68.92
"2008-10-24",69.8,75.41,69.11,71.95,12916600,66.19
"2008-10-27",70.42,76.76,70,71.09,8698700,65.4
"2008-10-28",75.75,83.15,71.96,83.15,12782500,76.5
"2008-10-29",82.92,93.32,81.9,87.93,13757600,80.89
"2008-10-30",91.49,92.71,85.09,89.22,11761900,82.08
"2008-10-31",87.87,91.41,84.96,88.98,8854500,81.86
"2008-11-03",88.38,91.5,85.1,87.34,7497800,80.35
"2008-11-04",90.01,94.95,89.51,93.74,8590200,86.24
"2008-11-05",92,94.2,87.36,87.71,7493700,80.69
"2008-11-06",86,88.4,82.75,85.06,8105100,78.25
"2008-11-07",86.45,89.12,84.77,88.12,5373300,81.07
"2008-11-10",91.25,92.57,86,87.52,5892400,80.52
"2008-11-11",85.14,86.6,81.66,83.9,5591600,77.19
"2008-11-12",81.98,82,78.24,78.62,6518000,72.33
"2008-11-13",78.91,83,75.08,82.09,11954300,75.52
"2008-11-14",79.61,80.5,74,74.1,11055900,68.17
"2008-11-17",74.1,77.77,72.68,74.41,7381700,68.46
"2008-11-18",74.28,76.42,72.17,74.81,7844000,68.82
"2008-11-19",72.62,75.23,70,70.07,9106100,64.46
"2008-11-20",68.47,72.85,65.4,66.26,11233200,60.96
"2008-11-21",68.92,69.06,63.47,67.41,12201400,62.02
"2008-11-24",68.8,72.13,67.21,70.12,9400300,64.51
"2008-11-25",73.04,76.11,70.3,75.03,7918000,69.03
"2008-11-26",73,77.04,71.92,76.39,6927700,70.28
"2008-11-28",75.79,79.2,75.3,79.2,2771800,72.86
"2008-12-01",76.8,76.84,70.8,71.15,6241400,65.46
"2008-12-02",71.12,74.45,70,73.86,7000800,67.95
"2008-12-03",71.24,77,71.09,76.65,6375700,70.52
"2008-12-04",74.13,76.96,72,73.41,7426800,67.54
"2008-12-05",72.36,75.13,70,74.92,7042300,68.93
"2008-12-08",77.19,81.4,76.52,79.69,9053000,73.31
"2008-12-09",78.02,84.21,77.54,81.73,6956200,75.19
"2008-12-10",83.75,84.39,80.25,81,6237800,74.52
"2008-12-11",79.59,81.07,73.18,73.8,8765900,67.89
"2008-12-12",72.01,73.89,69.63,69.73,11811600,64.15
"2008-12-15",72.99,73.09,69.78,70.41,8409000,64.78
"2008-12-16",72.66,76,71.92,75.15,10499800,69.14
"2008-12-17",74.06,77.17,74.05,75.81,8033800,69.74
"2008-12-18",76.55,76.94,73.47,74.48,8045300,68.52
"2008-12-19",72.99,74.9,71.25,71.63,7790200,65.9
"2008-12-22",68.16,69.15,65.6,66.29,12820500,60.99
"2008-12-23",67.86,68.75,66.18,66.26,6741200,60.96
"2008-12-24",66.91,67.98,66.05,67.31,2230800,61.92
"2008-12-26",68.03,68.49,66.85,67.72,2092200,62.3
"2008-12-29",68.65,69.08,66.58,68.47,3615000,62.99
"2008-12-30",68.8,70.15,68.4,69.52,4098100,63.96
"2008-12-31",69.01,71.1,69.01,70.35,3810300,64.72
"2009-01-02",70.48,74.22,69.74,73.72,4730500,67.82
"2009-01-05",73.44,75.62,72.33,74.38,6822600,68.43
"2009-01-06",75.46,76,70.85,73.46,12466100,67.58
"2009-01-07",79.92,87.3,79.25,86.16,35449200,79.53
"2009-01-08",85.79,87.32,80.95,83.04,16299900,76.65
"2009-01-09",83.38,84.12,80.99,81.14,8352200,74.89
"2009-01-12",80.25,80.87,76.97,78.05,9329200,72.04
"2009-01-13",77.53,79.67,76.24,78.31,8419400,72.28
"2009-01-14",76.37,77.09,74.51,76.31,9911100,70.43
