"","WLP.Open","WLP.High","WLP.Low","WLP.Close","WLP.Volume","WLP.Adjusted"
"2008-02-28",73.37,73.45,72.53,72.65,4109400,68.57
"2008-02-29",72.42,72.42,69.81,70.08,6993000,66.15
"2008-03-03",69.9,71.06,69.57,70.8,3259400,66.83
"2008-03-04",70.01,71.73,70.01,70.71,3815300,66.74
"2008-03-05",70.96,72.03,70.8,71.44,3337500,67.43
"2008-03-06",71.23,71.67,69.12,69.19,4283200,65.31
"2008-03-07",68.65,68.99,66.97,67.12,5289200,63.35
"2008-03-10",66.4,67.41,65.36,65.92,8208200,62.22
"2008-03-11",51.55,52.15,46.66,47.26,54425800,44.61
"2008-03-12",45,47.78,44.75,46.45,32090100,43.84
"2008-03-13",46.42,48.8,46.08,47.46,19199700,44.8
"2008-03-14",48.42,48.42,46.61,47.09,8226300,44.45
"2008-03-17",46.61,48.66,45.64,48.33,7650600,45.62
"2008-03-18",48.34,49.18,46.68,47.14,10673700,44.49
"2008-03-19",46.88,47.55,44.94,44.96,14304900,42.44
"2008-03-20",45,46.17,45,45.84,9559200,43.27
"2008-03-24",45.92,46.52,45.32,45.96,5613600,43.38
"2008-03-25",46.25,46.28,45.67,45.8,6384200,43.23
"2008-03-26",45.79,46.01,45.33,45.56,5507700,43
"2008-03-27",45.29,45.79,44.69,44.85,5639100,42.33
"2008-03-28",43.85,44.52,43.02,43.23,7343700,40.8
"2008-03-31",43.1,44.67,43.03,44.13,7232100,41.65
"2008-04-01",44.98,46.72,44.3,46.41,8121900,43.8
"2008-04-02",46.55,46.55,45.48,45.98,6208600,43.4
"2008-04-03",46.39,46.87,45.06,46.23,5539400,43.63
"2008-04-04",46.64,46.64,45.76,46.2,5177700,43.61
"2008-04-07",46.44,46.44,45.44,45.8,7471800,43.23
"2008-04-08",45.82,47.43,45.75,46.57,8344700,43.96
"2008-04-09",46.75,46.8,45.77,46.11,6310500,43.52
"2008-04-10",46.05,46.87,46.05,46.34,3473300,43.74
"2008-04-11",46.1,46.96,45.71,46,4111300,43.42
"2008-04-14",46.46,47.48,46.07,47.37,4136300,44.71
"2008-04-15",47.62,49.25,46.68,48.89,6315700,46.15
"2008-04-16",48.86,49.38,47.64,48.22,4616900,45.51
"2008-04-17",46.91,48.87,46.91,48.34,2169000,45.63
"2008-04-18",48.71,49.22,48.16,48.44,3333300,45.72
"2008-04-21",48.26,49.25,48.06,48.33,5018300,45.62
"2008-04-22",46.33,47.09,45.8,46.55,8877300,43.94
"2008-04-23",45.42,50.68,45.13,49.94,14227500,47.14
"2008-04-24",49.88,50.74,48.08,49,4603800,46.25
"2008-04-25",48.84,51.38,48.8,51.07,5553200,48.2
"2008-04-28",51.66,51.66,50,50.1,3730000,47.29
"2008-04-29",50.17,50.76,49.58,49.86,6018700,47.06
"2008-04-30",49.86,50.37,49.38,49.75,3650100,46.96
"2008-05-01",49.34,50.98,49,50.94,4001200,48.08
"2008-05-02",51.3,52.3,50.94,51.33,5323700,48.45
"2008-05-05",51.59,52.72,50.82,52.03,4232700,49.11
"2008-05-06",51.61,52.22,51.03,51.83,2754600,48.92
"2008-05-07",51.87,52.6,51.59,52.1,4459800,49.18
"2008-05-08",52.3,53.88,52.19,52.51,5297700,49.56
"2008-05-09",51.65,52.82,51.65,52.73,3903800,49.77
"2008-05-12",52.3,53.33,51.7,52.52,2730000,49.57
"2008-05-13",52.36,52.45,51,51.19,3839900,48.32
"2008-05-14",51.08,51.43,50.51,50.94,6308200,48.08
"2008-05-15",50.78,50.96,49.46,49.88,6099900,47.08
"2008-05-16",49.86,51.63,49.86,51.53,5187300,48.64
"2008-05-19",51.45,51.95,51.18,51.6,4488000,48.7
"2008-05-20",51.58,53.08,51.51,52.44,6142500,49.5
"2008-05-21",52.63,54.47,52.22,53.69,5471400,50.68
"2008-05-22",53.9,56.24,53.63,55.45,6523000,52.34
"2008-05-23",55.68,56.25,53.88,53.94,6318900,50.91
"2008-05-27",55.01,55.5,54.38,54.99,7321500,51.9
"2008-05-28",55.15,55.7,54.66,55.48,5749400,52.37
"2008-05-29",55.44,56.81,55.36,56.66,3877100,53.48
"2008-05-30",56.5,56.78,55.69,55.82,4601600,52.69
"2008-06-02",55.72,56.27,54.83,55.24,4928900,52.14
"2008-06-03",55.2,55.59,54.32,54.55,3708100,51.49
"2008-06-04",54.5,55.34,54.1,54.97,5531800,51.88
"2008-06-05",55.36,57.06,54.6,56.48,6952600,53.31
"2008-06-06",55.7,56.95,55.33,55.44,4100500,52.33
"2008-06-09",55.44,55.47,54.33,55.28,3039200,52.18
"2008-06-10",55.2,55.22,54.5,54.58,2938800,51.52
"2008-06-11",54.25,54.74,53.33,53.55,4224900,50.54
"2008-06-12",53.85,54,51.88,52.46,5587500,49.52
"2008-06-13",52.5,54.08,51.96,53.81,5839600,50.79
"2008-06-16",53.25,53.41,52.53,53.14,2858400,50.16
"2008-06-17",53.48,53.87,53.02,53.03,2775900,50.05
"2008-06-18",52.85,53.14,51.84,51.96,3862400,49.04
"2008-06-19",48.47,50.9,48.22,49.28,10903300,46.51
"2008-06-20",49.37,49.44,48,48.3,7682300,45.59
"2008-06-23",48.48,49.51,48.01,49.1,4262200,46.34
"2008-06-24",49.02,49.45,48.68,49,4340900,46.25
"2008-06-25",48.99,49.77,48.77,48.95,3350600,46.2
"2008-06-26",46.95,49.79,46.78,47.78,4114200,45.1
"2008-06-27",47.92,48.67,47.6,48.08,5889800,45.38
"2008-06-30",48.25,48.86,47.47,47.66,3813500,44.98
"2008-07-01",47.2,48.03,46.31,46.6,5842700,43.98
"2008-07-02",47.8,49.49,47.08,47.15,5490700,44.5
"2008-07-03",46.8,46.8,44.32,44.98,5297600,42.45
"2008-07-07",45.33,46.43,44.88,45.8,5737500,43.23
"2008-07-08",45.45,46.88,45,46.78,3821700,44.15
"2008-07-09",46.71,48.42,46.4,47.55,3897800,44.88
"2008-07-10",47.63,47.72,45.38,45.92,4015700,43.34
"2008-07-11",45.37,45.41,43.18,44.87,5010700,42.35
"2008-07-14",44.87,45.62,44.48,44.94,4735800,42.42
"2008-07-15",44.5,45.21,43.26,44.4,3384600,41.91
"2008-07-16",44.15,45.2,44,44.93,2294800,42.41
"2008-07-17",44.98,46.27,44.56,46.07,4442600,43.48
"2008-07-18",46.1,46.62,45.26,46.25,3605400,43.65
"2008-07-21",46.14,46.55,45.56,45.66,2666700,43.1
"2008-07-22",46.85,49.84,46.73,48.75,6609300,46.01
"2008-07-23",52.28,53.78,51.2,53.17,10837200,50.19
"2008-07-24",52.6,52.85,51.59,52.33,4451800,49.39
"2008-07-25",52.28,53.23,52.27,52.9,3092900,49.93
"2008-07-28",52.97,53.79,52.35,52.76,3287600,49.8
"2008-07-29",53.19,53.31,52.52,53,2816600,50.02
"2008-07-30",52.88,53.51,52.09,52.91,3191300,49.94
"2008-07-31",52.99,53.64,52.38,52.45,6437200,49.51
"2008-08-01",52.06,52.39,50.68,51.57,4826700,48.68
"2008-08-04",52.01,54.19,51.78,53.54,4955800,50.53
"2008-08-05",53.66,55.25,52.26,55.02,4992100,51.93
"2008-08-06",54.85,55,53.62,53.79,3929100,50.77
"2008-08-07",53.77,54.63,53.02,53.94,3987900,50.91
"2008-08-08",54.1,56.03,53.77,55.83,4157900,52.7
"2008-08-11",55.69,56.69,55.03,56.29,3164900,53.13
"2008-08-12",56.42,57,55.77,56.09,2586000,52.94
"2008-08-13",55.74,56.14,55.12,55.73,2738900,52.6
"2008-08-14",55.73,56.5,55.05,56.1,2143700,52.95
"2008-08-15",56.24,57.73,56.18,57.57,4766000,54.34
"2008-08-18",57.6,57.86,55.73,55.96,3130600,52.82
"2008-08-19",55.76,56.31,53.82,54.47,4040900,51.41
"2008-08-20",54.62,54.62,52.58,53.25,3286800,50.26
"2008-08-21",53.03,53.93,52.45,53.65,2700500,50.64
"2008-08-22",53.85,54.76,53,54.49,2895000,51.43
"2008-08-25",54.28,54.5,52.32,52.56,2704200,49.61
"2008-08-26",52.65,53.07,52,52.49,2040200,49.54
"2008-08-27",52.47,52.72,51.54,52.43,2143800,49.49
"2008-08-28",52.64,53.16,52.12,53.06,2365600,50.08
"2008-08-29",53.04,53.97,52.64,52.79,2165100,49.83
"2008-09-02",53.3,54.43,51.87,52.27,3180400,49.34
"2008-09-03",52.36,52.94,51.71,52.8,1848700,49.84
"2008-09-04",52.42,52.68,49.85,50.24,4608500,47.42
"2008-09-05",49.97,49.97,47.57,49.02,5973300,46.27
"2008-09-08",49.54,51.02,49.29,50.94,4413800,48.08
"2008-09-09",50.8,52.21,49.46,49.55,4681700,46.77
"2008-09-10",49.61,50.16,48.66,49.17,3797000,46.41
"2008-09-11",47.53,50.33,47.53,50.1,4447500,47.29
"2008-09-12",50,51.25,49.21,51.14,3653200,48.27
"2008-09-15",50.35,50.94,49.82,50.08,4637800,47.27
"2008-09-16",49.12,50.42,47.51,49.23,5533600,46.47
"2008-09-17",48.4,49.16,47.62,47.7,5390200,45.02
"2008-09-18",47.89,48.63,45.45,47.62,5998800,44.95
"2008-09-19",51.96,52.11,47.76,48.02,5947400,45.32
"2008-09-22",47.75,47.95,45.77,46.12,2950000,43.53
"2008-09-23",46.18,47.2,45.3,45.36,2346500,42.81
"2008-09-24",45.29,46,44.81,45.64,2349500,43.08
"2008-09-25",45.47,47.48,45.13,47.36,3049700,44.7
"2008-09-26",46.88,48.35,45.6,46.69,4008900,44.07
