"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2007-06-06",62.44,62.55,61.1,61.24,591300,51.02
"2007-06-07",61.22,61.41,59.55,59.57,714200,49.62
"2007-06-08",59.56,60.5,59.35,60.44,408000,50.35
"2007-06-11",60.45,60.62,59.97,59.97,326700,49.96
"2007-06-12",59.77,60.03,59.13,59.18,386800,49.3
"2007-06-13",59.85,60.84,59.62,60.84,463900,50.68
"2007-06-14",60.84,61.45,60.69,60.82,371100,50.67
"2007-06-15",61.23,61.68,60.67,60.92,551900,50.75
"2007-06-18",60.87,61.18,60.46,60.74,304900,50.6
"2007-06-19",60.58,60.85,60.2,60.85,393300,50.69
"2007-06-20",61.1,61.66,60.53,60.6,1222000,50.48
"2007-06-21",60.49,60.58,59.67,60.34,1059300,50.27
"2007-06-22",60.09,60.2,59.3,59.5,840200,49.57
"2007-06-25",59.92,62.3,59.82,60.87,1902800,50.71
"2007-06-26",61.36,61.54,60.37,60.65,728800,50.52
"2007-06-27",60.44,61.28,60.21,61.16,638100,50.95
"2007-06-28",61.17,61.63,60.74,61.14,366700,50.93
"2007-06-29",61.28,61.73,60.45,60.7,751600,50.57
"2007-07-02",61.1,61.72,60.91,61.72,353600,51.42
"2007-07-03",61.85,62.22,61.6,62.11,224700,51.74
"2007-07-05",62.03,62.11,61.39,61.86,304500,51.53
"2007-07-06",61.69,62.81,61.28,62.65,355100,52.19
"2007-07-09",62.65,62.85,61.96,61.98,335200,51.63
"2007-07-10",61.56,61.6,60.77,60.77,441400,50.62
"2007-07-11",60.76,61.42,60.65,61.22,271700,51
"2007-07-12",61.35,63.37,61.21,63.35,742100,52.77
"2007-07-13",63,63.13,62.36,62.74,656900,52.27
"2007-07-16",62.65,63.25,62.39,62.82,411400,52.33
"2007-07-17",62.92,63.99,62.61,63.35,444500,52.77
"2007-07-18",62.8,63.18,62.24,62.75,561700,52.27
"2007-07-19",63.31,64.25,63.22,63.92,503700,53.25
"2007-07-20",63.8,63.8,62.28,62.5,820300,52.07
"2007-07-23",62.91,63.36,62.21,62.27,556100,51.87
"2007-07-24",60.37,61.87,60.27,60.98,1253400,50.8
"2007-07-25",60.93,61.07,59.47,60.87,796600,50.71
"2007-07-26",59.9,59.91,57.5,58.3,1292200,48.57
"2007-07-27",58.45,58.45,55.46,55.46,1589400,46.2
"2007-07-30",55.5,56,54.77,55.8,1071800,46.48
"2007-07-31",56.31,56.78,55.24,55.33,886600,46.09
"2007-08-01",55.3,55.7,54.34,55.37,814600,46.13
"2007-08-02",55.35,56.2,55.18,55.94,944900,46.6
"2007-08-03",56.02,56.03,53.9,53.91,688800,44.91
"2007-08-06",54.21,55.11,52.41,55.09,1340900,45.89
"2007-08-07",54.6,55.62,54.29,55.34,918800,46.1
"2007-08-08",55.55,57.14,55.44,56.61,896300,47.16
"2007-08-09",55.61,56.7,55.08,56.16,985300,46.78
"2007-08-10",55.56,57.52,55.38,56.55,904200,47.11
"2007-08-13",56.8,57.42,56.15,56.5,593900,47.07
"2007-08-14",56.51,56.85,54.74,54.81,696800,45.66
"2007-08-15",54.86,55.65,53.9,53.91,386400,44.91
"2007-08-16",53.71,54.46,52.45,54.46,589200,45.37
"2007-08-17",56.44,59.28,55.75,56.32,1094900,46.92
"2007-08-20",56.41,57.07,55.88,56.24,542800,46.85
"2007-08-21",55.98,56.46,55.44,55.87,249800,46.54
