"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume","CERN.Adjusted"
"2009-06-29",62.57,64.57,62,63.82,5839200,15.95
"2009-06-30",63.53,63.68,61.25,62.29,6330000,15.57
"2009-07-01",62.65,63.46,61.32,62.67,3011200,15.67
"2009-07-02",62.03,62.12,59.25,60.05,4573200,15.01
"2009-07-06",59.37,59.78,58.29,59.74,4631600,14.94
"2009-07-07",59.14,59.33,56.45,56.8,6228800,14.2
"2009-07-08",56.69,57.56,56.55,57.18,3448400,14.3
"2009-07-09",57.18,58.82,57.18,57.85,3037200,14.46
"2009-07-10",57.74,58.57,57.16,57.61,2121600,14.4
"2009-07-13",57.71,59.38,57.12,59.32,2883600,14.83
"2009-07-14",59.35,59.73,58.75,59.61,1532400,14.9
"2009-07-15",59.96,61.3,59.89,60.66,3723200,15.16
"2009-07-16",60.99,63.53,60.27,62.97,16034400,15.74
"2009-07-17",63.48,63.48,62.25,62.79,3836800,15.7
"2009-07-20",62.96,63.68,62.04,62.29,3984400,15.57
"2009-07-21",62.26,62.91,61.33,61.99,3509600,15.5
"2009-07-22",61.87,62.03,61.03,61.59,2342800,15.4
"2009-07-23",61.7,64.24,61,64.22,4614000,16.06
"2009-07-24",63.47,65.96,63.03,65.89,6261600,16.47
"2009-07-27",64.96,65.99,64.25,64.99,4946000,16.25
"2009-07-28",64.75,65.5,63.73,64.18,4585600,16.05
"2009-07-29",63.29,65.24,63,65.13,6643600,16.28
"2009-07-30",62.72,66.24,62.72,65.57,9089200,16.39
"2009-07-31",65.44,65.86,64.53,65.08,7122000,16.27
"2009-08-03",65.71,66.47,64.73,66.27,4828400,16.57
"2009-08-04",62.57,65.92,62.57,65.64,3125600,16.41
"2009-08-05",65.51,65.62,64.16,64.97,2127200,16.24
"2009-08-06",65.03,66.54,62.75,62.87,3254400,15.72
"2009-08-07",63.94,65.25,63.5,63.82,3189600,15.95
"2009-08-10",64.26,64.26,63.31,64.01,1994000,16
"2009-08-11",63.84,63.97,62.58,63.23,2478000,15.81
"2009-08-12",63.46,65.17,62.53,64.59,3524400,16.15
"2009-08-13",64.84,64.84,63.29,64.34,2222400,16.08
"2009-08-14",63.94,64.09,62.77,63.71,2646000,15.93
"2009-08-17",61.75,62.34,61.39,62.06,2552400,15.52
"2009-08-18",62.13,62.79,61.14,62.58,1999200,15.65
"2009-08-19",61.5,63.06,61.01,63.05,2708000,15.76
"2009-08-20",63.29,64,62.79,63.64,3124000,15.91
"2009-08-21",64.22,65,63.06,64.94,2723600,16.24
"2009-08-24",64.91,65.02,63.68,64.42,3741200,16.1
"2009-08-25",64.71,64.72,63.69,64.27,3318400,16.07
"2009-08-26",64.14,64.51,62.99,63.98,2104400,15.99
"2009-08-27",63.17,64.28,62.5,63.95,1878800,15.99
"2009-08-28",64.43,64.43,62.51,62.73,1754000,15.68
"2009-08-31",62.27,62.66,61.15,61.71,4062000,15.43
"2009-09-01",61.68,62.92,61.01,61.74,3373600,15.44
"2009-09-02",61.16,62.79,61.07,62.19,2440800,15.55
"2009-09-03",62.25,63.61,61.89,62.98,3152400,15.74
"2009-09-04",63.13,63.94,62.48,63.71,1282400,15.93
"2009-09-08",63.99,64.4,63.53,64,1414000,16
"2009-09-09",64,65.88,63.6,65.64,3565600,16.41
"2009-09-10",65.85,66,65.18,65.87,2536800,16.47
"2009-09-11",65.9,67,65.46,66.87,3774000,16.72
"2009-09-14",66.31,67.66,66,67.46,3238800,16.86
"2009-09-15",67.85,68.35,66.52,68,3030000,17
"2009-09-16",68.13,68.99,67.32,68.88,2691200,17.22
"2009-09-17",68.37,69.39,68,68.62,2106400,17.16
"2009-09-18",69.04,70.94,68.94,70.93,4986400,17.73
"2009-09-21",70.5,74.75,70.5,73.89,6918000,18.47
"2009-09-22",73.96,75.41,73.59,75.17,3974400,18.79
"2009-09-23",75.17,75.31,73.77,73.77,3397600,18.44
"2009-09-24",73.39,74.31,72.42,73.05,3960400,18.26
"2009-09-25",73.09,73.55,72.43,73.06,2747200,18.26
"2009-09-28",73.77,75.18,73.37,74.64,2280000,18.66
"2009-09-29",74.67,75,73.68,73.97,1554000,18.49
"2009-09-30",73.45,75,72.5,74.8,3562400,18.7
"2009-10-01",74.62,74.94,71.93,72.15,3555200,18.04
"2009-10-02",71.13,72.87,70.5,72.5,3064400,18.12
"2009-10-05",73.08,74,72.56,73.53,2086400,18.38
"2009-10-06",73.99,76.44,73.21,75.33,3256400,18.83
"2009-10-07",75,78.25,75,78.07,4656400,19.52
"2009-10-08",78.82,81.3,78,81.29,7936000,20.32
"2009-10-09",80.36,85.05,80.25,84.41,8444400,21.1
"2009-10-12",83.5,85.32,83.21,83.98,7956800,21
"2009-10-13",84.21,85.94,84.2,85.21,8618800,21.3
"2009-10-14",85.97,85.97,84.18,85.02,4496400,21.25
"2009-10-15",84.51,85.25,84.28,84.85,1979600,21.21
"2009-10-16",84.32,84.82,83.24,84.37,2960000,21.09
"2009-10-19",84.79,85.82,84,85.51,2659600,21.38
"2009-10-20",84.54,84.8,82.53,83.07,3630800,20.77
"2009-10-21",83.1,84.68,81.68,81.79,3927600,20.45
"2009-10-22",81.75,83.73,80.58,83.35,3749200,20.84
"2009-10-23",83.16,83.81,81.44,82.02,2627200,20.5
"2009-10-26",82.42,83.3,81,81.67,3375600,20.42
"2009-10-27",81.91,81.91,78.91,79.93,5130000,19.98
"2009-10-28",79.28,79.88,76.56,76.86,5417200,19.22
"2009-10-29",77.2,82.4,75.75,77.99,10795200,19.5
"2009-10-30",77.85,78.74,75.52,76.04,5353200,19.01
"2009-11-02",76.77,77.34,75.5,76.14,4514000,19.03
"2009-11-03",75.99,76.89,75.61,76.33,3571200,19.08
"2009-11-04",77.22,77.56,75.38,75.62,3645200,18.91
"2009-11-05",76.17,77.74,76.08,77,4213600,19.25
"2009-11-06",76.78,77.9,76.03,77.45,2774000,19.36
"2009-11-09",77.95,79.95,77.59,79.57,2485200,19.89
"2009-11-10",79.5,80.1,78.24,78.97,2992000,19.74
"2009-11-11",79.82,80.82,79.22,80.42,2694400,20.1
"2009-11-12",80.08,80.87,79.07,79.28,3118400,19.82
"2009-11-13",79.33,80.68,79.29,80.14,2020800,20.03
"2009-11-16",80.33,80.92,80.09,80.59,3034800,20.15
"2009-11-17",80.16,80.58,79.5,80.06,1837200,20.01
"2009-11-18",79.78,79.93,77.34,77.4,4033600,19.35
"2009-11-19",77.11,77.39,75.37,75.88,3168400,18.97
"2009-11-20",75.74,76.06,75.15,75.84,3794400,18.96
"2009-11-23",76.01,78.18,76.01,77.67,3689200,19.42
"2009-11-24",78.18,78.28,76.15,77.55,2372800,19.39
"2009-11-25",77.8,77.81,75.93,77.1,2128000,19.27
"2009-11-27",75.04,76.09,73.65,75.38,2069600,18.84
"2009-11-30",74.86,75.47,74.1,75.29,3475600,18.82
"2009-12-01",76.06,77.66,75.29,76.62,2740800,19.16
"2009-12-02",77.15,78.27,76.77,78.06,2122400,19.51
"2009-12-03",78.35,78.35,76,76.15,2162800,19.04
"2009-12-04",77.18,78,76.16,77.22,1309200,19.31
"2009-12-07",76.68,76.77,75.3,75.33,3042000,18.83
"2009-12-08",75.17,75.82,73.6,75.25,2340400,18.81
"2009-12-09",74.99,75.4,73.14,75.16,3371600,18.79
"2009-12-10",75.25,76.25,75.18,76.12,1950400,19.03
"2009-12-11",76.48,77.08,76.21,76.95,2957200,19.24
"2009-12-14",77.25,77.74,76.86,77.2,2661200,19.3
"2009-12-15",76.79,78.89,76.27,77.9,3368400,19.48
"2009-12-16",77.97,79.75,77.71,79.71,3602800,19.93
"2009-12-17",79.19,79.57,76.81,76.82,3492000,19.2
"2009-12-18",76.81,78.25,76.33,77.89,5607600,19.47
"2009-12-21",78.04,79.58,78.04,78.72,1802800,19.68
"2009-12-22",79.02,82.07,79.02,81.71,3510400,20.43
"2009-12-23",81.8,83.28,81.8,83.11,3064400,20.78
"2009-12-24",83.15,83.64,83.12,83.61,770800,20.9
"2009-12-28",84,84.87,83.88,84.23,1886400,21.06
"2009-12-29",84.45,84.45,83.25,83.73,1484400,20.93
"2009-12-30",84.21,84.38,83.16,83.59,980800,20.9
"2009-12-31",84,84.17,82.37,82.44,1789200,20.61
"2010-01-04",83.76,84.41,82.85,84.27,3055200,21.07
"2010-01-05",85.42,89.38,85,89.25,7324400,22.31
"2010-01-06",90,91.49,89.06,90.19,6844000,22.55
"2010-01-07",89.69,91,88.92,90.72,2969200,22.68
"2010-01-08",90.31,90.65,89.38,90.53,3238400,22.63
"2010-01-11",90.19,90.96,87.81,88.7,5187200,22.17
"2010-01-12",87.97,88.68,86.86,87.02,4124800,21.75
"2010-01-13",87.24,88.92,86,88.35,3388000,22.09
"2010-01-14",87.73,88.63,87.28,88.2,1802800,22.05
"2010-01-15",87.8,88.7,86.02,87.04,2459600,21.76
"2010-01-19",87.91,88.92,87.01,88.91,2353200,22.23
"2010-01-20",87.98,88.19,84.78,86.81,3566800,21.7
"2010-01-21",87.72,87.72,85.04,85.29,3677600,21.32
"2010-01-22",85.26,85.55,83.24,83.5,3095600,20.88
"2010-01-25",83.1,84.25,82.42,82.88,2485200,20.72
"2010-01-26",82.34,83.58,81.5,82.54,2797200,20.64
"2010-01-27",82.74,83.21,81.21,82.49,2182400,20.62
"2010-01-28",82.46,83.45,79.81,80.27,2824000,20.07
"2010-01-29",80.25,80.4,75.63,75.66,6840800,18.92
"2010-02-01",76.05,79.11,74.39,77.69,5991200,19.42
