"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2009-06-08",68.66,70.6,68.55,69.8,5159000,67.39
"2009-06-09",70.07,70.37,68.47,68.63,5443300,66.26
"2009-06-10",69.03,69.92,67.96,69.27,8449300,66.88
"2009-06-11",69.35,69.6,66.66,66.72,10987200,64.42
"2009-06-12",66.89,67.2,64.31,64.36,20240800,62.14
"2009-06-15",63.98,65.88,63.07,64.43,6391100,62.21
"2009-06-16",65.1,65.1,62.12,62.46,7447100,60.31
"2009-06-17",62.46,63.1,60.8,61.35,8015900,59.24
"2009-06-18",61.46,62.11,60.63,61.41,8042100,59.29
"2009-06-19",61.7,62.1,60.86,61.37,6367300,59.25
"2009-06-22",60.74,62.96,60.7,61.24,7542000,59.13
"2009-06-23",61.33,62.87,61.32,62.67,4997400,60.51
"2009-06-24",63,63.15,60.9,61.09,5699700,58.98
"2009-06-25",60.89,62.28,60.27,61.95,5220700,59.81
"2009-06-26",61.82,63.82,61.56,63.82,4937900,61.62
"2009-06-29",63.89,63.89,62.5,62.98,5670200,60.81
"2009-06-30",62.75,63.93,62.02,62.26,12313400,60.11
"2009-07-01",62.28,62.57,60.78,60.8,6541900,58.7
"2009-07-02",60.8,61.7,60.08,60.08,5378700,58.01
"2009-07-06",60.07,61.1,59.9,60.67,5845600,58.58
"2009-07-07",61.33,61.33,59.4,59.71,7590400,57.65
"2009-07-08",59.72,60.32,58,59.49,16020100,57.44
"2009-07-09",60.14,60.65,59.75,60.44,6654100,58.36
"2009-07-10",59.87,60.33,59.41,59.86,4163700,57.8
"2009-07-13",60.11,60.42,59.1,60.35,7660000,58.27
"2009-07-14",60.5,60.51,59.64,60.29,3322800,58.21
"2009-07-15",61,62.75,60.67,62.65,9123100,60.49
"2009-07-16",62.45,64.72,62.2,64.41,12521500,62.19
"2009-07-17",64.25,65,64,64.1,4518900,61.89
"2009-07-20",64.36,67.28,64.3,67.12,8055100,64.81
"2009-07-21",67.12,67.2,65.79,67.15,4435700,64.84
"2009-07-22",66.62,67.56,66.32,66.85,6332100,64.55
"2009-07-23",67.2,67.84,66.62,67.19,4849000,64.87
"2009-07-24",66.27,67.65,66.25,67.29,3298700,64.97
"2009-07-27",67.25,68.31,67.11,68.19,3561300,65.84
"2009-07-28",67.71,68.3,66.13,66.3,5661200,64.01
"2009-07-29",66.6,66.89,65.72,66.78,5508100,64.48
"2009-07-30",67.69,69.68,66.83,67.21,14444000,64.89
"2009-07-31",66.94,67.17,65.35,65.46,8261700,63.2
"2009-08-03",66.19,69.11,65.9,69.11,7583600,66.73
"2009-08-04",68.33,69.11,67.9,69.1,4671600,66.72
"2009-08-05",69.19,69.19,67.86,68.38,4968600,66.02
"2009-08-06",68.52,69.69,67.95,68.65,5223200,66.28
"2009-08-07",69.24,69.65,68.73,69.17,3845100,66.79
"2009-08-10",69.04,69.49,68.6,68.88,2509700,66.51
"2009-08-11",68.54,69.25,68.53,68.61,3634400,66.25
"2009-08-12",68.29,69.05,67.88,68.45,3607600,66.19
"2009-08-13",68.5,68.88,67.94,68.68,3742100,66.41
"2009-08-14",68.3,68.68,67.5,67.8,3051900,65.56
"2009-08-17",66.84,66.98,66.04,66.43,4942800,64.24
"2009-08-18",66.65,67.34,66.55,67.01,4269200,64.8
"2009-08-19",66.33,67.24,66.15,67.2,3862900,64.98
"2009-08-20",67.09,67.99,66.75,67.81,3037300,65.57
"2009-08-21",68.34,69.05,67.85,69,6862700,66.72
"2009-08-24",69.25,69.5,67.76,67.95,4994600,65.71
"2009-08-25",68.15,69,67.9,68.98,4393600,66.7
"2009-08-26",68.6,70.43,68.45,70.2,4741100,67.88
"2009-08-27",69.68,70.25,69.28,69.71,5151000,67.41
"2009-08-28",70.05,70.5,69.28,70.5,3505400,68.17
"2009-08-31",69.7,71.32,69.6,71.1,5380300,68.75
"2009-09-01",70.78,72,70.14,70.18,5572100,67.86
"2009-09-02",69.77,70.86,69.43,70.1,3333800,67.79
"2009-09-03",70.41,71.05,69.8,70.91,4266600,68.57
"2009-09-04",70.65,70.95,70.05,70.36,2473600,68.04
