"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2007-03-23",75.19,75.72,75.1,75.57,785400,63.59
"2007-03-26",75.71,76.16,74.4,76.11,978400,64.05
"2007-03-27",75.66,75.84,74.8,75.1,755500,63.2
"2007-03-28",74.97,74.97,73.68,73.99,1035600,62.26
"2007-03-29",73.86,74.25,72.9,73.75,1239600,62.38
"2007-03-30",73.6,74.48,72.8,73.96,1052500,62.56
"2007-04-02",74.21,74.35,73.49,73.94,1043900,62.54
"2007-04-03",74.19,74.48,73.7,74.04,824200,62.63
"2007-04-04",74.07,74.38,73.75,73.76,754000,62.39
"2007-04-05",73.86,74.48,73.72,74.46,936900,62.98
"2007-04-09",74.9,75.45,74.56,75.25,946600,63.65
"2007-04-10",75.37,75.37,74.78,74.96,915500,63.41
"2007-04-11",75.1,75.2,73.57,73.71,1084500,62.35
"2007-04-12",73.61,74,73.3,73.88,990200,62.49
"2007-04-13",73.87,74.22,73.51,73.69,665400,62.33
"2007-04-16",73.89,74.57,73.82,74.49,896900,63.01
"2007-04-17",74.48,75.07,73.99,74.77,1017500,63.24
"2007-04-18",74.77,74.97,74.36,74.64,951300,63.13
"2007-04-19",74.31,74.84,74,74.64,1001100,63.13
"2007-04-20",75.75,75.75,74.62,75.04,1474400,63.47
"2007-04-23",75.08,75.59,75.05,75.17,883800,63.58
"2007-04-24",75.11,75.36,74.07,74.83,1064300,63.3
"2007-04-25",75.99,78.2,75.99,78.19,1937900,66.14
"2007-04-26",79,79,77.05,77.94,1430400,65.93
"2007-04-27",77.95,78.15,76.7,78.06,1042600,66.03
"2007-04-30",77.85,77.9,76.46,76.5,962600,64.71
"2007-05-01",76.65,76.79,75.72,76.05,989000,64.33
"2007-05-02",76,77.15,75.84,76.75,844400,64.92
"2007-05-03",76.9,77.31,76.62,76.92,926500,65.06
"2007-05-04",77.12,77.28,76.6,77.06,685200,65.18
"2007-05-07",77.32,78.26,77.13,77.79,1000900,65.8
"2007-05-08",77.41,78.01,77.16,77.97,637000,65.95
"2007-05-09",77.98,78.84,77.79,78.76,1138100,66.62
"2007-05-10",78.51,79.07,77.92,77.92,1273200,65.91
"2007-05-11",78.14,78.61,77.22,77.42,1318900,65.49
"2007-05-14",77.17,78.2,76.54,76.73,1234700,64.9
"2007-05-15",76.89,77.68,76.89,77.06,1491000,65.18
"2007-05-16",77.31,78.41,77,78.41,911400,66.32
"2007-05-17",78.09,78.95,77.62,78.68,1522900,66.55
"2007-05-18",78.82,79.4,78.32,78.56,1622700,66.45
"2007-05-21",76.66,78.58,76.66,77.96,1687100,65.94
"2007-05-22",78.31,78.6,77.9,78.27,703400,66.2
"2007-05-23",78.32,78.75,77.71,77.87,996200,65.87
"2007-05-24",78.08,78.35,77.17,77.33,1142000,65.41
"2007-05-25",77.58,78.43,77.43,78.34,783900,66.26
"2007-05-29",78.4,79.21,78.04,78.38,1053300,66.3
"2007-05-30",78.13,78.61,77.74,78.56,691700,66.45
"2007-05-31",78.67,78.67,77.28,77.99,1678700,65.97
"2007-06-01",78.24,78.97,78.2,78.69,1047700,66.56
"2007-06-04",78.66,78.67,78.09,78.42,852300,66.33
"2007-06-05",78.42,78.51,77.82,78.17,863200,66.12
"2007-06-06",78.17,78.26,77.64,77.94,795000,65.93
"2007-06-07",77.1,78.14,76.84,77.3,1847400,65.38
"2007-06-08",77.44,79.45,77.37,79.41,1619000,67.17
"2007-06-11",79.21,79.58,78.48,79.16,1123200,66.96
"2007-06-12",79.09,79.37,78.4,78.88,1623500,66.72
"2007-06-13",79.38,80.85,78.91,80.82,1796100,68.36
"2007-06-14",80.74,82,80.55,81.46,1426000,68.9
"2007-06-15",81.83,82.51,81.61,81.7,1337200,69.11
"2007-06-18",82,82,81.4,81.6,802200,69.02
"2007-06-19",81.5,81.85,81.18,81.72,1157000,69.12
"2007-06-20",82.18,82.74,81.34,81.34,995300,68.8
"2007-06-21",81.18,82.61,80.78,82.61,872600,69.88
"2007-06-22",82.61,82.67,82.03,82.25,2056800,69.57
"2007-06-25",82.2,82.48,81.09,81.32,760100,68.78
"2007-06-26",81.52,82.17,81.23,81.69,1648100,69.1
"2007-06-27",81.5,81.76,80.72,81.51,1085300,68.95
"2007-06-28",81.22,81.77,79.98,79.98,1578900,67.97
"2007-06-29",80.21,81.29,79.92,80.37,935700,68.3
"2007-07-02",80.8,81.39,80.41,80.84,942000,68.7
"2007-07-03",81.18,81.48,80.77,80.92,519400,68.77
"2007-07-05",81,81.26,80.71,81.06,654400,68.89
"2007-07-06",80.93,81.22,80.38,81.05,784500,68.88
"2007-07-09",81.33,82.02,80.97,81.78,752500,69.5
"2007-07-10",81.3,81.88,80.38,80.38,1014500,68.31
"2007-07-11",80.65,82.39,80.58,82.34,1425700,69.97
"2007-07-12",84.2,86.42,82.34,85.91,2401500,73.01
"2007-07-13",86.5,87.08,85.97,86.85,1145000,73.81
"2007-07-16",86.96,87.86,86.13,87.49,1484900,74.35
"2007-07-17",87.87,88.55,87.52,87.89,1591000,74.69
"2007-07-18",87.59,88.2,87.04,87.81,1460100,74.62
"2007-07-19",88.15,89,88.01,88.93,1142800,75.57
"2007-07-20",88.9,88.9,87,88.5,1918900,75.21
"2007-07-23",88.92,89.1,87.95,88.35,1748400,75.08
"2007-07-24",87.75,88.78,87.24,87.35,1769900,74.23
"2007-07-25",88.94,90.64,87.01,90.1,3250900,76.57
"2007-07-26",89.2,90.94,87.72,89.4,3315500,75.97
"2007-07-27",88.48,89.58,86.05,86.07,3346500,73.14
"2007-07-30",86.03,88.21,85.85,87.91,2266400,74.71
"2007-07-31",87.14,88.85,86.17,86.37,2055400,73.4
"2007-08-01",87.14,87.78,85.26,87.55,1833300,74.4
"2007-08-02",86.66,87.94,86.51,87.39,1348400,74.27
"2007-08-03",87.75,87.75,85.37,85.37,1747300,72.55
"2007-08-06",86.28,86.99,84.36,86.49,2132900,73.5
"2007-08-07",85.9,89.53,85.85,89,1949800,75.63
"2007-08-08",89.5,91.7,88.83,90.68,1849100,77.06
"2007-08-09",88.75,90.03,88.14,88.73,2054300,75.4
"2007-08-10",88,89.38,87.29,88.56,1998400,75.26
"2007-08-13",89.05,89.19,88.18,88.72,1483900,75.4
"2007-08-14",89.12,89.88,86.69,86.72,1200200,73.7
"2007-08-15",86.61,87.39,83,83.02,2659600,70.55
"2007-08-16",82.55,82.56,77.26,81.87,3787700,69.57
"2007-08-17",84.03,85.37,82.61,85,2431000,72.23
"2007-08-20",85.15,86.67,84.6,86.2,1376200,73.25
"2007-08-21",86.1,86.93,85.28,86.01,1489000,73.09
"2007-08-22",86.51,88.89,86.51,88.78,2324500,75.45
"2007-08-23",88.7,89,86.94,87.27,2115200,74.16
"2007-08-24",87.44,89.04,87.11,89.04,802200,75.67
"2007-08-27",88.8,89.89,88.31,88.69,613700,75.37
"2007-08-28",88.05,88.6,86.35,86.43,989800,73.45
"2007-08-29",86.48,88.4,86.41,88.38,926600,75.11
"2007-08-30",87.48,88.72,87.4,88.43,780900,75.15
"2007-08-31",89.7,90.2,88.88,90.01,1378700,76.49
"2007-09-04",90.42,91.29,89.62,90.71,1060300,77.09
"2007-09-05",90.4,90.83,89.79,90.82,1082000,77.18
"2007-09-06",91.47,92.24,90.92,91.84,1126800,78.05
"2007-09-07",90.37,90.5,88.47,88.83,1048000,75.49
"2007-09-10",89.16,89.62,87.7,88.27,981900,75.01
"2007-09-11",88.27,88.82,87.39,88.12,1447200,74.89
"2007-09-12",88,88.99,87.52,88.14,914900,74.9
"2007-09-13",88.9,89.25,88.07,88.41,794900,75.13
"2007-09-14",88.24,89.06,87.84,88.27,907100,75.01
"2007-09-17",87.78,89.51,87.63,88.27,765800,75.01
"2007-09-18",88.95,92.57,88.56,92.55,1500700,78.65
"2007-09-19",92.63,94.71,92.51,93.33,1426600,79.31
"2007-09-20",92.89,93.95,92.42,92.88,1056900,78.93
"2007-09-21",93.84,94.68,92.88,93.76,1324300,79.68
"2007-09-24",94.23,94.23,92.12,92.48,1433900,78.59
"2007-09-25",92.63,95.72,92.63,95.39,1734900,81.06
"2007-09-26",95.75,97.54,95.42,97.15,1707200,82.56
"2007-09-27",97.05,98.03,97,97.82,983100,83.46
"2007-09-28",97.98,98.51,97.44,97.76,1339200,83.4
"2007-10-01",98,98.95,97.8,98.85,715400,84.33
"2007-10-02",97.93,98.83,95.45,96.44,1306200,82.28
"2007-10-03",95.8,96.15,94.46,94.76,783000,80.84
"2007-10-04",95,96.21,94.68,95.76,637300,81.7
"2007-10-05",96.48,97,95.91,96.8,710600,82.59
"2007-10-08",96.99,97.81,96.75,97.37,502100,83.07
"2007-10-09",97.99,98.18,96.84,97.97,1507800,83.58
"2007-10-10",98.32,98.46,96.89,97.5,1189000,83.18
"2007-10-11",98.34,99.4,96.62,97.27,1382200,82.99
"2007-10-12",97.75,98.25,97.04,97.25,1087500,82.97
"2007-10-15",97.47,98.15,96.82,97.49,1045200,83.17
"2007-10-16",97.07,97.37,95.2,95.81,886900,81.74
"2007-10-17",96.65,98.05,96.06,96.82,824200,82.6
"2007-10-18",96.51,98.65,96.5,98.33,828600,83.89
"2007-10-19",97.43,98.33,95.75,95.82,1600000,81.75
"2007-10-22",94.85,95.71,94.09,94.77,1172900,80.85
"2007-10-23",95.11,97.22,94.53,97.16,1203200,82.89
"2007-10-24",96.3,96.96,94.07,95.64,2064000,81.6
"2007-10-25",96.36,98.4,94.72,98.23,1748900,83.81
"2007-10-26",98.38,98.99,97.78,98.23,1353700,83.81
"2007-10-29",98.76,99.31,97.97,98.38,1037800,83.93
"2007-10-30",98.17,98.56,97.05,97.25,833100,82.97
"2007-10-31",97.61,98,95.79,97.85,1443600,83.48
"2007-11-01",97.05,97.35,95.6,95.68,1380100,81.63
"2007-11-02",96.36,97.2,94.91,96.78,957600,82.57
"2007-11-05",95.24,97.4,95.1,96.65,1021000,82.46
"2007-11-06",96.57,100.38,96.57,100.19,1751200,85.48
"2007-11-07",100.24,101.16,98.2,98.2,1847900,83.78
"2007-11-08",98.5,100.85,97.44,100.55,1920200,85.78
"2007-11-09",99.13,100.06,97.26,97.26,1743100,82.98
"2007-11-12",97.26,97.71,95.23,95.37,1564500,81.37
"2007-11-13",95.98,97.26,95.15,97.13,1494300,82.87
"2007-11-14",97.92,98.74,96.62,97.23,964500,82.95
"2007-11-15",96.65,97.4,94.84,95.57,1097600,81.54
"2007-11-16",96.13,96.35,94.12,94.83,1585400,80.9
"2007-11-19",94.44,94.76,92.05,92.18,1852600,78.64
"2007-11-20",92.3,94.18,92.3,94.01,1710600,80.2
"2007-11-21",93.39,93.96,92.39,92.42,1221700,78.85
"2007-11-23",93.1,93.95,92.75,93.43,485800,79.71
"2007-11-26",93.13,95.8,92.53,92.63,1317400,79.03
"2007-11-27",92.92,94.26,92.14,93.49,1439600,79.76
"2007-11-28",93.54,96.97,93.54,96.78,1938800,82.57
"2007-11-29",96.66,98.28,96.32,97.53,1234500,83.21
"2007-11-30",98.9,99.04,97.23,99.04,1861500,84.5
"2007-12-03",99.47,99.57,97.7,98.72,773400,84.22
"2007-12-04",98.33,99.52,97.8,98.73,917000,84.23
"2007-12-05",99.84,100.75,99.04,100.25,1613800,85.53
"2007-12-06",100.21,102.31,99.78,102.19,1785900,87.18
"2007-12-07",102.32,102.75,101.39,101.77,1029000,86.83
"2007-12-10",101.85,103.58,101.53,103.08,1098400,87.94
"2007-12-11",100.28,103.26,100.14,102.51,3409500,87.46
"2007-12-12",105.02,105.02,101.01,101.73,2413000,86.79
"2007-12-13",101.43,103.15,100.79,102.91,1777800,87.8
"2007-12-14",102.93,102.93,101.39,101.39,1330800,86.5
"2007-12-17",101.87,101.92,98.93,98.98,1381200,84.45
"2007-12-18",99.9,102.61,99.86,101.9,1844100,86.94
"2007-12-19",101.99,101.99,99.22,99.23,1810500,84.66
"2007-12-20",100.08,100.09,96.91,98.1,2712600,83.69
"2007-12-21",99.46,101.4,98.88,100.82,1619400,86.01
"2007-12-24",101.55,101.6,100.42,100.88,390100,86.07
"2007-12-26",100.75,102.47,100.2,102.3,711900,87.28
"2007-12-27",102.15,102.77,100.79,100.85,885800,86.04
"2007-12-28",101.98,102.1,100.87,101.34,868600,86.79
"2007-12-31",101.21,101.47,98.5,98.63,1175900,84.46
"2008-01-02",98.76,98.8,95.79,96.58,1627900,82.71
"2008-01-03",97.09,97.72,96.29,97.46,1315000,83.46
"2008-01-04",96.82,98.26,95.62,96.42,1959200,82.57
"2008-01-07",97.2,97.27,94.36,96.68,1828800,82.79
"2008-01-08",97.56,97.61,94.04,94.33,2005200,80.78
"2008-01-09",95.08,95.36,92.02,94.65,2937600,81.06
"2008-01-10",90.87,93.89,90.8,92.05,2933700,78.83
"2008-01-11",91.03,92.65,89.91,90.38,2266800,77.4
"2008-01-14",92.7,93.98,90.5,93.87,1267900,80.39
"2008-01-15",92.09,93.83,90.82,90.89,1566700,77.84
"2008-01-16",90.38,90.82,88.22,88.9,2536900,76.13
"2008-01-17",88.98,89.97,84.58,84.64,2418700,72.48
"2008-01-18",85.06,88.5,83,85.15,2598000,72.92
"2008-01-22",83.13,85.33,81,84.13,3137000,72.05
"2008-01-23",84.2,87.21,80.73,86.76,3322700,74.3
"2008-01-24",86.7,89.67,86.7,88.78,3488800,76.03
"2008-01-25",89.8,90.97,88.93,89.41,2528400,76.57
"2008-01-28",89.71,91.25,89.41,91.25,1473600,78.14
"2008-01-29",91.84,92.77,90.55,91.42,1921500,78.29
"2008-01-30",90.62,92.7,89.23,89.56,2133700,76.7
"2008-01-31",88.29,90.69,87.15,89.67,2288600,76.79
"2008-02-01",90.56,92.55,90.31,92.34,1332900,79.08
"2008-02-04",92,92.3,91.11,91.27,799400,78.16
"2008-02-05",89.85,91.11,89.24,89.8,1778000,76.9
"2008-02-06",90.07,91.21,89.18,89.41,1624900,76.57
"2008-02-07",89.19,90.21,88.35,89.23,1969000,76.41
"2008-02-08",88.68,90.01,88.07,89.18,1005600,76.37
"2008-02-11",88.97,91,88.86,90.77,895200,77.73
"2008-02-12",91.15,92.91,90.89,91.79,1466000,78.61
"2008-02-13",92.31,93.53,91.28,92.22,1024700,78.98
"2008-02-14",92.16,92.96,91.33,91.58,1215000,78.43
"2008-02-15",91.41,91.85,90,91.75,1080500,78.57
"2008-02-19",92.62,93.81,92.2,92.84,1271200,79.51
"2008-02-20",92.24,94.99,91.84,94.81,1821100,81.19
"2008-02-21",94.9,95,92.24,92.42,1047100,79.15
"2008-02-22",92.78,93.46,91.36,93.44,867400,80.02
"2008-02-25",93.9,96.09,93.15,96.06,1280500,82.26
"2008-02-26",95.79,96.4,94.3,95.62,1207200,81.89
"2008-02-27",95.21,96.26,94.72,95.78,925300,82.02
"2008-02-28",94.93,95.43,93.13,93.94,1698400,80.45
"2008-02-29",92.97,93.41,90.84,91.33,1190100,78.21
"2008-03-03",91.4,92.67,91.09,92.58,1363300,79.28
"2008-03-04",92.15,92.15,89.56,90.53,1716300,77.53
"2008-03-05",90.49,93.32,90.49,92.32,1381500,79.06
"2008-03-06",92.05,92.75,91.09,91.21,1427500,78.11
"2008-03-07",90.67,90.67,87.37,87.68,2046500,75.09
"2008-03-10",87.58,87.64,84.51,84.59,2035500,72.44
"2008-03-11",86.32,89.26,86.09,89.26,2512100,76.44
"2008-03-12",89.49,91.2,89.11,89.39,1337400,76.55
"2008-03-13",88.33,90.97,87.7,90.5,1289600,77.5
"2008-03-14",90.98,91.59,87,89.14,1767300,76.34
"2008-03-17",86.86,90.87,86.86,89.53,1594500,76.67
"2008-03-18",90.66,93.83,90.62,93.61,1612000,80.17
"2008-03-19",93.88,95.77,89.87,89.87,1562700,76.96
"2008-03-20",89.99,90.69,88.08,90.14,2501200,77.19
"2008-03-24",90.32,95.61,90.32,93.99,2274600,80.49
"2008-03-25",94.33,95.47,93.56,94.28,1108200,80.74
"2008-03-26",94.21,95.1,93.32,93.66,1253600,80.21
"2008-03-27",93.51,94.13,92.05,92.65,1200600,79.34
"2008-03-28",93.28,93.28,90.9,90.98,1047600,78.29
"2008-03-31",90.04,92.47,89.96,92,1258000,79.16
"2008-04-01",93.35,95.69,92.2,95.69,1371900,82.34
"2008-04-02",95.58,96.92,95.02,96.42,1070100,82.97
"2008-04-03",95.1,98.14,95.1,96.72,1320300,83.22
"2008-04-04",96.7,98.36,96.53,97.4,1178600,83.81
"2008-04-07",98.31,99.38,96.81,97.58,1262800,83.96
"2008-04-08",96.09,97.77,95.9,97.15,965200,83.59
"2008-04-09",97.53,98.4,95.68,96.71,734900,83.22
"2008-04-10",96.53,97.16,95.44,96.59,950400,83.11
"2008-04-11",95.25,96.34,94.23,94.59,1019500,81.39
"2008-04-14",94.59,95.91,94.19,95.03,627100,81.77
"2008-04-15",95.99,97.75,95.1,95.88,1094200,82.5
"2008-04-16",96.89,99.69,96.32,99.56,1284800,85.67
"2008-04-17",99.06,100,96.88,99.3,1280300,85.44
"2008-04-18",101.1,101.94,100.41,101.73,1223700,87.54
"2008-04-21",100.62,101.91,100.47,101.77,761900,87.57
"2008-04-22",102.37,102.37,99.4,100.93,1160100,86.85
"2008-04-23",102.68,102.68,96.63,97.08,1988900,83.53
"2008-04-24",97.03,99.69,94.89,98.66,2572600,84.89
"2008-04-25",99.55,101.44,99.19,101.34,1309300,87.2
"2008-04-28",101.86,101.86,99.6,99.79,981700,85.87
"2008-04-29",98.57,99.46,97.01,97.4,1038600,83.81
"2008-04-30",98.2,99.82,97.83,98.43,1238300,84.7
"2008-05-01",98.67,98.9,96.22,97.99,1196100,84.32
"2008-05-02",98.4,98.85,97.44,98.26,1368500,84.55
"2008-05-05",97.29,98.83,97.29,98.61,858100,84.85
"2008-05-06",99.08,99.65,98.26,99.39,1666400,85.52
"2008-05-07",99.15,99.42,96.8,97.1,1224000,83.55
"2008-05-08",97.28,98.56,97.21,98.44,1125400,84.7
"2008-05-09",97.99,98.28,96.8,97.93,893200,84.27
"2008-05-12",98,99.65,96.97,99.54,776400,85.65
"2008-05-13",99.73,101.18,99.31,101.06,1518900,86.96
"2008-05-14",101.71,102.9,100.98,102.01,1444900,87.78
"2008-05-15",102.26,102.34,101.12,102.19,1112900,87.93
"2008-05-16",102.01,102.65,101.28,102.32,1022000,88.04
"2008-05-19",102.56,103.22,101.11,101.66,791600,87.48
"2008-05-20",101.5,103,100.8,102.71,1180500,88.38
"2008-05-21",102.75,103.16,99.88,100.09,1028800,86.12
"2008-05-22",100.19,101.66,99.16,99.91,1124600,85.97
"2008-05-23",99.61,99.75,97.68,98.48,1086600,84.74
"2008-05-27",98.48,98.9,97.24,98.32,885100,84.6
"2008-05-28",98.87,101.24,98.4,101.07,1345900,86.97
"2008-05-29",100.68,101.83,99.91,101.17,1088400,87.05
"2008-05-30",101.11,102.1,100.65,101.92,1034800,87.7
"2008-06-02",101.32,101.99,99.87,100.4,1163000,86.39
"2008-06-03",100.5,102.12,99.43,101.31,1358400,87.17
"2008-06-04",101.09,103.3,100.83,101.48,1232400,87.32
"2008-06-05",101.86,106.06,101.59,106.03,2462400,91.24
"2008-06-06",104.93,105.89,103.06,103.06,2105700,88.68
"2008-06-09",103.54,103.96,101.98,103.41,1812600,88.98
"2008-06-10",102.02,102.64,100.05,101.91,1719800,87.69
"2008-06-11",101.58,102.57,100.19,100.19,1544700,86.21
"2008-06-12",100.9,101.49,99.73,100.35,1611600,86.35
"2008-06-13",101.26,103.01,101,102.73,1556700,88.4
"2008-06-16",102.25,103.1,101.76,102.8,1496000,88.46
"2008-06-17",103.53,104.75,102.93,104.05,1471200,89.53
"2008-06-18",103.6,104.28,102.74,103.14,1205600,88.75
"2008-06-19",103.16,104.49,102.66,103.59,1370500,89.14
"2008-06-20",102.87,104.5,101.59,102.66,1835000,88.34
"2008-06-23",103.19,104.46,101.93,104.15,1234100,89.62
"2008-06-24",103.08,104.15,100.64,101,1827500,86.91
"2008-06-25",101.58,102.66,100.41,101.87,1860500,87.66
"2008-06-26",100.02,101.35,98.5,98.5,2194300,84.76
"2008-06-27",98.74,99.67,97.56,98.62,3866500,85.24
"2008-06-30",98.96,99.81,98.53,98.86,1629500,85.45
"2008-07-01",97.67,99.75,95.7,99.49,2489900,85.99
"2008-07-02",99.15,99.99,95.33,95.44,2905300,82.49
"2008-07-03",95.44,97.57,94.56,97.12,1319500,83.94
"2008-07-07",97.66,99.38,94.63,95.52,2552500,82.56
"2008-07-08",95.9,96.63,94.17,96.42,2265100,83.34
"2008-07-09",96.42,97.48,94.8,95,1465000,82.11
"2008-07-10",96.93,97.58,95.14,97.14,1791200,83.96
"2008-07-11",96.22,97.27,95.06,96.61,1394000,83.5
"2008-07-14",97.44,98.19,95.71,96.35,1654800,83.28
"2008-07-15",95.49,97.36,94.63,95.94,1471700,82.92
"2008-07-16",95.86,96.52,94.53,96.52,1843300,83.42
"2008-07-17",96.45,99,96.12,98.4,1971200,85.05
"2008-07-18",98.64,98.95,96.34,97.22,1551200,84.03
"2008-07-21",97.22,98.11,96.78,98,869400,84.7
"2008-07-22",97.5,98.99,95.95,98.68,1886000,85.29
"2008-07-23",99.25,99.25,95.9,97.7,2291700,84.44
"2008-07-24",100.14,100.14,94.77,94.83,2592200,81.96
"2008-07-25",95.11,95.79,94.38,95.39,1626700,82.45
"2008-07-28",95.28,96.51,94.64,94.89,1163900,82.02
"2008-07-29",94.9,97.18,94.9,96.28,1753800,83.22
"2008-07-30",96.69,97.2,96.29,97.03,1793400,83.87
"2008-07-31",96.4,96.91,94.96,95.21,1720100,82.29
"2008-08-01",95.71,97.1,92.65,92.96,2010300,80.35
"2008-08-04",92.93,92.95,90.04,90.72,2250800,78.41
"2008-08-05",90.63,92.97,90.63,91.95,2536900,79.47
"2008-08-06",91.76,93,90.01,91.23,2502600,78.85
"2008-08-07",90.29,90.29,88.24,88.97,3229600,76.9
"2008-08-08",88.97,90.1,87.74,89.92,1904400,77.72
"2008-08-11",89.91,89.99,86.16,87.22,2189600,75.39
"2008-08-12",87.25,88.85,87.21,88.26,1534600,76.29
"2008-08-13",88.05,91.8,88.05,91.31,2649100,78.92
"2008-08-14",90.25,91.32,89.57,90.3,1642000,78.05
"2008-08-15",90.37,91.48,89.66,90.55,1312400,78.26
"2008-08-18",92.3,92.61,90.18,90.7,1955200,78.39
"2008-08-19",90.09,91.37,90.09,90.9,1398900,78.57
"2008-08-20",91.06,92.01,90.76,91.83,1735200,79.37
"2008-08-21",91.42,92.27,91.23,91.85,977000,79.39
"2008-08-22",92.19,93.26,92.05,92.89,1041100,80.29
"2008-08-25",92.34,92.49,90.38,90.85,1093600,78.52
"2008-08-26",90.56,91.81,90.26,91.62,1011900,79.19
"2008-08-27",91.99,92.87,91.54,92.19,1035700,79.68
"2008-08-28",92.93,93.9,92.61,93.66,958100,80.95
"2008-08-29",93.31,93.71,91.85,91.85,791100,79.39
"2008-09-02",93.35,93.35,90.94,91.09,1498300,78.73
"2008-09-03",91.08,91.62,88.16,88.98,1491500,76.91
"2008-09-04",88.37,88.9,86.09,86.72,1621300,74.95
"2008-09-05",86.79,87.8,84.87,87.21,1679900,75.38
"2008-09-08",88.87,89.93,86.62,87.33,2155100,75.48
"2008-09-09",87.74,87.84,84.55,84.55,2699900,73.08
"2008-09-10",85,86.28,83.87,85.16,1897900,73.61
"2008-09-11",83.78,86.25,83.63,85.96,1470500,74.3
"2008-09-12",85.48,87.25,85,87,2344200,75.2
"2008-09-15",84.26,88.08,84.26,84.98,2047800,73.45
"2008-09-16",83.99,86.65,80,86,2405800,74.33
"2008-09-17",84.43,84.97,79.03,79.1,3922100,68.37
"2008-09-18",80.24,80.24,72.59,76.37,3862300,66.01
"2008-09-19",81.02,87.99,77.1,83.45,3030600,72.13
"2008-09-22",83.18,83.45,80.13,80.28,2322100,69.39
"2008-09-23",76.77,78.49,72.97,73.22,5248700,63.29
"2008-09-24",72.76,74.25,71.41,73.59,4435300,63.61
"2008-09-25",73.87,74.31,70.17,70.98,5994200,61.35
"2008-09-26",69.89,71.59,69.22,71.43,3066800,61.74
"2008-09-29",69.98,70.05,65.05,66.41,4102900,57.76
"2008-09-30",67.95,69.27,66.77,68.49,2799100,59.56
"2008-10-01",68.01,68.51,65.8,66.9,2220200,58.18
