"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2007-05-07",53.95,54.38,53.78,54.08,2470400,46.67
"2007-05-08",54.39,54.64,54.29,54.61,4442400,47.13
"2007-05-09",54.58,55.15,54.45,54.94,5123000,47.41
"2007-05-10",55.46,56.21,54.61,54.95,5204900,47.42
"2007-05-11",54.55,55.51,54.47,54.97,3267000,47.44
"2007-05-14",55.01,55.39,54.54,54.7,4045400,47.2
"2007-05-15",54.85,55.18,54.07,54.21,3569000,46.78
"2007-05-16",54.37,54.82,54.05,54.81,3004300,47.3
"2007-05-17",54.83,55.86,54.74,55.58,3636700,47.96
"2007-05-18",55.92,56.41,55.66,56.41,3785500,48.68
"2007-05-21",56.41,56.49,55.46,55.77,3520400,48.13
"2007-05-22",55.59,56.1,55.44,55.95,6028700,48.28
"2007-05-23",56.39,56.86,55.96,56.02,4089900,48.34
"2007-05-24",56.1,56.82,55.99,56.3,4901000,48.58
"2007-05-25",56.48,56.7,56.11,56.4,3398800,48.67
"2007-05-29",56.3,56.98,56.23,56.57,3269000,48.82
"2007-05-30",56.31,56.58,55.91,56.53,3146600,48.78
"2007-05-31",56.12,57.45,55.97,56.47,7044100,48.73
"2007-06-01",56.54,56.9,55.49,56.29,4948900,48.58
"2007-06-04",55.96,56.69,55.91,56.12,2748900,48.43
"2007-06-05",55.83,55.9,55.15,55.45,2962100,47.85
"2007-06-06",55.3,56.03,54.85,55.82,4982300,48.17
"2007-06-07",56.02,56.3,55.26,55.26,6938000,47.69
"2007-06-08",55.15,56.24,55.15,56.01,3979500,48.33
"2007-06-11",55.72,55.91,55.32,55.7,3112100,48.07
"2007-06-12",55.18,55.73,55.11,55.16,2497100,47.6
"2007-06-13",55.15,55.97,55.11,55.97,2841000,48.3
"2007-06-14",55.81,56.1,55.6,55.76,2303100,48.12
"2007-06-15",56.21,56.43,56.02,56.09,3866000,48.4
"2007-06-18",55.91,56.44,55.91,56,2356700,48.33
"2007-06-19",55.72,56.41,55.71,56.33,3411400,48.61
"2007-06-20",56.41,56.82,55.9,56.35,3718800,48.63
"2007-06-21",56.19,57.23,55.9,57.19,4933300,49.35
"2007-06-22",56.89,57.58,56.7,57.17,4497100,49.34
"2007-06-25",57.2,57.37,56.71,57.2,4001100,49.36
"2007-06-26",57.25,57.49,57.06,57.33,5055800,49.47
"2007-06-27",57.14,58.48,57.07,58.38,4680200,50.38
"2007-06-28",58.43,58.73,57.92,58.22,3731800,50.24
"2007-06-29",58.56,59.09,58.28,58.52,5020500,50.5
"2007-07-02",59.5,60.31,59.43,60.25,4434900,51.99
"2007-07-03",59.92,60.28,59.54,60.08,2887400,51.85
"2007-07-05",60.01,60.2,59.61,60.12,3085100,51.88
"2007-07-06",60.27,61.67,60.16,61.44,4270300,53.02
"2007-07-09",61.63,61.63,60.97,61.36,4354300,52.95
"2007-07-10",61,61,59.92,60.51,4773300,52.22
"2007-07-11",60.35,60.86,60.24,60.72,3568400,52.4
"2007-07-12",60.75,61.85,60.42,61.74,5231000,53.28
"2007-07-13",61.75,63.07,61.26,62.98,4582700,54.35
"2007-07-16",62.6,62.82,61.66,61.85,3022900,53.37
"2007-07-17",61.79,62.47,61.66,62.13,3739000,53.62
"2007-07-18",62.1,62.72,62.01,62.42,3953900,53.87
"2007-07-19",62.74,62.75,61.85,62.18,3089100,53.66
"2007-07-20",62.18,62.2,60.98,61.25,3686600,52.86
"2007-07-23",61.64,61.73,60.77,60.9,2602300,52.55
"2007-07-24",60.89,62.04,59.95,60.15,5152500,51.91
"2007-07-25",60.6,60.62,59.51,60.3,3540300,52.16
"2007-07-26",59.6,60.03,58.34,59.05,6301800,51.08
"2007-07-27",59.24,59.82,58.47,58.57,5130500,50.67
"2007-07-30",58.57,59.57,58.51,59.48,6304900,51.45
"2007-07-31",59.62,61.06,59.62,59.8,5861600,51.73
"2007-08-01",60,61.12,59,60.12,6664200,52.01
"2007-08-02",60.12,60.97,59.95,60.84,4209100,52.63
"2007-08-03",60.74,61.77,60.41,60.49,6106100,52.33
"2007-08-06",61.02,62.96,60.54,62.93,4649600,54.44
"2007-08-07",62.5,64.82,62.49,64.39,7913400,55.7
"2007-08-08",65,65.12,63.92,64.95,6706800,56.18
"2007-08-09",64.49,65.57,63.24,63.24,6793100,54.71
"2007-08-10",63,64.04,62.5,63.25,5193700,54.71
"2007-08-13",63,63.53,61.71,61.78,4150900,53.44
"2007-08-14",61.52,61.76,60.72,60.8,4331100,52.59
"2007-08-15",60.9,60.9,58.29,58.49,6955600,50.6
"2007-08-16",58.2,59.55,57.24,59.23,6470600,51.24
"2007-08-17",59.7,60.54,57.8,58.37,9738600,50.49
"2007-08-20",58.39,59.29,57.33,57.93,5438500,50.11
"2007-08-21",58.2,60.45,58.02,60.28,5421600,52.14
"2007-08-22",60.65,61.64,60.41,61.26,3367700,52.99
"2007-08-23",61.54,61.73,60.57,60.85,3881400,52.64
"2007-08-24",61.04,61.7,60.67,61.68,2274000,53.36
"2007-08-27",61.68,61.88,61.01,61.03,2294700,52.79
"2007-08-28",60.86,61.03,58.83,59,4337100,51.04
"2007-08-29",59.45,61.34,59.23,61.31,3218600,53.04
"2007-08-30",60.71,61.49,60.57,61.02,2108000,52.79
"2007-08-31",61.4,62.19,61.3,61.75,2462900,53.42
"2007-09-04",61.96,62.18,61.4,61.61,2382100,53.3
"2007-09-05",58.24,59.47,57.88,59,13475000,51.04
"2007-09-06",59.49,59.61,56.09,58.29,6376100,50.42
"2007-09-07",57.8,57.82,56.66,57,6050700,49.31
"2007-09-10",57.09,57.98,56.5,57.24,4859800,49.52
"2007-09-11",57.62,58.89,57.52,58.59,4301600,50.68
"2007-09-12",58.35,59.08,58.06,58.48,2841400,50.59
"2007-09-13",58.9,60.3,58.56,59.95,4344300,51.86
"2007-09-14",59.66,60.28,59.18,59.96,3167200,51.87
"2007-09-17",59.59,60.25,59.09,59.51,2825700,51.48
"2007-09-18",59.92,62.54,59.92,61.82,5150100,53.48
"2007-09-19",61.84,62.74,61.5,61.92,3882500,53.56
"2007-09-20",61.53,61.8,60.65,61.15,4020100,52.9
"2007-09-21",61.27,61.48,60.29,60.72,5831700,52.53
"2007-09-24",60.63,60.78,59.72,60.25,3798200,52.12
"2007-09-25",58.85,59.61,58.17,59.38,5152900,51.37
"2007-09-26",59.61,60.9,59.5,60.69,4334600,52.5
"2007-09-27",60.72,61.29,60.7,61.12,2786800,52.87
"2007-09-28",61.34,62.02,61.21,61.37,4080200,53.09
"2007-10-01",61.52,62.2,61.22,61.81,3953200,53.47
"2007-10-02",61.92,62,61.16,61.62,3905000,53.3
"2007-10-03",61.35,62.97,61.35,61.92,3019100,53.56
"2007-10-04",62.2,62.68,61.95,62.09,2375700,53.71
"2007-10-05",62.62,64,62.53,63.27,3691600,54.73
"2007-10-08",63.6,64.24,63.38,63.71,2658200,55.11
"2007-10-09",63.74,63.95,62.69,63.31,3992600,54.77
"2007-10-10",68.32,69.95,67.22,69.13,27403800,59.8
"2007-10-11",68.93,70.55,68.8,69.24,7133500,59.9
"2007-10-12",68.16,68.49,67.55,68,6862500,58.82
"2007-10-15",67.8,67.9,65.86,66.57,5391600,57.59
"2007-10-16",66.45,66.52,65.39,65.95,4375400,57.05
"2007-10-17",66.63,66.95,65.77,66.52,4546300,57.54
"2007-10-18",66.41,66.94,65.7,66.53,2731500,57.55
"2007-10-19",66.43,66.88,65.33,65.7,5402900,56.83
"2007-10-22",65.34,67.5,65.24,67.05,4508900,58
"2007-10-23",67.05,67.25,65.57,66.19,3497300,57.26
"2007-10-24",65.72,65.93,64.3,65.24,4713600,56.44
"2007-10-25",65.6,66.47,64.01,64.82,6781800,56.07
"2007-10-26",65.29,66.07,64.66,65.53,2850600,56.69
"2007-10-29",65.3,69.04,65.3,67,3375700,57.96
"2007-10-30",66.99,67.6,66.75,67.15,2503800,58.09
"2007-10-31",67.25,67.63,65.78,67.26,3819100,58.18
"2007-11-01",66.7,67.05,64.77,64.86,4383400,56.11
"2007-11-02",65.36,66.14,63.15,65.58,6153900,56.73
"2007-11-05",65.13,66.29,65.01,65.92,3731900,57.02
"2007-11-06",65.8,67.39,65.8,67.29,4472400,58.21
"2007-11-07",66.85,67.19,65.9,66.15,3690100,57.22
"2007-11-08",67.06,68,64.93,66.58,5856300,57.59
"2007-11-09",66.59,66.71,65,65.29,4290500,56.48
"2007-11-12",65.17,67.19,65.17,65.73,4463400,56.86
"2007-11-13",66.25,67.5,65.73,67.41,5841700,58.31
"2007-11-14",68,68.09,65.94,66.06,4518900,57.14
"2007-11-15",65.94,67.31,65.71,66.34,4668800,57.39
"2007-11-16",66.59,67.07,65.87,66.8,4407400,57.79
"2007-11-19",66.65,67.08,66.09,66.46,4345700,57.49
"2007-11-20",66.75,67.76,65.05,66.33,5156000,57.38
"2007-11-21",66.5,67.27,65.94,66.07,3721500,57.15
"2007-11-23",66.33,67.45,66.28,66.97,2076300,57.93
"2007-11-26",67.38,67.38,65.36,65.38,3648800,56.56
"2007-11-27",65.38,67.25,65.38,65.95,3905800,57.05
"2007-11-28",66.81,67.46,65.91,66.98,5521500,58.07
"2007-11-29",66.96,67.56,66.5,67.09,3399300,58.16
"2007-11-30",68,68.33,67.05,67.4,4936000,58.43
"2007-12-03",67.4,67.91,66.72,66.94,3641000,58.03
"2007-12-04",66.76,69.42,66.66,69.17,5067400,59.97
"2007-12-05",69.95,70.88,68.93,69.65,6381400,60.38
"2007-12-06",69.05,71.19,69,70.83,6545800,61.41
"2007-12-07",71.06,72.68,71,71.83,5401000,62.27
"2007-12-10",72.45,72.56,70.8,71.25,4611200,61.77
"2007-12-11",71.12,72.22,69.85,69.96,4818800,60.65
"2007-12-12",71.29,71.36,69.41,70.19,6842800,60.85
"2007-12-13",65.52,69.84,65.1,68.54,17559600,59.42
"2007-12-14",68.25,69.1,67.6,68.49,7735300,59.38
"2007-12-17",68.39,69,68.08,68.17,2972100,59.1
"2007-12-18",68.65,68.88,67.5,68.45,3273600,59.34
"2007-12-19",68.67,68.67,67.61,68.4,2743900,59.3
"2007-12-20",69.02,69.09,68,68.89,3112100,59.72
"2007-12-21",69.55,70.08,69.35,70.08,5863700,60.76
"2007-12-24",70.39,71,70.08,70.76,1093500,61.35
"2007-12-26",70.99,70.99,69.55,70.59,2083200,61.2
"2007-12-27",70.62,70.9,69.75,69.86,2093200,60.57
"2007-12-28",70.15,70.72,69.81,70.22,1910800,60.88
"2007-12-31",70.22,70.45,69.73,69.76,1862200,60.48
"2008-01-02",69.63,69.66,68.11,68.14,3736000,59.07
"2008-01-03",68.52,68.88,66.91,67.12,3501000,58.19
"2008-01-04",66.9,66.9,65.38,65.65,4936000,56.92
"2008-01-07",65.65,66.64,64.8,65.98,3973500,57.2
"2008-01-08",66.01,66.87,64.91,64.97,5856600,56.33
"2008-01-09",65.27,67.35,64.9,67.27,8802400,58.32
"2008-01-10",66.53,70.45,66.27,69.86,10950500,60.57
"2008-01-11",69.38,69.49,66,66.43,8229300,57.59
"2008-01-14",66.98,66.98,63.62,64.71,10121500,56.1
"2008-01-15",64.06,64.61,63.71,63.98,6862100,55.47
"2008-01-16",64,65.1,63.73,64.1,9600600,55.57
"2008-01-17",64.09,65.56,64.08,64.3,7161200,55.75
"2008-01-18",63.72,65.83,63.65,64.53,7358100,55.94
"2008-01-22",62.73,66.8,62.38,66.14,9818400,57.34
"2008-01-23",65.31,69,64.72,68.61,10043800,59.48
"2008-01-24",68.38,68.4,66.1,67.15,6217400,58.22
"2008-01-25",67.29,67.98,65.4,65.46,5562900,56.75
"2008-01-28",65.38,66.37,65,66.36,5407900,57.53
"2008-01-29",66.5,66.8,65.31,66.68,5705200,57.81
"2008-01-30",66.54,67.6,65.66,66.23,5766000,57.42
"2008-01-31",65.63,69.58,65.32,67.94,7975200,58.9
"2008-02-01",68.11,68.42,66.97,67.79,6057300,58.77
"2008-02-04",67.99,68.23,66.52,66.98,4288100,58.07
"2008-02-05",65.92,66.87,64.43,64.87,6934300,56.24
"2008-02-06",65.26,65.59,63.69,63.71,7394000,55.23
"2008-02-07",64.32,65.39,63.31,64.75,8453100,56.14
"2008-02-08",64.61,65.6,62.95,63.24,7423400,54.83
"2008-02-11",63.27,64.25,62.98,64,4825100,55.48
"2008-02-12",64.43,65.54,64.01,64.41,4451900,55.84
"2008-02-13",65.19,65.85,64.65,65.68,4922500,57.07
"2008-02-14",65.74,65.99,63.73,64.01,4277400,55.62
"2008-02-15",63.6,63.98,63.11,63.92,4250900,55.54
"2008-02-19",64.67,64.75,62.48,62.83,3887200,54.59
"2008-02-20",62.5,65,62.48,64.56,4911500,56.1
"2008-02-21",64.89,66,64.54,64.97,6183500,56.45
"2008-02-22",65.31,66.1,64.82,66.02,4368600,57.37
"2008-02-25",66.02,66.5,65.27,65.63,5986000,57.03
"2008-02-26",65.61,67.18,65.44,66.46,6913800,57.75
"2008-02-27",64.85,65,62.91,64.49,10423700,56.04
"2008-02-28",64.19,64.64,62.56,63.1,5432600,54.83
"2008-02-29",62.83,63.25,61.64,61.92,5399100,53.8
"2008-03-03",61.91,63.2,61.69,62.51,6205000,54.32
"2008-03-04",62.09,62.97,61.63,62.39,6800800,54.21
"2008-03-05",61.67,62.58,60.28,60.83,13979800,52.86
"2008-03-06",61.36,61.42,60,60.04,6139700,52.17
"2008-03-07",60,61.28,59.94,60.3,5712600,52.4
"2008-03-10",60.47,61.04,59.97,60.25,4895700,52.35
"2008-03-11",61.08,62.63,60.86,62.62,5926300,54.41
"2008-03-12",62.62,63.73,62.39,62.6,6355100,54.39
"2008-03-13",61.84,62.68,61.38,62.17,7257300,54.02
"2008-03-14",62.58,62.85,60.09,60.86,6801500,52.88
"2008-03-17",60.4,60.89,59.66,60.36,5413000,52.45
"2008-03-18",61.22,61.75,60.01,61.67,5704600,53.59
"2008-03-19",61.33,62.71,60.88,60.88,5412400,52.9
"2008-03-20",60.92,63.8,60.88,63.42,5915700,55.11
"2008-03-24",63.48,65.62,63.48,65.5,6447700,56.91
"2008-03-25",65.89,67.12,65.2,66.59,7618000,57.86
"2008-03-26",66.5,66.93,65.86,66.62,5810600,57.89
"2008-03-27",67.1,67.95,65.17,65.26,5307400,56.7
"2008-03-28",64.98,65.06,64.26,64.37,3116000,55.93
"2008-03-31",64.92,65.39,63.74,64.97,4127800,56.45
"2008-04-01",65.18,66.87,65.11,66.49,5742800,57.77
"2008-04-02",65.94,66.93,65.74,66.25,3978400,57.57
"2008-04-03",66.13,67.05,66.02,66.87,3128500,58.1
"2008-04-04",66.44,66.97,66.2,66.45,3712800,57.74
"2008-04-07",66.5,67.14,65.92,66.3,2927000,57.61
"2008-04-08",65.97,67.13,65.97,66.93,3068300,58.16
"2008-04-09",67.02,67.4,65.4,66.03,2997900,57.37
"2008-04-10",66.17,67.28,65.93,66.52,4891500,57.8
"2008-04-11",66.47,66.5,65.51,65.7,4058500,57.09
"2008-04-14",65.85,65.99,65.09,65.32,2593600,56.76
"2008-04-15",65.36,65.87,64.97,65.72,2661400,57.1
"2008-04-16",65.85,67.42,65.52,67.24,4909600,58.43
"2008-04-17",67.43,68.59,67.14,68.49,4911100,59.51
"2008-04-18",69.2,69.88,68.95,69.43,4981000,60.33
"2008-04-21",69.03,69.37,68.25,69.11,2802100,60.05
"2008-04-22",68.65,69.2,67.36,68.08,3396500,59.16
"2008-04-23",68.22,69.83,67.77,69.6,4142900,60.48
"2008-04-24",69.25,70.84,68.91,70.22,5546800,61.01
"2008-04-25",70.38,71.69,70,71.54,4626700,62.16
"2008-04-28",71.21,71.67,70.69,70.83,3575400,61.54
"2008-04-29",70.66,71.41,70.27,71,3183100,61.69
"2008-04-30",70.99,72.24,70.41,71.25,5117300,61.91
"2008-05-01",70.78,72.93,70.25,72,4656400,62.56
"2008-05-02",72.5,72.8,70.98,72.14,4448700,62.68
"2008-05-05",72.27,72.9,71.86,72.43,3415700,62.94
"2008-05-06",71.9,72.96,71.5,72.65,3538500,63.13
"2008-05-07",72.83,74.08,71.92,72.08,3670800,62.63
"2008-05-08",72.4,72.4,70.9,71.2,4701100,61.87
"2008-05-09",70.65,71.96,70.5,71.44,2782500,62.07
"2008-05-12",71.69,73.91,71.53,73.68,3528800,64.02
"2008-05-13",73.99,74.08,72.82,73.98,3768000,64.28
"2008-05-14",74.47,75.23,73.98,74.22,4171000,64.63
"2008-05-15",74.15,74.47,73.56,74.45,3612500,64.83
"2008-05-16",74.36,74.36,72.2,73.27,5690300,63.8
"2008-05-19",73.41,73.75,71.87,72.11,3963400,62.79
"2008-05-20",71.93,72.1,71,71.39,3740500,62.17
"2008-05-21",71.89,71.96,68.9,69.39,6635200,60.42
"2008-05-22",69.43,71.01,69.3,70.76,6521100,61.62
"2008-05-23",70.52,71.65,69.54,71.32,6182100,62.1
"2008-05-27",71.53,73.24,71.36,72.59,6240100,63.21
"2008-05-28",73.06,74.41,72.72,73.24,6563400,63.78
"2008-05-29",73.83,74.75,70.67,72.98,8817500,63.55
"2008-05-30",72.5,72.97,70.98,71.32,5908600,62.1
"2008-06-02",71.45,71.46,69.83,70.33,7114900,61.24
"2008-06-03",70.44,71.07,69.66,70.04,5971100,60.99
"2008-06-04",69.71,71.03,69.27,70.81,4615800,61.66
"2008-06-05",71.53,73.57,71.48,73.5,6103400,64
"2008-06-06",72.95,72.95,71,71.19,6308400,61.99
"2008-06-09",71.22,72.47,70.91,71.33,5510500,62.11
"2008-06-10",70.88,71.02,69.78,70.46,6616800,61.36
"2008-06-11",70.22,70.48,68.75,68.87,5864900,59.97
"2008-06-12",69.36,69.92,67.14,68.2,8404100,59.39
"2008-06-13",68.6,70.34,68.5,70.32,6884900,61.23
"2008-06-16",69.84,71.08,69.39,70.42,3972700,61.32
"2008-06-17",70.61,70.84,69.69,69.93,3639300,60.89
"2008-06-18",69.56,69.78,68.65,68.96,5099700,60.05
"2008-06-19",68.71,70.7,68.71,70.24,4711700,61.16
"2008-06-20",69.99,70.11,68.18,68.73,5460000,59.85
"2008-06-23",69.07,69.79,68.19,68.44,5222800,59.6
"2008-06-24",68.02,70.12,67.85,69.26,5187400,60.31
"2008-06-25",69.4,71.93,69.4,70.89,7661200,61.73
"2008-06-26",69.66,70.13,68.94,69.03,6761200,60.11
"2008-06-27",69.66,70.9,69.19,70.26,9101900,61.18
"2008-06-30",70,71.99,69.87,70.14,7608100,61.08
"2008-07-01",69.42,72.74,69.21,72.55,8572400,63.18
"2008-07-02",72.65,73.94,72.04,72.13,5225700,62.81
"2008-07-03",72.61,73.09,71.62,72.23,2633400,62.9
"2008-07-07",72.82,73.5,71.83,72.87,5202900,63.45
"2008-07-08",72.74,74.89,72.74,74.66,5979900,65.01
"2008-07-09",74.71,74.72,72.13,72.15,5511400,62.83
"2008-07-10",71.64,72.04,70.02,70.86,7238200,61.7
"2008-07-11",70.12,70.7,68.79,69.83,5146700,60.81
"2008-07-14",70.67,70.68,69.02,69.57,5260100,60.58
"2008-07-15",69.14,70.31,67.71,69.57,7814400,60.58
"2008-07-16",70.01,72.93,68.93,72.58,7751400,63.2
"2008-07-17",73,74.26,71.25,74.13,6776500,64.55
"2008-07-18",74.12,74.15,71.96,72.23,7249400,62.9
"2008-07-21",72.14,73.09,69.47,69.66,6269800,60.66
"2008-07-22",69.86,72.05,69.51,72,7971800,62.7
"2008-07-23",63.09,66.66,62.31,63.43,40327700,55.23
"2008-07-24",63.1,64.1,62.67,62.98,11113400,54.84
"2008-07-25",63.31,63.35,61.45,61.76,8608900,53.78
"2008-07-28",61.6,61.95,60.24,60.35,8306800,52.55
"2008-07-29",60.35,62.16,60.32,61.78,9240600,53.8
"2008-07-30",61.81,63.4,61.71,63,12036000,54.86
"2008-07-31",62.33,63.75,62.11,62.68,6712500,54.58
"2008-08-01",63.11,63.27,61.77,62.2,5735500,54.16
"2008-08-04",62.18,63.05,61.59,62.52,4223300,54.44
"2008-08-05",63.17,65,63.16,64.63,6882800,56.28
"2008-08-06",64.22,65.9,64.08,65.72,7900300,57.37
"2008-08-07",65.16,66.61,65.02,65.82,8414300,57.46
"2008-08-08",66.11,67.27,66.06,66.99,7178500,58.48
"2008-08-11",66.95,68.97,66.37,67.1,6363500,58.58
"2008-08-12",66.79,68.2,66.52,67.78,5146400,59.17
"2008-08-13",67.31,67.5,66.03,66.95,5372200,58.44
"2008-08-14",66.41,67.98,66.26,67.14,4225700,58.61
"2008-08-15",67.47,68.34,67.29,68,4690500,59.36
"2008-08-18",68.1,68.49,67.06,67.41,4119600,58.85
"2008-08-19",67.4,67.65,65.76,66.46,4898400,58.02
"2008-08-20",66.3,66.73,65.36,65.94,3761100,57.56
"2008-08-21",65.5,66.39,65.24,66.25,2984300,57.83
"2008-08-22",66.56,67.75,66.54,67.43,3510300,58.86
"2008-08-25",67.45,67.49,66.28,66.45,3202200,58.01
"2008-08-26",66.42,66.73,65.6,66.52,2622000,58.07
"2008-08-27",66.35,67.17,65.87,66.71,2851000,58.23
"2008-08-28",66.86,67.93,66.84,67.81,3031500,59.19
"2008-08-29",67.14,67.65,66.95,67.06,2831800,58.54
"2008-09-02",68.15,69.44,68.03,68.26,5241800,59.59
"2008-09-03",67,68.5,66.52,68.33,5869300,59.65
"2008-09-04",67.9,68.98,67.36,67.36,6158900,58.8
"2008-09-05",67.09,68.63,66.41,68.44,5903500,59.74
"2008-09-08",69.44,70.9,68.78,68.93,8855500,60.17
"2008-09-09",69.24,69.78,68.49,68.63,6780000,59.91
"2008-09-10",68.82,70.26,68.6,69.43,6010400,60.61
"2008-09-11",68.92,70.42,68.42,70.37,6455300,61.43
"2008-09-12",70.14,70.14,68.81,69.55,5410800,60.71
"2008-09-15",68.66,70,68.17,68.95,6569400,60.19
"2008-09-16",67.9,69.86,67.85,68.88,10797500,60.13
"2008-09-17",67.95,68.3,65.34,65.37,11423300,57.06
"2008-09-18",65.75,70.16,64.65,68.23,11588600,59.56
"2008-09-19",71,71,66.09,66.09,10335800,57.69
"2008-09-22",66.55,66.57,64.25,64.32,6314600,56.15
"2008-09-23",64.62,65.48,64.02,64.16,4405100,56.01
"2008-09-24",64.08,65.23,63.36,64.79,3521300,56.56
"2008-09-25",64.89,66.67,64.76,65.98,5293400,57.6
"2008-09-26",64.52,66.32,64.52,66.29,4508100,57.87
