"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2007-05-01",69.31,69.9,68.73,69.19,12722400,40.78
"2007-05-02",69.21,69.67,68.7,69.42,12135900,40.92
"2007-05-03",69.17,70.26,68.98,69.99,18584700,41.25
"2007-05-04",70.14,70.95,69.9,70.19,11104800,41.37
"2007-05-07",69.95,70.35,69.45,70.34,9066300,41.46
"2007-05-08",70.03,70.55,69.56,70.25,9688200,41.41
"2007-05-09",70.06,70.43,69.28,70.11,15474500,41.32
"2007-05-10",70.21,70.47,68.7,69.08,12943300,40.72
"2007-05-11",69.4,70.55,69.4,70.19,14258000,41.37
"2007-05-14",70.19,70.9,70.19,70.72,14011000,41.68
"2007-05-15",70.42,71.55,70.42,70.72,13104500,41.68
"2007-05-16",70.94,71.87,70.65,71.85,20797100,42.35
"2007-05-17",71.52,73.59,71,73.25,20607100,43.42
"2007-05-18",73.57,75.11,72.74,74.85,23021100,44.37
"2007-05-21",75.49,76.8,75.25,75.86,23177600,44.97
"2007-05-22",75,76.9,75,75.85,18116100,44.96
"2007-05-23",76.26,77.77,76.25,76.71,19037000,45.47
"2007-05-24",76.6,77.54,74.67,75.19,27765400,44.57
"2007-05-25",75.75,76.55,75.41,76.42,15270600,45.3
"2007-05-29",76.28,76.29,74.67,75.35,13853700,44.67
"2007-05-30",74.97,77.48,74.91,77.3,17119500,45.82
"2007-05-31",77.62,77.93,76.92,77.43,17746700,45.9
"2007-06-01",77.91,79.2,77.87,78.86,15130200,46.75
"2007-06-04",78.88,79.91,78.51,79.41,11615000,47.07
"2007-06-05",79.09,79.66,78.65,79.29,10026500,47
"2007-06-06",78.63,78.91,77.85,78.4,12944500,46.47
"2007-06-07",78.33,78.93,77.1,77.26,13287500,45.8
"2007-06-08",76.71,77.39,76.2,77.29,14432200,45.82
"2007-06-11",77.5,78.55,77.04,77.87,10085600,46.16
"2007-06-12",77.85,78.19,77.05,77.12,12539900,45.72
"2007-06-13",77.31,78.19,77.3,77.75,17689100,46.09
"2007-06-14",78.33,79.42,78,79.22,11042300,46.96
"2007-06-15",79.99,80.76,79.61,80.52,15666900,47.73
"2007-06-18",80.72,81.4,80.62,80.69,9903000,47.83
"2007-06-19",80.29,80.5,79.78,80.23,11506200,47.56
"2007-06-20",80.41,80.78,78.1,78.2,14220900,46.36
"2007-06-21",78.92,79.88,78.5,79.67,13560100,47.23
"2007-06-22",79.59,80,78.16,78.74,16291800,46.68
"2007-06-25",78.25,79.53,77.81,78.04,16821500,46.26
"2007-06-26",78.4,78.54,75.31,75.8,22542300,44.93
"2007-06-27",74.77,77.5,74.54,77.26,20131800,45.8
"2007-06-28",77.54,77.99,76.53,76.74,13105600,45.49
"2007-06-29",77.98,78.53,77.43,78.5,14610300,46.53
"2007-07-02",78.89,80.5,78.88,80.01,17804300,47.43
"2007-07-03",79.68,81.06,79.61,80.62,7178600,47.79
"2007-07-05",80.72,81.26,79.87,80.72,16047100,47.85
"2007-07-06",81.2,81.72,80.9,81.04,10261600,48.04
"2007-07-09",81.15,84.73,80.98,84.05,23530400,49.82
"2007-07-10",83.85,86.87,83.35,84.12,29525900,49.86
"2007-07-11",84.68,86.23,84.58,85.59,23350900,50.74
"2007-07-12",86.35,88.65,85.59,88.64,23512700,52.54
"2007-07-13",89.4,90.84,88,90.17,18268900,53.45
"2007-07-16",89.6,90.12,85.68,87.13,33744500,51.65
"2007-07-17",87.75,88.4,85.64,85.98,18855900,50.97
"2007-07-18",85.48,87.55,85.46,87.4,17864100,51.81
"2007-07-19",87.91,88.44,87.29,87.36,12353100,51.79
"2007-07-20",87.1,87.18,85.63,86.3,15357300,51.16
"2007-07-23",86.19,86.23,84.02,85.63,15912300,50.76
"2007-07-24",85.09,85.13,81.84,82.33,20865100,48.8
"2007-07-25",82.59,84.95,81.29,84.29,19029900,49.97
"2007-07-26",83.01,83.98,79.2,81.81,24674100,48.5
"2007-07-27",81.02,81.95,79.07,79.8,22963600,47.54
"2007-07-30",80.5,81.75,79.52,81.39,15877700,48.49
"2007-07-31",82.42,82.88,80.67,80.84,16410900,48.16
"2007-08-01",80.14,82.58,78.36,80.75,21977500,48.11
"2007-08-02",81.1,81.5,78.86,80.26,18130500,47.82
"2007-08-03",80.02,81.37,77.5,77.59,19157400,46.23
"2007-08-06",77.93,79.14,75.24,78.95,22262500,47.04
"2007-08-07",77.89,80.94,77.2,79.98,20824200,47.65
"2007-08-08",80.12,81.92,79.5,80.67,15891200,48.06
"2007-08-09",78.7,80.39,78.22,78.23,16635100,46.61
"2007-08-10",77.5,78.8,76,78.21,22175600,46.59
"2007-08-13",79.02,80.37,78.52,79.2,14312800,47.18
"2007-08-14",79.89,80.39,78.55,78.86,15047400,46.98
"2007-08-15",78.96,80.11,77.06,77.38,18794900,46.1
"2007-08-16",76.01,77.87,73.75,77.28,29146400,46.04
"2007-08-17",78.9,80,78.07,79.13,19568200,47.14
"2007-08-20",78.9,80.4,78.25,79.86,15471400,47.58
"2007-08-21",79.05,79.68,77.79,78.24,15295600,46.61
"2007-08-22",78.68,79.11,78.11,78.9,16117200,47.01
"2007-08-23",79.75,79.86,78.21,79.4,11948600,47.3
"2007-08-24",79.79,81,79.58,80.74,11980700,48.1
"2007-08-27",80.04,81.52,80.02,80.98,14288600,48.25
"2007-08-28",80.18,80.65,78.64,78.81,12163300,46.95
"2007-08-29",79.53,82.1,79.14,81.77,12145000,48.72
"2007-08-30",81.23,82.24,80.8,81.29,12321100,48.43
"2007-08-31",82.45,82.81,81.58,81.89,11687300,48.79
"2007-09-04",81.71,84.16,81.58,83.48,11915100,49.73
"2007-09-05",83.19,83.19,81.44,82.12,13089100,48.92
"2007-09-06",82.75,83.9,82.58,83.63,12805800,49.82
"2007-09-07",82.75,83.47,82.16,82.81,11457700,49.34
"2007-09-10",82.91,83.1,80.93,82.19,12573500,48.97
"2007-09-11",82.66,83.86,81.03,83.53,15336000,49.76
"2007-09-12",83.08,85.3,83.08,84.85,13077800,50.55
"2007-09-13",85.56,86.11,84.86,85.11,10311700,50.71
"2007-09-14",84.6,85.91,84.27,85.27,9459600,50.8
"2007-09-17",84.71,85.66,84.42,84.73,9470900,50.48
"2007-09-18",84.65,88.24,84.24,87.79,14467500,52.3
"2007-09-19",88.48,89.5,87.9,88.29,14017700,52.6
"2007-09-20",88.55,88.98,83.5,88.41,9503800,52.67
"2007-09-21",89.18,89.64,88.41,88.94,12698100,52.99
"2007-09-24",88.94,89.74,88.43,89.18,16152000,53.13
"2007-09-25",88.07,88.07,87.08,87.29,13338600,52
"2007-09-26",87.95,88.31,86.21,87.3,13280000,52.01
"2007-09-27",88.16,88.5,87.54,87.96,15066100,52.4
"2007-09-28",88.16,88.9,87.12,87.77,9340200,52.29
"2007-10-01",86.77,87.82,86.61,87.39,12942700,52.06
"2007-10-02",86.78,86.78,84.5,85.47,16614000,50.92
"2007-10-03",84.39,84.76,83.49,84.06,15673300,50.08
"2007-10-04",83.39,84.49,82.41,83.94,18757600,50.01
"2007-10-05",84.26,84.55,83.44,84.2,8878600,50.16
"2007-10-08",83.55,84.65,83.5,84.33,10002500,50.24
"2007-10-09",84.78,86.32,84.44,85.88,13744900,51.16
"2007-10-10",84.36,87.36,84.36,86.73,12706000,51.67
"2007-10-11",87.08,87.77,85,85.72,15167600,51.07
"2007-10-12",86.27,86.87,85.48,85.72,8677800,51.07
"2007-10-15",86.6,86.86,85.48,86.36,12188500,51.45
"2007-10-16",86.2,88.15,86.03,87.8,16477700,52.31
"2007-10-17",87.97,88.82,86.4,87.46,16318900,52.11
"2007-10-18",87.01,88.21,86.82,88.01,10840000,52.43
"2007-10-19",87.67,87.68,84.36,85.07,14934900,50.68
"2007-10-22",83.99,84.33,81.6,83.12,17359300,49.52
"2007-10-23",83.39,83.93,81.83,83.22,13599500,49.58
"2007-10-24",83.22,83.22,80.5,81.65,19098900,48.64
"2007-10-25",82.15,84.5,81.28,83.69,17230200,49.86
"2007-10-26",85.12,85.33,83.8,84.81,12036700,50.53
"2007-10-29",85.01,85.12,84.48,84.63,8812000,50.66
"2007-10-30",83.8,83.83,82.45,82.72,16354500,49.52
"2007-10-31",83.44,85.52,82.6,84.96,17593300,50.86
"2007-11-01",83.6,84.93,82.68,83.21,15496800,49.81
"2007-11-02",83.13,84.85,82.45,84.57,16268800,50.63
"2007-11-05",82.72,85,82.7,83.92,13244000,50.24
"2007-11-06",83.99,85.29,83.99,85.14,13342000,50.97
"2007-11-07",84.61,85.49,82.35,82.41,15673300,49.34
"2007-11-08",82.3,85.19,82.3,83.95,19210400,50.26
"2007-11-09",82.64,83.57,81.5,82.56,16529500,49.43
"2007-11-12",81.78,81.97,78.8,78.97,18372900,47.28
"2007-11-13",79.47,79.82,77.26,79.77,16904800,47.76
"2007-11-14",80.48,81.64,78.84,79.37,15640500,47.52
"2007-11-15",78.78,79.79,77.06,78.04,16713800,46.72
"2007-11-16",78.68,79.73,78.12,78.93,16191000,47.25
"2007-11-19",78.55,79.24,77.09,77.13,14484500,46.17
"2007-11-20",77.54,79.87,77.54,79.29,20189300,47.47
"2007-11-21",78.67,80.12,77.68,77.82,14630700,46.59
"2007-11-23",78.18,79.35,77.95,79.12,6545800,47.37
"2007-11-26",79,79.89,76.61,76.7,16494900,45.92
"2007-11-27",76.3,76.35,74.18,76.06,23776100,45.53
"2007-11-28",76.27,78.08,76.1,77.72,21050600,46.53
"2007-11-29",77.91,79.25,77.73,78.82,17729400,47.19
"2007-11-30",79.27,80.8,78.5,80.04,27904400,47.92
"2007-12-03",79.01,80.75,78.73,80.25,13068800,48.04
"2007-12-04",79.93,80.47,79.36,79.71,11577100,47.72
"2007-12-05",81.45,81.78,80.6,81.36,14380500,48.71
"2007-12-06",81.2,83.66,81.2,83.3,11459200,49.87
"2007-12-07",83.5,83.88,82.23,83.3,9183500,49.87
"2007-12-10",83.37,84,83.05,83.45,8595800,49.96
"2007-12-11",83.45,84.07,81.51,81.69,13376700,48.9
"2007-12-12",83.25,84.7,82.42,83.37,15668400,49.91
"2007-12-13",82.79,84.75,82.61,84.64,12527900,50.67
"2007-12-14",83.78,84.64,83.17,83.29,12767100,49.86
"2007-12-17",82.91,83.16,81.57,81.91,12471600,49.04
"2007-12-18",82.5,83.88,82.18,83.54,13977300,50.01
"2007-12-19",83.72,84.79,83.26,84.19,11110200,50.4
"2007-12-20",84.64,85.3,83.85,85.23,12366400,51.02
"2007-12-21",85.35,87.08,85.35,86.71,19534300,51.91
"2007-12-24",87.02,87.87,86.7,87.19,5629900,52.2
"2007-12-26",87.64,89.29,87.29,88.97,10250200,53.26
"2007-12-27",88.92,89.3,88.44,88.65,10633100,53.07
"2007-12-28",89,89.89,88.65,89.13,9596300,53.36
"2007-12-31",89.1,89.13,87.7,88.3,8596000,52.86
"2008-01-02",88.75,89.71,86.86,87.89,15079200,52.62
"2008-01-03",88.01,89.05,88.01,88.25,11269300,52.83
"2008-01-04",87.08,87.81,85.4,85.56,14580300,51.22
"2008-01-07",86.25,86.49,83.79,84.39,17771600,50.52
"2008-01-08",84.85,85.61,82.27,82.51,16222900,49.4
"2008-01-09",82.55,83.93,82.16,83.71,16939000,50.11
"2008-01-10",82.94,84.26,82.72,83.9,17302900,50.23
"2008-01-11",83.29,84.7,82.63,83.04,14558500,49.71
"2008-01-14",83.98,84.11,82.91,83.39,13133700,49.92
"2008-01-15",82.52,83.45,80.61,80.61,20028900,48.26
"2008-01-16",80.25,80.6,76.7,77.09,29591500,46.15
"2008-01-17",77.3,78.13,73.11,73.48,26460900,43.99
"2008-01-18",74,75.15,71.47,72.89,31310100,43.64
"2008-01-22",68.95,71.56,68.12,71.18,37003900,42.61
"2008-01-23",70.37,72.09,67.85,71.73,31989300,42.94
"2008-01-24",72.52,74.94,72.27,74.47,32861000,44.58
"2008-01-25",76.04,77.23,73.39,74.13,22697800,44.38
"2008-01-28",74.39,76.48,73.24,76.41,18141300,45.74
"2008-01-29",76.67,78.71,76.67,78.27,18873300,46.86
"2008-01-30",78.09,80.75,77.55,79.13,19785200,47.37
"2008-01-31",78.05,80.87,77.25,80.11,20729700,47.96
"2008-02-01",80.5,80.83,79.54,80.36,17141400,48.11
"2008-02-04",80.37,80.62,79.56,79.76,13046000,47.75
"2008-02-05",78.52,78.52,76.08,76.09,18628700,45.55
"2008-02-06",76.71,77.05,73.36,73.47,20040900,43.98
"2008-02-07",73.06,75.06,72.98,74.52,18859600,44.61
"2008-02-08",74.27,75.74,74.27,75.38,15129800,45.13
"2008-02-11",75.38,77.15,74.81,76.97,18057100,46.08
"2008-02-12",76.85,77.71,75.5,76.4,15608900,45.74
"2008-02-13",76.71,79.05,76.32,78.65,16915700,47.08
"2008-02-14",79.16,80.14,78.62,78.96,15426000,47.27
"2008-02-15",79,79.42,77.68,79.05,13971500,47.32
"2008-02-19",80.32,81.87,79.89,80.64,18531000,48.28
"2008-02-20",79.78,82.27,79.3,81.6,13539000,48.85
"2008-02-21",81.35,81.35,79.48,79.81,14397600,48.06
"2008-02-22",80.25,80.7,78.84,80.61,14199200,48.54
"2008-02-25",80.61,82.57,80.61,82.26,11013700,49.53
"2008-02-26",82.02,84.84,81.75,84.6,19828800,50.94
"2008-02-27",84.01,84.84,83.63,84.13,12742300,50.66
"2008-02-28",83.69,85.6,83.69,85.2,12175800,51.3
"2008-02-29",85.15,85.27,82.2,82.71,14160300,49.8
"2008-03-03",82.45,84.29,82.39,83.44,14292800,50.24
"2008-03-04",82.5,83.2,79.87,81.5,22040700,49.07
"2008-03-05",81.63,83.53,80.95,82.63,17354500,49.75
"2008-03-06",82.39,82.64,80,80.14,14451100,48.25
"2008-03-07",79.75,80,77.78,78.36,17438600,47.18
"2008-03-10",78.5,78.88,77.22,77.35,17665400,46.57
"2008-03-11",79.18,79.91,77.45,79.5,20473400,47.87
"2008-03-12",78.98,79.25,77.72,78.32,16292300,47.16
"2008-03-13",77.16,78.69,77.06,78.02,21381400,46.98
"2008-03-14",78.48,79.03,76.16,77.49,16664100,46.66
"2008-03-17",75.6,76.88,74.73,75.88,21104500,45.69
"2008-03-18",77.47,78.27,76.46,78.27,15046500,47.13
"2008-03-19",77.02,78.98,73.36,73.61,20174700,44.32
"2008-03-20",72.75,75.03,71.58,74.83,26545700,45.06
"2008-03-24",75,76.77,74.41,75.6,11997600,45.52
"2008-03-25",75.75,75.86,73.93,74.53,21099100,44.88
"2008-03-26",75.15,76.62,74.51,76.31,21511100,45.95
"2008-03-27",77.05,77.85,75.63,75.73,13434700,45.6
"2008-03-28",76.27,76.54,75.03,75.67,10697800,45.56
"2008-03-31",75.85,76.68,75.39,76.21,12940700,45.89
"2008-04-01",75.71,77.76,75.52,77.72,11253500,46.8
"2008-04-02",77.72,79.35,77,78.77,11090400,47.43
"2008-04-03",78,79.69,77.81,78.38,11641900,47.19
"2008-04-04",78.65,79.55,78.62,78.81,9487000,47.45
"2008-04-07",79.5,80.16,78.65,78.9,10676700,47.51
"2008-04-08",78.19,79.68,78.19,79.47,8535300,47.85
"2008-04-09",79.67,80.63,79.3,79.43,12120300,47.83
"2008-04-10",79.59,80,78.48,79.32,13053500,47.76
"2008-04-11",79.18,79.58,78.54,78.59,8228900,47.32
"2008-04-14",78.75,80.23,78.6,79.81,11420600,48.06
"2008-04-15",80.25,81.44,80.11,81.24,15251000,48.92
"2008-04-16",81.39,82.93,81.39,82.81,14098200,49.86
"2008-04-17",81.72,83.39,81.62,82.81,10965500,49.86
"2008-04-18",83.15,84,82.43,83.89,14167100,50.51
"2008-04-21",83.88,84.82,83.56,84.34,11412600,50.78
"2008-04-22",84.2,85.2,84.01,84.89,11700100,51.11
"2008-04-23",84.96,85.13,83.98,84.48,13159400,50.87
"2008-04-24",83.62,84.1,82.35,82.89,18780600,49.91
"2008-04-25",83.53,84.2,83.15,83.57,14098300,50.32
"2008-04-28",83.65,84.93,83.63,84.44,14733400,50.84
"2008-04-29",84.19,85.9,84.19,85.45,17849500,51.45
"2008-04-30",85.69,86.68,85.3,86.15,16848500,51.87
"2008-05-01",85.24,86.91,84.22,86.64,19958600,52.17
"2008-05-02",86.84,87.5,86.21,86.88,11751800,52.31
"2008-05-05",87,88,86.96,87.18,10902600,52.49
"2008-05-06",87.49,89.08,87.31,88.74,21960700,53.43
"2008-05-07",88.77,89.37,87.6,87.91,20276100,52.93
"2008-05-08",88,89.5,87.87,89.45,17786800,53.86
"2008-05-09",89.5,89.6,87.79,88.71,14395500,53.41
"2008-05-12",88.48,88.81,87.63,88.59,12445500,53.34
"2008-05-13",88.41,89.36,87.9,88.62,16063100,53.36
"2008-05-14",88.78,89.97,88.32,88.54,18784200,53.31
"2008-05-15",89.42,89.89,87.81,89.31,17076200,53.78
"2008-05-16",89.82,92.15,89.76,91.98,21970400,55.38
"2008-05-19",92.36,93.55,92.13,92.7,14394300,55.82
"2008-05-20",93.38,94.14,93.06,93.55,20832900,56.33
"2008-05-21",93.69,95.07,92.56,92.83,28363400,55.9
"2008-05-22",92.58,93.45,91.26,92,26281200,55.68
"2008-05-23",92.4,92.69,90.53,91.4,22316800,55.31
"2008-05-27",90.67,90.94,89.67,90.69,18038200,54.88
"2008-05-28",90.01,92.56,89.86,92.56,18317100,56.02
"2008-05-29",92.18,92.63,90.52,90.96,21119300,55.05
"2008-05-30",91.37,93.1,91.01,93.1,31812600,56.34
"2008-06-02",92.3,93.09,91.52,92.95,17439700,56.25
"2008-06-03",92.83,93.49,91.59,91.65,18605700,55.47
"2008-06-04",91.3,91.52,88.88,89.19,21058200,53.98
"2008-06-05",89.35,94.05,89.35,93.82,20433500,56.78
"2008-06-06",94.1,95.74,92.05,92.17,26957000,55.78
"2008-06-09",92.98,95.84,92.93,95.24,18055900,57.64
"2008-06-10",94.76,94.92,91.92,92.87,18528800,56.2
"2008-06-11",93.69,94.76,93.02,94.08,17319100,56.94
"2008-06-12",93.49,93.49,91.75,92.49,18846000,55.97
"2008-06-13",91.93,94.69,91.61,94.26,15376900,57.05
"2008-06-16",94.74,95.86,94.4,94.58,13948700,57.24
"2008-06-17",94.7,95.96,94.05,95.78,12051200,57.97
"2008-06-18",95.01,95.61,93.77,95.14,13489300,57.58
"2008-06-19",95.42,95.94,93.38,93.66,15733400,56.68
"2008-06-20",94.08,94.43,92.27,92.76,19212000,56.14
"2008-06-23",92.03,95.54,92.03,95.54,15818900,57.82
"2008-06-24",95.02,95.92,94.06,94.68,14352600,57.3
"2008-06-25",95.22,95.34,93.18,94.02,20425800,56.9
"2008-06-26",94.06,94.54,92.01,92.62,19697700,56.05
"2008-06-27",92.81,93.67,91.54,91.64,21068700,55.46
"2008-06-30",91.71,94.65,91.71,94.39,20362800,57.12
"2008-07-01",94.47,94.65,93.01,94.44,16676400,57.15
"2008-07-02",94.5,94.6,90.5,90.75,24623200,54.92
"2008-07-03",91.42,93.07,89.5,91.84,15693200,55.58
"2008-07-07",91.11,92.84,89.2,90.36,20093200,54.69
"2008-07-08",89.33,89.87,87.71,89.15,24007000,53.95
"2008-07-09",89.22,91.19,87.54,87.7,19095000,53.08
"2008-07-10",87.89,90.1,87.04,90.1,17158600,54.53
"2008-07-11",90.99,90.99,87.27,88.13,18590300,53.34
"2008-07-14",88.89,89.72,87.33,88.47,12125700,53.54
"2008-07-15",88.1,88.31,84.54,84.82,23061700,51.33
"2008-07-16",84.75,84.93,82.58,83.19,30523300,50.35
"2008-07-17",83.45,83.87,81.6,82.89,29338200,50.16
"2008-07-18",83.08,84.34,82.6,83.91,19840200,50.78
"2008-07-21",84.41,85.99,84.13,85.86,14313300,51.96
"2008-07-22",85.5,85.98,83.77,84.31,16421700,51.02
"2008-07-23",84.81,84.81,81.46,81.83,20718200,49.52
"2008-07-24",82.29,83.18,81.29,81.79,18666000,49.5
"2008-07-25",81.98,83.39,80.33,81.98,14774800,49.61
"2008-07-28",83.08,83.34,81.41,82.25,14530700,49.78
"2008-07-29",81.8,82.4,79.3,80.27,17718500,48.86
"2008-07-30",80.05,84.99,79.91,84.68,20583600,51.54
"2008-07-31",84.04,84.04,81.43,81.62,18122100,49.68
"2008-08-01",81.16,83.23,80.83,81.15,13562700,49.39
"2008-08-04",81.24,81.6,79.01,79.45,20438400,48.36
"2008-08-05",79.17,80.2,78.46,79.84,16146200,48.6
"2008-08-06",79.74,81.55,79.68,81.39,14871000,49.54
"2008-08-07",81.99,82.74,80.77,80.78,14188300,49.17
"2008-08-08",80,80.98,78.36,80.91,12730400,49.25
"2008-08-11",81.15,81.8,78.9,80.23,14946300,48.83
"2008-08-12",80.89,81.29,79.68,79.95,13399900,48.66
"2008-08-13",79.81,82.75,79.75,82.37,17179700,50.14
"2008-08-14",81.96,82,77.9,79.37,22738700,48.31
"2008-08-15",79.05,79.07,77.12,77.66,20159200,47.27
"2008-08-18",78.06,79.2,76.71,77,13331500,46.87
"2008-08-19",76.71,79.57,76.71,79.25,15844500,48.24
"2008-08-20",80.09,81.16,79.44,80.85,16553900,49.21
"2008-08-21",81.69,85.42,81.41,85.05,20358700,51.77
"2008-08-22",84.4,84.59,82.38,83.18,11522600,50.63
"2008-08-25",83.22,83.68,81.35,81.82,10702500,49.8
"2008-08-26",82.13,83.69,81.79,82.38,10240900,50.14
"2008-08-27",83.24,84.25,82.86,83.47,10999400,50.81
"2008-08-28",84.14,84.8,82,83.31,10524800,50.71
"2008-08-29",83.99,83.99,82.39,82.51,10497100,50.22
"2008-09-02",80.39,80.58,78.48,79,16572000,48.08
"2008-09-03",78.71,79.51,77.67,79.09,17706800,48.14
"2008-09-04",78.91,79.81,75.83,76.48,16563200,46.55
"2008-09-05",76.54,77.11,73.61,75.43,17924000,45.91
"2008-09-08",76.77,77.19,73.68,74.69,19730100,45.46
"2008-09-09",73.86,74.4,68.25,68.31,31471800,41.58
"2008-09-10",69.24,72.6,69.19,71.87,22568200,43.75
"2008-09-11",71.15,72.64,69.81,72.48,21744600,44.12
"2008-09-12",72.37,74.06,71.89,73.43,15907400,44.69
"2008-09-15",70.49,72.54,68.6,68.72,22636500,41.83
"2008-09-16",67.84,72.77,67.4,72.28,26189100,43.99
"2008-09-17",72.55,77.75,69.03,69.32,26573900,42.19
"2008-09-18",70.99,73.15,69.04,72.26,27115100,43.98
"2008-09-19",75.2,79.88,73.6,78.31,27555900,47.66
"2008-09-22",79.21,79.25,76.59,77.72,20932100,47.31
"2008-09-23",77.32,78.53,73.94,74.58,18464200,45.39
"2008-09-24",75.32,75.91,73.74,74.85,15703600,45.56
"2008-09-25",75.31,77.8,74.72,76.85,17714200,46.78
