"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"2007-03-26",54.26,54.49,52.82,53.61,564500,53.61
"2007-03-27",53.69,53.7,52.61,52.94,1219700,52.94
"2007-03-28",52.53,52.68,52.06,52.42,532600,52.42
"2007-03-29",52.79,52.96,52,52.59,932700,52.59
"2007-03-30",52.51,53.46,52.12,53.26,754800,53.26
"2007-04-02",53.41,54.8,53.33,54.54,1060700,54.54
"2007-04-03",54.87,55.04,54.13,54.35,715100,54.35
"2007-04-04",54.47,54.6,54.01,54.41,621800,54.41
"2007-04-05",54.51,54.85,54.31,54.54,379100,54.54
"2007-04-09",54.95,55.43,53.92,54.21,743700,54.21
"2007-04-10",54.26,54.98,54.09,54.89,392900,54.89
"2007-04-11",54.89,55.54,54.85,55.27,759000,55.27
"2007-04-12",55.24,55.72,54.44,55.07,654200,55.07
"2007-04-13",55,55.57,54.58,55.57,667100,55.57
"2007-04-16",55.7,56.39,54.82,56.3,1684100,56.3
"2007-04-17",56.29,56.95,55.68,56.74,698500,56.74
"2007-04-18",56.32,56.71,55.9,56.17,466700,56.17
"2007-04-19",55.95,55.95,54.37,54.44,636700,54.44
"2007-04-20",54.94,54.94,54.31,54.39,501600,54.39
"2007-04-23",54.35,54.9,54.05,54.31,586000,54.31
"2007-04-24",54.49,55.16,54.29,54.72,616900,54.72
"2007-04-25",54.76,55.83,54.57,55.39,1276500,55.39
"2007-04-26",55.3,57.61,55.29,57.1,1341000,57.1
"2007-04-27",56.83,57.14,56.7,57,599500,57
"2007-04-30",56.87,57.83,55.51,55.64,897000,55.64
"2007-05-01",56.04,56.99,55.99,56.62,1009500,56.62
"2007-05-02",56.92,57.48,56.24,56.46,615800,56.46
"2007-05-03",56.28,57.72,56.2,57.5,894100,57.5
"2007-05-04",61.04,63.65,59.58,62.36,3542400,62.36
"2007-05-07",62.06,62.74,61.01,62.54,1316400,62.54
"2007-05-08",62.17,64.12,62.03,64.05,1026700,64.05
"2007-05-09",62.43,62.6,57.85,58.28,3320700,58.28
"2007-05-10",58.17,58.49,56.5,56.52,1444000,56.52
"2007-05-11",56.44,57.46,56.02,56.75,1505700,56.75
"2007-05-14",56.65,57.3,55.45,55.76,848300,55.76
"2007-05-15",55.78,55.89,54.43,54.61,1767000,54.61
"2007-05-16",54.56,55.45,53.8,55.22,1554300,55.22
"2007-05-17",56.55,58.19,56.35,57.34,2296400,57.34
"2007-05-18",58.95,62.21,58.8,60.89,2742100,60.89
"2007-05-21",60.96,61.19,60.1,60.28,1035900,60.28
"2007-05-22",60.26,61.37,60.26,61.07,746700,61.07
"2007-05-23",62.87,62.94,61.32,61.5,1193400,61.5
"2007-05-24",61.44,61.5,59.29,59.69,1058200,59.69
"2007-05-25",59.73,60.75,59.73,60.36,718400,60.36
"2007-05-29",60.46,61.3,59.93,60.94,577200,60.94
"2007-05-30",60.56,61.13,60.01,60.42,764200,60.42
"2007-05-31",60.26,62,60.21,61.84,977300,61.84
"2007-06-01",62.22,62.22,61.4,61.57,492300,61.57
"2007-06-04",61.59,62.88,61.58,62.23,652000,62.23
"2007-06-05",62.23,62.31,61.07,61.7,466100,61.7
"2007-06-06",61.52,61.54,60.19,61.04,829500,61.04
"2007-06-07",60.51,60.98,59.22,59.33,752900,59.33
"2007-06-08",59.11,59.74,58.85,59.31,788600,59.31
"2007-06-11",59.38,60.3,58.89,60.28,532700,60.28
"2007-06-12",59.81,61.54,59.81,61.4,1129900,61.4
"2007-06-13",61.48,61.99,61.19,61.69,1107000,61.69
"2007-06-14",61.89,63.83,61.7,63.03,846400,63.03
"2007-06-15",63.79,65.19,63.46,64.95,1235700,64.95
"2007-06-18",65.43,65.48,64.02,64.19,645800,64.19
"2007-06-19",64.12,66.65,64.12,66.42,1653700,66.42
"2007-06-20",66.6,66.96,65.51,65.7,1200200,65.7
"2007-06-21",65.63,65.97,65.07,65.85,492800,65.85
"2007-06-22",65.92,66.04,64.85,64.85,1768000,64.85
"2007-06-25",64.66,65.41,64.16,64.5,592600,64.5
"2007-06-26",64.59,65.13,63.74,64.16,1245600,64.16
"2007-06-27",63.67,64.99,63.52,64.86,552300,64.86
"2007-06-28",65,65.38,64.11,64.27,535700,64.27
"2007-06-29",67.7,69.4,67.48,68.74,1749000,68.74
"2007-07-02",68.97,68.98,67.57,68.31,789600,68.31
"2007-07-03",68.3,68.48,67.51,68.06,227300,68.06
"2007-07-05",68,69.48,67.88,69.32,784800,69.32
"2007-07-06",69.21,71.43,68.85,70.83,1090500,70.83
"2007-07-09",71.26,71.49,69.24,70.25,717400,70.25
"2007-07-10",69.84,70.17,67,67.46,832300,67.46
"2007-07-11",67.51,69.1,67.12,68.51,1015900,68.51
"2007-07-12",68.67,68.98,67.51,68.7,626700,68.7
"2007-07-13",68.46,69.42,67.6,69.29,599300,69.29
"2007-07-16",69.01,69.75,67.5,67.97,651500,67.97
"2007-07-17",68,68.49,67.38,67.78,716400,67.78
"2007-07-18",67.27,68.54,66.55,68.51,644800,68.51
"2007-07-19",68.68,70.11,68.62,70.01,592100,70.01
"2007-07-20",69.84,71.44,69.7,70.68,1121200,70.68
"2007-07-23",70.76,70.92,68.35,68.53,592300,68.53
"2007-07-24",68.12,68.93,67.01,67.08,684700,67.08
"2007-07-25",67.31,68.39,65.54,66.85,1640400,66.85
"2007-07-26",66.01,66.81,63.22,64.88,959600,64.88
"2007-07-27",64.24,64.97,62.76,62.94,752200,62.94
"2007-07-30",62.9,65.18,62.79,64.82,1629000,64.82
"2007-07-31",65.74,66.47,63.7,63.8,619000,63.8
"2007-08-01",63.42,63.44,61.1,62.27,908300,62.27
"2007-08-02",62.06,64.23,61.71,64.1,696100,64.1
"2007-08-03",63.82,64.4,61.43,61.56,784900,61.56
"2007-08-06",61.62,61.99,59.5,61.72,885300,61.72
"2007-08-07",61.04,65.44,61.04,65.09,2103100,65.09
"2007-08-08",77.73,79.73,75.47,79.56,7669900,79.56
"2007-08-09",77.95,79,73.06,75.98,3792200,75.98
"2007-08-10",74.1,79.99,74.1,76.82,3564100,76.82
"2007-08-13",77.98,78.45,76.1,77.65,1347200,77.65
"2007-08-14",77.74,77.9,73.27,73.53,1048300,73.53
"2007-08-15",73.08,75.74,72.91,75.37,1601800,75.37
"2007-08-16",74.04,74.73,69.2,72.4,1807400,72.4
"2007-08-17",74.57,75.9,71.51,73.31,979100,73.31
"2007-08-20",73.92,76,73.71,75.83,686100,75.83
"2007-08-21",75.5,77.75,75.35,77.2,782900,77.2
"2007-08-22",78.47,79.49,77.08,79.17,784300,79.17
"2007-08-23",79.25,82.15,78.16,80.98,3145300,80.98
"2007-08-24",80.94,81.4,79.75,81.4,662600,81.4
"2007-08-27",81.49,81.99,80.41,80.89,510400,80.89
"2007-08-28",80.4,80.54,76.4,76.62,1377300,76.62
"2007-08-29",77.37,78.99,77.27,78.6,865800,78.6
"2007-08-30",77.99,80.28,77.62,79.26,820300,79.26
"2007-08-31",80.59,83.25,80.32,82.98,989300,82.98
"2007-09-04",82.79,83.69,81.57,82.16,969800,82.16
"2007-09-05",81.95,82.34,80.41,81.18,466200,81.18
"2007-09-06",81.61,82.53,79.21,82.44,749400,82.44
"2007-09-07",80.76,80.78,77.53,77.91,927700,77.91
"2007-09-10",78.09,78.91,76.23,76.46,855700,76.46
"2007-09-11",76.71,81.9,76.58,81.43,1427500,81.43
"2007-09-12",81.5,84.75,81.1,83.35,1098400,83.35
"2007-09-13",84.1,86.24,83.83,86.17,1636500,86.17
"2007-09-14",85.14,87.71,85.13,86.66,1061000,86.66
"2007-09-17",86.72,87.72,85.98,86.97,845500,86.97
"2007-09-18",87.18,90,86.09,89.95,1651500,89.95
"2007-09-19",90.77,90.8,87.54,89.87,1384000,89.87
"2007-09-20",87.63,88.61,85.4,86.78,1657600,86.78
"2007-09-21",87.57,89.89,87,89.32,999700,89.32
"2007-09-24",89.3,90.33,87.2,87.58,693500,87.58
"2007-09-25",86.7,89.88,86.51,89.47,520000,89.47
"2007-09-26",90.23,90.45,87.35,88.08,766600,88.08
"2007-09-27",88.65,90.47,88.53,89.85,922800,89.85
"2007-09-28",90.13,91.95,88.51,88.75,1126200,88.75
"2007-10-01",88.9,90.49,87.22,89.31,978300,89.31
"2007-10-02",89.47,89.47,87.27,88.68,667000,88.68
"2007-10-03",88.12,92.25,88.12,91.18,846600,91.18
"2007-10-04",91.32,91.85,90.1,90.79,615200,90.79
"2007-10-05",92.2,94.69,91.87,93.93,980100,93.93
"2007-10-08",94.5,95.5,92.7,94.17,1003200,94.17
"2007-10-09",94.63,94.94,91.52,92.82,1222300,92.82
"2007-10-10",93.29,95.99,92.63,94.62,902800,94.62
"2007-10-11",94.95,95.38,90.3,91.35,1148200,91.35
"2007-10-12",91.3,93.66,90.67,93.38,532000,93.38
"2007-10-15",93.43,94.49,92.09,93.11,708600,93.11
"2007-10-16",92.4,93.11,89.5,90.36,679700,90.36
"2007-10-17",90.58,92.22,88,88.99,745500,88.99
"2007-10-18",88.46,92.47,87.82,92.02,777200,92.02
"2007-10-19",91.99,92.19,88.08,88.63,801100,88.63
"2007-10-22",87.51,89.81,85.31,88.5,622300,88.5
"2007-10-23",89.67,91.99,88.92,91.55,1188600,91.55
"2007-10-24",90.68,91.19,86.95,88.93,898800,88.93
"2007-10-25",88.86,89.78,86.07,87.15,571900,87.15
"2007-10-26",87.95,88,84.78,86.24,1205700,86.24
"2007-10-29",86.7,92.83,86.5,91.18,1190100,91.18
"2007-10-30",90.96,91.73,88.07,88.7,614500,88.7
"2007-10-31",89.49,93.12,88.55,93.1,828100,93.1
"2007-11-01",91.59,94.83,90.43,91.65,1757100,91.65
"2007-11-02",92.59,93.74,89.07,90.81,916800,90.81
"2007-11-05",89.51,91.95,88.51,89.05,712800,89.05
"2007-11-06",89.5,91,87.25,88.96,663900,88.96
"2007-11-07",88.4,93.35,88.01,90.31,1104000,90.31
"2007-11-08",90.51,90.98,79.15,84.27,4381200,84.27
"2007-11-09",98.23,106.7,96,103.68,7734100,103.68
"2007-11-12",104.13,104.76,99.51,100.1,1828100,100.1
"2007-11-13",101.86,109.82,100.25,108.7,2228600,108.7
"2007-11-14",110.25,110.43,105.88,106.89,2047000,106.89
"2007-11-15",106.59,107.98,104.99,106.57,785500,106.57
"2007-11-16",107.01,109.95,105.8,109.76,1093300,109.76
"2007-11-19",109.4,110.46,102.01,102.65,1660400,102.65
"2007-11-20",102.75,105.95,98.78,102.27,1541100,102.27
"2007-11-21",99.67,105.74,98.89,103.44,948000,103.44
"2007-11-23",104.46,108.82,103.71,107.69,395900,107.69
"2007-11-26",108.6,112.5,103.77,104.25,1428900,104.25
"2007-11-27",107.04,108.59,104.25,107.12,1013000,107.12
"2007-11-28",109.63,113.92,109.01,112.99,1657600,112.99
"2007-11-29",112.45,116.14,108.22,110.17,1899500,110.17
"2007-11-30",112.99,114.24,110.37,113.8,1434800,113.8
"2007-12-03",114.51,116.24,112.02,114.59,1883200,114.59
"2007-12-04",115.19,115.37,113,115.37,1207000,115.37
"2007-12-05",117.79,120.67,117,119.73,1915900,119.73
"2007-12-06",119.15,120,116.47,118.64,1972400,118.64
"2007-12-07",118.74,119.24,116.8,117.92,794300,117.92
"2007-12-10",117.32,119.15,114.25,115.52,978500,115.52
"2007-12-11",115.69,117.93,110.15,110.24,1058800,110.24
"2007-12-12",113.55,115,110.56,111.91,1333000,111.91
"2007-12-13",110.17,116.65,109,115.78,1198500,115.78
"2007-12-14",114.05,120.5,113.63,117.17,2042700,117.17
"2007-12-17",112.52,113.58,104.65,109.31,2725700,109.31
"2007-12-18",110.21,114.5,110,113.86,1236900,113.86
"2007-12-19",114.26,117.39,113.25,114.37,876300,114.37
"2007-12-20",110,116.6,110,116.23,749800,116.23
"2007-12-21",118.47,118.47,114.51,115.15,1062300,115.15
"2007-12-24",115.14,118.16,114.51,117.81,361600,117.81
"2007-12-26",117.82,118.9,115.39,118.23,382100,118.23
"2007-12-27",118.08,119.48,116.01,116.62,559400,116.62
"2007-12-28",116.69,120.57,116.69,118.02,832100,118.02
"2007-12-31",117.09,119.87,113.8,114.86,818000,114.86
"2008-01-02",116.75,119,113.2,115.24,1619800,115.24
"2008-01-03",115.71,116,110.63,111.4,1213500,111.4
"2008-01-04",110.27,110.45,106.49,107.54,1386000,107.54
"2008-01-07",108.76,109,99.5,105.18,1852500,105.18
"2008-01-08",105,109.5,101.89,102.28,1563800,102.28
"2008-01-09",101.87,103.5,97.42,102.85,1205300,102.85
"2008-01-10",102,103.85,98.03,102.78,1853800,102.78
"2008-01-11",101.56,104.7,94.16,96.24,1516300,96.24
"2008-01-14",96.3,102.44,96.3,100.52,1113900,100.52
"2008-01-15",98.92,105.25,98.51,103.28,1881900,103.28
"2008-01-16",101.74,103.33,94.16,95.43,2902800,95.43
"2008-01-17",96.37,97.3,86.84,89.36,3753200,89.36
"2008-01-18",92.23,96.58,90.77,92.98,3812400,92.98
"2008-01-22",88.34,98.56,86.68,96.54,2175600,96.54
"2008-01-23",92.6,100.67,91.41,100.27,2652500,100.27
"2008-01-24",100.72,112.06,99.28,108.58,2868000,108.58
"2008-01-25",111.74,111.74,101.78,104.58,1740400,104.58
"2008-01-28",105.18,107.4,102.37,106.36,1116500,106.36
"2008-01-29",106.36,107.61,103.08,105.53,1098700,105.53
"2008-01-30",105.76,109.22,103.81,106.53,845500,106.53
"2008-01-31",104.07,110.45,102.67,108.52,928300,108.52
"2008-02-01",109.92,110.27,102.21,107.9,1832800,107.9
"2008-02-04",107.94,108.32,105.18,105.68,746600,105.68
"2008-02-05",104.97,104.97,97.97,98.28,1891500,98.28
"2008-02-06",95.88,98.4,92.75,93.36,2261500,93.36
"2008-02-07",92.5,102.5,92.5,101.13,2742400,101.13
"2008-02-08",100.68,102.4,98.02,101.79,1156800,101.79
"2008-02-11",101.62,102.95,99.84,102.8,846600,102.8
"2008-02-12",103.58,104.88,100.1,103,1189400,103
"2008-02-13",104.85,106.04,102.72,104.96,1619800,104.96
"2008-02-14",106.24,106.24,100.1,102.23,2671100,102.23
"2008-02-15",110.96,124.53,110.53,123.86,9172700,123.86
"2008-02-19",123.88,125.73,120.22,122.61,2588900,122.61
"2008-02-20",121.99,129.16,120,127.51,2817400,127.51
"2008-02-21",129.1,129.24,123.05,123.71,1408700,123.71
"2008-02-22",123.78,127.73,122.6,127.25,1025600,127.25
"2008-02-25",126.78,126.98,121.92,123.51,1516300,123.51
"2008-02-26",122.91,128.5,122.55,126.53,1186100,126.53
"2008-02-27",125.32,125.92,121.6,123.25,1000500,123.25
"2008-02-28",122.2,125.8,120.26,123.31,1225800,123.31
"2008-02-29",121.55,122.36,113.44,114.02,2073600,114.02
"2008-03-03",112.41,116.72,112,113.69,1585000,113.69
"2008-03-04",111.35,116.36,110.02,115.33,1422700,115.33
"2008-03-05",115.8,119.7,113.26,118.37,1426400,118.37
"2008-03-06",117.97,119.45,115.45,115.88,1135200,115.88
"2008-03-07",113.88,119.7,113.73,116.92,1208200,116.92
"2008-03-10",117.11,117.98,108.72,109.77,1528900,109.77
"2008-03-11",113.19,115.67,111.36,115.19,1584100,115.19
"2008-03-12",115.45,124.35,114.52,120.94,1974200,120.94
"2008-03-13",119.55,124.01,115.8,122.49,1059600,122.49
"2008-03-14",124.15,124.5,115.9,117.63,1131800,117.63
"2008-03-17",114.27,115.05,106.31,111.08,2049100,111.08
"2008-03-18",114.77,123.72,114.65,123.06,1961300,123.06
"2008-03-19",119.26,122.54,114.51,114.94,1595000,114.94
"2008-03-20",116.65,121.28,113.51,118.63,2989400,118.63
"2008-03-24",119.48,131.75,119.04,124.73,3163600,124.73
"2008-03-25",124,126.5,121.71,122.5,1683000,122.5
"2008-03-26",121.5,123.21,119.06,120.95,1023600,120.95
"2008-03-27",121.29,123.9,118.13,118.88,913000,118.88
"2008-03-28",119.1,124.45,119.1,121.99,1524800,121.99
"2008-03-31",122,123.6,120,120.86,1705600,120.86
"2008-04-01",124.95,128.27,124.39,127.99,1213600,127.99
"2008-04-02",127.99,128,123.8,127.5,1324700,127.5
"2008-04-03",126.6,131,125.66,128,1035600,128
"2008-04-04",128.99,128.99,124.1,125.51,815500,125.51
"2008-04-07",125.88,126.69,122.35,123.29,860600,123.29
"2008-04-08",122.2,127.93,122.2,125.75,882800,125.75
"2008-04-09",126,128.45,123.76,125.7,1032800,125.7
"2008-04-10",126.2,130,123.7,125.74,1088700,125.74
"2008-04-11",124.6,124.6,118.44,120.12,1473900,120.12
"2008-04-14",120,122,117.66,120.1,1136400,120.1
"2008-04-15",122.76,122.88,114.59,118,1231600,118
"2008-04-16",119.4,122,118.33,120.96,967200,120.96
"2008-04-17",120.11,121.87,116.77,119.96,1054100,119.96
"2008-04-18",124.67,131.94,123.54,129.43,2250800,129.43
"2008-04-21",128.8,131.3,127.25,129.63,1259900,129.63
"2008-04-22",128.75,130.31,122.51,125.84,1118600,125.84
"2008-04-23",126.4,127.35,124.37,125.79,527600,125.79
"2008-04-24",127.31,128.36,122.56,125.03,616200,125.03
"2008-04-25",125.29,129,124.02,128.38,567700,128.38
"2008-04-28",127,129.2,122.5,122.93,1590500,122.93
"2008-04-29",123.03,125.08,121.33,124.48,617600,124.48
"2008-04-30",124.46,129.5,123.32,127.64,1227300,127.64
"2008-05-01",128.8,134.99,124.28,128.23,2480500,128.23
"2008-05-02",128.6,129.4,122.87,126.37,1621700,126.37
"2008-05-05",126.57,129.16,125.18,126.37,1018200,126.37
"2008-05-06",128.22,128.24,125.5,126.7,887400,126.7
"2008-05-07",128,128.5,120.19,122.03,1607200,122.03
"2008-05-08",122.12,124.75,120.37,123.78,2178300,123.78
"2008-05-09",139.89,144.34,137.37,138.63,5935900,138.63
"2008-05-12",138.2,140.25,135.31,138.86,1444000,138.86
"2008-05-13",138.78,140.23,136.51,139.66,1115000,139.66
"2008-05-14",140,142.95,137.92,138.29,1413900,138.29
"2008-05-15",138.31,139.98,137.52,138.55,734500,138.55
"2008-05-16",139.36,139.48,134.76,135.49,1343100,135.49
"2008-05-19",135.27,136.15,128.51,129.57,1734400,129.57
"2008-05-20",127.52,133.27,127.52,132.27,1303900,132.27
"2008-05-21",132.74,134.58,126.24,128.71,1428300,128.71
"2008-05-22",129,132.25,127.01,130.39,1188700,130.39
"2008-05-23",129.1,131.96,128.38,131.65,1302900,131.65
"2008-05-27",131.97,135.67,128.78,131.31,1038000,131.31
"2008-05-28",132.49,134.5,128.89,134.13,1093100,134.13
"2008-05-29",134.5,134.5,130.95,131.94,952000,131.94
"2008-05-30",132.46,136,131.41,134.53,1983400,134.53
"2008-06-02",134.29,134.48,129.8,132.76,909800,132.76
"2008-06-03",133.71,134.5,130.56,132.77,903000,132.77
"2008-06-04",131.71,136.88,131.71,134.83,1001900,134.83
"2008-06-05",134.33,139.16,134.07,137.34,1334900,137.34
"2008-06-06",136.57,136.75,130.64,132.48,1258900,132.48
"2008-06-09",132.27,133.78,123.8,126.55,1867900,126.55
"2008-06-10",124.37,128.34,122.55,127.38,1458100,127.38
"2008-06-11",127.56,128,120.43,120.88,1781700,120.88
"2008-06-12",121.36,128.1,121.32,122.26,1287300,122.26
"2008-06-13",124.07,128.34,122.99,126.9,1153400,126.9
"2008-06-16",126.89,130.24,125,127.63,1216100,127.63
"2008-06-17",127.78,129.71,125.05,125.59,825800,125.59
"2008-06-18",125,131.89,124.6,129.3,1592600,129.3
"2008-06-19",128.6,131,126.61,130.9,880000,130.9
"2008-06-20",129.85,130.85,128.01,130.65,1502400,130.65
"2008-06-23",130.92,132.97,130.1,132.04,853600,132.04
"2008-06-24",130.62,133.64,128.1,130.37,1987500,130.37
"2008-06-25",131.25,134.5,130.29,131.56,1092200,131.56
"2008-06-26",130.73,131.01,126.51,127,1370500,127
"2008-06-27",126.41,127.49,122.45,125.13,5294700,125.13
"2008-06-30",119.78,121.95,114.38,115.46,3352100,115.46
"2008-07-01",113.23,115.67,110,115.37,3218400,115.37
"2008-07-02",116.14,116.96,106.66,107.33,2511500,107.33
"2008-07-03",107.8,111.87,106.07,106.74,1120100,106.74
"2008-07-07",106.3,108.79,101.1,105.59,1990900,105.59
"2008-07-08",104.97,108.5,102.03,107.84,1668600,107.84
"2008-07-09",108.33,113.34,108.11,109.13,2173200,109.13
"2008-07-10",111,112.42,108.24,110.64,1976200,110.64
"2008-07-11",108.02,109.24,104.69,107.41,1606300,107.41
"2008-07-14",108.01,109.4,104.51,107.74,1132100,107.74
"2008-07-15",105.83,105.96,98.11,103.7,1823000,103.7
"2008-07-16",104.21,113.69,103.04,112.14,1983300,112.14
"2008-07-17",113.74,113.74,108.78,111.23,1375000,111.23
"2008-07-18",110,110.97,103.3,104.64,2140100,104.64
"2008-07-21",103.18,103.81,100.03,101,1806200,101
"2008-07-22",99.81,105.91,94.78,105.38,2164200,105.38
"2008-07-23",108.32,108.34,100.34,101.37,1541400,101.37
"2008-07-24",104,105.46,99.02,100.51,1114100,100.51
"2008-07-25",100.3,103.89,99.4,100.53,908400,100.53
"2008-07-28",105,108.5,104.57,106.5,1991200,106.5
"2008-07-29",105.68,109,104.79,107.75,1215200,107.75
"2008-07-30",109.16,109.94,105.88,108.83,1051800,108.83
"2008-07-31",113.05,116.78,111.18,114.95,2690000,114.95
"2008-08-01",114.92,116.84,112.75,116.66,5789800,116.66
"2008-08-04",116.01,117,110.76,111.72,2070000,111.72
"2008-08-05",113.57,119.33,111.56,117.2,3966400,117.2
"2008-08-06",101.72,104.27,95.86,97.17,7943700,97.17
"2008-08-07",95.76,97.9,94.51,96,2717700,96
"2008-08-08",97.03,101.71,95.09,95.58,2704300,95.58
"2008-08-11",96.93,102.87,96,102.64,2344200,102.64
"2008-08-12",101.62,102.12,100.11,100.82,1219400,100.82
"2008-08-13",100.92,103.62,99.75,100.91,1234200,100.91
"2008-08-14",100.14,102.44,99.91,101.92,1179800,101.92
"2008-08-15",105.35,105.95,102.2,103.2,1454700,103.2
"2008-08-18",102.42,103.11,99.02,100.66,1244200,100.66
"2008-08-19",99.75,100,98.2,99.25,1194200,99.25
"2008-08-20",99.37,100.62,98.01,100.38,1135500,100.38
"2008-08-21",99.14,100,97.51,99.21,750500,99.21
"2008-08-22",100.37,102.3,98.93,102.13,622100,102.13
"2008-08-25",101.1,101.41,96.69,97.1,1169700,97.1
"2008-08-26",97.01,97.89,93.32,94.69,1901800,94.69
"2008-08-27",94.4,96.08,94.4,94.94,1612900,94.94
"2008-08-28",95.5,96.66,94.91,95.99,1621400,95.99
"2008-08-29",95,95.44,92.12,92.98,1490100,92.98
"2008-09-02",97.14,99.41,96.34,97.6,2290800,97.6
"2008-09-03",97.28,97.67,90.74,92.95,1923600,92.95
"2008-09-04",91.9,93.96,91.19,93.03,2700200,93.03
"2008-09-05",91.91,94.07,90.8,93.64,2277000,93.64
"2008-09-08",95.17,97.12,91.38,92.25,2310000,92.25
"2008-09-09",92.11,92.84,83.77,84.44,4028500,84.44
"2008-09-10",84.7,84.75,80.31,82.99,3443500,82.99
"2008-09-11",81.43,85.63,80.2,85.05,2909400,85.05
"2008-09-12",84.51,86.91,83.7,86.24,3099000,86.24
"2008-09-15",84.46,84.96,78.04,78.67,2455100,78.67
"2008-09-16",76.53,84.34,76.03,83.36,2422200,83.36
"2008-09-17",80.65,83.29,76.55,78.95,2608900,78.95
"2008-09-18",81.03,85.94,77.21,85.24,1754200,85.24
"2008-09-19",92.07,96.79,85.97,87.04,2501700,87.04
"2008-09-22",86,89.99,81.65,82.15,1374500,82.15
"2008-09-23",81.97,83.35,78.22,79.51,1604000,79.51
"2008-09-24",79.82,80.89,77.51,78.81,2472500,78.81
"2008-09-25",79.24,79.24,76.5,77.42,1188700,77.42
"2008-09-26",75.9,75.91,72.71,75,2476000,75
"2008-09-29",73,73.49,62.59,66.84,2139000,66.84
"2008-09-30",65.72,70.61,65.72,68.43,2622900,68.43
"2008-10-01",67.07,67.7,63.6,64.72,1667400,64.72
"2008-10-02",64,64,60.62,61.02,1578900,61.02
"2008-10-03",61.71,62.18,57.85,58.15,1949600,58.15
"2008-10-06",56.3,58.85,54.61,58.45,2316500,58.45
