"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-06-20",108.2,109.57,102.89,103.19,8718800,48.41
"2007-06-21",103.67,107.45,103.45,107.34,7783800,50.36
"2007-06-22",107.34,108.93,106.22,108.93,7825800,51.1
"2007-06-25",107.5,107.73,104.7,105.51,6133800,49.5
"2007-06-26",105.45,105.72,101.31,101.91,6707800,47.81
"2007-06-27",99.85,105.12,99.06,105.1,7971200,49.31
"2007-06-28",105.85,106.64,102.25,102.91,5502800,48.28
"2007-06-29",104.5,106,103.2,104.24,4519000,48.9
"2007-07-02",104.25,109,104.25,108.97,6673200,51.12
"2007-07-03",108.97,109.73,108.08,109.14,3592000,51.2
"2007-07-05",109.61,109.98,106.01,108.22,6304200,50.77
"2007-07-06",109.4,111.57,109,110.11,5670800,51.66
"2007-07-09",110.29,111.75,109.44,109.81,5220600,51.52
"2007-07-10",109.54,110.24,108.02,108.92,5702000,51.1
"2007-07-11",107.75,109.8,107.06,109.64,4614000,51.44
"2007-07-12",110.09,111.35,109.64,110.72,4970600,51.94
"2007-07-13",109.77,112,109,111.85,4168600,52.47
"2007-07-16",112.24,113.17,110.59,112.74,5169600,52.89
"2007-07-17",113.3,114.04,110.69,112.54,7023600,52.8
"2007-07-18",112.04,115.65,111.86,115.51,6571000,54.19
"2007-07-19",116.49,117.49,115.65,117.21,6401400,54.99
"2007-07-20",118.01,118.29,116.02,117.7,6180200,55.22
"2007-07-23",119.18,119.35,114.68,117.08,6289200,54.93
"2007-07-24",115.75,116.25,111.49,112.33,6468800,52.7
"2007-07-25",117.18,124.4,113.74,123.89,18187400,58.12
"2007-07-26",122.92,125.36,118.99,123.15,11654400,57.77
"2007-07-27",122.84,124.31,117.75,118.04,7677400,55.38
"2007-07-30",118.53,120.77,115.13,119.98,7862400,56.29
"2007-07-31",121,124.35,119.92,120.11,6619800,56.35
"2007-08-01",119.75,122.39,113.71,116.78,11243600,54.79
"2007-08-02",116.82,118.45,111.97,114.41,8936400,53.67
"2007-08-03",114.07,115.99,109.35,109.79,7997600,51.51
"2007-08-06",109.73,110.5,103.56,110.39,9030600,51.79
"2007-08-07",108.5,118.5,107.34,117.38,10465000,55.07
"2007-08-08",118.4,119.5,113.32,114.12,7735800,53.54
"2007-08-09",110.91,114.11,109.79,110.94,7627400,52.05
"2007-08-10",110.46,116.7,107.06,116.34,7453800,54.58
