"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2007-07-11",557.63,582.56,554.66,580.05,22480000,88.6
"2007-07-12",580.75,590.56,579.9,587.8,8369000,89.79
"2007-07-13",586,587,580.2,584.5,3571000,89.28
"2007-07-16",584,599.99,583,586.3,5672500,89.56
"2007-07-17",589.5,591,579,583.75,4818000,89.17
"2007-07-18",584.24,586.9,573,577.64,3795000,88.24
"2007-07-19",579.5,585,571.43,572,2870500,87.37
"2007-07-20",572.25,573.25,561.3,562,3585000,85.85
"2007-07-23",562,568.28,555.2,559.6,2870000,85.48
"2007-07-24",557,559.84,546.06,549,5136000,83.86
"2007-07-25",552,558.01,539.4,547.52,4435500,83.63
"2007-07-26",542,544.75,522.6,537.5,6358000,82.1
"2007-07-27",538,567.26,532.58,556.5,8242500,85.01
"2007-07-30",563.97,571.6,559.5,571.55,4297500,87.31
"2007-07-31",574.99,575.5,548.81,552.5,4066500,84.4
"2007-08-01",555.02,565.15,543.25,561.37,4815000,85.75
"2007-08-02",562.97,563.93,552.76,555.98,3442500,84.93
"2007-08-03",559,571,556,557.9,4807500,85.22
"2007-08-06",561,574.22,556.1,574.22,4075500,87.71
"2007-08-07",571.5,583.69,567.6,579,4977500,88.44
"2007-08-08",579.53,605,579.53,605,3702500,92.41
"2007-08-09",589,609.96,587.5,593.75,6661500,90.7
"2007-08-10",597.01,602.06,586,594.25,5580000,90.77
"2007-08-13",600.19,600.9,580.3,581.07,3476500,88.76
"2007-08-14",583,587.71,562.3,562.3,5352500,85.89
"2007-08-15",563.03,567,538.75,539.9,6954500,82.47
"2007-08-16",532.5,536.93,505.89,529.5,14675000,80.88
"2007-08-17",541.83,555.56,523.61,543.85,7378500,83.07
"2007-08-20",545.15,546.5,532,537.62,4122500,82.12
"2007-08-21",534.29,554,531.7,554,4241000,84.62
"2007-08-22",557.9,558.52,544.25,546.6,3099000,83.49
"2007-08-23",546.4,556.56,546.4,555.05,3163500,84.78
"2007-08-24",555.06,560.36,551.51,560.36,3658000,85.6
"2007-08-27",556.5,560.7,556,558.6,3678500,85.33
"2007-08-28",556.7,559.5,553.54,554.2,3361500,84.66
"2007-08-29",555.1,560.42,555.1,560.1,3648000,85.56
"2007-08-30",563,563,550.7,552.25,3001500,84.36
"2007-08-31",554.12,560.16,547.14,554.8,2678500,84.75
"2007-09-04",556.7,568,556.7,564.8,2686500,86.27
"2007-09-05",564.55,572.7,562.88,564.5,2762500,86.23
"2007-09-06",567.64,570,554.72,557.03,3111500,85.22
"2007-09-07",551,551.16,541.27,544.65,3756500,83.32
"2007-09-10",548.55,550,534.56,539.65,2576500,82.56
"2007-09-11",543,550.51,542,548.15,2054000,83.86
"2007-09-12",546.2,550.62,543,543.21,1810000,83.1
"2007-09-13",549,553.72,545.9,550.75,2048000,84.26
"2007-09-14",548.9,551.86,543.81,548.6,1976000,83.93
"2007-09-17",548,548,537.05,540.1,2644000,82.63
"2007-09-18",544.1,552.52,535.58,552.52,4223000,84.53
"2007-09-19",554.24,555.03,547.25,551.91,2615000,84.43
"2007-09-20",551.64,553.86,540.88,542.25,2975000,82.96
"2007-09-21",549.6,549.8,540.18,544.25,4341000,83.26
"2007-09-24",544.25,550.76,538.1,540.1,2698500,82.63
"2007-09-25",539.9,553.45,535.01,552.41,2587000,84.51
"2007-09-26",557.97,584,557.97,581.1,6163000,88.9
"2007-09-27",585.02,592.8,578.13,588.5,3827500,90.03
"2007-09-28",588.22,591.87,584.37,587.35,4138000,89.86
"2007-10-01",591.03,615.4,591.03,608.3,5948000,93.06
"2007-10-02",607,609.91,598.71,602.95,2946000,92.24
"2007-10-03",603,615.9,602.47,610.56,3539000,93.41
"2007-10-04",611.2,615.81,601.5,604.85,1899500,92.53
"2007-10-05",609.29,629.53,609.29,629.15,4351500,96.25
"2007-10-08",629.15,631.5,617.33,625,2183500,95.62
"2007-10-09",629.2,630.8,620.75,630.8,2149000,96.5
"2007-10-10",631,631.33,623.24,626,1836500,95.77
"2007-10-11",631.75,634,612.25,622.5,2649000,95.23
"2007-10-12",621,633.66,616.98,629.5,2220500,96.3
"2007-10-15",629,629.55,619.25,622.69,1556500,95.26
"2007-10-16",620,623.38,615,620.26,2103000,94.89
"2007-10-17",625.9,629.25,613.52,621.35,2706500,95.06
"2007-10-18",617,628.17,613.51,622.94,2015000,95.3
"2007-10-19",619,622.16,613.65,613.65,3494000,93.88
"2007-10-22",612,621.28,609,618.7,1880000,94.65
"2007-10-23",620.67,637.24,620.36,634.6,3078500,97.08
"2007-10-24",637,665.39,636,650,8990500,99.44
"2007-10-25",651.55,693,650.93,672.15,8763500,102.83
"2007-10-26",681.88,683.07,660.1,663,3949500,101.43
"2007-10-29",667.92,671.95,655.51,662,2992000,101.28
"2007-10-30",660.69,664.2,654.45,656.11,2124500,100.37
"2007-10-31",661,667.73,647.95,666.25,3763000,101.93
"2007-11-01",661.86,672.36,646.5,648.97,4320500,99.28
"2007-11-02",651.56,657.07,640.04,649.75,4198000,99.4
"2007-11-05",640,664.47,640,652.75,2854500,99.86
"2007-11-06",656.38,670.57,642.66,669.1,3954000,102.36
"2007-11-07",665,672.5,657.9,660,2928000,100.97
"2007-11-08",655.05,672.4,644.8,662.3,3092000,101.32
"2007-11-09",652.26,664.51,641.52,646.7,2360000,98.94
"2007-11-12",642.01,652.94,624.99,632.8,3010000,96.81
"2007-11-13",636.85,647.5,630,647.5,2955500,99.06
"2007-11-14",655,658.69,648.66,651.44,2902500,99.66
"2007-11-15",647.56,655.99,641.96,648.01,2347500,99.14
"2007-11-16",651.07,653.8,641.56,652.75,2626500,99.86
"2007-11-19",648,664.66,648,651,2494000,99.59
"2007-11-20",650.74,665.57,634.01,648.9,3731000,99.27
"2007-11-21",642.27,647.99,627.87,632.8,3414500,96.81
"2007-11-23",636,638.84,631,638.75,1009000,97.72
"2007-11-26",637.51,642.5,624.6,624.67,2157500,95.57
