"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2007-09-24",135.05,141.85,133.75,141.81,2901900,140.95
"2007-09-25",145.99,152.15,145.9,151.15,19427400,150.23
"2007-09-26",153,154.37,150.9,151.9,3745600,150.98
"2007-09-27",152.47,154.44,150.75,152.46,2207600,151.53
"2007-09-28",151.93,152.49,150.34,151.9,1653000,150.98
"2007-10-01",152.34,155.79,151.76,154,1504500,153.06
"2007-10-02",155.54,159.24,154.2,154.65,2406400,153.71
"2007-10-03",154.51,154.62,151.8,153.56,1468300,152.63
"2007-10-04",153.26,155.18,151.96,154.2,1192400,153.26
"2007-10-05",155.71,158.7,154.78,157.76,1585300,156.8
"2007-10-08",158.03,163.27,158.01,161.17,1373100,160.19
"2007-10-09",162.89,163.59,159.35,163.59,1742500,162.6
"2007-10-10",163.48,165.49,161.44,162.7,1145300,161.71
"2007-10-11",164.9,165,153.13,156.4,1829900,155.45
"2007-10-12",157.15,161.99,154.99,161.29,1245200,160.31
"2007-10-15",161.31,162.26,156.13,157.34,1077100,156.38
"2007-10-16",156.86,156.86,152.86,155.41,1116400,154.47
"2007-10-17",157,159.48,155.25,158,1426600,157.04
"2007-10-18",157,163.5,155.89,161.88,1602700,160.9
"2007-10-19",163.99,166.88,160.71,163.95,3689200,162.95
"2007-10-22",162.8,165,158.87,161.33,2260300,160.35
"2007-10-23",163.44,169.26,162.52,168.53,2286000,167.51
"2007-10-24",167.86,175.97,166,175.48,3942400,174.41
"2007-10-25",171.89,174.39,167.31,168.66,3136800,167.64
"2007-10-26",171.46,171.98,168,170.25,1515900,169.22
"2007-10-29",170.4,174.68,169.83,173.03,1303700,171.98
"2007-10-30",172.4,175.3,170.66,170.92,1576000,169.88
"2007-10-31",172.85,178.2,171.3,177.99,2039800,176.91
"2007-11-01",176,176.9,170.88,172.32,1910000,171.27
"2007-11-02",174.34,175.24,168.21,174.63,1373900,173.57
"2007-11-05",172,176.75,169.8,174.79,1653100,173.73
"2007-11-06",173.1,179.4,173.1,178.34,1824800,177.26
"2007-11-07",176,180.05,173.23,173.41,1538600,172.36
"2007-11-08",173.18,175.68,163.86,171.05,2256100,170.01
"2007-11-09",167.76,170.77,164.51,165.44,1581600,164.44
"2007-11-12",165.87,167.35,161.25,161.35,1633800,160.37
"2007-11-13",161.4,167.9,161.4,167.9,1055600,166.88
"2007-11-14",168.58,174.5,168.33,171.14,1614300,170.1
"2007-11-15",171.84,173.7,168.55,172.5,1481500,171.45
"2007-11-16",173.32,175.04,171.25,175.04,1489800,173.98
"2007-11-19",174.63,184.53,174.49,180.25,2937200,179.16
"2007-11-20",179,180.49,165.16,169.6,2755400,168.57
"2007-11-21",165.38,169.33,162.45,165.2,1460300,164.2
"2007-11-23",166.63,168.69,165,168,485200,166.98
"2007-11-26",168.99,170.65,163,163.39,1549300,162.4
"2007-11-27",164.04,165.46,156.06,160.47,2192200,159.5
"2007-11-28",161.62,169.61,161,169.61,1575800,168.58
"2007-11-29",167.88,170.97,166.44,169.2,1188800,168.17
"2007-11-30",173.15,173.15,164.24,166.96,1336800,165.95
"2007-12-03",166.95,166.95,161.94,162.73,1247100,161.74
"2007-12-04",162,165.92,162,162.56,1128900,161.57
"2007-12-05",163.74,171.94,163.2,171.5,1650300,170.46
"2007-12-06",172.19,175,168.83,174.82,975600,173.76
"2007-12-07",173.82,177.49,173,175.55,792700,174.48
"2007-12-10",177.45,179.19,175.35,176.32,704800,175.25
"2007-12-11",178,181,170.53,171.17,1204600,170.13
"2007-12-12",175.63,177.96,171.45,175.18,1353700,174.12
"2007-12-13",173.46,181.4,173.32,180.82,1618100,179.72
"2007-12-14",178.85,191.13,178.85,185.73,2114000,184.6
"2007-12-17",186.65,188.33,180,180.32,1266100,179.22
"2007-12-18",181.99,184.29,175.31,177.88,1292700,176.8
"2007-12-19",179.36,186.78,176.96,185.87,1677400,184.74
"2007-12-20",187.87,188.91,183.26,188.33,1072900,187.19
"2007-12-21",191.2,191.2,184.55,186.45,1746800,185.32
"2007-12-24",186.88,193.02,185.02,192.65,589900,191.48
"2007-12-26",191.5,194.92,189.5,194.5,698500,193.32
"2007-12-27",193.25,193.85,189.51,189.63,650000,188.48
"2007-12-28",190.8,192.5,188.18,189.43,674800,188.28
"2007-12-31",189.19,193.78,188.37,192.5,599400,191.33
"2008-01-02",193.87,193.87,184.79,185.5,1312900,184.37
"2008-01-03",186.85,186.88,178.66,179.9,1719200,178.81
"2008-01-04",176.01,178.18,169.19,170.79,1443700,169.75
"2008-01-07",172,173.91,159.66,164.15,2487300,163.15
"2008-01-08",165.54,174.73,164.78,165.1,2295800,164.1
"2008-01-09",163.87,168.72,156.59,162.83,2131100,161.84
"2008-01-10",161,176,160.84,173.48,2066600,172.43
"2008-01-11",172,175.64,168.58,173.12,1361800,172.07
"2008-01-14",172.51,175,169.92,172.47,1173400,171.42
"2008-01-15",170.16,172.34,162.51,163.32,1479300,162.33
"2008-01-16",161.63,162.78,144,148.47,4112500,147.57
"2008-01-17",148.69,149.99,130.71,130.95,3774800,130.15
"2008-01-18",134.82,139.8,133.1,138.6,4792100,137.76
"2008-01-22",128.9,141.97,126.87,137.87,2695100,137.03
"2008-01-23",133.85,143.6,130.4,143.4,3038900,142.53
"2008-01-24",144.27,151.86,142,150.58,2693400,149.67
"2008-01-25",154.7,154.7,144.65,145.34,2223200,144.46
"2008-01-28",152.48,152.65,135.3,140.25,4667500,139.4
"2008-01-29",141.64,142.5,137.23,141.89,2045000,141.03
"2008-01-30",140.15,145,137.03,138.36,2127400,137.52
"2008-01-31",134.52,141.25,129.18,139.19,3760500,138.34
"2008-02-01",139,142.12,134.27,135.45,2588400,134.63
"2008-02-04",137.4,140.01,135.5,136.25,1798700,135.42
