"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2007-11-15",30.86,31.74,30.7,31.09,4589900,15.55
"2007-11-16",31.49,31.94,30.97,31.4,4752000,15.7
"2007-11-19",31.19,31.38,30.5,30.52,4054800,15.26
"2007-11-20",30.75,31.08,29.44,29.94,4952500,14.97
"2007-11-21",29.52,30.68,29.46,30.11,3802800,15.06
"2007-11-23",30.11,30.6,29.93,30.46,898700,15.23
"2007-11-26",30.42,30.72,29.72,29.76,2573500,14.88
"2007-11-27",29.83,30.71,29.53,30.43,2849300,15.22
"2007-11-28",30.81,32.69,30.5,32.57,4997300,16.28
"2007-11-29",32.26,32.54,31.47,31.57,3161600,15.78
"2007-11-30",32.13,32.45,30.57,31.1,4317300,15.55
"2007-12-03",31.32,32.17,31.15,31.51,3590500,15.76
"2007-12-04",30.73,31.67,30.6,30.96,2564200,15.48
"2007-12-05",31.08,31.97,31.01,31.78,2810500,15.89
"2007-12-06",31.59,31.9,31,31.76,3251200,15.88
"2007-12-07",32.55,33.69,32.35,33.36,5419500,16.68
"2007-12-10",33.73,34.6,33.54,34.41,4175300,17.2
"2007-12-11",34.88,35.69,33.86,33.93,5195600,16.97
"2007-12-12",34.9,35.42,33.09,33.79,4766000,16.9
"2007-12-13",33.08,33.85,33.02,33.54,3081800,16.77
"2007-12-14",32.85,33.4,32.45,32.72,2178600,16.36
"2007-12-17",32.2,33,32.2,32.44,3256500,16.22
"2007-12-18",32.66,33.49,32.29,33.33,2472400,16.67
"2007-12-19",33.48,33.59,32.76,33.33,3854300,16.67
"2007-12-20",34.23,35.16,33.97,35.11,5633700,17.56
"2007-12-21",35.45,35.87,35.13,35.83,4511400,17.92
"2007-12-24",35.8,36.27,35.22,35.75,982500,17.88
"2007-12-26",35.75,35.83,35.2,35.75,1396900,17.88
"2007-12-27",35.39,35.5,34.43,34.46,1982500,17.23
"2007-12-28",35.09,35.13,34.37,34.92,1867900,17.46
"2007-12-31",34.71,34.89,33.84,33.94,2450100,16.97
"2008-01-02",33.83,34,32.02,32.23,5066500,16.11
"2008-01-03",32.48,33.3,32.35,32.75,3180900,16.38
"2008-01-04",32.08,32.51,30.91,31,3359100,15.5
"2008-01-07",31.09,32.06,30.8,31.22,4536500,15.61
"2008-01-08",31.4,31.92,30.61,30.61,4047000,15.31
"2008-01-09",30.4,31.05,29.89,31.04,4709000,15.52
"2008-01-10",31.1,31.16,29.5,29.98,6279000,14.99
"2008-01-11",29.35,29.36,27.07,27.11,12157100,13.56
"2008-01-14",27.64,28.56,27.64,28.35,5513800,14.18
"2008-01-15",27.76,28.34,26.4,26.67,6488200,13.34
"2008-01-16",26.5,26.94,25.82,26.2,7569900,13.1
"2008-01-17",26.48,27.85,25.84,27.08,10482200,13.54
"2008-01-18",26.67,27.82,25.96,26,8530700,13
"2008-01-22",24.8,25.89,23.37,25.4,6521400,12.7
"2008-01-23",24.29,27.23,24.06,27,6552200,13.5
"2008-01-24",26.42,27.37,26.04,26.81,4391800,13.4
"2008-01-25",27.37,28.23,26.64,26.87,3954600,13.44
"2008-01-28",27.08,27.64,26.76,27.55,3166600,13.77
"2008-01-29",27.64,28.32,27.46,28.21,3357500,14.1
"2008-01-30",27.97,28.81,27.55,28.19,3921100,14.1
"2008-01-31",27.58,28.32,26.92,27.9,5121200,13.95
"2008-02-01",28.1,30.25,27.92,29.84,6767100,14.92
"2008-02-04",29.76,29.89,29.11,29.66,4877200,14.83
"2008-02-05",28.89,29.19,28.36,28.6,4889000,14.3
"2008-02-06",28.95,29.2,27.17,27.3,6293500,13.65
"2008-02-07",27.16,27.6,26.06,27.28,9647700,13.64
"2008-02-08",31.83,32.92,31,31.84,19268300,15.92
"2008-02-11",32,32.5,31.39,32.1,4415200,16.05
"2008-02-12",32.46,33.49,32.28,33.38,6472200,16.69
"2008-02-13",33.54,33.99,32.72,33.56,6555500,16.78
"2008-02-14",33.33,33.6,32.54,32.71,3300400,16.35
"2008-02-15",32.61,32.67,32,32.56,2809600,16.28
"2008-02-19",33.43,33.45,32.32,32.57,3371900,16.28
"2008-02-20",32.16,33.23,31.85,33.04,3849300,16.52
"2008-02-21",33.17,33.33,32.13,32.26,2561700,16.13
"2008-02-22",32.5,32.59,31.35,32.15,4248400,16.08
"2008-02-25",32.48,32.48,31.39,32.1,3166100,16.05
"2008-02-26",32.1,32.86,31.58,32.7,2537500,16.35
"2008-02-27",32.47,33.25,32.09,32.77,2948300,16.39
"2008-02-28",32.34,32.94,32.22,32.36,1899300,16.18
"2008-02-29",31.82,31.98,30.19,30.21,4679200,15.1
"2008-03-03",30.07,30.33,29.74,30.02,4340500,15.01
"2008-03-04",29.72,30.81,29.67,30.48,4055000,15.24
"2008-03-05",30.49,31.5,30.45,31.14,5084900,15.57
"2008-03-06",31,31.05,29.34,29.39,4493800,14.69
"2008-03-07",29,29.98,28.59,29.19,4317000,14.6
"2008-03-10",29.35,29.38,27.71,27.72,3535400,13.86
"2008-03-11",28.45,29.47,27.98,29.47,4117600,14.73
"2008-03-12",29.44,29.89,28.61,28.86,3747200,14.43
"2008-03-13",28.06,29.08,27.47,28.69,3551000,14.35
"2008-03-14",28.81,29.02,26.92,27.27,6333700,13.64
"2008-03-17",26.6,27.04,25.75,26.81,6696300,13.4
"2008-03-18",27.46,28.9,27.31,28.86,5225500,14.43
"2008-03-19",29.52,30.02,27.9,27.9,3440900,13.95
"2008-03-20",27.91,29.13,27.42,29.01,4751100,14.51
"2008-03-24",29.04,31.09,29.02,30.76,4209000,15.38
"2008-03-25",31.09,31.09,30.17,30.56,3038100,15.28
"2008-03-26",30.36,30.85,30.02,30.56,2298200,15.28
"2008-03-27",30.61,30.83,29.06,29.49,4277100,14.74
"2008-03-28",30.43,30.43,28.9,29.18,3441500,14.59
"2008-03-31",29.87,29.89,28.54,28.83,3127500,14.41
"2008-04-01",29.17,30.17,28.93,30.17,3959300,15.09
"2008-04-02",30.44,30.65,29.4,29.69,3579300,14.85
"2008-04-03",29.64,29.97,29.27,29.56,3609100,14.78
"2008-04-04",29.74,29.74,28.77,29.39,3135600,14.69
"2008-04-07",29.93,29.93,28.87,28.97,2418800,14.48
"2008-04-08",28.69,28.88,28.18,28.52,2633200,14.26
"2008-04-09",28.7,28.77,27.65,27.83,2593300,13.91
"2008-04-10",27.54,28.28,27.18,27.99,5874200,13.99
"2008-04-11",27.7,27.85,26.52,26.53,5364500,13.27
"2008-04-14",26.47,27.1,26.32,26.97,4511900,13.48
"2008-04-15",27.75,29.46,27.38,29.32,8725900,14.66
"2008-04-16",29.8,30.1,28.73,30,6066200,15
