"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2012-01-05",34.58,34.58,34,34.24,5574200,30.37
"2012-01-06",34.39,34.94,33.94,34.45,4452700,30.56
"2012-01-09",34.5,34.63,34.19,34.32,4329200,30.44
"2012-01-10",34.52,37.22,34.43,36.95,9089400,32.77
"2012-01-11",37.48,38.2,36.92,37.4,7942700,33.17
"2012-01-12",37.9,39.5,37.6,38.89,8047400,34.5
"2012-01-13",38.19,39.07,37.74,38.91,5794500,34.51
"2012-01-17",39.82,40.05,38.95,39.19,3210400,34.76
"2012-01-18",39.41,41.22,39.22,40.63,6418600,36.04
"2012-01-19",40.87,40.87,39.81,40,3913400,35.48
"2012-01-20",39.87,40,39.47,39.9,3772400,35.39
"2012-01-23",40,40.07,38.98,39.34,5093400,34.89
"2012-01-24",39.22,40.03,38.78,39.97,3544100,35.45
"2012-01-25",39.74,40.29,39.02,40.22,3982000,35.67
"2012-01-26",40.54,40.9,39.97,40.29,3192200,35.74
"2012-01-27",40.15,41.54,40.15,41.23,4095200,36.57
"2012-01-30",40.86,42.44,40.51,42.42,4126800,37.63
"2012-01-31",42.67,43.12,42.47,43.1,5673300,38.23
"2012-02-01",43.48,43.9,43.16,43.6,5709400,38.67
"2012-02-02",43.91,44,43.14,43.3,4489600,38.41
"2012-02-03",43.78,44.82,43.73,44.8,6138400,39.74
"2012-02-06",44.82,44.84,44.3,44.75,2932800,39.69
"2012-02-07",44.64,45.03,44.34,44.87,5522200,39.8
"2012-02-08",45,45.06,44.44,44.7,3116000,39.65
"2012-02-09",44.94,45.12,44.35,44.58,5834500,39.54
"2012-02-10",44,45.91,43.61,44.75,9666500,39.69
"2012-02-13",45.35,46.39,44.93,46.01,8934500,40.81
"2012-02-14",45.5,45.94,44.03,44.61,6323800,39.57
"2012-02-15",44.3,44.3,43.36,43.56,7851200,38.64
"2012-02-16",43.56,44.04,43.48,43.99,4664300,39.02
"2012-02-17",44.21,44.35,43.72,43.98,1922700,39.01
"2012-02-21",44.07,44.28,41.97,42.89,4001900,38.04
"2012-02-22",42.5,43.42,42.08,43.3,3756900,38.41
"2012-02-23",43.48,43.51,42.51,43.19,2724500,38.31
"2012-02-24",43.12,44.22,43.12,44.15,4583900,39.16
"2012-02-27",43.7,44.98,43.51,44.24,3063600,39.24
"2012-02-28",44.36,44.86,43.93,44,2480300,39.03
"2012-02-29",43.89,44.33,42.87,43.18,2809000,38.3
"2012-03-01",43.44,43.82,42.81,43.57,2051400,38.65
"2012-03-02",43.68,44.2,43.6,43.71,1797800,38.77
"2012-03-05",43.43,43.43,41.09,41.8,5354400,37.08
"2012-03-06",40.8,40.97,38.91,39.28,6016800,34.84
"2012-03-07",40.1,40.8,39.8,40.6,4048900,36.01
"2012-03-08",40.87,42.86,40.84,42.72,5819500,38.13
"2012-03-09",43,43.07,41.9,42.14,3704600,37.61
"2012-03-12",42,42.17,39.87,40.6,5599200,36.24
"2012-03-13",41.12,42.29,40.72,42.26,2874800,37.72
"2012-03-14",42.05,42.24,41.56,41.96,1717400,37.45
"2012-03-15",42.01,43.3,41.93,42.71,2602800,38.12
"2012-03-16",42.72,43.25,42.42,42.9,2479900,38.29
"2012-03-19",42.63,42.85,42.26,42.54,2645800,37.97
"2012-03-20",42.08,42.96,41.62,42.88,2187800,38.27
"2012-03-21",42.98,43.81,42.57,43.65,1874800,38.96
"2012-03-22",42.9,43.28,41.47,41.61,2537700,37.14
"2012-03-23",41.63,42.6,41.38,42.52,1787700,37.95
"2012-03-26",43,44.09,42.75,43.87,3565300,39.15
"2012-03-27",43.86,44.98,43.28,43.29,3170900,38.64
"2012-03-28",43.38,43.86,42.34,42.64,2613500,38.06
"2012-03-29",42,43.25,41.06,43.13,3827700,38.49
"2012-03-30",43.67,43.86,42.98,43.65,2852000,38.96
"2012-04-02",43.62,44.84,43.35,44.57,3624100,39.78
"2012-04-03",44.24,45.06,43.4,43.83,5588600,39.12
"2012-04-04",43.2,44.24,43.04,44.09,2367700,39.35
"2012-04-05",43.85,45.24,43.21,43.41,3754900,38.74
"2012-04-09",42.82,42.89,42.26,42.47,1698600,37.9
"2012-04-10",42.49,42.53,40.72,40.95,3242800,36.55
"2012-04-11",41.81,42.2,41,41.22,3356300,36.79
"2012-04-12",41.52,42.88,41.29,42.83,3618500,38.23
"2012-04-13",42.66,44.44,42.62,44.07,4332400,39.33
"2012-04-16",44.42,44.6,43.59,44.28,3779800,39.52
"2012-04-17",44.89,45.15,44,44.13,3275000,39.39
"2012-04-18",43.98,44.28,43.4,43.87,2153300,39.15
"2012-04-19",43.92,44.71,43.77,44.09,3038800,39.35
"2012-04-20",44.23,44.61,43.89,44.16,2261000,39.41
"2012-04-23",43.21,43.95,42.72,43.75,2011800,39.05
"2012-04-24",43.59,44.26,43.07,44.09,1959000,39.35
"2012-04-25",44.6,45.37,44.46,45.18,2032600,40.32
"2012-04-26",44.63,45.86,44,45.53,2352100,40.64
"2012-04-27",45.69,46.13,45.21,45.73,4676100,40.81
"2012-04-30",43.95,44.55,41.78,41.78,9554100,37.29
"2012-05-01",42.38,43.71,41.9,42.86,5835800,38.25
"2012-05-02",42.78,43.35,42.13,43.14,3178400,38.5
"2012-05-03",43.25,43.27,41.09,41.25,4471500,36.82
"2012-05-04",41,41.52,39.24,39.48,7864400,35.24
"2012-05-07",39.26,40.01,39.09,39.23,5300000,35.01
"2012-05-08",38.91,39.05,37.67,38.85,5677800,34.67
"2012-05-09",38.72,41.28,38.37,40.1,7675500,35.79
"2012-05-10",40.87,40.88,39.78,40.46,6688800,36.11
"2012-05-11",39.99,40.74,39.87,40.08,3858400,35.77
"2012-05-14",39.6,39.62,38.83,39.32,5081000,35.09
"2012-05-15",39.46,40.13,39.31,39.74,3906900,35.47
"2012-05-16",40.28,40.54,38.81,39.22,4560200,35
"2012-05-17",38.9,38.92,36.95,36.96,5529000,33.33
"2012-05-18",37.05,38.02,36.78,37.04,4279900,33.4
"2012-05-21",37.1,39.16,37.04,39,2979400,35.17
"2012-05-22",39.43,39.72,38.97,39.26,5605400,35.4
"2012-05-23",38.91,39.09,37.86,38.96,3671000,35.13
"2012-05-24",39.3,39.77,38.35,38.97,3206600,35.14
"2012-05-25",39.13,39.84,38.85,39.6,2099600,35.71
"2012-05-29",40.09,41.07,39.92,40.89,3912900,36.87
"2012-05-30",39.83,40.02,38.92,39.35,2469800,35.48
"2012-05-31",39.53,39.66,38.4,39.46,4627200,35.58
"2012-06-01",37.23,38.2,37.04,37.26,5158900,33.6
"2012-06-04",37.29,37.29,35.97,36.76,2974500,33.15
"2012-06-05",36.41,37.63,36.14,37.52,4176500,33.83
"2012-06-06",38.11,38.94,37.79,38.44,4048700,34.66
"2012-06-07",39.36,40.09,37.82,38,4350600,34.26
"2012-06-08",37.75,38.39,36.97,38.23,2480700,34.47
"2012-06-11",38.73,38.84,36.99,37.06,1763400,33.42
"2012-06-12",37.51,38.1,37.2,37.83,2234000,34.11
"2012-06-13",37.45,38.35,37.27,37.77,3691100,34.06
"2012-06-14",37.68,37.97,37.07,37.6,2861800,33.9
"2012-06-15",37.95,39.15,37.67,38.94,3270100,35.11
"2012-06-18",38.77,40.68,38.48,40.53,3667800,36.55
"2012-06-19",40.75,41.91,40.6,41.48,2858200,37.4
"2012-06-20",41.48,41.99,41.04,41.42,2564800,37.35
"2012-06-21",41.44,41.58,39.17,39.26,4267100,35.4
"2012-06-22",39.87,39.87,38.59,39.62,4051200,35.72
"2012-06-25",38.96,39.29,38.51,39.12,2140700,35.27
"2012-06-26",39.15,39.92,38.81,39.53,1802200,35.64
"2012-06-27",39.77,39.77,38.44,38.9,3174800,35.08
"2012-06-28",38.29,38.87,37.92,38.62,3221300,34.82
"2012-06-29",40.04,40.41,39.55,40.27,3822600,36.31
"2012-07-02",40.59,41.86,40.35,40.85,3164900,36.83
"2012-07-03",40.94,42.1,40.94,41.94,1372600,37.82
"2012-07-05",41.82,42.6,41.48,42.31,2727600,38.15
"2012-07-06",41.79,42.13,40.77,41.15,2397400,37.1
"2012-07-09",41.71,41.94,40.58,40.81,2986700,36.8
"2012-07-10",41.21,41.53,40.17,40.47,2625100,36.49
"2012-07-11",40.44,40.51,39.27,39.68,2778300,35.78
"2012-07-12",39.16,39.97,38.44,39.62,2727500,35.72
"2012-07-13",40.02,41.31,40,40.78,2657000,36.77
"2012-07-16",40.55,41.52,40.2,41.21,2711100,37.16
"2012-07-17",41.45,42.02,40.93,41.97,2256400,37.84
"2012-07-18",41.6,42.56,41.59,42.24,2570700,38.09
"2012-07-19",42.39,42.69,41.86,41.96,2425500,37.83
"2012-07-20",41.05,41.66,40.33,41.6,2194400,37.51
"2012-07-23",40.41,41.19,40.03,41.03,2614700,37
"2012-07-24",40.96,41.3,39.74,40.43,3699800,36.46
"2012-07-25",40.59,40.83,40.05,40.42,1542200,36.45
"2012-07-26",41.38,41.67,40.1,40.9,4470200,36.88
"2012-07-27",43.45,44.99,42.89,44.51,8802700,40.13
"2012-07-30",44.69,44.99,44.32,44.58,2787200,40.2
"2012-07-31",44.67,44.93,44.34,44.53,3146200,40.15
"2012-08-01",44.81,44.81,43.97,44.23,2991300,39.88
"2012-08-02",43.73,44.71,43.35,44.41,3331300,40.04
"2012-08-03",45.46,45.84,44.72,45.37,3401700,40.91
"2012-08-06",45.58,46.69,45.56,45.96,3691000,41.44
"2012-08-07",46.26,47.04,46.18,46.71,2438900,42.12
"2012-08-08",46.1,47.44,46.09,47.21,2725400,42.57
