"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2010-03-30",86.64,86.71,86.02,86.61,403900,83.95
"2010-03-31",86.52,87.1,86.17,86.62,517700,83.96
"2010-04-01",84.5,84.95,83.78,84.46,1361300,81.87
"2010-04-05",84.5,85.13,84.12,84.2,636200,81.62
"2010-04-06",84.18,84.9,84.02,84.53,434000,81.94
"2010-04-07",84.53,84.53,83.97,84.14,480200,81.56
"2010-04-08",84.21,84.29,83.86,84.08,389400,81.5
"2010-04-09",84.1,85.21,83.96,85.21,398400,82.6
"2010-04-12",85.16,85.4,84.92,85.08,404500,82.47
"2010-04-13",84.82,85.44,84.54,85.29,423400,82.67
"2010-04-14",85.27,86.22,84.82,86.14,554100,83.5
"2010-04-15",85.79,86.43,85.79,86.25,437100,83.61
"2010-04-16",86,86.43,85.38,85.81,939800,83.18
"2010-04-19",85.52,86.11,85.45,85.9,646500,83.27
"2010-04-20",86.34,87.44,85.88,87.3,739600,84.62
"2010-04-21",87.09,87.54,86.25,86.99,1494400,84.32
"2010-04-22",86.59,86.59,84.09,85.42,1592100,82.8
"2010-04-23",88.81,90,85.81,85.94,1656100,83.3
"2010-04-26",86.51,86.55,84.63,84.87,1133500,82.27
"2010-04-27",84.46,85.37,84.46,84.63,947400,82.04
"2010-04-28",85.27,87.21,85.08,86.66,1169000,84
"2010-04-29",86.87,87.87,86.27,87.55,1026100,85.03
"2010-04-30",87.97,88.25,86.18,86.53,1391000,84.04
"2010-05-03",86.56,87.03,85.7,86.64,638400,84.15
"2010-05-04",86.03,86.19,85.19,85.49,860800,83.03
"2010-05-05",85.29,86.09,84.57,85.6,718900,83.14
"2010-05-06",85.45,85.79,81.2,84.22,1130200,81.8
"2010-05-07",84.49,84.49,82.24,82.97,1418500,80.58
"2010-05-10",84.47,85.56,84.18,84.55,1463900,82.12
"2010-05-11",84.01,84.63,83.7,84.02,1107600,81.6
"2010-05-12",84.04,84.45,83.89,84.23,894000,81.81
"2010-05-13",83.9,84.73,83.64,83.64,727800,81.23
"2010-05-14",83.57,83.65,82.15,82.7,727000,80.32
"2010-05-17",83.21,83.75,82.5,83.26,970100,80.87
"2010-05-18",83.46,84.33,82.98,83.04,678000,80.65
"2010-05-19",82.68,83.49,82.68,82.99,757400,80.6
"2010-05-20",82.09,82.09,80.18,80.18,1231200,77.87
"2010-05-21",79.44,80,78.84,79.57,1342800,77.28
"2010-05-24",79.69,81.3,79.22,80.3,969100,77.99
"2010-05-25",79.37,80.01,78.3,79.93,1163400,77.63
"2010-05-26",79.98,81.35,79.98,80.15,1015900,77.85
"2010-05-27",80.95,81.59,80.45,81.59,606400,79.24
"2010-05-28",81.4,82.2,80.97,80.97,672000,78.64
"2010-06-01",80.88,81.07,79.84,79.9,586500,77.6
"2010-06-02",80.09,81.39,79.84,81.39,799200,79.05
"2010-06-03",81.29,81.45,80.82,81.29,763800,78.95
"2010-06-04",80.23,80.3,78.77,78.97,615700,76.7
"2010-06-07",79,79.57,78.35,78.35,727800,76.1
"2010-06-08",78.16,78.5,77.31,77.61,1524400,75.38
"2010-06-09",77.97,78.6,77.58,77.73,889300,75.49
"2010-06-10",78.96,80.05,78.92,79.84,826600,77.54
"2010-06-11",79.27,80.07,79.17,80.07,709600,77.77
"2010-06-14",80.07,80.72,79.71,79.8,875600,77.51
"2010-06-15",80.05,80.75,79.92,80.74,739100,78.42
"2010-06-16",80.19,81.48,80.01,81.19,730800,78.86
"2010-06-17",81.12,81.37,80.9,81.21,495100,78.87
"2010-06-18",81.06,81.33,80.15,80.3,796700,77.99
"2010-06-21",80.78,81.41,80.78,81.02,688900,78.69
"2010-06-22",81.19,82.53,80.57,80.62,761900,78.3
"2010-06-23",80.56,80.71,79.12,79.6,663400,77.31
"2010-06-24",79.2,79.65,78.68,78.83,418000,76.56
"2010-06-25",78.79,79,78.27,78.5,1273700,76.24
"2010-06-28",79.05,79.53,78.19,79.2,576200,76.92
"2010-06-29",78.53,78.68,77.59,77.97,511900,75.73
"2010-06-30",77.74,78.65,77.46,77.53,520700,75.3
"2010-07-01",77.4,77.63,75.16,76.29,1341200,74.1
"2010-07-02",76.29,77.02,76.1,76.48,729500,74.28
"2010-07-06",76.95,77.61,76.36,77.14,652300,74.92
"2010-07-07",77.08,77.92,76.41,77.86,729600,75.62
