"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"2007-03-22",45.95,46.07,45.31,45.53,2752700,45.53
"2007-03-23",45.67,46.1,45.31,45.9,2546500,45.9
"2007-03-26",45.8,45.92,45.17,45.64,2282200,45.64
"2007-03-27",45.42,45.57,44.98,45.14,1556700,45.14
"2007-03-28",44.96,45.33,44.67,44.84,2046400,44.84
"2007-03-29",44.96,45.07,43.92,44.28,3609000,44.28
"2007-03-30",44.02,44.94,44.02,44.38,2922200,44.38
"2007-04-02",44.55,44.82,44,44.31,2635100,44.31
"2007-04-03",44.64,44.92,44.21,44.81,2549600,44.81
"2007-04-04",44.69,44.93,44.42,44.91,1917600,44.91
"2007-04-05",44.79,45.02,44.55,45.02,1983600,45.02
"2007-04-09",44.86,44.99,44.31,44.39,2315600,44.39
"2007-04-10",44.26,44.77,44.14,44.42,2301500,44.42
"2007-04-11",44.42,44.42,43.43,43.68,2467500,43.68
"2007-04-12",43.64,45.08,43.54,45.07,3520800,45.07
"2007-04-13",44.98,45.64,44.84,45.57,2954800,45.57
"2007-04-16",45.57,45.9,45.36,45.46,2387700,45.46
"2007-04-17",45.39,46.16,45.34,45.62,3140200,45.62
"2007-04-18",45.37,46.22,45.24,45.79,2602000,45.79
"2007-04-19",45.58,46.12,45.17,45.86,3463000,45.86
"2007-04-20",46.4,46.67,45.75,46.64,3652700,46.64
"2007-04-23",47.26,48.94,47.26,48.86,9817600,48.86
"2007-04-24",48.86,49,48.22,48.28,5305600,48.28
"2007-04-25",48.16,48.19,47.44,48,3655600,48
"2007-04-26",47.62,48.7,47.54,48.11,3953700,48.11
"2007-04-27",47.98,48.23,47.49,47.99,4216300,47.99
"2007-04-30",47.94,48,47.12,47.21,3861700,47.21
"2007-05-01",47.5,48.04,46.89,48,5775700,48
"2007-05-02",47.81,48.48,46.9,48.02,7255900,48.02
"2007-05-03",48.24,48.3,46.94,47.28,4377000,47.28
"2007-05-04",47.01,47.25,46.61,46.91,3922800,46.91
"2007-05-07",46.86,47.59,46.86,47.42,2745900,47.42
"2007-05-08",47.24,47.57,46.65,47.37,3622300,47.37
"2007-05-09",47.03,47.49,46.75,47.25,2806600,47.25
"2007-05-10",47.14,47.14,45.77,46.03,3984400,46.03
"2007-05-11",45.99,46.8,45.86,46.64,2675700,46.64
"2007-05-14",46.44,46.91,46.11,46.6,3883400,46.6
"2007-05-15",46.77,47.1,46.28,46.4,2870900,46.4
"2007-05-16",46.49,47.27,46.09,47.19,3648500,47.19
"2007-05-17",47.03,47.14,46.38,46.45,2109400,46.45
"2007-05-18",46.51,46.6,46.19,46.38,3678500,46.38
"2007-05-21",46.3,46.96,46.3,46.9,2166300,46.9
"2007-05-22",46.65,47.26,46.45,47.01,1819500,47.01
"2007-05-23",47,49.33,46.82,48.13,6188800,48.13
"2007-05-24",48.4,48.43,47.7,47.91,4213400,47.91
"2007-05-25",48.05,49.75,47.95,49.47,5737200,49.47
"2007-05-29",49.3,49.52,48.68,49.21,3621500,49.21
"2007-05-30",51.55,52.26,51.5,52.13,15871900,52.13
"2007-05-31",51.91,52.47,51.79,52.22,5966900,52.22
"2007-06-01",52.49,52.49,52,52.29,4051800,52.29
"2007-06-04",51.75,52.27,51.7,52.25,4519200,52.25
"2007-06-05",51.99,52.2,51.7,52.02,4972500,52.02
"2007-06-06",51.92,52.1,51.8,51.92,4695900,51.92
"2007-06-07",51.68,52.1,50.78,50.86,5727000,50.86
"2007-06-08",50.69,51.64,50.63,51.53,4122600,51.53
"2007-06-11",51.5,51.57,51.07,51.21,3854300,51.21
"2007-06-12",51.1,51.32,50.66,51.07,3584200,51.07
"2007-06-13",51.11,51.6,50.86,51.49,3215000,51.49
"2007-06-14",51.34,51.9,51.19,51.21,2992100,51.21
"2007-06-15",51.65,51.75,50.93,51.33,5811300,51.33
"2007-06-18",51.27,51.76,51.13,51.63,4578200,51.63
"2007-06-19",51.1,51.92,51.1,51.85,4556500,51.85
"2007-06-20",51.75,51.9,51.21,51.37,3711300,51.37
"2007-06-21",51.37,52.12,51.29,52,3374200,52
"2007-06-22",51.78,51.91,51.24,51.58,5059700,51.58
"2007-06-25",51.5,52.3,51.44,51.75,13328900,51.75
"2007-06-26",51.66,52.43,51.54,52.36,8488700,52.36
"2007-06-27",52.85,53.96,52.43,53.57,18426200,53.57
"2007-06-28",53.46,53.78,53.2,53.55,5364400,53.55
"2007-06-29",53.53,53.85,53.22,53.5,3477200,53.5
"2007-07-02",53.5,53.85,53.24,53.81,4294600,53.81
"2007-07-03",53.72,54.61,53.49,54.55,2033300,54.55
"2007-07-05",54.32,54.68,53.5,54.45,3287600,54.45
"2007-07-06",54.45,54.56,54.11,54.5,2597900,54.5
"2007-07-09",54.11,54.9,53.91,54.78,3411600,54.78
"2007-07-10",54.28,54.89,54.25,54.51,8727400,54.51
"2007-07-11",54.55,54.86,54.4,54.85,2682100,54.85
"2007-07-12",54.86,55.5,54.53,55.5,4457000,55.5
"2007-07-13",55.3,55.92,55.2,55.92,2258200,55.92
"2007-07-16",55.77,55.77,55.1,55.34,3400400,55.34
"2007-07-17",55.35,55.4,54.72,54.76,5653500,54.76
"2007-07-18",54.9,55.37,54.18,55.18,5772000,55.18
"2007-07-19",55.22,55.52,54.1,55.02,5124500,55.02
"2007-07-20",55.23,55.37,54.61,54.94,4683100,54.94
"2007-07-23",54.61,55.39,54.02,54.75,4418600,54.75
"2007-07-24",54.5,57.2,54.5,56.24,7228100,56.24
"2007-07-25",56.94,59.49,56.26,59.01,10262200,59.01
"2007-07-26",58.1,59.78,57.04,58.19,8330100,58.19
"2007-07-27",57.51,58.02,56.52,57.01,5877300,57.01
"2007-07-30",55.58,56.63,54.26,55.43,7388200,55.43
"2007-07-31",56.1,57.26,55.43,56.54,8459200,56.54
"2007-08-01",56.82,57.08,55.26,55.63,8226200,55.63
"2007-08-02",55.99,56.69,55.52,56.49,7316500,56.49
"2007-08-03",56.55,57.71,56.31,56.65,7748800,56.65
"2007-08-06",56.65,57.09,56.15,56.74,4463100,56.74
"2007-08-07",56.31,58.6,56.05,58.28,4304600,58.28
"2007-08-08",58.13,58.89,57.63,58.89,4386300,58.89
"2007-08-09",57.8,59.18,57.5,58.13,4339000,58.13
"2007-08-10",56.79,59,56.75,57.85,4964600,57.85
"2007-08-13",57.31,59.02,57.1,58.83,4738500,58.83
"2007-08-14",58.8,59.95,58.19,59.45,4102600,59.45
"2007-08-15",59.53,60.2,58.39,58.46,3638700,58.46
"2007-08-16",58.21,59.56,57.3,59.1,4812900,59.1
"2007-08-17",59.29,60.52,58.07,60.2,4537900,60.2
"2007-08-20",59.76,60,59.19,59.96,3765400,59.96
"2007-08-21",59.77,60,59.15,59.6,2391400,59.6
"2007-08-22",59.51,59.94,58.96,59.56,2948400,59.56
"2007-08-23",59.56,60.01,59.56,59.97,5399700,59.97
"2007-08-24",60,62.89,59.83,62.89,7593100,62.89
"2007-08-27",62.75,64,62.55,62.93,4280300,62.93
"2007-08-28",62.85,62.99,62.07,62.08,2461200,62.08
"2007-08-29",62.06,62.86,61.28,62.86,3179900,62.86
"2007-08-30",62.57,64.8,62.46,64.59,4136200,64.59
"2007-08-31",64.58,64.58,63.47,63.82,3100600,63.82
"2007-09-04",63.77,64.24,63.44,63.55,2964200,63.55
"2007-09-05",63.5,63.95,62.76,62.87,4200700,62.87
"2007-09-06",63.79,67.85,63.61,66.53,8632100,66.53
"2007-09-07",66,66.18,65.3,65.78,4913000,65.78
"2007-09-10",65.87,66.44,65.06,65.22,2948000,65.22
"2007-09-11",65.62,65.91,64.8,65.5,2572500,65.5
"2007-09-12",65.44,65.44,64.62,64.71,2313900,64.71
"2007-09-13",63.54,65.62,63.49,65.4,4994800,65.4
"2007-09-14",65.13,66,63.35,65.42,6286900,65.42
"2007-09-17",65.18,65.32,63.83,64.5,3518300,64.5
"2007-09-18",64.88,66.8,64.56,66.8,3493200,66.8
"2007-09-19",67,68.02,66.44,67.46,4375700,67.46
"2007-09-20",67.12,67.9,66.79,67.1,2033300,67.1
"2007-09-21",67.41,68.11,67.1,67.39,3746000,67.39
"2007-09-24",66.6,68.57,66.28,68.45,3185600,68.45
"2007-09-25",68.5,69,67.71,68,2242300,68
"2007-09-26",68.08,68.57,67.33,68.15,2565400,68.15
"2007-09-27",68.64,68.84,66.03,66.45,3815100,66.45
"2007-09-28",66.73,67.34,65.61,66.33,2969500,66.33
"2007-10-01",66.69,68.18,66.4,67.94,2977100,67.94
"2007-10-02",67.11,67.2,65.07,65.66,3464000,65.66
"2007-10-03",65.4,66.52,65.09,65.35,2509300,65.35
"2007-10-04",66,66.85,65.42,65.88,2594600,65.88
"2007-10-05",66.23,67.65,65.22,67.63,2549800,67.63
"2007-10-08",67.22,67.56,65.93,66.42,1805200,66.42
"2007-10-09",66.32,67.32,66.29,67.24,1657400,67.24
"2007-10-10",67.36,67.52,66.4,67.41,2346500,67.41
"2007-10-11",67.72,68.5,66.82,67.12,3202800,67.12
"2007-10-12",67.41,69.43,67.01,69.43,3956400,69.43
"2007-10-15",83.35,84.75,80.96,82.51,30694100,82.51
"2007-10-16",81.05,81.46,78.82,79.29,12162700,79.29
"2007-10-17",78.94,80.32,77.8,79.26,7877100,79.26
"2007-10-18",78.43,79.84,78.02,79.31,6839600,79.31
"2007-10-19",79.31,81,78.95,80.22,6668800,80.22
"2007-10-22",79.23,80.32,78.24,80.11,5137100,80.11
"2007-10-23",78.25,79.97,78,78.93,6370800,78.93
"2007-10-24",77.84,78.18,75.45,76.72,8335600,76.72
"2007-10-25",77.04,77.5,75.72,76.3,4516300,76.3
"2007-10-26",76.85,77.49,75.76,76.72,3818200,76.72
"2007-10-29",76.22,76.22,74.03,74.82,4580500,74.82
"2007-10-30",74.43,74.82,73.47,73.79,2542400,73.79
"2007-10-31",73.89,74.82,73.47,74.44,3353600,74.44
"2007-11-01",74.4,74.75,72.79,72.87,3490100,72.87
"2007-11-02",73.43,74.38,72.86,73.98,3014300,73.98
"2007-11-05",73.44,73.68,72.09,73.52,2946800,73.52
"2007-11-06",73.61,74.38,72.85,73.44,2746100,73.44
"2007-11-07",73.2,73.89,70.97,71.13,4055700,71.13
"2007-11-08",71.8,77.45,71.8,74.99,8641200,74.99
"2007-11-09",75.24,75.75,72.22,72.29,6534000,72.29
"2007-11-12",71.87,71.87,69.75,69.88,6058100,69.88
"2007-11-13",69.85,70.96,69.04,70.83,4387900,70.83
"2007-11-14",70.49,71.9,69.9,70.01,5629600,70.01
"2007-11-15",69.88,73,69.4,69.92,4963600,69.92
"2007-11-16",70.27,71.04,69.32,70.04,4080200,70.04
"2007-11-19",69.88,70.63,69.05,70.25,3267600,70.25
"2007-11-20",70.33,70.95,68.81,70.21,3811300,70.21
"2007-11-21",70,70.59,68.58,68.63,1857300,68.63
"2007-11-23",68.84,69.89,68.6,69.51,650100,69.51
"2007-11-26",69.1,69.68,67.86,68,2504200,68
"2007-11-27",68.12,69.8,67.53,69.75,2824600,69.75
"2007-11-28",70.44,70.61,69.12,70.28,2775900,70.28
"2007-11-29",70.27,73.06,69.99,72.77,3818400,72.77
"2007-11-30",73.11,74.36,72.83,74.12,3856700,74.12
"2007-12-03",73.63,74.49,72.94,73.82,2671900,73.82
"2007-12-04",73.13,73.65,72.21,72.55,2552300,72.55
"2007-12-05",72.63,74,72.61,74,2235800,74
"2007-12-06",73.78,74.36,73,73.93,2966600,73.93
"2007-12-07",73.9,75.25,73.25,74.94,2206100,74.94
"2007-12-10",74.79,74.8,73.65,73.97,1735700,73.97
"2007-12-11",74.15,77.85,74.15,75.39,5459100,75.39
"2007-12-12",77.5,78.57,75.05,75.88,12966600,75.88
"2007-12-13",55.12,58.67,53.65,57.91,31051700,57.91
"2007-12-14",57.62,60.74,57,58.79,9207600,58.79
"2007-12-17",58.72,58.72,55.19,55.57,5376000,55.57
"2007-12-18",56.19,58.43,55.76,55.99,6696300,55.99
"2007-12-19",56.34,57.33,55.5,55.5,4178200,55.5
"2007-12-20",56.03,57.07,55.79,56.96,4230600,56.96
"2007-12-21",57.83,57.89,56.68,57.67,6067200,57.67
"2007-12-24",57.31,58.7,57.31,58.41,2316300,58.41
"2007-12-26",58.35,59.4,58,59.34,2270400,59.34
"2007-12-27",59.33,59.33,57.67,58.33,2234100,58.33
"2007-12-28",58.51,58.85,57.72,57.84,1502700,57.84
"2007-12-31",57.24,57.58,56.81,56.92,2327100,56.92
"2008-01-02",56.91,57.11,55.05,55.87,3427400,55.87
"2008-01-03",56.01,56.55,55.4,56.3,2718100,56.3
"2008-01-04",56.25,56.42,55.01,55.22,2877000,55.22
"2008-01-07",56.51,59.52,55.79,59.22,5843000,59.22
"2008-01-08",57.98,58.29,55.95,55.97,4465800,55.97
"2008-01-09",56.12,59.17,56.1,58.4,4894800,58.4
"2008-01-10",58.29,61.98,58.29,59.18,5041300,59.18
"2008-01-11",59.33,59.97,58.22,59.02,2588800,59.02
"2008-01-14",59.96,61.43,58.77,59.98,6044800,59.98
"2008-01-15",59.11,60.47,59.06,59.31,3675600,59.31
"2008-01-16",60,61.29,59.77,59.99,3681000,59.99
"2008-01-17",61.12,62.68,60.59,61.05,4641700,61.05
"2008-01-18",59.83,61.03,58.67,59.91,6622000,59.91
"2008-01-22",56.92,59.17,56.65,56.71,5014700,56.71
"2008-01-23",55.51,59.44,54.9,59.23,4849000,59.23
"2008-01-24",59.22,59.29,57.04,58.13,3086700,58.13
"2008-01-25",59.1,59.12,58.15,58.92,5387700,58.92
"2008-01-28",59,59.35,57.47,58.13,2726900,58.13
"2008-01-29",58.4,61.2,58.17,61.05,3234000,61.05
"2008-01-30",61.04,61.48,59.9,60,2251300,60
"2008-01-31",59.95,61.24,59.1,60.95,2412000,60.95
"2008-02-01",61.13,62.85,60.4,61.76,2271700,61.76
"2008-02-04",62.06,63.69,61.61,63.29,2469900,63.29
"2008-02-05",61.69,62.39,60.26,60.52,3005900,60.52
"2008-02-06",62.41,63.41,60.52,60.52,4836800,60.52
"2008-02-07",60.07,62.89,59.53,61.58,3536400,61.58
"2008-02-08",61.44,62.01,60.46,61.5,2525800,61.5
"2008-02-11",61.29,62,60.8,60.94,3163000,60.94
"2008-02-12",61.41,61.5,59.97,60.56,2304800,60.56
"2008-02-13",61.19,63.26,60.59,63.24,3588800,63.24
"2008-02-14",63.47,64.49,62.3,62.87,3887600,62.87
"2008-02-15",62.47,62.61,61,62.2,2965200,62.2
"2008-02-19",62.98,63.6,60.57,60.67,3681800,60.67
"2008-02-20",60.49,61.52,59.67,61.24,2345800,61.24
"2008-02-21",61.19,61.19,59.3,60.21,2892400,60.21
"2008-02-22",60.05,61.09,59.31,60.34,2527700,60.34
"2008-02-25",60.3,61.6,60.16,61.3,1990100,61.3
"2008-02-26",60.66,62.39,60.66,61.53,1977600,61.53
"2008-02-27",61.22,62.26,57.95,60.13,6284200,60.13
"2008-02-28",60.01,61.2,59.69,60.58,1822800,60.58
"2008-02-29",59.86,59.91,58.09,58.36,3135700,58.36
"2008-03-03",58.02,58.97,57.9,58.84,3337800,58.84
"2008-03-04",58.84,59.41,57.16,59.14,4004900,59.14
"2008-03-05",59.33,60.25,59,59.69,2479300,59.69
"2008-03-06",59.64,59.64,56.37,56.63,3729900,56.63
"2008-03-07",56.59,57.23,56.06,56.2,4162900,56.2
"2008-03-10",56.16,56.63,54.5,54.74,3634000,54.74
"2008-03-11",55.14,57.69,54.63,57.68,4141100,57.68
"2008-03-12",58,60.18,57.22,59.38,4349300,59.38
"2008-03-13",58.19,61.08,58.17,60.45,3711000,60.45
"2008-03-14",59.63,60.78,58.79,60.33,3823500,60.33
"2008-03-17",59.24,61.52,58.64,58.7,3643300,58.7
"2008-03-18",59.19,60.23,58.78,59.97,3724900,59.97
"2008-03-19",60.18,60.25,57.99,58.4,3752100,58.4
"2008-03-20",58.51,59.24,57.96,59,6481400,59
"2008-03-24",58.98,62.26,58.96,61.46,3330200,61.46
"2008-03-25",61.74,61.87,60.61,61.19,2515900,61.19
"2008-03-26",60.79,63.02,60.79,62.99,3765700,62.99
"2008-03-27",63.05,63.75,62.46,62.46,2634200,62.46
"2008-03-28",62.79,63.62,60.61,60.73,2953400,60.73
"2008-03-31",60.8,62.47,60.8,61.69,3051300,61.69
"2008-04-01",62.14,64.42,61.57,64.01,2717400,64.01
"2008-04-02",63.9,64.44,62.66,62.91,2481100,62.91
"2008-04-03",62.62,63.16,61.84,62.94,2360800,62.94
"2008-04-04",63.33,64.98,63.18,64.01,2847300,64.01
"2008-04-07",64,64.43,63.41,63.79,2311700,63.79
"2008-04-08",63.93,65.76,63.46,65.12,3932200,65.12
"2008-04-09",65.48,65.49,63.82,64.69,2700000,64.69
"2008-04-10",64.95,67.45,64.89,66.43,3576300,66.43
"2008-04-11",65.5,65.86,64.02,64.22,3932400,64.22
"2008-04-14",64.09,64.95,63.35,63.72,2464100,63.72
"2008-04-15",63.75,65.38,63.41,64.93,3659900,64.93
"2008-04-16",65.5,66.16,64.61,65.89,3168700,65.89
"2008-04-17",66.16,66.95,65.63,65.82,2771300,65.82
"2008-04-18",66.61,66.72,64.92,65,3773300,65
"2008-04-21",65.08,65.26,64.38,64.9,3002500,64.9
"2008-04-22",64.79,65.58,63.93,64.62,3499000,64.62
"2008-04-23",65.98,66.12,63.4,64.51,3111400,64.51
"2008-04-24",64.57,64.74,62.78,63.67,2754200,63.67
"2008-04-25",63.66,65.32,63.66,65.12,2741900,65.12
"2008-04-28",64.97,65.59,64.55,64.67,2600500,64.67
"2008-04-29",61.24,62.35,61.09,61.33,6941700,61.33
"2008-04-30",61.63,61.97,60.59,60.69,2599400,60.69
"2008-05-01",60.94,62.53,60.6,62.33,3480400,62.33
"2008-05-02",62.58,62.8,61.35,62.31,2833000,62.31
"2008-05-05",62.01,63.12,61.98,63.01,1857500,63.01
"2008-05-06",62.59,63.37,62.44,63.14,1678000,63.14
"2008-05-07",63.19,63.36,61.84,62.02,1561800,62.02
"2008-05-08",62.22,63.68,61.94,62.7,1756700,62.7
"2008-05-09",62.2,62.38,61.67,62.07,2057500,62.07
"2008-05-12",62.44,63.75,61.98,63.05,1816400,63.05
"2008-05-13",63.28,63.4,61.67,62.32,1656100,62.32
"2008-05-14",62.69,63.38,61.92,62.35,1792200,62.35
"2008-05-15",62.1,63.26,61.46,62.9,1508100,62.9
"2008-05-16",63.19,63.71,62.87,63.5,2107300,63.5
"2008-05-19",63.23,63.94,62.4,62.75,1850400,62.75
"2008-05-20",62.98,63.97,62.55,63.06,1404500,63.06
"2008-05-21",63.26,63.28,61.5,61.62,2885600,61.62
"2008-05-22",61.84,62.95,61.72,62.08,1232100,62.08
"2008-05-23",61.96,62.18,60.72,61.02,1727400,61.02
"2008-05-27",61.05,63.2,60.91,62.06,3752600,62.06
"2008-05-28",62.16,63.13,61.87,63.13,2429900,63.13
"2008-05-29",63.19,64.36,62.79,63.73,1781200,63.73
"2008-05-30",63.58,63.9,62.57,62.75,2484600,62.75
"2008-06-02",62.85,63.34,60.78,61.41,2572000,61.41
"2008-06-03",61.72,62.43,60.47,61.71,3229300,61.71
"2008-06-04",61.28,62.65,61.03,62.25,2672900,62.25
"2008-06-05",63.09,66.41,62.39,64.57,5343600,64.57
"2008-06-06",64.37,64.37,62.39,62.42,3038700,62.42
"2008-06-09",62.41,62.52,60.61,61.28,3774500,61.28
"2008-06-10",60.97,61.53,59.96,60.44,3391800,60.44
"2008-06-11",60.75,61,58.9,58.9,3088400,58.9
"2008-06-12",59.5,59.53,58.48,58.58,2522600,58.58
"2008-06-13",59.2,59.9,58.71,59.9,1968100,59.9
"2008-06-16",59.34,60.42,58.74,59.58,1934700,59.58
"2008-06-17",59.48,59.71,58.33,58.35,2063700,58.35
"2008-06-18",58.21,59.6,57.52,58.5,2955000,58.5
"2008-06-19",58.21,59.8,57.28,59.17,2766800,59.17
"2008-06-20",58.93,59.37,57.5,58.01,3891200,58.01
"2008-06-23",57.91,58.75,56.53,56.53,3344300,56.53
"2008-06-24",56.66,58.29,56.34,57.84,3380300,57.84
"2008-06-25",58.27,58.96,57.13,58.12,2407500,58.12
"2008-06-26",57.49,57.82,56.31,56.34,2283800,56.34
"2008-06-27",56.24,57.1,55.87,57.04,7078100,57.04
"2008-06-30",56.64,56.95,55.68,55.89,3224500,55.89
"2008-07-01",56.07,59.46,55.36,59.34,5228900,59.34
"2008-07-02",59.25,59.38,57.88,58.36,3123600,58.36
"2008-07-03",58.16,59.91,57.57,58.2,3255200,58.2
"2008-07-07",58,59.41,57.96,58.87,3123000,58.87
"2008-07-08",59.13,63.38,59.06,62.94,5797300,62.94
"2008-07-09",62.7,63.05,61.03,61.03,3433500,61.03
"2008-07-10",61.39,62,60.45,60.94,4149000,60.94
"2008-07-11",60.82,62.97,60.46,62.2,3183700,62.2
"2008-07-14",62.31,62.99,60.89,61.02,3167600,61.02
"2008-07-15",61.27,64.67,60.99,63.48,5493500,63.48
"2008-07-16",63.84,64.7,62.79,63.58,4204100,63.58
"2008-07-17",63.68,63.93,62.45,63,3452800,63
"2008-07-18",62.72,65.2,62.54,64.65,4266400,64.65
"2008-07-21",67.01,68.57,66.46,66.85,5540800,66.85
"2008-07-22",68.45,71.76,68.45,71.28,8678700,71.28
"2008-07-23",71.41,72.34,70,71.38,5535300,71.38
"2008-07-24",70.64,72.3,70.26,71.28,4153600,71.28
"2008-07-25",71.05,71.05,69.48,69.5,3511000,69.5
"2008-07-28",69.7,70.98,69.1,69.49,3143700,69.49
"2008-07-29",69.92,70.84,69.57,70.5,3797400,70.5
"2008-07-30",70.34,71.5,69.63,71.27,2794600,71.27
"2008-07-31",72.09,73.59,69.7,69.76,8795600,69.76
"2008-08-01",51.66,53.52,49.84,50.01,36988100,50.01
"2008-08-04",50.97,51.37,49.64,49.74,8889200,49.74
"2008-08-05",50.74,51.04,50,50.51,7365300,50.51
"2008-08-06",50.39,50.93,49.87,50.22,7269500,50.22
"2008-08-07",50.13,51.7,49.76,49.88,5472600,49.88
"2008-08-08",49.99,50.99,49.88,49.9,3633000,49.9
"2008-08-11",50.35,50.86,49.9,50.76,3797500,50.76
"2008-08-12",51.25,52.42,51.01,52.21,5337700,52.21
"2008-08-13",52.49,52.82,51.84,52.47,3974100,52.47
"2008-08-14",52.31,54.18,52,53.73,3626800,53.73
"2008-08-15",54.86,55.24,54.01,54.65,3912600,54.65
"2008-08-18",54.9,55.45,54.12,54.43,3054100,54.43
"2008-08-19",53.99,55.21,53.81,54.3,2926400,54.3
"2008-08-20",54.4,55.16,53.56,54.1,2418600,54.1
"2008-08-21",54.07,54.1,52.6,53.16,2248300,53.16
"2008-08-22",52.84,53.33,52.36,52.38,3216100,52.38
"2008-08-25",52.34,53.64,52,53.48,5144900,53.48
"2008-08-26",54.15,54.67,51.87,52.09,4753400,52.09
"2008-08-27",52.31,52.48,50.38,51.09,5472400,51.09
"2008-08-28",51.04,51.62,50.63,51.33,2983100,51.33
"2008-08-29",51,51.63,50.58,50.93,2924300,50.93
"2008-09-02",51.89,52.37,49.96,50.34,3261700,50.34
"2008-09-03",50.38,50.73,49.79,50.17,2897900,50.17
"2008-09-04",49.82,50.29,48.12,48.16,5622500,48.16
"2008-09-05",48.28,48.91,47.25,48.59,4003800,48.59
"2008-09-08",47.86,48.62,47.11,47.5,4589300,47.5
"2008-09-09",47.41,48.73,46.72,46.72,4202300,46.72
"2008-09-10",47.34,47.56,46.55,47.3,5302900,47.3
"2008-09-11",46.55,48.68,46.55,48.47,5972600,48.47
"2008-09-12",48.62,49.37,47.59,48.7,3356400,48.7
"2008-09-15",47.99,48.22,46.46,46.59,4276800,46.59
"2008-09-16",46.52,48.93,46.52,48.48,4234800,48.48
"2008-09-17",47.21,48.23,45.37,45.37,5068900,45.37
"2008-09-18",46.25,48.57,45.38,47.14,5314400,47.14
"2008-09-19",48.92,50.07,47.14,49.98,7303600,49.98
"2008-09-22",50.13,50.34,48.07,48.1,3344000,48.1
"2008-09-23",48.43,49.9,46.92,47.13,3358600,47.13
"2008-09-24",47.26,47.52,46.29,46.72,3181200,46.72
"2008-09-25",48.24,49.38,47.59,48.83,3008700,48.83
"2008-09-26",47.99,50.1,47.5,49.77,3734000,49.77
