"","FFIV.Open","FFIV.High","FFIV.Low","FFIV.Close","FFIV.Volume","FFIV.Adjusted"
"2007-04-05",65.75,66.82,65.12,66.68,3524600,33.34
"2007-04-09",67.12,68.44,66.8,67.64,3065800,33.82
"2007-04-10",67.5,67.74,66.87,67.63,1630600,33.81
"2007-04-11",67.55,68.83,67.23,67.59,1563000,33.79
"2007-04-12",67.04,69.07,66.63,68.75,1544000,34.38
"2007-04-13",68.75,68.75,66.75,66.86,2361200,33.43
"2007-04-16",66.91,67.6,66.91,67.24,1637000,33.62
"2007-04-17",67.4,67.57,65.94,66.07,1666200,33.03
"2007-04-18",66.62,69.7,64.43,69.57,8676400,34.78
"2007-04-19",68.85,70.89,68.6,68.93,4729200,34.47
"2007-04-20",69.53,69.8,68.39,68.83,2466400,34.42
"2007-04-23",68.83,69.03,67.89,68.06,2216200,34.03
"2007-04-24",66.45,67.49,66.25,67.05,4338200,33.53
"2007-04-25",67.18,67.86,65.39,66.07,7345600,33.03
"2007-04-26",78.24,80.5,75.25,79.93,14009400,39.97
"2007-04-27",79.29,80.45,78.12,78.59,3879200,39.29
"2007-04-30",78.6,80.19,76.67,76.78,2391600,38.39
"2007-05-01",76.74,76.85,75.54,76.34,2320800,38.17
"2007-05-02",76.69,78.52,76.46,77.15,1815000,38.58
"2007-05-03",77.5,78.56,76.35,77.82,2363600,38.91
"2007-05-04",78,79.5,77.52,78.07,1347400,39.03
"2007-05-07",78.33,78.54,77.32,77.72,1628600,38.86
"2007-05-08",77.51,78,76.48,77.8,1770000,38.9
"2007-05-09",77.38,79.49,76.3,78.85,2942000,39.42
"2007-05-10",78.66,78.71,76.32,76.91,1762000,38.46
"2007-05-11",77.76,78,76.59,77.32,1071600,38.66
"2007-05-14",77.15,78.09,76.28,76.89,1067400,38.44
"2007-05-15",76.83,77.25,74.5,74.83,1495800,37.42
"2007-05-16",74.83,76,73.68,75.92,1829000,37.96
"2007-05-17",75.61,76.14,74.76,75.41,1144400,37.71
"2007-05-18",75.98,76.06,75.15,75.36,2297400,37.68
"2007-05-21",75.5,79.1,75.5,78.83,2654200,39.42
"2007-05-22",78.6,80.43,78.59,78.63,2125000,39.31
"2007-05-23",79.04,79.92,77.03,77.15,1495400,38.58
"2007-05-24",77.61,77.99,75.71,75.99,1627200,37.99
"2007-05-25",75.91,76.89,75.53,76.72,997600,38.36
"2007-05-29",77.05,77.99,76.59,77.16,1490000,38.58
"2007-05-30",76.9,79.26,75.88,78.91,1411400,39.46
"2007-05-31",79,81.49,79,81.26,3103200,40.63
"2007-06-01",81.36,82.65,80.79,81.54,1754000,40.77
"2007-06-04",81.11,82.42,80.91,81.89,1251200,40.94
"2007-06-05",81.49,82.56,79.26,80.47,1751800,40.24
"2007-06-06",79.9,79.9,78.15,78.59,1226400,39.29
"2007-06-07",78.25,79.7,77,77.18,1221600,38.59
"2007-06-08",77.02,79.35,76.61,78.93,1062800,39.47
"2007-06-11",78.89,80.9,78.73,80.48,1445800,40.24
"2007-06-12",81.06,82.25,80.15,80.25,2281000,40.12
"2007-06-13",80.57,81.52,79.1,80.02,1241200,40.01
"2007-06-14",80.31,82.34,80,82.11,1586800,41.06
"2007-06-15",83.36,86.48,83.36,85.21,3972600,42.6
"2007-06-18",85.6,86.45,84.01,84.68,1733600,42.34
"2007-06-19",84.35,85.01,83.05,84.03,1022600,42.01
"2007-06-20",84.42,85.55,84,84.41,1452000,42.21
"2007-06-21",84.02,85.24,82.2,84.1,1620600,42.05
"2007-06-22",83.5,84.14,81.9,82.77,1285600,41.38
"2007-06-25",82.9,84.22,82.07,82.38,1180600,41.19
"2007-06-26",82.69,83.47,81.31,81.6,1224600,40.8
"2007-06-27",79.53,82.05,78.3,81.35,4857600,40.67
"2007-06-28",81.2,82.16,80.26,80.84,1603600,40.42
"2007-06-29",81.38,82.09,80.18,80.6,1234000,40.3
"2007-07-02",80,82.08,79.87,80.8,1178000,40.4
"2007-07-03",80.84,81.53,80.03,80.06,539200,40.03
"2007-07-05",80.61,83.68,80.28,83.2,1539600,41.6
"2007-07-06",82.98,83.42,82.27,82.88,905200,41.44
"2007-07-09",82.92,83.88,82.02,82.83,835600,41.42
"2007-07-10",82.69,83.52,81.36,81.47,1494800,40.74
"2007-07-11",81.53,83.09,81.31,82.52,1400600,41.26
"2007-07-12",83.14,88.04,82.55,87.71,3287400,43.85
"2007-07-13",87.32,87.56,85.56,87.37,1740200,43.69
"2007-07-16",87.29,88.6,86.82,87.33,1350800,43.67
"2007-07-17",88.41,88.75,86.89,87.62,1350800,43.81
"2007-07-18",85.52,85.99,84.27,85.27,1811600,42.63
"2007-07-19",87.94,90.5,87.73,90.26,3677000,45.13
"2007-07-20",90,90.15,88.4,89.08,1624600,44.54
"2007-07-23",89.18,90.42,87.24,87.29,1624600,43.65
"2007-07-24",86.56,86.65,84.12,84.39,2609800,42.19
"2007-07-25",85.63,86.62,83.17,84.85,4225000,42.42
"2007-07-26",80.94,91.61,80.8,91.01,9417400,45.51
"2007-07-27",91.4,93.87,89.69,91.2,4298600,45.6
"2007-07-30",91.5,91.5,89.18,90,1806800,45
"2007-07-31",90.91,91.25,86.55,86.69,1793800,43.35
"2007-08-01",86.59,88.83,85.65,86.65,2482600,43.33
"2007-08-02",86.72,87.98,86.05,87.14,1904200,43.57
"2007-08-03",87.36,87.85,83.34,83.68,2133000,41.84
"2007-08-06",83.83,84,70.3,72.43,12089000,36.22
"2007-08-07",71.62,72.11,63.09,64.05,16925600,32.03
"2007-08-08",66,68.16,62.84,66.11,8904800,33.06
"2007-08-09",66.01,72.33,66,70.02,6536600,35.01
"2007-08-10",67.94,71.02,67.02,70.05,2700000,35.03
"2007-08-13",71.1,73.75,70.8,72.42,3373000,36.21
"2007-08-14",73.15,73.75,68.75,68.91,2318200,34.46
"2007-08-15",68.74,70.14,67.02,68.31,3057800,34.15
"2007-08-16",68.4,71.31,67.67,70.48,3215800,35.24
"2007-08-17",72.02,73.17,70.53,71.98,2246600,35.99
"2007-08-20",72.39,72.76,69.43,71.12,1783600,35.56
"2007-08-21",35.03,35.77,34.45,34.62,1607600,34.62
"2007-08-22",35.23,36.5,34.75,35.97,1766300,35.97
"2007-08-23",36.02,36.39,35.04,35.65,1352200,35.65
"2007-08-24",35.51,37.61,35.51,37.48,1606900,37.48
"2007-08-27",37.35,37.64,36.27,36.79,1096900,36.79
"2007-08-28",36.63,36.77,34.59,34.61,1734300,34.61
"2007-08-29",35.16,35.57,34.71,35.2,1304600,35.2
"2007-08-30",34.56,35.36,34.32,35,1180400,35
"2007-08-31",35.77,35.9,34.62,34.97,1123600,34.97
"2007-09-04",34.93,36.42,34.78,36.14,1037700,36.14
"2007-09-05",35.99,36.99,35.71,36.96,1355600,36.96
"2007-09-06",37,38.82,37,38.82,2338500,38.82
"2007-09-07",38.18,38.29,37.25,37.71,1157400,37.71
"2007-09-10",37.95,38.69,36.76,37.37,992100,37.37
"2007-09-11",37.66,39.5,37.5,39.05,1964900,39.05
"2007-09-12",39.3,40.89,39.04,40.15,2402200,40.15
"2007-09-13",40.4,40.49,39.5,39.58,1452600,39.58
"2007-09-14",39.35,40.3,38.21,40.06,1342800,40.06
"2007-09-17",40.19,40.19,39.1,39.19,868200,39.19
"2007-09-18",39.5,40.89,38.78,40.26,1286700,40.26
"2007-09-19",40.44,41.4,39.25,39.27,1643700,39.27
"2007-09-20",39.22,39.47,38.62,39,1518700,39
"2007-09-21",39.43,39.98,39.06,39.37,817600,39.37
"2007-09-24",38.37,39.03,37.95,38,2331600,38
"2007-09-25",37.75,38.02,36.17,36.41,2908600,36.41
"2007-09-26",37,37.97,36.7,37.85,2595700,37.85
"2007-09-27",37.97,37.97,37.01,37.3,2382200,37.3
"2007-09-28",37.25,37.54,36.39,37.19,1739600,37.19
"2007-10-01",37.07,38.35,36.99,38.19,1530700,38.19
"2007-10-02",37.41,39.9,37.27,39.43,1869800,39.43
"2007-10-03",39.1,40.6,38.91,39.98,1615300,39.98
"2007-10-04",40.29,41.97,40.25,41.15,2601900,41.15
"2007-10-05",41.61,43.14,41.51,43.09,2134100,43.09
"2007-10-08",42.8,43.75,42.79,43.48,1695000,43.48
"2007-10-09",42.89,43.3,42.25,42.94,1834300,42.94
"2007-10-10",42.6,42.88,41.95,42.15,1299300,42.15
"2007-10-11",42.5,43,41.06,41.69,1911400,41.69
"2007-10-12",41.8,42.27,41.47,41.57,711100,41.57
"2007-10-15",41.55,41.89,40.61,41.54,726900,41.54
"2007-10-16",41.45,41.65,40.48,40.66,1145500,40.66
"2007-10-17",41.2,41.2,40.23,41.11,1294500,41.11
"2007-10-18",40.8,43.24,40.4,43,2606200,43
"2007-10-19",42.83,43,42.28,42.63,2515100,42.63
"2007-10-22",42.85,42.97,41.59,42.91,1123600,42.91
"2007-10-23",43.11,44.55,42.82,44.27,1346600,44.27
"2007-10-24",42.78,43.06,39.41,40.47,5836800,40.47
"2007-10-25",36.02,38,33.98,34.19,7423200,34.19
"2007-10-26",34.9,35.95,33.95,34.27,4770000,34.27
"2007-10-29",34.28,34.64,33.71,34.45,2823700,34.45
"2007-10-30",33.68,34.16,32.94,33.66,2659700,33.66
"2007-10-31",34.69,36.04,34.09,36.03,4198800,36.03
"2007-11-01",36.75,37.75,35.51,36.8,3518400,36.8
"2007-11-02",37.5,37.67,35.47,36.83,2660200,36.83
"2007-11-05",36.38,38.31,36.14,38.1,2169300,38.1
"2007-11-06",38.61,38.81,37.36,37.81,1670000,37.81
"2007-11-07",37.35,37.5,35.65,35.73,1966100,35.73
"2007-11-08",34.18,34.85,33.08,34.72,3729700,34.72
"2007-11-09",34.39,35.35,32.86,32.88,2745400,32.88
"2007-11-12",32.79,33.71,31.17,31.17,2403400,31.17
"2007-11-13",31.5,32.15,30.06,31.79,2838700,31.79
"2007-11-14",32.18,32.48,30.67,30.97,1718400,30.97
"2007-11-15",30.77,30.98,29.51,29.8,2354000,29.8
"2007-11-16",30,30,29.09,29.69,1146600,29.69
"2007-11-19",29.46,30.27,28.74,28.83,1529800,28.83
"2007-11-20",28.99,29.4,26.81,27.78,2340900,27.78
"2007-11-21",27.44,27.81,27.04,27.04,1202500,27.04
"2007-11-23",27,27.25,26.2,26.97,920100,26.97
"2007-11-26",26.91,28.67,26.66,26.82,1771900,26.82
"2007-11-27",27.5,27.5,26.3,26.9,1923500,26.9
"2007-11-28",27.16,28.1,27.15,28.04,1914300,28.04
"2007-11-29",27.86,27.99,25.91,26.12,3580800,26.12
"2007-11-30",27.54,27.54,26.13,26.42,3104800,26.42
"2007-12-03",26.8,27.31,26.52,26.89,1324800,26.89
"2007-12-04",26.62,27.18,26.28,26.62,1904500,26.62
"2007-12-05",27.05,28.14,26.82,28.14,2225200,28.14
"2007-12-06",28.05,29.06,27.8,28.86,1774700,28.86
"2007-12-07",29.02,29.27,27.88,28.03,1570300,28.03
"2007-12-10",29.28,30.84,29.14,29.89,2392100,29.89
"2007-12-11",29.9,30.5,29.1,29.15,1738300,29.15
"2007-12-12",30.12,30.75,29.06,29.94,2326400,29.94
"2007-12-13",29.43,29.54,28.5,28.9,1660300,28.9
"2007-12-14",28.73,29.36,28.5,29.23,1146200,29.23
"2007-12-17",29.03,29.41,27.73,27.83,1211000,27.83
"2007-12-18",28,28.61,28,28.36,923200,28.36
"2007-12-19",28.3,28.3,27.19,27.45,1756800,27.45
"2007-12-20",27.6,28.49,27.09,27.66,2191200,27.66
"2007-12-21",28.52,29.21,27.84,29.16,2975400,29.16
"2007-12-24",29.25,29.98,29.17,29.91,903600,29.91
"2007-12-26",29.6,30.29,29.58,30.01,1380500,30.01
"2007-12-27",30,30.14,28.8,28.9,1110200,28.9
"2007-12-28",29.01,29.32,28.92,29.12,880600,29.12
"2007-12-31",28.96,29.43,28,28.52,1715600,28.52
"2008-01-02",28.02,28.21,26.88,27.01,1572600,27.01
"2008-01-03",27.01,27.14,26.22,26.48,1701000,26.48
"2008-01-04",25.49,25.56,24.19,24.51,2903200,24.51
"2008-01-07",24.5,24.5,22.93,23.28,2703600,23.28
"2008-01-08",23.3,23.72,21.62,21.69,3422700,21.69
"2008-01-09",21.73,22.29,21.07,21.65,2297800,21.65
"2008-01-10",21.37,23.48,21.18,23.23,4302000,23.23
"2008-01-11",23.08,23.2,21.25,21.4,3596700,21.4
"2008-01-14",21.47,22.97,21.4,22.84,3303600,22.84
"2008-01-15",22.41,22.81,22,22.54,3298700,22.54
"2008-01-16",21.56,21.6,19.81,20.68,5501900,20.68
"2008-01-17",20.73,21.17,19.92,20.06,2569700,20.06
"2008-01-18",20.19,21.13,20.1,20.43,2384500,20.43
"2008-01-22",18.31,20.76,18.11,20.41,3831500,20.41
"2008-01-23",19.58,20.46,18.51,20.18,5333300,20.18
"2008-01-24",24.18,26.22,23.63,24.8,11672200,24.8
"2008-01-25",25,25.38,22.94,23.15,5224000,23.15
"2008-01-28",23.32,24.23,23,23.94,1955300,23.94
"2008-01-29",24.17,24.25,22.92,23.37,1872400,23.37
"2008-01-30",23.21,23.92,23.08,23.28,2053100,23.28
"2008-01-31",22.75,23.53,22.42,23.53,2827800,23.53
"2008-02-01",23.96,25.21,23.66,25.02,3514300,25.02
"2008-02-04",24.27,24.98,23.83,23.94,2124100,23.94
"2008-02-05",23.52,23.69,22.25,22.32,2720400,22.32
"2008-02-06",22.57,22.72,21.43,21.47,2600400,21.47
"2008-02-07",20.37,22.08,20.37,21.73,2990000,21.73
"2008-02-08",21.09,22.59,20.85,21.81,2016700,21.81
"2008-02-11",22.07,22.58,21.93,22.2,2013700,22.2
"2008-02-12",22.4,22.54,21.45,21.67,1705200,21.67
"2008-02-13",21.9,22.89,21.35,22.61,2245900,22.61
"2008-02-14",22.87,23.5,22.53,22.58,2474200,22.58
"2008-02-15",22.38,22.87,22.18,22.51,2754700,22.51
"2008-02-19",22.84,23.09,22.5,22.76,1996800,22.76
"2008-02-20",22.7,23.66,22.56,23.34,1794700,23.34
"2008-02-21",23.5,23.8,22.24,22.5,1864100,22.5
"2008-02-22",22.61,22.61,21.7,22.28,1251000,22.28
"2008-02-25",22.42,23.29,22.26,23.01,1764300,23.01
"2008-02-26",22.88,23.72,22.74,23.47,1973400,23.47
"2008-02-27",23.2,24.51,23.13,24.49,2365500,24.49
"2008-02-28",24.24,24.31,23.39,23.68,1872000,23.68
"2008-02-29",23,23.2,21.89,22.16,2406600,22.16
"2008-03-03",21.96,22,20.9,20.97,2318400,20.97
"2008-03-04",20.77,20.95,20.02,20.47,2483300,20.47
"2008-03-05",20.57,21.59,20.51,20.8,2588200,20.8
"2008-03-06",19.99,20.02,19.08,19.36,3654200,19.36
"2008-03-07",19.15,20.1,18.84,19.39,2066100,19.39
"2008-03-10",18.88,19.68,18.57,19.03,2515000,19.03
"2008-03-11",19.55,19.72,18.89,19.58,1562100,19.58
"2008-03-12",19.69,20.62,19.52,19.9,2128600,19.9
"2008-03-13",19.62,20.01,18.85,19.88,1694000,19.88
"2008-03-14",20.08,20.6,19.37,19.87,3061100,19.87
"2008-03-17",19.33,20.24,19.04,19.57,2048500,19.57
"2008-03-18",20.22,20.85,19.75,20.69,2387700,20.69
"2008-03-19",20.6,20.71,19.13,19.18,1885400,19.18
"2008-03-20",19.49,19.64,19.03,19.49,1802200,19.49
"2008-03-24",19.15,20.13,19.08,20.04,2555000,20.04
"2008-03-25",20.19,20.81,20.09,20.62,1615400,20.62
"2008-03-26",20.57,20.75,19.41,19.97,2220900,19.97
"2008-03-27",19.49,19.74,18.89,19.07,2178800,19.07
"2008-03-28",19.19,19.73,18.93,19.1,1893200,19.1
"2008-03-31",19.02,19.24,18.11,18.17,2742800,18.17
"2008-04-01",18.52,19.3,18.43,19.09,3477800,19.09
"2008-04-02",18.75,19.07,18.17,18.45,3257400,18.45
"2008-04-03",18.21,19.77,18.03,19.23,5047100,19.23
"2008-04-04",19,19.24,18.03,18.14,4517600,18.14
"2008-04-07",18.38,18.44,17.88,18.05,4014700,18.05
"2008-04-08",17.85,18.64,17.7,18.26,3213900,18.26
"2008-04-09",18.49,18.63,17.93,18.07,3392100,18.07
"2008-04-10",18.37,19.54,18.2,19.32,5165900,19.32
"2008-04-11",18.99,20.25,18.75,19.55,4715700,19.55
"2008-04-14",19.57,19.68,18.76,19.02,2908900,19.02
"2008-04-15",19.17,19.23,18.24,18.6,2752500,18.6
"2008-04-16",18.88,19.76,18.66,19.67,2244900,19.67
"2008-04-17",19.65,19.93,19.21,19.71,1718700,19.71
"2008-04-18",20.3,21.49,20.3,21.27,4291800,21.27
"2008-04-21",21.23,22.06,21,21.93,2752100,21.93
"2008-04-22",21.86,22.06,20.94,21.31,2229000,21.31
"2008-04-23",21.3,22.79,21.2,22.19,4514300,22.19
"2008-04-24",24.22,24.42,22.72,23.57,5986100,23.57
"2008-04-25",23.94,23.99,23.38,23.74,2572000,23.74
"2008-04-28",23.75,23.95,22.99,23.12,2262600,23.12
"2008-04-29",23.04,23.55,22.05,22.79,3857700,22.79
"2008-04-30",22.79,23.13,22.15,22.63,2841200,22.63
"2008-05-01",22.56,24.93,22.04,24.49,4904700,24.49
"2008-05-02",24.04,25.01,23.86,24.4,4039800,24.4
"2008-05-05",24.55,24.84,23.96,24.01,3280500,24.01
"2008-05-06",23.83,25.01,23.56,24.76,3133600,24.76
"2008-05-07",24.6,26.8,24.6,25.95,5611800,25.95
"2008-05-08",26.8,27.59,26.49,27.42,5752400,27.42
"2008-05-09",27.12,27.8,26.82,27,3638500,27
"2008-05-12",27.19,28.48,26.92,28.08,3112400,28.08
"2008-05-13",28.04,28.41,27.45,27.87,2693500,27.87
"2008-05-14",27.92,28.58,27.87,27.92,2121200,27.92
"2008-05-15",28.05,28.99,28.05,28.63,2826000,28.63
"2008-05-16",28.77,29.04,28.28,28.96,2179500,28.96
"2008-05-19",29.03,29.27,28.2,28.57,1912500,28.57
"2008-05-20",28.42,28.59,27.84,28.28,1890900,28.28
"2008-05-21",28.27,28.83,27.76,28.12,2697500,28.12
"2008-05-22",27.04,27.8,26.54,27.8,3910400,27.8
"2008-05-23",27.53,27.72,26.73,26.95,3182300,26.95
"2008-05-27",27.03,27.49,26.81,27.4,2507900,27.4
"2008-05-28",28.01,28.8,27.58,27.98,2924200,27.98
"2008-05-29",27.98,29.21,27.71,29,2875100,29
"2008-05-30",29.17,30.15,29.02,30.05,3283000,30.05
"2008-06-02",30,30.1,29.35,29.45,2274800,29.45
"2008-06-03",29.47,30.23,29.06,29.36,2427900,29.36
"2008-06-04",29.27,31.43,29.27,31.08,3015300,31.08
"2008-06-05",30.31,31.6,30.01,31.39,3008800,31.39
"2008-06-06",31.3,32.45,30.5,30.56,3825400,30.56
"2008-06-09",30.88,31.24,29.69,30.1,1919300,30.1
"2008-06-10",29.77,30.03,29.35,29.64,2636500,29.64
"2008-06-11",29.76,30.27,29.52,29.67,2773600,29.67
"2008-06-12",29.88,30.02,28.37,28.84,3612400,28.84
"2008-06-13",28.95,30.18,28.65,29.65,2617700,29.65
"2008-06-16",29.51,30.7,29.51,30.04,1566300,30.04
"2008-06-17",30.19,30.69,30,30.06,951200,30.06
"2008-06-18",29.85,30.88,29.74,30.72,2109200,30.72
"2008-06-19",30.84,32.6,30.6,32.32,2906700,32.32
"2008-06-20",32.1,32.5,30.51,30.66,2830800,30.66
"2008-06-23",30.95,31.23,29.95,30.11,2244800,30.11
"2008-06-24",29.8,30.34,28.97,29.27,2498600,29.27
"2008-06-25",29.25,30.77,28.87,30.25,2339000,30.25
"2008-06-26",30.02,30.1,28.88,29.1,3331700,29.1
"2008-06-27",29,29.26,28.26,28.93,2033100,28.93
"2008-06-30",28.8,29.31,28.3,28.42,2226500,28.42
"2008-07-01",28.01,30.26,27.67,30.02,3659400,30.02
"2008-07-02",29.69,30.47,29.5,29.64,2717800,29.64
"2008-07-03",29.65,30,28.62,29.77,1874000,29.77
"2008-07-07",29.9,30.59,29.09,29.86,2400800,29.86
"2008-07-08",30.09,31.53,29.8,31.45,2713700,31.45
"2008-07-09",31.39,31.65,30.83,31.42,5571500,31.42
"2008-07-10",31.6,32.72,30.74,32.3,4355400,32.3
"2008-07-11",32.03,34,31.05,33.44,3867100,33.44
"2008-07-14",33.78,33.91,31.86,32.02,2678400,32.02
"2008-07-15",32.34,33.67,31.04,31.46,6187100,31.46
"2008-07-16",31.69,32.33,31.07,32.24,4286500,32.24
"2008-07-17",32.29,33.15,32.14,32.97,2260800,32.97
"2008-07-18",32.99,33.13,32.14,32.45,1913900,32.45
"2008-07-21",32.55,32.91,31.54,32.44,1875300,32.44
"2008-07-22",31.93,32.5,31.15,32.41,1979800,32.41
"2008-07-23",32.5,32.5,30.75,31.04,4005700,31.04
"2008-07-24",30.38,33.85,30.1,32.02,7060200,32.02
"2008-07-25",32.06,32.35,31.11,31.7,2956200,31.7
"2008-07-28",31.65,32.27,30.07,30.26,1862700,30.26
"2008-07-29",30.62,30.99,29.93,30.4,1876000,30.4
"2008-07-30",30.31,30.72,29.11,29.51,1779500,29.51
"2008-07-31",29.4,29.92,29.08,29.15,1187700,29.15
"2008-08-01",28.9,29.38,27.98,29.16,1943800,29.16
"2008-08-04",28.08,29.48,28.01,28.98,2430700,28.98
"2008-08-05",29.18,30.19,28.83,30.07,2250700,30.07
"2008-08-06",30.11,31.1,29.81,31.02,3473200,31.02
"2008-08-07",30.66,32.18,30.23,31.59,2663000,31.59
"2008-08-08",31.72,33.43,31.39,33.36,2896700,33.36
"2008-08-11",32.78,35.85,32.68,35.3,3418400,35.3
"2008-08-12",35.31,35.72,34.41,34.87,2317300,34.87
"2008-08-13",34.83,35.66,34.59,35.25,1775100,35.25
"2008-08-14",35,35.58,34.79,34.99,1347800,34.99
"2008-08-15",35.23,35.84,34.78,35.2,2074600,35.2
"2008-08-18",35.46,35.68,34.28,34.84,1546000,34.84
"2008-08-19",34.52,34.81,33.15,33.49,2229800,33.49
"2008-08-20",33.6,33.93,32.68,33.58,1340200,33.58
"2008-08-21",33.45,33.63,32.95,33.47,793700,33.47
"2008-08-22",33.2,34.1,33.06,33.83,844100,33.83
"2008-08-25",33.46,33.94,33.09,33.18,688400,33.18
"2008-08-26",33.27,33.65,33,33.45,944100,33.45
"2008-08-27",33.44,33.98,33.08,33.57,899700,33.57
"2008-08-28",33.87,34.87,33.69,34.7,2035600,34.7
"2008-08-29",34.4,34.76,33.88,34.11,932000,34.11
"2008-09-02",34.64,34.94,32.89,33.38,1061700,33.38
"2008-09-03",32.95,33.91,32.88,33.5,1850700,33.5
"2008-09-04",32.79,33.01,30.72,30.79,2932600,30.79
"2008-09-05",30.51,31.47,30.05,31.19,3663300,31.19
"2008-09-08",31.51,32.56,31.21,32.36,2648100,32.36
"2008-09-09",32.31,32.89,31.15,31.39,2752000,31.39
"2008-09-10",31.83,31.83,30.5,30.67,3390200,30.67
"2008-09-11",30.1,31.63,29.71,31.04,2212900,31.04
"2008-09-12",31.6,32.6,31.21,32.18,3834700,32.18
"2008-09-15",30.79,31.49,29.8,30.23,3173900,30.23
"2008-09-16",29.35,29.71,27.72,29.26,3939800,29.26
"2008-09-17",28.58,29.28,27.37,27.42,2548600,27.42
"2008-09-18",27.3,28.15,24.41,25.94,7152200,25.94
"2008-09-19",26.79,30.45,26.79,27.35,5517100,27.35
"2008-09-22",27.69,27.8,25.44,25.63,2286400,25.63
"2008-09-23",25.52,27.25,23.71,24.11,3870500,24.11
"2008-09-24",22.82,23.25,21.65,21.85,7997500,21.85
"2008-09-25",22.1,22.82,21.64,22.52,4626600,22.52
"2008-09-26",21.86,24.06,21.84,23.84,3564800,23.84
"2008-09-29",22.96,23.04,21,21.7,3594000,21.7
