"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2007-10-15",89.39,89.81,87.72,88.93,858300,74.89
"2007-10-16",88.37,90.76,87.77,89.42,802700,75.3
"2007-10-17",89.96,91.16,89.49,90.05,1185200,75.83
"2007-10-18",89.86,89.86,87.84,88.42,1170700,74.46
"2007-10-19",88.21,88.25,85.74,86.14,1148500,72.54
"2007-10-22",85,88.19,84.13,87.99,1123600,74.09
"2007-10-23",86.94,86.94,81.56,83.74,3844800,70.51
"2007-10-24",83.3,85,83.01,84.72,1043300,71.34
"2007-10-25",84.3,85.88,83,83.95,1267200,70.69
"2007-10-26",85.31,85.6,82.78,83.57,764200,70.37
"2007-10-29",84.57,85.11,82.91,83.92,1085300,70.67
"2007-10-30",83.62,83.91,81.56,81.76,1084700,68.85
"2007-10-31",82.6,82.74,78.87,79.18,2432800,66.68
"2007-11-01",78.7,79.14,77.25,77.77,1492900,65.49
"2007-11-02",78.26,79.13,77.28,79.13,1484100,66.63
"2007-11-05",78.92,79,76.77,77.64,1032000,65.38
"2007-11-06",77.61,77.64,75.79,77.01,1309100,64.85
"2007-11-07",76.65,76.65,74.38,75.1,1311900,63.24
"2007-11-08",74.72,75.16,72.59,73.86,1829300,62.2
"2007-11-09",73.72,77.18,73.54,75.44,1541600,63.53
"2007-11-12",76.65,81.43,76.5,78.64,2386000,66.22
"2007-11-13",79.91,80.32,78.57,80.04,1258700,67.4
"2007-11-14",80,81.09,79.82,80.15,1397100,67.86
"2007-11-15",79.99,79.99,77.9,78.35,1506100,66.33
"2007-11-16",78.25,78.85,75.02,76.16,1616100,64.48
"2007-11-19",75.83,76.9,74.18,75.92,1672800,64.28
"2007-11-20",75.89,75.98,73.17,74.7,1964200,63.24
"2007-11-21",73.5,76.94,72.15,76.03,1619800,64.37
"2007-11-23",76.69,78.1,76.41,77.88,346600,65.93
"2007-11-26",78.11,79,75.55,75.55,1000300,63.96
"2007-11-27",75.79,78,75.67,77.65,1292000,65.74
"2007-11-28",78.39,79.93,77.7,79.64,1027000,67.42
"2007-11-29",79.54,79.54,77.86,79.35,858500,67.18
"2007-11-30",80,81.99,78.56,80.96,1747700,68.54
"2007-12-03",81.51,81.64,79.38,80.8,811200,68.41
"2007-12-04",80.16,81.78,79.59,81.25,897200,68.79
"2007-12-05",81.84,83.42,81.09,83.42,1218700,70.62
"2007-12-06",83.39,86.45,82.93,85.66,1466700,72.52
"2007-12-07",85.65,86.87,85.23,85.78,994700,72.62
"2007-12-10",85.85,88.91,85.6,88.54,1058400,74.96
"2007-12-11",89.87,89.87,82.68,83.24,2634400,70.47
"2007-12-12",85.6,86.35,82.53,83.98,2363300,71.1
"2007-12-13",83.73,83.73,81.79,83.44,1337300,70.64
"2007-12-14",82.91,82.91,80.13,81.29,1975000,68.82
"2007-12-17",80.78,82.38,79.77,80.42,1522000,68.09
"2007-12-18",81.09,82.39,78.75,81.47,1752000,68.97
"2007-12-19",81.65,81.65,80.06,80.61,1112900,68.25
"2007-12-20",81.36,81.7,79.89,81.55,788300,69.04
"2007-12-21",81.88,82.98,81.22,82.57,1152300,69.91
"2007-12-24",82.68,83.72,82.28,83.46,207700,70.66
"2007-12-26",83.3,83.3,81.7,83.23,483900,70.46
"2007-12-27",83,83.09,81.16,81.48,470500,68.98
"2007-12-28",82.45,82.45,80.36,80.79,916300,68.4
"2007-12-31",80.6,82.26,80.21,81.63,755700,69.11
"2008-01-02",81.17,81.45,78.42,79.88,1523400,67.63
"2008-01-03",80.2,80.49,78.69,79.12,1423600,66.98
"2008-01-04",78.53,79.11,75.12,75.64,2325800,64.04
"2008-01-07",76.25,76.65,75.01,76.15,1361900,64.47
"2008-01-08",76.68,77.71,74.54,74.65,1772100,63.2
"2008-01-09",73.72,74.1,72.27,73.92,1830400,62.58
"2008-01-10",72.93,75.74,72.1,74.85,1411300,63.37
"2008-01-11",74.3,74.3,72.69,73.54,1548400,62.26
"2008-01-14",73.99,74.49,72.1,72.75,2168700,61.59
"2008-01-15",72.1,72.1,70.3,70.87,1723800,60
"2008-01-16",69.93,70.75,67.19,70.4,3000900,59.6
"2008-01-17",70.09,71.34,69.31,69.8,2243000,59.09
"2008-01-18",70.31,72.01,69.95,71.53,2004900,60.56
"2008-01-22",68.5,75.43,68.35,74.49,2653000,63.06
"2008-01-23",72.16,81.06,71.99,81.01,3725000,68.58
"2008-01-24",80.5,81.51,77.8,78.89,1827500,66.79
"2008-01-25",79.81,83.17,77.53,77.78,1338400,65.85
"2008-01-28",77.68,79.99,76.56,79.99,1653600,67.72
"2008-01-29",80.79,82.71,78.93,82.49,1416400,69.84
"2008-01-30",82.55,84.45,81.75,82.25,1614200,69.63
"2008-01-31",81.27,86.2,80.6,85.29,2602400,72.21
"2008-02-01",85.01,86,83.26,85.72,2116800,72.57
"2008-02-04",85.96,86.41,81,81.59,2002600,69.08
"2008-02-05",84.57,94.19,84.55,90,10350100,76.2
"2008-02-06",90.99,98,89.31,90.49,6830400,76.61
"2008-02-07",89.81,92.64,88.37,91.39,2594800,77.37
"2008-02-08",91.07,91.28,88.43,89.03,1383300,75.37
"2008-02-11",87.98,89.31,86.01,89.18,2017500,75.5
"2008-02-12",89.91,92.81,89.18,91.34,1917400,77.33
"2008-02-13",92.22,92.98,90.64,91.68,1019800,77.62
"2008-02-14",91.9,92.28,89.37,89.58,1120300,75.84
"2008-02-15",89.11,90.27,87.89,88.49,1273000,74.92
"2008-02-19",89.34,90.73,88.05,88.49,1251500,74.92
"2008-02-20",88.25,89,86.88,88.82,1534100,75.2
"2008-02-21",89.31,90.99,88.91,89.37,1209100,75.66
"2008-02-22",89.07,89.35,86.4,88.72,1218700,75.48
"2008-02-25",88.71,89.84,87.12,88.9,1231000,75.63
"2008-02-26",88.25,92.47,88.25,91.53,1507300,77.87
"2008-02-27",91.15,95.01,90.61,93.9,2105600,79.88
"2008-02-28",93.25,93.25,89.22,90.38,1626500,76.89
"2008-02-29",89.27,89.47,84.16,84.37,2086300,71.77
"2008-03-03",84.44,87.99,83.61,87.85,2057200,74.74
"2008-03-04",86.94,88.57,86.09,87.87,1953000,74.75
"2008-03-05",84.71,87.15,83.61,84.34,2671800,71.75
"2008-03-06",83.76,84.15,81.79,82.38,1682600,70.08
"2008-03-07",81.91,85.33,81.37,83.74,1871100,71.24
"2008-03-10",83.51,84.38,82.2,82.26,1356000,69.98
"2008-03-11",83.51,85.81,82.8,85.05,1573100,72.35
"2008-03-12",85.76,86.85,83.52,85.1,1081600,72.4
"2008-03-13",83.03,85.56,81.62,84.98,1621500,72.29
"2008-03-14",85.78,85.78,82,82.93,1070300,70.55
"2008-03-17",80.81,82.52,78.9,80.92,2154600,68.84
