"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2009-06-30",52.59,53,51.64,52.15,1399800,47.22
"2009-07-01",52.62,53.21,52.23,52.71,1392200,47.73
"2009-07-02",52.45,52.62,50.8,50.8,1191400,46
"2009-07-06",50.88,51.62,50.5,51.55,1167000,46.68
"2009-07-07",51.32,51.38,49.93,50.09,1495500,45.36
"2009-07-08",50.3,50.38,49.06,50.1,1585700,45.36
"2009-07-09",50.22,50.54,49.67,50.17,947600,45.43
"2009-07-10",49.89,51.17,49.89,50.86,920800,46.05
"2009-07-13",50.47,50.77,49.39,50.58,2044000,45.8
"2009-07-14",50.65,51.26,50.2,51.17,1313600,46.33
"2009-07-15",51.67,51.97,50.79,51.12,2361100,46.29
"2009-07-16",50.34,52.86,50.34,52.54,1834900,47.57
"2009-07-17",52.79,52.79,51.8,52.6,1303300,47.63
"2009-07-20",52.59,53.21,52.17,53.05,1469500,48.04
"2009-07-21",53.34,53.43,51.69,52.41,2056700,47.46
"2009-07-22",53.69,55,53.03,53.33,3550700,48.29
"2009-07-23",53.29,54.85,52.71,54.59,1933600,49.43
"2009-07-24",54.15,54.3,53.31,53.97,1758300,48.87
"2009-07-27",52.35,53.83,52.06,53.83,2153300,48.74
"2009-07-28",53.26,53.82,53.01,53.65,1660100,48.58
"2009-07-29",53.35,53.85,52.87,53.32,1407400,48.28
"2009-07-30",54.11,54.89,53.67,54.43,1798500,49.29
"2009-07-31",54.49,55,53.93,54.53,1409000,49.38
"2009-08-03",54.52,54.95,54.01,54.79,1572700,49.61
"2009-08-04",54.43,54.9,54.05,54.54,1569100,49.38
"2009-08-05",54.55,54.56,53,53.54,1395200,48.48
"2009-08-06",53.48,53.48,52.82,53,1471400,47.99
"2009-08-07",53.82,54.98,53.54,54.77,1369700,49.59
"2009-08-10",54.45,54.76,53.71,54.37,1106700,49.23
"2009-08-11",54.15,54.95,53.78,54.66,1265100,49.49
"2009-08-12",54.61,56.02,54.06,55.52,1506000,50.27
"2009-08-13",55.92,56.14,55.13,55.48,1184100,50.24
"2009-08-14",55.27,55.51,54.19,54.77,1138800,49.59
"2009-08-17",54.26,54.7,53.33,53.78,1714100,48.7
"2009-08-18",53.91,55.06,53.91,54.88,1499700,49.69
"2009-08-19",54.07,55.76,54.07,55.6,1483700,50.34
"2009-08-20",55.49,55.93,55,55.73,1558200,50.46
"2009-08-21",56.39,57.8,55.26,57.57,2411300,52.13
"2009-08-24",57.5,58,57,57.47,1363200,52.04
"2009-08-25",57.74,58.34,57.16,57.6,1302600,52.16
"2009-08-26",57.05,58.15,57.05,57.35,1293900,51.93
"2009-08-27",57.24,57.63,56.25,57.05,1190900,51.66
"2009-08-28",57.26,57.85,56.36,56.76,1130000,51.39
"2009-08-31",56.59,56.84,55.62,56.26,1130600,50.94
"2009-09-01",55.98,57.21,55.18,55.37,1284200,50.14
"2009-09-02",54.76,55.77,54.76,55.39,1069600,50.37
"2009-09-03",55.41,56.05,55,56.05,924400,50.97
"2009-09-04",56.07,57.11,55.82,57.09,1065900,51.92
"2009-09-08",57.23,57.58,56.68,56.93,917900,51.77
"2009-09-09",56.84,57.24,56.17,56.62,1438700,51.49
"2009-09-10",56.48,57.5,56.32,57.4,1322400,52.2
"2009-09-11",57.91,58.91,57.69,58.72,1856700,53.4
"2009-09-14",58.43,58.92,58.05,58.6,1131600,53.29
"2009-09-15",58.58,58.76,57.92,58.41,1239100,53.12
"2009-09-16",58.68,58.91,57.65,58.83,1478600,53.5
"2009-09-17",58.74,59.63,58.29,58.69,1273500,53.37
"2009-09-18",59.12,59.21,58.15,58.69,1453100,53.37
"2009-09-21",58.49,59.05,58.1,58.62,1236500,53.31
"2009-09-22",58.78,59.42,58.44,59.1,1038600,53.75
"2009-09-23",58.5,59.46,58.21,58.28,1271300,53
"2009-09-24",58.41,58.5,57.36,57.96,1306900,52.71
"2009-09-25",58.21,58.61,57.32,57.57,965200,52.36
"2009-09-28",58.02,58.73,57.84,58.27,656400,52.99
"2009-09-29",58.15,58.48,57.21,57.5,898800,52.29
"2009-09-30",57.74,58.39,56.29,57.75,1375000,52.52
"2009-10-01",57.64,58.08,56.14,56.14,1265500,51.05
"2009-10-02",56.18,56.66,55.77,56.27,1143900,51.17
"2009-10-05",56.35,57.65,56.01,57.65,1408000,52.43
"2009-10-06",57.35,58.41,57.35,57.66,1470200,52.44
"2009-10-07",56.75,57.86,56.31,57.51,1526000,52.3
"2009-10-08",58,58.25,57.45,57.78,1171500,52.55
"2009-10-09",57.24,58.48,57.24,58.41,1251900,53.12
"2009-10-12",58.5,59.06,58.31,58.77,770100,53.45
"2009-10-13",58.58,59.28,58.5,59.12,1166800,53.76
"2009-10-14",59.74,60.72,59.19,60.72,1619500,55.22
"2009-10-15",60.65,61.22,60.19,60.98,1613400,55.46
"2009-10-16",60.59,61.05,60.19,60.92,1622000,55.4
"2009-10-19",61.22,61.47,60.77,61.2,1510700,55.66
"2009-10-20",60.75,61.69,60.46,61.47,2079300,55.9
"2009-10-21",60.09,60.91,57.9,58.73,4667100,53.41
"2009-10-22",58.65,59.33,57.96,58.99,2435000,53.65
"2009-10-23",58.58,58.77,56.67,57.24,2624300,52.06
"2009-10-26",57.28,58.13,56.59,56.82,1326000,51.67
"2009-10-27",57,57.43,56.25,56.49,1564800,51.37
"2009-10-28",57.12,57.12,55.96,56.05,1094500,50.97
"2009-10-29",56,56.87,56,56.5,1597700,51.38
"2009-10-30",56.17,56.62,54.88,55.11,1703600,50.12
"2009-11-02",55.19,56,54.76,55.43,1547100,50.41
"2009-11-03",55.5,56.23,55.19,56.01,1631000,50.94
"2009-11-04",56.04,56.36,54.58,54.69,2090500,49.74
"2009-11-05",54.72,56.2,54.72,56.04,1568500,50.96
"2009-11-06",56.13,56.69,55.53,56.5,993800,51.38
"2009-11-09",57.18,57.65,56.7,57.36,1568400,52.16
"2009-11-10",56.4,57.47,56.35,57.24,1579200,52.06
"2009-11-11",57.31,58.23,57.19,58.15,1713600,52.88
"2009-11-12",58.02,58.29,57.43,57.69,1200400,52.46
"2009-11-13",57.67,57.7,57.06,57.16,1217300,51.98
"2009-11-16",57.32,58.73,57.06,58.54,1208500,53.24
"2009-11-17",58.34,58.6,58.02,58.6,1033000,53.29
"2009-11-18",58.51,58.57,57.64,57.92,924300,52.67
"2009-11-19",57.69,57.69,56.85,57.35,1086500,52.16
"2009-11-20",56.91,57.54,56.89,57.2,1164900,52.02
"2009-11-23",57.68,58.17,56.96,57.1,1352300,51.93
"2009-11-24",57.12,57.16,55.93,56.59,1982900,51.46
"2009-11-25",56.04,56.69,56.04,56.42,1131400,51.31
"2009-11-27",55.2,56.32,54.99,55.83,975500,50.77
"2009-11-30",55.56,56,55.14,55.75,1719000,50.7
"2009-12-01",55.95,56.73,55.85,56.58,1990400,51.45
"2009-12-02",56.63,57.84,56.63,57.71,2021000,52.72
"2009-12-03",57.85,58.11,57.15,57.22,1183500,52.27
"2009-12-04",57.86,58.72,57.2,57.83,1153700,52.83
"2009-12-07",57.68,57.89,56.87,57.26,1222700,52.3
"2009-12-08",57.13,57.71,56.59,57.41,1244700,52.44
"2009-12-09",57.18,57.57,56.69,57.46,923400,52.49
"2009-12-10",57.5,57.94,57.38,57.69,864300,52.7
"2009-12-11",58,58.36,57.65,58.1,1065300,53.07
"2009-12-14",58.19,59.15,58.18,59.04,1240100,53.93
"2009-12-15",58.74,60.25,58.41,59.71,1940500,54.54
"2009-12-16",59.8,60.24,59.24,59.35,1186800,54.21
"2009-12-17",58.85,59.03,57.65,57.79,3059400,52.79
"2009-12-18",58.24,58.91,57.72,58.19,2016200,53.15
"2009-12-21",58.54,59.3,58.29,58.65,824300,53.57
"2009-12-22",58.71,58.87,58.37,58.69,732500,53.61
"2009-12-23",58.76,58.86,58.03,58.54,644100,53.47
"2009-12-24",58.73,58.94,58.19,58.8,241800,53.71
"2009-12-28",59,59.18,58.52,59.05,556200,53.94
"2009-12-29",59.22,59.62,58.95,59.51,857500,54.36
"2009-12-30",59.99,60,59.4,59.72,656300,54.55
"2009-12-31",59.61,59.63,58.73,58.73,811700,53.65
"2010-01-04",59.22,59.65,58.94,59.34,822900,54.2
"2010-01-05",59.18,59.49,57.39,58.11,2352700,53.08
"2010-01-06",57.82,57.99,57.2,57.34,1685500,52.38
"2010-01-07",57.08,57.14,56.18,56.79,1939600,51.88
"2010-01-08",56.7,57.62,56.6,57.55,1332500,52.57
"2010-01-11",57.5,57.91,57.22,57.72,1227300,52.72
"2010-01-12",57.47,57.64,56.79,56.99,1425700,52.06
"2010-01-13",57,57.47,56.34,57.32,1513300,52.36
"2010-01-14",57.02,57.88,57.02,57.62,818100,52.63
"2010-01-15",57.51,58.11,57.23,57.72,1592400,52.72
"2010-01-19",57.7,58.47,57.64,58.13,1061200,53.1
"2010-01-20",57.53,57.85,56.89,57.78,1157700,52.78
"2010-01-21",57.69,58.37,56.98,57.63,1659200,52.64
"2010-01-22",57.71,58.15,57.24,57.35,1558100,52.39
"2010-01-25",57.49,57.85,56.79,57.46,1167300,52.49
"2010-01-26",57.19,57.59,56.94,57.1,1347100,52.16
"2010-01-27",56.83,57.6,56.62,57.46,881300,52.49
"2010-01-28",57.64,57.64,56.2,56.54,1173200,51.65
"2010-01-29",56.68,57.28,56.63,56.63,1527800,51.73
"2010-02-01",56.84,57.65,56.69,57.4,981500,52.43
"2010-02-02",57.24,57.54,56.68,57.42,1470300,52.45
"2010-02-03",52.84,54.38,51.5,53.54,8727300,48.91
"2010-02-04",53.31,53.95,52.67,53.25,3974300,48.64
"2010-02-05",53.16,54.08,51.16,52.44,2833000,47.9
"2010-02-08",52.65,52.97,52.01,52.08,2046300,47.57
"2010-02-09",52.64,53.68,52.11,52.67,2709800,48.11
"2010-02-10",52,52.51,51.31,51.84,1904200,47.35
"2010-02-11",51.63,53.3,51.46,53.1,2533300,48.5
"2010-02-12",52.47,52.7,51.68,52.12,2414800,47.61
"2010-02-16",52.39,53.29,52.39,52.75,1511000,48.18
"2010-02-17",53.05,53.43,52.57,53,1345300,48.41
"2010-02-18",53.05,53.08,52.77,52.9,1032000,48.32
"2010-02-19",52.78,53.97,52.78,53.5,1768100,48.87
"2010-02-22",53.77,54.31,53.31,54.16,1625500,49.47
"2010-02-23",54.24,54.5,53.14,53.56,2650100,48.92
"2010-02-24",54,54.24,53.31,53.68,1822500,49.03
"2010-02-25",53,53.54,52.5,53.49,1612200,48.86
"2010-02-26",53.49,53.56,52.7,53.33,1701400,48.71
"2010-03-01",53.29,63.65,53.02,53.56,2163600,48.92
"2010-03-02",53.5,53.74,53.17,53.21,1597700,48.6
"2010-03-03",52.82,53.08,52.38,52.47,2205500,48.16
"2010-03-04",52.7,52.91,52.25,52.67,1610000,48.34
"2010-03-05",52.68,53.38,52.67,53.25,1621000,48.87
"2010-03-08",54.05,54.1,53.3,53.32,1488500,48.94
"2010-03-09",53.25,53.56,53.02,53.39,1060200,49
"2010-03-10",53.52,54.07,53.09,53.67,1695600,49.26
"2010-03-11",53.36,53.65,53.04,53.46,1975500,49.06
"2010-03-12",53.57,54.07,53.12,53.87,1710800,49.44
"2010-03-15",53.97,54.23,53.45,53.88,1651000,49.45
"2010-03-16",54.12,55.68,53.99,55.28,3479600,50.73
"2010-03-17",55.35,56.21,55.16,55.68,1992300,51.1
"2010-03-18",55.46,56.81,55.28,56.58,2114600,51.93
"2010-03-19",57.24,57.68,56.38,56.6,3059500,51.95
"2010-03-22",56.36,56.65,56.14,56.23,1451200,51.61
"2010-03-23",56.07,56.49,55.76,56.43,1303900,51.79
"2010-03-24",56.4,56.42,55.73,56.12,1293800,51.51
"2010-03-25",56.43,56.78,55.56,55.65,1779900,51.07
"2010-03-26",55.64,55.97,55.25,55.56,1545600,50.99
"2010-03-29",55.71,56.77,55.71,56.09,1279500,51.48
"2010-03-30",56.01,56.45,55.8,56.22,1372800,51.6
"2010-03-31",55.83,56.12,55.64,55.85,1376400,51.26
"2010-04-01",55.98,56.23,55.17,55.68,1178800,51.1
"2010-04-05",55.98,56.16,55.44,55.66,1094800,51.08
"2010-04-06",55.24,55.68,54.99,55.28,1574400,50.73
