"","DNB.Open","DNB.High","DNB.Low","DNB.Close","DNB.Volume","DNB.Adjusted"
"2007-04-03",91.76,92.4,91.46,91.71,205700,81.33
"2007-04-04",91.32,91.52,90.5,91.2,236700,80.88
"2007-04-05",91.15,91.16,90.25,90.63,195800,80.37
"2007-04-09",90.58,90.7,90.11,90.56,160700,80.31
"2007-04-10",90.62,90.9,90.43,90.45,239600,80.21
"2007-04-11",90.5,90.5,89.56,89.69,308500,79.54
"2007-04-12",89.67,89.84,88.4,89.73,370800,79.58
"2007-04-13",89.8,90.76,89.8,90.55,173400,80.3
"2007-04-16",90.95,91.27,90.57,90.85,233600,80.57
"2007-04-17",90.84,91.22,90.48,90.5,207200,80.26
"2007-04-18",90.4,90.53,89.97,90.23,242200,80.02
"2007-04-19",90.72,91.1,89.8,90.52,244800,80.28
"2007-04-20",90.75,91.37,90,90.3,469300,80.08
"2007-04-23",90.2,90.97,89.82,90.7,262200,80.44
"2007-04-24",90.85,91.48,90.52,91.24,224600,80.92
"2007-04-25",91.49,91.75,90.46,91.06,143600,80.76
"2007-04-26",91,91.04,90.63,90.89,163800,80.6
"2007-04-27",90.75,90.94,90.16,90.82,228600,80.54
"2007-04-30",90.97,91.21,90.21,90.3,232800,80.08
"2007-05-01",90.38,91.3,90.38,90.83,218400,80.55
"2007-05-02",90.73,91.37,90.45,91.06,396100,80.76
"2007-05-03",90.9,91.22,90.19,90.88,225300,80.6
"2007-05-04",91,96,91,95.1,871600,84.34
"2007-05-07",95,95.89,94.55,94.9,275100,84.16
"2007-05-08",94.65,95.42,93.83,95,173600,84.25
"2007-05-09",94.5,95.4,94.31,95.21,221900,84.44
"2007-05-10",94.85,95.59,94.56,95.2,193700,84.43
"2007-05-11",95.3,95.32,94.9,95.05,181900,84.29
"2007-05-14",94.55,95.23,94.3,94.96,286100,84.21
"2007-05-15",94.7,95.26,94.43,94.66,220000,83.95
"2007-05-16",94.91,95.08,94.6,95.04,209600,84.29
"2007-05-17",94.79,95.41,94.51,94.71,244900,83.99
"2007-05-18",94.84,95.61,94.76,95.28,321400,84.5
"2007-05-21",95.04,95.99,94.65,94.91,389100,84.17
"2007-05-22",94.77,95.99,94.77,95.87,416100,85.02
"2007-05-23",95.87,98.02,95.81,97.15,325800,86.16
"2007-05-24",97.31,98.06,96.99,97.16,381100,86.17
"2007-05-25",97,98.26,96.63,98.02,254600,86.93
"2007-05-29",98.02,99.29,97.74,99.29,328500,88.28
"2007-05-30",98.5,100.07,98.46,100.07,554900,88.97
"2007-05-31",100.2,100.31,99.66,100.13,439700,89.03
"2007-06-01",100,100.88,99.76,100.88,302200,89.69
"2007-06-04",100.63,102.04,100.15,102,302700,90.69
"2007-06-05",101.75,102.44,101.48,102.15,467200,90.82
"2007-06-06",101.9,102.16,101,101.83,327700,90.54
"2007-06-07",101.3,102.76,101.3,102,456300,90.69
"2007-06-08",102,102.54,101.5,102.31,229200,90.96
"2007-06-11",102.1,103.47,101.29,103.39,297800,91.92
"2007-06-12",102.6,103.16,100.82,101.01,699300,89.81
"2007-06-13",101.1,101.66,99.18,100.4,620700,89.27
"2007-06-14",99.85,101.57,99.85,100.79,344700,89.61
"2007-06-15",101.13,102.03,100.17,100.17,389000,89.06
"2007-06-18",99.49,101.51,99.32,101.34,266600,90.1
"2007-06-19",101.36,102.5,100.88,102.09,278800,90.77
"2007-06-20",101.22,102.12,98.77,101.28,434100,90.05
"2007-06-21",101.45,102.33,100.51,102,304400,90.69
"2007-06-22",101.59,101.59,99.71,99.71,511700,88.65
"2007-06-25",100.02,101.25,99.56,99.71,272700,88.65
"2007-06-26",99.96,102.94,99.91,102.43,691100,91.07
"2007-06-27",101.54,104.62,101.45,104.62,488800,93.02
"2007-06-28",104.5,104.5,103.34,103.64,279900,92.15
"2007-06-29",103.59,103.85,102.28,102.98,264300,91.56
"2007-07-02",102.68,104.58,102.68,104.58,219400,92.98
"2007-07-03",104.7,105.37,104.4,105.07,113800,93.42
"2007-07-05",104.9,104.99,104.16,104.59,210800,92.99
"2007-07-06",104.5,105.11,103.86,104.93,260300,93.29
"2007-07-09",105.2,105.2,103.51,104.56,263700,92.97
"2007-07-10",104.44,104.72,103.12,103.24,241900,91.79
"2007-07-11",103.05,104.22,102.57,104.14,235700,92.59
"2007-07-12",104.14,105.7,104.14,105.15,353100,93.49
"2007-07-13",105.2,105.78,104.88,105.78,221800,94.05
"2007-07-16",105.69,107.03,105.11,106.63,430500,94.81
"2007-07-17",106.59,106.78,105.98,106.5,323700,94.69
"2007-07-18",106.06,106.43,104.65,105.13,348400,93.47
"2007-07-19",105.3,106.5,105.3,106.09,283100,94.33
"2007-07-20",105.91,106,104.36,104.79,371600,93.17
"2007-07-23",105.03,106.71,105.03,105.36,293900,93.68
"2007-07-24",108.45,108.45,102.12,102.67,428200,91.28
"2007-07-25",103.21,104.21,99.77,99.95,709300,88.87
"2007-07-26",98.76,100.42,96.79,97.79,774900,86.95
"2007-07-27",97.86,99.75,96.11,96.11,590900,85.45
"2007-07-30",94.4,97.74,94.4,97.33,529800,86.54
"2007-07-31",98.33,98.72,97.61,97.76,590100,86.92
"2007-08-01",97.76,99.34,96.41,98.46,430200,87.54
"2007-08-02",99.09,99.47,97.51,98.32,474700,87.42
"2007-08-03",98.39,98.68,95.83,95.83,394400,85.2
"2007-08-06",96.93,99.53,95.74,99.28,415300,88.27
"2007-08-07",99.28,102.66,96.94,101.66,849700,90.39
"2007-08-08",102.09,105,100.7,104.55,721500,92.96
"2007-08-09",100.02,104.99,92.53,92.55,1225200,82.29
"2007-08-10",91,94.33,88.11,91.02,1350200,80.93
"2007-08-13",91.53,96.59,91.25,94.94,733200,84.41
"2007-08-14",95.57,96.06,93.02,95.51,583600,84.92
"2007-08-15",95.93,96.88,91.29,91.75,432200,81.58
"2007-08-16",91.58,94.64,87.44,90.08,1048200,80.09
"2007-08-17",93,95.63,90.76,92.2,781000,81.98
"2007-08-20",92.24,92.73,90.01,91.68,769400,81.51
"2007-08-21",91.76,93.98,91.45,92.24,330700,82.01
"2007-08-22",93.46,95.58,93.25,95.51,357800,84.92
"2007-08-23",96.18,96.39,94.37,94.96,297300,84.43
"2007-08-24",94.84,97.79,94.55,97.7,352200,86.87
"2007-08-27",97.95,97.95,96.32,96.78,304800,86.05
"2007-08-28",96.01,96.25,95.35,95.67,425900,85.06
"2007-08-29",96.42,97.51,94.76,97.02,482600,86.49
"2007-08-30",96.05,97.12,95.85,96.35,331500,85.89
"2007-08-31",96.35,97.95,96.14,97.55,321200,86.96
"2007-09-04",97.64,98.51,96.83,97.57,288800,86.98
"2007-09-05",97.29,98.16,96.79,97.87,300700,87.25
"2007-09-06",97.97,97.97,96.37,96.58,374300,86.1
"2007-09-07",95.81,98,95.33,96.33,349500,85.87
"2007-09-10",96.1,96.87,94.92,95.23,299800,84.89
"2007-09-11",95.45,96.2,95.17,96.02,175800,85.6
"2007-09-12",96,98.93,96,98.11,266100,87.46
"2007-09-13",98.52,98.9,97.78,98.12,343800,87.47
"2007-09-14",97.48,98.3,96.76,97.76,179200,87.15
"2007-09-17",98.17,99,97.29,98.05,277000,87.41
"2007-09-18",98.53,99.87,97.17,99.42,273500,88.63
"2007-09-19",100,100.96,99.04,99.71,218400,88.89
"2007-09-20",99.64,99.64,98.21,98.78,439100,88.06
"2007-09-21",99.7,100.33,99.31,99.75,298400,88.92
"2007-09-24",99.61,99.98,98.42,98.47,217500,87.78
"2007-09-25",98.47,99.4,97.9,98.48,310700,87.79
"2007-09-26",98.79,99.75,98.68,99.09,222000,88.33
"2007-09-27",99.25,99.66,98.23,99.09,172900,88.33
"2007-09-28",98.25,99.3,98,98.61,270800,87.9
"2007-10-01",99,99.98,98.73,99.68,221800,88.86
"2007-10-02",99.48,99.99,98.96,99.19,234400,88.42
"2007-10-03",99.04,99.6,98.56,99.01,241500,88.26
"2007-10-04",99.51,99.76,98.3,98.3,131100,87.63
"2007-10-05",98.79,99.5,98.44,99.15,297800,88.39
"2007-10-08",99.17,102.03,98.26,98.76,382300,88.04
"2007-10-09",98.76,99.51,98.49,99.28,387700,88.5
"2007-10-10",99.31,99.9,98.7,99.13,201600,88.37
"2007-10-11",99.65,99.78,97.45,98.21,326500,87.55
"2007-10-12",98.5,98.75,91.47,92.98,1102800,82.89
"2007-10-15",93.4,95.3,93.4,94.38,640400,84.13
"2007-10-16",94.42,95.65,93.84,94.19,377800,83.96
"2007-10-17",95.09,95.84,93.97,94.5,473400,84.24
"2007-10-18",94.3,95.29,94.29,94.6,522300,84.33
"2007-10-19",94.5,94.5,91.82,91.88,370200,81.91
"2007-10-22",91.13,94.54,91.13,93.91,363400,83.71
"2007-10-23",94.11,94.84,92.78,94.62,336500,84.35
"2007-10-24",94.22,95.33,93.59,95.25,381000,84.91
"2007-10-25",95.64,95.64,94.13,94.77,255800,84.48
"2007-10-26",95.6,96.51,95,96.3,237500,85.85
"2007-10-29",96.85,96.9,96,96.42,135100,85.95
"2007-10-30",96.35,96.45,95.52,95.52,146600,85.15
"2007-10-31",95.76,96.85,95.25,96.85,304700,86.34
"2007-11-01",95.9,97.77,95.37,96.51,362200,86.03
"2007-11-02",97.07,97.07,94.73,95,331400,84.69
"2007-11-05",94.75,94.79,93.33,94.13,348300,83.91
"2007-11-06",94.2,94.2,90.48,93.16,845900,83.05
"2007-11-07",92.6,94.02,90.69,91,686900,81.12
"2007-11-08",90.68,91.7,89.35,91.11,450800,81.22
"2007-11-09",90.31,90.31,86.86,87.22,702800,77.75
"2007-11-12",87.33,90.63,86.61,88.83,624100,79.19
"2007-11-13",89.61,89.61,87.09,89,536500,79.34
"2007-11-14",89.5,89.5,88.18,88.26,415100,78.68
"2007-11-15",88,89.71,87,89.09,575200,79.42
"2007-11-16",89.25,90.14,88.58,89.49,510500,79.77
"2007-11-19",88.75,88.82,86.84,86.84,510700,77.41
"2007-11-20",86.65,87.6,85.2,86.26,768600,76.9
"2007-11-21",85.86,87.67,85.86,86.57,395500,77.17
"2007-11-23",86.59,88.01,86.26,87.47,113100,77.97
"2007-11-26",86.65,88.54,86.65,86.9,498600,77.47
"2007-11-27",86.6,87.68,86.17,87.58,406600,78.07
"2007-11-28",87.58,89.21,87.4,88.93,433100,79.5
"2007-11-29",88.74,88.74,87.56,88.25,383100,78.89
"2007-11-30",89.3,89.6,88.74,89.23,260600,79.77
"2007-12-03",88.22,90.62,87.78,89.88,480600,80.35
"2007-12-04",88.93,90.48,88.86,90.03,562400,80.49
"2007-12-05",93.02,94.31,88.71,90.05,1010700,80.5
"2007-12-06",90.11,91.74,89.83,91.31,568800,81.63
"2007-12-07",90.78,91.95,90.69,91.24,186500,81.57
"2007-12-10",91.31,93.35,91.31,93.35,380000,83.45
"2007-12-11",93.6,93.91,90.59,90.8,402900,81.17
"2007-12-12",92.7,92.7,90.85,91.95,452600,82.2
"2007-12-13",91.64,91.96,90.72,91.96,452600,82.21
"2007-12-14",90.83,91.91,90.25,91.4,266100,81.71
"2007-12-17",89.5,90.95,88.9,89.52,370900,80.03
"2007-12-18",90.17,91,89.57,90.67,305200,81.06
"2007-12-19",90.38,90.58,88.78,88.84,353400,79.42
"2007-12-20",89.14,89.79,87.89,88.95,345800,79.52
"2007-12-21",89.6,90.53,89.42,89.76,377700,80.24
"2007-12-24",89.75,90.82,89.75,90.5,55200,80.91
"2007-12-26",90.5,90.86,90.04,90.16,179700,80.6
"2007-12-27",89.93,90.27,88.52,88.54,249200,79.15
"2007-12-28",88.39,89.17,88.13,88.75,233100,79.34
"2007-12-31",88.47,89.13,88.22,88.63,266500,79.23
"2008-01-02",88.45,88.55,85.52,85.9,389800,76.79
"2008-01-03",85.88,86.53,85.04,85.32,338800,76.28
"2008-01-04",84.36,85.12,83.62,83.9,342700,75.01
"2008-01-07",84.11,84.57,83.51,84.01,378200,75.1
"2008-01-08",84.62,84.95,82.45,82.54,483300,73.79
"2008-01-09",82.16,82.43,81.2,81.94,525200,73.25
"2008-01-10",81.51,83.45,81.23,83.2,608500,74.38
"2008-01-11",85,87.22,84.04,86.03,724700,76.91
"2008-01-14",86.98,86.98,84.6,84.9,602100,75.9
"2008-01-15",84.57,85.75,82.69,82.76,717900,73.99
"2008-01-16",82.27,85.93,82.23,84.84,593200,75.85
"2008-01-17",85.02,85.75,84.02,84.22,605200,75.29
"2008-01-18",84.51,85,82.34,82.92,470900,74.13
"2008-01-22",81.65,82.91,79.02,81.46,745500,72.82
"2008-01-23",79.96,81.62,79.3,81.5,750000,72.86
"2008-01-24",82.1,86.03,81.09,85.49,752200,76.43
"2008-01-25",85.99,87.46,85.31,86.94,602300,77.72
"2008-01-28",86.94,87.47,85.88,87.45,415100,78.18
"2008-01-29",87.63,89.66,86.93,89.3,496900,79.83
"2008-01-30",89.54,89.55,86.75,87.75,401900,78.45
"2008-01-31",89.5,92.55,88.5,91.98,1034600,82.23
"2008-02-01",91.5,94.25,91.5,93.94,607000,83.98
"2008-02-04",93.83,93.83,91.96,92.07,312500,82.31
"2008-02-05",90.6,91.25,87.99,89.13,619400,79.68
"2008-02-06",89.3,89.51,87.22,87.42,519400,78.15
"2008-02-07",86.73,88.05,86.65,87.8,483600,78.49
"2008-02-08",87.72,88.57,86.64,88.4,422700,79.03
"2008-02-11",88.31,88.31,86.71,87.66,266800,78.37
"2008-02-12",88,90.05,87.57,88.77,276700,79.36
"2008-02-13",89.36,90.29,88.79,90.29,371400,80.72
"2008-02-14",90.78,90.78,88.05,89.07,369800,79.63
"2008-02-15",88.54,89.34,87.9,89.32,324000,79.85
"2008-02-19",90.07,90.19,89.18,89.76,492100,80.24
"2008-02-20",89.09,90.48,89.01,90.48,314300,80.89
"2008-02-21",90.84,91.28,90.5,91.2,436100,81.53
"2008-02-22",91.28,91.53,90.06,91.17,362400,81.51
"2008-02-25",90.91,91.05,89.38,90.25,624900,80.68
"2008-02-26",89.5,91.64,89.45,91.08,419300,81.42
"2008-02-27",90.51,91.11,90.26,90.63,306300,81.29
"2008-02-28",89.81,90.37,88.89,90.11,334500,80.82
"2008-02-29",89.07,89.31,87.25,87.34,378200,78.34
"2008-03-03",87,87,85.44,85.92,457100,77.07
"2008-03-04",85,85.5,84.26,85.06,555300,76.29
"2008-03-05",85.34,85.67,84.9,85.65,679800,76.82
"2008-03-06",85.17,85.66,84.68,85.15,585400,76.37
"2008-03-07",84.48,84.74,83.58,84.18,377600,75.5
"2008-03-10",84.14,84.46,81.81,81.81,475200,73.38
"2008-03-11",83.54,83.64,81,82.03,723300,73.58
"2008-03-12",82.25,82.46,81.52,81.62,404400,73.21
"2008-03-13",80.46,82.27,80.17,81.6,334600,73.19
"2008-03-14",82.11,82.45,80.27,81.95,602900,73.5
"2008-03-17",80.36,81.35,79.4,81.02,457100,72.67
"2008-03-18",82.25,83.84,81.42,83.78,578000,75.15
"2008-03-19",83.87,84.33,82.3,82.4,477100,73.91
"2008-03-20",82.24,84.23,81.75,84.04,550400,75.38
"2008-03-24",84.6,85.96,84.32,84.35,671800,75.66
"2008-03-25",84.3,85.29,84.3,84.99,348700,76.23
"2008-03-26",84.44,84.44,83.01,83.37,408600,74.78
"2008-03-27",83.8,83.94,82.7,83.35,483100,74.76
"2008-03-28",83.3,83.47,82.08,82.39,274800,73.9
"2008-03-31",82.15,82.33,80.89,81.38,493100,72.99
"2008-04-01",81.88,82.91,81.73,82.82,330500,74.28
"2008-04-02",82.82,83.52,81.75,82.05,446500,73.59
"2008-04-03",81.35,82.9,81.35,82.25,440100,73.77
"2008-04-04",82.45,83.62,82.13,83.47,266700,74.87
"2008-04-07",84,84.07,82.86,84.04,288200,75.38
"2008-04-08",83.29,83.3,82.1,82.69,300100,74.17
"2008-04-09",82.63,82.78,81.9,82.12,200600,73.66
"2008-04-10",81.81,82,80.72,81.75,332800,73.33
"2008-04-11",80.75,81.29,80.14,80.44,263500,72.15
"2008-04-14",80.58,81.5,80.09,81.1,299500,72.74
"2008-04-15",81.7,82.35,81.35,82.09,392800,73.63
"2008-04-16",82.44,84,82.23,83.98,375200,75.33
"2008-04-17",83.65,84.15,82.6,84.15,443400,75.48
"2008-04-18",84.99,86.19,84.7,85.86,273700,77.01
"2008-04-21",85.17,85.35,84.31,84.92,236000,76.17
"2008-04-22",84.43,84.43,82.76,83.39,244100,74.8
"2008-04-23",83.05,84.61,83.05,84.27,281200,75.59
"2008-04-24",84.23,85.55,83.94,85.12,203800,76.35
"2008-04-25",85.18,85.42,84.32,85.42,177000,76.62
"2008-04-28",84.84,86.18,84.84,85.48,248400,76.67
"2008-04-29",85.52,86.14,83.85,84.33,293600,75.64
"2008-04-30",84.5,85.8,83.89,84.3,335700,75.61
"2008-05-01",84.4,86.83,83.73,86.83,373800,77.88
"2008-05-02",86.87,87.71,85.42,85.94,227200,77.08
"2008-05-05",85.34,87.59,85.09,86.67,289400,77.74
"2008-05-06",86.14,87.17,85.19,86.2,364800,77.32
"2008-05-07",86.02,86.9,85.48,85.51,297700,76.7
"2008-05-08",87.5,89.9,85.77,87.25,625400,78.26
"2008-05-09",86.93,88.36,86.39,86.96,337000,78
"2008-05-12",87.15,88.26,86.23,88.26,209300,79.16
"2008-05-13",88.11,88.7,87.8,88.47,210900,79.35
"2008-05-14",88.38,89.77,88.07,88.29,443500,79.19
"2008-05-15",87.99,92.79,87.69,92.49,505400,82.96
"2008-05-16",92.96,93,91.03,91.63,244200,82.19
"2008-05-19",91.99,92.94,91.26,92.3,162600,82.79
"2008-05-20",92.05,92.25,90.79,91.42,187300,82
"2008-05-21",91.77,92.39,88.98,89.21,330100,80.02
"2008-05-22",89.56,91.57,89.56,91.31,297100,81.9
"2008-05-23",91.17,91.38,90.35,90.94,336500,81.57
"2008-05-27",90.93,91.97,90.7,91.89,159800,82.42
"2008-05-28",91.96,92,89.4,90.11,350200,81.09
"2008-05-29",90.11,92.62,90.09,91.69,283000,82.51
"2008-05-30",91.55,91.8,90.65,91.62,334100,82.45
"2008-06-02",92.03,92.48,89.63,90.54,286400,81.48
"2008-06-03",91,92.59,90.44,91.8,272200,82.61
"2008-06-04",91.54,93.68,90.44,92.74,325800,83.46
"2008-06-05",92.78,94.1,92,94.1,251600,84.68
"2008-06-06",93.32,93.32,90.63,90.65,195700,81.57
"2008-06-09",90.47,91.79,89.76,91.07,222400,81.95
"2008-06-10",90.79,91.74,90.7,91.22,192900,82.09
"2008-06-11",90.57,91.61,89.45,89.58,204600,80.61
"2008-06-12",89,90.82,88.54,89.45,197400,80.49
"2008-06-13",89.83,92,89.83,91.87,226800,82.67
"2008-06-16",90.86,92.1,89.37,91.58,253900,82.41
"2008-06-17",92.08,93.22,91.74,92.58,215100,83.31
"2008-06-18",92.18,92.44,91,91.84,195400,82.65
"2008-06-19",91.99,92,91.29,91.79,134800,82.6
"2008-06-20",91.39,91.39,89.43,89.6,340800,80.63
"2008-06-23",89.78,89.78,86.41,88.85,412400,79.95
"2008-06-24",88.32,88.32,86.11,86.84,487900,78.15
"2008-06-25",87.32,89.84,86.97,88.95,278400,80.04
"2008-06-26",88.27,88.4,86.1,86.1,270000,77.48
"2008-06-27",85.83,88.1,85.48,87.19,458400,78.46
"2008-06-30",87.29,88.65,86.6,87.64,385100,78.87
"2008-07-01",86.52,87.75,86,86.88,335800,78.18
"2008-07-02",86.9,88.38,86.43,87,462900,78.29
"2008-07-03",86.84,88.36,86.28,87.36,207200,78.61
"2008-07-07",87.79,88.49,84.8,85.5,358700,76.94
"2008-07-08",85.38,90.11,85.28,89.98,449500,80.97
"2008-07-09",89.9,90.06,88.75,89.17,460600,80.24
"2008-07-10",90.31,90.63,89.04,89.97,261500,80.96
"2008-07-11",89.09,91.09,88.34,89.91,335600,80.91
"2008-07-14",90.72,92.62,89.33,89.45,272800,80.49
"2008-07-15",89.01,94.73,89.01,92.96,961600,83.65
"2008-07-16",92.58,96.45,92.07,95.18,635300,85.65
"2008-07-17",95.5,96.01,92.47,95.17,499900,85.64
"2008-07-18",95.5,96.28,94.7,95.94,241000,86.33
"2008-07-21",95.48,96.89,94.44,94.91,267500,85.41
"2008-07-22",93.96,97.11,93.36,96.75,277100,87.06
"2008-07-23",96.83,97.93,96.21,97.28,271900,87.54
"2008-07-24",97.79,97.95,94.68,95.56,428100,85.99
"2008-07-25",96.05,96.42,94,94.85,203400,85.35
"2008-07-28",94.99,95.25,93.76,94.79,253000,85.3
"2008-07-29",94.34,96.84,93.51,96.69,254300,87.01
"2008-07-30",96.84,98.9,96.84,98.78,340000,88.89
"2008-07-31",98.78,98.78,96.35,96.64,345200,86.96
"2008-08-01",96.85,98.57,95.33,96.71,362300,87.03
"2008-08-04",96.8,96.8,94.67,94.86,531000,85.36
"2008-08-05",95.29,96.63,94.8,96.63,494300,86.96
"2008-08-06",96.3,97.06,95.56,96.72,344700,87.04
"2008-08-07",96.17,97.41,95.63,96.35,229000,86.7
"2008-08-08",96.55,98.71,96.28,98.71,226300,88.83
"2008-08-11",98.19,98.77,97.25,98.25,290200,88.41
"2008-08-12",97.22,98.3,96.58,97.62,203900,87.85
"2008-08-13",97.59,98,96.26,96.86,441400,87.16
"2008-08-14",96.62,96.99,96.37,96.92,393400,87.22
"2008-08-15",96.87,97.17,96.19,96.92,204100,87.22
"2008-08-18",96.72,97.04,94.2,94.36,290700,84.91
"2008-08-19",94.2,95.49,93,93.27,207000,83.93
"2008-08-20",93.9,94.18,92.87,93.32,195500,83.98
"2008-08-21",92.61,94.07,92.27,93.15,221600,83.82
"2008-08-22",93.66,94.78,93.3,94.78,215400,85.29
"2008-08-25",94.23,94.23,91.2,91.52,300400,82.36
"2008-08-26",91.43,92.86,91.31,92.86,211100,83.56
"2008-08-27",92.85,93.58,92.07,92.91,192100,83.88
"2008-08-28",93,94.07,92.65,94.07,138200,84.93
"2008-08-29",93.69,93.75,91.81,91.97,167400,83.03
"2008-09-02",92.57,93.99,91.47,92.14,253900,83.18
"2008-09-03",91.78,91.87,89.28,90.7,304300,81.88
"2008-09-04",90.24,91.53,89.8,91.07,490600,82.22
"2008-09-05",90.15,92.7,90.14,92.62,564900,83.62
"2008-09-08",94.13,94.88,92.89,94.88,254500,85.66
"2008-09-09",95,95.3,92.95,93.16,228500,84.1
"2008-09-10",92.83,95.67,92.39,94.92,373500,85.69
"2008-09-11",93.99,95.1,92.83,94.82,340300,85.6
"2008-09-12",93.88,96.43,93.88,96.29,278700,86.93
"2008-09-15",92.52,94.1,91.5,91.5,394200,82.61
"2008-09-16",91.33,94.69,90.86,94.63,519000,85.43
"2008-09-17",93.47,94.03,91.68,93.5,433200,84.41
"2008-09-18",94.71,94.82,90.05,94.43,680900,85.25
"2008-09-19",96.23,98,92.76,95.72,596400,86.42
"2008-09-22",96.01,96.99,94.87,95.42,485000,86.15
"2008-09-23",95.5,95.5,92.56,92.96,282300,83.92
"2008-09-24",93.22,94.11,91.44,92.06,228200,83.11
"2008-09-25",92.54,93.24,91.53,92.32,356100,83.35
"2008-09-26",91.1,93.17,90.28,92.94,224400,83.91
"2008-09-29",91.78,92.32,88.93,90.33,402700,81.55
"2008-09-30",91.61,94.36,89.34,94.36,522700,85.19
"2008-10-01",93.5,93.7,92.05,93.57,290100,84.47
"2008-10-02",93.32,93.43,88.46,88.6,314000,79.99
"2008-10-03",89.9,90.53,87.96,88.35,531900,79.76
"2008-10-06",87.03,87.04,81.75,86.28,631000,77.89
"2008-10-07",87.37,88.43,83.68,83.68,705900,75.55
"2008-10-08",82.08,85.25,80.12,82.12,646300,74.14
"2008-10-09",83.27,84.21,80.53,80.58,460700,72.75
"2008-10-10",78,80.69,73.66,77.8,695700,70.24
"2008-10-13",81.17,84.99,80.66,84.99,143000,76.73
"2008-10-14",87.86,88.43,79.51,81.2,651900,73.31
"2008-10-15",79.72,79.94,75.88,76.03,341700,68.64
"2008-10-16",75.84,77.79,71.45,77.77,395300,70.21
"2008-10-17",76.5,78.95,75.03,76,276200,68.61
