"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2012-08-24",41.15,41.54,40.74,41.36,2562300,40.06
"2012-08-27",41.43,42.39,40.97,41.07,3779200,39.78
"2012-08-28",40.9,42.47,40.9,41.96,3770300,40.64
"2012-08-29",41.9,42.39,41.65,41.98,2674300,40.66
"2012-08-30",41.79,42.7,41.62,42.48,2523800,41.15
"2012-08-31",42.7,43,41.1,42,5791200,40.68
"2012-09-04",42.07,42.45,41.48,42.41,2620700,41.08
"2012-09-05",42.49,42.58,41.43,41.74,2881800,40.43
"2012-09-06",42.16,43.74,42.16,43.42,4222200,42.06
"2012-09-07",43.48,44.31,43.36,44.26,3458100,42.87
"2012-09-10",43.93,44.85,43.93,44.54,4417300,43.14
"2012-09-11",44.64,46.1,44.46,45.59,6304700,44.16
"2012-09-12",46.14,47.41,46.04,46.28,5269800,44.83
"2012-09-13",46.3,46.85,45.37,46.64,5292000,45.18
"2012-09-14",47.16,48.22,46.01,46.73,6718600,45.26
"2012-09-17",46.17,46.97,46,46.14,4833400,44.69
"2012-09-18",45.53,45.78,44.44,45.52,6108200,44.09
"2012-09-19",45.53,46.6,45.51,45.57,3505400,44.14
"2012-09-20",45.39,46.31,45.17,45.78,3233500,44.34
"2012-09-21",46.04,47.09,46.04,46.82,5960500,45.35
"2012-09-24",46.69,46.92,46.26,46.74,2453800,45.27
"2012-09-25",47,47.3,45.96,45.98,2912200,44.54
"2012-09-26",45.69,46.33,45.23,45.53,3626000,44.1
"2012-09-27",45.8,46.74,45.68,46.53,3180100,45.07
"2012-09-28",46.43,46.53,46.02,46.37,3253700,44.92
"2012-10-01",46.6,47.02,46.26,46.56,2785500,45.1
"2012-10-02",46.68,46.96,46.27,46.42,2911900,44.96
"2012-10-03",46.27,46.41,45,45.16,5392000,43.74
"2012-10-04",45.59,45.66,45.08,45.39,6196000,43.97
"2012-10-05",45.87,47.68,45.76,46.02,7658200,44.58
"2012-10-08",45.96,46.57,45.56,45.93,3414600,44.49
"2012-10-09",46.16,46.75,46.06,46.09,3667800,44.64
"2012-10-10",46.02,46.33,44.69,45.15,5564600,43.73
"2012-10-11",45.38,45.65,44.57,44.6,4600600,43.44
"2012-10-12",44.33,44.62,42.45,43.92,6634300,42.78
"2012-10-15",43.85,44.43,43.41,44.38,2722000,43.23
"2012-10-16",44.77,46.79,44.6,46.49,5742000,45.28
"2012-10-17",46.55,47.22,46.31,46.65,2842000,45.44
"2012-10-18",46.62,46.63,45.39,45.56,3402300,44.38
"2012-10-19",45.53,46.09,44.55,44.64,3002400,43.48
"2012-10-22",44.73,45.73,44.73,45.58,3421700,44.4
"2012-10-23",44.91,45.08,43.93,44.92,4079100,43.75
"2012-10-24",45,45.65,44.66,44.78,3478700,43.62
"2012-10-25",45.14,45.45,44.55,45.03,2903900,43.86
"2012-10-26",45.57,47.62,44.82,47.5,6123800,46.27
"2012-10-31",47.82,48.4,46.64,47.16,4791200,45.94
"2012-11-01",47,47.65,46.39,47.38,4291500,46.15
"2012-11-02",48.01,48.15,46.07,46.21,2826000,45.01
"2012-11-05",46.23,47.9,46.23,47.76,3024100,46.52
"2012-11-06",48,51,47.86,50.04,8220800,48.74
"2012-11-07",49.23,50.08,48.75,49.46,6708500,48.18
"2012-11-08",49.34,49.97,48.94,49,3699100,47.73
"2012-11-09",48.11,48.56,47.17,47.41,5424200,46.18
"2012-11-12",47.43,48.11,47.28,47.35,2699200,46.12
"2012-11-13",47,47.76,46.56,46.86,3129100,45.64
"2012-11-14",47.17,47.46,45.71,45.76,3542400,44.57
"2012-11-15",45.53,46.19,44.94,45.34,3805000,44.16
"2012-11-16",45.56,45.92,44.95,45.77,4591900,44.58
"2012-11-19",46.4,48.25,46.38,48.12,4339700,46.87
"2012-11-20",48.19,49.07,47.87,49.06,3492900,47.79
"2012-11-21",49.32,49.65,48.84,49.39,3805700,48.11
"2012-11-23",49.58,50,49.41,49.82,1698700,48.53
"2012-11-26",49.55,49.98,49.07,49.56,2943300,48.27
"2012-11-27",49.51,50.42,49.01,50.06,4638900,48.76
"2012-11-28",49.66,51.27,49.25,51,5404800,49.68
"2012-11-29",51.2,51.66,50.83,51.56,3951100,50.22
"2012-11-30",51.68,52.53,51.45,52.37,5323100,51.01
"2012-12-03",52.65,52.76,51.02,51.56,5670000,50.22
"2012-12-04",51.48,52.24,51.48,51.56,3726600,50.22
"2012-12-05",51.45,51.95,50.27,50.69,3332400,49.37
"2012-12-06",50.69,51.21,50.3,50.97,3405700,49.65
"2012-12-07",51.19,52.75,51.06,52.34,4854900,50.98
"2012-12-10",52.21,54.32,52.2,53.58,7741300,52.19
"2012-12-11",53.72,53.92,52.73,53.04,5205500,51.66
"2012-12-12",53.33,53.5,52.94,53.05,8427100,51.67
"2012-12-13",52.6,52.6,51.24,52.21,7136600,50.85
"2012-12-14",52,53.54,51.8,53.47,5120800,52.08
"2012-12-17",53.56,53.86,53.18,53.52,4292300,52.13
"2012-12-18",53.44,53.7,53,53.17,3922800,51.79
"2012-12-19",53.28,53.38,51.84,52.5,6409900,51.14
"2012-12-20",52.58,52.72,51.7,52.42,4391700,51.06
"2012-12-21",51.71,52.38,51.33,52.16,5053600,50.81
"2012-12-24",52.22,52.4,51.9,51.97,975200,50.62
"2012-12-26",52.16,52.62,51.32,51.36,2322700,50.03
"2012-12-27",51.5,51.71,50.4,51.56,2885400,50.22
"2012-12-28",51.06,51.5,50.52,50.57,2999100,49.26
"2012-12-31",50.4,53.22,50.4,53.1,4233600,51.72
"2013-01-02",54.25,55.31,53.23,55.26,5229900,53.82
"2013-01-03",55.03,55.17,52.87,53.19,5291900,51.81
"2013-01-04",53.12,53.68,52.29,53.14,4161100,51.76
"2013-01-07",52.48,52.48,50.77,51.36,6884000,50.03
"2013-01-08",51.2,51.78,51.08,51.59,3575600,50.25
"2013-01-09",51.56,52.15,51.02,51.32,4429800,49.99
"2013-01-10",51.64,51.84,51.22,51.51,3403400,50.17
"2013-01-11",51.28,51.7,50.36,50.58,4615800,49.27
"2013-01-14",50.67,51.42,50.12,51.35,5000100,50.02
"2013-01-15",51.35,52.33,51.2,52.24,4499600,50.88
"2013-01-16",52.13,54.55,52.07,54.52,8024800,53.1
"2013-01-17",54.98,55.83,54.19,55.15,5976600,53.72
"2013-01-18",55.21,55.74,54.58,55.07,5998800,53.64
"2013-01-22",55.24,55.24,53.92,54.61,4462000,53.19
"2013-01-23",54.72,56.19,54.2,55.52,4293900,54.08
"2013-01-24",55.5,56.95,55.37,56.12,4702100,54.66
"2013-01-25",56.5,56.89,56.11,56.81,3612300,55.33
"2013-01-28",57.09,57.68,56.5,57.09,4055400,55.61
"2013-01-29",58,60.45,57.96,59.88,8446300,58.32
"2013-01-30",62.38,62.91,60.65,60.76,7922300,59.18
"2013-01-31",60.37,61.05,59.91,60.57,5450400,59
"2013-02-01",62,63.25,61.22,62.75,4709200,61.12
"2013-02-04",62.13,62.25,61.16,61.22,3796500,59.63
"2013-02-05",61.72,61.98,60.98,61.01,4578900,59.43
"2013-02-06",60.79,62.5,60.71,61.72,5068700,60.12
"2013-02-07",61.88,63.34,61,63.26,4392600,61.62
"2013-02-08",63.41,65.24,63.22,64.02,4745800,62.36
"2013-02-11",64,64.66,63.72,64.18,3097900,62.51
"2013-02-12",64.62,64.78,63.78,64.43,3702400,62.76
"2013-02-13",64.5,64.5,63.85,64.11,2777100,62.44
"2013-02-14",63.77,64.92,63.75,64.83,3560000,63.15
"2013-02-15",64.55,65.38,63.53,64.17,3787800,62.5
"2013-02-19",63.67,64.88,63.66,64.76,3091700,63.39
"2013-02-20",64.75,64.95,62.54,62.64,4847000,61.31
"2013-02-21",62.32,62.92,61.22,62.29,5032600,60.97
"2013-02-22",62.78,64.12,62.51,64.11,3049300,62.75
"2013-02-25",64.49,64.74,61.31,61.34,4294800,60.04
"2013-02-26",61.48,61.69,59.94,61.23,4346900,59.93
"2013-02-27",61.3,63.12,61,62.99,2581500,61.65
"2013-02-28",62.86,64.27,62,62.96,4226400,61.63
"2013-03-01",62.71,63.93,62.19,63.9,3150000,62.55
"2013-03-04",63.84,65.74,63.54,65.68,3758500,64.29
"2013-03-05",66.04,66.05,64.52,65.77,3920300,64.38
"2013-03-06",66,66.97,65.4,66.05,2929700,64.65
"2013-03-07",65.89,66.12,64.79,65.87,3429800,64.47
"2013-03-08",66.08,66.28,65.6,66.03,4045300,64.63
"2013-03-11",65.9,66.08,63.94,65.69,4966800,64.3
"2013-03-12",65.66,66.4,65.21,66.22,4134600,64.82
"2013-03-13",65.88,66.04,64.2,64.55,4784800,63.18
"2013-03-14",64.96,65.45,64.29,64.95,3832700,63.57
"2013-03-15",64.49,65.24,64.11,64.15,5979000,62.79
"2013-03-18",63.32,65.29,63.01,65.03,3643900,63.65
"2013-03-19",64.88,66.35,64.66,65.41,4124400,64.02
"2013-03-20",66,68.44,65.95,67.54,5087500,66.11
"2013-03-21",67,67.84,66.11,66.82,3394800,65.4
"2013-03-22",66.97,67.79,66.84,67.55,2650400,66.12
"2013-03-25",67.94,68.7,66.65,66.86,3905300,65.44
"2013-03-26",66.98,67.41,66.37,67.24,3243600,65.81
"2013-03-27",67.13,68.29,66.46,68.27,3920600,66.82
"2013-03-28",68.38,70.52,67.96,69.97,6211100,68.49
"2013-04-01",70,70.19,68.73,69.36,3015200,67.89
"2013-04-02",70.17,70.2,66.71,66.84,5679900,65.42
"2013-04-03",66.84,66.88,61.47,62.46,14028500,61.14
"2013-04-04",62.57,63.95,61.94,62.39,6139100,61.07
"2013-04-05",61.26,62.97,60.2,62.31,5289600,60.99
"2013-04-08",62.29,63.8,61.9,63.62,3969300,62.27
"2013-04-09",63.95,65.23,62.86,64.66,4291500,63.29
"2013-04-10",64.78,65.21,63.05,63.86,6005500,62.51
"2013-04-11",63.81,63.86,61.81,62.01,6204800,60.7
"2013-04-12",61.37,61.74,59.07,60.67,8305100,59.38
"2013-04-15",59.18,59.99,57.08,57.52,7897200,56.3
"2013-04-16",58.15,59.32,57.77,59.28,5644000,58.02
"2013-04-17",58.55,58.79,57.16,57.99,4602100,56.76
"2013-04-18",57.92,58.54,56.13,57.23,4270200,56.02
"2013-04-19",58.14,58.14,56.46,57.84,5045100,56.61
"2013-04-22",58.12,60.34,58.07,59.43,3659300,58.17
"2013-04-23",59.59,61.42,59.36,61.15,5318500,59.85
"2013-04-24",61.41,63.05,61.31,61.82,4771700,60.51
"2013-04-25",62.04,63.09,61.78,61.9,4384100,60.59
"2013-04-26",61.85,62.08,61.14,61.6,3034700,60.29
"2013-04-29",61.97,62.3,61.48,61.8,3444900,60.49
"2013-04-30",61.93,62.2,60.02,60.95,5457000,59.66
"2013-05-01",61.11,61.94,59.55,59.67,5678600,58.41
"2013-05-02",60.07,60.68,59.16,60.3,4212400,59.02
"2013-05-03",60.8,62.66,60.49,62.18,4548900,60.86
"2013-05-06",62.49,64.24,62.32,63.87,3682400,62.52
"2013-05-07",64.25,65.34,64.02,64.48,4676600,63.11
"2013-05-08",64.23,64.47,62.85,63.41,3664300,62.07
"2013-05-09",63.23,63.27,61.88,62.13,3436900,60.81
"2013-05-10",61.73,62.2,61,61.38,5059200,60.08
"2013-05-13",61.13,62.28,60.39,61.97,3829500,60.66
"2013-05-14",62.06,64.18,62,64.08,6212800,62.72
"2013-05-15",63.73,65.48,63.73,64.95,5621700,63.57
"2013-05-16",64.71,65.41,63.72,63.84,3994700,62.79
"2013-05-17",64.2,65.92,64.18,65.46,5521600,64.38
"2013-05-20",65.32,66.85,65.32,65.96,4531600,64.87
