"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2013-12-31",75.27,77.29,75.18,77.13,2993900,76.72
"2014-01-02",77.17,77.32,76.36,76.45,2846700,76.05
"2014-01-03",76.36,76.99,76.15,76.29,1958200,75.89
"2014-01-06",76.51,77.49,76.4,77.01,2815600,76.6
"2014-01-07",77.07,77.83,76.67,77.02,4005700,76.61
"2014-01-08",77.25,77.41,76.15,76.87,4492200,76.46
"2014-01-09",77.01,78.25,76.88,78.13,4187400,77.72
"2014-01-10",78.39,79,77.24,78,3019900,77.59
"2014-01-13",78.2,78.2,75.49,75.81,3046300,75.41
"2014-01-14",76.15,76.71,75.8,76.49,3359100,76.08
"2014-01-15",76.5,76.53,74.75,75.54,3697800,75.14
"2014-01-16",75.31,75.73,74.67,75.39,3231900,74.99
"2014-01-17",74.87,76.62,74.85,76.02,3901600,75.62
"2014-01-21",76.03,77.4,76.03,76.9,2792000,76.49
"2014-01-22",77.3,77.6,76.09,77.1,2748300,76.69
"2014-01-23",77.52,78.1,76.04,77.2,4105600,76.79
"2014-01-24",76.22,76.35,73.6,74.44,4712700,74.05
"2014-01-27",74.57,75.7,73.78,74.9,3408300,74.5
"2014-01-28",73.92,75.46,73.92,75.08,2792000,74.68
"2014-01-29",74.03,76.9,70.81,74.18,5942000,73.79
"2014-01-30",74.44,74.97,73.37,73.56,4595300,73.17
"2014-01-31",73.1,74.58,72.75,73.09,5799800,72.7
"2014-02-03",73.12,73.58,71.14,71.36,5620300,70.98
"2014-02-04",71.51,71.75,68.78,71.14,4647500,70.76
"2014-02-05",70.75,71.55,69.11,70.67,6071000,70.3
"2014-02-06",71.3,73.62,70.89,73.3,5388900,72.91
"2014-02-07",73.7,74.43,72.91,74.28,3310400,73.89
"2014-02-10",74.35,74.69,72.03,72.27,3743600,71.89
"2014-02-11",72.3,74.26,72.24,74.09,3711500,73.7
"2014-02-12",74.17,74.6,73.36,73.64,3045200,73.25
"2014-02-13",72.75,74.92,72.63,74.65,3234400,74.65
"2014-02-14",74.47,75.98,74.26,75.93,2408700,75.93
"2014-02-18",76.21,76.99,75.27,75.38,2813700,75.38
"2014-02-19",75.22,76.95,75.02,75.27,3700300,75.27
"2014-02-20",75.02,75.76,74.75,75.29,3164800,75.29
"2014-02-21",75.08,75.69,74.81,74.95,3210500,74.95
"2014-02-24",75.01,77.77,75.01,76.25,3631400,76.25
"2014-02-25",76.23,78.31,75.9,77.53,4201700,77.53
"2014-02-26",77.44,77.93,76.45,76.76,3384100,76.76
"2014-02-27",76.48,76.8,74.33,74.74,5635900,74.74
"2014-02-28",74.78,78.89,74.38,74.86,4209000,74.86
"2014-03-03",74.65,75.77,74.37,74.86,2672200,74.86
"2014-03-04",75.55,76.2,74.9,76.08,2380300,76.08
"2014-03-05",75.8,76.93,75.45,76.81,2815300,76.81
"2014-03-06",76.98,78.79,76.95,78.14,3699300,78.14
"2014-03-07",78.5,78.78,77.35,78.08,2243500,78.08
"2014-03-10",78,79.2,77.82,78.66,2371900,78.66
"2014-03-11",78.63,79.38,78.01,79.08,3068100,79.08
"2014-03-12",79.09,80.29,79.06,80,3437700,80
"2014-03-13",80.07,80.39,77.72,78.14,3433900,78.14
"2014-03-14",78.03,79.41,78,78.69,2751000,78.69
"2014-03-17",78.86,79.72,78.74,79.35,2640700,79.35
