"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2008-03-05",82.86,83.62,81.94,83.52,2382800,71.39
"2008-03-06",83.28,84.28,82.71,83.22,2314500,71.13
"2008-03-07",82.75,84.21,82.53,82.81,2121100,70.78
"2008-03-10",83.05,83.15,81.76,81.78,1910200,69.9
"2008-03-11",83.46,83.82,82,83.33,1945000,71.23
"2008-03-12",83.68,85,83.64,84.62,1885200,72.33
"2008-03-13",83.86,86.17,83.32,86.1,3220800,73.59
"2008-03-14",86.56,86.9,83.48,84.39,2440500,72.13
"2008-03-17",82.92,85.01,82.92,84.28,2191900,72.04
"2008-03-18",85.94,85.99,84.23,85.35,2567600,72.95
"2008-03-19",86.32,87.5,85.04,85.04,2106600,72.69
"2008-03-20",85.71,85.9,84.59,85.66,1895600,73.22
"2008-03-24",86.39,86.49,84.68,85.36,1704500,72.96
"2008-03-25",85.3,86,84.67,85.01,1959400,72.66
"2008-03-26",84.71,85,83.83,84.04,1594200,71.83
"2008-03-27",84.06,84.08,83.11,83.12,1367600,71.05
"2008-03-28",83.55,84.42,83.17,83.36,1321300,71.25
"2008-03-31",83.36,83.78,82.67,83.37,2109500,71.26
"2008-04-01",83.86,86.39,83.83,85.9,1910800,73.42
"2008-04-02",86.15,86.5,84.53,85.44,2036700,73.03
"2008-04-03",85,85.59,84.46,84.65,2120200,72.35
"2008-04-04",85,86,84.24,85.42,1374000,73.01
"2008-04-07",85.87,86.39,85.19,85.51,1513700,73.09
"2008-04-08",84.96,85.17,84.22,84.8,1442600,72.48
"2008-04-09",85.01,85.45,84.35,84.97,1853900,72.93
"2008-04-10",84.81,85.29,84.33,84.76,1415400,72.75
"2008-04-11",83.92,84.59,83.55,83.65,1162700,71.8
"2008-04-14",83.94,84.34,83.61,83.9,1316900,72.01
"2008-04-15",84.27,84.41,82.47,82.9,2068600,71.15
"2008-04-16",83.75,86.08,83.37,86.03,2433900,73.84
"2008-04-17",85.74,86.51,85.44,86.21,1922500,73.99
"2008-04-18",87.18,89.68,87.17,88.98,2415200,76.37
"2008-04-21",88.91,89.07,87.49,88.01,2002900,75.54
"2008-04-22",87.98,88.29,87.36,88.01,1773800,75.54
"2008-04-23",90.78,90.78,86.15,87.69,3192800,75.26
"2008-04-24",88.1,89.02,87.24,88.7,2173700,76.13
"2008-04-25",89.3,91.18,88.48,90.92,1735000,78.04
"2008-04-28",90.45,91.4,90.09,90.23,1329800,77.44
"2008-04-29",90,90.82,89.5,90.35,1200900,77.55
"2008-04-30",90.35,91.75,89.86,90.42,1458800,77.61
"2008-05-01",90.47,90.89,89.92,90.51,1873400,77.68
"2008-05-02",91.15,91.32,90.23,90.69,1520000,77.84
"2008-05-05",90.5,90.99,89.82,90.31,1284100,77.51
"2008-05-06",89.77,90.41,89.55,90.16,2164000,77.38
"2008-05-07",90.03,90.65,89.68,89.68,2097000,76.97
"2008-05-08",89.84,91.69,89.8,91.46,1846400,78.5
"2008-05-09",89.7,91.33,89.7,90.92,2143300,78.04
"2008-05-12",91.22,92.71,90.74,92.6,2404400,79.48
