"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume","CF.Adjusted"
"2007-03-07",38.85,39.75,38.6,38.95,1277200,37.24
"2007-03-08",39.6,41.32,39.6,40.53,1216600,38.75
"2007-03-09",41.03,41.95,40.22,40.8,740900,39.01
"2007-03-12",40.8,42.29,40.8,41.2,1027500,39.39
"2007-03-13",41.2,42.68,40.16,40.65,1606700,38.87
"2007-03-14",40.72,41.34,39.06,40.68,1617300,38.89
"2007-03-15",40.75,41.47,40.1,40.49,859800,38.71
"2007-03-16",40.48,40.86,40.05,40.24,1330400,38.47
"2007-03-19",40.65,42,40.65,41.71,830400,39.88
"2007-03-20",41.75,42.68,41.45,42.32,785800,40.46
"2007-03-21",42.56,43.72,42.52,43.18,1115100,41.28
"2007-03-22",43.55,43.63,42.62,42.94,737700,41.05
"2007-03-23",42.98,43.1,41.58,41.81,932600,39.97
"2007-03-26",41.87,42.08,39.29,40.98,1765500,39.18
"2007-03-27",40.88,40.88,37.86,38.44,3255000,36.75
"2007-03-28",37.97,38.6,36.69,37.72,2512300,36.06
"2007-03-29",38.8,39,37.67,38.78,1437500,37.08
"2007-03-30",39.7,39.7,37.18,38.55,2346900,36.86
"2007-04-02",38.36,39.05,37.96,39.01,1514700,37.3
"2007-04-03",39.32,40.09,38.85,39.51,1435300,37.78
"2007-04-04",40,40.28,39.25,40.16,816500,38.4
"2007-04-05",40.53,41.48,40.28,41.11,964600,39.3
"2007-04-09",41.4,42.34,41.2,41.32,1313500,39.51
"2007-04-10",40.1,41.21,39.17,40.67,1530300,38.88
"2007-04-11",40.8,42,40.8,41.68,1556700,39.85
"2007-04-12",41.72,43.34,41.26,43.26,2013600,41.36
"2007-04-13",44.3,45.32,44.1,44.3,3630800,42.35
"2007-04-16",45,45.35,44.08,44.26,1185400,42.32
"2007-04-17",44.2,44.83,43.9,44,1171200,42.07
"2007-04-18",44,44.96,42.12,44.53,1257300,42.57
"2007-04-19",43.95,44.13,43.2,43.51,877700,41.6
"2007-04-20",44.3,44.9,43.6,44,590200,42.07
"2007-04-23",44.01,44.49,43.69,44.18,455700,42.24
"2007-04-24",44.4,44.63,43.3,44.15,612000,42.21
"2007-04-25",44.4,44.96,43.83,44.4,724600,42.45
"2007-04-26",45.6,46.72,44.4,45.71,1585700,43.7
"2007-04-27",42.57,46.66,41.1,43.08,2479200,41.19
"2007-04-30",41.83,41.83,39.51,39.69,3584800,37.95
"2007-05-01",39.69,40.08,38.19,38.5,2158900,36.81
"2007-05-02",38.82,40.5,38.82,40.02,2038600,38.26
"2007-05-03",40.06,41.09,39.58,41.06,1453900,39.26
"2007-05-04",40.96,41.33,39.37,40.23,1660500,38.46
"2007-05-07",40.38,41.48,40.24,41.15,1183900,39.34
"2007-05-08",41.14,41.14,40.04,40.59,928400,38.81
"2007-05-09",40.56,40.57,39.78,40.25,1070400,38.48
"2007-05-10",40.15,40.93,39.06,39.94,1174500,38.21
"2007-05-11",40,40.55,39.83,40.23,1168000,38.48
"2007-05-14",40.37,41.47,40.35,40.82,1008800,39.05
"2007-05-15",40.82,41.99,40.5,41.04,909200,39.26
"2007-05-16",41.29,42.03,40.88,41.89,780700,40.07
"2007-05-17",41.7,43.12,41.51,42.25,1133200,40.41
"2007-05-18",42.42,42.62,41.47,42.12,647200,40.29
"2007-05-21",42.22,43.15,42.14,42.94,604900,41.07
"2007-05-22",42.99,43.5,42.59,42.95,948400,41.08
"2007-05-23",43.03,43.1,41.52,41.54,556200,39.74
"2007-05-24",41.54,42.25,40.56,40.89,1067100,39.11
"2007-05-25",41.09,42.57,41.09,42.38,662100,40.54
"2007-05-29",42.2,43,42.11,42.42,490600,40.58
"2007-05-30",42.22,44.81,41.59,44.41,1556700,42.48
"2007-05-31",44.7,46.25,44.6,44.73,1853100,42.79
"2007-06-01",45.1,46.5,44.8,46.31,1405000,44.3
"2007-06-04",46.5,48.65,46.45,48.49,1491900,46.38
"2007-06-05",48.15,49.38,48.15,48.85,1501000,46.73
"2007-06-06",48.84,49.15,46.89,47.49,1282700,45.43
"2007-06-07",47.25,47.64,45.84,46.28,1149300,44.27
"2007-06-08",46.53,48.36,46.33,47.87,764600,45.79
"2007-06-11",47.87,49.38,47.5,48.75,983500,46.63
"2007-06-12",48.66,50.51,48.07,49.58,2093800,47.43
"2007-06-13",50.39,52.58,49.3,52.15,1932400,49.88
"2007-06-14",52.93,54.02,51.89,52.84,1664400,50.54
"2007-06-15",53.94,55.08,53.88,54.96,1486800,52.57
"2007-06-18",55.36,56.81,55.25,55.77,1003400,53.35
"2007-06-19",55.55,57.5,54.6,57.34,1147900,54.85
"2007-06-20",57.67,59.13,56.6,56.61,1601900,54.15
"2007-06-21",56.9,61.35,56.13,60.57,2498400,57.94
"2007-06-22",60.39,61.5,59.75,60.06,1555900,57.45
"2007-06-25",60.11,61.41,58.28,58.83,1429200,56.27
"2007-06-26",59.59,60.7,57.66,58.49,1653600,55.95
"2007-06-27",58.25,58.25,55.17,57.04,2200900,54.56
"2007-06-28",57.29,60.65,57.29,60.09,1555400,57.48
"2007-06-29",60.9,61.99,59.33,59.89,1523800,57.29
"2007-07-02",61.15,62.6,60.56,61.97,1427100,59.28
"2007-07-03",62.2,63.19,62.05,62.77,828800,60.04
"2007-07-05",62.75,63.49,62.15,62.49,1604000,59.78
"2007-07-06",62.61,63.21,61.56,62.98,865100,60.24
"2007-07-09",63.34,64.27,62.01,62.93,1051100,60.2
"2007-07-10",61.1,62.51,60.2,60.73,1553700,58.09
"2007-07-11",60.5,62.42,60.15,61.51,1738500,58.84
"2007-07-12",61.87,61.99,60.16,60.74,1451200,58.1
"2007-07-13",60.74,67.28,60.73,67.08,2732000,64.17
"2007-07-16",68.05,68.05,65.53,65.82,1993700,62.96
"2007-07-17",66,67.25,65.7,66.07,1078800,63.2
"2007-07-18",65.95,66,64.79,65.74,1221400,62.88
"2007-07-19",66.5,66.72,64.85,65.44,772600,62.6
"2007-07-20",65.3,65.3,62.6,63.68,1158200,60.91
"2007-07-23",64.41,64.41,62.35,62.62,885100,59.9
"2007-07-24",60.74,62.7,57.27,58.1,1441700,55.58
"2007-07-25",59.41,60,54.08,57.79,1680200,55.28
"2007-07-26",57.56,57.56,50.55,54.63,2183900,52.26
"2007-07-27",54.59,58.91,53.27,53.71,1703800,51.38
"2007-07-30",54.34,58.13,53.66,57.72,1888200,55.21
"2007-07-31",60,63.31,56.77,57.48,2652200,54.98
"2007-08-01",58.28,58.75,54.32,58.4,2003400,55.86
"2007-08-02",58.52,59.24,55.9,58.17,1768300,55.64
"2007-08-03",58.02,58.1,55,55.26,1149000,52.86
"2007-08-06",55.35,56.1,51.97,54.97,1365200,52.58
"2007-08-07",54.44,57.82,53.52,57.22,2119300,54.73
"2007-08-08",57.4,59.25,50.78,56.3,3229500,53.85
"2007-08-09",53.5,53.95,47,48.9,3288900,46.78
"2007-08-10",46.15,52.69,44.16,51.95,3196700,49.69
"2007-08-13",53.72,57.1,53.72,55.78,2251600,53.38
"2007-08-14",57.25,58.5,55.47,57.4,2062900,54.93
"2007-08-15",57.05,59.45,52.38,52.84,1802300,50.56
"2007-08-16",51.56,53.06,46.24,53.03,2266600,50.75
"2007-08-17",53.16,59.79,51.51,54.56,2616100,52.21
"2007-08-20",54.94,57.63,54.88,56.74,1286800,54.3
"2007-08-21",56.74,59.34,56.14,57.6,1091700,55.12
"2007-08-22",58.4,61.57,58.4,61.21,1377400,58.57
"2007-08-23",60.71,62.51,59.86,60.53,1074000,57.92
"2007-08-24",60.9,63.17,60.2,63.17,750200,60.45
"2007-08-27",63.18,63.49,61.45,62.08,673800,59.41
"2007-08-28",61.2,61.88,57.01,57.95,1392900,55.45
"2007-08-29",58.58,61.1,58.18,60.63,728500,58.02
"2007-08-30",59.62,62,59.38,60.45,1097400,57.85
"2007-08-31",62.3,63.93,61.79,63.33,949800,60.6
"2007-09-04",63.49,66.16,62.93,65.18,1135100,62.37
"2007-09-05",64.6,66.2,62.97,66.1,1097100,63.25
"2007-09-06",66.11,66.6,64.13,65.47,805100,62.65
"2007-09-07",64,64.58,62,63,940500,60.29
"2007-09-10",63.52,64,60.14,62.12,1016400,59.44
"2007-09-11",62.57,64.52,62.14,63.59,803900,60.85
"2007-09-12",63.47,63.92,60.91,61.22,1078700,58.58
"2007-09-13",61.75,63.7,61.28,63.09,847300,60.37
"2007-09-14",62.39,64.45,61.75,64.04,834300,61.28
"2007-09-17",64.06,66.5,64.01,65.71,1369900,62.88
"2007-09-18",66.38,68.93,64.34,68.66,1487500,65.7
"2007-09-19",69.3,72.56,67.72,69.79,1451400,66.78
"2007-09-20",69.8,70.94,68.98,69.5,2568300,66.51
"2007-09-21",70.45,74,70.2,73.5,4961800,70.33
"2007-09-24",73.5,75.94,68.88,70.21,1768400,67.19
"2007-09-25",69.41,73.83,69.4,73.58,1374900,70.41
"2007-09-26",74.68,75.27,72.64,73.43,1241600,70.27
"2007-09-27",74.1,76.11,74,75.92,1218700,72.65
"2007-09-28",76.05,77.09,74.55,75.91,1134900,72.64
"2007-10-01",75.91,78.11,74.81,75.99,1740700,72.72
"2007-10-02",76.65,77.18,73.53,73.81,1384500,70.63
"2007-10-03",74.17,74.17,68.3,69.14,2062500,66.16
"2007-10-04",69.47,72.81,69.47,72.81,1528400,69.67
"2007-10-05",73.95,74.64,72.67,72.98,1017100,69.84
"2007-10-08",73.24,73.31,70.68,71.6,683700,68.52
"2007-10-09",72.43,74.67,71.56,73.33,1826300,70.17
"2007-10-10",72.23,74.05,71.93,73.8,1608700,70.62
"2007-10-11",74.5,76.3,70.73,71.07,2279000,68.01
"2007-10-12",72.1,77.28,71.67,75.8,2060300,72.54
"2007-10-15",76.65,77.45,73.48,74.87,1007600,71.65
"2007-10-16",74.45,75.86,73.36,74.96,798600,71.73
"2007-10-17",75.87,76.5,73.51,75.31,869600,72.07
"2007-10-18",74.81,77.85,74.56,77.81,1055000,74.46
"2007-10-19",77.74,80.98,77.3,78.95,2756200,75.55
"2007-10-22",77.77,77.88,74.1,76.6,1638400,73.3
"2007-10-23",77.8,82,77.8,81.5,1335200,77.99
"2007-10-24",83.5,84.3,80.75,83.12,2852500,79.54
"2007-10-25",83.01,85.76,82.2,84.7,8622300,81.05
"2007-10-26",85.33,88.88,84.6,85.43,2156100,81.75
"2007-10-29",87.38,89.49,87.02,88.01,1994200,84.22
"2007-10-30",95.72,96.1,86.07,86.76,5631400,83.02
"2007-10-31",85.21,88.57,85,87.9,3598200,84.11
"2007-11-01",85.99,87.22,82.9,83.26,2884200,79.67
"2007-11-02",84.24,89.66,78.95,89.54,3648300,85.68
"2007-11-05",87.03,89.75,86.58,87.83,1856300,84.05
"2007-11-06",89.41,93.45,87.31,93.18,1273400,89.17
"2007-11-07",92.8,98,91.02,96.02,3296100,91.88
"2007-11-08",98.75,99.99,90.5,96.46,3667000,92.31
"2007-11-09",95.45,97.14,91.87,93.24,2010200,89.22
"2007-11-12",93.63,93.63,78.8,79.99,3588100,76.55
"2007-11-13",82.31,87.65,81.26,86.91,2079700,83.19
"2007-11-14",89.47,91.76,87.66,89.32,2880600,85.49
"2007-11-15",88,88.06,82.5,83.89,2036700,80.3
"2007-11-16",84.33,86.28,81.88,84.89,2426900,81.25
"2007-11-19",84.44,84.44,77.71,78.2,2134100,74.85
"2007-11-20",79.76,83.98,78.5,83.22,3129300,79.66
"2007-11-21",80.36,81.49,77.67,79.9,1825800,76.48
"2007-11-23",81.55,83,80.42,82.25,422700,78.73
"2007-11-26",82,85.17,81.54,81.99,1642500,78.48
"2007-11-27",82.54,86,80.07,85.15,1925200,81.5
"2007-11-28",85.97,89.97,85.68,89.3,1932300,85.48
"2007-11-29",90,90.74,86.59,88.18,1458000,84.4
"2007-11-30",91.98,92,88,90.98,1815300,87.08
"2007-12-03",91.5,98.99,90.66,95.16,3674100,91.08
"2007-12-04",94.53,97.02,92.58,92.93,1874400,88.95
"2007-12-05",94.29,96.45,94.23,95.61,1588800,91.52
"2007-12-06",96.86,99.67,95.79,97.29,2410100,93.12
"2007-12-07",97.7,98.32,94.17,94.72,1982700,90.66
"2007-12-10",95.5,96.38,92.88,95.76,1893900,91.66
"2007-12-11",96.16,96.9,90.36,90.77,1841300,86.88
"2007-12-12",92.86,95.37,90.82,92.43,1837300,88.47
"2007-12-13",91.25,98.59,90,98.39,2631800,94.18
"2007-12-14",97,102.55,94.93,96.99,2659400,92.84
"2007-12-17",96.34,101.35,95.23,96.54,2123300,92.41
"2007-12-18",97.63,99,89.85,96.23,2302200,92.11
"2007-12-19",95.84,98,93.38,97.75,1552500,93.56
"2007-12-20",99.7,107.78,98.45,107.76,3086300,103.15
"2007-12-21",109.99,112.3,107.41,110.98,2251500,106.23
"2007-12-24",110.7,114.9,110.7,114.3,733000,109.41
"2007-12-26",115.72,117.44,113.1,116.56,1501400,111.57
"2007-12-27",116.04,118.88,111.67,113.87,1669600,108.99
"2007-12-28",115.37,115.4,111.68,111.99,1278000,107.19
"2007-12-31",112.06,112.92,108.25,110.06,1021100,105.35
"2008-01-02",111.5,111.95,108.01,110.61,1351000,105.87
"2008-01-03",112.82,119.44,111.97,115.84,2138100,110.88
"2008-01-04",114.01,114.92,109.31,111.26,2060100,106.5
"2008-01-07",111.54,115.8,102.54,109.8,2704900,105.1
"2008-01-08",110.4,114.41,106.34,108.79,3172400,104.13
"2008-01-09",112,113.97,103.64,112.52,3346900,107.7
"2008-01-10",111.48,112.47,106.6,110.68,2869800,105.94
"2008-01-11",109.98,117.26,108.53,112.6,2686800,107.78
"2008-01-14",114.48,120.98,112.64,119.85,3642900,114.72
"2008-01-15",118.01,119.45,111.01,115,3440500,110.08
"2008-01-16",111.61,114.92,100.58,104.33,4593100,99.86
"2008-01-17",101.48,103.84,89.32,90.25,6200900,86.39
"2008-01-18",92.16,94.8,88.79,93.33,4187000,89.33
"2008-01-22",84.09,94.98,82.2,93.08,3524900,89.09
"2008-01-23",90.97,92.96,78.73,92.81,6550300,88.84
"2008-01-24",97.56,101.91,94.57,100.07,3300700,95.78
"2008-01-25",104.49,106.5,101.56,104.13,3145400,99.67
"2008-01-28",103.95,107.49,100.22,106.41,2624100,101.85
"2008-01-29",108.08,110.33,104.86,105.73,2577100,101.2
"2008-01-30",105.32,108.32,100.8,101.44,3048000,97.1
"2008-01-31",99.01,108.29,97.05,106.93,2504500,102.35
"2008-02-01",107.32,111.42,106.93,108.53,2425500,103.88
"2008-02-04",110.5,111.74,108.34,111.12,2425300,106.36
"2008-02-05",110.08,112.38,102.5,103.72,2964600,99.28
"2008-02-06",105.5,110.7,105,107.65,3151800,103.04
"2008-02-07",104.26,108.85,101.5,106.61,3431200,102.04
"2008-02-08",112.01,112.01,105,108.25,4688400,103.61
"2008-02-11",110.41,112,105.61,111.5,3215200,106.72
"2008-02-12",113.49,119.91,111.8,113.06,4089800,108.22
"2008-02-13",116.66,116.88,111.34,116.02,2892600,111.05
"2008-02-14",117.13,119.07,114.21,115.6,2122700,110.65
"2008-02-15",114.45,118.37,113.55,118.17,2200700,113.11
"2008-02-19",121.03,128.74,121.03,126.68,4061100,121.25
"2008-02-20",125.68,128.35,124.58,127,2605700,121.66
"2008-02-21",128.14,128.31,122.11,122.96,2998100,117.79
"2008-02-22",122.01,126.18,119.83,125.86,2294500,120.57
"2008-02-25",127.76,131.08,124.7,130.99,3282600,125.48
"2008-02-26",130.39,131.71,127.25,128.36,2312200,122.96
"2008-02-27",121.75,129.8,121.75,124.88,3642600,119.63
"2008-02-28",124.49,127.85,124.34,126.22,1612500,120.91
"2008-02-29",127.94,128.5,121.72,122.08,2997700,116.94
"2008-03-03",120.51,124.46,117.38,120.48,3607100,115.41
"2008-03-04",119.05,124,115.05,119.62,2741000,114.59
"2008-03-05",119.62,124.47,118.51,123.48,2255300,118.29
"2008-03-06",123,125.19,121.13,121.5,2011800,116.39
"2008-03-07",118.09,121.35,113,114.6,3166500,109.78
"2008-03-10",113.01,114.1,105.05,105.26,3710500,100.83
"2008-03-11",107.5,117.81,107.5,117.7,3111700,112.75
"2008-03-12",117.11,120.41,114.05,116.64,2483000,111.73
"2008-03-13",113.01,121.84,110.87,120.21,3118400,115.15
"2008-03-14",123.21,123.21,112.37,116.05,3020900,111.17
"2008-03-17",112.33,116,107.82,109.8,2715100,105.18
"2008-03-18",114.52,120.1,112.68,119.75,2588000,114.71
"2008-03-19",119.07,119.14,106.15,106.34,3897400,101.87
"2008-03-20",104.4,107.25,99,104.99,4605500,100.57
"2008-03-24",107.81,110.6,105.41,106.38,2862100,101.9
"2008-03-25",111.15,114.1,108.34,113.37,2562900,108.6
"2008-03-26",113,115,110.4,113.65,1617100,108.87
"2008-03-27",112.35,113.39,108.95,109.32,2629600,104.72
"2008-03-28",111.04,112.73,107.79,108.56,1446900,103.99
"2008-03-31",106.9,109.85,100.01,103.62,3342900,99.26
"2008-04-01",104.16,106.88,97.35,106.56,3799500,102.08
"2008-04-02",104.52,108.7,102.58,105.89,2459500,101.44
"2008-04-03",105.88,116.6,104.01,114.55,3771400,109.73
"2008-04-04",118.44,127.16,117.76,125.64,3985400,120.35
"2008-04-07",129.52,133,124.62,126.97,3477100,121.63
"2008-04-08",126.01,132.97,125,131.02,2892400,125.51
"2008-04-09",132.93,136.73,131.51,133.75,3922900,128.12
"2008-04-10",134.5,138.69,129.74,137.1,3038700,131.33
"2008-04-11",134.71,140.06,133.08,138.43,2978700,132.61
"2008-04-14",139.69,146.47,138.87,144.42,2987900,138.34
"2008-04-15",146.55,146.55,140.09,142.87,2213700,136.86
"2008-04-16",147.6,151.64,144.3,151.42,2785000,145.05
"2008-04-17",152.23,154.95,146.55,150.5,2682600,144.17
"2008-04-18",150.5,157.4,149.02,153.94,2763000,147.46
"2008-04-21",154.98,159,152.77,156.1,2697200,149.53
"2008-04-22",158.5,158.5,149.82,152.46,3143900,146.05
"2008-04-23",154.17,154.17,144,148.09,3569000,141.86
"2008-04-24",149,149,135.17,137.61,4713200,131.82
"2008-04-25",132.04,144.98,130.5,144.13,4619300,138.07
"2008-04-28",142.78,147.13,139.23,139.75,3695200,133.87
"2008-04-29",136.8,136.8,130.52,131.17,3227500,125.65
"2008-04-30",132.48,136.88,131.5,133.7,2838300,128.08
"2008-05-01",132.45,134.75,126.49,132.04,2946700,126.49
"2008-05-02",133.87,135.83,131.18,134.76,1860100,129.09
"2008-05-05",136.95,139.25,133,134.75,1938600,129.08
"2008-05-06",136.07,139.66,133.5,138.81,2104600,132.97
"2008-05-07",138.29,142,135.15,135.69,2475300,129.98
"2008-05-08",137.5,138,132.35,137.47,2690800,131.69
"2008-05-09",137.45,138.66,135.16,136.83,1397900,131.07
"2008-05-12",137.15,139.87,134.7,139.45,1587600,133.58
"2008-05-13",140.46,141,135.53,137.04,1600700,131.37
"2008-05-14",136.01,141.67,135.62,136.27,2087200,130.63
"2008-05-15",136.64,140.21,136.55,138.73,1363300,132.99
"2008-05-16",138.79,142,136.53,139.79,1514700,134.01
"2008-05-19",139.02,140.47,130.72,132.62,2163900,127.13
"2008-05-20",134.01,137.2,131.39,135.45,1859200,129.84
"2008-05-21",135.65,136.06,128.65,129.37,2559500,124.02
"2008-05-22",129.02,134.9,129.02,131.87,1819200,126.41
"2008-05-23",131.36,131.88,124.47,127.3,2724400,122.03
"2008-05-27",127.33,127.71,121.29,124.07,2752000,118.94
"2008-05-28",124.09,136.55,123.06,136.55,3385300,130.9
"2008-05-29",135.99,136.75,132.32,133.2,2225200,127.69
"2008-05-30",134.92,137.34,133.51,136.9,2568500,131.23
"2008-06-02",136.77,143.08,136.5,139.5,2439900,133.73
"2008-06-03",141.2,148.42,139.75,144.21,3852800,138.24
"2008-06-04",144,146.11,141.04,142.3,2367100,136.41
"2008-06-05",144.85,152.68,143.1,152.14,3272700,145.84
"2008-06-06",149.1,153.72,146.07,146.67,2301900,140.6
"2008-06-09",149.99,154.52,147,151.12,2401800,144.87
"2008-06-10",150.29,151.86,145.52,150.73,2139200,144.49
"2008-06-11",155.39,158.39,150.64,151.09,3035100,144.84
"2008-06-12",152.1,153.62,147,149.29,2292600,143.11
"2008-06-13",149.02,155.08,148.33,155.08,1950200,148.66
"2008-06-16",158.65,162.47,154.24,160.63,2279500,153.98
"2008-06-17",162.27,170.23,161.98,169.62,3760900,162.6
"2008-06-18",171.58,172.99,164.73,169.2,2615500,162.2
"2008-06-19",171.45,171.65,161.38,162.16,2565500,155.45
"2008-06-20",162.87,170.3,162.29,166.75,3901900,159.85
"2008-06-23",167.77,170.2,162.58,168.35,2590000,161.38
"2008-06-24",167.91,170.18,159.14,160.22,3099500,153.59
"2008-06-25",158.71,161.78,152.6,158.52,3124500,151.96
"2008-06-26",157.28,159.69,152.62,153.79,2743300,147.43
"2008-06-27",152.01,158,149,156.85,7685000,150.36
"2008-06-30",156.48,159.28,152.01,152.8,3102900,146.48
"2008-07-01",151.45,155.57,146.7,154.7,3657500,148.3
"2008-07-02",155.5,157.09,143.55,143.61,2720500,137.67
"2008-07-03",141.17,144.97,137.38,142.4,2557300,136.51
"2008-07-07",146.5,151.91,142.35,147.16,3450900,141.07
"2008-07-08",143.8,144.99,133.53,144.47,4409300,138.49
"2008-07-09",145.06,155.01,145.06,152.23,3118200,145.93
"2008-07-10",153.94,157,151,156.85,2756400,150.36
"2008-07-11",154.89,160.5,153,159.05,2843000,152.47
"2008-07-14",162.53,166.21,159.41,165.09,2546100,158.26
"2008-07-15",164.59,164.59,153.88,159.04,3365500,152.46
"2008-07-16",159.98,159.98,151,158.81,2835500,152.24
"2008-07-17",161.71,164.98,148.23,152.79,3201200,146.47
"2008-07-18",150.06,156.68,148.95,149.72,2347700,143.52
"2008-07-21",151.99,158.58,150.74,156.73,3146100,150.24
"2008-07-22",155.99,158,150.35,156.07,1985700,149.61
"2008-07-23",154.51,155.41,139.04,139.58,3419700,133.8
"2008-07-24",143.61,148.54,132.51,139.49,4759400,133.72
"2008-07-25",140.99,145.04,135.68,143.72,2108200,137.77
"2008-07-28",145.52,147.95,142.27,145.68,2455300,139.65
"2008-07-29",144.09,153.6,142.04,152.68,3286800,146.36
"2008-07-30",155.46,167,153.18,166.61,3524800,159.72
"2008-07-31",165.72,168.14,161.86,163.46,2467500,156.7
"2008-08-01",165.14,168,160.6,162.54,1807900,155.81
"2008-08-04",161.41,161.44,146.51,148.96,3584300,142.8
"2008-08-05",146.39,150,134,139.61,5544600,133.83
"2008-08-06",141.76,145.19,138.79,140.79,3036900,134.96
"2008-08-07",142.24,144.45,137.69,140.36,2415800,134.55
"2008-08-08",134.99,138,131.4,134.65,3011000,129.08
"2008-08-11",136.3,136.3,120,125.33,5058000,120.14
"2008-08-12",125.11,129.88,123.56,126.53,3169300,121.29
"2008-08-13",127.27,138.94,127.27,138.85,2921700,133.21
"2008-08-14",137.48,139.55,132,137.03,2940300,131.46
"2008-08-15",136.66,136.66,126.89,128.95,2630600,123.71
"2008-08-18",129.82,134.97,127.35,129.81,3062000,124.54
"2008-08-19",128,137.63,127.45,134.92,2969400,129.44
"2008-08-20",136.31,141,135.72,139.9,2566800,134.22
"2008-08-21",142.21,146.59,139,145.54,2558200,139.63
"2008-08-22",143.09,147.13,140.54,144.47,2366400,138.6
"2008-08-25",148.49,150.5,143.65,146.85,3280200,140.88
"2008-08-26",147.8,149.5,146.34,149.24,9120100,143.18
"2008-08-27",150.79,152.66,149.4,150.16,2812500,144.06
"2008-08-28",151.84,151.84,146.83,150.6,2888700,144.48
"2008-08-29",150.01,153.97,150.01,152.4,1966400,146.21
"2008-09-02",146.93,146.93,137.55,138.02,3701200,132.41
"2008-09-03",137.59,140.46,128.5,134.34,4982000,128.88
"2008-09-04",131.84,135.54,121.3,123.43,5061800,118.42
"2008-09-05",123.94,131.68,118.91,131.2,4892800,125.87
"2008-09-08",135.53,135.79,115.53,119.48,5033400,114.63
"2008-09-09",117.29,117.29,104.53,105.08,7432100,100.81
"2008-09-10",105.53,114.27,105.14,109.61,5833400,105.16
"2008-09-11",106.79,116.46,103.74,116.25,5440100,111.53
"2008-09-12",116.11,124.75,116.11,122.76,4724700,117.77
"2008-09-15",115.4,119.6,107.92,110.22,4547600,105.74
"2008-09-16",105.8,119.62,105.01,119.51,5195400,114.66
"2008-09-17",116.65,120.72,107.86,109.7,4983500,105.24
"2008-09-18",110.61,117.5,104.55,110.34,4513300,105.86
"2008-09-19",117.81,120.74,112.31,119.43,3581500,114.58
"2008-09-22",119.55,125.88,119.35,121.79,3573100,116.84
"2008-09-23",121.37,122.06,109.25,113.61,4554500,108.99
"2008-09-24",115.96,118.5,111.49,114.97,3058800,110.3
"2008-09-25",114.91,114.91,106.31,110.2,4606900,105.72
"2008-09-26",99.14,99.14,87.66,91.78,7239100,88.05
"2008-09-29",86.86,91.44,81.13,83.93,5688700,80.52
"2008-09-30",85.3,92.46,83.19,91.46,5226000,87.74
"2008-10-01",91.83,93.63,86.2,88.64,4315400,85.04
"2008-10-02",77.99,78.31,54.12,58,15235400,55.64
