"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2011-09-27",334.48,334.48,319.53,320.61,941500,320.61
"2011-09-28",322.47,328.35,318,319.06,782900,319.06
"2011-09-29",323.82,324.65,303.34,313.14,1190800,313.14
"2011-09-30",308.09,312.94,301.8,302.95,858200,302.95
"2011-10-03",300.81,306.6,291.48,292.7,969500,292.7
"2011-10-04",290,302.96,285.39,301.09,1400000,301.09
"2011-10-05",300.92,302.36,292,300.79,1039000,300.79
"2011-10-06",292.75,301.22,289.08,298.99,1549800,298.99
"2011-10-07",296.98,298.56,290.54,294.59,995000,294.59
"2011-10-10",298.77,311.84,298.5,307.85,741600,307.85
"2011-10-11",305.02,315,305.01,309.95,682700,309.95
"2011-10-12",313.47,318.05,311,314,828600,314
"2011-10-13",311.36,318.98,311.36,317.31,688400,317.31
"2011-10-14",320,321.66,314.72,320.8,699000,320.8
"2011-10-17",319.6,324.33,317.09,319.79,613900,319.79
"2011-10-18",320.5,321.06,310.28,319.85,584800,319.85
"2011-10-19",319.47,319.99,309.17,310.27,758300,310.27
"2011-10-20",308.97,312.29,306.06,307.91,1232800,307.91
"2011-10-21",320.07,333.5,318.41,333.49,2661100,333.49
"2011-10-24",334,342.98,332.4,342.49,1117300,342.49
"2011-10-25",339.59,343,334.03,334.18,878800,334.18
"2011-10-26",338.96,339.5,330.02,332.85,747000,332.85
"2011-10-27",341.25,345.92,335.02,343.52,747600,343.52
"2011-10-28",341.32,344.98,338.33,341.4,496900,341.4
"2011-10-31",338.98,347.94,336.05,336.12,1015000,336.12
"2011-11-01",326.64,334.27,324,328.18,882600,328.18
"2011-11-02",332.99,332.99,324.93,329.62,562300,329.62
"2011-11-03",333.63,338.66,329.06,337.5,869200,337.5
"2011-11-04",334.31,339.94,334.31,338.97,491800,338.97
"2011-11-07",338.87,341.61,336.09,339.16,419800,339.16
"2011-11-08",341,342.74,335,339.87,443800,339.87
"2011-11-09",333.01,338.07,331.68,332.84,474900,332.84
"2011-11-10",336.92,336.95,324.53,325.88,751100,325.88
"2011-11-11",329.82,333.16,325.28,332.02,507800,332.02
"2011-11-14",330.75,334.34,326.33,327.03,464600,327.03
"2011-11-15",326,329.11,322.51,327.46,496600,327.46
"2011-11-16",325.03,326.95,315.01,316.67,791900,316.67
"2011-11-17",316.71,319.64,310,313.61,710200,313.61
"2011-11-18",314.3,315.9,308.26,311.06,506100,311.06
"2011-11-21",306.43,308.48,302.68,305.58,498000,305.58
"2011-11-22",304.19,312.22,304.19,308.38,525400,308.38
"2011-11-23",306.67,308.75,300.45,300.45,459500,300.45
"2011-11-25",300,304.89,300,300.75,219900,300.75
"2011-11-28",309.5,313.38,307.25,309.55,474200,309.55
"2011-11-29",310.02,313.82,309.31,312.97,395100,312.97
"2011-11-30",320.21,321.7,316.27,321.56,709200,321.56
"2011-12-01",318.5,324.09,315.93,323.04,581600,323.04
"2011-12-02",324.98,333.33,323.81,330.49,786700,330.49
"2011-12-05",334.15,338.68,333.03,336.21,817700,336.21
"2011-12-06",334,334.83,329.26,331.43,455300,331.43
"2011-12-07",330.15,338.1,328.15,336.75,597400,336.75
"2011-12-08",334.91,339.23,333.54,334.74,587500,334.74
"2011-12-09",335.68,339.98,332.91,338.6,478300,338.6
"2011-12-12",335.38,341.28,334.35,340.22,529700,340.22
"2011-12-13",340,340.11,328.5,329.51,678700,329.51
"2011-12-14",327.7,329.93,319.21,321.11,599700,321.11
"2011-12-15",324.48,324.5,316.74,318.52,505500,318.52
"2011-12-16",319.7,321.94,316.8,318.4,554000,318.4
"2011-12-19",320.68,321.51,317.19,317.77,363300,317.77
"2011-12-20",322.2,332,321.47,331.72,513900,331.72
"2011-12-21",331.6,334.6,330.09,334.06,335000,334.06
"2011-12-22",334.98,336.15,329.8,331.25,245400,331.25
"2011-12-23",332.68,335.32,331.4,335.32,200600,335.32
"2011-12-27",335,339.94,333.12,339,272600,339
"2011-12-28",338.64,340.5,336.67,340.14,396600,340.14
