"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2008-07-24",68.91,69.15,65.46,65.62,2357100,58.93
"2008-07-25",66,67.37,65.68,67.19,2367700,60.34
"2008-07-28",67.1,67.32,66.06,66.62,2099300,59.83
"2008-07-29",66.39,67.05,65.56,66.46,2850700,59.69
"2008-07-30",67.05,68.04,66.52,68.04,3318400,61.1
"2008-07-31",64.1,64.41,61.27,61.68,6015400,55.39
"2008-08-01",62.16,62.48,60.3,60.56,3493400,54.39
"2008-08-04",62.75,62.94,61.47,61.81,4023200,55.51
"2008-08-05",63.61,63.61,62.08,62.64,4517100,56.25
"2008-08-06",62.5,62.69,61.32,61.33,4892400,55.08
"2008-08-07",60.9,62.34,59.82,61.41,4623200,55.15
"2008-08-08",61.01,63.28,60.91,63.03,2478800,56.61
"2008-08-11",62.57,64.72,62.52,64,2361700,57.48
"2008-08-12",64.23,64.61,63.44,63.97,2133400,57.45
"2008-08-13",63.75,65.74,63.4,65.34,2713400,58.68
"2008-08-14",64.71,65.91,64.03,65.3,2034700,58.64
"2008-08-15",66.91,66.99,64.67,65.24,1515900,58.59
"2008-08-18",65.19,65.55,63.21,63.8,2182700,57.3
"2008-08-19",63.67,63.67,61.61,62.06,1964500,55.73
"2008-08-20",62.37,62.38,61.1,62.12,1730600,55.79
"2008-08-21",61.14,61.69,60.51,61.55,1715200,55.5
"2008-08-22",61.73,63.04,61.66,63.02,1243300,56.82
"2008-08-25",62.76,62.79,61.35,61.96,1114200,55.87
"2008-08-26",62.04,62.11,61.23,61.96,1401500,55.87
"2008-08-27",61.93,63.56,61.39,63.02,1343100,56.82
"2008-08-28",63.28,65.47,63.02,65.01,1191000,58.62
"2008-08-29",64.9,65.44,64.07,64.07,1356700,57.77
"2008-09-02",64.97,65.6,64.05,64.5,2449300,58.16
"2008-09-03",64.5,64.5,62.7,63.01,1634400,56.82
"2008-09-04",63.03,63.41,58.89,59.85,3106100,53.97
"2008-09-05",60.43,60.76,58.11,60.37,2172800,54.44
"2008-09-08",61.68,63,60.6,61.51,2548900,55.46
"2008-09-09",62.21,62.21,56.83,57.17,2699900,51.55
"2008-09-10",57.57,60.53,57.41,59.85,2814900,53.97
"2008-09-11",59.29,61.07,58.62,60.96,2503300,54.97
"2008-09-12",59.9,61.51,59.55,61.25,1230800,55.23
"2008-09-15",59.01,60.1,57.53,57.64,2700700,51.97
"2008-09-16",56.6,59.08,55.36,58.79,2480300,53.01
"2008-09-17",57.6,57.84,55.08,55.08,1795600,49.67
"2008-09-18",55.73,56.64,49.54,56.63,3989400,51.06
"2008-09-19",60.37,60.94,54.04,59.32,4093000,53.49
"2008-09-22",59.33,59.39,55.36,55.53,1397900,50.07
"2008-09-23",55.26,56.29,53.69,53.83,1435400,48.54
"2008-09-24",53.88,54.59,52.89,53.34,1739600,48.1
"2008-09-25",53.19,54.62,53.19,53.87,1507000,48.57
