"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2007-09-04",63.35,64.53,63.35,64,546900,61.58
"2007-09-05",63.69,64.22,62.77,63.25,343800,60.86
"2007-09-06",63.62,64.14,62.67,63.91,284400,61.5
"2007-09-07",62.74,63.73,62.2,62.43,558900,60.07
"2007-09-10",62.83,63.22,62.12,62.67,415100,60.3
"2007-09-11",63.07,63.63,62.5,63.32,241300,60.93
"2007-09-12",63.39,64.21,62.96,63.69,340600,61.28
"2007-09-13",63.7,64.15,63.05,63.73,431900,61.32
"2007-09-14",62.05,63.17,61.34,62.33,917100,59.98
"2007-09-17",62.03,62.81,61.66,61.88,526100,59.54
"2007-09-18",62.42,63.83,61.88,63.75,697300,61.34
"2007-09-19",62.99,64.03,62.16,63.43,756100,61.03
"2007-09-20",63.11,64,62.68,62.81,645600,60.44
"2007-09-21",63.36,63.49,62.9,63.36,890600,60.97
"2007-09-24",63.77,63.77,62.78,63.43,402900,61.03
"2007-09-25",63.22,64.67,63,64.46,577100,62.03
"2007-09-26",64.86,65.79,64.63,65.32,854600,62.85
"2007-09-27",65.55,66.08,64.85,64.97,808700,62.52
"2007-09-28",65.1,65.99,64.89,65.5,323800,63.03
"2007-10-01",65.69,65.97,65.03,65.63,405900,63.15
"2007-10-02",65.63,66.22,65.2,65.33,269000,62.86
"2007-10-03",65.09,65.38,64.65,65.25,398500,62.79
"2007-10-04",65.36,65.4,64.64,64.96,260900,62.51
"2007-10-05",65.28,66.64,65.28,66.64,598700,64.12
"2007-10-08",66.6,66.81,66.26,66.57,274700,64.06
"2007-10-09",66.52,66.6,65.78,66.3,446800,63.8
"2007-10-10",65.94,66.72,65.15,66.58,433800,64.13
"2007-10-11",66.77,67,65.62,66.19,401000,63.75
"2007-10-12",66.38,67,65.87,66.88,304300,64.42
"2007-10-15",66.93,66.97,65.94,66.89,406400,64.43
"2007-10-16",66.65,67.19,66.65,66.76,569600,64.3
"2007-10-17",67.58,67.7,66.68,67.68,576300,65.19
"2007-10-18",67.18,68.45,67.12,68.01,450500,65.51
"2007-10-19",67.7,68.26,65.78,65.82,504100,63.4
"2007-10-22",65.43,66.81,65.43,66.65,608700,64.2
"2007-10-23",66.79,67.8,66.22,67.5,467900,65.01
"2007-10-24",67.22,67.95,66.07,67.05,815200,64.58
"2007-10-25",67.37,68.31,66.59,68.3,901700,65.78
"2007-10-26",68.54,68.54,65,66.8,1498600,64.34
"2007-10-29",67.3,68.42,66.92,68.41,662200,65.89
"2007-10-30",68.35,69.49,67.98,68.43,626700,65.91
"2007-10-31",68.6,71.01,68.17,70.81,817000,68.2
"2007-11-01",70.06,70.58,68.88,69.48,899000,66.92
"2007-11-02",69.47,69.7,68.48,69.44,509700,66.88
"2007-11-05",69.29,69.3,68.15,68.94,686300,66.4
"2007-11-06",68.98,69.83,68.35,69.67,481800,67.1
"2007-11-07",68.32,69.43,67.69,67.91,502200,65.41
"2007-11-08",68.23,68.47,66.04,67.38,802100,64.9
"2007-11-09",66.58,67.26,65.73,65.98,436900,63.55
"2007-11-12",65.8,66.3,64.13,64.22,431700,61.86
"2007-11-13",64.41,65.38,63.27,65.07,620600,62.67
"2007-11-14",65.19,65.33,64.19,64.19,568700,61.83
"2007-11-15",64.19,64.45,63.05,63.66,585600,61.32
"2007-11-16",63.9,63.9,62.04,62.35,835300,60.05
"2007-11-19",62.02,62.02,60.17,60.43,879500,58.2
"2007-11-20",60.54,61.61,60.1,61.35,749900,59.09
"2007-11-21",61.01,62.11,60.28,61.15,809600,58.9
"2007-11-23",61.49,61.58,60.41,61.03,155000,58.78
"2007-11-26",60.83,62.34,60.74,60.85,351200,58.61
"2007-11-27",61.27,62.41,60.85,62.38,713500,60.08
"2007-11-28",63.19,64.05,62.32,62.53,1014800,60.23
"2007-11-29",62.14,63.33,62.02,63,371500,60.68
"2007-11-30",63.77,64,62.84,63.45,413300,61.11
"2007-12-03",63.3,63.74,62.95,62.97,417300,60.65
"2007-12-04",62.54,62.92,61.99,62.39,442800,60.09
"2007-12-05",63.05,64.33,62.5,64.33,415500,61.96
"2007-12-06",64.1,65.29,63.83,65.12,359200,62.72
"2007-12-07",65.14,65.83,64.77,65.17,740400,62.77
"2007-12-10",65.22,66.34,65,66.2,326800,63.76
"2007-12-11",66.12,66.76,63.84,63.84,562200,61.49
"2007-12-12",65.17,65.77,63.75,64.4,367600,62.03
"2007-12-13",63.92,64.33,63.1,63.82,516800,61.47
"2007-12-14",63.7,65.48,63.59,64.25,524400,61.88
"2007-12-17",63.82,63.97,61.1,61.12,565900,58.87
"2007-12-18",61.8,62.15,61.11,61.99,510300,59.71
"2007-12-19",61.98,62.23,60.37,60.51,736600,58.28
"2007-12-20",60.72,61.22,60.19,60.85,468200,58.61
"2007-12-21",61.48,62.25,60.98,62.01,677600,59.73
"2007-12-24",62.5,63.05,62.28,62.94,134900,60.62
"2007-12-26",62.34,63.13,62.17,62.81,275900,60.5
"2007-12-27",62.84,63.06,61.98,62.19,359400,59.9
"2007-12-28",62.43,62.8,61.79,62.65,366900,60.34
"2007-12-31",62.52,62.82,62.14,62.54,356400,60.24
"2008-01-02",62.5,62.7,60.59,61.01,417600,58.76
"2008-01-03",61.3,61.3,60.31,60.6,487600,58.37
"2008-01-04",60.24,60.64,57.33,57.7,699000,55.58
"2008-01-07",57.9,58.03,53.94,54.4,1365200,52.4
"2008-01-08",54.23,55.08,52.05,52.06,1213300,50.14
"2008-01-09",51.83,52.73,51,52.45,1542000,50.59
"2008-01-10",51.73,53.73,51.3,52.51,1085900,50.65
"2008-01-11",52.04,52.29,50.1,50.68,994300,48.88
"2008-01-14",50.94,52.56,50.52,52.44,1150900,50.58
"2008-01-15",52.3,52.53,50.62,50.87,1398000,49.07
"2008-01-16",52.05,53,51.1,51.66,2000700,49.83
"2008-01-17",51.78,52.61,49.76,50.05,958600,48.27
"2008-01-18",50.51,51.88,50.41,50.85,1111800,49.05
"2008-01-22",48.9,52.04,48.45,51.31,1337700,49.49
"2008-01-23",50.15,52.62,48.94,52.5,1142200,50.64
"2008-01-24",53.52,54.93,52.63,54.67,1161200,52.73
"2008-01-25",55,55.89,54.43,54.53,887500,52.6
"2008-01-28",54.53,54.73,53.15,54.73,731600,52.79
"2008-01-29",55.08,55.12,53.92,54.81,726700,52.87
"2008-01-30",54.26,55.66,53.5,54.4,811200,52.47
"2008-01-31",53.7,56.2,53.41,55.92,749600,53.94
"2008-02-01",55.85,57.53,55.53,57.25,640600,55.22
"2008-02-04",57.36,57.5,56.45,56.97,407700,54.95
"2008-02-05",56.05,56.17,55.28,55.45,600100,53.48
"2008-02-06",55.96,56.26,54.95,55.1,601600,53.15
"2008-02-07",54.5,54.7,53.61,53.9,1097200,51.99
"2008-02-08",53.67,54.85,53.64,54.61,487600,52.67
"2008-02-11",54.75,54.8,53.76,54.54,496400,52.61
"2008-02-12",54.71,55.74,54.36,55.15,972100,53.19
"2008-02-13",55.72,56.73,55.45,56.68,586000,54.67
"2008-02-14",56.87,56.87,56,56.21,581600,54.22
"2008-02-15",55.84,56.11,55.07,55.22,555300,53.26
"2008-02-19",55.85,55.9,54.29,54.58,563500,52.64
"2008-02-20",54.22,56.3,54,56.05,737600,54.06
"2008-02-21",56.5,57.07,56.04,56.67,761100,54.66
"2008-02-22",58,60.93,57.28,59.47,1875600,57.36
"2008-02-25",57.62,58.89,56.3,58.58,1254100,56.5
"2008-02-26",58.48,60.04,58.19,59.22,1186800,57.12
"2008-02-27",58.63,59.99,58.63,59.31,780000,57.21
"2008-02-28",59.11,59.41,58.21,58.59,435100,56.51
"2008-02-29",57.79,57.89,56.12,56.4,612600,54.4
"2008-03-03",56.4,57.41,55.91,57.21,509500,55.18
"2008-03-04",56.74,57.6,55.28,56.27,742400,54.27
"2008-03-05",56.25,57.6,56.22,56.68,702800,54.67
"2008-03-06",56.5,57.19,56.13,56.21,934000,54.22
"2008-03-07",55.64,56.29,54.17,54.67,588000,52.73
"2008-03-10",54.59,54.59,53.01,53.07,746300,51.19
"2008-03-11",54.42,55.27,54.04,55,715600,53.05
"2008-03-12",55.25,56.82,55.17,56.03,811300,54.04
"2008-03-13",55.33,57.13,54.35,56.68,674700,54.67
"2008-03-14",57.04,57.08,54.52,55.39,686100,53.43
"2008-03-17",54.86,55.49,54.04,54.81,722300,52.87
"2008-03-18",55.63,57.43,55.18,56.89,704500,54.87
"2008-03-19",57.28,58.35,56.18,56.18,836600,54.19
"2008-03-20",56.08,57.06,55.51,56.68,1184700,54.67
"2008-03-24",56.89,58.8,56.89,58.42,600400,56.35
"2008-03-25",58.48,59.89,58.33,59.6,730200,57.49
"2008-03-26",59.3,59.82,58.44,59.63,632000,57.51
"2008-03-27",59.75,59.9,58.79,59.18,633900,57.08
"2008-03-28",59,59.15,58.35,58.75,666700,56.67
"2008-03-31",58.7,59.9,58.39,59.44,1108800,57.33
"2008-04-01",59.6,61.96,59.55,61.96,765900,59.76
"2008-04-02",61.98,62.34,61.34,61.83,514000,59.64
"2008-04-03",61.54,62.17,60.99,61.76,412100,59.57
"2008-04-04",61.8,62.11,61.2,61.87,728000,59.68
"2008-04-07",62.35,62.58,61.64,61.96,505700,59.76
"2008-04-08",61.64,62,61.1,61.99,442600,59.79
"2008-04-09",61.91,62.23,61.47,61.77,720200,59.65
"2008-04-10",61.6,62.49,61.23,62.19,411400,60.05
"2008-04-11",61.66,61.7,59.59,59.89,754600,57.83
"2008-04-14",59.89,60.18,59.2,59.39,631000,57.35
"2008-04-15",59.75,59.98,58.89,59.39,535400,57.35
"2008-04-16",59.96,62.17,59.96,61.69,630300,59.57
"2008-04-17",61.33,61.79,60.57,61.08,404700,58.98
"2008-04-18",61.85,62.45,61.31,61.99,565100,59.86
"2008-04-21",61.89,63.15,61.38,63.01,455900,60.85
"2008-04-22",62.65,63.2,61.74,62.49,596200,60.34
"2008-04-23",62.67,62.74,61.76,62.21,651100,60.07
"2008-04-24",62.3,62.46,60.71,62.2,533600,60.06
"2008-04-25",63.6,63.6,60.49,62.07,833900,59.94
"2008-04-28",62.44,62.44,61.31,61.99,531700,59.86
"2008-04-29",62.03,62.04,60.35,61.04,613700,58.94
"2008-04-30",61.43,63.12,61.37,62.12,806400,59.99
"2008-05-01",62.14,62.94,61.84,62.78,466000,60.62
"2008-05-02",63.47,64.27,63.05,63.55,686200,61.37
"2008-05-05",63.24,63.24,62.44,62.76,465000,60.61
"2008-05-06",62.6,62.94,61.88,62.8,346300,60.64
"2008-05-07",63.03,63.26,61.86,62.06,285500,59.93
"2008-05-08",62.25,63.07,62,63,426500,60.84
"2008-05-09",62.35,62.65,61.99,62.27,400100,60.13
"2008-05-12",62.47,63.25,61.96,63.03,295800,60.87
"2008-05-13",63.21,63.23,62.32,63.13,459000,60.96
"2008-05-14",63.2,63.67,62.73,62.93,315800,60.77
"2008-05-15",62.92,63.05,62.43,62.91,352700,60.75
"2008-05-16",63.41,63.61,62.66,63.5,235400,61.32
"2008-05-19",63.49,63.7,61.77,62.11,558400,59.98
"2008-05-20",62.04,62.14,61.39,61.8,396000,59.68
"2008-05-21",61.95,62.21,60.1,60.3,367700,58.23
"2008-05-22",60.53,61.47,60.17,60.83,359200,58.74
"2008-05-23",60.71,60.81,60.04,60.63,297300,58.55
"2008-05-27",60.83,61.46,60.45,61.37,376700,59.26
"2008-05-28",61.47,63.25,61.38,63.17,591600,61
"2008-05-29",63.18,64.38,62.71,63.95,591700,61.75
"2008-05-30",64.19,65.06,63.73,65.04,546300,62.81
"2008-06-02",64.8,64.88,63.87,64.28,532600,62.07
"2008-06-03",64.01,64.62,63.39,63.86,914800,61.67
"2008-06-04",63.7,65.16,63.62,64.87,549400,62.64
"2008-06-05",65.41,66.93,64.74,66.62,894500,64.33
"2008-06-06",66.37,66.9,65.6,65.61,790600,63.36
"2008-06-09",65.8,65.89,65.11,65.88,570500,63.62
"2008-06-10",65.5,65.91,64.68,65.03,617500,62.8
"2008-06-11",65.12,65.23,64.19,64.84,641700,62.61
"2008-06-12",65.39,65.97,64.3,64.61,924800,62.39
"2008-06-13",65.2,66.44,64.99,66.34,395800,64.06
"2008-06-16",65.99,67.72,65.79,67.7,505200,65.38
"2008-06-17",67.84,68.09,66.82,67.14,346600,64.83
"2008-06-18",66.93,67.13,66.33,66.92,365700,64.62
"2008-06-19",65.03,67.2,65.03,67.09,442700,64.79
"2008-06-20",65.6,66.7,65.08,65.08,875800,62.85
"2008-06-23",65.34,65.73,64.74,65.26,654600,63.02
"2008-06-24",65.09,65.81,64.38,64.97,502500,62.74
"2008-06-25",65.46,66.96,65.29,66.39,661600,64.11
"2008-06-26",65.88,65.88,63.85,64.01,844200,61.81
"2008-06-27",63.84,66.71,63.21,66.18,933500,63.91
"2008-06-30",66,66.82,65.16,65.88,848500,63.62
"2008-07-01",65.43,65.64,64.05,65.49,786300,63.24
"2008-07-02",65.17,65.22,61.56,61.66,737900,59.54
"2008-07-03",61.91,62.02,60.8,61.36,411300,59.25
"2008-07-07",61.59,62.3,60.42,61.14,399800,59.04
"2008-07-08",61.14,61.84,59.72,61.71,768200,59.59
"2008-07-09",61.2,62.01,60.02,60.22,481700,58.22
"2008-07-10",60.08,61.22,59.43,61.22,749100,59.19
"2008-07-11",60.5,61.13,59.15,60.13,672900,58.13
"2008-07-14",60.15,61.08,58.21,58.61,927500,56.66
"2008-07-15",57.89,58.28,56.29,57.44,1040600,55.53
"2008-07-16",57.2,58.81,56.59,58.81,714000,56.86
"2008-07-17",59.12,62.45,59.12,62.45,935400,60.38
"2008-07-18",62.58,63.24,60.91,61.63,570400,59.58
"2008-07-21",61.7,62.42,61.38,62.34,272900,60.27
"2008-07-22",62.35,64.25,61.78,63.66,677600,61.55
"2008-07-23",63.52,64.17,62.68,63.98,612600,61.86
"2008-07-24",64.15,64.61,62.08,62.59,608400,60.51
"2008-07-25",62,62,58.64,60.16,1287700,58.16
"2008-07-28",60.12,63.74,60.05,61.03,1114800,59
"2008-07-29",61.6,62.78,60.91,62.53,480300,60.45
"2008-07-30",62.94,62.94,60.9,62.35,368800,60.28
"2008-07-31",62.43,64.16,61.07,61.18,915800,59.15
"2008-08-01",62.13,63.12,60.77,62.09,687700,60.03
"2008-08-04",62,62,60.08,60.3,681000,58.3
"2008-08-05",60.64,61.75,60.12,60.77,744200,58.75
"2008-08-06",61.26,61.32,60.38,60.85,687100,58.83
"2008-08-07",60.29,61.31,60.23,60.92,501200,58.9
"2008-08-08",61.11,62,60.77,61.5,651100,59.46
"2008-08-11",61.85,62.84,61.56,62,1049800,59.94
"2008-08-12",61.75,62.1,61.1,61.38,585200,59.34
"2008-08-13",61.42,62.15,61,62,641300,59.94
"2008-08-14",61.8,62.27,61.7,62.06,399500,60
"2008-08-15",62.36,63.21,61.93,62.8,499400,60.72
"2008-08-18",62.85,63.18,61.51,62.03,335800,59.97
"2008-08-19",62.33,62.33,61.17,61.46,397900,59.42
"2008-08-20",61.83,62.17,60.67,61.22,548800,59.19
"2008-08-21",60.73,61.14,59.68,60,655600,58.01
"2008-08-22",60.14,60.91,59.57,60,594400,58.01
"2008-08-25",59.76,59.79,58.66,58.96,1191200,57
"2008-08-26",59.12,59.75,58.75,59.1,435400,57.14
"2008-08-27",59.5,59.81,59.06,59.56,451900,57.58
"2008-08-28",59.75,60.48,59.31,60,940000,58.01
"2008-08-29",59.8,60.06,58.92,59.08,438100,57.12
"2008-09-02",60.18,60.91,58.97,59.21,735700,57.24
"2008-09-03",59.47,60.07,57.89,58.19,567800,56.26
"2008-09-04",57.67,58,55.63,56.26,597800,54.39
"2008-09-05",55.9,56.36,54.8,56.22,513800,54.35
"2008-09-08",57.62,60,56.65,58.04,953700,56.11
"2008-09-09",58.06,59.35,57.09,57.35,1113700,55.45
"2008-09-10",57.75,58.24,56.68,57.14,611400,55.24
"2008-09-11",56.81,58.13,55.65,58.04,516400,56.11
"2008-09-12",57.56,58.48,56.85,58.13,437600,56.2
"2008-09-15",57.03,57.51,55.04,57.15,870200,55.25
"2008-09-16",56,58.66,56,58.57,905000,56.63
"2008-09-17",57.66,58.19,56.22,56.92,685800,55.03
"2008-09-18",57.57,62.24,56.23,60.85,1178500,58.83
"2008-09-19",62.33,70.48,48.71,63.33,762600,61.23
"2008-09-22",62.7,62.74,59.24,59.38,572000,57.41
"2008-09-23",59.25,59.67,57.74,58.16,425700,56.23
"2008-09-24",58.15,58.2,56.88,57.32,640500,55.42
"2008-09-25",57.58,58.89,57.23,58.35,480400,56.41
"2008-09-26",57.55,57.55,55.81,56.98,638700,55.09
"2008-09-29",56.15,56.24,53.4,54.75,1055200,52.93
"2008-09-30",55.83,56.96,54.34,56.96,924500,55.07
"2008-10-01",56.9,57.06,53.91,54.66,732800,52.85
"2008-10-02",54.28,54.64,49.08,50.53,1249500,48.85
"2008-10-03",51.21,52.29,48.64,48.71,995800,47.09
"2008-10-06",47.97,47.97,43.38,46.61,1417700,45.06
"2008-10-07",47.55,47.55,43.27,43.27,998300,41.83
"2008-10-08",41.92,44.29,40.35,42.97,2134300,41.61
"2008-10-09",43.23,43.6,39.32,40.02,1027900,38.76
"2008-10-10",39,41.97,36.06,39.87,1402800,38.61
"2008-10-13",42,50.05,42,50.05,2334700,48.47
"2008-10-14",50.61,51.41,46.31,47.28,1447900,45.79
"2008-10-15",46.26,46.93,42.62,42.68,976700,41.33
