"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2010-09-29",119.84,120.54,119.2,119.56,390000,113.21
"2010-09-30",120.52,121.84,118.11,119.11,485000,112.78
"2010-10-01",120,120,118.79,119.13,425200,112.8
"2010-10-04",119.07,119.87,117.25,118.25,397200,111.97
"2010-10-05",119.48,122.06,118.7,121.69,514600,115.22
"2010-10-06",121.22,123.06,121.22,122.62,478100,116.1
"2010-10-07",122.75,123,120.91,121.99,380600,115.51
"2010-10-08",121.76,123.57,121.63,123,456600,116.46
"2010-10-11",122.96,123.82,122.58,123.14,313700,116.6
"2010-10-12",122.86,124.27,121.23,123.7,722400,117.13
"2010-10-13",124.36,126.05,124.16,125.31,694500,118.65
"2010-10-14",122.77,123.89,119.8,121.64,1564400,115.18
"2010-10-15",122.72,123.1,120.36,121.32,738500,114.87
"2010-10-18",121.93,122.18,120.93,122.18,718100,115.69
"2010-10-19",121.12,122.08,119.6,121.16,907400,114.72
"2010-10-20",121.16,123.11,121.1,122.74,625400,116.22
"2010-10-21",123.01,124.37,122.82,123.82,779300,117.24
"2010-10-22",123.87,123.87,122.48,122.61,436300,116.1
"2010-10-25",123.54,124.45,122.31,122.72,519600,116.2
"2010-10-26",121.92,123.03,121.11,121.76,549800,115.29
"2010-10-27",121.13,121.61,120.1,121.42,469000,114.97
"2010-10-28",122.2,122.62,120.57,121.1,416500,114.67
"2010-10-29",121.13,124.13,120.95,124.03,936000,117.44
"2010-11-01",124.45,125.41,123.72,124.37,526700,117.76
"2010-11-02",125.45,126.19,124.84,125.19,321800,118.54
"2010-11-03",125.27,125.37,123.14,124.62,527400,118
"2010-11-04",125.74,126.42,124.88,126.34,479900,120.15
"2010-11-05",126.34,128.27,125.96,128.19,410700,121.91
"2010-11-08",127.93,127.93,126.67,127.03,346300,120.8
"2010-11-09",127.12,127.12,125.17,125.82,310400,119.65
"2010-11-10",125.66,126.38,124.9,126.37,254800,120.18
"2010-11-11",124.47,126.84,123.35,126.7,728200,120.49
"2010-11-12",125.96,126.66,124.45,125.5,584500,119.35
"2010-11-15",126.12,127.13,125.34,125.37,477500,119.23
"2010-11-16",124.77,125.29,123.47,124.53,885900,118.43
"2010-11-17",124.29,125.39,123,124.86,1213200,118.74
"2010-11-18",125.93,126.63,124.15,125.24,864000,119.1
"2010-11-19",124.88,125.86,124.27,125.78,509200,119.62
"2010-11-22",125.5,126.2,124.52,125.95,422700,119.78
"2010-11-23",124.58,124.93,123.62,124.06,756800,117.98
"2010-11-24",124.88,127.03,124.83,126.7,479900,120.49
"2010-11-26",125.75,126.33,125.69,125.75,163100,119.59
"2010-11-29",124.88,125.42,123.78,125.06,440800,118.93
"2010-11-30",123.62,125.83,123.62,124.93,767300,118.81
"2010-12-01",125.99,128.26,125.97,127.27,659200,121.03
"2010-12-02",127.42,131.31,127.27,131.16,728300,124.73
"2010-12-03",130.69,131.93,130.51,131.59,333000,125.14
"2010-12-06",131.4,132.38,130.91,131.95,304100,125.48
"2010-12-07",134.08,134.08,132.21,132.63,578700,126.13
"2010-12-08",132.79,132.79,131.39,132.13,508100,125.65
"2010-12-09",132.99,132.99,131.76,132.35,285100,125.86
"2010-12-10",132.57,133.76,132.08,133.67,230100,127.12
"2010-12-13",134.15,134.79,133.34,133.77,426400,127.21
"2010-12-14",134.09,135.25,133.82,134.83,356600,128.22
"2010-12-15",134.43,136.26,134.32,135.38,554300,128.74
"2010-12-16",135.24,136.92,134.65,136.8,349300,130.1
"2010-12-17",136.84,136.84,136.08,136.19,605400,129.52
"2010-12-20",136.52,137.85,136.41,137.3,274200,130.57
"2010-12-21",137.72,138.5,137.53,138.5,273200,131.71
"2010-12-22",138.59,138.59,137.71,138.01,237200,131.25
"2010-12-23",137.99,138.3,137.77,138.07,133100,131.3
"2010-12-27",138,138.86,137.41,138.65,127800,131.85
"2010-12-28",138.87,139.07,137.51,138.01,206600,131.25
"2010-12-29",138.42,139.08,137.94,137.95,239900,131.19
"2010-12-30",137.67,138.62,137.41,138.29,143600,131.51
"2010-12-31",138.2,139.09,137.91,138.11,181500,131.34
"2011-01-03",139.18,140.17,138.75,139.54,402500,132.7
"2011-01-04",140,140,137.4,139.23,637700,132.41
"2011-01-05",138.66,139.85,138.04,138.68,402800,131.88
"2011-01-06",137.5,137.5,133.41,133.66,1855500,127.11
"2011-01-07",134.11,134.61,132.13,132.6,750400,126.1
"2011-01-10",132.23,133.86,132.1,132.66,663100,126.16
"2011-01-11",133.21,134.16,132.89,133.54,414700,126.99
"2011-01-12",134.34,135.02,134.1,134.46,523500,127.87
"2011-01-13",134.76,135.37,134.33,134.78,387300,128.17
"2011-01-14",134.49,136.01,134.29,135.9,556800,129.24
"2011-01-18",136.15,137.46,135.52,137.2,653700,130.48
"2011-01-19",137.21,137.44,135.78,136.08,739900,129.41
"2011-01-20",136.1,136.31,134.24,135.2,557800,128.57
"2011-01-21",136.23,136.6,134.91,135.31,422700,128.68
"2011-01-24",135.55,139.36,135.21,139.16,884100,132.34
"2011-01-25",136.04,137.36,131.74,132.56,1624400,126.06
"2011-01-26",131.89,132.44,129.92,132.18,931300,125.7
"2011-01-27",132.12,134.52,132.11,133.99,828200,127.42
"2011-01-28",134.15,134.36,129.64,130.21,717700,123.83
"2011-01-31",130.82,132.19,130.38,131.47,642400,125.03
"2011-02-01",132.43,132.6,131.32,132.32,507000,125.83
"2011-02-02",132.06,132.51,131.14,131.73,499300,125.27
"2011-02-03",131.32,133.07,131.08,132.36,380900,125.87
"2011-02-04",132.25,133.54,131.97,133.45,512800,126.91
"2011-02-07",133.63,135.28,133.41,134.66,542800,128.06
"2011-02-08",134.51,135.67,134.36,135.44,435300,128.8
"2011-02-09",134.99,136.13,134.99,135.28,438100,128.65
"2011-02-10",133.99,136.51,133.99,135.87,380200,129.73
"2011-02-11",135.15,136.09,134.53,135.73,406600,129.59
"2011-02-14",135.84,135.84,134.31,134.48,392000,128.4
"2011-02-15",134.14,134.32,133.37,134,315700,127.94
"2011-02-16",134.35,135.16,133.62,134.22,317500,128.15
"2011-02-17",133.91,134.44,133.25,134,327800,127.94
"2011-02-18",134.21,135.85,134.07,135.66,557100,129.53
"2011-02-22",134.25,135.21,132.61,133.01,462200,127
"2011-02-23",132.92,133.34,129.01,130.53,617000,124.63
"2011-02-24",130.24,131.39,129.39,130.07,544500,124.19
"2011-02-25",130.56,131.85,129.98,131.72,427300,125.77
"2011-02-28",132.08,133.41,131.85,133.21,516500,127.19
"2011-03-01",134.34,137.14,131.87,132.02,533700,126.05
"2011-03-02",131.54,135.31,131.08,134.75,541400,128.66
"2011-03-03",135.91,137.92,135.91,137.38,730600,131.17
"2011-03-04",136.83,137.92,135.18,136.43,294100,130.26
"2011-03-07",136.73,137.19,135.46,135.77,512200,129.63
"2011-03-08",136.33,137.38,135.6,136.7,379000,130.52
"2011-03-09",136.34,137.4,134.76,137.08,548500,130.88
"2011-03-10",135.35,135.94,134.05,134.41,551500,128.33
"2011-03-11",134.02,137.01,133.84,136.48,417700,130.31
"2011-03-14",135.54,136.62,134.18,135.53,357900,129.4
"2011-03-15",132.49,135.33,132.03,134.39,466500,128.32
"2011-03-16",134.03,135.08,131.45,133.12,687800,127.1
"2011-03-17",135.7,135.71,133.51,134.55,600600,128.47
"2011-03-18",136.52,136.62,134.82,135.53,435800,129.4
"2011-03-21",137.44,137.91,136.33,136.53,509800,130.36
"2011-03-22",136.19,136.49,135.12,135.69,390200,129.56
"2011-03-23",135.32,135.7,133.95,135.04,407400,128.94
"2011-03-24",135.62,136.36,135.38,135.73,373000,129.59
"2011-03-25",135.87,136.93,135.65,135.91,275400,129.77
"2011-03-28",136.52,137.44,135.44,136.43,512900,130.26
"2011-03-29",136.22,138.13,135.46,137.97,365100,131.73
"2011-03-30",138.68,139.14,137.12,137.28,383100,131.07
"2011-03-31",137.23,137.8,137.07,137.68,446400,131.46
"2011-04-01",138,140.98,137.75,140.88,583600,134.51
"2011-04-04",140.8,141.59,140.5,140.95,391900,134.58
"2011-04-05",140.92,142.34,140.79,141.52,480400,135.12
"2011-04-06",143.72,145.93,143.43,144.2,851800,137.68
"2011-04-07",143.85,145.26,143.32,143.82,384200,137.32
"2011-04-08",144.51,144.75,142.33,143.17,271100,136.7
"2011-04-11",143.13,144.28,142.78,143.52,366900,137.03
"2011-04-12",142.69,143.33,141.47,141.96,305000,135.54
"2011-04-13",142.31,142.75,140.31,141.65,448100,135.25
"2011-04-14",141.07,142.38,140.09,142.24,3e+05,135.81
"2011-04-15",142.63,143.99,142.14,142.86,593100,136.4
"2011-04-18",146.21,148.17,145,145.32,1635800,138.75
"2011-04-19",145.86,146.68,145.62,145.92,763100,139.32
"2011-04-20",147.39,149.96,146.78,149.87,879600,143.1
"2011-04-21",150,150,148.83,149.65,382100,142.89
"2011-04-25",149.24,149.47,148.14,148.94,294400,142.21
"2011-04-26",149.84,149.9,148.8,149.02,678100,142.28
"2011-04-27",149.14,150.4,149,150.19,575600,143.4
"2011-04-28",149.53,151.11,149.53,150.84,278900,144.02
"2011-04-29",151.55,152.24,150.55,151.6,386000,144.75
"2011-05-02",151.43,151.85,149.71,149.8,315300,143.03
"2011-05-03",149.44,150.75,148.65,149.38,403300,142.63
"2011-05-04",148.98,149.62,147.35,148.31,456800,141.61
"2011-05-05",147.09,148.63,145.8,146.79,404400,140.78
"2011-05-06",148.47,149.62,147.26,147.91,316500,141.86
"2011-05-09",147.56,149.05,147.56,148.27,272000,142.2
"2011-05-10",148.45,151.03,148.45,150.89,407600,144.71
"2011-05-11",150.59,150.88,148.23,150.05,462800,143.91
"2011-05-12",149.94,152.04,148.9,151.78,536000,145.57
"2011-05-13",152.19,153.6,150.62,151,564800,144.82
"2011-05-16",150.58,151.26,149.38,150.3,371700,144.15
"2011-05-17",149.88,150.1,148.15,149.09,493000,142.99
"2011-05-18",149.09,151.8,148.61,151.74,275800,145.53
"2011-05-19",151.96,152.45,150.44,151.45,353800,145.25
"2011-05-20",151.47,151.47,149.25,150.83,437200,144.66
"2011-05-23",149.27,149.9,148.27,148.89,462600,142.8
"2011-05-24",149.26,149.79,146.85,147.34,620400,141.31
"2011-05-25",147.14,148.75,147.05,148.5,401600,142.42
"2011-05-26",148.34,149.75,147.3,149.37,240100,143.26
"2011-05-27",149.8,150.18,149.24,149.41,222800,143.29
"2011-05-31",151.16,151.16,149.23,151.07,497000,144.89
"2011-06-01",150.64,151.18,144.61,144.8,665100,138.87
"2011-06-02",145.03,146.12,143.47,144.79,470600,138.86
"2011-06-03",142.71,144.66,142.06,143.57,393000,137.69
"2011-06-06",143.22,144.23,142.1,144.03,525700,138.13
"2011-06-07",144.32,144.99,143.6,143.61,242400,137.73
"2011-06-08",143.36,143.45,141.98,142.65,368500,136.81
"2011-06-09",142.81,143.94,142.38,143.42,207400,137.55
"2011-06-10",143.01,143.16,141.18,141.9,513400,136.09
"2011-06-13",142.81,143.5,142.01,142.81,505000,136.96
"2011-06-14",143.88,146.97,143.75,145.69,574500,139.73
"2011-06-15",144.43,145.5,143.1,143.14,554400,137.28
"2011-06-16",143.25,144.55,142.01,144.27,525300,138.36
"2011-06-17",145.48,145.79,144.45,144.54,491600,138.62
"2011-06-20",144.12,146.26,143.48,146.04,301400,140.06
"2011-06-21",147.19,148.76,145.3,148.5,417300,142.42
"2011-06-22",148.14,149.58,147.59,149.1,579200,143
"2011-06-23",147.34,149.35,146.32,149.16,943000,143.05
"2011-06-24",149.11,149.46,146.55,147.37,575500,141.34
"2011-06-27",147.75,149.18,146.55,148.12,689000,142.06
"2011-06-28",149.17,151.54,149.01,151.51,477900,145.31
"2011-06-29",152,152.55,150.85,151.59,348800,145.38
"2011-06-30",151.44,154.68,151.44,153.65,595500,147.36
"2011-07-01",154.02,158.46,153.13,158.21,569100,151.73
"2011-07-05",158.21,159,157,158.19,575500,151.71
"2011-07-06",157.61,159.71,157.37,159.63,359200,153.1
"2011-07-07",160.77,161.21,160.17,160.78,294300,154.2
"2011-07-08",159.25,160.95,158.74,160.75,373800,154.17
"2011-07-11",159.04,160.12,157.98,158.54,362900,152.05
"2011-07-12",158.38,159.53,157.75,158.3,303900,151.82
"2011-07-13",158.77,161.02,158.36,158.75,302500,152.25
"2011-07-14",159.54,160.68,156.12,156.59,460300,150.18
"2011-07-15",157.55,158.36,156.63,157.62,454300,151.17
"2011-07-18",157.44,157.58,154.75,156.31,506600,149.91
"2011-07-19",155.49,156.82,152.79,156.24,1012600,149.84
"2011-07-20",157.45,157.65,154.53,155.66,464900,149.29
"2011-07-21",156.57,157.89,155.33,156.17,694100,149.78
"2011-07-22",156.15,156.72,154.73,155.45,339400,149.09
"2011-07-25",154.15,155.92,153.39,154.84,528800,148.5
"2011-07-26",154.48,154.48,149.55,149.99,626900,143.85
"2011-07-27",150,150.61,146.32,148.76,879700,142.67
"2011-07-28",148.76,152.93,147.83,148.84,728900,142.75
"2011-07-29",146.32,149.62,146.32,148.37,615000,142.3
"2011-08-01",149.59,149.76,145.66,147.3,859500,141.27
"2011-08-02",146.03,146.99,141.27,141.43,843500,135.64
