"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2010-06-03",61.23,62.01,60.6,61.56,32383700,55.93
"2010-06-04",60.74,61.05,59.29,59.53,45019200,54.09
"2010-06-07",59.98,60.41,59.2,59.3,28389500,53.88
"2010-06-08",59.62,61.44,59.38,61.24,48460700,55.64
"2010-06-09",61.58,61.6,59.82,60.03,31693200,54.54
"2010-06-10",61.5,62,61.16,61.89,33020100,56.23
"2010-06-11",61.68,61.92,61.18,61.86,21227100,56.2
"2010-06-14",62.06,62.46,61.32,61.37,24667800,55.76
"2010-06-15",61.89,62.57,61.49,62.51,24532600,56.8
"2010-06-16",61.97,62.62,61.9,62.51,20652700,56.8
"2010-06-17",62.42,62.7,61.95,62.6,23310200,56.88
"2010-06-18",62.78,63.37,62.4,63.1,32747000,57.33
"2010-06-21",64.1,64.5,62.85,63.13,24877600,57.36
"2010-06-22",63.13,63.2,61.79,61.94,26147000,56.28
"2010-06-23",61.71,62.26,60.9,61.1,38058900,55.51
"2010-06-24",60.82,61.2,59.87,60.07,34188500,54.58
"2010-06-25",60.15,60.24,59.1,59.1,118023500,53.7
"2010-06-28",59.31,59.39,58.47,58.47,43013000,53.12
"2010-06-29",58,58.09,57,57.29,52525000,52.05
"2010-06-30",57.33,57.73,56.92,57.07,43944900,51.85
"2010-07-01",56.98,57.27,56.17,56.61,47746400,51.43
"2010-07-02",56.85,56.99,55.94,56.57,32767900,51.4
"2010-07-06",57.17,57.59,56.77,57.46,36912100,52.21
"2010-07-07",57.37,58.45,57.26,58.43,41797200,53.09
"2010-07-08",59.13,59.2,58.13,58.81,40430300,53.43
"2010-07-09",58.76,59.01,58.3,58.78,25976500,53.41
"2010-07-12",58.29,58.94,58.2,58.94,23515000,53.55
"2010-07-13",59.6,59.72,59.04,59.42,30514200,53.99
"2010-07-14",59.22,59.34,58.62,59.26,26061100,53.84
"2010-07-15",59.36,59.49,58.59,59.27,24737300,53.85
"2010-07-16",58.84,59.11,57.81,57.96,35805700,52.66
"2010-07-19",58.33,58.74,58.1,58.43,20960000,53.09
"2010-07-20",57.68,58.99,57.67,58.95,23807300,53.56
"2010-07-21",59.13,59.13,57.6,58.17,26859700,52.85
"2010-07-22",58.71,59.79,58.66,59.38,27051400,53.95
"2010-07-23",59.26,59.81,58.8,59.72,19281400,54.26
"2010-07-26",59.7,60.44,59.63,60.39,20236500,54.87
"2010-07-27",60.62,60.9,60.39,60.81,22400800,55.25
"2010-07-28",60.73,61.27,60.73,60.91,23511100,55.34
"2010-07-29",61.42,61.88,60.29,60.34,33763000,54.82
"2010-07-30",60.15,60.51,59.6,59.68,29354600,54.22
"2010-08-02",60.64,62.04,60.61,61.94,28144000,56.28
"2010-08-03",61.98,62.99,61.88,62.72,31075800,56.99
"2010-08-04",62.86,62.89,62.27,62.72,21033800,56.99
"2010-08-05",62.28,62.71,61.85,62.71,19985300,56.98
"2010-08-06",61.92,62.5,61.25,61.97,23097300,56.3
"2010-08-09",62.56,62.67,62.18,62.45,14731300,56.74
"2010-08-10",61.85,62.17,61.45,61.93,23188500,56.27
"2010-08-11",60.55,60.66,60.2,60.39,24281300,55.26
"2010-08-12",59.7,60.56,59.56,60.23,16951300,55.12
"2010-08-13",59.96,60.45,59.8,59.91,14651300,54.82
"2010-08-16",59.6,60.25,59.25,59.88,14301100,54.8
"2010-08-17",60.49,61.16,60.14,60.82,20122200,55.66
"2010-08-18",60.67,60.72,59.63,60.15,20071500,55.04
"2010-08-19",59.93,60.06,58.9,59.29,21174500,54.26
"2010-08-20",59.02,59.07,58.55,58.89,21008800,53.89
"2010-08-23",58.97,60.05,58.9,59.5,21337700,54.45
"2010-08-24",58.96,59.45,58.79,58.94,25679100,53.93
"2010-08-25",58.69,59.4,58.42,58.91,20944000,53.91
"2010-08-26",59.36,59.5,58.33,58.48,22320900,53.51
"2010-08-27",58.72,59.96,58.05,59.8,28279500,54.72
"2010-08-30",59.56,59.9,58.96,59,16265100,53.99
"2010-08-31",58.75,59.54,58.5,59.11,26985400,54.09
"2010-09-01",60.04,60.96,59.72,60.91,26286200,55.74
"2010-09-02",60.49,61.06,60.37,61.06,18662600,55.87
"2010-09-03",61.2,61.6,60.75,61.32,21982900,56.11
"2010-09-07",60.89,61.07,60.45,60.55,19435700,55.41
"2010-09-08",60.66,61.26,60.63,60.75,17380600,55.59
"2010-09-09",61.5,61.59,60.91,61.05,16525200,55.87
"2010-09-10",61.38,61.48,60.95,61.2,14488400,56
"2010-09-13",61.39,61.52,60.54,61,23141800,55.82
"2010-09-14",60.84,61.34,60.75,61.01,17977500,55.83
"2010-09-15",60.76,61.03,60.36,61,18769900,55.82
"2010-09-16",60.85,60.99,60.45,60.97,16432500,55.79
"2010-09-17",61.19,61.3,60.63,60.78,26447200,55.62
