"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2010-12-23",59.11,60.63,59.02,60.08,3272600,55
"2010-12-27",60.1,60.31,59.56,60.09,2648200,55.01
"2010-12-28",61.26,61.83,60.74,61.55,4429200,56.35
"2010-12-29",61.55,61.77,61,61.19,3186200,56.02
"2010-12-30",61.01,61.43,60.9,61.08,2843400,55.92
"2010-12-31",61.22,61.72,61.12,61.43,2669100,56.24
"2011-01-03",61.85,62.21,60.95,61.09,6080400,55.93
"2011-01-04",59.89,60.26,58.25,59.08,11589600,54.09
"2011-01-05",58.28,58.57,57.59,58.16,8811900,53.24
"2011-01-06",58.09,58.47,56.38,56.94,12005600,52.13
"2011-01-07",56.95,58.25,56.88,56.89,9066900,52.08
"2011-01-10",57.51,57.94,56.71,57.75,6700200,52.87
"2011-01-11",58.28,58.39,57.68,58.21,5643300,53.29
"2011-01-12",58.13,58.17,56.9,57.79,9290500,52.91
"2011-01-13",57.89,57.94,56.39,56.81,6962300,52.01
"2011-01-14",56.49,56.61,55.19,55.72,10879000,51.01
"2011-01-18",56.47,56.79,56.04,56.56,7646500,51.78
"2011-01-19",56.9,57.01,55.23,55.46,8052200,50.77
"2011-01-20",54.65,55.94,54.41,55.71,10674200,51
"2011-01-21",55.38,56.15,55.08,55.84,8440700,51.12
"2011-01-24",55.17,56.2,54.86,55.17,6873000,50.51
"2011-01-25",54.95,56.22,54.88,55.88,8547800,51.16
"2011-01-26",55.76,57.09,55.6,57.05,9059300,52.23
"2011-01-27",56.83,56.95,55.05,55.37,8245400,50.69
"2011-01-28",55.05,56.29,54.3,55,10467600,50.35
"2011-01-31",54.9,55.48,54.52,55.07,8082800,50.42
"2011-02-01",55.45,56.56,55.07,56.51,6310600,51.73
"2011-02-02",56.88,56.88,55.43,55.65,5066100,50.95
"2011-02-03",56.32,57.5,55.65,57.33,8866000,52.48
"2011-02-04",58.08,58.1,56.62,56.97,7498500,52.16
"2011-02-07",57.4,57.7,56.85,57.15,4310400,52.32
"2011-02-08",57.94,58.46,57.85,58.27,5796100,53.35
"2011-02-09",58.18,58.57,57.44,57.88,5448000,52.99
"2011-02-10",57.49,57.55,56.5,56.98,6036400,52.16
"2011-02-11",57.09,57.76,56.47,56.88,4953300,52.07
"2011-02-14",57.11,57.62,56.95,57.19,3797000,52.36
"2011-02-15",57.84,58.44,57.76,58.04,4948100,53.13
"2011-02-16",58.28,58.42,57.5,57.97,4575500,53.07
"2011-02-17",58.32,59.1,57.95,58.96,4240600,53.98
"2011-02-18",59.07,59.71,58.48,58.5,7723400,53.56
"2011-02-22",59.32,59.8,58.12,58.16,6974500,53.24
"2011-02-23",58.75,60.19,58.51,59.11,8096500,54.11
"2011-02-24",59.08,59.15,54.47,54.76,19107400,50.13
"2011-02-25",54.96,55.84,54.07,54.46,9803600,49.86
"2011-02-28",54.52,55.29,54.14,55.27,6338800,50.6
"2011-03-01",55.83,56.47,55.65,56.09,8567300,51.35
"2011-03-02",55.98,56.34,54.33,54.73,9317100,50.1
"2011-03-03",54.2,54.2,52.69,53.6,13254600,49.07
"2011-03-04",53.71,55.05,53.71,54.27,8284000,49.68
"2011-03-07",55.15,55.22,53.68,53.68,7476900,49.14
"2011-03-08",53.18,53.4,52.11,53,10470400,48.52
"2011-03-09",53.02,53.12,51.66,52.58,10258300,48.14
"2011-03-10",51.83,52.34,51.29,51.49,8470200,47.14
"2011-03-11",51.33,52.71,51.18,52.12,6282200,47.85
"2011-03-14",52.42,52.79,51.67,52.33,5916200,48.05
"2011-03-15",50.63,52.25,50.57,52.1,8898800,47.84
"2011-03-16",52.28,52.3,50.05,50.39,10137400,46.27
"2011-03-17",50.89,51.04,50.16,50.82,7010300,46.66
