"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2007-11-02",60.69,60.8,58.84,60.41,2332200,52.96
"2007-11-05",59,59.42,56.97,57.95,2584400,50.81
"2007-11-06",57.9,59.9,57.74,59.89,1767900,52.51
"2007-11-07",59.31,59.34,56.28,56.28,2136900,49.34
"2007-11-08",56.55,58.38,56.12,58.17,2794900,51
"2007-11-09",57.29,58.69,55.86,57.63,2035300,50.53
"2007-11-12",57.41,60,57.23,58.4,2496700,51.2
"2007-11-13",58.77,61.74,58.57,61.69,1529500,54.09
"2007-11-14",61.94,63.15,61.31,62.23,1948200,54.56
"2007-11-15",61.86,62.53,58.87,59.67,1645700,52.32
"2007-11-16",60.02,60.38,57.66,58.5,2903000,51.29
"2007-11-19",58.01,58.05,55.16,55.66,2784000,48.8
"2007-11-20",55.64,57.55,55.25,56.12,3291800,49.2
"2007-11-21",55.75,56.88,54.75,55.73,2277800,48.86
"2007-11-23",55.99,58.3,55.99,57.98,698900,50.83
"2007-11-26",58.1,58.33,54.06,54.21,2143200,47.53
"2007-11-27",54.38,56.09,54.34,56.04,2286300,49.13
"2007-11-28",56.57,59.28,56.57,59.09,2354600,51.81
"2007-11-29",59.02,59.02,56.19,57.56,2694100,50.47
"2007-11-30",58.89,60.33,58.28,58.69,4373800,51.46
"2007-12-03",59.26,59.26,57.65,58.04,1411700,50.89
"2007-12-04",57.58,57.98,56.03,56.11,1858000,49.19
"2007-12-05",57.38,59.06,56.66,58.81,2392200,51.56
"2007-12-06",58.55,60.87,57.89,60.63,1399200,53.16
"2007-12-07",60.2,61.58,58.98,59.34,4140800,52.03
"2007-12-10",59.39,60.84,59.14,60.39,2384800,52.95
"2007-12-11",60.36,60.36,56.28,56.56,2208300,49.59
"2007-12-12",57.95,59.35,55.93,57.07,2505900,50.04
"2007-12-13",56.68,56.98,54.71,56.49,1509200,49.53
"2007-12-14",56,56,54.31,54.43,1945900,47.72
"2007-12-17",54.09,55.48,54,54.56,1956700,47.84
"2007-12-18",54.86,55.63,53.39,54.2,2122300,47.52
"2007-12-19",54.73,55.05,53.23,54.1,2709400,47.43
"2007-12-20",53.84,55.44,53.49,54.72,1513300,47.98
"2007-12-21",55.94,56.44,54.87,56.07,2310600,49.16
"2007-12-24",56.76,57.7,55.78,57.44,650000,50.36
"2007-12-26",56.88,56.88,56.03,56.37,691800,49.42
"2007-12-27",55.65,56.83,55.47,55.51,1129000,48.67
"2007-12-28",55.54,56.23,54.52,54.71,932000,47.97
"2007-12-31",54.43,55.96,53.8,55.11,1089800,48.32
"2008-01-02",55.18,56.45,54.83,55.5,2222200,48.66
"2008-01-03",55.8,56.32,54.69,54.92,1314200,48.15
"2008-01-04",53.81,54.75,53.37,53.65,2615400,47.04
"2008-01-07",54.08,54.09,52.97,53.54,2563200,46.94
"2008-01-08",53.91,54.26,51.51,51.69,2591800,45.32
"2008-01-09",51.71,51.83,49.47,51.35,3334400,45.02
"2008-01-10",50.71,55.07,50.65,53.99,3328600,47.34
"2008-01-11",53.28,55.08,52.18,53.58,1995800,46.98
"2008-01-14",54.12,56.39,53.77,56.08,2990000,49.17
"2008-01-15",55.48,56,53.37,53.42,1974700,46.84
"2008-01-16",53.07,54.3,52.19,52.43,2482600,45.97
"2008-01-17",52.53,52.63,49.03,49.35,3958400,43.27
"2008-01-18",49.62,50.76,48.05,49.44,3302300,43.35
"2008-01-22",46.96,50.96,46,48.75,3772100,42.74
"2008-01-23",47.2,50.59,45.65,49.98,7805000,43.82
"2008-01-24",49.49,51.16,49.49,50.23,4854900,44.04
"2008-01-25",51.75,54.6,47.72,49.61,3879800,43.5
"2008-01-28",49.35,51.75,48.44,51.46,2317000,45.12
"2008-01-29",51.94,53.11,50.6,52.86,1868900,46.35
"2008-01-30",52.97,55.41,52.28,53.37,2844800,46.79
"2008-01-31",51.99,55.87,50.98,55.31,3289200,48.63
"2008-02-01",55.12,57.55,55.06,57.12,2827300,50.22
"2008-02-04",56.28,56.94,54.61,55.26,3546200,48.59
"2008-02-05",53.98,54.25,52.1,52.2,3828600,45.9
"2008-02-06",52.77,52.93,51.34,51.49,1798000,45.27
"2008-02-07",51.22,53.11,51,52.35,2821900,46.03
"2008-02-08",51.75,52.66,51.25,51.69,1341200,45.45
"2008-02-11",51.52,51.8,50.5,50.72,1589200,44.59
"2008-02-12",50.93,54.17,50.93,52.77,2134500,46.4
"2008-02-13",53.08,53.76,52.02,52.7,2980400,46.34
"2008-02-14",52.61,52.61,51.41,51.58,1985400,45.35
"2008-02-15",51.78,52.61,50.87,52.27,1939400,45.96
"2008-02-19",52.77,53.7,51.72,52.19,1926800,45.89
"2008-02-20",51.5,53.37,50.76,53.06,1718400,46.65
"2008-02-21",53.15,53.9,52.27,52.29,1541300,45.97
"2008-02-22",52.57,52.57,50.56,52.45,1863500,46.12
"2008-02-25",52.38,53.37,51.22,53.2,1631800,46.77
"2008-02-26",52.85,54.49,52.58,54.17,1686100,47.63
"2008-02-27",53.71,55.31,53.51,54.66,1520800,48.06
"2008-02-28",54.16,54.44,53.53,54.06,1670200,47.53
"2008-02-29",53.25,53.25,50.44,50.64,2152000,44.52
"2008-03-03",50.45,51,49.87,50.5,1747700,44.4
"2008-03-04",49.55,50.75,49.13,50.53,1998500,44.43
"2008-03-05",50.3,51.41,49.83,50.32,1588800,44.24
"2008-03-06",49.95,50.1,48.23,48.23,1831800,42.41
"2008-03-07",47.93,49.86,47.39,48.78,1583200,42.89
"2008-03-10",48.74,49.02,47.03,47.08,2007500,41.39
"2008-03-11",49.17,51.38,48.14,51.12,2152600,44.95
"2008-03-12",51.13,51.9,49.53,49.72,1773500,43.72
"2008-03-13",48.9,50.95,47.44,50.46,2221000,44.37
"2008-03-14",50.93,51.27,48.12,48.78,2392800,42.89
"2008-03-17",47.53,49.71,46.5,49,2712400,43.08
"2008-03-18",50.44,51.45,49.57,51.44,2717500,45.23
"2008-03-19",51.6,52.15,50.02,50.22,2221500,44.15
"2008-03-20",50.49,54.31,50.49,54.2,2797500,47.65
"2008-03-24",54.37,56.05,53.88,54.53,2524200,47.94
"2008-03-25",54.75,55.32,53.48,54.68,1774200,48.08
"2008-03-26",54.6,54.6,52.67,52.83,1838800,46.45
"2008-03-27",53.48,53.48,51.57,51.61,1463200,45.38
"2008-03-28",51.8,52.29,50.4,50.57,1186000,44.46
"2008-03-31",50.75,52.42,50.5,51.85,2244300,45.59
"2008-04-01",52.43,54.75,52.2,54.74,1786900,48.13
"2008-04-02",54.97,55.86,54.1,54.64,1785200,48.04
"2008-04-03",54.33,56.17,53.99,55.65,1460300,48.93
"2008-04-04",55.84,55.97,54.32,54.57,1050900,47.98
"2008-04-07",55,55.66,54.37,54.78,1392400,48.16
"2008-04-08",54.55,54.86,53.27,53.59,1526400,47.12
"2008-04-09",53.59,54.01,52.35,52.85,1309300,46.47
"2008-04-10",52.74,53.88,52.57,53.07,1529000,46.66
"2008-04-11",52.02,52.81,51.07,51.12,1387700,44.95
"2008-04-14",51,51.22,49.72,49.81,1442400,43.79
"2008-04-15",50.3,50.9,49.8,50.82,1171600,44.68
"2008-04-16",51.16,52,51.05,51.5,2276800,45.28
"2008-04-17",51.22,51.77,51,51.49,1865100,45.27
"2008-04-18",52.26,53.66,51.5,52.16,2506700,45.86
"2008-04-21",51.78,51.99,51.01,51.4,1153500,45.19
"2008-04-22",51.46,51.55,50.13,50.29,1684400,44.22
"2008-04-23",46.69,49.02,46.42,47.05,6352300,41.37
"2008-04-24",47.05,48.07,46.68,47.85,4905300,42.07
"2008-04-25",48.18,48.73,47.63,47.9,3983900,42.11
"2008-04-28",48.2,48.2,47.06,47.46,3972900,41.73
"2008-04-29",47.3,47.44,46.74,47.17,2418400,41.47
"2008-04-30",47.17,48.2,46.96,47.49,3297300,41.89
"2008-05-01",47.14,50.52,47.14,50.13,3547600,44.22
"2008-05-02",50.52,51.55,49.7,50.46,2292000,44.51
"2008-05-05",50.06,50.39,48.72,49.32,2119800,43.5
"2008-05-06",48.94,50.27,48.05,49.9,2142600,44.01
"2008-05-07",50.02,50.54,48.29,48.48,2134200,42.76
"2008-05-08",48.76,49.22,47.56,47.93,2067600,42.28
"2008-05-09",47.51,49.43,47,48.58,2337800,42.85
"2008-05-12",48.37,50.08,48.37,50.08,1827500,44.17
"2008-05-13",50.31,50.48,49.68,50.12,2039200,44.21
"2008-05-14",50.4,51,50.12,50.52,1251500,44.56
"2008-05-15",50.45,50.97,50.07,50.65,2282200,44.67
"2008-05-16",50.05,50.72,49.61,49.83,1897100,43.95
"2008-05-19",49.53,50.74,49.41,49.76,1860000,43.89
"2008-05-20",49.08,49.21,47.77,48.15,2920600,42.47
"2008-05-21",48.14,48.82,46.11,46.54,7334800,41.05
"2008-05-22",46.29,47.02,45.18,46.89,8966900,41.36
"2008-05-23",46.46,46.7,45.85,46.18,3233600,40.73
"2008-05-27",46.21,46.71,45.7,46.03,2747100,40.6
"2008-05-28",46.32,46.64,45.65,46.18,2803100,40.73
"2008-05-29",46.19,47.38,45.74,47.02,1833200,41.47
"2008-05-30",47.15,47.8,46.96,47.26,3060600,41.68
"2008-06-02",46.84,46.88,45.77,46.28,2512800,40.82
"2008-06-03",46.37,47.31,45.3,46.46,2158300,40.98
"2008-06-04",46.24,47.58,45.95,46.64,2089500,41.14
"2008-06-05",46.79,47.98,46.65,47.84,2071200,42.2
"2008-06-06",46.9,47.6,45.56,45.77,2798700,40.37
"2008-06-09",46.44,46.51,44.65,45.36,2241300,40.01
"2008-06-10",45.16,46.55,44.81,45.7,2106300,40.31
"2008-06-11",45.57,46.12,44.1,44.1,2883500,38.9
"2008-06-12",44.24,46.35,44.24,45.19,2383700,39.86
"2008-06-13",45.96,46.66,45.22,46.53,2466400,41.04
"2008-06-16",45.79,47.14,45.79,46.84,1861000,41.31
"2008-06-17",46.74,47.1,45.65,45.7,1262100,40.31
"2008-06-18",45.38,45.79,44.81,45.7,2521500,40.31
"2008-06-19",45.91,46.14,44.51,46.14,2484600,40.7
"2008-06-20",44.67,45.94,44.41,44.58,3215800,39.32
"2008-06-23",44.69,45.1,43.68,44.05,2085600,38.85
"2008-06-24",44.13,44.67,43.38,44.17,1900800,38.96
"2008-06-25",44.34,45.59,43.98,44.39,2426000,39.15
"2008-06-26",43,44.43,42.98,43.06,2162000,37.98
"2008-06-27",43,43.93,41.28,41.82,4252500,36.89
"2008-06-30",41.81,41.85,40.6,40.67,3206300,35.87
"2008-07-01",40.18,41.82,40.09,41.42,3768000,36.53
"2008-07-02",41.34,41.9,40.01,40.09,3377300,35.36
"2008-07-03",40.56,40.82,39.67,39.88,1733500,35.18
"2008-07-07",40.01,40.68,38.16,39.4,4732600,34.75
"2008-07-08",39.5,41.79,39.38,41.75,4253400,36.82
"2008-07-09",41.88,41.99,39.44,39.66,2714500,34.98
"2008-07-10",39.66,39.95,38.13,39.3,3410300,34.66
"2008-07-11",38.76,40.21,38.22,39.11,3462700,34.5
"2008-07-14",40.04,40.5,37.11,37.2,3787900,32.81
"2008-07-15",36.83,38.04,35.48,36.6,4588800,32.28
"2008-07-16",36.8,40.09,36.09,40,4776700,35.28
"2008-07-17",41.43,42.16,39.11,41.04,3595200,36.2
"2008-07-18",41.89,41.9,39.26,39.79,4431500,35.1
"2008-07-21",40.34,40.34,38.65,38.88,3694600,34.29
"2008-07-22",38.38,40.71,37.05,40.66,4359400,35.86
"2008-07-23",41.32,41.36,39.28,40.51,4885700,35.73
"2008-07-24",42.01,43.36,40.81,41.62,5251000,36.71
"2008-07-25",41.6,42.38,40.6,41.19,2723400,36.33
"2008-07-28",40.69,42.28,40.05,40.16,3118200,35.42
"2008-07-29",40.31,42.76,40.31,42.64,2662700,37.61
"2008-07-30",43.37,43.82,41.74,43.19,2282200,38.09
"2008-07-31",42.58,43.48,42.38,42.5,2307000,37.49
"2008-08-01",42.77,43.07,41.57,42.8,1777300,37.75
"2008-08-04",42.5,42.61,41.14,41.53,1871000,36.63
"2008-08-05",42.74,44,42.01,43.76,2656200,38.6
"2008-08-06",43.58,43.63,42.78,43.17,1428100,38.23
"2008-08-07",42.65,42.97,41.32,41.67,2097400,36.9
"2008-08-08",41.6,43.82,41.6,43.38,2083900,38.41
"2008-08-11",43.2,45.45,42.88,44.29,2266500,39.22
"2008-08-12",43.6,43.74,41.7,42.14,1830100,37.31
"2008-08-13",41.82,43.09,41.05,42.33,2635900,37.48
"2008-08-14",40.33,43.92,40.33,43.61,2576800,38.62
"2008-08-15",44.1,45.23,43.86,44.67,2237400,39.55
"2008-08-18",44.75,44.75,43.41,43.7,2442300,38.7
"2008-08-19",43.09,43.78,42.26,42.64,2092000,37.76
"2008-08-20",42.79,43.39,42.35,43.22,1704900,38.27
"2008-08-21",42.57,43.23,42.32,42.94,1787000,38.02
"2008-08-22",43.42,44.43,43.39,44.4,1519800,39.31
"2008-08-25",44.16,44.7,43.01,43.09,1195600,38.15
"2008-08-26",43,43.24,42.37,43.24,1532800,38.29
"2008-08-27",43.13,44.1,42.85,44.05,1487000,39.01
"2008-08-28",44.85,45.6,44.18,45.6,1738800,40.38
"2008-08-29",45.02,45.58,44.86,44.95,1613600,39.8
"2008-09-02",45.94,46.69,44.02,45.06,2542000,39.9
"2008-09-03",44.86,45.9,44.41,45.78,2549700,40.54
"2008-09-04",45.78,46.3,43.95,44.17,2498100,39.11
"2008-09-05",43.55,44.46,42.23,44.37,2861800,39.29
"2008-09-08",46.78,48.31,44.85,46.73,4694300,41.38
"2008-09-09",46.21,46.64,42.76,42.77,4239600,37.87
"2008-09-10",43.35,43.6,41.92,42.44,3538600,37.58
"2008-09-11",41.62,43.92,41.06,43.73,3909100,38.72
"2008-09-12",42.85,44.99,41.64,44.7,2758800,39.58
"2008-09-15",41.01,44.98,41.01,41.82,5154300,37.03
"2008-09-16",40.28,42.29,38.85,42.06,6169300,37.24
"2008-09-17",40.83,41.73,37.54,37.83,6643900,33.5
"2008-09-18",38.61,40.64,32.03,39.55,9904700,35.02
"2008-09-19",46.91,49.76,40.75,43.5,8272100,38.52
"2008-09-22",43,44.98,40.92,41.25,4026000,36.53
"2008-09-23",41.8,42.36,39.51,40.25,2910300,35.64
"2008-09-24",40.25,41.22,38.46,40.75,2316200,36.08
"2008-09-25",42.14,42.14,40.19,41.28,2922700,36.55
"2008-09-26",41.28,41.47,39.27,40.4,2258600,35.77
"2008-09-29",40.09,40.54,35.9,35.9,2939600,31.79
