"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2007-10-22",62.51,63.47,61.98,63.17,8683600,28.6
"2007-10-23",63.9,64.38,62.46,64.12,7949000,29.03
"2007-10-24",63.8,63.9,62.39,63.46,9804400,28.73
"2007-10-25",63.43,64.2,63.18,63.84,9534800,28.9
"2007-10-26",63.48,64.99,63.39,64.61,7288400,29.25
"2007-10-29",64.46,65.47,64.44,65.22,4847200,29.53
"2007-10-30",64.24,65.45,64,64.93,4047200,29.4
"2007-10-31",65.57,66.57,65.29,66.26,5882200,30
"2007-11-01",65.94,66.07,63.66,63.82,6352800,28.9
"2007-11-02",65.34,65.35,62.67,63.87,4885600,28.92
"2007-11-05",62,63.93,62,63.38,5347400,28.7
"2007-11-06",63.43,64.27,62.76,63.99,4622200,28.97
"2007-11-07",63,63.99,62.34,62.78,5863400,28.42
"2007-11-08",62.83,63.63,60.91,63.3,7816600,28.66
"2007-11-09",62.34,62.84,61.43,62.21,6404800,28.17
"2007-11-12",61.71,64.4,61.14,62.6,8479800,28.34
"2007-11-13",63,64.12,62.3,63.99,6301400,28.97
"2007-11-14",64.25,64.8,63.14,63.22,5702200,28.62
"2007-11-15",63,63.98,62.29,63.05,4194600,28.55
"2007-11-16",63.6,63.91,61.61,62.64,7075800,28.36
"2007-11-19",62.37,63.25,61.63,62,5762400,28.07
"2007-11-20",62.15,62.92,61.5,62.28,5620400,28.2
"2007-11-21",61.31,63.92,61.31,62.88,4834400,28.47
"2007-11-23",63.13,64,62.89,63.75,1739600,28.86
"2007-11-26",63.88,63.88,62.12,62.18,3997200,28.15
"2007-11-27",62.38,63.91,62.38,63.4,5230800,28.71
"2007-11-28",64,65.62,63.4,65.21,7041400,29.52
"2007-11-29",65.13,65.13,63.83,64.71,3458200,29.3
"2007-11-30",64.99,66.19,64.99,65.65,5403400,29.72
"2007-12-03",64.95,67.93,64.85,67,6649200,30.34
"2007-12-04",67.36,67.36,65.53,65.8,7416000,29.79
"2007-12-05",66.44,66.75,65.34,65.94,5446600,29.86
"2007-12-06",65.37,65.64,64.91,65.41,5266800,29.72
"2007-12-07",65.4,66.12,65.11,65.4,3531000,29.71
"2007-12-10",65.4,66.08,65.38,65.86,3886400,29.92
"2007-12-11",66.09,66.61,64.15,64.2,5586600,29.17
"2007-12-12",64.87,65.84,63.42,64.45,6812000,29.28
"2007-12-13",64.01,65.27,63.98,64.96,7995800,29.51
"2007-12-14",65.11,65.11,63.91,64.32,4933600,29.22
"2007-12-17",64.04,64.76,62.84,63.05,4610600,28.65
"2007-12-18",63.55,63.78,62.24,63.75,6619000,28.96
"2007-12-19",64.16,64.65,63.33,63.8,6087800,28.99
"2007-12-20",65.81,67.4,65.81,66.01,12657200,29.99
"2007-12-21",66.66,66.66,65.82,66.27,5975600,30.11
"2007-12-24",66.09,67.03,66.09,66.88,2909200,30.39
"2007-12-26",66.77,66.98,65.59,66.08,3709600,30.02
"2007-12-27",65.81,66.23,64.86,65,4199400,29.53
"2007-12-28",65.83,65.88,64.06,64.31,8796800,29.22
"2007-12-31",64.01,64.79,64.01,64.24,3684400,29.19
"2008-01-02",64.32,64.7,62.7,63.28,4891000,28.75
"2008-01-03",63.28,63.75,62.38,62.71,5318200,28.49
"2008-01-04",62.24,62.88,61.7,61.74,11167800,28.05
"2008-01-07",62,62.32,61.3,62.11,10404400,28.22
"2008-01-08",62.4,62.98,61.54,61.83,8357400,28.09
"2008-01-09",62.03,62.03,61.13,61.97,11660400,28.16
"2008-01-10",61.92,63.18,61.3,62.54,11463000,28.41
"2008-01-11",62.04,62.04,60.21,60.7,11111800,27.58
"2008-01-14",61.07,61.48,59.85,60.73,7136400,27.59
"2008-01-15",59.87,59.89,57,57.06,14139000,25.93
"2008-01-16",56.94,58.26,56.11,57.67,11723800,26.2
"2008-01-17",57.72,58.36,55.96,55.98,8808800,25.43
"2008-01-18",56.45,59.87,56,56.5,8518000,25.67
"2008-01-22",51.96,58,51.5,57.29,11045600,26.03
"2008-01-23",55.5,58.08,54.01,57.52,15546600,26.13
"2008-01-24",57.62,58.63,56.25,57.41,10605800,26.08
"2008-01-25",58.18,58.18,55.59,56,9359800,25.44
"2008-01-28",56.03,57.73,55.67,57.29,5449000,26.03
"2008-01-29",57.57,57.57,56.28,57.35,7194600,26.06
"2008-01-30",58.26,59.94,58.08,59.4,11095800,26.99
"2008-01-31",59.38,62.18,59.18,61.1,14856000,27.76
"2008-02-01",61.64,62.51,60.5,62.51,8160000,28.4
"2008-02-04",62.53,62.63,60.24,60.74,6170200,27.6
"2008-02-05",59.79,60.85,59.51,59.8,7211000,27.17
"2008-02-06",60.32,61.39,59.84,60.03,7712800,27.27
"2008-02-07",59.58,61.05,59.55,60.76,7743400,27.61
"2008-02-08",60.55,61.41,59.81,60.64,5734200,27.55
"2008-02-11",60.74,61.29,60,60.66,5497000,27.56
"2008-02-12",60.81,61.97,60.56,61.37,6237000,27.88
"2008-02-13",61.87,62.74,60.82,62.55,6899000,28.42
"2008-02-14",62.89,63,62.07,62.3,6306000,28.31
"2008-02-15",62.16,62.92,61.68,62.29,5336400,28.3
"2008-02-19",62.89,62.99,60.9,61.12,4671600,27.77
"2008-02-20",60.74,61.53,60.46,61.2,4550600,27.81
"2008-02-21",59.66,61.15,59.66,60.32,6573000,27.41
"2008-02-22",60.45,60.78,59.66,60.59,6674800,27.53
"2008-02-25",60.7,61.73,60.29,61.59,4989000,27.98
"2008-02-26",61.41,63,61.41,62.61,5001600,28.45
"2008-02-27",62.11,62.92,62.05,62.38,4559600,28.34
"2008-02-28",61.98,62.41,61.49,62.04,4259200,28.19
"2008-02-29",61.31,61.71,59.96,60.2,5903600,27.35
"2008-03-03",60.24,60.51,59.36,60.09,5178800,27.3
