"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2010-11-04",79,79.11,78.19,78.44,6851000,36.24
"2010-11-05",78.3,78.3,77.13,77.57,5781000,35.84
"2010-11-08",77.16,77.67,76.87,77.52,4638200,35.82
"2010-11-09",77.28,77.65,76.79,76.99,5745000,35.57
"2010-11-10",77.18,77.18,76.43,76.94,3476800,35.55
"2010-11-11",76.73,77.02,76.39,76.75,4405600,35.46
"2010-11-12",76.3,76.82,76.26,76.58,4214200,35.38
"2010-11-15",78.11,79.01,77.61,78.37,9339800,36.21
"2010-11-16",78.4,78.4,76.41,76.81,8066600,35.49
"2010-11-17",76.6,77.68,76.42,77.37,6586800,35.75
"2010-11-18",77.92,78.49,77.82,78.21,4312600,36.13
"2010-11-19",78.33,78.59,77.97,78.53,4925600,36.28
"2010-11-22",78.44,78.51,77.56,78.39,2817400,36.22
"2010-11-23",77.81,77.85,77.4,77.76,3700800,35.93
"2010-11-24",78.01,78.24,77.32,77.97,5101600,36.02
"2010-11-26",77.56,77.88,77.13,77.39,1707000,35.76
"2010-11-29",77.22,77.39,76.36,77.19,3018400,35.66
"2010-11-30",76.71,77.23,76.5,76.55,5459400,35.37
"2010-12-01",77.08,77.45,76.92,77.23,4992800,35.68
"2010-12-02",77.31,78,77.29,77.76,5585600,35.93
"2010-12-03",77.63,78,77.48,77.95,3047800,36.01
"2010-12-06",78.07,78.17,77.65,77.74,3966000,35.92
"2010-12-07",78.14,78.4,77.87,78.17,6150600,36.12
"2010-12-08",78.03,78.78,78,78.65,4426000,36.34
"2010-12-09",78.88,79.1,78.07,78.19,4348400,36.13
"2010-12-10",78.19,78.76,77.99,78.21,3927800,36.13
"2010-12-13",78.25,79.71,78.21,79.35,5752600,36.66
"2010-12-14",79.68,80.98,79.62,80.78,6626000,37.32
"2010-12-15",80.79,81.31,80.54,80.99,5406600,37.42
"2010-12-16",80.75,81.18,80.33,81.18,6601800,37.51
"2010-12-17",81.03,81.25,80.64,81,7349000,37.42
"2010-12-20",81.29,81.32,80.44,80.44,3850600,37.17
"2010-12-21",80.57,80.86,79.37,79.9,5964200,36.92
"2010-12-22",80.04,81.04,79.54,80.92,3753200,37.39
"2010-12-23",80.69,81.28,80.38,80.53,2650200,37.21
"2010-12-27",80.45,80.66,80.15,80.41,1822000,37.15
"2010-12-28",80.77,80.91,80,80.78,4481200,37.32
"2010-12-29",80.7,80.91,80.46,80.46,2249800,37.17
"2010-12-30",80.42,80.46,80.15,80.3,1972000,37.1
"2010-12-31",80.16,80.65,80.13,80.37,2218400,37.13
"2011-01-03",80.34,80.62,79.15,79.79,6693400,36.86
"2011-01-04",79.53,80.26,79.33,79.68,5136000,36.81
"2011-01-05",78.47,79.39,78.4,79.18,7206600,36.58
"2011-01-06",78.91,79.3,78.34,78.71,8646800,36.37
"2011-01-07",78.69,78.78,78,78.33,6400600,36.19
"2011-01-10",77.96,78.47,77.64,77.89,6887600,35.99
"2011-01-11",78.06,78.31,77.83,78.21,3457600,36.13
"2011-01-12",78.57,78.88,77.77,78.41,5763200,36.23
"2011-01-13",78.8,78.8,77.83,78.31,4260200,36.18
"2011-01-14",78.15,78.31,77.82,78.31,4035800,36.18
"2011-01-18",78.35,78.97,78.16,78.4,5760800,36.22
"2011-01-19",78.59,79.14,78.25,79,5880400,36.5
"2011-01-20",78.97,79.42,78.5,78.99,5106400,36.5
"2011-01-21",78.6,79.15,78.01,79,6760800,36.75
"2011-01-24",78.86,79.9,78.86,79.84,5271200,37.14
"2011-01-25",79.88,80.36,79.45,80.12,5345200,37.27
"2011-01-26",79.99,80.45,79.87,80,4402600,37.21
"2011-01-27",77.48,78.52,77.32,77.39,15442400,36
"2011-01-28",77.27,77.69,76.83,76.99,6718800,35.81
