"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2008-02-27",195.4,204.7,194.9,201.3,439700,172.19
"2008-02-28",202.1,203.11,196.43,197.2,333600,168.69
"2008-02-29",197.14,197.14,192.3,193.25,522100,165.31
"2008-03-03",191.5,192.57,183.72,192.12,947200,164.34
"2008-03-04",190.5,199.64,190.5,198.95,750300,170.18
"2008-03-05",199.9,205.18,196.98,202.43,959600,173.84
"2008-03-06",199.75,199.75,184,184.99,901300,158.87
"2008-03-07",184.77,190.65,180.83,183.56,871400,157.64
"2008-03-10",182.56,185.42,176.94,177.6,472100,152.52
"2008-03-11",183,188.16,180.5,188.16,588400,161.59
"2008-03-12",189,193.33,182.85,183.48,514200,157.57
"2008-03-13",179.6,188.7,175.55,186.47,887900,160.14
"2008-03-14",190.04,190.04,177.24,178.99,545000,153.71
"2008-03-17",173.5,179.4,165.72,177.15,893000,152.13
"2008-03-18",181.25,187.12,175.06,186.86,877600,160.47
"2008-03-19",195,198.5,189.28,190.03,1631600,163.19
"2008-03-20",189.98,207.37,186.14,206.1,878100,176.99
"2008-03-24",200.28,231.92,195.8,224.53,1552700,192.82
"2008-03-25",222.11,230.95,220.2,226.72,597400,194.7
"2008-03-26",225.7,227,219.51,221.1,459000,189.88
"2008-03-27",211.62,214.9,202,202.52,1090800,173.92
"2008-03-28",200.01,209,199.4,199.4,558000,171.24
"2008-03-31",199.25,208.19,197.56,204.18,326300,175.35
"2008-04-01",208,221.09,208,220.46,779400,189.33
"2008-04-02",220.49,221.47,212.85,218.9,597500,187.99
"2008-04-03",217.75,225.39,213.54,223.28,382100,191.75
"2008-04-04",221.75,225.23,217.17,219.98,441200,188.91
"2008-04-07",226,227.18,219.72,219.72,310900,188.69
"2008-04-08",220.03,226.33,217.86,222.23,496100,190.85
"2008-04-09",222.05,223.29,215,219.26,419400,188.3
"2008-04-10",218.88,223.79,217.76,220.39,212900,189.27
"2008-04-11",208.02,214.79,206.1,207.5,580000,178.2
"2008-04-14",207,207.95,201.26,202.85,373100,174.2
"2008-04-15",205.2,206.38,197.99,205.19,737000,176.21
"2008-04-16",202.01,208.25,200.96,205.4,820000,176.39
"2008-04-17",201.75,202.72,197.71,202,693700,173.47
"2008-04-18",206.96,210.43,203.31,204.35,858000,175.49
"2008-04-21",200.08,204.77,199.64,201.86,375000,173.35
"2008-04-22",199.87,200.72,191.72,194.57,565900,167.09
"2008-04-23",193.5,195.7,190.8,193.55,291200,166.22
"2008-04-24",191.8,203.21,191.8,202.5,509400,173.9
"2008-04-25",204.4,206.69,198.24,203.34,299400,174.62
"2008-04-28",202.6,204.69,199.5,202.67,248700,174.05
"2008-04-29",202,202.9,198.45,200.8,324600,172.44
"2008-04-30",204.5,205.72,200.91,201.79,417300,173.29
"2008-05-01",200.25,212.54,200.25,211.94,514900,182.01
"2008-05-02",214,217.58,211.2,216.25,360900,185.71
"2008-05-05",212.51,220,212.47,215.4,389900,184.98
"2008-05-06",216.5,220.14,210.78,218.95,696500,188.03
"2008-05-07",220.46,220.46,211.2,212.15,469600,182.19
"2008-05-08",214.48,214.9,210,214.43,254100,184.15
"2008-05-09",213.98,216.76,209.6,212,231100,182.06
"2008-05-12",214.21,219.1,213,215.85,639800,185.37
