"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2012-08-01",47.61,47.81,44.36,46.8,9400500,45.03
"2012-08-02",46.25,48.19,46.24,48,4611800,46.18
"2012-08-03",48.92,49.66,48.3,49.39,3615400,47.52
"2012-08-06",49.57,49.67,48.86,49.35,2103800,47.48
"2012-08-07",49.7,50.79,49.49,50.44,3487900,48.53
"2012-08-08",49.95,50,48.73,49.47,2915200,47.6
"2012-08-09",49.5,49.5,48.74,48.79,2849100,46.94
"2012-08-10",48.32,49.61,47.95,49.56,2864800,47.68
"2012-08-13",49.56,49.8,48.82,49.56,2427500,47.68
"2012-08-14",49.59,49.59,48.73,49.13,2181400,47.6
"2012-08-15",49.16,49.83,48.65,49.72,2594700,48.18
"2012-08-16",49.66,50.04,49.2,49.71,3046600,48.17
"2012-08-17",49.75,50.15,49.02,49.25,3380000,47.72
"2012-08-20",49.34,49.88,49.05,49.55,2554400,48.01
"2012-08-21",49.71,50.18,48.76,48.92,2850100,47.4
"2012-08-22",48.93,49.37,48.14,49.25,1993100,47.72
"2012-08-23",49.1,49.25,48.55,49.04,1378600,47.52
"2012-08-24",48.84,48.94,48.05,48.75,1732500,47.24
"2012-08-27",49.01,50.5,48.96,49.6,2877800,48.06
"2012-08-28",49.53,50.49,49.45,49.83,2641500,48.28
"2012-08-29",49.91,50.22,49.64,49.72,1591700,48.18
"2012-08-30",49.44,50.99,49.15,50.81,2813500,49.23
"2012-08-31",51.03,51.94,50.84,51.75,3939100,50.14
"2012-09-04",51.74,51.75,50.28,50.79,2594600,49.21
"2012-09-05",50.75,50.83,50.21,50.32,2601300,48.76
"2012-09-06",50.73,51.62,50.51,50.92,2716500,49.34
"2012-09-07",51.17,51.98,51.02,51.89,1856700,50.28
"2012-09-10",51.91,52.61,51.91,52.36,1806800,50.73
"2012-09-11",52.5,53.51,52.45,53.35,2755600,51.69
"2012-09-12",53.65,54.29,53.45,53.48,3222100,51.82
"2012-09-13",53.61,54.82,52.84,54.67,2947700,52.97
"2012-09-14",54.91,56.22,54.76,55.61,3225300,53.88
"2012-09-17",55.15,55.15,52.92,53.64,3642100,51.97
"2012-09-18",52.08,52.89,50.72,52.07,6510400,50.45
"2012-09-19",52,53.49,51.98,53.21,3736700,51.56
"2012-09-20",52.93,53.61,52.37,53.37,2624100,51.71
"2012-09-21",53.63,54.12,53.41,53.72,3281000,52.05
"2012-09-24",53.52,53.98,53.2,53.45,1805800,51.79
"2012-09-25",53.82,54.5,53.61,53.65,3590600,51.98
"2012-09-26",53.53,54,52,53,3482700,51.35
"2012-09-27",52.98,54.53,52.75,54.53,2173700,52.84
"2012-09-28",54.36,54.66,53.82,54.59,2374200,52.89
"2012-10-01",54.88,55.89,54.25,55.34,2608300,53.62
"2012-10-02",55.44,55.79,55.17,55.39,2030100,53.67
"2012-10-03",55.4,55.4,54.45,54.52,2196900,52.83
"2012-10-04",54.78,55.77,54.65,55.59,2806400,53.86
"2012-10-05",56,56.92,54.74,54.87,3268900,53.17
"2012-10-08",57.22,60.04,56.48,57.92,9311900,56.12
"2012-10-09",58.54,59,57.11,57.13,4124000,55.36
"2012-10-10",56.75,57.66,54.78,55.3,5310300,53.58
"2012-10-11",56.49,56.65,54.63,54.66,3607500,52.96
"2012-10-12",54.65,54.95,52.73,54.3,4166600,52.61
"2012-10-15",54.24,54.85,53.58,54.38,2154300,52.69
"2012-10-16",54.81,55.47,54.5,55.05,1928400,53.34
"2012-10-17",55.33,56.09,55.06,55.75,2011900,54.02
"2012-10-18",55.62,56,54.65,54.79,2800200,53.09
"2012-10-19",55.16,55.65,54.45,54.94,2444000,53.23
"2012-10-22",55.19,55.5,53.7,54.52,2356400,52.83
"2012-10-23",53.5,53.72,52.6,53.25,2577700,51.6
"2012-10-24",53.57,54.55,53.35,53.7,1743100,52.03
"2012-10-25",53.98,54.5,53.36,53.96,1416800,52.28
"2012-10-26",54.55,55.72,54.39,55.61,2440900,53.88
"2012-10-31",55.65,55.79,54,54.93,2740400,53.22
"2012-11-01",54.88,55.19,52.58,54.03,3630900,52.35
"2012-11-02",54.56,54.56,52.36,53.05,3395100,51.4
"2012-11-05",53.06,55.29,53.05,54.76,3359400,53.06
"2012-11-06",55.41,57.19,54.96,56.98,4254600,55.21
"2012-11-07",56.04,56.77,54.87,55.46,2751200,53.74
"2012-11-08",55.44,56.12,54.23,54.31,2539400,52.62
"2012-11-09",53.58,53.87,52.65,53.12,3264700,51.47
"2012-11-12",53.5,54.74,53.5,53.88,2646700,52.21
"2012-11-13",53.63,54.93,53.26,53.9,2195900,52.23
"2012-11-14",54.29,54.45,52.98,53.13,2943600,51.48
"2012-11-15",53.27,54.38,53.04,54.06,3153100,52.38
"2012-11-16",54.03,54.52,53.49,54.34,3658900,52.65
"2012-11-19",54.86,56.69,54.84,56.57,3473400,55.17
"2012-11-20",56.56,57.8,56.33,57,3260800,55.59
"2012-11-21",57.48,58,57.14,57.83,2083500,56.4
"2012-11-23",58.22,59,58.14,58.98,1003800,57.52
"2012-11-26",58.75,59.09,58.33,59.06,2339700,57.6
"2012-11-27",59.35,59.37,58.49,58.59,2980700,57.14
"2012-11-28",57.96,59.56,57.69,59.25,2961900,57.78
"2012-11-29",59.44,59.91,59.11,59.45,2645900,57.98
"2012-11-30",59.23,59.75,58.86,59.54,2573300,58.06
"2012-12-03",59.8,59.9,58.9,59.55,2891700,58.07
"2012-12-04",59.37,59.89,59.08,59.16,2369100,57.69
"2012-12-05",59.4,59.87,57.51,58.11,3189900,56.67
"2012-12-06",57.94,59.65,57.75,59.4,4291100,57.93
"2012-12-07",59.86,60.74,59.36,60.7,4191000,59.2
"2012-12-10",60.5,62.49,60.48,62.01,4312100,60.47
"2012-12-11",62.12,62.76,61.17,61.42,4370000,59.9
"2012-12-12",61.82,62.22,60.63,61.52,3983200,60
"2012-12-13",61.51,62.05,61.01,61.77,3101700,60.24
"2012-12-14",61.7,62.99,61.7,62.83,3447300,61.27
"2012-12-17",62.94,63.36,62.44,62.96,2767900,61.4
"2012-12-18",63.13,63.38,62.75,63,2453700,61.44
"2012-12-19",62.99,63.44,62.16,62.22,4225500,60.68
"2012-12-20",62.42,62.64,61.95,62.26,2605600,60.72
"2012-12-21",61.34,62.5,61.16,62.14,4264400,60.6
"2012-12-24",61.85,62.99,61.77,62.37,1069500,60.82
"2012-12-26",62.63,62.64,61.38,61.66,1489400,60.13
"2012-12-27",61.7,62.15,60.78,62.02,1831600,60.48
"2012-12-28",61.53,61.75,61.02,61.11,1636200,59.6
"2012-12-31",60.97,63.01,60.88,63,2101400,61.44
"2013-01-02",64.15,64.2,62.81,64.01,3160700,62.42
"2013-01-03",63.9,63.99,61.96,62.22,3648200,60.68
"2013-01-04",62.4,63.14,61.01,62.55,3294600,61
"2013-01-07",62.08,62.08,60.04,60.25,5543400,58.76
"2013-01-08",60.45,61.73,60.28,61.55,4909400,60.03
"2013-01-09",62.06,62.66,61.76,62.42,3651100,60.87
"2013-01-10",62.88,62.99,62.05,62.79,3240400,61.23
"2013-01-11",62.7,62.98,61.7,61.99,3371300,60.45
"2013-01-14",62.2,62.64,61.9,62.62,2238200,61.07
"2013-01-15",62.32,64.44,62.2,64.26,2844300,62.67
"2013-01-16",63.99,65.37,63.96,64.74,2880600,63.14
"2013-01-17",65.21,66.09,65.04,65.38,3524400,63.76
"2013-01-18",65.68,65.91,63.9,65.2,3598400,63.58
"2013-01-22",65.26,67.64,65.14,67.11,3023200,65.45
"2013-01-23",67.23,68.09,66.52,67.58,3784100,65.91
"2013-01-24",67.55,69.08,67.55,68.65,2534100,66.95
"2013-01-25",68.88,69,68.09,68.67,2328500,66.97
"2013-01-28",68.57,69.18,66.62,68.65,2899200,66.95
"2013-01-29",69.99,72.42,69.86,71.97,5557300,70.19
"2013-01-30",73.1,73.4,70.88,72.89,5020700,71.08
"2013-01-31",72.69,75.01,72.39,74.21,4048600,72.37
"2013-02-01",75.05,76.41,74.55,76.21,3749000,74.32
"2013-02-04",75.66,77.22,75.45,76.8,3712000,74.9
"2013-02-05",77.33,77.4,76.17,76.68,4203100,74.78
"2013-02-06",76.52,78.37,76.52,77.79,3177700,75.86
"2013-02-07",77.96,79.11,77.41,79.02,4417200,77.06
"2013-02-08",79.55,82.08,79.55,81.43,4176900,79.41
"2013-02-11",81.71,82.5,81.08,81.69,3513200,79.67
"2013-02-12",81.78,82,80.23,80.89,3250300,78.89
"2013-02-13",80.77,81.9,80.46,81.67,2281500,79.65
"2013-02-14",81.18,83.75,80.91,83.16,2960600,81.1
"2013-02-15",82.81,83.18,81.51,82.56,2839100,80.85
"2013-02-19",83.03,84.27,82.56,84.21,4299100,82.47
"2013-02-20",84.06,84.63,80.05,80.23,4781500,78.57
"2013-02-21",79.88,81.2,77.66,80.59,5295000,78.93
"2013-02-22",81.3,81.59,79.96,81.53,2610900,79.85
"2013-02-25",81.74,82.94,79.24,79.28,2961100,77.64
"2013-02-26",79.39,80.66,78.33,80.55,2891200,78.89
"2013-02-27",80.38,83.26,80.18,82.74,2986500,81.03
"2013-02-28",82.64,83.86,82.56,82.88,2406700,81.17
"2013-03-01",82.34,85.01,82.34,85.01,3371000,83.25
"2013-03-04",84.81,89.95,84.71,89.79,5894100,87.94
"2013-03-05",90.09,90.47,87.7,88.75,6018800,86.92
"2013-03-06",89.25,89.68,88.26,88.54,2974700,86.71
"2013-03-07",88.6,89.02,87.28,88.28,3700200,86.46
"2013-03-08",89.04,89.4,87.63,89.02,3747600,87.18
"2013-03-11",88.48,88.58,87,87.89,3958200,86.07
"2013-03-12",87.74,89.86,87.28,88.99,2968300,87.15
"2013-03-13",88.53,88.73,86.18,86.83,4749800,85.04
"2013-03-14",87.26,87.86,86.09,87.7,3670500,85.89
"2013-03-15",87.81,88.61,87.3,87.93,4934900,86.11
"2013-03-18",86.9,89.74,86.3,88.74,2770400,86.91
"2013-03-19",88.67,89.47,87.35,88.31,3134900,86.49
"2013-03-20",89.46,91.98,89.08,91.13,3080300,89.25
"2013-03-21",90.53,91.23,89.04,89.06,3824900,87.22
