"","TRIP.Open","TRIP.High","TRIP.Low","TRIP.Close","TRIP.Volume","TRIP.Adjusted"
"2013-09-06",74.96,75.47,73.05,74.11,1012000,74.11
"2013-09-09",74.53,75.2,74.29,74.5,1198700,74.5
"2013-09-10",74.25,74.64,72.25,72.62,2319300,72.62
"2013-09-11",72.53,74.4,72.42,73.79,1645600,73.79
"2013-09-12",73.93,75.9,73.85,74.49,1258000,74.49
"2013-09-13",74.37,74.37,72.42,72.82,1291000,72.82
"2013-09-16",73.83,74.16,72.56,72.6,745800,72.6
"2013-09-17",73.4,73.46,72.11,72.93,853600,72.93
"2013-09-18",73.14,74.61,72.5,73.92,1645500,73.92
"2013-09-19",74.32,75,73.14,74.27,1196300,74.27
"2013-09-20",74.27,79.08,74.25,75.12,4442400,75.12
"2013-09-23",77,78.17,73.54,74.3,2376600,74.3
"2013-09-24",74.15,75.74,73.12,75.3,1212700,75.3
"2013-09-25",75.29,75.92,74.06,74.78,1245500,74.78
"2013-09-26",74.99,75.89,74.58,75.3,883800,75.3
"2013-09-27",75,76.09,74.1,75.85,1048800,75.85
"2013-09-30",74.72,76.61,74.16,75.84,1339300,75.84
"2013-10-01",75.74,78.6,75.3,78.5,1755500,78.5
"2013-10-02",78.15,79.79,77.61,79.66,1779300,79.66
"2013-10-03",79.51,79.89,77.31,78.66,1705700,78.66
"2013-10-04",78.35,79.46,78,78.41,1706600,78.41
"2013-10-07",77.89,78,75.66,75.85,1752000,75.85
"2013-10-08",75.74,75.83,70.87,71.7,2973200,71.7
"2013-10-09",71.22,72.07,68.11,70.67,2673600,70.67
"2013-10-10",71.88,72.82,70.15,72.27,2368100,72.27
"2013-10-11",72.35,74.38,72.12,74.01,2875400,74.01
"2013-10-14",73.4,75.07,72.54,75.01,3288400,75.01
"2013-10-15",75.23,75.43,73.5,73.87,3511200,73.87
"2013-10-16",74.41,75.35,73.75,75,2524700,75
"2013-10-17",74.84,74.84,72.08,72.74,2517700,72.74
"2013-10-18",73.13,73.5,71.6,71.87,2557300,71.87
"2013-10-21",72.1,74.15,72.05,74.11,2517600,74.11
"2013-10-22",75.6,77.3,73.14,75.5,3555900,75.5
"2013-10-23",75.05,75.98,73.15,75.21,4724600,75.21
"2013-10-24",72,75.15,69.33,74.85,10534800,74.85
"2013-10-25",75.3,77.57,74.96,76.98,3246200,76.98
"2013-10-28",76.89,78.22,75.88,77.79,2266300,77.79
"2013-10-29",77.85,82.35,77.51,82.26,3277500,82.26
"2013-10-30",82.48,83,79.63,80.22,3152600,80.22
"2013-10-31",81.5,84.64,81.2,82.72,3513300,82.72
"2013-11-01",83.08,84.1,82.21,83.38,1793100,83.38
"2013-11-04",84,88.41,83.42,88.22,3270900,88.22
"2013-11-05",88.06,89.47,86.35,88.07,2781100,88.07
"2013-11-06",88.01,88.68,86.1,86.61,1919700,86.61
"2013-11-07",86.53,87,80.69,83.88,3475700,83.88
"2013-11-08",84.09,85.9,83.17,84.48,1939800,84.48
"2013-11-11",84.4,85.96,83.77,85.02,1754400,85.02
"2013-11-12",84.94,85.22,83.65,84.9,1881000,84.9
"2013-11-13",84.85,87.6,83.58,87.49,2465100,87.49
"2013-11-14",87.62,89.18,87.16,89.18,2412000,89.18
"2013-11-15",89.76,90.43,87.26,87.77,2300300,87.77
"2013-11-18",87.64,89.21,86.52,87.42,1852400,87.42
"2013-11-19",87.21,88.98,86.6,87.51,1376000,87.51
"2013-11-20",87.92,88.55,86.74,87.13,915000,87.13
"2013-11-21",87.27,88.37,87.02,87.27,1261700,87.27
"2013-11-22",87.5,88.39,87.01,87.4,1082600,87.4
"2013-11-25",87.88,88.47,86.07,86.61,1170900,86.61
"2013-11-26",86.48,88.2,85.23,87.38,1703100,87.38
"2013-11-27",87.38,88.94,87.29,88.31,740000,88.31
"2013-11-29",88.69,89.46,88.23,88.32,431000,88.32
"2013-12-02",88.25,89.57,86.9,87.54,1186100,87.54
"2013-12-03",87.17,87.62,85.29,85.92,1430400,85.92
"2013-12-04",85.32,86.84,84.52,85.13,1933100,85.13
"2013-12-05",85.11,87.63,84.72,85.54,1473000,85.54
"2013-12-06",86.76,87.97,84.67,85.61,1631800,85.61
"2013-12-09",85.75,87,84.13,84.77,2298400,84.77
"2013-12-10",84.82,85.9,84.52,84.98,1746800,84.98
"2013-12-11",84.86,85.26,82.32,82.79,1754600,82.79
"2013-12-12",82.84,83.91,82.13,82.6,2181200,82.6
"2013-12-13",82.71,83.32,81.27,81.38,1596800,81.38
"2013-12-16",82.05,83.2,81.54,81.89,1858900,81.89
"2013-12-17",80.63,81.63,79.73,80.9,2356200,80.9
"2013-12-18",80.9,81.6,78.67,81.41,3046000,81.41
"2013-12-19",81.4,82.88,81.27,82.02,1413100,82.02
"2013-12-20",82.44,83.7,81.63,83.13,6376000,83.13
"2013-12-23",83.78,83.8,82.55,83.4,936900,83.4
"2013-12-24",83.58,83.65,82.1,82.82,583800,82.82
"2013-12-26",82.95,84.12,82.85,83.47,1369300,83.47
"2013-12-27",83.82,83.89,81.45,81.64,892500,81.64
"2013-12-30",81.46,81.98,80.76,81.67,801200,81.67
"2013-12-31",81.84,82.89,81.38,82.83,814100,82.83
"2014-01-02",82.48,82.5,79.4,80.48,1995600,80.48
"2014-01-03",80.5,81.34,79.71,80.92,1284500,80.92
"2014-01-06",80.82,81.09,79.35,80.38,1631100,80.38
"2014-01-07",80.03,85.58,80.03,84.91,2535600,84.91
"2014-01-08",84.76,85.63,84.28,85.15,1455400,85.15
"2014-01-09",85.72,86.25,84.19,85.17,1389100,85.17
"2014-01-10",85.4,86.8,85.15,86.8,2071500,86.8
"2014-01-13",86.43,86.83,83.68,84.45,1885100,84.45
"2014-01-14",82.87,84.68,82.36,84.31,1265500,84.31
"2014-01-15",85.38,85.38,83.21,84.34,1197900,84.34
"2014-01-16",84.26,84.87,83.27,84.76,1057300,84.76
"2014-01-17",84.63,85.9,83.78,83.9,1364700,83.9
"2014-01-21",84.66,85.16,81.26,81.5,1834600,81.5
"2014-01-22",81.72,82.87,81.71,82.47,1898400,82.47
"2014-01-23",82.07,82.15,80.74,81.34,1629500,81.34
"2014-01-24",80.44,81.42,80.25,80.36,2297400,80.36
"2014-01-27",80.34,80.79,77.05,77.91,2300700,77.91
"2014-01-28",77.43,78.73,76.78,77.77,1719700,77.77
"2014-01-29",77.07,78.1,76.22,76.67,1633600,76.67
"2014-01-30",77.68,78.67,76.9,77.79,1198400,77.79
"2014-01-31",76.17,78.13,75.56,77.19,1841100,77.19
"2014-02-03",76.94,77.47,72.57,73.91,2128800,73.91
"2014-02-04",74.11,76.6,73.7,76.37,2364900,76.37
"2014-02-05",76.27,76.53,74.69,76.16,2018600,76.16
"2014-02-06",76.22,77.34,75.08,77.14,2151500,77.14
"2014-02-07",79.91,85.42,79.85,84.45,5212500,84.45
"2014-02-10",84.05,84.76,82.37,84.05,2585300,84.05
"2014-02-11",85.19,85.19,83.06,84.2,4589200,84.2
"2014-02-12",87.95,93.13,87.6,90.27,9546600,90.27
"2014-02-13",89.28,92.47,88.72,92.3,2880100,92.3
"2014-02-14",91.94,92.29,90.94,91.25,2235900,91.25
"2014-02-18",91.19,93.86,90.56,93.35,1989200,93.35
"2014-02-19",92.87,95,92.84,93.76,1890200,93.76
"2014-02-20",94.11,96.91,94.11,96.8,2303700,96.8
"2014-02-21",96.85,97.97,96.22,96.92,1970500,96.92
"2014-02-24",97,98.47,96.5,98.26,1307600,98.26
"2014-02-25",98.58,102.7,97.82,101.04,2384300,101.04
"2014-02-26",101.73,102.65,99.21,100.18,1879500,100.18
"2014-02-27",100.19,100.8,99.55,99.72,1396200,99.72
"2014-02-28",100.66,102.85,98.58,100.24,2071300,100.24
"2014-03-03",98.81,100.7,98.19,100.55,1550400,100.55
"2014-03-04",102.99,107.24,102.55,106.89,2646300,106.89
"2014-03-05",106.74,107.78,105.85,107.3,2297300,107.3
"2014-03-06",107.81,108.73,107.05,108.38,2442800,108.38
"2014-03-07",109.38,109.46,106.53,108.06,2361500,108.06
"2014-03-10",109.16,109.79,106.9,107.54,1478100,107.54
"2014-03-11",107.96,107.96,104,104.73,1774900,104.73
"2014-03-12",104.34,107.18,102.54,106.69,2186600,106.69
"2014-03-13",107.28,107.77,102.11,103.21,1621700,103.21
"2014-03-14",102.82,105.29,102.23,102.95,1618000,102.95
"2014-03-17",104.81,106.9,104.46,104.53,1599000,104.53
