"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2007-05-15",65.41,65.59,65.12,65.25,592600,29.96
"2007-05-16",65.4,66.25,65.1,66.24,530700,30.41
"2007-05-17",66.08,66.25,65.58,66.08,337200,30.34
"2007-05-18",66.2,66.38,66,66.33,626800,30.45
"2007-05-21",66.3,66.66,66.11,66.56,442800,30.56
"2007-05-22",66.52,67.1,66.26,67.06,581100,30.79
"2007-05-23",67.06,67.8,67.06,67.62,839700,31.05
"2007-05-24",67.5,67.58,66.99,67.05,601200,30.78
"2007-05-25",67.81,67.96,67.28,67.71,463200,31.09
"2007-05-29",67.75,68.55,67.75,68.25,894300,31.34
"2007-05-30",68,68.29,67.5,68.29,893800,31.35
"2007-05-31",68.52,69.21,68.26,68.26,2275500,31.34
"2007-06-01",68.5,68.63,67.51,67.85,1067800,31.15
"2007-06-04",67.46,68,67.04,67.98,878800,31.35
"2007-06-05",71.85,73,69.69,70.56,1511400,32.54
"2007-06-06",70.37,70.64,69.61,70.48,1156500,32.5
"2007-06-07",70.08,70.44,69.1,69.2,1059000,31.91
"2007-06-08",69.21,69.99,68.85,69.92,702300,32.25
"2007-06-11",72.02,74.26,70.06,71.69,1045500,33.06
"2007-06-12",71.16,72.08,70.99,71.4,735200,32.93
"2007-06-13",71.41,72.52,71.41,72.52,654300,33.45
"2007-06-14",72.45,72.68,71.91,72.5,513200,33.44
"2007-06-15",72.9,73.1,72.63,72.63,675000,33.5
"2007-06-18",72.64,73.45,72.48,73.43,457600,33.87
"2007-06-19",73.26,73.26,72.51,72.94,519000,33.64
"2007-06-20",73.03,73.2,72.21,72.21,577800,33.3
"2007-06-21",71.78,73.44,71.55,73.23,679200,33.77
"2007-06-22",71.45,72.16,71.11,71.11,1353800,32.8
"2007-06-25",71.22,72.5,71.01,71.38,486200,32.92
"2007-06-26",71.41,72,71.2,71.37,340400,32.92
"2007-06-27",70.8,72.91,70.8,72.68,525000,33.52
"2007-06-28",72.68,73.48,72.26,72.97,448800,33.65
"2007-06-29",72.94,73.53,72.53,73.08,440400,33.7
"2007-07-02",73.5,73.73,72.11,72.5,579200,33.44
"2007-07-03",71.98,72.5,71.73,72.22,330600,33.31
"2007-07-05",72,72.26,71.25,72.25,585900,33.32
"2007-07-06",72,72.26,71.41,72.23,314700,33.31
"2007-07-09",72.49,73.21,72.24,73.16,701200,33.74
"2007-07-10",72.47,72.82,71.36,71.51,609000,32.98
"2007-07-11",71.52,72.07,71.3,71.85,252800,33.14
"2007-07-12",71.86,72.27,71.39,72.27,393800,33.33
"2007-07-13",72.27,72.72,71.73,72.55,273900,33.46
"2007-07-16",72.06,72.73,71.54,72.32,231900,33.35
"2007-07-17",72.48,72.6,71.43,71.83,258300,33.13
"2007-07-18",71.82,71.82,70.62,71.34,298200,32.9
"2007-07-19",71.41,72.45,70.95,72.14,378800,33.27
"2007-07-20",72.17,72.17,70.15,70.62,620700,32.57
"2007-07-23",68.73,71.18,68.73,70.81,247500,32.66
"2007-07-24",70.69,71.65,69.81,69.88,326800,32.23
"2007-07-25",70.4,70.71,69.51,70.32,330000,32.43
"2007-07-26",72.22,72.22,67.65,68.22,710200,31.46
"2007-07-27",67.5,68.55,66.62,66.66,640200,30.74
"2007-07-30",66.31,68.16,65.87,67.77,610400,31.25
"2007-07-31",67.97,68.49,66.33,66.44,693000,30.64
"2007-08-01",66.6,68.21,66.04,68.01,555800,31.37
"2007-08-02",68.03,69.13,67.7,68.97,617800,31.81
"2007-08-03",69.05,71.03,68.73,69.58,623100,32.09
"2007-08-06",69.87,72.4,69.87,72.3,761400,33.34
"2007-08-07",71.85,74.63,71.82,74.16,748200,34.2
"2007-08-08",74.01,76.23,73.76,75.19,1550200,34.68
"2007-08-09",74.38,79.88,73.99,75.58,2680800,34.86
"2007-08-10",75.59,76.51,72.66,73.62,1205700,33.95
"2007-08-13",73.06,73.37,71.74,72.09,634800,33.25
"2007-08-14",72.05,72.31,69.95,70.06,593100,32.31
"2007-08-15",70.08,71.45,70,70.18,453600,32.37
"2007-08-16",70.17,72.62,70.01,72.26,699300,33.33
"2007-08-17",74.86,75.23,72.58,74,571600,34.13
"2007-08-20",73.87,74.45,73.51,73.93,392400,34.1
"2007-08-21",73.58,74.53,73.27,73.95,457500,34.1
"2007-08-22",74.78,75,74,74.88,453300,34.53
"2007-08-23",74.97,75,73.21,73.57,421400,33.93
"2007-08-24",73.19,74.08,72.99,74.08,404400,34.16
"2007-08-27",74.03,74.63,73.03,73.04,468800,33.69
"2007-08-28",72.74,73.61,72.05,72.05,336800,33.23
"2007-08-29",72.75,74.37,72.75,74.2,404800,34.22
"2007-08-30",72,74.74,68.79,72.36,781600,33.51
"2007-08-31",72.91,72.91,71.3,71.56,431100,33.14
"2007-09-04",71.01,71.96,70,71.72,570300,33.21
"2007-09-05",70.99,71.23,70.22,70.53,385600,32.66
"2007-09-06",70.63,70.69,69.55,69.86,459600,32.35
"2007-09-07",68.74,70.24,68.68,68.85,383400,31.88
"2007-09-10",69.38,69.84,68,68.44,528000,31.69
"2007-09-11",68.6,69.96,68.6,69.93,358600,32.38
"2007-09-12",69.87,70,68.51,69.08,700600,31.99
"2007-09-13",69.69,69.95,68.42,69.1,605800,32
"2007-09-14",69,71.66,69,70.68,905700,32.73
"2007-09-17",70.68,73.43,70.68,72.02,756200,33.35
"2007-09-18",72.44,74.59,71.88,73.9,786000,34.22
"2007-09-19",73.95,74.63,72.65,74.4,666200,34.45
"2007-09-20",74.68,75.96,74.51,75.15,589800,34.8
"2007-09-21",76.27,76.31,74.27,74.45,1897800,34.48
"2007-09-24",74.63,75.03,73.23,73.46,468900,34.02
"2007-09-25",73.53,74.73,73.39,74.57,602700,34.53
"2007-09-26",75.08,75.76,74.15,74.86,402800,34.67
"2007-09-27",74.97,75,73.91,74.71,297800,34.6
"2007-09-28",74.52,75.41,72.82,74.91,546600,34.69
"2007-10-01",75.11,75.24,74.62,74.94,508600,34.7
"2007-10-02",75.12,75.41,74.35,74.75,214500,34.62
"2007-10-03",74.3,74.6,73.95,74.05,378200,34.29
"2007-10-04",74.46,75.11,74.27,75,426900,34.73
"2007-10-05",75,75,74.33,74.68,342200,34.58
"2007-10-08",74.81,74.99,74.64,74.82,142600,34.65
"2007-10-09",76.71,76.71,74.16,75.08,337600,34.77
"2007-10-10",74.92,74.95,74,74.92,337600,34.69
"2007-10-11",75.72,76.4,74.3,74.84,334800,34.66
"2007-10-12",74.91,75.17,73.87,74.1,502200,34.31
"2007-10-15",74.13,74.13,72.57,73.23,359700,33.91
"2007-10-16",73.36,74.29,72.69,73.95,546600,34.24
"2007-10-17",74.3,74.61,72.08,72.99,440800,33.8
"2007-10-18",73.1,73.87,72.62,72.82,358800,33.72
"2007-10-19",72.25,73.14,72.07,72.07,608400,33.37
"2007-10-22",71.03,72.58,71.03,72.43,324600,33.54
"2007-10-23",72.55,73.24,71.71,72.48,388500,33.56
"2007-10-24",72.3,73.47,71.86,73.1,440700,33.85
"2007-10-25",73.23,73.71,72.5,73.51,401200,34.04
"2007-10-26",73.91,74,72.76,73.35,223500,33.97
"2007-10-29",73.71,73.86,73.02,73.45,407100,34.01
"2007-10-30",73.27,73.64,73.02,73.42,228300,34
"2007-10-31",73.69,73.99,72.99,73.98,545700,34.26
"2007-11-01",73.49,74.18,71.67,71.67,365700,33.19
"2007-11-02",71.57,73.14,71.14,72.94,539400,33.78
"2007-11-05",74.83,74.83,71.6,71.99,414800,33.34
"2007-11-06",72.11,72.84,70.66,71.74,369900,33.22
"2007-11-07",71.1,72.58,70.71,70.71,560400,32.74
"2007-11-08",70.43,70.48,65.49,69.08,1191900,31.99
"2007-11-09",68.4,69.11,67.69,67.72,576800,31.36
"2007-11-12",68.01,70.86,67.72,68.66,885900,31.8
"2007-11-13",68.75,70.87,68.13,70.8,741900,32.79
"2007-11-14",70.89,71.45,68.65,68.78,601600,31.85
"2007-11-15",68.78,69.21,67.77,68,433600,31.49
"2007-11-16",66.04,70.19,66.04,70.19,831000,32.5
"2007-11-19",69.89,70.01,68.37,68.47,719700,31.71
"2007-11-20",68.98,71.1,68.7,69.95,1017800,32.39
"2007-11-21",69.65,70.76,68.83,68.83,717900,31.87
"2007-11-23",69.15,69.63,68.57,69.51,236800,32.19
"2007-11-26",69.16,69.72,66.99,66.99,708800,31.02
"2007-11-27",67.15,71.09,67.15,71.09,1042600,32.92
"2007-11-28",71.09,71.99,70.25,71.99,1015600,33.34
"2007-11-29",71.5,72,68.93,69.57,1438500,32.22
"2007-11-30",69.75,70.71,68.27,70.64,1315600,32.71
"2007-12-03",71.21,73.13,70.7,72.71,1495400,33.83
"2007-12-04",72.86,73.28,68.34,71.31,1891500,33.18
"2007-12-05",72.35,72.74,71.16,72.2,1303800,33.6
"2007-12-06",72.17,72.78,71.54,72.25,908700,33.62
"2007-12-07",72.63,73.44,71.01,71.35,772500,33.2
"2007-12-10",71.42,71.92,70.71,71.15,617100,33.11
"2007-12-11",71.11,72.19,70,70.2,754600,32.67
"2007-12-12",72.1,73.1,70.59,72.66,1081500,33.81
"2007-12-13",72.2,72.64,70.75,71.51,800800,33.28
"2007-12-14",71.35,72.15,71.13,71.7,909200,33.36
"2007-12-17",71.55,72.48,71.29,71.82,646400,33.42
"2007-12-18",72.18,73.81,72.18,72.98,1347000,33.96
"2007-12-19",73.7,73.7,71.51,72.11,474800,33.55
"2007-12-20",72.5,74.71,72.4,74.34,964200,34.59
"2007-12-21",74.75,75.7,74.35,75.21,1163100,35
"2007-12-24",75.67,76.15,74.7,75.36,192300,35.07
"2007-12-26",74.81,75.42,74.55,75.1,345600,34.95
"2007-12-27",74.74,75.57,74.25,75.08,450600,34.94
"2007-12-28",75.44,75.67,74.26,74.8,363800,34.81
"2007-12-31",74.39,74.84,73.21,74.11,582600,34.48
"2008-01-02",73.76,74.02,71.63,71.75,640400,33.39
"2008-01-03",72.14,73.38,71.98,73.25,620700,34.08
"2008-01-04",72.92,73.9,72.37,72.8,720200,33.88
"2008-01-07",74.75,74.75,72.7,74.35,1016700,34.6
"2008-01-08",74.12,75.41,72.89,74.07,930000,34.47
"2008-01-09",74.29,74.7,73.21,73.77,811600,34.33
"2008-01-10",73.37,74.6,72.32,73.06,1082800,34
"2008-01-11",72.1,72.41,69.75,69.84,1452300,32.5
"2008-01-14",70,71.48,69.66,71.1,849900,33.08
"2008-01-15",70.07,71.48,69.75,70.09,919400,32.61
"2008-01-16",69.91,71.44,69.75,70.36,862400,32.74
"2008-01-17",70.43,70.43,66.72,66.89,1463100,31.13
"2008-01-18",66.89,67.64,65.49,65.96,1857000,30.69
"2008-01-22",63.27,65.65,61.35,65.22,2046900,30.35
"2008-01-23",63.61,66.34,61.84,65.94,1343400,30.68
"2008-01-24",66.26,66.82,65.47,65.89,939800,30.66
"2008-01-25",65,65.78,64,64.17,1256700,29.86
"2008-01-28",62.57,65.52,61.83,65.45,1978600,30.46
"2008-01-29",65.67,65.8,64.19,65.24,1044300,30.36
"2008-01-30",65.22,65.93,63.29,63.56,1005600,29.58
"2008-01-31",62.78,63.96,62.18,62.18,1748200,28.93
"2008-02-01",62.93,66.55,62.57,66.55,1330600,30.97
"2008-02-04",66.43,67.03,65.36,65.53,775500,30.49
"2008-02-05",64.15,65.18,63.59,63.71,952400,29.65
"2008-02-06",64.25,64.9,63.84,64.24,721500,29.89
"2008-02-07",64.19,65.22,63.92,64.6,900600,30.06
"2008-02-08",64,65.29,63.82,65.15,799600,30.32
"2008-02-11",65.2,65.89,64.82,65.38,934800,30.42
"2008-02-12",65.54,66.49,65.54,66.28,897300,30.84
"2008-02-13",65,65,62.1,63.26,1179600,29.44
"2008-02-14",63.34,64.02,62.66,63.59,1044800,29.59
"2008-02-15",63.53,64.77,63.15,64.64,1004700,30.08
"2008-02-19",65.42,65.5,64.49,64.69,725400,30.1
"2008-02-20",64.3,65.16,63.08,64.82,936600,30.16
"2008-02-21",65.03,65.85,64.55,64.65,655600,30.08
"2008-02-22",64.77,66.37,64.62,66.37,1031100,30.88
"2008-02-25",66.53,68.74,66.39,68,1439100,31.64
"2008-02-26",67.9,67.95,66.96,67.18,712400,31.26
"2008-02-27",67.04,67.84,66.71,67.01,643400,31.18
"2008-02-28",66.94,67,65.67,66.07,636900,30.74
"2008-02-29",64.2,64.95,62.51,63.77,1941800,29.67
"2008-03-03",63.76,65.34,63.16,65.1,1124800,30.45
"2008-03-04",64.08,65.56,63.99,64.53,676200,30.19
"2008-03-05",64.49,65.26,64.13,64.73,962700,30.28
"2008-03-06",64.3,64.62,62.86,62.86,894300,29.41
"2008-03-07",62.8,63.76,62.47,63.24,788400,29.58
"2008-03-10",63.17,64.2,62.74,63.25,437800,29.59
"2008-03-11",64.73,65.45,63.62,65.45,711600,30.62
"2008-03-12",65.63,66.61,65.28,65.33,732800,30.56
"2008-03-13",64.56,65.42,63.45,64.89,544500,30.36
"2008-03-14",65.21,66.69,64.18,64.64,459800,30.24
"2008-03-17",64.64,66.52,64.54,65.24,814500,30.52
"2008-03-18",65.7,67.56,65.25,67.56,669900,31.61
"2008-03-19",69.45,69.45,66.41,66.41,671200,31.07
"2008-03-20",64.76,67.09,64.76,67.06,857200,31.37
"2008-03-24",67.7,68.52,66.58,67.96,546300,31.79
"2008-03-25",68.33,68.44,67.26,67.56,605100,31.61
"2008-03-26",67.6,68.18,66.81,67.06,406600,31.37
"2008-03-27",67.6,67.86,66.24,66.36,570000,31.04
"2008-03-28",67,67.63,66.29,66.36,362200,31.04
"2008-03-31",66.59,66.62,65.85,66.22,435000,30.98
"2008-04-01",67.18,69.86,66.68,69.86,851400,32.68
"2008-04-02",69.86,71.7,69.47,69.58,568500,32.55
"2008-04-03",69.41,70.05,68.84,69.56,451400,32.54
"2008-04-04",69.39,71.6,69.29,71.19,437400,33.3
"2008-04-07",71.15,71.67,70.56,71.18,380800,33.3
"2008-04-08",70.5,71.38,69.69,71.18,677400,33.3
"2008-04-09",71.13,71.37,69.2,69.67,423800,32.59
"2008-04-10",69.88,72.3,69.22,71.6,710400,33.5
"2008-04-11",71.39,72.2,70.46,71.57,641700,33.48
"2008-04-14",69.25,71.15,68.55,70.98,762300,33.21
"2008-04-15",71.15,71.56,69.84,70.38,475500,32.92
"2008-04-16",70.99,70.99,69.92,70.99,423000,33.21
"2008-04-17",71.25,71.84,70.46,71.71,466200,33.55
"2008-04-18",73,73.35,71.4,71.87,369600,33.62
"2008-04-21",71.33,71.64,70.85,71.33,240000,33.37
"2008-04-22",71.3,71.53,69.79,70.13,538500,32.81
"2008-04-23",70.13,70.58,68.5,69.02,933900,32.29
"2008-04-24",69.3,69.39,67.09,67.28,1147200,31.47
"2008-04-25",67.36,67.66,66.81,67.49,668100,31.57
"2008-04-28",67.8,69.33,67.8,69.17,881200,32.36
"2008-04-29",69.17,69.45,68.43,68.7,348800,32.14
"2008-04-30",68.74,69.87,67.8,68.02,560200,31.82
"2008-05-01",68.14,69.92,68.14,69.47,490400,32.5
"2008-05-02",70.23,71.13,69.67,70.31,414800,32.89
"2008-05-05",69.63,70.97,69.16,70.66,458200,33.06
"2008-05-06",69.87,71.28,69.87,71.12,339200,33.27
"2008-05-07",70.96,72,70.07,70.19,291200,32.84
"2008-05-08",69.95,71.21,69.91,70.82,278100,33.13
"2008-05-09",69.75,70.92,69.75,70.5,400200,32.98
"2008-05-12",71.05,72.35,70.98,72.25,400200,33.8
"2008-05-13",72.6,72.99,71.66,72.65,590800,33.99
"2008-05-14",72.66,73.62,72.61,73.14,427500,34.22
"2008-05-15",72.88,73.66,72.03,73,365100,34.15
"2008-05-16",72.89,73.73,71.64,72.87,318800,34.09
"2008-05-19",72.61,73.5,72.34,73.05,309300,34.17
"2008-05-20",73.5,74.44,73.25,73.92,627600,34.58
"2008-05-21",73.76,75,73.47,73.71,542800,34.48
"2008-05-22",73.92,74.6,73.38,74.35,485200,34.78
"2008-05-23",73.44,74.38,73.31,73.89,637400,34.57
"2008-05-27",74.2,75.51,74.2,75.36,671700,35.25
"2008-05-28",75.7,75.9,73.82,74.52,544500,34.86
"2008-05-29",74.53,75.45,74.3,75.19,632200,35.17
"2008-05-30",74.95,75.79,74.88,75.18,607500,35.17
"2008-06-02",74.67,74.77,73.3,73.65,450300,34.61
"2008-06-03",73.01,73.25,71.59,71.59,826600,33.64
"2008-06-04",71.93,72.61,71.72,72.08,858900,33.87
"2008-06-05",75.71,78.56,74.98,78.47,2272200,36.88
"2008-06-06",76.49,78.78,76.49,77.25,1263600,36.3
"2008-06-09",77.41,77.7,76,76.96,811500,36.17
"2008-06-10",76.46,77.87,76.36,76.53,972900,35.96
"2008-06-11",76.23,76.72,75.63,76.31,586400,35.86
"2008-06-12",76.98,77.45,75.82,76.18,734400,35.8
"2008-06-13",77.07,77.82,76.37,77.59,957300,36.46
"2008-06-16",76.92,77.29,75.31,76.11,677100,35.77
"2008-06-17",76.95,77.14,76.22,76.32,828900,35.87
"2008-06-18",76.14,76.97,75.61,76.39,624200,35.9
"2008-06-19",76.65,76.72,75.74,76.47,567000,35.94
"2008-06-20",76.47,76.8,75.79,75.87,921200,35.65
"2008-06-23",76.18,77.48,76.18,76.54,411600,35.97
"2008-06-24",76.41,76.81,75.51,76.14,569100,35.78
"2008-06-25",76.12,77.41,76.06,76.44,526800,35.92
"2008-06-26",76.03,76.25,74.45,76,925600,35.72
"2008-06-27",76.56,77.47,75.71,75.96,1319800,35.7
"2008-06-30",76.17,76.74,75.25,75.57,597000,35.51
"2008-07-01",74.43,75.4,72.37,72.8,1958700,34.21
"2008-07-02",71.51,72.36,66.98,68.69,2188800,32.28
"2008-07-03",69.4,69.94,69.09,69.47,557400,32.65
"2008-07-07",69.3,69.47,68.23,68.84,866800,32.35
"2008-07-08",68.68,70,68.54,69.33,1198600,32.58
"2008-07-09",69.18,70.56,68.86,69.49,858800,32.66
"2008-07-10",69.47,69.86,68.18,68.9,507000,32.38
"2008-07-11",68.43,69.51,67.91,69.19,964200,32.52
"2008-07-14",70.14,72.57,69.69,70.11,1045800,32.95
"2008-07-15",69.95,70.59,69.95,70.21,1294200,32.99
"2008-07-16",70.57,70.89,69.86,70.75,1123400,33.25
"2008-07-17",70.43,71.65,69.8,71.17,918900,33.45
"2008-07-18",71.01,71.42,70.17,70.79,743100,33.27
"2008-07-21",70.05,70.6,69.81,70.25,310200,33.01
"2008-07-22",72.14,72.15,70.24,72.14,680800,33.9
"2008-07-23",72.09,72.41,71.07,72.41,456200,34.03
"2008-07-24",72.3,72.87,71.49,71.75,719200,33.72
"2008-07-25",72.15,72.15,70.86,70.98,377800,33.36
"2008-07-28",70.53,71.27,69.98,70.39,477200,33.08
"2008-07-29",70.75,70.89,69.96,70.61,634800,33.18
"2008-07-30",70.77,71.12,69.8,70.88,591200,33.31
"2008-07-31",71.4,72.25,70.7,71.96,713100,33.82
"2008-08-01",72.68,72.71,71.04,71.3,425700,33.51
"2008-08-04",71.1,72.25,71.1,71.78,328500,33.73
"2008-08-05",71.77,73.63,71.77,73.63,675200,34.6
"2008-08-06",73.7,74.56,73.13,74.49,323100,35.01
"2008-08-07",73.71,73.95,72.34,72.64,465200,34.14
"2008-08-08",72.69,74.73,71.97,74.73,398200,35.12
"2008-08-11",74.73,77.14,74.32,77.1,744600,36.23
"2008-08-12",76.75,77.09,75.06,76.67,589800,36.03
"2008-08-13",76.62,76.62,75.48,76.24,483000,35.83
"2008-08-14",75.74,77.01,74.77,76.94,625400,36.16
"2008-08-15",77.33,78.72,77.17,77.57,568500,36.45
"2008-08-18",77.43,77.95,76.39,76.93,616400,36.15
"2008-08-19",76.93,77.18,76.18,76.4,414000,35.9
"2008-08-20",76.18,76.56,75.47,76.56,294900,35.98
"2008-08-21",75.39,76.25,75.39,76.22,440700,35.82
"2008-08-22",76.35,77.19,76.32,76.65,391800,36.02
"2008-08-25",76.51,76.85,75.81,75.95,518700,35.69
"2008-08-26",75.88,76.3,75.44,75.82,380200,35.63
"2008-08-27",75.85,77.11,75.37,77.02,572200,36.19
"2008-08-28",74.5,74.5,71.61,74.17,1333500,34.86
"2008-08-29",73.15,73.64,71.95,72.01,953800,33.84
"2008-09-02",73.91,74.79,71.99,72.19,776100,33.92
"2008-09-03",74.09,74.09,71.66,72.07,700800,33.87
"2008-09-04",71.53,71.64,69.99,70.01,914700,33.06
"2008-09-05",70.08,71.83,69.11,71.46,866200,33.74
"2008-09-08",72.87,74.1,72.19,72.72,933800,34.34
"2008-09-09",72.77,73.78,72.32,72.48,644100,34.22
"2008-09-10",73.5,73.75,72.05,72.19,790600,34.09
"2008-09-11",72.02,73.27,71.18,73.26,475600,34.59
"2008-09-12",73.11,74.17,72.15,74.1,673400,34.99
"2008-09-15",71.33,74.25,70.38,72.59,899800,34.27
"2008-09-16",72.84,73.32,69.31,72.31,1021500,34.14
"2008-09-17",70.74,72.2,70.46,70.48,1035900,33.28
"2008-09-18",72,74.61,70.83,74.19,1509900,35.03
"2008-09-19",76,76.6,60,73.68,2043300,34.79
"2008-09-22",73.28,73.93,71.6,71.7,402300,33.85
"2008-09-23",71.71,75.2,70.15,70.44,517600,33.26
"2008-09-24",70.37,72.58,70.36,71.17,446700,33.6
"2008-09-25",71.41,73.7,70.34,73.06,732900,34.5
"2008-09-26",72.69,73.49,71.33,72.44,539200,34.2
"2008-09-29",72.42,74.73,69.91,69.91,592600,33.01
"2008-09-30",71.63,72.59,70.84,71.81,976200,33.91
"2008-10-01",71.8,72.27,70.37,72.05,696900,34.02
"2008-10-02",72.15,72.6,70.73,70.73,541800,33.4
"2008-10-03",71.2,72.48,69.82,69.82,575400,32.97
"2008-10-06",68.51,71.07,67.26,68.57,1143200,32.38
"2008-10-07",69,70.65,67.58,68.52,1381600,32.35
"2008-10-08",67.44,69.29,67.19,67.71,1498200,31.97
"2008-10-09",67.03,68.09,62.53,62.97,1263200,29.73
"2008-10-10",60.68,61.5,58.47,59.11,2691800,27.91
"2008-10-13",61.05,63.54,58.3,63.36,1233300,29.92
"2008-10-14",69.7,69.7,63.24,64.32,794100,30.37
"2008-10-15",63.45,64.33,59.96,60.02,715400,28.34
"2008-10-16",60.99,60.99,58,59.74,1538200,28.21
"2008-10-17",58.7,61.02,58.08,58.7,945900,27.72
"2008-10-20",58.78,60.9,58.75,60.86,482700,28.74
"2008-10-21",60.26,61.31,59.38,59.58,388800,28.13
"2008-10-22",58.18,58.71,55.62,56.66,721800,26.75
"2008-10-23",57.01,58.65,53.89,57.1,996800,26.96
"2008-10-24",54.67,55.5,52.42,54.4,797200,25.69
"2008-10-27",53.05,55.68,52.62,53.43,793200,25.23
"2008-10-28",45.69,45.97,41.94,45.97,1052400,27.13
"2008-10-29",45.5,45.82,43.9,44.16,779400,26.06
"2008-10-30",46.1,46.52,44.68,45.68,710100,26.96
"2008-10-31",46.09,47.05,44.82,45.4,702900,26.8
"2008-11-03",45.37,46.55,45.12,45.51,501600,26.86
"2008-11-04",46.39,47.76,46.28,47.55,721000,28.06
"2008-11-05",46.95,48.19,46.16,46.91,733800,27.69
"2008-11-06",46.7,47.38,45.38,45.52,668400,26.87
"2008-11-07",45.72,47.09,45.6,47.07,548800,27.78
"2008-11-10",47.62,48.31,46.55,47.41,564800,27.98
"2008-11-11",47.01,47.01,45.08,45.92,501300,27.1
"2008-11-12",45.08,47.27,44.01,44.5,536800,26.26
"2008-11-13",44.86,48.04,44.26,48.04,795600,28.35
"2008-11-14",47.29,48.45,46.54,47.22,831200,27.87
"2008-11-17",46.58,48.01,46.4,46.78,728000,27.61
"2008-11-18",46.6,48.1,45.87,48.1,951000,28.39
"2008-11-19",48.1,48.98,46.61,46.67,613400,27.55
"2008-11-20",46.46,46.67,43.17,43.45,1404600,25.64
"2008-11-21",44,44.91,41.66,43.67,1728800,25.77
"2008-11-24",44.55,45,42.54,43.23,1619700,25.51
"2008-11-25",44.2,44.68,40.81,41.23,2278800,24.33
"2008-11-26",41.15,43.26,40.46,42.84,963600,25.28
"2008-11-28",43.05,43.93,42.85,43.89,334000,25.9
"2008-12-01",43.02,44.05,42.45,43.01,1196100,25.38
"2008-12-02",43.5,44.21,42.7,44.1,1028600,26.03
"2008-12-03",43.25,45.05,43.04,44.37,1145600,26.19
"2008-12-04",43.79,44.82,43.05,43.88,1057400,26.07
"2008-12-05",45.6,48.34,44.01,48.1,1617300,28.57
"2008-12-08",49.44,51.38,48.32,50.94,1353000,30.26
"2008-12-09",50.76,51.03,48.74,50.22,819900,29.83
"2008-12-10",50.5,51.68,49.87,50.84,733200,30.2
"2008-12-11",50.65,52.18,49.96,50.58,872200,30.05
"2008-12-12",49.36,49.98,48.46,49.08,939300,29.16
"2008-12-15",49.55,50.17,48.79,49.4,788000,29.35
"2008-12-16",50.76,51.46,49.25,51.46,786900,30.57
"2008-12-17",51.26,51.36,50.42,50.92,562500,30.25
"2008-12-18",50.77,51.89,49.94,50.4,588900,29.94
"2008-12-19",48.82,51.21,48.82,49.73,1112200,29.54
"2008-12-22",49.46,50.31,49.08,50.22,725200,29.83
"2008-12-23",50.5,50.99,49.67,49.89,440400,29.64
"2008-12-24",49.63,50.66,49.05,49.79,282200,29.58
"2008-12-26",49.49,50.04,49.17,49.81,264600,29.59
"2008-12-29",49.73,49.92,48.81,49.47,413100,29.39
"2008-12-30",50.27,50.65,49.8,50.65,346500,30.09
"2008-12-31",50.95,51.49,50.56,51.49,585600,30.59
"2009-01-02",52.11,52.96,50.16,52.8,562400,31.37
"2009-01-05",51.98,52.97,51.53,52.95,671200,31.46
"2009-01-06",53.13,53.49,50.65,51.44,623600,30.56
"2009-01-07",50.9,50.9,49.06,49.29,765600,29.28
"2009-01-08",49.38,49.68,48.31,49.67,629700,29.51
"2009-01-09",50.21,50.31,48.6,48.83,675000,29.01
"2009-01-12",48.94,49.2,48.47,48.71,453400,28.94
"2009-01-13",48.82,48.88,48.01,48.4,650400,28.75
"2009-01-14",47.7,48.19,46.48,46.66,691400,27.72
"2009-01-15",46.85,47.41,46.66,47.05,1182200,27.95
"2009-01-16",47.83,49,47.53,48.66,885000,28.91
"2009-01-20",48.51,49.33,47.69,47.88,667000,28.44
"2009-01-21",48.01,48.99,46.93,47.92,805200,28.47
"2009-01-22",46.73,47.92,46.57,47.73,838000,28.35
"2009-01-23",46.57,46.79,45.49,46.09,723900,27.38
"2009-01-26",46.51,47.06,46.08,46.32,440400,27.52
"2009-01-27",46.73,47.28,46.45,47.14,369300,28
"2009-01-28",47.95,48,47.06,47.76,495600,28.37
"2009-01-29",47.38,47.79,46.66,47.24,924800,28.06
"2009-01-30",46.92,47.13,45.17,45.41,824000,26.98
"2009-02-02",44.84,45.48,43.85,45.33,906900,26.93
"2009-02-03",45.4,47.3,44.85,47.21,1344200,28.05
"2009-02-04",47.65,47.65,46.46,46.73,796500,27.76
"2009-02-05",46.55,47.39,46.25,47.16,584600,28.02
"2009-02-06",47.47,48.41,46.73,48.18,542600,28.62
"2009-02-09",47.75,48.14,46.5,46.84,502200,27.83
"2009-02-10",46.07,46.84,44.31,44.48,578800,26.42
"2009-02-11",44.61,45,44.32,44.56,711000,26.47
"2009-02-12",44.02,44.9,43.48,44.88,744000,26.66
"2009-02-13",44.68,45.15,44.2,44.2,579600,26.26
"2009-02-17",42.85,43.73,42.37,42.72,1353600,25.38
"2009-02-18",43.07,43.3,42.19,42.92,762600,25.5
"2009-02-19",43.3,43.58,42.72,43.07,726200,25.59
"2009-02-20",42.75,43.54,42.47,43.15,1104300,25.63
"2009-02-23",43.44,43.96,42.66,42.73,670400,25.38
"2009-02-24",43.04,43.56,42.51,43.45,600400,25.81
"2009-02-25",43.42,44.62,42.71,43.92,890200,26.09
"2009-02-26",44.42,44.42,42.82,42.92,755000,25.5
