"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2010-07-20",59.9,62.56,59.9,62.45,1092800,38.46
"2010-07-21",62.61,62.7,60.87,60.98,591800,37.56
"2010-07-22",61.53,62.33,61.53,62.13,405900,38.26
"2010-07-23",62.06,63.12,62.06,63.08,345000,38.85
"2010-07-26",62.96,64.18,62.76,64.15,620200,39.51
"2010-07-27",64.36,65.05,64.09,64.63,423000,39.8
"2010-07-28",64.63,64.67,63.66,63.78,298800,39.28
"2010-07-29",64,64.14,63.05,63.47,428400,39.09
"2010-07-30",62.98,63.43,62.42,63.21,567300,38.93
"2010-08-02",64.05,64.85,64.05,64.75,446800,39.88
"2010-08-03",64.31,64.93,64.3,64.44,215700,39.69
"2010-08-04",64.37,65.03,64.19,64.52,414300,39.74
"2010-08-05",64.29,64.29,62.9,63.22,611400,38.94
"2010-08-06",62.77,62.77,61.01,62.54,678300,38.52
"2010-08-09",62.4,63.17,62.4,62.64,327300,38.58
"2010-08-10",62.44,63.15,62.17,62.9,483300,38.74
"2010-08-11",62.22,62.22,61.26,61.36,631000,37.79
"2010-08-12",60.85,61.21,60.37,61.03,601000,37.59
"2010-08-13",60.93,61.21,60.64,60.88,343800,37.49
"2010-08-16",60.51,60.59,59.99,60.54,360600,37.29
"2010-08-17",60.94,62.93,60.79,62.72,644000,38.63
"2010-08-18",62.79,62.79,61.74,62.16,403200,38.28
"2010-08-19",62.13,62.13,60.92,61.22,408300,37.7
"2010-08-20",60.61,61.41,60.61,61.25,333300,37.72
"2010-08-23",61.71,62.29,61.41,61.52,294600,37.89
"2010-08-24",61.19,62.23,60.79,61.87,587400,38.1
"2010-08-25",61.8,61.98,61,61.68,223400,37.99
"2010-08-26",61.94,61.94,61.11,61.21,323600,37.7
"2010-08-27",61.53,62.19,60.84,62.1,400400,38.25
"2010-08-30",61.88,62.38,61.09,61.09,505500,37.62
"2010-08-31",61.01,61.43,60.6,61.29,1013000,37.75
"2010-09-01",61.77,61.77,54.25,58.52,1606000,36.04
"2010-09-02",59.96,59.96,57.1,58.27,1437600,36.07
"2010-09-03",58.95,59.1,58.59,59.08,668800,36.57
"2010-09-07",59,59.4,58.8,58.94,656400,36.49
"2010-09-08",59.17,59.68,59.03,59.05,900800,36.56
"2010-09-09",59.59,59.85,59.12,59.29,722700,36.7
"2010-09-10",59.42,59.42,58.81,58.98,1228000,36.51
"2010-09-13",59.37,59.46,58.38,58.47,571800,36.2
"2010-09-14",58.48,60.34,58.34,60.24,830700,37.29
"2010-09-15",60.12,60.28,59.92,59.97,701700,37.12
"2010-09-16",59.89,60.89,59.81,60.85,581200,37.67
"2010-09-17",61.13,61.68,60.76,61.03,1430800,37.78
"2010-09-20",61.28,61.8,60.99,61.63,348000,38.15
"2010-09-21",61.67,61.85,60.91,60.95,438800,37.73
"2010-09-22",61,61.24,60.52,60.99,630600,37.76
"2010-09-23",60.63,61.17,60.21,60.89,533800,37.69
"2010-09-24",61.42,62.18,60.92,61.82,391200,38.27
"2010-09-27",61.85,62.02,61.23,61.24,405900,37.91
"2010-09-28",61.25,61.82,60.52,61.77,266100,38.24
"2010-09-29",61.5,61.76,60.94,61.49,442200,38.07
