"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2007-09-14",115.5,115.91,114.51,115.91,495500,88.13
"2007-09-17",115.86,115.99,114.47,114.98,287000,87.42
"2007-09-18",115.56,118.21,114.88,117.8,834800,89.57
"2007-09-19",118.65,119.89,117.5,118.12,852000,89.81
"2007-09-20",118.44,118.71,115.52,116.08,612100,88.26
"2007-09-21",117.48,117.53,115.75,116,704400,88.2
"2007-09-24",116.88,120.69,116.25,120.02,791200,91.26
"2007-09-25",119.23,119.46,117.81,118.57,594500,90.15
"2007-09-26",118.66,119.65,117.67,119.21,608300,91.29
"2007-09-27",119.88,120.75,118.69,119.39,413400,91.43
"2007-09-28",118.39,119,116.63,118.06,574000,90.41
"2007-10-01",118.06,119.89,117.75,119.49,719300,91.51
"2007-10-02",119.45,122.09,119.39,122.09,994700,93.5
"2007-10-03",122.51,123.4,121.04,121.96,1059300,93.4
"2007-10-04",121.52,122.75,119.15,122.28,736500,93.65
"2007-10-05",122.51,124.4,121.14,123.95,823200,94.92
"2007-10-08",120.86,122.28,120.56,120.83,592900,92.54
"2007-10-09",121.91,124.37,120.9,124.24,791900,95.15
"2007-10-10",124.5,125,123.24,124.2,556200,95.12
"2007-10-11",125,125.48,122.42,122.92,589300,94.14
"2007-10-12",123.61,123.66,119.51,120.29,566100,92.12
"2007-10-15",120.94,121.12,116.35,116.75,540800,89.41
"2007-10-16",116.21,116.33,112.51,114,1361300,87.3
"2007-10-17",115.21,115.21,111.01,114.04,698900,87.34
"2007-10-18",113.77,114.75,111.85,114.17,824900,87.44
"2007-10-19",113.41,113.74,108.79,109.11,1101000,83.56
"2007-10-22",108.08,112.26,107.5,111.82,935600,85.64
"2007-10-23",112.25,115.88,112.08,115.88,955100,88.74
"2007-10-24",116.17,116.44,111.9,115.22,809200,88.24
"2007-10-25",115.28,116.66,113.22,115.67,676600,88.58
"2007-10-26",116.73,117.99,115.09,117.85,557300,90.25
"2007-10-29",118.67,119.39,116.58,117.13,531100,89.7
"2007-10-30",117.17,119.99,117.17,119.34,483700,91.39
"2007-10-31",119.59,122.65,118,122.65,859100,93.93
"2007-11-01",120,120.45,113.47,114.44,1794500,87.64
"2007-11-02",115.19,115.19,110.44,112.17,1190400,85.9
"2007-11-05",110.5,111.2,107.27,109,957400,83.48
"2007-11-06",108.45,109.96,106.37,109.81,942100,84.1
"2007-11-07",107.25,107.61,104.9,104.9,1394800,80.34
