"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2007-06-08",73.8,74.32,73.16,74.22,615100,61.14
"2007-06-11",73.95,74.41,73.4,74.21,688500,61.13
"2007-06-12",74.21,74.26,72.94,72.95,847700,60.09
"2007-06-13",73.53,74.23,73.1,74.23,514200,61.14
"2007-06-14",74.08,74.9,74.08,74.52,464000,61.38
"2007-06-15",75.5,75.83,74.83,74.98,798400,61.76
"2007-06-18",75.03,75.59,74.7,74.81,438600,61.62
"2007-06-19",74.35,74.87,74.02,74.81,576500,61.62
"2007-06-20",75.01,75.55,74.21,74.21,705400,61.13
"2007-06-21",74.19,74.88,73.54,74.61,487400,61.46
"2007-06-22",74.18,74.78,73.43,73.58,1014100,60.61
"2007-06-25",73.67,74.46,73.4,73.82,832700,60.81
"2007-06-26",74.35,74.88,73.67,73.89,979300,60.86
"2007-06-27",73.28,75.39,73.2,75.31,991900,62.03
"2007-06-28",74.93,75,74.31,74.54,1038100,61.4
"2007-06-29",74.84,76.99,74.77,76.11,1505900,62.69
"2007-07-02",76.61,77.15,76.35,76.95,698000,63.38
"2007-07-03",76.85,76.99,76.51,76.53,252200,63.04
"2007-07-05",76.53,77.77,76.53,77.43,775000,63.78
"2007-07-06",77,77.26,76.81,77.05,554400,63.47
"2007-07-09",77.24,77.89,77.03,77.88,820000,64.15
"2007-07-10",77.35,77.69,76.7,76.71,925000,63.19
"2007-07-11",76.71,77.39,76.61,76.95,750200,63.38
"2007-07-12",77.13,78.34,76.95,78.34,939500,64.53
"2007-07-13",77.94,79,77.81,78.81,521400,64.92
"2007-07-16",78.5,79.49,78.27,78.71,704400,64.83
"2007-07-17",79.27,80.61,79.15,80.59,1348500,66.38
"2007-07-18",79.62,80.59,78.7,80.42,1300100,66.24
"2007-07-19",77.65,81.42,77.63,80.5,2537400,66.31
"2007-07-20",81.25,81.46,79.94,80.62,2625200,66.41
"2007-07-23",80.77,82.42,80.3,82.2,1371100,67.71
"2007-07-24",81.17,82.25,80.63,81.2,1774400,66.88
"2007-07-25",81.65,81.7,79.42,80.34,1672500,66.18
"2007-07-26",79.47,79.75,76.6,77.7,2028900,64
"2007-07-27",77.65,78.17,75.54,76.05,1697900,62.64
"2007-07-30",76,77.61,75.7,77.34,1152000,63.71
"2007-07-31",77.64,78.31,76.19,76.27,1363200,62.82
"2007-08-01",76.45,79.1,75.62,78.94,2392500,65.02
"2007-08-02",79.03,79.71,78.1,78.56,1033900,64.71
"2007-08-03",78.79,79.15,76.28,76.28,1256500,62.83
"2007-08-06",76.88,78.06,75.27,78.06,1659800,64.3
"2007-08-07",77.26,78.37,76.31,77.66,1221000,63.97
"2007-08-08",77.59,77.9,75.93,76.5,2055700,63.44
"2007-08-09",74.73,75.24,72.01,72.19,1520700,59.86
"2007-08-10",71.7,75.08,71.03,74.45,1416500,61.74
"2007-08-13",75,75.61,74.05,75.27,1236300,62.42
"2007-08-14",75.65,75.85,72.28,72.28,898100,59.94
"2007-08-15",72,72.74,70.44,70.57,1140800,58.52
"2007-08-16",70.23,72,67.81,71.35,2315300,59.17
"2007-08-17",73.85,74.17,71.31,72.37,1817600,60.01
"2007-08-20",72.6,73.5,72.3,73.38,917700,60.85
"2007-08-21",73.85,73.93,72.51,72.87,757000,60.43
"2007-08-22",73.38,74.25,72.94,73.17,1075000,60.68
"2007-08-23",73.35,73.65,71.87,72.78,1019100,60.35
"2007-08-24",72.5,74.05,72.39,74,881700,61.36
"2007-08-27",73.72,73.97,73.13,73.25,517600,60.74
"2007-08-28",72.95,73.22,71.21,71.28,632900,59.11
"2007-08-29",71.94,73.48,71.71,73.39,931900,60.86
"2007-08-30",72.6,73.89,72.57,73.5,838100,60.95
"2007-08-31",74.4,74.75,73.01,73.35,659900,60.83
"2007-09-04",73.65,74,72.76,73.63,603900,61.06
"2007-09-05",72.89,73.22,72.01,72.97,806200,60.51
"2007-09-06",73.35,74.18,72.72,73.81,840700,61.21
"2007-09-07",72.95,72.95,70.87,71.1,731300,58.96
"2007-09-10",71.36,71.91,70.25,71.37,983400,59.18
"2007-09-11",71.85,72.62,71.62,72.55,722700,60.16
"2007-09-12",72.45,74.95,72.41,74.5,1550100,61.78
"2007-09-13",75.36,75.66,74.63,75.01,980700,62.2
"2007-09-14",74.82,75.02,73.41,73.84,963500,61.23
"2007-09-17",73.7,74.38,73.47,73.67,623200,61.09
"2007-09-18",74.1,75.75,73.3,75.7,1019100,62.77
"2007-09-19",76.49,78,76.25,77.38,1418300,64.17
"2007-09-20",77.21,77.3,75.09,75.16,1021600,62.33
"2007-09-21",75.69,76.29,75,75,1515700,62.19
"2007-09-24",75.3,76.03,74.59,74.59,1188700,61.85
"2007-09-25",74.55,75.29,74,75.17,672600,62.33
"2007-09-26",75.47,76.21,75.03,75.6,889600,62.69
"2007-09-27",75.8,76.79,75.17,76.16,846000,63.16
"2007-09-28",75.81,76.16,75.27,75.55,1014200,62.65
"2007-10-01",75.54,77.29,75.54,76.91,687200,63.78
"2007-10-02",76.48,76.6,75.5,76.25,842800,63.23
"2007-10-03",75.8,76.74,75.71,76.28,771200,63.26
"2007-10-04",76.41,77.42,75.95,76.87,593200,63.74
"2007-10-05",77.7,78.84,77.24,78.53,752200,65.12
"2007-10-08",78.1,78.5,77.01,77.45,576100,64.23
"2007-10-09",77.51,78.46,77.25,78.18,576500,64.83
"2007-10-10",78.16,78.87,77.57,78.26,591600,64.9
"2007-10-11",78.64,79.76,77.81,78.14,686500,64.8
"2007-10-12",78.5,79.12,78.02,79.06,513200,65.56
"2007-10-15",79.26,79.95,77.37,77.98,671000,64.67
"2007-10-16",77.89,79,77.51,78.57,889000,65.15
"2007-10-17",79,79.5,77.03,77.7,790800,64.43
"2007-10-18",76,77.5,75.18,75.37,1818400,62.5
"2007-10-19",75.11,75.58,74.15,74.15,1961300,61.49
"2007-10-22",73.44,74.81,73.26,74.47,1278800,61.75
"2007-10-23",75.1,75.56,74.01,74.78,910000,62.01
"2007-10-24",74.49,74.77,73.79,74.51,1130600,61.79
"2007-10-25",74.64,75.11,73.16,73.44,1366500,60.9
"2007-10-26",74.14,74.21,73.32,73.54,724900,60.98
"2007-10-29",74,74.27,73.6,74.08,949600,61.43
"2007-10-30",73.87,74.02,72.66,72.84,938000,60.4
"2007-10-31",73.25,74.75,72.79,74.74,940900,61.98
"2007-11-01",74.5,74.5,72.8,72.96,961900,60.5
"2007-11-02",73.93,73.93,72.38,73.28,740100,60.77
"2007-11-05",72.99,73.22,71.89,72.47,860300,60.1
"2007-11-06",73,73.88,71.98,73.73,744900,61.14
"2007-11-07",72.8,72.88,70.48,70.48,1016500,58.86
"2007-11-08",70.54,71.91,69.83,71.63,1247300,59.82
"2007-11-09",70.63,70.9,69.21,69.27,1290200,57.85
"2007-11-12",69.01,69.9,68.47,68.49,1033300,57.2
"2007-11-13",69.27,69.5,68.2,68.6,1313500,57.29
"2007-11-14",69.15,69.21,68.07,68.08,1266200,56.86
"2007-11-15",67.8,68.9,66.85,67.36,1316700,56.26
"2007-11-16",67.68,68,66.03,66.79,1488400,55.78
"2007-11-19",66.63,66.93,65.34,65.43,1198200,54.64
"2007-11-20",65.4,66.87,65.2,66.25,1164700,55.33
"2007-11-21",65.37,66.29,65.22,65.41,1155100,54.63
"2007-11-23",65.97,66.66,65.45,66.5,343400,55.54
"2007-11-26",66.45,67.95,65.73,66,1089900,55.12
"2007-11-27",66.21,66.82,64.93,66,1675300,55.12
"2007-11-28",66.07,68.65,66.07,68.64,2073500,57.32
"2007-11-29",68.28,70.32,67.81,68.41,1127300,57.13
"2007-11-30",69.09,69.09,67.65,68.64,1655900,57.32
"2007-12-03",68.16,69.05,68.09,68.43,1112900,57.15
"2007-12-04",68.16,68.65,67.7,68.07,710600,56.85
"2007-12-05",68.84,68.84,68.3,68.77,1018400,57.43
"2007-12-06",68.75,69.29,68.38,69,840300,57.62
"2007-12-07",69.55,70.54,69.13,70.28,668700,58.69
"2007-12-10",70.81,71.07,70.21,70.85,508000,59.17
"2007-12-11",70.92,70.96,68.44,68.54,934100,57.24
"2007-12-12",69.94,70.51,68.71,69.61,854700,58.13
"2007-12-13",69.64,70.62,69.16,70.5,1121400,58.88
"2007-12-14",69.39,70.44,69.39,69.4,983500,57.96
"2007-12-17",69.46,69.49,67.91,68,1137700,56.79
"2007-12-18",68.8,69.67,67.97,69.45,1331300,58
"2007-12-19",69.95,69.95,68.32,68.69,906800,57.37
"2007-12-20",69.1,69.97,68.6,69.81,887400,58.3
"2007-12-21",70.49,71.82,69.64,71.72,1433500,59.9
"2007-12-24",71.73,72.21,71.51,71.8,196200,59.96
"2007-12-26",71.57,71.95,70.89,71.86,418700,60.01
"2007-12-27",68.75,70.99,68.75,70.6,1306700,58.96
"2007-12-28",71.33,71.53,70.07,70.43,753500,58.82
"2007-12-31",70.38,70.78,70.09,70.23,687200,58.65
"2008-01-02",71,71,68.11,68.6,1203000,57.29
"2008-01-03",68.91,69,67.51,67.83,1245100,56.65
"2008-01-04",67.38,67.5,66.48,66.66,1251900,55.67
"2008-01-07",67.46,67.72,65.7,67,1764400,55.95
"2008-01-08",67.46,68,65.15,65.22,2003700,54.47
"2008-01-09",63.88,65.47,63.41,65.03,2529900,54.31
"2008-01-10",64.94,65.66,63.49,65.11,1860400,54.38
"2008-01-11",64.64,64.64,63.12,63.2,2081000,52.78
"2008-01-14",63.34,64.88,63.34,64.58,1293700,53.93
"2008-01-15",63.37,64.15,62.25,62.25,1577800,51.99
"2008-01-16",62.51,63.01,61.24,61.57,2438800,51.42
"2008-01-17",63.56,66.1,62.39,62.64,3188600,52.31
"2008-01-18",62.47,63.88,60.71,62.06,2565000,51.83
"2008-01-22",59.11,62.51,59.1,61.51,2858400,51.37
"2008-01-23",59.83,64,58.59,63.93,2467200,53.39
"2008-01-24",63.76,65.24,63.13,63.78,1968300,53.27
"2008-01-25",64.79,65.75,62.7,63,1829700,52.61
"2008-01-28",63.32,64.56,62.47,64.5,1498700,53.87
"2008-01-29",65.03,65.67,64.31,64.54,1465000,53.9
"2008-01-30",64.5,65.91,63.62,63.89,1544800,53.36
"2008-01-31",63.6,66.67,63.03,65.37,1781000,54.59
"2008-02-01",65.98,67.28,65.74,67.19,1162700,56.11
"2008-02-04",67.75,67.92,66.26,66.42,1388700,55.47
"2008-02-05",65.16,65.96,64.34,64.34,908700,53.73
"2008-02-06",65.08,65.99,64.37,64.65,945300,53.99
"2008-02-07",63.96,65.03,63.71,64.34,1192200,53.73
"2008-02-08",63.93,64.73,63.42,64.37,992700,53.76
"2008-02-11",64,65.11,63.89,64.8,834100,54.12
"2008-02-12",64.62,65.84,64.32,65.07,1171800,54.34
"2008-02-13",65.99,66.41,65.02,65.57,1384000,54.76
"2008-02-14",65.47,65.51,64,64.19,1405300,53.61
"2008-02-15",64.02,64.26,62.87,63.85,1980500,53.32
"2008-02-19",64.71,65.57,64.27,65.24,1297000,54.48
"2008-02-20",62.49,64.09,62.49,63.69,1671000,53.62
"2008-02-21",64.08,64.45,63.55,64,1750600,53.88
"2008-02-22",64.39,64.44,62.91,64.38,1122200,54.2
"2008-02-25",64.59,66,64.16,66,1286100,55.56
"2008-02-26",65.77,66.42,65.13,65.76,1388800,55.36
"2008-02-27",65.49,66.1,64.94,65.18,1652000,54.87
"2008-02-28",64.41,64.87,63.1,63.88,2521100,53.78
"2008-02-29",63.53,63.57,61.6,61.98,1669600,52.18
"2008-03-03",62.03,62.69,61.69,62.67,1773100,52.76
"2008-03-04",62,62.35,60.48,61.28,2089900,51.59
"2008-03-05",61.51,62.23,61.21,61.74,2472500,51.98
"2008-03-06",61.05,61.75,60.59,60.65,1894100,51.06
"2008-03-07",60.05,60.07,58.23,58.57,2775200,49.31
"2008-03-10",58.74,58.74,57.25,57.5,2867000,48.41
"2008-03-11",59.29,59.73,57.77,59.73,2345300,50.28
"2008-03-12",59.5,60.81,59.26,59.82,1279200,50.36
"2008-03-13",59.11,60.89,58.3,60.57,1973700,50.99
"2008-03-14",60.77,61.01,58.05,59.01,2485500,49.68
"2008-03-17",57.71,59.31,57.15,58,2551400,48.83
"2008-03-18",59.7,60.89,58.42,59.94,1843000,50.46
"2008-03-19",60.68,61.18,58.4,58.4,1505600,49.16
"2008-03-20",58.47,59.49,58.12,59.04,1581600,49.7
"2008-03-24",58.9,61.78,58.6,60.55,1377800,50.97
"2008-03-25",60.99,61.43,60.29,61.06,805200,51.4
"2008-03-26",60.78,61.09,59.49,59.78,1197900,50.33
"2008-03-27",60.04,60.5,58.87,59.58,1172700,50.16
"2008-03-28",59.94,59.94,58.75,59.28,1181700,49.91
"2008-03-31",58.85,60.72,58.85,60.51,1770600,50.94
"2008-04-01",60.59,62.54,60.16,62.54,1639600,52.65
"2008-04-02",62.06,64.2,62.06,63.13,2704900,53.15
"2008-04-03",62.78,64.53,62.34,63.46,1666500,53.42
"2008-04-04",63.63,65.21,63.28,64.81,1516000,54.56
"2008-04-07",65.42,65.42,63.58,63.79,1458000,53.7
"2008-04-08",63.6,63.95,63.11,63.87,1232900,53.77
"2008-04-09",64.13,64.39,63.04,63.27,757500,53.26
"2008-04-10",63.15,64.12,62.72,63.7,1138500,53.63
"2008-04-11",63.09,64.07,62.82,63.18,993000,53.19
"2008-04-14",63.71,63.71,62.64,62.71,996800,52.79
"2008-04-15",62.93,63.5,62.52,63.03,883000,53.06
"2008-04-16",63.44,65.92,63.29,65.92,1984400,55.49
"2008-04-17",65.46,66.02,64.11,64.75,1423500,54.51
"2008-04-18",66.17,66.51,64.87,66.41,1343100,55.91
"2008-04-21",65.72,66.02,64.73,65.36,1423200,55.02
"2008-04-22",64.87,65.3,63.74,64.76,1498500,54.52
"2008-04-23",64.98,65.46,62.92,63.27,1130400,53.26
"2008-04-24",63.24,64.06,62.5,63.67,1140100,53.6
"2008-04-25",64.08,64.93,63.58,64.84,859900,54.59
"2008-04-28",65.14,66.53,62.97,63.42,1166400,53.39
"2008-04-29",63.21,63.63,62.13,62.33,1236200,52.47
"2008-04-30",62.18,63.08,61.04,61.37,1918900,51.66
"2008-05-01",61.26,62.74,60.43,62.41,1938500,52.54
"2008-05-02",62.7,63.58,62.32,62.85,1913600,52.91
"2008-05-05",62.76,63.35,62.07,63.24,1172800,53.24
"2008-05-06",63.21,63.6,62.29,63.33,1406000,53.31
"2008-05-07",63.35,64.07,62.71,62.76,1306800,52.83
"2008-05-08",62.76,63.25,62.28,63.11,681500,53.57
"2008-05-09",62.15,62.78,61.73,62.08,669200,52.7
"2008-05-12",62.47,63.03,61.3,63,936300,53.48
"2008-05-13",62.75,63.61,62.75,63.61,807900,54
"2008-05-14",63.89,65.39,63.55,64.95,1242500,55.14
"2008-05-15",65.11,65.8,64.32,65.62,1231900,55.7
"2008-05-16",65.42,66.46,65.42,66.24,1213000,56.23
"2008-05-19",66.19,66.19,64.43,64.68,1053600,54.91
"2008-05-20",64.01,64.93,64.01,64.59,889000,54.83
"2008-05-21",64.67,64.84,63.14,63.41,1487000,53.83
"2008-05-22",63.75,64.29,63.21,63.67,913800,54.05
"2008-05-23",63.68,63.7,62.28,62.47,1335700,53.03
"2008-05-27",62.49,62.68,61.67,62.22,1165400,52.82
"2008-05-28",62.58,63.36,62.02,63.36,1034000,53.79
"2008-05-29",62.71,63.86,62.42,63.41,985900,53.83
"2008-05-30",63.75,64.13,62.73,63.03,1084300,53.51
"2008-06-02",62.8,62.93,62.09,62.48,878800,53.04
"2008-06-03",60.85,62.18,60.85,61.4,1768800,52.12
"2008-06-04",61.43,62.72,61.28,61.86,1253400,52.51
"2008-06-05",62.47,63.11,61.97,63.11,849300,53.57
"2008-06-06",62.7,62.7,61.18,61.23,1446100,51.98
"2008-06-09",61.55,61.64,60.16,60.88,1263500,51.68
"2008-06-10",60.08,60.55,59.48,60.35,1275400,51.23
"2008-06-11",60.16,60.73,59.85,60,1163300,50.93
"2008-06-12",60,60.43,59.31,59.76,1789000,50.73
"2008-06-13",60,62.05,59.9,61.97,1953400,52.61
"2008-06-16",61.55,62.19,61.26,61.86,1158300,52.51
"2008-06-17",62.09,62.44,61.46,61.59,870100,52.28
"2008-06-18",61.32,61.32,60.26,60.68,933900,51.51
"2008-06-19",60.65,61.41,60.16,60.97,1018100,51.76
"2008-06-20",60.5,60.96,59.48,59.97,1405300,50.91
"2008-06-23",60.35,60.77,59.71,60.6,891000,51.44
"2008-06-24",60.45,60.5,58.91,59.09,1353900,50.16
"2008-06-25",59.16,59.63,58.88,59.08,1631900,50.15
"2008-06-26",58.53,58.63,57.15,57.2,1334500,48.56
"2008-06-27",57.15,57.64,56.81,57.15,1154900,48.51
"2008-06-30",57.11,57.89,56.39,57.37,2082700,48.7
"2008-07-01",56.83,57.68,56.4,57.51,1819700,48.82
"2008-07-02",57.88,57.97,55.56,55.65,1903900,47.24
"2008-07-03",56,56.37,54.65,55.63,1144100,47.22
"2008-07-07",55.9,56.55,55.16,55.65,1286800,47.24
"2008-07-08",55.14,56.41,55,56.3,1903900,47.79
"2008-07-09",56.48,56.85,54.66,54.67,1816400,46.41
"2008-07-10",55.29,56.57,54.7,55.43,2361900,47.05
"2008-07-11",54.83,55.85,54.04,55.42,1964400,47.05
"2008-07-14",56.58,56.58,54.89,55.14,1672100,46.81
"2008-07-15",54.62,56.38,54.34,55.79,2120000,47.36
"2008-07-16",56.05,57.08,54.9,57.08,2654300,48.45
"2008-07-17",58.5,61.55,58.5,61.04,3302900,51.82
"2008-07-18",60.97,62.41,60.15,60.78,2093500,51.6
"2008-07-21",61.15,61.33,60.06,60.97,1780300,51.76
"2008-07-22",60.62,61.75,60.37,61.61,2339200,52.3
"2008-07-23",61.81,62.66,61.19,62.18,2609000,52.78
"2008-07-24",62.07,62.31,60.92,61,1783100,51.78
"2008-07-25",61.33,61.72,60.35,60.48,1778700,51.34
"2008-07-28",60.41,60.8,59.34,59.59,1453200,50.59
"2008-07-29",59.95,60.72,58.67,60.26,1694400,51.15
"2008-07-30",60.72,61.67,60.41,61.67,1451600,52.35
"2008-07-31",61.27,61.9,60.43,60.64,1136900,51.48
"2008-08-01",60.74,61.05,59.12,59.14,754700,50.2
"2008-08-04",59.06,59.1,58.12,58.31,970600,49.5
"2008-08-05",58.71,60.5,58.64,60.5,1282500,51.36
"2008-08-06",60.45,62.14,60.45,61.96,1937600,52.6
"2008-08-07",61.26,62.87,60.78,61.29,2070700,52.47
"2008-08-08",61.49,63.39,60.76,63.34,1546000,54.22
"2008-08-11",63.11,64.68,62.63,64.37,1658600,55.11
"2008-08-12",64.02,64.86,63.91,64.25,996000,55
"2008-08-13",63.9,64.23,61.92,63.43,1500200,54.3
"2008-08-14",63.07,63.42,62.32,63.18,1436600,54.09
"2008-08-15",63.22,64.72,62.38,64.57,1183100,55.28
"2008-08-18",64.97,64.98,64.06,64.25,1413200,55
"2008-08-19",63.83,64.35,62.75,63.09,961300,54.01
"2008-08-20",62.75,63.49,62.43,63.43,758000,54.3
"2008-08-21",63.05,63.14,61.94,62.49,1202900,53.5
"2008-08-22",62.48,63.18,62,62.45,1206900,53.46
"2008-08-25",62.27,62.32,60.6,61.34,1285700,52.51
"2008-08-26",61.28,61.74,60.8,61.74,1017600,52.85
"2008-08-27",61.71,62.2,61.62,61.92,597900,53.01
"2008-08-28",62.41,63.66,62.2,63.51,1363100,54.37
"2008-08-29",63.29,63.57,62.82,62.86,818200,53.81
"2008-09-02",64.09,65.97,63.6,65.29,2071200,55.89
"2008-09-03",66.39,67.7,65.96,66.73,2346300,57.13
"2008-09-04",66.39,66.39,64.07,65.54,1874000,56.11
"2008-09-05",65.07,65.35,63.9,65.09,1662200,55.72
"2008-09-08",65.1,66.28,64.69,65.85,1604000,56.37
"2008-09-09",65.61,66.46,64.56,64.61,1776000,55.31
"2008-09-10",65.15,65.7,64.26,64.88,2447300,55.54
"2008-09-11",64.07,66.77,63.65,66.67,1715100,57.07
"2008-09-12",66.25,67.83,65.94,67.77,1568600,58.02
"2008-09-15",65.46,69.05,65.46,66.63,1715400,57.04
"2008-09-16",65.66,67.59,64.05,67.35,2240600,57.66
"2008-09-17",66.04,66.73,63.73,66.5,2675000,56.93
"2008-09-18",67.27,68.63,63.9,67.31,4233800,57.62
"2008-09-19",67.21,69.89,66.77,66.97,3011400,57.33
"2008-09-22",66.33,67.83,64.5,64.8,1577000,55.47
"2008-09-23",64.8,65.5,62.11,62.22,2089300,53.26
"2008-09-24",61.96,61.96,59.12,59.74,2586000,51.14
"2008-09-25",59.93,61.99,59.3,61.16,1682900,52.36
"2008-09-26",60.14,61.56,60.06,61.44,1263800,52.6
"2008-09-29",60.56,61.65,57.09,57.65,2340300,49.35
"2008-09-30",58.86,58.86,57.58,58.32,1672200,49.93
"2008-10-01",57.82,59.1,56.68,57.92,1489000,49.58
"2008-10-02",57.89,57.89,55.57,55.69,1458000,47.67
"2008-10-03",56.4,57.48,55,55.11,1555100,47.18
"2008-10-06",54.6,55.03,51.54,54.67,2007100,46.8
