"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2007-12-20",68.56,69.59,68.43,69.44,2562600,54.44
"2007-12-21",69.25,70.24,69.13,69.29,4496000,54.32
"2007-12-24",69.64,69.96,69.26,69.83,783200,54.74
"2007-12-26",69.97,70.15,69.5,70.09,1686500,54.95
"2007-12-27",69.7,70,69.34,69.5,1530100,54.48
"2007-12-28",69.93,70.35,69.69,69.94,1473500,54.83
"2007-12-31",69.66,70.31,69.33,69.34,1392100,54.36
"2008-01-02",69.08,69.49,68.55,68.82,2049300,53.95
"2008-01-03",68.67,69.56,68.67,69.18,2484200,54.23
"2008-01-04",69.06,69.38,68.65,68.97,3164900,54.07
"2008-01-07",69.26,69.69,68.93,69.49,2645800,54.47
"2008-01-08",69.24,69.5,68.09,68.3,2903300,53.54
"2008-01-09",68.52,69.5,68.35,69.5,3791400,54.48
"2008-01-10",69,69.39,68.38,68.4,3472100,53.62
"2008-01-11",67.91,68.32,66.45,66.77,3849200,52.34
"2008-01-14",67.23,67.72,66.81,67.52,2144200,52.93
"2008-01-15",66.83,67.68,66.62,67.2,2465200,52.68
"2008-01-16",67.03,67.46,66.54,66.64,3386800,52.24
"2008-01-17",67,67,65.75,65.85,2780900,51.62
"2008-01-18",66.1,66.25,64.87,65.06,3740800,51
"2008-01-22",62.84,65.31,62.16,64.54,6060400,50.59
"2008-01-23",62.96,64.88,62.96,64.44,4658400,50.52
"2008-01-24",64,65.16,62.48,64.43,3568800,50.51
"2008-01-25",64.92,64.92,63.4,64.08,3653800,50.23
"2008-01-28",64.29,64.79,63.49,63.91,3620000,50.1
"2008-01-29",64.28,65.84,64.1,65.44,3758000,51.3
"2008-01-30",65.04,65.59,64.3,64.52,2616500,50.58
"2008-01-31",63.73,65.88,63.73,65.63,3034200,51.45
"2008-02-01",65.5,67.11,65.5,67.04,3403400,52.55
"2008-02-04",66.9,66.9,65.8,66.04,1917700,51.77
"2008-02-05",65.01,65.95,65.01,65.44,2594500,51.3
"2008-02-06",65.76,65.91,64.92,65.3,2338700,51.19
"2008-02-07",65.2,65.63,64.61,65.06,2670200,51
"2008-02-08",64.84,65.09,64.3,64.57,2247700,50.62
"2008-02-11",64.6,64.87,64.22,64.71,3283300,50.73
"2008-02-12",64.98,65.81,64.67,65.61,4603200,51.43
"2008-02-13",66.03,66.38,65.02,65.31,4266700,51.2
"2008-02-14",65.19,65.28,63.94,64.15,3993500,50.29
"2008-02-15",64.03,64.43,63.7,64.43,3166000,50.51
"2008-02-19",65.03,65.03,63.89,64.01,2551700,50.18
"2008-02-20",63.58,64.27,63.53,64.26,3128900,50.38
"2008-02-21",64.2,64.69,63.9,64.14,3475900,50.28
"2008-02-22",64.2,65.13,64.12,65.04,3305900,50.99
"2008-02-25",65.05,65.68,65.05,65.5,2398800,51.35
"2008-02-26",65.06,66.14,64.88,65.95,2136300,51.7
"2008-02-27",65.76,66.57,65.68,66.21,2343000,51.9
"2008-02-28",65.84,66.33,65.46,65.76,2201300,51.55
"2008-02-29",65.22,65.65,65.03,65.18,2242400,51.1
"2008-03-03",65.22,65.55,64.84,65.55,2129400,51.39
"2008-03-04",65.12,65.24,64.35,64.99,2830000,50.95
"2008-03-05",64.55,64.89,64.05,64.47,3404100,50.99
"2008-03-06",64.4,64.45,63.88,63.93,2948300,50.57
"2008-03-07",63.8,64.08,63.17,63.52,4887900,50.24
"2008-03-10",63.45,64.03,63.45,63.62,2050400,50.32
"2008-03-11",64.11,64.39,63.48,63.94,2425200,50.58
"2008-03-12",63.96,64.17,63.09,63.15,2449500,49.95
"2008-03-13",63.39,63.82,62.7,63.64,2440400,50.34
"2008-03-14",64,64,62.57,62.99,3250100,49.82
"2008-03-17",62.83,63.68,62.76,63.27,4498300,50.05
"2008-03-18",64,64.46,63.41,64.46,3247800,50.99
"2008-03-19",64.97,65.54,64.42,64.46,3267400,50.99
"2008-03-20",64.54,65.74,64.33,64.97,2491200,51.39
"2008-03-24",65.1,65.25,64.6,64.96,2467400,51.38
"2008-03-25",64.87,65.51,64.62,65.43,1620000,51.75
"2008-03-26",65.11,65.29,64.67,65,2435900,51.41
"2008-03-27",65.27,65.3,64.3,64.32,1580400,50.88
"2008-03-28",64.45,64.49,63.69,64.08,1876000,50.69
"2008-03-31",64.19,64.77,63.65,64.55,1994000,51.06
"2008-04-01",64.83,65.5,64.64,65.5,2208300,51.81
"2008-04-02",65.21,65.88,65.13,65.57,1902900,51.86
"2008-04-03",65.42,65.59,64.55,65.28,1412000,51.64
"2008-04-04",65.71,65.71,65,65.28,2482100,51.64
"2008-04-07",65.55,65.55,64.67,65,1905400,51.41
"2008-04-08",64.91,64.93,64.49,64.75,1831200,51.22
"2008-04-09",64.01,64.07,63.22,63.46,3256200,50.2
"2008-04-10",63.52,63.75,63.23,63.46,3174600,50.2
"2008-04-11",63.2,64,63.2,63.38,2298100,50.13
"2008-04-14",63.23,64.28,63.23,63.91,1367500,50.55
"2008-04-15",64.19,64.19,63.56,63.86,1313400,50.51
"2008-04-16",64.4,64.4,63.25,63.62,2042500,50.32
"2008-04-17",63.56,63.83,63,63.12,2164100,49.93
"2008-04-18",63.93,64.18,63.13,63.34,3219700,50.1
"2008-04-21",64.48,64.55,63.45,64.03,2561000,50.65
"2008-04-22",64.97,64.97,64,64.37,2601300,50.92
"2008-04-23",64.35,64.5,63.77,63.99,2119000,50.62
"2008-04-24",64.2,64.34,63.44,63.73,1837000,50.41
"2008-04-25",64.17,64.17,63.11,63.77,1490100,50.44
"2008-04-28",63.9,64.24,63.43,63.91,1660200,50.55
"2008-04-29",63.94,64.15,63.65,63.86,1861600,50.51
"2008-04-30",64.12,64.61,63.77,63.99,3057700,50.62
"2008-05-01",63.84,64.75,63.84,64.74,1803100,51.21
"2008-05-02",65.01,65.31,64.22,64.63,2526300,51.12
"2008-05-05",64.83,64.83,64.05,64.39,1997400,50.93
"2008-05-06",64.24,64.75,63.93,64.57,2236800,51.07
"2008-05-07",64.25,64.51,63.16,63.2,3436600,49.99
"2008-05-08",63.45,63.48,62.81,63.08,2213300,49.9
"2008-05-09",62.94,62.94,62.29,62.35,2452900,49.32
"2008-05-12",62.6,62.92,61.94,62.65,2511600,49.56
"2008-05-13",63.1,63.54,63,63.34,2540300,50.1
"2008-05-14",63.75,63.75,63,63.09,2542600,49.9
"2008-05-15",63.13,63.71,62.68,63.64,2198200,50.34
"2008-05-16",63.86,63.86,63.16,63.42,2165900,50.16
"2008-05-19",63.32,63.87,63.32,63.76,1747400,50.43
"2008-05-20",63.76,64,63.55,63.72,2300900,50.4
"2008-05-21",63.71,64.09,62.92,63.04,2357200,49.86
"2008-05-22",63.16,63.77,62.96,63.7,1951800,50.39
"2008-05-23",63.29,63.63,62.7,62.79,1745000,49.67
"2008-05-27",62.94,63.63,62.89,63.46,2246100,50.2
"2008-05-28",63.57,63.72,63.12,63.44,1623900,50.18
"2008-05-29",63.57,64.44,63.41,64.22,1688900,50.8
"2008-05-30",64.5,64.5,63.8,63.8,1921100,50.46
"2008-06-02",63.68,63.68,62.52,62.98,2098000,49.82
"2008-06-03",63.13,63.42,62.96,63.08,3420200,49.9
"2008-06-04",62.77,63.39,62.53,63.1,1737600,50.37
"2008-06-05",63.2,63.45,62.92,63.29,1521900,50.53
"2008-06-06",62.93,63.23,62.1,62.11,2475800,49.58
"2008-06-09",62.46,62.46,61.84,62.07,2017400,49.55
"2008-06-10",61.75,62.99,61.69,62.55,2718000,49.94
"2008-06-11",62.13,62.55,61.75,61.83,2155700,49.36
"2008-06-12",61.98,62.76,61.97,62.25,1764400,49.7
"2008-06-13",62.6,62.86,62.16,62.62,1393200,49.99
"2008-06-16",62.09,62.21,61.32,61.99,2331000,49.49
"2008-06-17",62.3,62.51,62.09,62.28,1635800,49.72
"2008-06-18",61.93,62.69,61.93,62.1,2172800,49.58
"2008-06-19",62,62.61,61.81,62.35,2364800,49.78
"2008-06-20",62.01,62.27,61.03,61.18,2840700,48.84
"2008-06-23",61.39,61.84,60.86,61.23,1606500,48.88
"2008-06-24",61,62.02,60.58,61.76,2546400,49.3
"2008-06-25",61.65,62.62,61.5,62.14,2255600,49.61
"2008-06-26",61.57,61.96,60.89,60.91,2045800,48.63
"2008-06-27",61.09,61.34,59.81,59.87,2406200,47.8
"2008-06-30",60.07,60.24,59.53,59.78,2866500,47.72
"2008-07-01",59.78,60.06,59.18,59.92,2438600,47.84
"2008-07-02",60.18,60.61,59.62,59.65,2695300,47.62
"2008-07-03",60.02,60.82,60.02,60.81,1639000,48.55
"2008-07-07",60.95,60.99,59.3,59.53,3214900,47.52
"2008-07-08",59.7,60.6,59.26,60.54,2718200,48.33
"2008-07-09",60.54,60.55,59.84,59.9,2094100,47.82
"2008-07-10",60.09,60.2,59.41,60,2251700,47.9
"2008-07-11",59.5,59.85,59,59.32,2495700,47.36
"2008-07-14",59.86,60.11,58.62,58.8,2678600,46.94
"2008-07-15",54.25,57.68,50.42,55.01,10962200,43.92
"2008-07-16",54.69,55,54.18,54.73,4321600,43.69
"2008-07-17",54.9,55.57,54.29,55.33,4852600,44.17
"2008-07-18",55.48,55.48,54.73,54.99,4103900,43.9
"2008-07-21",55.28,55.28,54.75,54.97,3008200,43.88
"2008-07-22",54.69,55.88,54.69,55.7,4092100,44.47
"2008-07-23",55.99,56.84,55.77,56.69,2731500,45.26
"2008-07-24",56.53,56.88,55.35,55.35,2748500,44.19
"2008-07-25",55.56,56.49,55.56,55.99,2571300,44.7
"2008-07-28",55.97,56.68,55.85,56.1,2336500,44.79
"2008-07-29",56.33,57.47,56.22,57.46,2551200,45.87
"2008-07-30",57.61,58.77,57.51,58.34,3800100,46.57
"2008-07-31",58.07,58.5,57.61,57.83,2799500,46.17
"2008-08-01",58.16,58.32,57.4,57.85,2144200,46.18
"2008-08-04",57.91,59.3,57.88,58.94,1799000,47.05
"2008-08-05",58.95,60.6,58.79,60.57,2353700,48.35
"2008-08-06",60.43,60.88,60.15,60.58,1744500,48.36
"2008-08-07",60.28,60.63,58.22,58.43,3109700,46.65
"2008-08-08",58.55,61.45,58.33,61.42,2492800,49.03
"2008-08-11",61.4,61.61,60.53,61.38,2722300,49
"2008-08-12",61.08,62.3,60.99,62.03,2825200,49.52
"2008-08-13",61.99,62.26,60.7,61.65,2249600,49.22
"2008-08-14",61.27,62.43,61.22,62.43,2021800,49.84
"2008-08-15",62.44,63.05,62.1,62.92,2116600,50.23
"2008-08-18",62.96,63.29,62.39,62.76,1602100,50.1
"2008-08-19",62.61,62.73,61.8,62.09,1855700,49.57
"2008-08-20",61.98,61.98,60.73,60.99,2960900,48.69
"2008-08-21",60.38,61.05,60,60.99,1877200,48.69
"2008-08-22",61.16,62.12,60.95,62.03,1746300,49.52
"2008-08-25",61.75,61.88,60.76,60.94,1532400,48.65
"2008-08-26",60.68,61.27,60.48,61.04,1958000,48.73
"2008-08-27",61.02,61.39,60.68,61.17,1482200,48.83
"2008-08-28",61.41,62.84,61.06,62.72,2128200,50.07
"2008-08-29",62.47,62.78,61.64,61.68,2316800,49.24
"2008-09-02",62.51,63.28,61.9,62.88,2524800,50.2
"2008-09-03",62.51,63.24,61.82,62.19,2816800,50.11
"2008-09-04",61.96,62.25,61.24,61.27,2319000,49.37
"2008-09-05",61.27,62.31,61.05,62.19,2067100,50.11
"2008-09-08",62.99,64.19,62.68,63.9,2975200,51.49
"2008-09-09",64.99,66.66,64.56,65.23,6316700,52.56
"2008-09-10",65.06,65.28,64.24,64.36,3360900,51.86
"2008-09-11",63.58,64.4,63.4,64.32,3517700,51.83
"2008-09-12",64,64.61,63.62,64.58,2951000,52.04
"2008-09-15",63.42,65.81,63.42,64.35,2916700,51.85
"2008-09-16",63.96,65.03,63.5,64.66,3685100,52.1
"2008-09-17",64.33,65.55,63.97,64.37,5414000,51.87
"2008-09-18",65.05,65.39,63.68,64.73,4806300,52.16
"2008-09-19",65.89,66.32,64.26,66.06,5793900,53.23
"2008-09-22",65.52,65.69,63.65,64,3262100,51.57
"2008-09-23",64.01,64.99,63.41,63.49,2413000,51.16
"2008-09-24",63.55,64.51,62.92,63.85,1913500,51.45
"2008-09-25",64.37,65.16,64.01,64.46,2747800,51.94
"2008-09-26",63.86,66.18,63.86,66.07,3156900,53.24
