"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2008-10-06",78.01,81.69,74.88,81.34,3794800,68.54
"2008-10-07",81.69,82.39,74.95,75.95,3727000,64
"2008-10-08",74,79.91,73.38,75.01,3377000,63.21
"2008-10-09",75.5,77.23,66.33,66.55,3300400,56.08
"2008-10-10",65,79.46,64,76.18,7637300,64.19
"2008-10-13",78.33,84.36,75.81,83.49,3865200,70.35
"2008-10-14",87.5,87.5,72,76.97,4097000,64.86
"2008-10-15",76,76.03,64.09,64.89,4098700,54.68
"2008-10-16",67.35,68.61,63,68,5065600,57.3
"2008-10-17",66.72,72.28,63.71,68.56,2212700,57.77
"2008-10-20",69.1,69.7,64.27,69.7,1958600,58.73
"2008-10-21",68.15,73.21,67.12,69.75,2738200,58.78
"2008-10-22",67.37,69.95,62.56,64.82,3372100,54.62
"2008-10-23",65.05,66.98,59.18,64.58,4040400,54.42
"2008-10-24",60,63.79,59.49,61.24,2945800,51.6
"2008-10-27",60.01,65.6,57.63,58.5,3367000,49.3
"2008-10-28",59.23,72.5,57.68,72.5,4603600,61.09
"2008-10-29",70.35,70.95,61.3,64.84,5006700,54.64
"2008-10-30",66.57,67.66,64,66.67,2970600,56.18
"2008-10-31",67.08,70.88,65.5,70.88,2529600,59.73
"2008-11-03",70.42,71.82,65.59,66.49,2041500,56.03
"2008-11-04",66.65,73.05,65.15,72.38,2972100,60.99
"2008-11-05",71.36,71.81,63.33,64.49,3021700,54.34
"2008-11-06",64.99,64.99,60.88,61.27,2803800,51.63
"2008-11-07",62.22,65.25,59.33,64.2,2169200,54.1
"2008-11-10",64.54,64.54,58,58.31,2417900,49.14
"2008-11-11",57.5,58.81,55.34,58.35,2737300,49.17
"2008-11-12",57.16,57.36,53.55,54.01,4200500,45.51
"2008-11-13",53.01,59.47,51.14,57.07,4676200,48.09
"2008-11-14",56.71,57.12,51.71,52.4,2689300,44.16
"2008-11-17",51.26,52.74,49.21,49.4,3020400,41.63
"2008-11-18",49.56,50.48,46.58,49.59,3600400,41.79
"2008-11-19",49.6,49.6,42.54,43.6,4875300,36.74
"2008-11-20",42.2,48.52,41.85,43.28,8048600,36.47
"2008-11-21",43.54,45.43,37.52,43.65,9053500,36.78
"2008-11-24",45,53.42,43.55,51.98,6524000,43.8
"2008-11-25",54.05,54.33,48.59,52.38,5536900,44.14
"2008-11-26",51.25,55.49,49.83,54.94,4199400,46.3
"2008-11-28",55.65,55.65,52.95,53.4,1944400,45
"2008-12-01",51.01,52.68,42.58,44.49,4891100,37.49
"2008-12-02",45.49,49.44,44.87,48.94,5693400,41.24
"2008-12-03",47.25,52.09,45.89,51.74,5096600,43.6
"2008-12-04",50.24,54.98,49.07,50.83,5163300,42.83
"2008-12-05",50.63,55.91,48.72,55.67,4755300,46.91
"2008-12-08",56.88,60.95,54.5,60.95,4771300,51.36
"2008-12-09",59.31,61.31,55.84,56.46,4583900,47.58
"2008-12-10",56.75,60.48,56.46,60.1,3297800,50.64
"2008-12-11",58.51,59.17,50.35,51.12,5664600,43.08
"2008-12-12",48.76,56.02,48.25,56,5107100,47.19
"2008-12-15",55.08,55.74,50.61,52.5,3190500,44.24
"2008-12-16",54.99,61.16,52.6,61.16,5287300,51.54
"2008-12-17",59.49,63.9,57.33,60.51,3548100,50.99
"2008-12-18",61,61.7,55.63,56.23,5168700,47.38
"2008-12-19",55.56,57.46,54.37,56.79,3978300,47.86
"2008-12-22",56.69,56.97,51.55,53.65,2521700,45.21
"2008-12-23",54.36,55.33,52.55,53.33,1940100,44.94
"2008-12-24",53.49,54.06,52.42,53.34,586700,44.95
"2008-12-26",54.18,54.89,52.27,53.83,699300,45.36
"2008-12-29",52.85,52.85,49,50.41,1924700,43.02
"2008-12-30",51.37,53.37,50.22,52.91,2039100,45.16
"2008-12-31",52.79,55.48,52.75,55,2546900,46.94
"2009-01-02",55.3,56.78,54.3,55.13,2790900,47.05
"2009-01-05",55,55,52.2,52.6,3181400,44.89
"2009-01-06",53.1,56.07,51.74,55.55,3433200,47.41
"2009-01-07",54.4,55.65,52.87,53.36,2292200,45.54
"2009-01-08",52.87,55.09,51.45,54.7,2426100,46.68
"2009-01-09",54.66,55.48,51.99,52.31,2904600,44.64
"2009-01-12",50.77,51.46,47.85,48.6,2624500,41.48
"2009-01-13",49.11,51.31,48.34,49.87,3680200,42.56
"2009-01-14",48.38,48.59,45.39,46.43,4538700,39.63
"2009-01-15",46.25,46.81,42.76,46.31,5853000,39.52
"2009-01-16",47.49,48.33,44.76,48.05,3904700,41.01
"2009-01-20",46.13,47.01,40.69,40.96,5564400,34.96
"2009-01-21",41.75,43.81,40.49,43.15,7091000,36.83
"2009-01-22",41.84,43.86,40.69,41.34,4789800,35.28
"2009-01-23",39.95,44.05,39.5,43.38,4093900,37.02
"2009-01-26",43.86,45.32,42.32,43.7,3216600,37.3
"2009-01-27",44.48,45.3,43,43.85,2594000,37.42
"2009-01-28",46.24,47.73,44.91,47.29,4592700,40.36
"2009-01-29",46.99,48.67,43.85,44.26,5228300,37.77
"2009-01-30",44.88,46.3,42.24,43.3,4682400,36.95
"2009-02-02",42.19,44.03,41.4,43.8,3736000,37.38
"2009-02-03",43.9,44.22,42.07,42.71,2972700,36.45
"2009-02-04",42.97,44.13,41.97,42.4,2737300,36.19
"2009-02-05",42.02,44.32,40.01,42.84,4086300,36.56
"2009-02-06",43.49,47.24,43.34,46.93,4625400,40.05
"2009-02-09",45.25,47.9,45.14,47.71,3421700,40.72
"2009-02-10",46.75,46.75,42.58,43.13,4722000,36.81
"2009-02-11",43.78,44.43,41.41,44.23,4552000,37.75
"2009-02-12",42.95,44.31,40.49,43.88,4764200,37.45
"2009-02-13",42.99,43.72,41.15,41.22,4189100,35.18
"2009-02-17",39.71,40.07,36.73,37.45,5977000,31.96
"2009-02-18",38.23,39.24,36.42,38.52,4039200,32.87
"2009-02-19",39.76,40.12,36.5,36.88,3653400,31.48
"2009-02-20",35.8,39.34,35.75,38.88,5534000,33.18
"2009-02-23",39.61,39.61,35.44,35.73,4352200,30.49
"2009-02-24",35.83,40.4,35.51,40.03,7592500,34.16
"2009-02-25",39.5,42.24,37.56,40,6007700,34.14
"2009-02-26",41.15,41.33,37.12,37.27,4161800,31.81
"2009-02-27",35.91,38.95,35.91,37.09,6318700,31.65
"2009-03-02",35.45,36.5,33.45,33.85,6407400,28.89
"2009-03-03",34.54,35.02,32.17,33.59,5280600,28.67
"2009-03-04",34.59,35.32,32.76,34.04,4283300,29.05
"2009-03-05",32.66,33.42,31.12,31.49,5204900,26.88
"2009-03-06",31.94,32.87,29.3,31.73,6287000,27.08
"2009-03-09",31.23,32.71,30.8,32.5,4817900,27.74
"2009-03-10",33.05,37.66,32.74,37.66,7643900,32.14
"2009-03-11",37.9,37.91,35.72,36.65,5484300,31.28
"2009-03-12",37.12,39.54,36.11,39.1,6459900,33.37
"2009-03-13",39.31,39.56,36.03,37.64,4469200,32.12
"2009-03-16",39.2,39.3,34.86,35,5139100,29.87
"2009-03-17",34.83,38.5,34.4,38.36,5761000,32.74
"2009-03-18",37.52,41.58,36.71,41.25,6261500,35.2
"2009-03-19",42.26,42.8,39,39.42,4829600,33.64
"2009-03-20",39.36,39.36,34.83,34.9,6278900,29.79
"2009-03-23",36.7,40.63,35.92,40.28,7666700,34.38
"2009-03-24",38.96,40.38,36.34,37.02,5378200,31.59
"2009-03-25",37.17,38.33,33.74,36.78,6031900,31.39
"2009-03-26",38.23,38.48,34.8,37.56,5687400,32.06
"2009-03-27",35.02,35.71,34.37,34.54,4336200,30.02
"2009-03-30",33.39,33.67,31.69,31.92,5132500,27.74
"2009-03-31",32.6,35.2,32.15,35.03,6785000,30.45
"2009-04-01",34.68,35.62,33.79,34.74,4236500,30.2
"2009-04-02",36,37.68,35.5,37.1,6499400,32.25
"2009-04-03",36.82,41.79,36.15,41.69,7014500,36.24
"2009-04-06",40.92,41.47,38.78,40.18,5645400,34.92
"2009-04-07",38.97,39.41,36.53,36.57,5049900,31.79
"2009-04-08",37.23,37.64,36.26,37.33,4524400,32.45
"2009-04-09",39.49,44.44,38.28,44.08,7714900,38.31
"2009-04-13",43.01,44.9,42.13,43.77,5621800,38.04
"2009-04-14",42.81,43.49,39.02,39.3,6188800,34.16
"2009-04-15",39.37,43.21,38.81,42.87,6274300,37.26
"2009-04-16",42.69,47.03,41.04,44.88,5703200,39.01
"2009-04-17",45.04,48.53,44.26,47.17,7090200,41
"2009-04-20",45.2,46.57,41.38,41.54,5429200,36.11
"2009-04-21",40.47,46.36,40.21,45.87,7012100,39.87
"2009-04-22",44.2,46.76,43.32,43.96,6554600,38.21
"2009-04-23",44.39,46.32,42.84,46.06,4576700,40.03
"2009-04-24",45.88,51.14,45.24,49.84,6347100,43.32
"2009-04-27",48.57,49.21,44.21,45.8,5053200,39.81
"2009-04-28",44.69,48.32,44.45,46.71,3523100,40.6
"2009-04-29",47.26,49.37,46.79,48.49,4109300,42.15
"2009-04-30",49.15,51.31,48.65,49.42,5492900,42.96
"2009-05-01",48.66,49.06,46.03,46.53,3860600,40.44
"2009-05-04",47.71,50.32,46.67,50.29,5639400,43.71
"2009-05-05",50.04,50.22,48.13,48.56,3862000,42.21
"2009-05-06",49.14,51.75,48.98,51.27,3882700,44.56
"2009-05-07",51.27,51.92,47.59,48.77,5154400,42.39
"2009-05-08",48.97,52.73,48.05,52.42,4545200,45.56
"2009-05-11",51.07,51.5,49.76,50.05,3698500,43.5
"2009-05-12",50.42,50.82,47.52,49.7,2696900,43.2
"2009-05-13",48.69,49.04,45.14,45.54,4468200,39.58
"2009-05-14",45.4,47.7,44.61,47.05,4219100,40.9
"2009-05-15",46.07,46.77,44.32,44.97,3822700,39.09
"2009-05-18",45.53,48.77,45.07,48.67,5352900,42.3
"2009-05-19",48.27,49.08,46.88,47.23,2959100,41.05
"2009-05-20",48.84,49.44,46.51,46.74,3682500,40.63
"2009-05-21",45.65,47.69,45.31,46.59,3514800,40.5
"2009-05-22",46.74,47.7,45.3,45.38,2509400,39.44
"2009-05-26",45.19,48.46,44.36,48.15,3993200,41.85
"2009-05-27",47.11,47.94,45.5,45.78,4126100,39.79
"2009-05-28",46.29,47.37,45.03,47.19,3374800,41.02
"2009-05-29",47.4,48.38,46.28,48.32,3306000,42
"2009-06-01",49.36,51.4,48.44,49.88,4036800,43.35
"2009-06-02",49.18,50.24,48.44,49.26,3546900,42.82
"2009-06-03",48.82,50.53,48.82,50.31,3191700,43.73
"2009-06-04",50.39,53.19,50.3,53.01,4783300,46.08
"2009-06-05",50.64,51.22,49.8,50.32,15519500,43.74
"2009-06-08",49.83,51,49.37,50.43,3817100,43.83
"2009-06-09",51.52,52.1,50.01,50.88,3409500,44.22
"2009-06-10",51.62,51.65,48.68,49.73,3177800,43.22
"2009-06-11",49.76,50.24,48.72,48.89,2987600,42.49
"2009-06-12",48.87,50.93,48.72,50.93,3497500,44.27
"2009-06-15",50.38,50.38,48.3,48.54,3857000,42.19
"2009-06-16",49.11,49.37,46.59,47.37,2837000,41.17
"2009-06-17",47.19,48.14,46.08,46.3,2729800,40.24
"2009-06-18",46.04,47.19,46.04,46.51,2524200,40.43
"2009-06-19",47.71,47.71,46.2,47.32,3755400,41.13
"2009-06-22",46.67,46.87,44.04,44.27,3679800,38.48
"2009-06-23",44.39,45.99,44.02,45.2,3268400,39.29
"2009-06-24",45.55,47.26,45.54,46.75,2674500,40.63
"2009-06-25",46.25,47.29,46.16,47.25,2596900,41.07
"2009-06-26",46.77,47.26,46.03,46.91,1946200,41.21
"2009-06-29",47.03,47.29,46.12,46.55,2227400,40.89
"2009-06-30",46.63,48.13,46.5,47.7,3008500,41.9
"2009-07-01",48.02,48.67,47.7,48.07,1528000,42.23
"2009-07-02",47.37,47.55,44.91,44.91,2763800,39.45
"2009-07-06",44.8,46.82,44.5,46.77,2788400,41.09
"2009-07-07",46.67,46.77,44.14,44.26,2919800,38.88
"2009-07-08",44.39,45.05,42.74,43.94,3271800,38.6
"2009-07-09",44.86,45.26,43.57,43.7,2126700,38.39
"2009-07-10",43.55,44.02,42.62,43.62,1483600,38.32
"2009-07-13",44.09,46.14,43.41,46.14,2769100,40.53
"2009-07-14",46.02,46.52,44.73,46.13,2003200,40.52
"2009-07-15",46.25,48.32,46.25,47.79,3274200,41.98
"2009-07-16",47.55,48.65,46.8,48.21,1948500,42.35
"2009-07-17",47.86,48.05,46.82,47.71,3208100,41.91
"2009-07-20",48.01,50,48.01,49.91,2899100,43.84
"2009-07-21",49.97,50,48.52,49.8,2522300,43.75
"2009-07-22",49.03,51.07,47.97,50.84,3163900,44.66
"2009-07-23",50.65,53.5,50.29,53.1,3230900,46.65
"2009-07-24",52.67,53.37,51.67,53.23,2066700,46.76
"2009-07-27",53.15,53.48,52.41,53.36,2726200,46.88
"2009-07-28",52.81,53.47,52.71,53.2,2568900,46.74
"2009-07-29",52.8,53.09,51.77,52.39,2183200,46.02
"2009-07-30",53.09,54.39,52.63,53.53,3470500,47.03
"2009-07-31",52.94,53.55,51.73,52.9,3293000,46.47
"2009-08-03",53.42,54.23,53.02,53.95,2441400,47.39
"2009-08-04",53.73,57.84,53.32,57.1,3608800,50.16
"2009-08-05",56.65,60.43,56.17,60.29,3696500,52.96
"2009-08-06",60.61,61.79,58.66,58.76,3529700,51.62
"2009-08-07",59.51,62.98,58.71,62.22,3260500,54.66
"2009-08-10",62,62.59,60.74,61.51,2532200,54.04
"2009-08-11",61.08,61.19,59,59.8,2408500,52.53
"2009-08-12",59.85,61.5,59.13,59.65,2744000,52.4
"2009-08-13",60.04,60.39,58.59,59.27,1842200,52.07
"2009-08-14",58.17,58.53,56.87,58.53,1957400,51.42
"2009-08-17",56.91,56.91,54.61,54.96,2759100,48.28
"2009-08-18",55.2,56.4,54.75,55.69,1759600,48.92
"2009-08-19",54.98,55.82,54.46,55.37,1609400,48.64
"2009-08-20",55.62,58.29,55.11,58.17,2035300,51.1
"2009-08-21",58.39,60.82,58.24,59.4,2094900,52.18
"2009-08-24",59.29,60.7,58.94,59.33,1853700,52.12
"2009-08-25",59.63,60.96,59.33,59.56,2018900,52.32
"2009-08-26",59.73,60.18,59.03,59.77,1630700,52.51
"2009-08-27",59.66,60.83,58.44,60.81,1746700,53.42
"2009-08-28",61.1,61.45,59.89,61.12,1305700,53.69
"2009-08-31",60.44,61,59.78,60.58,2315300,53.22
"2009-09-01",60.42,61.08,57.12,57.17,3237400,50.22
"2009-09-02",56.9,57.27,56.05,56.17,1866200,49.34
"2009-09-03",56.78,57.53,55.85,57.45,2397400,50.47
"2009-09-04",57.5,58.31,56.55,58.15,1386800,51.08
"2009-09-08",58.9,60.93,58.66,60.9,2404800,53.5
"2009-09-09",60.88,62.31,60.27,62.21,2017900,54.65
"2009-09-10",62,63.71,61.36,63.51,1946200,55.79
"2009-09-11",63.65,64.67,63,63.34,2362500,55.64
"2009-09-14",62.9,65.81,62.45,65.66,1773400,57.68
"2009-09-15",65.77,67.76,64.23,66.35,3118800,58.29
"2009-09-16",66.5,70.03,66.5,69.88,3239500,61.39
"2009-09-17",69.95,72.23,68.87,69.89,2572100,61.4
"2009-09-18",70.58,71.44,68.83,70.55,2296700,61.98
"2009-09-21",68.38,69.79,67.42,68.16,1785100,59.88
"2009-09-22",68.69,70.72,68.69,70.51,2207300,61.94
"2009-09-23",70.39,70.67,67.25,67.25,2396600,59.08
"2009-09-24",67.77,68.05,64.32,64.44,2924500,56.61
"2009-09-25",63.94,66.18,63.34,65.6,2382400,57.63
"2009-09-28",64.74,67.5,64.18,67.29,2491200,59.57
"2009-09-29",67.55,68.26,65.48,65.67,2144500,58.13
"2009-09-30",66.07,67.22,64.39,65.55,2358200,58.03
"2009-10-01",65.24,65.52,61.81,61.88,3075000,54.78
"2009-10-02",61.15,63.96,60.51,61.6,2546600,54.53
"2009-10-05",62.15,64.2,61.89,63.77,1864000,56.45
"2009-10-06",64.61,65.15,62.35,63.4,1344000,56.12
"2009-10-07",63.27,63.85,62.05,63.01,1145300,55.78
"2009-10-08",63.4,65.19,63.4,64.58,1582200,57.17
"2009-10-09",64.6,65.71,63.88,65.67,1312500,58.13
"2009-10-12",66,66.46,65.07,65.48,1083400,57.96
"2009-10-13",64.89,65.4,64,64.36,1189000,56.97
"2009-10-14",65.43,67.25,65.26,66.86,1798700,59.19
"2009-10-15",66.37,66.67,65.54,66.32,1232500,58.71
"2009-10-16",64.83,65.64,63.05,63.14,2086400,55.89
"2009-10-19",63.51,64.03,63.06,63.89,1831400,56.56
"2009-10-20",63.29,63.91,62.3,62.51,2246100,55.34
"2009-10-21",62.4,63.55,61.35,61.45,1907200,54.4
"2009-10-22",61.74,63.48,60.5,63.23,1627100,55.97
"2009-10-23",63.36,63.38,62.32,62.66,2289500,55.47
"2009-10-26",63.94,64.83,62.22,62.34,1917200,55.19
"2009-10-27",62.44,62.69,60.67,60.91,2105300,53.92
"2009-10-28",59.83,61.28,57.19,57.25,3351400,50.68
"2009-10-29",58.24,61.31,58.24,61.09,2697700,54.08
"2009-10-30",60.53,61.2,58.91,60.77,4082700,53.8
"2009-11-02",60.94,62.44,59.08,60.99,2312800,53.99
"2009-11-03",60.18,61.85,60.11,61.7,1724900,54.62
"2009-11-04",62.43,63.24,60.14,60.29,2133000,53.37
"2009-11-05",60.79,62.4,60.53,62.15,1428200,55.02
"2009-11-06",61.42,62.09,59.94,60.06,1665900,53.17
"2009-11-09",60.61,63.51,60.37,63.42,2395800,56.14
"2009-11-10",63,64.1,62.62,63.6,1530200,56.3
"2009-11-11",64.19,65.48,64,64.98,1606000,57.52
"2009-11-12",64.89,65.3,64.3,64.49,1729900,57.09
"2009-11-13",64.69,65.85,64.58,65.71,1271600,58.17
"2009-11-16",66.18,67.71,65.98,67.48,2147000,59.74
"2009-11-17",67.07,67.38,65.92,65.93,2333400,58.36
"2009-11-18",66.13,67.48,65.66,67.31,1300200,59.58
"2009-11-19",66.82,66.82,65.44,66.08,2119200,58.5
"2009-11-20",65.56,65.8,65.19,65.5,1902100,57.98
"2009-11-23",65.9,67.23,65.9,66.7,1871700,59.04
"2009-11-24",66.87,66.87,65.67,65.88,2307400,58.32
"2009-11-25",65.96,66.76,65.75,65.98,1619100,58.41
"2009-11-27",63.99,65.13,63.3,63.79,913600,56.47
"2009-11-30",64.06,67.2,63.76,66.98,2754800,59.29
"2009-12-01",67.45,68.7,67.01,67.97,2066000,60.17
"2009-12-02",67.81,69.3,67.47,68.89,2171400,60.98
"2009-12-03",69.34,70.51,68.53,68.74,2161000,60.85
"2009-12-04",69.73,71.44,68.71,69.98,2452100,61.95
"2009-12-07",69.52,69.91,67.13,67.63,1998700,59.87
"2009-12-08",67.32,69.14,67.02,67.37,1944500,59.64
"2009-12-09",67.63,68.39,67.12,67.45,1330200,59.71
"2009-12-10",67.71,68.4,66.61,66.95,1227300,59.27
"2009-12-11",67.57,67.89,66.85,67.8,1347300,60.02
"2009-12-14",68.29,69.5,67.38,69.33,1216400,61.37
"2009-12-15",68.98,69.4,68.36,68.64,1104700,60.76
"2009-12-16",69.28,69.79,68.64,69.24,1385400,61.29
"2009-12-17",68.8,69.52,68.33,69.15,1408600,61.21
"2009-12-18",68.38,68.86,67.26,68.02,4236000,60.21
"2009-12-21",68.23,69.31,68.13,68.95,1128900,61.04
"2009-12-22",68.78,69.99,68.78,69.63,1303600,61.64
"2009-12-23",69.74,71.29,69.62,69.91,1293900,61.89
"2009-12-24",70.34,70.98,70.09,70.8,535300,62.67
"2009-12-28",71.01,71.73,70.04,70.33,1899100,62.26
"2009-12-29",69.91,70.53,69.1,69.22,1009700,61.71
"2009-12-30",68.87,69.4,68.48,69.31,963800,61.79
"2009-12-31",69.35,69.88,67.07,67.07,1659900,59.8
"2010-01-04",67.59,68.33,66.53,67.1,1511500,59.82
"2010-01-05",67.24,68.2,66.45,68.12,2173700,60.73
"2010-01-06",68.23,68.94,68.03,68.44,1814900,61.02
"2010-01-07",68.26,69.39,67.71,68.74,1329100,61.29
"2010-01-08",68.26,68.64,67.09,67.85,1021900,60.49
"2010-01-11",68.14,68.72,67.69,68.17,974400,60.78
"2010-01-12",67.71,68.09,66.71,67.49,1391700,60.17
"2010-01-13",67.61,68.74,67.3,68.6,1384200,61.16
"2010-01-14",68.43,68.78,67.8,68.31,967100,60.9
"2010-01-15",68.19,68.45,67.61,68.09,1421900,60.71
"2010-01-19",68.26,69.62,67.84,69.53,1721700,61.99
"2010-01-20",69.02,69.19,68.33,69.07,1591300,61.58
"2010-01-21",68.88,69.3,65.58,65.84,2598500,58.7
"2010-01-22",65.52,66.52,63.94,64.28,2289400,57.31
"2010-01-25",65.25,65.57,63.59,65.1,1560700,58.04
"2010-01-26",64.78,65.94,64.23,64.72,1436900,57.7
"2010-01-27",64.26,65.44,63.35,65.07,2375600,58.01
"2010-01-28",65.75,65.93,64.69,65.39,1440400,58.3
"2010-01-29",65.81,66.25,64.23,64.87,1783500,57.84
"2010-02-01",65.71,66.88,65.04,66.87,1639500,59.62
"2010-02-02",67.71,68.01,66.56,67.8,2092100,60.45
"2010-02-03",67.59,67.6,66.2,66.5,1869400,59.29
"2010-02-04",65.97,66.12,63.38,63.44,2384600,56.56
"2010-02-05",63.64,64.96,62.39,64.53,1997400,57.53
"2010-02-08",64.65,65.14,62.74,62.9,1455600,56.08
"2010-02-09",63.65,63.81,62.22,62.81,1713800,56
"2010-02-10",62.72,63.28,61.5,62.49,1567700,55.71
"2010-02-11",62.4,63.03,61.82,62.72,1197000,55.92
"2010-02-12",62.08,63.47,61.78,63.4,1355600,56.53
"2010-02-16",64,65.15,63.61,65.03,1698200,57.98
"2010-02-17",65.23,65.68,64.92,65.39,1083500,58.3
"2010-02-18",65.11,66.62,64.7,66.35,1184300,59.16
"2010-02-19",65.91,66.77,65.38,66.57,1294400,59.35
"2010-02-22",66.54,67.49,66.54,67.03,1311200,59.76
"2010-02-23",66.7,67,65.68,65.95,1525700,58.8
"2010-02-24",65.92,66.73,65.72,66.71,1598000,59.48
"2010-02-25",65.93,67.49,65.62,67.42,1380100,60.11
"2010-02-26",67.42,68.75,67.25,67.93,1842200,60.56
"2010-03-01",68.24,68.74,67.84,68.28,1261400,60.88
"2010-03-02",68.72,68.94,68.41,68.62,1173500,61.18
"2010-03-03",68.78,69,68.32,68.67,905100,61.22
"2010-03-04",68.72,69.31,68.5,69.17,1056800,61.67
"2010-03-05",69.66,71.26,69.34,71.14,1322600,63.43
"2010-03-08",71.07,72.76,71.07,72.58,1341400,64.71
"2010-03-09",72.23,73.76,71.92,72.49,1590100,64.63
"2010-03-10",72.76,73.7,72.26,73.46,1209600,65.49
"2010-03-11",73.03,73.76,72.75,73.72,1139300,65.73
"2010-03-12",73.91,74.57,73.55,74,1259400,65.98
"2010-03-15",73.86,74.33,72.94,74.06,1157600,66.03
"2010-03-16",74.15,75.93,74.04,75.69,1194700,67.48
"2010-03-17",76.07,77.35,75.86,77.14,1353200,68.78
"2010-03-18",77.01,77.73,76.64,76.74,1433900,68.42
"2010-03-19",76.89,77.6,75.88,75.89,1896000,67.66
"2010-03-22",75.04,76.52,75.04,76.26,1348000,67.99
"2010-03-23",76.26,76.47,75.33,76.03,1053300,67.79
"2010-03-24",75.91,76.96,75.81,76.15,1046000,67.89
"2010-03-25",76.76,78.22,76.62,76.73,1353700,68.41
"2010-03-26",77.2,77.2,75.69,76.19,1192300,67.93
"2010-03-29",75.63,76.25,75.43,76.25,901500,68.43
"2010-03-30",76.13,76.78,75.93,76.24,791200,68.42
"2010-03-31",75.69,76.18,75.18,75.44,998800,67.7
"2010-04-01",75.85,75.95,74.87,75.47,867300,67.73
"2010-04-05",75.76,77.79,75.52,77.79,971500,69.81
"2010-04-06",77.47,79.61,76.98,79.41,1309000,71.27
"2010-04-07",79.37,79.52,77,77.24,1242000,69.32
"2010-04-08",76.86,77.14,76.56,76.95,1122200,69.06
"2010-04-09",77.13,78.43,76.95,78.35,1022300,70.32
"2010-04-12",78.34,78.46,77.26,77.45,1231700,69.51
"2010-04-13",77.38,80.28,77.22,79.97,1152100,71.77
"2010-04-14",80.68,80.71,79.59,80.13,952400,71.91
"2010-04-15",79.84,80.24,77.95,78.04,1230100,70.04
"2010-04-16",77.96,78.49,75.52,75.59,1753700,67.84
"2010-04-19",75.15,76.61,74.87,76.09,922100,68.29
"2010-04-20",76.63,77.01,75.2,77,1110100,69.1
"2010-04-21",76.93,78.41,76.59,77.94,1113500,69.95
"2010-04-22",77.17,79.77,76.65,79.37,1264500,71.23
"2010-04-23",79.53,81,79.04,80.11,1567800,71.9
"2010-04-26",80.12,81.49,79.74,80.69,1314900,72.42
"2010-04-27",79.96,80.41,78.1,78.12,2652700,70.11
"2010-04-28",78.95,79.45,77.67,78.8,1629500,70.72
"2010-04-29",79.48,83.42,79.41,83.39,2198800,74.84
"2010-04-30",83.01,83.3,78.75,78.86,1811600,70.77
"2010-05-03",79.87,82.34,79.42,81.51,1942400,73.15
"2010-05-04",80.52,81.58,79.97,81.13,2726500,72.81
"2010-05-05",79.67,81.87,78.95,80.72,2138200,72.44
"2010-05-06",80.01,80.77,73.81,78.03,3534500,70.03
"2010-05-07",78.31,79.56,75.38,76.09,2984100,68.29
"2010-05-10",80.19,80.77,78.67,80.73,2647600,72.45
"2010-05-11",79.64,82.48,79.27,81.16,1804800,72.84
"2010-05-12",81.17,81.86,80.4,81.73,1799500,73.35
"2010-05-13",81.37,82.33,80.65,80.76,1273700,72.48
"2010-05-14",79.79,80.27,77.37,78.2,2042500,70.18
"2010-05-17",78.71,79.84,76.04,78.45,1628900,70.41
"2010-05-18",79.45,79.97,76.21,76.57,1737700,68.72
"2010-05-19",76.18,77.86,74.18,76.05,1869400,68.25
"2010-05-20",74.36,75.11,72.67,72.72,2579000,65.26
"2010-05-21",71.31,75.6,71.31,75.5,2679900,67.76
"2010-05-24",75.62,75.95,73.61,73.63,1332300,66.08
"2010-05-25",71.69,74.89,70.94,74.83,2491100,67.16
"2010-05-26",75.67,76.72,73.52,73.84,1769200,66.27
"2010-05-27",75.55,78.23,74.9,78.12,1833500,70.11
"2010-05-28",77.9,78.24,76.19,76.68,1752700,68.82
"2010-06-01",76.15,77.75,75.67,75.91,1714800,68.13
"2010-06-02",76.31,76.46,74.44,76.18,2739500,68.37
"2010-06-03",76.53,76.55,75.04,75.66,1913700,67.9
"2010-06-04",73.6,74.76,71.52,71.81,2811500,64.45
"2010-06-07",72.34,73.95,71.84,72.12,1998500,64.72
"2010-06-08",72.27,74.05,70.91,73.8,1986700,66.23
"2010-06-09",74.46,76.45,74.18,74.62,2039300,66.97
"2010-06-10",75.8,78.47,75.35,78.19,2181700,70.17
"2010-06-11",77.16,79.1,77.14,79.02,1541000,70.92
"2010-06-14",79.81,80.52,78.45,79.26,1852500,71.13
"2010-06-15",79.75,81.23,79.04,81.08,1655900,72.77
"2010-06-16",80.49,81.12,79.87,80.45,1384700,72.2
"2010-06-17",80.6,80.79,79.54,79.97,1635000,71.77
"2010-06-18",80.25,80.42,79.66,80.09,1613900,71.88
"2010-06-21",81.08,81.8,79.22,79.39,1286700,71.25
"2010-06-22",79.72,79.77,76.27,76.36,1758200,68.53
"2010-06-23",76.5,77.51,75.42,76.53,1348900,68.68
"2010-06-24",76.05,76.36,74.12,74.24,1656200,66.63
"2010-06-25",74.78,76.99,74.37,76.74,1671100,68.87
"2010-06-28",76.21,76.44,74.49,74.65,1242200,67.43
"2010-06-29",73.6,73.93,71.82,72.34,2258700,65.35
"2010-06-30",72.06,73.49,71.07,71.34,1630200,64.44
"2010-07-01",71.56,71.93,69.84,71.25,1592600,64.36
"2010-07-02",71.6,71.85,69.5,69.7,1242000,62.96
