"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2007-06-20",69.22,69.57,68.45,68.48,1247000,58.06
"2007-06-21",68.45,69.72,68.35,69.53,977000,58.95
"2007-06-22",68.9,69.4,68.11,68.5,1765600,58.07
"2007-06-25",68.4,69.61,68.11,68.22,1199100,57.83
"2007-06-26",68.47,69.88,68.46,68.81,1054900,58.33
"2007-06-27",68.82,69.2,67.91,69.19,1308300,58.66
"2007-06-28",69.02,69.8,68.65,69.47,1143900,58.89
"2007-06-29",69.43,69.77,69.02,69.44,1200700,58.87
"2007-07-02",69.9,70.5,69.27,69.83,972400,59.2
"2007-07-03",68.92,72.26,68.92,70.7,779200,59.94
"2007-07-05",70.71,71.3,69.99,70.24,1260100,59.55
"2007-07-06",70.31,72.2,70.01,72.06,1479100,61.09
"2007-07-09",72.2,73.36,71.9,72.25,1585200,61.25
"2007-07-10",71.97,72.25,71.25,71.45,2562300,60.57
"2007-07-11",71.65,72.35,71.37,71.99,1819300,61.03
"2007-07-12",72.91,73.25,71.99,73.14,1267800,62.01
"2007-07-13",72.89,73.88,72.86,73.61,888900,62.4
"2007-07-16",73.85,74.74,73.73,74.23,843600,62.93
"2007-07-17",73.94,74.76,73.91,74.51,954100,63.17
"2007-07-18",74.32,74.88,74,74.34,1334900,63.02
"2007-07-19",74.51,75.6,74.51,75.52,827300,64.02
"2007-07-20",75.16,75.43,73.16,73.23,1547200,62.08
"2007-07-23",73.89,74.55,72.48,72.66,2402800,61.6
"2007-07-24",72.96,72.96,69.61,70.68,2963600,59.92
"2007-07-25",72.05,74.85,70.67,71.67,4191300,60.76
"2007-07-26",71.25,72.24,69.38,70.74,2797100,59.97
"2007-07-27",70.87,71.68,70.09,70.09,1535600,59.42
"2007-07-30",71.01,72,70.15,71.79,1328200,60.86
"2007-07-31",72,72.38,69.87,69.99,1498500,59.34
"2007-08-01",70.1,70.8,69.34,70.62,1616000,59.87
"2007-08-02",70.64,71.87,70.41,71.73,1921100,60.81
"2007-08-03",72.61,72.61,69.8,69.8,1379400,59.17
"2007-08-06",70.55,71.38,69.81,71.3,1192200,60.45
"2007-08-07",70.98,72.3,70.18,70.67,2565900,59.91
"2007-08-08",71,71.51,69.16,69.96,1806700,59.31
"2007-08-09",68.19,68.99,65.26,66.88,2487000,56.93
"2007-08-10",66.1,67.17,65.35,66.37,1754500,56.5
"2007-08-13",67.5,69.98,66.81,69.32,2195600,59.01
"2007-08-14",69.9,70.28,68.52,68.85,1726200,58.61
"2007-08-15",68.74,69.47,66.57,66.77,2048200,56.84
"2007-08-16",65.73,67.03,64.28,66.44,2788700,56.56
"2007-08-17",67.5,68.9,67.25,68.25,2231600,58.1
"2007-08-20",67.35,69.25,67.35,68.69,2040400,58.48
"2007-08-21",68.7,68.81,67.88,68.08,1104400,57.96
"2007-08-22",68.65,69.74,68.5,69.36,864100,59.05
"2007-08-23",69.7,70,67.82,68.55,852000,58.36
"2007-08-24",68.46,70,68.46,69.98,876100,59.57
"2007-08-27",69.94,70.57,69.85,70.1,755300,59.68
"2007-08-28",69.78,70,67.26,67.36,926100,57.34
"2007-08-29",67.86,69.64,67.65,69.64,710700,59.28
"2007-08-30",68.81,69.75,68.6,69.03,733000,58.77
