"","KRFT.Open","KRFT.High","KRFT.Low","KRFT.Close","KRFT.Volume","KRFT.Adjusted"
"2012-11-28",44.92,45.91,44.27,45.82,3388800,43.59
"2012-11-29",45.96,46.01,45.5,45.94,2938300,43.7
"2012-11-30",45.13,46.37,45.11,45.24,6090300,43.03
"2012-12-03",45.26,45.87,45.1,45.69,3715400,43.46
"2012-12-04",45.65,45.89,45.36,45.7,3727000,43.47
"2012-12-05",45.91,46.6,45.67,45.78,3685500,43.55
"2012-12-06",45.64,45.99,45.12,45.15,3546800,42.95
"2012-12-07",45.39,45.4,44.46,44.67,3143400,42.49
"2012-12-10",44.52,45.21,44.27,44.32,2144100,42.16
"2012-12-11",44.32,44.99,44.32,44.83,4059500,42.64
"2012-12-12",44.91,46.08,44.9,45.7,4532000,43.47
"2012-12-13",46.13,46.24,45.7,46.01,3084600,43.77
"2012-12-14",46.22,46.63,46.11,46.62,2688700,44.35
"2012-12-17",46.64,46.65,45.99,46.33,3182900,44.07
"2012-12-18",46.44,46.63,46.1,46.55,3283100,44.28
"2012-12-19",46.4,46.6,46.05,46.36,2989200,44.1
"2012-12-20",46.54,46.65,46.3,46.43,2879100,44.17
"2012-12-21",46,46.43,45.49,45.53,4946400,43.31
"2012-12-24",45.66,45.86,45.34,45.45,1289900,43.23
"2012-12-26",45.41,45.44,44.61,44.65,2234200,42.47
"2012-12-27",44.43,44.51,44.08,44.39,3377700,42.7
"2012-12-28",44.36,44.6,44.15,44.41,2344800,42.72
"2012-12-31",44.18,45.48,44.16,45.47,3517500,43.74
"2013-01-02",46.49,46.5,45.38,45.76,4343500,44.02
"2013-01-03",45.7,45.74,45.21,45.58,2841700,43.85
"2013-01-04",45.66,46.05,45.16,45.37,3283100,43.65
"2013-01-07",45.2,46.07,45.15,46.03,3330100,44.28
"2013-01-08",46.02,46.06,45.56,45.62,3346900,43.89
"2013-01-09",45.61,46.5,45.61,46.39,2541900,44.63
"2013-01-10",46.55,46.67,45.84,46.01,3333500,44.26
"2013-01-11",46.2,46.44,45.86,46.37,2190000,44.61
"2013-01-14",46.64,46.97,46.36,46.85,2330300,45.07
"2013-01-15",46.78,46.94,46.18,46.71,2681300,44.94
"2013-01-16",46.76,47.1,46.43,46.51,4238100,44.74
"2013-01-17",46.8,47.11,46.73,46.92,2474900,45.14
"2013-01-18",47,47.09,46.59,47.05,2591800,45.26
"2013-01-22",47.11,47.43,46.28,47.09,3119600,45.3
"2013-01-23",47.13,47.2,46.65,46.74,2155900,44.97
"2013-01-24",46.89,46.98,46.48,46.91,2985600,45.13
"2013-01-25",47.34,47.53,46.99,47.14,2430500,45.35
"2013-01-28",47.5,47.59,46.89,47,2386500,45.22
"2013-01-29",47.01,47.38,46.83,47.05,1634200,45.26
"2013-01-30",47.14,47.31,46.66,46.72,2197200,44.95
"2013-01-31",46.5,46.71,46.18,46.22,3676400,44.47
"2013-02-01",46.62,46.85,46.16,46.6,2150500,44.83
"2013-02-04",46.78,46.86,46.17,46.4,2706000,44.64
"2013-02-05",46.54,47.44,46.48,47.02,2533500,45.23
"2013-02-06",47,47.45,46.87,47.01,2315200,45.23
"2013-02-07",47.07,47.23,46.42,46.66,2579200,44.89
"2013-02-08",46.93,47.06,46.5,46.9,2068100,45.12
"2013-02-11",46.94,47.4,46.91,47.29,1849200,45.49
"2013-02-12",47.49,47.5,47.05,47.24,1682300,45.45
"2013-02-13",47.2,47.2,46.56,46.77,2007200,44.99
"2013-02-14",47.4,47.65,46.87,47.16,5690600,45.37
"2013-02-15",47.3,47.45,47,47.17,6103000,45.38
"2013-02-19",47.21,47.8,47.21,47.37,5348800,45.57
"2013-02-20",47.58,47.61,47.17,47.23,4175400,45.44
"2013-02-21",47.23,47.34,46.65,46.85,3304400,45.07
"2013-02-22",47.05,47.54,46.85,47.46,3041800,45.66
"2013-02-25",47.77,47.79,46.73,46.74,3112700,44.97
"2013-02-26",46.92,47.4,46.8,47.27,3662500,45.48
"2013-02-27",47.29,47.87,47.11,47.67,2741000,45.86
"2013-02-28",47.81,48.91,47.73,48.48,4529100,46.64
"2013-03-01",48.25,48.66,47.81,48.57,3231400,46.73
"2013-03-04",48.4,49.17,48.4,49.15,3591500,47.28
"2013-03-05",49.43,49.5,49,49.19,4323800,47.32
"2013-03-06",49.57,49.75,49.11,49.19,2838600,47.32
"2013-03-07",49.37,49.39,48.88,49.04,2681200,47.18
"2013-03-08",49.37,50,49.23,49.71,3251200,47.82
"2013-03-11",49.95,50.33,49.79,49.99,4027800,48.09
"2013-03-12",50.11,50.63,49.93,50.55,4667100,48.63
"2013-03-13",50.49,50.84,49.95,50.74,3736800,48.81
"2013-03-14",50.79,50.85,50.27,50.47,3559100,48.55
"2013-03-15",50.16,50.65,49.93,50.27,21024900,48.36
"2013-03-18",49.94,50.83,49.85,50.65,3136200,48.73
"2013-03-19",50.88,50.9,50.2,50.58,2762900,48.66
"2013-03-20",51.05,51.57,50.93,51.51,4237600,49.55
"2013-03-21",51.31,51.9,51.25,51.66,3650500,49.7
"2013-03-22",51.85,52.29,51.03,51.19,13842000,49.25
"2013-03-25",51.51,51.95,51,51.25,12234600,49.3
"2013-03-26",51.07,51.38,50.86,51.36,2888400,49.9
"2013-03-27",51.11,51.45,50.81,51.37,2593300,49.91
"2013-03-28",51.31,51.7,51.14,51.53,3159500,50.06
"2013-04-01",51.38,52.1,51.26,51.89,2814200,50.41
"2013-04-02",51.99,52.51,51.64,52.37,3030300,50.88
"2013-04-03",52.49,52.49,51.4,51.66,3133100,50.19
"2013-04-04",51.66,52.01,51.53,51.85,1665700,50.37
"2013-04-05",51.5,51.54,51.14,51.24,3207500,49.78
"2013-04-08",51.41,51.8,51,51.73,3032400,50.26
"2013-04-09",51.75,52.21,50.51,50.7,3074800,49.26
"2013-04-10",50.95,51.43,50.93,51.36,2983500,49.9
"2013-04-11",51.61,51.93,50.89,51,4265100,49.55
"2013-04-12",51.22,52.11,50.97,52.07,3352700,50.59
"2013-04-15",51.74,51.88,50.71,50.72,3783400,49.27
"2013-04-16",51.04,51.56,50.75,51.49,2330500,50.02
"2013-04-17",51.11,51.23,50.13,50.42,3009500,48.98
"2013-04-18",50.5,50.78,49.79,50.09,2957600,48.66
"2013-04-19",49.86,50.72,49.86,50.35,2228000,48.92
"2013-04-22",50.59,50.81,50.03,50.64,2121100,49.2
"2013-04-23",50.87,51.23,50.37,51.19,2325900,49.73
"2013-04-24",51.25,51.52,50.63,50.68,2494900,49.24
"2013-04-25",50.9,51.31,50.69,51.28,2325200,49.82
"2013-04-26",51.46,51.7,50.77,50.92,2547100,49.47
"2013-04-29",51.27,52.06,51.25,51.57,2589400,50.1
"2013-04-30",51.4,51.73,51.08,51.49,2757600,50.02
"2013-05-01",51.19,51.41,50.78,51.07,2059700,49.61
"2013-05-02",51.16,51.89,50.04,50.53,4545000,49.09
"2013-05-03",53,54.1,52.37,53.11,6136800,51.6
"2013-05-06",53.07,53.65,52.61,53.39,3583200,51.87
"2013-05-07",53.31,55.69,53.24,54.85,6666100,53.29
"2013-05-08",54.93,55.13,54.24,55.02,4018800,53.45
"2013-05-09",55.5,55.57,54.73,55.05,2787600,53.48
"2013-05-10",55.19,55.54,55.05,55.22,3125700,53.65
"2013-05-13",55.27,55.35,54.21,54.4,2899300,52.85
"2013-05-14",54.3,54.81,53.95,54.77,2098400,53.21
"2013-05-15",54.62,55.26,54.2,55.2,1588700,53.63
"2013-05-16",55.82,55.82,54.97,55.52,2265900,53.94
"2013-05-17",55.74,56.13,54.97,56.11,2762000,54.51
"2013-05-20",56.13,56.27,55.39,56.24,2688000,54.64
"2013-05-21",56.27,57.09,56.13,56.61,4148100,55
"2013-05-22",56.56,57.26,56.25,56.95,5880400,55.33
"2013-05-23",56.47,57.15,56.33,56.9,3383900,55.28
"2013-05-24",56.38,57.14,56,57.01,1725500,55.39
"2013-05-28",57.38,57.84,56.99,57.54,2341800,55.9
"2013-05-29",57.3,57.54,56.61,56.71,2428900,55.09
"2013-05-30",56.53,56.86,55.39,55.41,2712100,53.83
"2013-05-31",55.47,55.69,54.8,55.13,4868200,53.56
"2013-06-03",55.14,55.39,53.63,54.94,4384700,53.37
"2013-06-04",55.13,55.47,53.71,54.4,4318400,52.85
"2013-06-05",54.18,54.31,53.21,53.3,2809200,51.78
"2013-06-06",53.48,54.04,52.94,53.74,2814400,52.21
"2013-06-07",54.07,54.47,53.22,54.37,3110800,52.82
"2013-06-10",54.48,54.52,53.68,54.51,2545600,52.96
"2013-06-11",54.34,54.48,53.54,54.14,2292500,52.6
"2013-06-12",54.5,54.6,53.44,53.45,2318200,51.93
"2013-06-13",53.6,56.12,53.55,55.99,4916700,54.39
"2013-06-14",55.79,56.48,55.27,55.68,2897500,54.09
"2013-06-17",55.82,56.47,55.46,55.93,2012600,54.34
"2013-06-18",55.9,56.73,55.88,56.65,1909500,55.04
"2013-06-19",56.65,56.74,55.3,55.33,3301200,53.75
"2013-06-20",55.1,55.15,52.91,52.99,4797800,51.48
"2013-06-21",53.3,53.84,52.8,53.46,6135400,51.94
"2013-06-24",53.33,54.22,52.91,53.82,3300400,52.29
"2013-06-25",54.35,55.14,54.04,54.69,3547600,53.13
"2013-06-26",54.65,55.13,53.67,54.34,3588900,53.28
"2013-06-27",54.54,55.75,54.54,55.32,2224800,54.24
"2013-06-28",54.89,56,54.89,55.87,11861400,54.78
"2013-07-01",55.75,56.25,54.85,54.98,2478000,53.91
"2013-07-02",55.26,56.07,54.9,55.53,2817500,54.45
"2013-07-03",55.01,55.58,54.89,55.51,1141700,54.43
"2013-07-05",56,56.05,55.08,55.24,2019700,54.16
"2013-07-08",55.63,55.97,54.64,55.03,2973600,53.96
"2013-07-09",55.68,56,55.28,55.38,2006300,54.3
"2013-07-10",55.51,56.33,55.39,56.06,1667600,54.97
"2013-07-11",56.73,56.87,56.46,56.68,2213100,55.57
"2013-07-12",56.82,57.19,56.44,56.69,2164800,55.58
"2013-07-15",56.5,57.75,56.48,57.63,1935100,56.5
"2013-07-16",57.75,57.84,57.34,57.47,1763900,56.35
"2013-07-17",57.45,57.71,57.25,57.35,2e+06,56.23
"2013-07-18",57.35,58.05,56.67,57.18,2098600,56.06
"2013-07-19",57.54,57.97,56.7,57.66,2281300,56.53
"2013-07-22",58.44,58.76,57.93,58.29,2309200,57.15
"2013-07-23",58.4,58.4,57.08,57.2,1935900,56.08
"2013-07-24",57.35,57.68,56.07,56.44,2145100,55.34
"2013-07-25",56.18,57.07,56.13,56.86,1749000,55.75
"2013-07-26",56.44,56.7,55.68,56.45,2491100,55.35
"2013-07-29",56.75,57,56.37,56.49,1944100,55.39
"2013-07-30",56.51,57.13,56.49,56.64,1659200,55.53
"2013-07-31",56.47,56.94,56.06,56.58,1819500,55.48
"2013-08-01",57.08,57.48,56.78,57.14,2303300,56.02
"2013-08-02",57.05,57.75,56.01,57.5,3352600,56.38
"2013-08-05",56.71,57.05,56.35,56.45,2447300,55.35
"2013-08-06",56.16,56.84,56.16,56.7,2249700,55.59
"2013-08-07",56.25,56.5,55.13,55.2,2392000,54.12
"2013-08-08",55.55,56.47,55.28,56.21,2664000,55.11
"2013-08-09",56.41,56.41,55.76,56.26,1569800,55.16
"2013-08-12",56,56.59,55.47,55.55,2284700,54.47
"2013-08-13",55.77,56.37,55.45,56.04,1802400,54.95
"2013-08-14",56.12,56.19,54.55,55.17,3755300,54.09
"2013-08-15",54.62,54.69,53.37,53.5,3706600,52.46
"2013-08-16",53.26,53.34,52.53,52.77,3824600,51.74
"2013-08-19",52.42,52.5,51.91,52.11,4050000,51.09
"2013-08-20",52.45,53.61,52.19,52.63,3293400,51.6
"2013-08-21",52.58,52.76,51.99,52.27,2543800,51.25
"2013-08-22",52.32,53.29,52.27,53.02,1946700,51.98
"2013-08-23",52.99,53.38,52.77,52.82,2790600,51.79
"2013-08-26",53.09,53.09,51.69,52.08,3153500,51.06
"2013-08-27",51.67,52.31,51.53,51.94,3203400,50.93
"2013-08-28",51.75,52,51.2,51.57,2697200,50.56
"2013-08-29",51.23,52.29,51.22,51.93,2582400,50.92
"2013-08-30",51.97,52.25,51.53,51.77,1966500,50.76
"2013-09-03",52.49,53.13,52.01,52.36,2393800,51.34
"2013-09-04",52.2,53.2,52.1,52.94,2591600,51.91
"2013-09-05",52.84,53.26,52.68,52.89,1990000,51.86
"2013-09-06",53.43,53.81,52.58,53.21,2791400,52.17
"2013-09-09",53.51,54.44,53.24,54.23,3474000,53.17
"2013-09-10",54.31,54.4,52.64,53.12,4583000,52.08
"2013-09-11",53,53.73,53,53.64,2828100,52.59
"2013-09-12",53.53,53.64,53.29,53.4,2077300,52.36
"2013-09-13",53.74,54.28,53.33,54.24,1962700,53.18
"2013-09-16",54.68,55.17,54.58,54.79,2053300,53.72
"2013-09-17",54.8,55.2,54.58,55,1491800,53.93
"2013-09-18",55.17,55.65,54.38,55.53,2434400,54.45
"2013-09-19",55.5,55.51,53.8,53.98,3974600,52.93
"2013-09-20",53.93,54.45,53.8,54.03,15053400,52.97
"2013-09-23",54.1,54.28,53.57,53.98,1722200,52.93
"2013-09-24",54.11,54.11,52.95,53.04,3026800,52
"2013-09-25",53.1,53.32,52.44,52.64,2445100,51.61
"2013-09-26",52.9,53.06,52.32,53.04,1944200,52
"2013-09-27",52.88,53.1,52.25,52.88,1792300,51.85
"2013-09-30",52.39,52.82,52.08,52.48,2637800,51.46
"2013-10-01",52.46,53,52.28,52.96,2041000,51.93
"2013-10-02",52.59,53.08,52.1,53.06,2565300,52.02
"2013-10-03",52.86,53.03,52.12,52.46,2071000,51.44
"2013-10-04",52.51,53.46,52.42,53.22,9195800,52.18
"2013-10-07",52.71,54.36,52.71,53.85,8603200,52.8
"2013-10-08",53.79,53.82,52.71,53.07,3671600,52.03
"2013-10-09",52.55,52.79,51.77,51.88,3463000,51.38
"2013-10-10",52.36,52.94,52.25,52.57,2955200,52.06
"2013-10-11",52.42,52.89,52.29,52.34,3024500,51.83
"2013-10-14",52.2,52.5,52.1,52.36,3085600,51.85
"2013-10-15",52.1,52.32,51.72,52.11,3185900,51.6
"2013-10-16",52.45,53.1,52.37,53.06,2611200,52.54
"2013-10-17",52.61,53.88,52.61,53.78,2283400,53.26
"2013-10-18",53.81,53.99,53.62,53.69,2282100,53.17
"2013-10-21",53.71,54.03,53.24,54.01,1646100,53.48
"2013-10-22",54.54,54.95,54.01,54.73,2024600,54.2
"2013-10-23",54.35,54.98,54.16,54.42,1583600,53.89
"2013-10-24",54.64,54.82,54.3,54.61,1464300,54.08
"2013-10-25",54.91,54.97,54.52,54.96,1508600,54.43
"2013-10-28",54.62,55.73,54.62,55.51,2705100,54.97
"2013-10-29",55.68,55.8,55,55.79,2396700,55.25
"2013-10-30",55.75,55.93,55.22,55.44,1804900,54.9
"2013-10-31",54.79,54.79,53.08,54.38,5739700,53.85
"2013-11-01",54.51,55.14,54.33,54.63,3638200,54.1
"2013-11-04",54.66,55.03,54.45,54.58,2370000,54.05
"2013-11-05",54.38,54.51,54.09,54.11,2137100,53.58
"2013-11-06",54.3,54.5,54.07,54.37,2193200,53.84
"2013-11-07",54.25,54.38,53.26,53.44,2959000,52.92
"2013-11-08",53.5,53.55,52.37,52.73,6687700,52.22
"2013-11-11",52.61,52.8,52.12,52.38,3177500,51.87
"2013-11-12",52.39,52.5,51.84,51.96,4313600,51.45
"2013-11-13",52.37,52.53,51.97,52.52,3175800,52.01
"2013-11-14",52.71,53.18,52.58,53.02,2716400,52.5
"2013-11-15",53.07,53.13,52.51,53.05,3306900,52.53
"2013-11-18",53.31,53.94,52.8,52.94,2952600,52.42
"2013-11-19",52.96,53.11,52.68,52.87,2975800,52.36
"2013-11-20",53.59,53.59,52.29,52.59,3899400,52.08
"2013-11-21",52.69,52.82,52.09,52.5,3584600,51.99
"2013-11-22",52.13,52.9,52.12,52.72,2390900,52.21
"2013-11-25",52.99,52.99,52.6,52.68,2034900,52.17
"2013-11-26",52.97,53.59,52.8,53.17,3702800,52.65
"2013-11-27",53.1,53.59,53,53.39,2600400,52.87
"2013-11-29",53.39,53.69,53.03,53.12,1443100,52.6
"2013-12-02",53.36,53.41,52.76,53.1,2398400,52.58
"2013-12-03",52.91,53.32,52.86,53.03,2365500,52.51
"2013-12-04",52.87,52.99,52.31,52.81,2522000,52.3
"2013-12-05",52.88,52.98,52.45,52.66,2183400,52.15
"2013-12-06",53.05,53.6,53.04,53.55,2363100,53.03
"2013-12-09",54.58,54.92,54.3,54.5,3941000,53.97
"2013-12-10",54.72,54.78,53.67,54.06,3160200,53.53
"2013-12-11",53.86,54.14,53.63,53.73,2138500,53.21
"2013-12-12",53.63,53.69,52.67,52.93,3206200,52.41
"2013-12-13",53.25,53.27,52.47,52.61,3145200,52.1
"2013-12-16",52.72,53.3,52.6,52.84,2000100,52.33
"2013-12-17",52.7,52.75,52.3,52.44,2791800,51.93
"2013-12-18",53.22,53.42,52.41,53.34,4538600,52.82
"2013-12-19",53.42,53.5,52.91,53.18,4173500,52.66
"2013-12-20",53.29,54.05,53.2,54,5544200,53.47
"2013-12-23",53.65,54,53.51,53.95,2257000,53.43
"2013-12-24",53.33,53.49,53.06,53.32,1103100,53.32
"2013-12-26",53.34,53.71,53.22,53.63,1399800,53.63
"2013-12-27",53.79,53.94,53.56,53.71,1490400,53.71
"2013-12-30",53.67,54.12,53.6,53.94,1629100,53.94
"2013-12-31",53.91,54.21,53.72,53.91,1720000,53.91
"2014-01-02",53.8,53.89,53.43,53.73,1770300,53.73
"2014-01-03",53.7,53.99,53.38,53.45,2055900,53.45
"2014-01-06",53.94,53.94,53.11,53.43,2386600,53.43
"2014-01-07",53.37,54.16,53.32,53.93,3334100,53.93
"2014-01-08",54.32,54.48,52.81,53.25,5406700,53.25
"2014-01-09",53.47,53.72,52.87,53.32,3363100,53.32
"2014-01-10",53.41,53.82,53.12,53.8,2429200,53.8
"2014-01-13",53.65,54.06,53.21,53.49,3619200,53.49
"2014-01-14",53.66,54.71,53.51,54.42,4294500,54.42
"2014-01-15",54.48,54.68,54,54.51,2612400,54.51
"2014-01-16",54.34,54.85,54.11,54.69,2365500,54.69
"2014-01-17",54.53,55.11,54.4,54.76,4169400,54.76
"2014-01-21",55.2,55.2,54.05,54.24,3443400,54.24
"2014-01-22",54.43,54.52,54.04,54.4,2794700,54.4
"2014-01-23",54.14,54.25,53.31,53.49,3474100,53.49
"2014-01-24",53.17,53.56,52.67,52.89,3286800,52.89
"2014-01-27",53.04,53.21,52.73,52.84,3082900,52.84
"2014-01-28",52.96,53.1,52.58,52.88,2216300,52.88
"2014-01-29",52.55,52.88,52.06,52.19,2954000,52.19
"2014-01-30",52.59,52.81,52.21,52.68,2982700,52.68
"2014-01-31",52.01,52.6,51.99,52.35,3247600,52.35
"2014-02-03",52.86,52.91,51.07,51.12,4699600,51.12
"2014-02-04",51.24,51.46,50.59,51.06,3743100,51.06
"2014-02-05",51,51.32,50.54,51.12,3396300,51.12
"2014-02-06",51.38,51.71,51.25,51.65,2764700,51.65
"2014-02-07",52.11,52.42,51.91,52.3,3058800,52.3
"2014-02-10",52.35,53.29,52.11,53.19,3443500,53.19
"2014-02-11",53.1,53.4,52.91,53.17,3885100,53.17
"2014-02-12",53.45,53.62,53.08,53.42,3279800,53.42
"2014-02-13",53.07,53.75,53.07,53.61,3388800,53.61
"2014-02-14",54.85,55,52.56,53.76,8027200,53.76
"2014-02-18",53.89,54.47,53.7,54.33,3582500,54.33
"2014-02-19",54,54.69,53.99,54.56,3309500,54.56
"2014-02-20",54.53,55.6,54.53,55.2,4253900,55.2
"2014-02-21",54.97,55.57,54.75,55.09,3584200,55.09
"2014-02-24",55,55.63,55,55.12,2891800,55.12
"2014-02-25",55.04,55.75,55.04,55.49,2619600,55.49
"2014-02-26",55.69,55.7,54.54,54.88,3626300,54.88
"2014-02-27",54.76,55.18,54.53,55.17,4120200,55.17
"2014-02-28",55.28,55.59,54.96,55.27,2930500,55.27
"2014-03-03",54.88,55.2,54.48,55.1,2288400,55.1
"2014-03-04",55.55,56.02,55.41,55.8,2628100,55.8
"2014-03-05",55.52,55.67,55.32,55.63,2629900,55.63
"2014-03-06",55.8,55.8,55.54,55.62,1537100,55.62
"2014-03-07",55.97,55.99,55.2,55.65,1864600,55.65
"2014-03-10",55.69,56.04,55.46,55.52,2082300,55.52
"2014-03-11",55.54,55.76,55.19,55.42,2213000,55.42
"2014-03-12",55,55.72,55,55.72,2482000,55.72
"2014-03-13",55.26,56.1,55.14,55.67,2033600,55.67
"2014-03-14",55.34,55.75,55.25,55.47,2922200,55.47
"2014-03-17",55.89,56,55.52,55.92,2323600,55.92
