"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume","CELG.Adjusted"
"2007-04-10",59.08,59.24,57.52,58.04,5087200,58.04
"2007-04-11",57.4,57.94,56.54,57.6,3578200,57.6
"2007-04-12",57.49,58.4,57.37,58,2963900,58
"2007-04-13",57.81,58.26,57.1,57.98,3175700,57.98
"2007-04-16",58.14,58.19,57.33,57.73,3533700,57.73
"2007-04-17",57.64,57.96,56.83,57.18,3114900,57.18
"2007-04-18",56.9,57.56,56.75,57.43,5294800,57.43
"2007-04-19",56.92,60.59,56.82,60,7580800,60
"2007-04-20",60.6,60.82,59.6,60.27,5640400,60.27
"2007-04-23",60.98,63.18,60.9,61.92,6005000,61.92
"2007-04-24",62.18,62.58,61.38,62.18,3144500,62.18
"2007-04-25",62.26,62.28,61.13,61.78,4194800,61.78
"2007-04-26",61.64,62.25,61.26,61.99,2365400,61.99
"2007-04-27",61.86,62.29,61.5,61.92,2712500,61.92
"2007-04-30",62.22,62.3,61.06,61.16,4084400,61.16
"2007-05-01",61.45,61.55,60.01,61.41,3442600,61.41
"2007-05-02",61.87,62.87,61.06,62.86,4029500,62.86
"2007-05-03",59.61,62.29,59.37,61.61,11412200,61.61
"2007-05-04",62.18,63.9,62.12,63.03,4559800,63.03
"2007-05-07",62.49,63.03,62.49,62.85,3117800,62.85
"2007-05-08",62.96,63.76,62.65,63.67,3706000,63.67
"2007-05-09",63.68,64.5,63.12,64.45,3630900,64.45
"2007-05-10",64.37,64.44,62.9,62.98,3325000,62.98
"2007-05-11",63.32,64.55,62.51,64.2,2929900,64.2
"2007-05-14",64.25,64.99,64.25,64.63,3484900,64.63
"2007-05-15",64.99,65.55,63.96,64.07,5435800,64.07
"2007-05-16",64.3,64.81,64.11,64.67,4466200,64.67
"2007-05-17",64.71,64.99,64,64.07,2620700,64.07
"2007-05-18",64.37,64.94,63.53,64.54,4095100,64.54
"2007-05-21",64.53,65.09,64.51,65,2349600,65
"2007-05-22",66.55,66.95,65.85,65.97,4397200,65.97
"2007-05-23",66,66.48,65.24,65.44,3041600,65.44
"2007-05-24",65.6,65.6,63.34,63.7,4168900,63.7
"2007-05-25",63.76,63.94,62.18,62.45,4527300,62.45
"2007-05-29",62.35,62.54,61.42,61.61,3584600,61.61
"2007-05-30",61.65,62.4,60.98,61.44,5188500,61.44
"2007-05-31",61.79,62,61,61.2,4040900,61.2
"2007-06-01",61.31,62.38,61.2,61.8,3454300,61.8
"2007-06-04",62.27,62.54,60.86,61.71,5591600,61.71
"2007-06-05",61.8,61.89,60.62,61.41,3401700,61.41
"2007-06-06",61.28,61.55,60.46,60.67,4261600,60.67
"2007-06-07",60.15,60.2,57.24,57.24,8804800,57.24
"2007-06-08",57.94,59.17,57.5,58.47,6185500,58.47
"2007-06-11",59.15,59.93,58.65,59.86,3922100,59.86
"2007-06-12",59,59.72,57.85,57.93,4540800,57.93
"2007-06-13",57.95,59,57.27,59,4284500,59
"2007-06-14",59,59.99,59,59.57,3738200,59.57
"2007-06-15",60.4,61,59.77,60.08,7011600,60.08
"2007-06-18",60.08,60.5,58.79,58.79,3248600,58.79
"2007-06-19",59.2,59.39,58.52,58.82,3378400,58.82
"2007-06-20",59.02,59.17,57.3,57.44,3819600,57.44
"2007-06-21",57.25,58.23,56.63,57.91,3266700,57.91
"2007-06-22",57.6,57.75,56.4,56.4,4349100,56.4
"2007-06-25",56.44,57.19,55.9,56.25,4139600,56.25
"2007-06-26",57.26,58.29,57.02,57.26,5300800,57.26
"2007-06-27",56.75,58.8,56.75,58.67,4679900,58.67
"2007-06-28",58.8,59.1,57.81,57.81,3868900,57.81
"2007-06-29",57.96,58.23,56.62,57.33,3794400,57.33
"2007-07-02",57.5,58.1,57.39,57.88,2880500,57.88
"2007-07-03",57.88,58.24,57.7,57.99,1622400,57.99
"2007-07-05",58.22,58.22,57.71,57.75,3252900,57.75
"2007-07-06",58.04,58.17,57.75,58.08,2451000,58.08
"2007-07-09",58.36,59.69,58.08,59.04,5000500,59.04
"2007-07-10",58.73,59.44,58.48,58.53,4281500,58.53
"2007-07-11",58.58,59.31,58.5,59.28,3305000,59.28
"2007-07-12",60,60.25,59.08,59.65,3254200,59.65
"2007-07-13",59.39,59.64,59.02,59.2,2459600,59.2
"2007-07-16",59,59.1,57.92,58.32,2700200,58.32
"2007-07-17",58.54,58.81,57.65,58.6,3685600,58.6
"2007-07-18",58.35,59.46,58.1,59.29,4450400,59.29
"2007-07-19",59.8,59.86,58.94,59.41,2684800,59.41
"2007-07-20",59.83,59.83,58.33,58.44,4619500,58.44
"2007-07-23",58.28,58.3,56.82,57.43,4933400,57.43
"2007-07-24",56.87,58.3,56.5,56.69,5491300,56.69
"2007-07-25",57.02,59,56.86,58.75,5322800,58.75
"2007-07-26",60,60.97,59.25,60.2,9902000,60.2
"2007-07-27",60.52,62.35,60.52,61.13,6852400,61.13
"2007-07-30",61.19,62.07,60.65,61.75,5722900,61.75
"2007-07-31",62.38,63.1,60.44,60.56,5827900,60.56
"2007-08-01",60.57,61,59.01,60.02,5175100,60.02
"2007-08-02",60.27,60.62,59.33,60.42,3460300,60.42
"2007-08-03",60.47,60.75,59.46,59.46,3202300,59.46
"2007-08-06",59.71,61.01,59.12,61.01,4271400,61.01
"2007-08-07",60.51,61.48,60.09,60.98,4473200,60.98
"2007-08-08",61.84,62.11,60.48,61.62,4252300,61.62
"2007-08-09",60.55,61.99,59.71,59.71,4563900,59.71
"2007-08-10",59.18,60.22,58.31,59.57,3460100,59.57
"2007-08-13",59.75,60.92,59.21,60.38,3556200,60.38
"2007-08-14",60.26,61,59.89,60.19,3037900,60.19
"2007-08-15",60.2,61.59,59.74,60.21,5357200,60.21
"2007-08-16",59.42,60.11,57.41,58.85,6217200,58.85
"2007-08-17",59.26,59.98,57.65,59.27,4765500,59.27
"2007-08-20",59.05,59.09,56.66,58.71,3754600,58.71
"2007-08-21",58.05,59.93,58.05,59.76,3025300,59.76
"2007-08-22",60,60.17,59.22,59.89,2735800,59.89
"2007-08-23",59.8,60.54,59.54,60.26,2753200,60.26
"2007-08-24",59.99,60.29,59.24,59.8,2510800,59.8
"2007-08-27",59.51,59.98,59.26,59.45,2584600,59.45
"2007-08-28",59.4,60.52,59.4,59.9,3267400,59.9
"2007-08-29",60.41,61.85,59.98,61.8,2951400,61.8
"2007-08-30",61.2,64,61.11,63.87,5837600,63.87
"2007-08-31",64.12,64.3,63.67,64.21,3423100,64.21
"2007-09-04",64,65.92,63.44,65.85,4421800,65.85
"2007-09-05",65.55,65.99,65.04,65.1,3889200,65.1
"2007-09-06",65.48,67.32,65.39,66.59,4786700,66.59
"2007-09-07",65.61,66.25,64.96,65.07,3729700,65.07
"2007-09-10",65.24,66.7,64.83,66.13,3063700,66.13
"2007-09-11",66.57,68.9,66.5,68.74,4977400,68.74
"2007-09-12",68.21,69.99,67.98,69.29,4339500,69.29
"2007-09-13",69.4,69.97,68.26,69.01,3551800,69.01
"2007-09-14",68.44,69.8,68.43,69.01,3843500,69.01
"2007-09-17",68.86,69,66.86,67.75,3218800,67.75
"2007-09-18",67.31,69.29,67,69.29,4190900,69.29
"2007-09-19",69.86,70.31,68.56,69.3,4146800,69.3
"2007-09-20",69.45,70.2,69.24,69.31,3004200,69.31
"2007-09-21",69.66,70.71,69.31,70.63,5332300,70.63
"2007-09-24",70.45,72.23,70.05,72.2,4083400,72.2
"2007-09-25",71.4,71.73,69.67,69.76,4286000,69.76
"2007-09-26",70.31,72.06,69.39,71.51,3771100,71.51
"2007-09-27",72.02,72.15,70.34,71.27,3727300,71.27
"2007-09-28",71.04,72.08,70.86,71.31,4403900,71.31
"2007-10-01",71.38,72.75,71.3,72.69,3560800,72.69
"2007-10-02",72.77,72.79,71.64,71.99,2133600,71.99
"2007-10-03",71.64,72.09,71.26,71.54,2225300,71.54
"2007-10-04",71.84,72.82,71.3,72.38,2117700,72.38
"2007-10-05",72.52,72.91,71.35,72.71,2563100,72.71
"2007-10-08",72.23,72.84,71.77,72,1751100,72
"2007-10-09",72.31,73.82,71.9,73.55,2822200,73.55
"2007-10-10",73.4,75.34,73.2,75.18,3407400,75.18
"2007-10-11",75.42,75.44,71.43,72.15,5035200,72.15
"2007-10-12",72.64,74.24,72.51,74,2842300,74
"2007-10-15",74.01,74.74,71.7,72.58,3189300,72.58
"2007-10-16",73.24,73.25,71.77,72.44,2907600,72.44
"2007-10-17",73.5,73.52,70.57,72.27,3196700,72.27
"2007-10-18",72.25,72.86,71.16,71.65,2669100,71.65
"2007-10-19",71.65,72.23,69.75,69.96,4841600,69.96
"2007-10-22",69.24,70.49,67.96,69.7,3881000,69.7
"2007-10-23",70.9,71.54,70,71.17,3936400,71.17
"2007-10-24",71,71.19,68.47,70.18,5353900,70.18
"2007-10-25",64.93,66.21,60.26,64.22,21620600,64.22
"2007-10-26",65.96,67,64.61,66.86,8072000,66.86
"2007-10-29",67.4,67.4,65.51,66.22,4279400,66.22
"2007-10-30",65.98,65.98,64.71,65.08,3632300,65.08
"2007-10-31",65.04,66,64.35,66,3455500,66
"2007-11-01",65.28,66,64.37,64.44,3292700,64.44
"2007-11-02",64.86,65.13,63.55,64.94,4499700,64.94
"2007-11-05",64.56,64.62,63.29,64.05,3314000,64.05
"2007-11-06",64.06,65.51,63.75,65.48,3189100,65.48
"2007-11-07",64.46,65.27,63.4,63.43,4060000,63.43
"2007-11-08",63.26,64.76,61.81,64.16,4868400,64.16
"2007-11-09",62.8,64.39,62,62.89,4598700,62.89
"2007-11-12",62.73,63.63,62.27,62.28,3573000,62.28
"2007-11-13",62.46,63.18,61.33,63.14,3462300,63.14
"2007-11-14",63.71,64.81,62.75,63.6,3600600,63.6
"2007-11-15",63.63,65.9,63.63,64.52,4035900,64.52
"2007-11-16",64.81,65.45,64.25,64.9,3606400,64.9
"2007-11-19",63.66,66.28,63.08,64,7168700,64
"2007-11-20",64.89,65.6,63.36,64.56,5208900,64.56
"2007-11-21",64.84,65,62.49,62.54,4103900,62.54
"2007-11-23",63,63.39,61.68,62.35,1651800,62.35
"2007-11-26",63.2,63.27,60.29,60.41,5599200,60.41
"2007-11-27",60.56,62.42,60.06,62.34,4267600,62.34
"2007-11-28",63.31,64.05,62.54,63.76,4302800,63.76
"2007-11-29",63.63,64.22,62.06,62.5,4691900,62.5
"2007-11-30",63,63.09,61.01,61.55,5607600,61.55
"2007-12-03",61.79,61.79,59.65,60.28,4656700,60.28
"2007-12-04",60.12,60.78,58.37,58.89,5035300,58.89
"2007-12-05",59.68,60.18,58.93,59.93,4685700,59.93
"2007-12-06",59.83,60.22,59.36,60.1,3309800,60.1
"2007-12-07",60.08,60.08,57.21,57.36,7529200,57.36
"2007-12-10",55.22,55.36,47.21,49.18,43453000,49.18
"2007-12-11",51.01,51.85,50.03,50.21,14831600,50.21
"2007-12-12",50.8,50.8,49.26,49.99,9024300,49.99
"2007-12-13",49.89,50.11,47.82,49.52,6812500,49.52
"2007-12-14",49.3,50.97,48.31,50.41,6291100,50.41
"2007-12-17",50.39,50.7,49.35,49.93,6442200,49.93
"2007-12-18",50.03,51.02,49.48,49.85,7268900,49.85
"2007-12-19",49.53,49.99,46.95,47.32,7744200,47.32
"2007-12-20",46.98,49.74,41.26,49.49,29912200,49.49
"2007-12-21",49.95,50,45.2,48,12235100,48
"2007-12-24",47.24,49.27,47.15,48.31,3088900,48.31
"2007-12-26",48.49,48.6,47.38,48.42,3018100,48.42
"2007-12-27",48.23,48.4,47.02,47.15,3316600,47.15
"2007-12-28",47.2,47.29,46,47,3855500,47
"2007-12-31",46.02,46.94,45.77,46.21,5170400,46.21
"2008-01-02",46.07,47.59,46.07,46.3,7083300,46.3
"2008-01-03",47.15,49.88,46.95,49.85,9603700,49.85
"2008-01-04",49.62,50.4,48.95,49.65,7974400,49.65
"2008-01-07",52.26,52.69,50.11,50.49,11662600,50.49
"2008-01-08",50.91,51.47,49.6,49.61,7258000,49.61
"2008-01-09",49.65,52.07,49.37,51.5,6601800,51.5
"2008-01-10",52.13,52.92,51.02,52.8,7474800,52.8
"2008-01-11",52.67,55.32,52.31,54.27,8343000,54.27
"2008-01-14",54.95,55,53.28,53.98,4753100,53.98
"2008-01-15",54.11,54.25,52.58,53.48,4854300,53.48
"2008-01-16",53.75,55.95,53.14,54.66,7864200,54.66
"2008-01-17",54.75,55.95,54.75,55.62,7426700,55.62
"2008-01-18",55.38,56,53.37,54.75,7562800,54.75
"2008-01-22",50.05,53.5,50,52.28,7186800,52.28
"2008-01-23",50.79,53.9,50.4,53.6,6595600,53.6
"2008-01-24",53.51,54.13,51.24,52.09,6352000,52.09
"2008-01-25",52.21,52.6,50.53,51.47,4950000,51.47
"2008-01-28",52.22,54.02,51.5,53.98,4543200,53.98
"2008-01-29",54.06,54.91,53.64,54.28,3723900,54.28
"2008-01-30",54.19,55.07,53.43,53.96,5018000,53.96
"2008-01-31",53.61,56.32,53.38,56.11,6395100,56.11
"2008-02-01",56.7,59.99,56.21,59.7,7391500,59.7
"2008-02-04",59.8,59.99,57.18,57.29,6567400,57.29
"2008-02-05",56.01,57.15,55.5,55.61,4618600,55.61
"2008-02-06",56.7,58.68,55,57.38,6755100,57.38
"2008-02-07",57.04,58.92,56.61,57.95,5842100,57.95
"2008-02-08",57.96,58.49,57.4,58.37,3411100,58.37
"2008-02-11",58.37,58.88,57.15,58.01,3086000,58.01
"2008-02-12",58.7,58.7,56.63,56.83,4939200,56.83
"2008-02-13",57.7,57.99,56.3,57.36,3453200,57.36
"2008-02-14",57.55,57.75,55.7,56.16,3553200,56.16
"2008-02-15",55.91,56.4,54.91,55.71,3885000,55.71
"2008-02-19",55.86,57.43,55.84,56.1,3125100,56.1
"2008-02-20",55.79,56.71,53.83,54.87,5557700,54.87
"2008-02-21",54.77,54.93,54.01,54.56,4749700,54.56
"2008-02-22",54.93,54.93,53.03,54.26,4936000,54.26
"2008-02-25",55.1,56.87,54.89,56.49,5879500,56.49
"2008-02-26",56.21,57.45,56.1,56.63,4327100,56.63
"2008-02-27",56.29,57.65,56.15,56.98,4779900,56.98
"2008-02-28",56.44,57.81,56.3,57.49,4758700,57.49
"2008-02-29",56.95,57.25,55.76,56.41,6372600,56.41
"2008-03-03",56.43,57.83,56.1,56.3,4589000,56.3
"2008-03-04",56.34,57.39,55.42,57.32,7820100,57.32
"2008-03-05",57.27,57.7,56.57,57.3,4436100,57.3
"2008-03-06",57.5,57.5,54.8,54.93,7129900,54.93
"2008-03-07",54.89,56.78,54.63,56.76,10503000,56.76
"2008-03-10",55.99,56.84,55.15,55.38,5473800,55.38
"2008-03-11",55.7,57.14,54.93,57.14,6228600,57.14
"2008-03-12",56.95,57.37,56.25,56.56,4324800,56.56
"2008-03-13",56.17,58.11,55.85,57.77,6755400,57.77
"2008-03-14",57.56,57.6,55.21,56.3,6160800,56.3
"2008-03-17",54.58,55.99,53.85,54.35,6237500,54.35
"2008-03-18",55.43,57.85,55.1,57.74,5619600,57.74
"2008-03-19",57.74,58.64,57.07,57.68,4466000,57.68
"2008-03-20",57.95,58.43,56.76,57.91,9724100,57.91
"2008-03-24",57.96,60.28,57.76,60.2,5340700,60.2
"2008-03-25",60.52,61.72,59.89,61.34,4701500,61.34
"2008-03-26",60.73,62.08,60.38,61.82,4499100,61.82
"2008-03-27",62.08,62.2,60.9,60.92,3944100,60.92
"2008-03-28",61.29,61.35,59.13,59.44,3284800,59.44
"2008-03-31",61.05,61.37,59.64,61.29,4870600,61.29
"2008-04-01",62.01,63.42,61.3,63.34,5958000,63.34
"2008-04-02",63.46,64.2,62.78,64.1,3954800,64.1
"2008-04-03",64.07,64.47,62.71,63.34,3992500,63.34
"2008-04-04",64.33,64.82,63.3,64.31,3631300,64.31
"2008-04-07",64.6,64.6,62.68,63.15,2850200,63.15
"2008-04-08",62.58,63.4,61.88,62.42,2851600,62.42
"2008-04-09",62.49,62.6,61.41,62.03,2065000,62.03
"2008-04-10",62,64.54,61.79,63.89,3747700,63.89
"2008-04-11",63.57,64.18,62.23,62.66,3167000,62.66
"2008-04-14",62.16,63.7,62.1,63.1,2434700,63.1
"2008-04-15",63.22,63.49,62.47,63.19,2259700,63.19
"2008-04-16",63.84,64.98,63.45,64.78,4208600,64.78
"2008-04-17",65,65.09,64.06,64.65,2345700,64.65
"2008-04-18",65.45,65.45,64.2,64.45,4381000,64.45
"2008-04-21",63.75,64.44,63.32,64.07,2669400,64.07
"2008-04-22",63.69,63.97,62.85,63,2859900,63
"2008-04-23",63.48,64.37,62.96,63.56,2696100,63.56
"2008-04-24",63.95,64.4,62.48,63.68,3133500,63.68
"2008-04-25",63.6,64.38,62.52,63.11,2303000,63.11
"2008-04-28",63.43,64.91,63.21,63.95,2462100,63.95
"2008-04-29",63.91,64.13,62.69,63,2864500,63
"2008-04-30",63.28,63.44,62,62.14,3511000,62.14
"2008-05-01",62.07,63.61,61.87,63.61,2898500,63.61
"2008-05-02",64.12,64.66,63.79,64.36,2712000,64.36
"2008-05-05",64.15,65.9,64.15,65.27,3911600,65.27
"2008-05-06",65.27,65.83,64.94,65.64,2869300,65.64
"2008-05-07",65.32,65.41,62.5,63.1,5641700,63.1
"2008-05-08",63.29,63.78,61.59,62.47,6851500,62.47
"2008-05-09",60.99,63,60.32,62.49,5623500,62.49
"2008-05-12",62.5,63.18,61.41,61.73,4753400,61.73
"2008-05-13",61.6,62.06,59.43,60.31,5786100,60.31
"2008-05-14",60.6,61.68,60.31,61,3948800,61
"2008-05-15",60.7,60.9,58.97,59.29,5067600,59.29
"2008-05-16",60.29,61.79,59.61,61.09,6038600,61.09
"2008-05-19",61,61.39,59.37,59.97,3694400,59.97
"2008-05-20",59.5,60.25,58.16,59,5353500,59
"2008-05-21",59.22,59.47,56.88,56.9,6384100,56.9
"2008-05-22",57.17,58.56,57.13,58.1,5217000,58.1
"2008-05-23",57.66,59.31,57.43,58.86,5156900,58.86
"2008-05-27",58.9,59.69,58.77,59.23,3508600,59.23
"2008-05-28",59.68,59.95,58,58.53,3097200,58.53
"2008-05-29",59.03,60.76,58.91,60.55,4470100,60.55
"2008-05-30",60.55,61.3,60.1,60.86,3629300,60.86
"2008-06-02",60.49,61.27,60.2,61.2,4335800,61.2
"2008-06-03",61.6,62.07,60.81,61.31,4339100,61.31
"2008-06-04",61.03,62.93,61.03,62.83,5424600,62.83
"2008-06-05",63.3,63.92,62.6,63.35,4162200,63.35
"2008-06-06",62.83,63,61.13,61.39,4555300,61.39
"2008-06-09",61.13,61.85,60.13,61.47,3720100,61.47
"2008-06-10",61.1,61.8,60.33,60.89,2389600,60.89
"2008-06-11",60.89,61.13,59.2,59.41,3496900,59.41
"2008-06-12",59.44,60.34,58.48,58.74,3632300,58.74
"2008-06-13",59.13,60.55,58.84,60.27,2792700,60.27
"2008-06-16",59.72,61.99,59.22,61.69,3301200,61.69
"2008-06-17",61.67,61.75,60.37,60.55,2547500,60.55
"2008-06-18",60.58,60.79,59.9,60.02,2703300,60.02
"2008-06-19",60.17,61,59.36,60.84,3791000,60.84
"2008-06-20",60.59,60.99,58.63,59.58,5818200,59.58
"2008-06-23",59.73,60.23,59.09,59.74,2932200,59.74
"2008-06-24",59.57,60.4,58.95,59.86,2326200,59.86
"2008-06-25",59.95,62.42,59.33,61.97,4062300,61.97
"2008-06-26",61.46,62.3,61.2,61.75,4338700,61.75
"2008-06-27",61.36,63.77,61.35,63.33,6236300,63.33
"2008-06-30",63.38,64.31,63.33,63.87,4206200,63.87
"2008-07-01",65.9,69.39,65.16,69.26,18506900,69.26
"2008-07-02",69.05,69.24,67.4,67.87,8140900,67.87
"2008-07-03",68.48,68.98,66.93,67.37,4497500,67.37
"2008-07-07",67.72,69.77,67.72,69.19,6014100,69.19
"2008-07-08",69.42,71.84,69.35,71.82,8913600,71.82
"2008-07-09",71.82,72.31,70.43,70.53,5738600,70.53
"2008-07-10",70.82,72.68,70.42,72.63,7532900,72.63
"2008-07-11",72.11,72.45,70.55,71.66,3883900,71.66
"2008-07-14",72.18,72.47,70.16,71.03,3326800,71.03
"2008-07-15",70.77,73.13,70.47,72.88,7246900,72.88
"2008-07-16",72.85,73,71.43,71.99,4753300,71.99
"2008-07-17",71.61,72.69,70.81,71.46,4425200,71.46
"2008-07-18",70.88,72,70.22,70.85,4145400,70.85
"2008-07-21",71.5,73.39,71.42,71.51,4741400,71.51
"2008-07-22",72.22,72.78,71.56,72.25,4237200,72.25
"2008-07-23",72.4,72.4,69.03,70.45,7718800,70.45
"2008-07-24",71.48,74.5,70.26,73.26,10458400,73.26
"2008-07-25",73.57,74.81,73.57,74.54,6116600,74.54
"2008-07-28",72.16,74.69,71.9,73.51,6252000,73.51
"2008-07-29",72.05,74.7,72.05,73.75,5349600,73.75
"2008-07-30",74.32,74.63,72.6,74.12,4066100,74.12
"2008-07-31",74.59,76.8,74.26,75.49,5401700,75.49
"2008-08-01",75.89,75.99,73.42,73.92,4082600,73.92
"2008-08-04",73.94,74.83,72.08,73.12,3698800,73.12
"2008-08-05",74,76.11,73.53,76.07,5472300,76.07
"2008-08-06",76,77.38,75.92,76.56,4699700,76.56
"2008-08-07",76.66,76.68,73.73,73.8,5090300,73.8
"2008-08-08",74.13,75.52,74.04,75.15,3603900,75.15
"2008-08-11",75.6,76,74.74,75.92,2580400,75.92
"2008-08-12",75.94,76.21,74.61,75.59,3167300,75.59
"2008-08-13",74.61,76.19,74.46,75.69,2592700,75.69
"2008-08-14",75.79,77.25,75.05,77.01,2935500,77.01
"2008-08-15",77.36,77.39,75.54,75.86,3576900,75.86
"2008-08-18",76.38,76.86,74.78,75.28,3584900,75.28
"2008-08-19",73.97,74.85,72.48,72.91,4174200,72.91
"2008-08-20",73.1,73.83,71.31,72.34,3650200,72.34
"2008-08-21",72.11,72.27,70.75,71.91,2918100,71.91
"2008-08-22",72.78,73.6,72.52,73.04,2710300,73.04
"2008-08-25",72.73,73.44,71,71.45,2984200,71.45
"2008-08-26",71.18,72.17,70.91,71.64,1997400,71.64
"2008-08-27",71.75,71.75,70.06,70.85,2900100,70.85
"2008-08-28",70.79,70.84,68.83,69.99,5280900,69.99
"2008-08-29",69.74,70.52,69.08,69.3,2553300,69.3
"2008-09-02",69.85,70.71,68.23,68.44,4142200,68.44
"2008-09-03",68.3,69.76,68.15,69.61,3542700,69.61
"2008-09-04",69.12,69.5,67.49,67.49,3151600,67.49
"2008-09-05",67,67.79,63,66.21,9723500,66.21
"2008-09-08",67.17,67.49,65.52,65.78,5385000,65.78
"2008-09-09",66.6,67.89,65.77,66.92,4567400,66.92
"2008-09-10",67.21,68.83,66.92,68.05,4362300,68.05
"2008-09-11",67.45,70.71,67.45,70.67,4896600,70.67
"2008-09-12",70.33,71.24,70,71.15,4359600,71.15
"2008-09-15",70.19,71.15,69.27,69.32,5270100,69.32
"2008-09-16",68.93,71.08,68,70.3,5607500,70.3
"2008-09-17",69.98,70.13,64.75,64.77,7057700,64.77
"2008-09-18",65.54,65.95,60.4,64.28,11211500,64.28
"2008-09-19",67.75,68.08,64.28,67.95,13608200,67.95
"2008-09-22",67.85,68.49,64,64.01,3898500,64.01
"2008-09-23",64.21,65.49,63.23,63.24,4098400,63.24
"2008-09-24",63.58,65.11,62.88,64.22,4080900,64.22
"2008-09-25",64.67,66.02,64.43,65.05,3832100,65.05
"2008-09-26",64.04,66.49,63.5,66.27,3259500,66.27
"2008-09-29",65.13,66.4,56,56,5332300,56
"2008-09-30",62.52,63.85,62,63.28,7282300,63.28
