"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2011-08-10",53.29,53.85,51.34,51.48,3531500,50.41
"2011-08-11",51.76,53.29,51.15,52.75,3981100,51.65
"2011-08-12",53.18,53.47,51.5,53.23,4113500,52.12
"2011-08-15",53.7,53.82,52.59,53.38,1888700,52.27
"2011-08-16",53.06,53.46,52.32,53.05,2310800,51.95
"2011-08-17",53.31,53.81,52.08,52.8,1472400,51.7
"2011-08-18",51.58,51.67,50.02,50.47,2117500,49.42
"2011-08-19",50.01,51.87,49.92,50.98,3360000,49.92
"2011-08-22",51.89,52.05,50.89,51.06,3004000,50
"2011-08-23",51.11,53,50.72,52.81,3002800,51.71
"2011-08-24",52.41,53.62,52.18,53.48,1190300,52.37
"2011-08-25",53.79,54,52.39,53.08,1925800,51.98
"2011-08-26",52.89,54.35,52.05,54.18,1984800,53.05
"2011-08-29",54.91,55.62,54.78,55.58,1025500,54.42
"2011-08-30",55.43,56.12,54.9,55.77,1328700,54.61
"2011-08-31",56.15,57.25,56.09,56.89,1907000,55.71
"2011-09-01",56.87,57.58,56.24,56.4,1996000,55.23
"2011-09-02",55.28,55.64,54.72,54.92,1327200,53.78
"2011-09-06",53.75,54.96,53.47,54.78,1807100,53.64
"2011-09-07",55.7,57.36,55.54,57.35,3210400,56.16
"2011-09-08",56.7,57.72,56.07,56.9,2365100,55.72
"2011-09-09",56.23,56.3,53.73,53.82,3557700,52.7
"2011-09-12",52.94,53.72,52.29,53.72,3896500,52.6
"2011-09-13",53.97,55.16,53.44,55.03,3458600,53.89
"2011-09-14",55.27,56.43,54.82,55.86,2927200,54.7
"2011-09-15",56.63,57.06,55.55,56.72,2481300,55.54
"2011-09-16",57.04,57.35,56.26,56.94,1823800,55.76
"2011-09-19",56.16,56.78,55.63,56.5,3229400,55.33
"2011-09-20",56.78,58.17,56.59,57.29,1999500,56.1
"2011-09-21",57.42,57.45,55.45,55.46,2304600,54.31
"2011-09-22",52.54,53.71,52.23,53.46,4846500,52.35
"2011-09-23",53.19,53.65,52.7,53.52,2948900,52.41
"2011-09-26",54.05,55.54,53.71,55.45,2671700,54.3
"2011-09-27",56.1,57.42,56,56.53,3274500,55.36
"2011-09-28",56.54,56.56,54.84,54.98,2275100,53.84
"2011-09-29",55.77,55.77,54.73,55.66,3145000,54.5
"2011-09-30",55.06,55.34,53.47,53.48,2356800,52.37
"2011-10-03",53.01,53.51,51.01,51.1,2589800,50.04
"2011-10-04",50.46,51.64,49.67,51.52,3e+06,50.45
"2011-10-05",51.53,52.23,51.07,52.04,2033800,50.96
"2011-10-06",52.04,53.05,51.65,53.05,1693900,51.95
"2011-10-07",53.65,53.65,52.49,52.75,1343700,51.65
"2011-10-10",53.49,54.13,52.96,53.79,1542200,52.67
"2011-10-11",53.49,54.13,53.41,53.8,1134700,52.68
"2011-10-12",54.09,54.75,53.76,53.8,1256300,52.68
"2011-10-13",53.53,53.59,52.25,52.99,1828500,51.89
"2011-10-14",53.64,54,52.81,52.96,1706800,51.86
"2011-10-17",52.36,52.86,51.82,51.96,1250500,50.88
"2011-10-18",51.73,53.1,51.18,52.56,1528300,51.47
"2011-10-19",52.63,53.7,52.4,53.02,1832500,51.92
"2011-10-20",53.02,53.4,52.1,53.13,1619000,52.03
"2011-10-21",53.64,54.65,53.57,54.64,1676500,53.5
"2011-10-24",54.32,55.43,54.32,55,1470400,53.86
"2011-10-25",54.64,54.79,53.47,53.58,1476900,52.47
"2011-10-26",54.26,54.42,52.86,54.02,2919800,52.9
"2011-10-27",53.97,55.06,51.37,54.17,4954600,53.04
"2011-10-28",54.11,54.85,54.04,54.3,2115200,53.17
"2011-10-31",53.84,54.08,52.63,52.63,1522000,51.54
"2011-11-01",51.62,52.43,50.62,50.81,3480100,49.75
"2011-11-02",51.38,52.33,51.22,51.84,1874700,50.76
"2011-11-03",52.37,52.79,51.86,52.69,2010900,51.59
"2011-11-04",52.28,52.37,51.17,51.3,3165700,50.23
"2011-11-07",51.27,52.9,51.27,52.86,1664100,51.76
"2011-11-08",53.15,54.12,52.95,54.05,1772600,52.93
"2011-11-09",52.73,53.27,51.46,51.67,2006600,50.6
"2011-11-10",52.09,52.35,51.58,51.67,2232200,50.6
"2011-11-11",51.95,52.77,51.77,52.5,1228500,51.41
"2011-11-14",52.2,52.55,51.69,52.5,2235600,51.41
"2011-11-15",52.26,52.49,51.53,52.21,1657200,51.12
"2011-11-16",51.65,51.81,51,51.16,3394500,50.1
"2011-11-17",51.12,51.12,49.86,50,2016800,48.96
"2011-11-18",50.38,50.48,48.35,48.44,3882700,47.43
"2011-11-21",47.96,48.45,47.66,48.14,2439100,47.14
"2011-11-22",48.25,48.68,47.52,47.86,1753300,46.87
"2011-11-23",47.57,48.02,47.25,47.57,2440900,46.58
"2011-11-25",47.61,48.05,47.41,47.41,695000,46.42
"2011-11-28",48.45,48.89,48.09,48.43,1453400,47.42
"2011-11-29",48.56,48.74,47.91,48.03,1746000,47.03
"2011-11-30",49.36,50.59,49.13,50.55,2008700,49.5
"2011-12-01",50.47,51.65,50.29,50.86,1358800,49.8
"2011-12-02",51.24,51.59,48.08,48.92,5917500,47.9
"2011-12-05",50.02,50.61,49.42,49.61,2738800,48.58
"2011-12-06",49.72,50.03,49.42,49.69,1201600,48.66
"2011-12-07",49.4,49.49,48.58,49.08,2744400,48.06
"2011-12-08",48.69,48.86,47.82,48.08,2046400,47.08
"2011-12-09",48.27,49.48,48.17,49.26,2054400,48.24
"2011-12-12",48.78,48.94,48.02,48.27,1673500,47.27
"2011-12-13",48.5,48.85,47.36,47.72,1750300,46.73
"2011-12-14",47.57,47.72,47,47.47,1670000,46.48
"2011-12-15",48,48.48,47.6,47.74,1473100,46.75
"2011-12-16",48.15,48.41,47.38,47.52,3411000,46.53
"2011-12-19",48.74,49.3,47.55,47.7,1710900,46.71
"2011-12-20",49.87,50.94,49.85,50.7,3211300,49.65
"2011-12-21",50.65,52.06,50.52,51.83,2672400,50.75
"2011-12-22",52.48,53.1,52.34,53.04,2344600,51.94
"2011-12-23",53.1,53.44,52.8,53.21,1278900,52.1
"2011-12-27",53.17,53.72,52.97,53.28,934500,52.17
"2011-12-28",53.41,53.6,53.09,53.16,2361400,52.06
"2011-12-29",53.12,53.5,52.86,53.44,1101000,52.33
"2011-12-30",53.26,54.06,53.23,53.42,1106900,52.31
