"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume","LLL.Adjusted"
"2007-08-29",97.25,98.09,96.62,98.09,492600,85.59
"2007-08-30",97.55,98.96,97.55,98.06,411400,85.56
"2007-08-31",98.55,99,98.07,98.51,697500,85.95
"2007-09-04",98.4,99.46,97.77,98.97,435600,86.36
"2007-09-05",98.29,98.96,97.41,98.12,643300,85.61
"2007-09-06",98.43,98.59,96.95,97.86,620700,85.39
"2007-09-07",96.27,97.6,96.27,96.95,595900,84.59
"2007-09-10",97.59,98.19,96,97.16,466500,84.78
"2007-09-11",97.75,98.85,96.45,98.65,621500,86.08
"2007-09-12",98.27,98.36,96.85,97.74,612900,85.28
"2007-09-13",98.6,98.77,97.17,98.27,473700,85.74
"2007-09-14",97.81,99,97.5,98.44,543100,85.89
"2007-09-17",97.68,98.23,96.46,97.04,545800,84.67
"2007-09-18",97.27,100.05,97.19,100,867200,87.25
"2007-09-19",100.54,100.56,99.51,100.09,558200,87.33
"2007-09-20",99.65,100.1,98.65,98.85,557200,86.25
"2007-09-21",99.37,99.78,98.77,99.16,862300,86.52
"2007-09-24",99.3,100.54,98.88,99.32,399400,86.66
"2007-09-25",99,101.18,98.82,100.96,503200,88.09
"2007-09-26",101.26,102.7,100.62,102.47,774500,89.41
"2007-09-27",102.64,102.79,101.86,102.68,398500,89.59
"2007-09-28",102.91,102.95,101.64,102.14,448200,89.12
"2007-10-01",102.73,104.78,102.5,104.43,695600,91.12
"2007-10-02",104.48,105,103.79,104.19,538000,90.91
"2007-10-03",103.91,104.72,103.56,104.1,501700,90.83
"2007-10-04",103.45,104.66,103.45,104.41,317600,91.1
"2007-10-05",105.07,105.07,104.07,104.74,458700,91.39
"2007-10-08",106,106.75,105.04,106.5,642100,92.93
"2007-10-09",107.31,107.76,106.03,107.65,680900,93.93
"2007-10-10",107.64,107.65,106.16,107.02,577800,93.38
"2007-10-11",107.65,108.3,104.63,105.39,744200,91.96
"2007-10-12",105.97,106.21,103.86,105.04,848800,91.65
"2007-10-15",105.3,106,104.07,104.7,404000,91.36
"2007-10-16",104.66,105.25,104.02,104.89,651300,91.52
"2007-10-17",105.23,107.15,104.01,104.8,822000,91.44
"2007-10-18",104.63,107.66,104.5,106.54,843000,92.96
"2007-10-19",106.23,106.25,103.9,103.91,752800,90.67
"2007-10-22",102.92,104.62,102.66,103.69,880800,90.47
"2007-10-23",104.3,104.47,102.43,103.94,901200,90.69
"2007-10-24",104.06,106.48,104.04,106.03,771300,92.52
"2007-10-25",107.74,108,105.78,106.71,661900,93.11
"2007-10-26",107.85,107.99,105.97,106.98,551400,93.34
"2007-10-29",107.6,108.8,107,107.97,594200,94.21
"2007-10-30",107.37,109.45,107.37,108.26,683400,94.46
"2007-10-31",108.5,109.64,107.58,109.64,702500,95.67
"2007-11-01",109.15,109.48,107.68,107.8,640600,94.06
"2007-11-02",107.96,110.22,107.15,110.06,1029200,96.03
"2007-11-05",108.6,111.59,108.6,111.06,994100,96.9
"2007-11-06",112.36,113.55,110.49,113.48,939000,99.02
"2007-11-07",113.69,113.69,110.58,110.58,1005500,96.49
"2007-11-08",111.12,114.17,110.68,113.39,2282100,98.94
"2007-11-09",112.12,113.11,111.01,111.7,1475800,97.46
"2007-11-12",111.73,112.12,110.08,110.33,809800,96.27
"2007-11-13",110.52,113.27,109.53,113.05,1224600,98.64
"2007-11-14",113.5,113.5,110.29,110.65,984100,96.76
"2007-11-15",110.43,112.65,109.04,111.2,1414600,97.24
"2007-11-16",112.17,112.17,109.92,111.5,1118400,97.5
"2007-11-19",110.8,111.21,108.31,108.58,974400,94.95
"2007-11-20",108.54,110.33,107.2,108.2,913300,94.62
"2007-11-21",107.52,108.52,106.9,106.9,566200,93.48
"2007-11-23",107.39,109.33,106.76,109.33,315800,95.61
"2007-11-26",108.73,110,106.75,106.75,673000,93.35
"2007-11-27",106.9,108.97,106.9,108.86,884300,95.2
"2007-11-28",109.9,111.84,109.11,111.84,666000,97.8
"2007-11-29",111.7,112,110.29,111.44,529600,97.45
"2007-11-30",112.46,112.46,110.26,110.65,648800,96.76
"2007-12-03",111.1,113.2,110.55,112.21,1037000,98.13
"2007-12-04",111.76,113.29,111.76,112.74,891700,98.59
"2007-12-05",113.6,114.86,113.34,114.69,761600,100.29
"2007-12-06",114.65,115.29,106.73,113.29,2929000,99.07
"2007-12-07",112.95,113.05,108.64,109.37,3352600,95.64
"2007-12-10",109.46,110.63,108.88,109.52,1819800,95.77
"2007-12-11",109.47,110.46,107.1,107.15,1404800,93.7
"2007-12-12",109.77,110.82,108.44,109.31,1661600,95.59
"2007-12-13",108.99,110.17,108.35,109.96,745600,96.16
"2007-12-14",109.56,110.32,108.62,108.62,749200,94.99
"2007-12-17",108.37,108.56,107.29,107.38,788800,93.9
"2007-12-18",107.94,108.75,107.15,108.09,668700,94.52
"2007-12-19",108.72,108.72,107.08,107.13,876000,93.68
"2007-12-20",107,108.26,106.69,107.62,705700,94.11
"2007-12-21",108.05,108.5,106.51,107.38,1263400,93.9
"2007-12-24",106.87,109.1,106.87,108.94,244200,95.27
"2007-12-26",108.69,108.85,107.42,107.76,366200,94.23
"2007-12-27",107.81,107.96,106.25,106.25,692900,92.91
"2007-12-28",107.08,107.29,105.91,106.48,518700,93.11
"2007-12-31",105.93,106.87,105.74,105.94,459800,92.64
"2008-01-02",105.66,106.5,103.77,104.56,935100,91.44
"2008-01-03",104.7,105.65,104.45,105.31,750600,92.09
"2008-01-04",104.52,105.87,104.23,104.79,925200,91.64
"2008-01-07",105.23,105.46,103.09,104.25,1042300,91.16
"2008-01-08",104.56,105.74,103.72,104.03,1857900,90.97
"2008-01-09",104.01,106.95,103.75,106.9,1046200,93.48
"2008-01-10",106.31,108.27,105.7,106.81,1063400,93.4
"2008-01-11",106.14,106.84,104.93,105.58,1347200,92.33
"2008-01-14",105.83,108.23,105.83,107.86,814000,94.32
"2008-01-15",106.39,108.06,105.8,106.86,881100,93.45
"2008-01-16",106.59,107.15,105.53,105.85,1367100,92.56
"2008-01-17",105.96,106.68,102.33,102.92,1413000,90
"2008-01-18",103.77,105.88,102.91,103.43,1176600,90.45
"2008-01-22",98.63,102.81,97.21,101.99,1248300,89.19
"2008-01-23",97.52,105.44,97.52,105.18,1584200,91.98
"2008-01-24",105.59,107.47,105.13,106.07,1152200,92.76
"2008-01-25",106.87,108.34,106.1,106.96,1070700,93.53
"2008-01-28",107.32,107.32,105.09,106.36,1083900,93.01
"2008-01-29",106.87,108.63,106.68,108.24,889600,94.65
"2008-01-30",108.44,109.46,106.63,107.85,1004800,94.31
"2008-01-31",105.74,110.88,105.74,110.28,1241100,96.44
"2008-02-01",111,111.88,108.51,109.76,1268100,95.98
"2008-02-04",109.76,110,108.27,109.19,1156900,95.48
"2008-02-05",107.5,108.44,106.33,106.56,1545400,93.18
"2008-02-06",107.08,107.37,105.11,105.43,741800,92.2
"2008-02-07",104.8,105.93,104.14,105.72,1077800,92.45
"2008-02-08",105.01,106.01,104.35,105.25,991800,92.04
"2008-02-11",104.66,107.04,104.2,106.15,1236900,92.83
"2008-02-12",105,106.36,103.18,105.92,1284600,92.62
"2008-02-13",106.79,107.62,106.13,107.56,804500,94.06
"2008-02-14",107.5,108.47,106.7,107.33,1129500,94.12
"2008-02-15",107.33,107.33,104.68,105.39,996000,92.42
"2008-02-19",106.39,107,105.55,105.93,899400,92.89
"2008-02-20",105.47,106.61,104.92,106.54,526500,93.43
"2008-02-21",106.81,106.95,104.85,105.03,749700,92.1
"2008-02-22",105.58,107.09,104.69,106.79,840700,93.65
"2008-02-25",107.06,109.5,106.91,109.33,923500,95.87
"2008-02-26",109.21,110.5,108.38,110.48,975000,96.88
"2008-02-27",109.85,111.54,109.52,109.62,755100,96.13
"2008-02-28",109.05,110.7,109.05,110.34,651700,96.76
"2008-02-29",109.34,109.79,105.88,106.29,930700,93.21
"2008-03-03",105.95,107.3,105.75,107.23,668400,94.03
"2008-03-04",106.45,106.96,104.34,106.04,1120500,92.99
"2008-03-05",106.59,107.29,105.62,106.85,1027700,93.7
"2008-03-06",106.51,106.6,105.38,105.46,740300,92.48
"2008-03-07",104.43,106.67,104.17,105.41,1147700,92.44
"2008-03-10",106.19,106.22,103.9,103.96,1025400,91.16
"2008-03-11",106.09,106.18,103.8,106.12,1440200,93.06
"2008-03-12",106.56,107.57,105.93,107.07,746000,93.89
"2008-03-13",105.81,109.51,105.01,109.35,1226300,95.89
"2008-03-14",109.95,109.95,105.69,107.53,972200,94.3
"2008-03-17",107,108.29,105.92,107.38,975500,94.16
"2008-03-18",109.19,109.75,107.38,109.75,893600,96.24
"2008-03-19",110.46,111.4,107.93,107.93,990200,94.65
"2008-03-20",108.5,108.64,105.89,106.97,1253300,93.8
"2008-03-24",107.18,108.43,107.18,107.86,552100,94.58
"2008-03-25",108,108.75,107.07,108.45,633600,95.1
"2008-03-26",107.82,107.91,106.51,107.22,720000,94.02
"2008-03-27",107.68,108.21,106.59,106.6,987500,93.48
"2008-03-28",107.53,109.75,107.34,109.14,1067300,95.71
"2008-03-31",109,109.87,107.45,109.34,974900,95.88
"2008-04-01",109.96,112.21,109.61,112.09,937400,98.29
"2008-04-02",111.98,112.78,111.15,112.17,976900,98.36
"2008-04-03",111.55,111.95,110.57,111.77,727000,98.01
"2008-04-04",111.72,112.96,111.01,111.97,623400,98.19
"2008-04-07",112.71,113.27,111.17,111.52,554500,97.79
"2008-04-08",110.97,111.74,110.51,111.43,546500,97.72
"2008-04-09",111.63,112.26,111.26,111.82,558200,98.06
"2008-04-10",111.61,112,110.85,111.19,561300,97.51
"2008-04-11",110.5,110.5,109.36,109.54,1178400,96.06
"2008-04-14",110.08,110.2,108.91,109.72,527900,96.22
"2008-04-15",110.21,110.34,108.09,109.03,569700,95.61
"2008-04-16",109.91,112.05,109.69,111.99,620300,98.21
"2008-04-17",112.05,112.85,111.68,112,679400,98.22
"2008-04-18",113.2,114.77,113.17,114.46,570900,100.37
"2008-04-21",114.06,114.06,112.61,113.58,491500,99.6
"2008-04-22",113.32,113.47,112.05,112.65,406500,98.79
"2008-04-23",113.02,114.65,112.6,113.66,678800,99.67
"2008-04-24",112.01,115.33,112.01,113.44,752000,99.48
"2008-04-25",114.18,114.3,110.92,111.93,794800,98.15
"2008-04-28",112.27,113.67,111.97,112.48,733100,98.64
"2008-04-29",112.11,113.32,111.97,112.6,597400,98.74
"2008-04-30",113.31,113.31,111.12,111.45,728100,97.73
"2008-05-01",111.67,113.06,111.54,112.74,692800,98.86
"2008-05-02",113.25,113.5,111.2,111.85,6e+05,98.08
"2008-05-05",111.57,111.57,109.62,110.04,621900,96.5
"2008-05-06",109.34,110.47,108.6,109.97,565900,96.44
"2008-05-07",110.01,110.62,109.16,109.16,524800,95.72
"2008-05-08",109.78,110.88,109.08,109.96,629300,96.43
"2008-05-09",109.04,109.22,107.38,107.61,847700,94.37
"2008-05-12",107.77,108.94,107.34,108.86,345700,95.46
"2008-05-13",108.78,110.7,108.78,110.13,516000,96.58
"2008-05-14",110.49,111.3,110.13,110.14,464900,96.85
"2008-05-15",110,111.07,109.93,110.98,497000,97.59
"2008-05-16",110.89,111.19,109.84,110.3,383800,96.99
"2008-05-19",110.28,111.4,110.14,110.42,532000,97.09
"2008-05-20",110.01,110.01,108.48,108.89,519100,95.75
"2008-05-21",108.87,109.27,106.79,106.98,692800,94.07
"2008-05-22",107.05,107.75,106.48,106.81,589700,93.92
"2008-05-23",106.7,107.1,105.97,106.35,564300,93.52
"2008-05-27",106.6,107.45,105.97,107.3,791100,94.35
"2008-05-28",107.87,108.51,107,107.83,681700,94.82
"2008-05-29",108.36,108.36,106.66,107.82,603700,94.81
"2008-05-30",107.82,107.9,106.71,107.39,903500,94.43
"2008-06-02",107.19,107.19,105.06,105.68,819300,92.93
"2008-06-03",105.51,105.76,101.98,102.83,1473700,90.42
"2008-06-04",102.52,102.66,101.18,101.9,1541800,89.6
"2008-06-05",102.47,102.47,99.92,100.48,1720700,88.35
"2008-06-06",99.7,99.94,97.75,98.01,2394600,86.18
"2008-06-09",98.05,98.17,96.04,96.81,1864800,85.13
"2008-06-10",95.28,97.66,95.13,97.32,1964000,85.58
"2008-06-11",97.46,97.87,96.69,97.26,1503500,85.52
"2008-06-12",97.55,98.6,97.35,97.42,1525000,85.66
"2008-06-13",97.6,98.96,97.03,97.93,956000,86.11
"2008-06-16",97.95,98.28,96.51,97.79,722100,85.99
"2008-06-17",98,98.45,96.02,96.3,1114500,84.68
"2008-06-18",96,96.18,94.83,95.09,1615900,83.61
"2008-06-19",95.23,96.6,94.5,96.21,797200,84.6
"2008-06-20",95.51,96.44,94.66,94.82,1279100,83.38
"2008-06-23",95.03,95.61,94.23,94.47,1008900,83.07
"2008-06-24",95.56,95.8,94.5,94.97,1348400,83.51
"2008-06-25",95.7,95.7,93.6,94.01,1404100,82.66
"2008-06-26",93.5,93.5,90.61,90.63,2059200,79.69
"2008-06-27",90.63,91.72,90.6,90.99,1487400,80.01
"2008-06-30",90.2,91.7,90.19,90.87,968600,79.9
"2008-07-01",90.07,90.6,87.69,88.88,2305600,78.15
"2008-07-02",89.06,89.15,87.55,87.57,1760800,77
"2008-07-03",89.25,89.62,88.33,89.32,1102100,78.54
"2008-07-07",89.77,93,89.76,90.54,1595000,79.61
"2008-07-08",90.91,93.59,90.7,93.25,1620300,82
"2008-07-09",93.54,93.54,91.76,91.76,1392500,80.69
"2008-07-10",92.04,92.5,90.26,91.73,1227600,80.66
"2008-07-11",90.87,92.13,89.96,90.89,1188500,79.92
"2008-07-14",91.17,91.72,89.75,90.69,980200,79.75
"2008-07-15",90.01,90.89,88.86,90.28,902800,79.38
"2008-07-16",90.21,91.66,88.72,91.62,1164200,80.56
"2008-07-17",92.03,92.33,88.74,89.02,1894500,78.28
"2008-07-18",88.2,92.18,87.4,92.06,1500000,80.95
"2008-07-21",91.81,92.31,90.7,92.26,1034200,81.13
"2008-07-22",91.55,94.21,91.55,93.19,982300,81.94
"2008-07-23",93.56,95.94,92.48,95.65,1114300,84.11
"2008-07-24",96.75,97.13,92,92.44,1476800,81.28
"2008-07-25",93.02,94.64,92,94.64,964700,83.22
"2008-07-28",94.57,94.57,93.34,93.54,752000,82.25
"2008-07-29",94.25,96.58,93.81,96.34,1016000,84.71
"2008-07-30",96.66,98.29,96.59,98.19,1241800,86.34
"2008-07-31",97.65,99.92,97,98.69,1182100,86.78
"2008-08-01",98.59,99.69,97.77,98.21,895300,86.36
"2008-08-04",98.69,99.25,97.86,98.44,595600,86.56
"2008-08-05",99.08,100.43,98.98,100.15,1077600,88.06
"2008-08-06",100,100.74,99.1,100.49,578600,88.36
"2008-08-07",100.05,100.99,96.69,99.04,792300,87.09
"2008-08-08",98.85,102.14,98.85,102.12,519500,89.8
"2008-08-11",102.13,103.04,101.16,102.4,533900,90.04
"2008-08-12",101.71,104.12,101.71,103.57,742000,91.07
"2008-08-13",103.25,105.57,102.74,104.78,1075100,92.14
"2008-08-14",104.27,104.61,102.78,103.72,909600,91.46
"2008-08-15",104.12,106.34,104.06,105.83,836100,93.33
"2008-08-18",106,106.54,104.89,105.88,682000,93.37
"2008-08-19",105.12,105.71,103.85,103.91,680100,91.63
"2008-08-20",103.33,104.33,102.52,103.94,728000,91.66
"2008-08-21",103.43,104.33,102.85,103.91,540800,91.63
"2008-08-22",104.3,105.03,103.74,104.87,441800,92.48
"2008-08-25",103.72,104.5,102.74,103.55,338400,91.31
"2008-08-26",103.38,104.27,103.13,103.96,441600,91.68
"2008-08-27",103.79,104.49,103.42,104.1,371100,91.8
"2008-08-28",104.52,105.97,104.22,105.59,569500,93.11
"2008-08-29",104.97,105.63,103.4,103.94,579900,91.66
"2008-09-02",105.34,106.98,103.53,103.87,730900,91.6
"2008-09-03",103.87,104.52,102.95,103.49,790300,91.26
"2008-09-04",103.49,103.74,99.58,99.98,976200,88.17
"2008-09-05",99.38,103.22,99.38,102.64,1768100,90.51
"2008-09-08",104.25,105.6,102.66,105.23,987500,92.8
"2008-09-09",105.25,107.01,105.25,105.36,1052600,92.91
"2008-09-10",105.24,106.08,102,102.44,2274800,90.34
"2008-09-11",101.62,102.73,100.34,102.38,1101700,90.28
"2008-09-12",102.01,103.42,101.09,103.16,491000,90.97
"2008-09-15",101.04,102.29,99.59,99.59,849800,87.82
"2008-09-16",99.59,101.55,95.01,100.74,1112600,88.84
"2008-09-17",99.28,100.87,98.32,98.35,1073800,86.73
"2008-09-18",99.5,102.97,97.65,102.4,1212400,90.3
"2008-09-19",103.6,105.51,100.72,101.45,970400,89.46
"2008-09-22",100.21,101.54,99.54,99.94,667400,88.13
"2008-09-23",100,101.19,99.49,99.88,961900,88.08
"2008-09-24",100.03,100.4,98.29,99.17,762300,87.45
"2008-09-25",99.53,101.17,98.81,100.42,679500,88.55
"2008-09-26",99.35,100.3,98.28,99.91,841300,88.1
"2008-09-29",98.8,100.94,96.6,97.25,1350400,85.76
"2008-09-30",98.04,98.32,95.89,98.32,954900,86.7
"2008-10-01",97.19,97.58,95.86,96.82,732800,85.38
"2008-10-02",96.55,98.28,94.11,94.21,2062700,83.08
"2008-10-03",95.1,96.5,93.71,94.05,1045400,82.94
"2008-10-06",93.94,93.95,90.12,91.3,1873200,80.51
"2008-10-07",92.33,93,88.09,88.09,1292100,77.68
"2008-10-08",86.56,92.27,85.7,89.49,2073100,78.92
"2008-10-09",90.49,90.56,84.63,84.63,1431400,74.63
