"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2011-03-24",67.98,68.25,67.46,68.05,1402900,55.97
"2011-03-25",68.1,68.46,67.35,68.42,1822000,56.28
"2011-03-28",68.57,68.73,67.9,67.91,1872900,55.86
"2011-03-29",67.95,68.42,67.41,68.21,1755500,56.1
"2011-03-30",68.4,68.66,67.57,68.59,2970900,56.42
"2011-03-31",62.58,63.44,62.23,62.71,3848200,57.09
"2011-04-01",62.81,63.55,62.67,62.97,2113100,57.33
"2011-04-04",63.14,63.21,61.54,62.58,2196700,56.97
"2011-04-05",62.56,62.94,62.06,62.21,1506800,56.63
"2011-04-06",62.53,62.53,61.65,62.36,3526500,56.77
"2011-04-07",62.12,62.78,61.97,62.54,2629900,56.93
"2011-04-08",62.74,62.8,62.19,62.38,2125600,56.79
"2011-04-11",62.58,63.38,62.5,62.95,1728700,57.31
"2011-04-12",62.58,63.18,62.48,62.84,2020700,57.21
"2011-04-13",62.97,63,61.29,61.53,3002300,56.01
"2011-04-14",61.09,61.33,60.45,61.29,2672600,55.8
"2011-04-15",61.46,61.86,60.96,61.29,1500700,55.8
"2011-04-18",60.69,60.77,59.87,60.42,2126700,55
"2011-04-19",60.39,60.81,60.26,60.62,1530600,55.19
"2011-04-20",61.48,62.16,60.97,61.83,1831500,56.29
"2011-04-21",61.89,61.92,61.2,61.74,1060800,56.21
"2011-04-25",61.75,61.75,61.13,61.47,684500,55.96
"2011-04-26",61.81,62.69,61.72,62.49,1600000,56.89
"2011-04-27",62.9,64,62.27,62.9,2271900,57.26
"2011-04-28",62.55,63.2,62.5,63.09,2160600,57.43
"2011-04-29",62.76,63.83,62.55,63.61,1665600,57.91
"2011-05-02",63.92,64.28,63.38,64.17,2782500,58.42
"2011-05-03",64.66,65.29,64.34,65.05,2791600,59.22
"2011-05-04",65.18,65.55,64.32,64.47,2493600,58.69
"2011-05-05",64.2,64.75,63.92,64.15,2032300,58.4
"2011-05-06",64.67,65.15,64.25,64.45,2019400,58.67
"2011-05-09",64.58,65.26,64.06,64.81,1264900,59
"2011-05-10",65,65.36,64.78,65.02,1393000,59.19
"2011-05-11",65.02,65.4,64.62,64.99,1549900,59.16
"2011-05-12",64.91,65.72,64.84,65.36,1634200,59.5
"2011-05-13",65.35,65.66,64.66,64.86,1455200,59.05
"2011-05-16",64.68,65.03,64.34,64.78,1544900,58.97
"2011-05-17",64.61,65.17,64.18,64.54,1994500,58.75
"2011-05-18",64.55,64.97,64.39,64.69,1791400,58.89
"2011-05-19",64.84,65.39,64.67,65.16,2225100,59.32
"2011-05-20",64.93,65.05,64.39,64.5,1896800,58.72
"2011-05-23",64.04,65.46,63.87,65.14,3810400,59.3
"2011-05-24",65.2,65.79,64.98,65.6,3284400,59.72
"2011-05-25",64.92,65.39,64.65,64.92,3047900,59.1
"2011-05-26",64.07,64.55,63.67,64.36,2586000,59.05
"2011-05-27",64.44,64.95,64.41,64.89,1373100,59.53
"2011-05-31",65.19,65.49,64.72,65.29,2709100,59.9
"2011-06-01",65,65.17,63.69,63.75,2232600,58.49
