"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2008-05-14",292,295.2,285.5,286.46,24036000,28.16
"2008-05-15",287.65,288.68,284.25,286.77,16355000,28.19
"2008-05-16",288,288.8,280.6,283.4,19805000,27.86
"2008-05-19",283.51,285.91,278.01,280,19982000,27.52
"2008-05-20",278.23,279.14,273.21,277.65,19104000,27.29
"2008-05-21",277.4,286.05,276.19,278.65,28607000,27.39
"2008-05-22",276.3,282.5,272.26,275.9,21482000,27.12
"2008-05-23",272.33,275.5,270.45,273.22,12553000,26.86
"2008-05-27",274.01,279.41,272.83,278.76,14332000,27.4
"2008-05-28",282.1,286.89,278.31,286.89,31363000,28.2
"2008-05-29",294.65,316.96,294.52,309,130014000,30.37
"2008-05-30",310.99,320.3,304.6,308.65,60183000,30.34
"2008-06-02",309.26,320,302.57,320,50620000,31.46
"2008-06-03",313.87,313.99,302.35,307.4,93913000,30.22
"2008-06-04",307.45,309.6,294.54,297.4,66160000,29.23
"2008-06-05",299.51,306.16,295.44,306.16,45959000,30.09
"2008-06-06",302.28,302.42,294.81,295.73,29383000,29.07
"2008-06-09",297.1,298.86,276.41,291.4,55137000,28.64
"2008-06-10",285.24,295.41,283.37,286.05,26190000,28.12
"2008-06-11",287.44,288.02,277.16,279.21,23577000,27.45
"2008-06-12",282.2,289.68,281.87,284.4,31296000,27.96
"2008-06-13",286.2,293.73,286.2,292.46,21436000,28.75
"2008-06-16",291.99,299,289,294.47,17072000,28.95
"2008-06-17",299.84,299.84,290.33,292.21,15706000,28.72
"2008-06-18",291,294.81,285.44,293.09,18943000,28.81
"2008-06-19",292.59,297.8,288.58,292.6,24155000,28.76
"2008-06-20",290,294.47,283.01,284.01,26934000,27.92
"2008-06-23",285.53,289.22,280,282.52,18468000,27.77
"2008-06-24",281.22,283.75,275.2,280.37,33647000,27.56
"2008-06-25",291.1,295.16,287.5,289.79,38692000,28.49
"2008-06-26",285.51,285.94,268.01,275.73,47652000,27.1
"2008-06-27",275.01,277.97,267.04,271.72,39815000,26.71
"2008-06-30",273,276.5,265.4,265.52,27996000,26.1
"2008-07-01",262.5,270.78,258.5,263.35,42526000,25.89
"2008-07-02",266.85,269.38,251,255.49,40692000,25.11
"2008-07-03",258.13,259.8,250.5,253.74,15778000,24.94
"2008-07-07",256.79,259.11,243.34,246.1,40381000,24.19
"2008-07-08",247.96,264.99,237.42,264.25,66434000,25.98
"2008-07-09",262.44,264.9,249.65,251.25,34122000,24.71
"2008-07-10",252,258.01,245.03,253.2,38299000,24.9
"2008-07-11",255.69,260.98,253.25,257.35,53063000,25.31
"2008-07-14",263,263.37,253.23,257.5,30862000,25.33
"2008-07-15",255,259,242.7,250.37,47649000,24.62
"2008-07-16",252.87,271.2,250.82,271.2,69679000,26.67
"2008-07-17",274.95,290.96,273,286,178722000,28.13
"2008-07-18",285.38,288.16,279,280.86,44996000,27.62
"2008-07-21",284.14,284.65,266.73,267.9,47389000,26.35
"2008-07-22",259,274.87,254.53,273.85,58522000,26.93
"2008-07-23",274.73,276.52,268.11,271,33621000,26.65
"2008-07-24",270.13,273.84,257,258.48,36463000,25.42
"2008-07-25",259.07,265.43,255,263.55,35026000,25.92
"2008-07-28",264.9,269.47,252.6,253.7,33925000,24.95
"2008-07-29",255.03,263.53,255.03,262.1,33567000,25.78
"2008-07-30",267.99,272,261.15,270.73,39491000,26.63
"2008-07-31",246.69,256.18,237.48,244.15,160568000,24.01
"2008-08-01",240.47,242.65,225.49,237.27,111075000,23.34
"2008-08-04",232.99,240,229.12,230.92,41515000,22.71
"2008-08-05",232.81,237.11,230.5,237.11,37083000,23.32
"2008-08-06",235,235.85,227.02,232,45159000,22.82
"2008-08-07",226.93,229.38,225,225,34699000,22.13
"2008-08-08",224.95,235.1,221,232.13,37477000,22.83
"2008-08-11",232.57,240.35,232.01,235.15,33941000,23.13
"2008-08-12",233,234.32,228.78,230.92,23156000,22.71
"2008-08-13",228.81,237.15,227.91,233.5,23760000,22.97
"2008-08-14",232.03,237.65,231,235.88,18220000,23.2
"2008-08-15",236.91,240,235.8,238.95,21072000,23.5
"2008-08-18",240.55,244.9,236.4,237.91,26162000,23.4
"2008-08-19",239,242.91,233.2,238.57,23806000,23.46
"2008-08-20",239.57,243.99,238.56,243.32,18713000,23.93
"2008-08-21",241.61,242.73,237.6,241.26,15150000,23.73
"2008-08-22",243.57,244.69,240.25,241.64,14534000,23.77
"2008-08-25",240.04,242.84,234.2,234.2,12574000,23.03
"2008-08-26",235.1,237.63,231.57,236.75,15516000,23.29
"2008-08-27",235.76,237.26,232.32,236.97,17120000,23.31
"2008-08-28",237.5,242.48,236.57,242.48,19125000,23.85
"2008-08-29",241,243.4,239.63,242.55,13108000,23.86
"2008-09-02",245.88,248,236.63,239.2,19330000,23.53
"2008-09-03",239,240.02,223.85,229.63,37675000,22.58
"2008-09-04",225.81,227.04,214.7,216.03,38979000,21.25
"2008-09-05",212.94,221.69,207.93,221.44,54677000,21.78
"2008-09-08",230.36,231,211.4,219.41,43685000,21.58
"2008-09-09",221.03,222.3,206.43,206.7,42655000,20.33
"2008-09-10",207.2,216.5,205.7,213.32,32759000,20.98
"2008-09-11",208,225.8,205.2,225.6,39959000,22.19
"2008-09-12",221,225.81,219.05,223.82,20259000,22.01
"2008-09-15",213.06,217.79,210.08,211.77,38490000,20.83
"2008-09-16",207.1,218.08,201.92,214.81,36421000,21.13
"2008-09-17",210.02,213,188.75,196,75806000,19.28
"2008-09-18",198.5,214.13,182.07,208.53,69888000,20.51
"2008-09-19",221.23,239,215,225.18,81860000,22.15
"2008-09-22",225,225.25,202.38,202.38,47090000,19.9
"2008-09-23",204.73,207.85,197,198,35176000,19.47
