"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2007-04-13",94,94.3,93.03,93.99,655200,90.18
"2007-04-16",94.75,97.02,94.56,96.92,1004200,92.99
"2007-04-17",97.1,97.6,96.6,97.44,736800,93.49
"2007-04-18",97.32,97.84,96.77,97.56,593200,93.61
"2007-04-19",97.03,97.33,96.43,96.61,491000,92.7
"2007-04-20",97.5,98,96.74,97.39,593800,93.44
"2007-04-23",97.39,98.41,97.16,97.75,395000,93.79
"2007-04-24",97.6,97.86,95.53,97.4,673100,93.45
"2007-04-25",97.4,98.92,94.85,95.17,1578500,91.31
"2007-04-26",95.11,95.11,94.2,94.53,955100,90.7
"2007-04-27",94.35,94.85,93.45,94.37,757100,90.55
"2007-04-30",94.77,94.77,92.11,92.11,1006400,88.38
"2007-05-01",90,90.77,88.79,90.04,1974900,86.39
"2007-05-02",89.89,91.47,89.89,91.1,947700,87.41
"2007-05-03",91.55,91.74,90.02,90.44,980000,86.78
"2007-05-04",90.99,91.23,89.67,90.98,789500,87.29
"2007-05-07",91.02,91.63,90.32,90.51,569000,86.84
"2007-05-08",90.51,92,90.1,92,939400,88.27
"2007-05-09",92,93.48,91.85,93.44,757900,89.65
"2007-05-10",92.83,93.13,91.29,91.52,693100,87.81
"2007-05-11",91.63,91.87,90.9,91,755100,87.31
"2007-05-14",91.4,93.23,91.26,92.65,934600,88.9
"2007-05-15",93.3,93.69,91.47,92.19,961500,88.45
"2007-05-16",92.79,92.81,91.28,92.47,517500,88.72
"2007-05-17",92.4,94,92.37,93.31,575700,89.53
"2007-05-18",93.75,94.7,93.11,94.56,597400,90.73
"2007-05-21",94.65,95.69,94.4,95.44,630400,91.57
"2007-05-22",95.65,96.77,95.07,96.48,531500,92.57
"2007-05-23",96.3,96.5,93.5,93.64,1092300,89.85
"2007-05-24",93.64,94.87,92.51,93.06,926000,89.29
"2007-05-25",92.6,93.15,91.85,92.22,801000,88.48
"2007-05-29",93.05,94.45,92.6,93.28,1060000,89.5
"2007-05-30",91.4,96.5,90.88,96.41,2562400,92.5
"2007-05-31",96.66,99.68,96.4,97.53,1848200,93.58
"2007-06-01",97.58,98.13,96.07,96.88,1345900,92.95
"2007-06-04",97,98.65,96.61,98.27,1067000,94.29
"2007-06-05",97.91,98.66,96.66,97.18,1052900,93.24
"2007-06-06",96.35,97,95.84,96.09,1113000,92.2
"2007-06-07",95.75,96.68,94.61,94.95,959800,91.1
"2007-06-08",94.45,96.79,94.4,96.74,895900,92.82
"2007-06-11",96.25,96.77,95.5,95.63,514600,91.75
"2007-06-12",95.4,95.4,93.98,94,713100,90.19
"2007-06-13",94.79,95.93,93.99,95.74,805900,91.86
"2007-06-14",95.4,95.6,94.47,94.81,601500,90.97
"2007-06-15",95,95.48,94.5,94.8,1094500,90.96
"2007-06-18",95.3,96.83,94.67,96.42,999300,92.51
"2007-06-19",95.9,99.45,95.75,99.42,1211100,95.39
"2007-06-20",99.51,101.46,98.84,99.01,1497000,95
"2007-06-21",99.38,99.98,97.54,98.74,1786900,94.74
"2007-06-22",98.25,98.5,96.82,97.71,1054500,93.75
"2007-06-25",97.45,98.18,96.25,96.81,696100,92.89
"2007-06-26",97.25,97.68,96,96.71,896900,92.79
"2007-06-27",96.66,98.95,96.65,98.81,917200,94.85
"2007-06-28",99.04,99.88,98.36,98.64,593000,94.69
"2007-06-29",98.6,99.38,97.4,98.11,590700,94.18
"2007-07-02",98.11,99.64,98.11,99.43,543500,95.45
"2007-07-03",99.46,100.78,99.11,100.08,390500,96.07
"2007-07-05",100.8,101.5,99.86,101.5,459100,97.44
"2007-07-06",101.49,102.58,101.36,102.3,629300,98.21
"2007-07-09",102.3,102.3,100.3,101.42,398800,97.36
"2007-07-10",101,101.15,99.07,99.45,793200,95.47
"2007-07-11",99.38,99.73,98.72,98.85,804900,94.89
"2007-07-12",99.45,100.91,98.85,100.87,863500,96.83
"2007-07-13",101.05,101.46,100.6,101.21,464500,97.16
"2007-07-16",101,101.59,99.53,99.67,437300,95.68
"2007-07-17",100.17,100.93,99.62,100.35,641100,96.33
"2007-07-18",100.25,100.63,98.9,99.58,503100,95.59
"2007-07-19",100.49,101.83,100.23,100.49,605200,96.47
"2007-07-20",100.5,100.62,98.62,98.85,482500,94.89
"2007-07-23",99.65,100.04,98.63,99.23,393800,95.26
"2007-07-24",98.58,99,96.64,96.79,721200,92.92
"2007-07-25",97.27,97.27,93.79,94.77,952300,90.98
"2007-07-26",93.9,93.9,89.45,91.26,1896800,87.61
"2007-07-27",90.75,92.05,89.01,89.05,1155000,85.49
"2007-07-30",89.3,91.96,88.11,91.56,960800,87.9
"2007-07-31",92.39,93.38,89.26,89.35,1140000,85.77
"2007-08-01",88.97,90.05,87.49,89.9,1370700,86.3
"2007-08-02",90.5,91.4,88.82,90.07,1129200,86.46
"2007-08-03",89.75,90.5,87.27,87.27,1145200,83.78
"2007-08-06",88.1,90.4,84.76,89.15,1792600,85.58
"2007-08-07",89.1,93.49,88.24,92.78,1939000,89.07
"2007-08-08",86.25,87.77,78.52,81.8,6237400,78.53
"2007-08-09",79,80.12,76.02,77.24,4158400,74.15
"2007-08-10",77,79.85,76.14,77.4,3191600,74.3
"2007-08-13",79.35,84.25,79.34,81.71,2791000,78.44
"2007-08-14",81.3,82.36,78.88,80.59,2792800,77.36
"2007-08-15",80.1,80.97,76.58,76.92,1829200,73.84
"2007-08-16",76.05,78.46,75.45,75.92,2182100,72.88
"2007-08-17",78.11,82.03,76.5,78.43,1418100,75.29
"2007-08-20",78.72,78.81,77,77.55,903300,74.45
"2007-08-21",77.44,78.27,77,77.62,708600,74.51
"2007-08-22",78.35,79,77.89,78.65,588800,75.5
"2007-08-23",79.29,80.33,78.36,79.1,981000,75.93
"2007-08-24",78.95,79.25,77.43,78.36,792000,75.22
"2007-08-27",77.87,78.59,75.92,75.92,1155900,72.88
"2007-08-28",75.5,75.73,73.17,73.22,2567800,70.29
"2007-08-29",72.3,75.79,71.76,75.07,2909200,72.07
"2007-08-30",74.11,74.68,73.36,73.49,1924400,70.55
"2007-08-31",74.47,76,73.48,75.54,1024600,72.52
"2007-09-04",75.21,76.91,74.81,76.66,1052100,73.59
"2007-09-05",76.75,79.67,76,79.61,2216300,76.42
"2007-09-06",79.75,79.9,77.77,78.87,1108800,75.71
"2007-09-07",77.71,78.38,76.06,76.58,971200,73.51
"2007-09-10",76.9,77.25,74.48,75.17,994500,72.16
"2007-09-11",75.6,77.3,75.28,77.17,766100,74.08
"2007-09-12",76.71,78.07,76.51,77.36,762800,74.26
"2007-09-13",78.45,79.7,77.19,79.01,1070300,75.85
"2007-09-14",78.25,80.18,77.54,79.7,811700,76.51
"2007-09-17",79.59,79.96,77.92,78.4,525500,75.26
"2007-09-18",79.22,82.55,78.73,82.44,866300,79.14
"2007-09-19",83.6,85.34,83.46,84.44,1290600,81.06
"2007-09-20",84.2,84.48,80.97,81.16,1161800,77.91
"2007-09-21",81.94,81.94,77.66,78.45,1953200,75.31
"2007-09-24",77.97,78.5,75.25,75.6,2251600,72.57
"2007-09-25",74.5,76.31,73.4,76.03,1585000,72.99
"2007-09-26",76.5,77.65,75,77.1,1285900,74.06
"2007-09-27",77.35,78.21,76.64,77.68,1413800,74.62
"2007-09-28",77.75,78.94,77.17,77.75,1283800,74.69
"2007-10-01",77.96,78.61,77.55,78.03,1124200,74.96
"2007-10-02",78.03,78.28,76.71,77.26,971000,74.22
"2007-10-03",76.56,77.47,75.8,76.57,2510300,73.55
"2007-10-04",76.57,76.58,73.8,74.74,1968200,71.8
"2007-10-05",75.24,76.8,74.82,76.35,1166100,73.34
"2007-10-08",76.65,76.68,73.91,75.79,1097400,72.8
"2007-10-09",76.3,76.3,74.04,74.62,870500,71.68
"2007-10-10",74.62,75.35,73.41,75.05,1266200,72.09
"2007-10-11",75,75.92,70.71,71.43,3059500,68.62
"2007-10-12",71.06,72.31,70.01,71.05,1818600,68.25
"2007-10-15",70.98,71.07,69.28,69.96,2629700,67.2
"2007-10-16",69.68,69.7,67,67.43,3930100,64.77
"2007-10-17",68.07,70.15,67.97,70.02,2286600,67.26
"2007-10-18",69.29,70.9,68.1,70,1956400,67.24
"2007-10-19",69.69,70.34,68.21,68.53,1785900,65.83
"2007-10-22",67.76,68.97,67.15,68.27,1472100,65.58
"2007-10-23",68.01,68.45,66.03,67.01,1899500,64.37
"2007-10-24",66.31,67.73,65.56,67.25,1960800,64.6
"2007-10-25",67.6,69.1,66.88,67.63,1859900,64.97
"2007-10-26",68.41,69.29,67.05,68.47,1231800,65.77
"2007-10-29",69.74,70.75,68.81,69.25,1715900,66.52
"2007-10-30",69.04,69.63,67.84,68.89,1885800,66.18
"2007-10-31",69.94,69.95,67.83,68.8,1753800,66.09
"2007-11-01",68.25,68.25,66.28,66.43,1332100,63.81
"2007-11-02",67.09,67.91,66.05,67.23,1664800,64.58
"2007-11-05",66,66.09,64.49,65.13,1878000,62.56
"2007-11-06",65.18,66.33,65.03,66.33,1408200,63.72
"2007-11-07",64.74,69.95,64.69,67.73,3479600,65.06
"2007-11-08",67.36,67.94,63.71,66.1,2389000,63.5
"2007-11-09",65.1,68.64,64.98,67.96,2475100,65.28
"2007-11-12",67.98,72.31,67.69,70.21,2369300,67.44
"2007-11-13",70.94,72.8,69.78,71.36,2241700,68.55
"2007-11-14",71.94,71.95,69.38,69.45,2053800,66.71
"2007-11-15",69,69,66.24,66.76,1472700,64.13
"2007-11-16",67.17,67.46,65.43,66.61,1690900,63.99
"2007-11-19",66.32,66.32,63.67,63.73,1530900,61.22
"2007-11-20",63.96,66.41,63.85,65.25,2161900,62.68
"2007-11-21",64.58,66.24,63.43,65,1007000,62.44
"2007-11-23",65.56,67,64.07,66.8,585700,64.17
"2007-11-26",67.03,67.3,64.22,64.3,1349400,61.77
"2007-11-27",64.22,66.06,64,65.13,1216300,62.56
"2007-11-28",65.13,68.59,65.13,67.99,1463600,65.31
"2007-11-29",67.44,68,66.78,67.65,1188800,64.98
"2007-11-30",68.6,69.76,67.86,68.98,1479500,66.26
"2007-12-03",68.91,69.66,68.25,68.72,955800,66.01
"2007-12-04",68.03,68.27,66.07,66.46,1571800,63.84
"2007-12-05",66.94,68.11,66.84,67.65,997400,64.98
"2007-12-06",68.14,68.52,67.16,68.23,832000,65.54
"2007-12-07",68.55,69.41,68.25,68.97,877800,66.25
"2007-12-10",68.97,70.89,68.96,70.15,1246400,67.39
"2007-12-11",70.29,70.86,66.94,67.29,1082700,64.64
"2007-12-12",68.93,69.61,65,65.87,1573000,63.28
"2007-12-13",65.42,65.88,64.63,65.84,784500,63.25
"2007-12-14",65.61,65.61,63.92,64.59,971600,62.05
"2007-12-17",64.18,65.27,63.43,64.37,1031500,61.83
"2007-12-18",64.71,65.28,63.81,64.96,1731800,62.4
"2007-12-19",65.49,65.49,62.04,63.11,2923500,60.62
"2007-12-20",63.4,63.97,61.44,62.19,1740400,59.74
"2007-12-21",62.9,63.14,61.79,62.02,1429600,59.58
"2007-12-24",62.07,63,60.87,62.81,536600,60.34
"2007-12-26",62.5,62.84,61.09,62.71,1120300,60.29
"2007-12-27",62.06,62.48,60.5,61.45,1233300,59.08
"2007-12-28",61.05,62.57,61.05,61.76,885300,59.37
"2007-12-31",61.51,62.65,60.41,61.79,891700,59.4
"2008-01-02",61.63,62.46,61.52,61.64,1364500,59.26
"2008-01-03",61.84,62.99,59.8,60.18,2173000,57.86
"2008-01-04",59.75,59.86,56.34,56.59,3487500,54.4
"2008-01-07",56.82,58.33,56.4,57.26,2027900,55.05
"2008-01-08",57.55,58.96,56.41,56.59,1549400,54.4
"2008-01-09",56.35,57.32,54.16,57.32,2993500,55.11
"2008-01-10",57,59.11,56.12,58.21,1793100,55.96
"2008-01-11",57.57,57.86,54.86,55.29,2356100,53.15
"2008-01-14",54.01,54.01,51.64,52.9,4460900,50.86
"2008-01-15",51.25,52.51,50.95,51.33,3192400,49.35
"2008-01-16",51.3,54.36,50.91,53.57,2159500,51.5
"2008-01-17",53.28,54.28,51.88,51.99,1947800,49.98
"2008-01-18",52.25,53.66,51.62,53.36,1965900,51.3
"2008-01-22",50.91,57.58,50.55,56.6,3773000,54.41
"2008-01-23",55.59,62.09,54.54,61.34,5738700,58.97
"2008-01-24",61.38,63.6,60.42,61.18,3887000,58.82
"2008-01-25",62,62.04,58.7,59.19,1983700,56.9
"2008-01-28",58.81,60.07,57.95,60,1688000,57.68
"2008-01-29",60.55,61.78,59.32,61.54,1963900,59.16
"2008-01-30",61.35,62.43,60.29,60.73,2525900,58.38
"2008-01-31",56.79,61,56.4,60.68,4696300,58.34
"2008-02-01",61.93,62.34,59.42,61.23,2926100,58.86
"2008-02-04",61.22,61.64,59.95,60.46,2282800,58.12
"2008-02-05",59.51,59.93,57.27,57.46,3360400,55.24
"2008-02-06",60.94,65.12,60.11,63.19,9465500,60.75
"2008-02-07",62.02,64.56,62,63.24,3992800,60.8
"2008-02-08",63.09,64.19,62.54,63.72,2000100,61.26
"2008-02-11",63.85,65.75,62.72,64.46,2059900,61.97
"2008-02-12",65.29,66.89,65.08,66.41,2543400,63.84
"2008-02-13",66.9,67.85,65.66,66.74,2289000,64.16
"2008-02-14",66.81,67.16,65.59,65.69,2320800,63.15
"2008-02-15",65.36,65.98,64.62,65.92,1950100,63.37
"2008-02-19",66.55,67.12,64.26,64.78,1434500,62.28
"2008-02-20",64.22,66.92,63.78,66.8,1909700,64.22
"2008-02-21",67.55,67.83,65.07,65.37,1284200,62.84
"2008-02-22",65.52,65.88,63.4,64.86,1741700,62.35
"2008-02-25",64.22,66.06,63.2,65.67,1697100,63.13
"2008-02-26",65.71,68.67,65.49,67.5,2075000,64.89
"2008-02-27",67.35,68.4,67,67.98,1370100,65.35
"2008-02-28",67.36,67.51,65.18,65.6,1716500,63.07
"2008-02-29",64.81,65.44,61.89,62.19,2137700,59.79
"2008-03-03",61.98,62.35,60.18,62.25,1874500,59.85
"2008-03-04",61.32,62.75,60.9,62.52,1505700,60.1
"2008-03-05",62.88,63.32,60.84,61.21,1567500,58.85
"2008-03-06",60.9,61.4,58.17,58.31,2114100,56.06
"2008-03-07",57.73,59.03,56.97,57.46,1848500,55.24
"2008-03-10",57.1,57.34,55.56,55.74,2211900,53.59
"2008-03-11",56.95,57.81,55.71,57.81,1747800,55.58
"2008-03-12",57.72,59.03,57.03,58.02,1140700,55.78
"2008-03-13",57.2,58.2,55.08,57.98,1770900,55.74
"2008-03-14",58.52,59.49,56.83,57.48,1380500,55.26
"2008-03-17",55.99,57.3,55,56.45,2149100,54.27
"2008-03-18",57.42,59.07,57.09,58.89,1174900,56.62
"2008-03-19",59.82,59.96,57.69,57.76,1025600,55.53
"2008-03-20",56.92,60.72,56.92,60.29,1094700,57.96
"2008-03-24",60.66,65.49,60.66,63.27,1645500,60.83
"2008-03-25",62.95,63.47,61.2,62.76,1192700,60.34
"2008-03-26",62.56,62.75,60.93,61.27,898300,58.95
"2008-03-27",61.65,62.2,60.8,61,758900,58.69
"2008-03-28",57.6,59,56.79,57.62,3146000,55.44
"2008-03-31",57.57,58.63,57.07,58.29,1353300,56.08
"2008-04-01",58.66,61.07,58.53,60.66,1787600,58.36
"2008-04-02",60.56,63.09,60.56,60.98,1778900,58.67
"2008-04-03",60.53,61.54,60.16,60.91,1244600,58.6
"2008-04-04",61.21,61.21,59.82,60.55,1204500,58.26
"2008-04-07",61.05,61.19,59.68,60.04,1177200,57.77
"2008-04-08",59.74,60.5,59.52,59.74,1686300,57.48
"2008-04-09",59.94,60.12,57.78,58.2,1242000,56
"2008-04-10",58.42,60.85,57.63,59.72,1763500,57.46
"2008-04-11",58.8,60.05,58.52,58.97,1146900,56.74
"2008-04-14",58.98,60.05,58.7,59.1,692500,56.86
"2008-04-15",59.52,59.52,57.66,58.1,1230000,55.9
"2008-04-16",58.43,58.48,57.63,57.96,1177100,55.77
"2008-04-17",57.67,59.05,57.66,58.86,792600,56.63
"2008-04-18",59.74,60.84,59.12,59.32,945700,57.07
"2008-04-21",58.89,59.4,58.53,59.06,584600,56.82
"2008-04-22",58.99,58.99,57.23,58.05,911200,55.85
"2008-04-23",58.31,58.42,57.13,57.87,809100,55.68
"2008-04-24",58,59.61,57.68,58.95,1119800,56.72
"2008-04-25",59.25,61.7,59.2,61.62,1849500,59.29
"2008-04-28",61.61,64.33,60.79,63.05,1928400,60.66
"2008-04-29",62.55,63,61.47,62.39,907200,60.03
"2008-04-30",62.68,63.39,61.62,62.11,1066100,59.76
"2008-05-01",61.9,65,61.75,63.9,1659100,61.48
"2008-05-02",63.82,64.91,62.35,62.72,1566100,60.35
"2008-05-05",62.42,62.68,60.42,60.76,2344000,58.46
"2008-05-06",60,61.1,59.44,60.73,1548000,58.43
"2008-05-07",60.86,61.93,59.64,59.88,1348700,57.61
"2008-05-08",59.65,60.01,58.33,58.87,1304700,56.64
"2008-05-09",58.28,59.88,58.21,59.6,1081100,57.34
"2008-05-12",59.87,60.98,59.77,60.6,1017600,58.31
"2008-05-13",61.17,61.32,60.25,60.5,1140100,58.21
"2008-05-14",60.91,63.78,60.5,62.73,1705900,60.35
"2008-05-15",63.07,63.73,61.46,63.16,1130500,60.77
"2008-05-16",63.15,63.21,61,62.29,914300,59.93
"2008-05-19",62.45,63.55,61.7,62.26,618000,59.9
"2008-05-20",61.47,61.68,60.71,61.19,999200,58.87
"2008-05-21",61.3,61.87,59.04,59.52,1644600,57.27
"2008-05-22",59.24,60.43,58.53,59.73,929700,57.47
"2008-05-23",59.15,59.98,58.67,59.53,1356300,57.28
"2008-05-27",59.89,61.77,59.49,61.75,2362300,59.41
"2008-05-28",66.52,70.13,65.02,69,11006100,66.39
"2008-05-29",68.63,71.2,68.24,70.09,2829800,67.44
"2008-05-30",69.88,70.37,68.5,69.85,1677200,67.21
"2008-06-02",69.6,69.71,67.67,68.9,2197300,66.29
"2008-06-03",68.8,69.5,68.37,69.39,2020700,66.76
"2008-06-04",69,70,67.8,69.07,2230300,66.45
"2008-06-05",69.16,70.24,68.77,69.57,1368100,66.94
"2008-06-06",68.53,68.9,66.77,66.78,1630400,64.25
"2008-06-09",67.7,67.73,65.47,66.01,1853000,63.51
"2008-06-10",65.5,67.32,65.11,66.87,2164800,64.34
"2008-06-11",66.51,66.74,64.63,64.74,2446100,62.29
"2008-06-12",65.26,66.61,63.98,64.36,1362900,61.92
"2008-06-13",64.68,66.99,64.42,66.27,1495800,63.76
"2008-06-16",65.79,67.37,63.93,67.02,953600,64.48
"2008-06-17",67.7,67.82,65.81,66.1,827700,63.6
"2008-06-18",65.42,66.31,64,64.75,1318600,62.3
"2008-06-19",64.16,66.13,64.16,65.98,1252900,63.48
"2008-06-20",65.3,65.3,63.43,64.41,1577100,61.97
"2008-06-23",64.91,64.93,63.63,64,1214900,61.58
"2008-06-24",64.03,65.38,63,64.2,1335100,61.77
"2008-06-25",66.52,67.99,65.2,66.46,1776000,63.99
"2008-06-26",65.47,65.87,64.23,64.61,1609700,62.21
"2008-06-27",64.8,64.8,62.45,62.96,1583400,60.62
"2008-06-30",62.73,64.18,61.42,62.78,1457800,60.45
"2008-07-01",61.93,63,60.16,62.74,1913400,60.41
"2008-07-02",63.26,65.54,62.61,62.61,1802000,60.29
"2008-07-03",62.83,64.3,62.68,63.34,736200,60.99
"2008-07-07",64.1,64.61,61.93,62.44,1471000,60.12
"2008-07-08",62.4,63.98,62.3,63.85,1894300,61.48
"2008-07-09",64.66,64.67,60.6,60.87,1654600,58.61
"2008-07-10",60.36,60.73,58.62,59.37,2019600,57.17
"2008-07-11",58.22,59.56,56.44,57.66,2830100,55.52
"2008-07-14",58.76,59.23,56.28,56.47,2352800,54.37
"2008-07-15",55.68,57.92,53.86,56.95,3431300,54.84
"2008-07-16",57.36,60,56.87,59.87,1782000,57.65
"2008-07-17",60.28,62.91,58.09,62.59,2337100,60.27
"2008-07-18",64.37,64.37,61.09,62.22,1525600,59.91
"2008-07-21",62.17,62.54,60.74,61.41,880800,59.13
"2008-07-22",62.72,63.48,59.23,63.48,1641500,61.12
"2008-07-23",63.42,66.15,62.67,63.89,1446700,61.52
"2008-07-24",63.05,64.1,61.47,61.8,1659200,59.51
"2008-07-25",61.75,61.75,59.91,60.13,1492200,57.9
"2008-07-28",59.37,60.06,57.35,57.61,1777700,55.47
"2008-07-29",57.53,59.29,57.19,59.18,1087300,56.98
"2008-07-30",59.56,61.05,58.25,58.42,1573000,56.25
"2008-07-31",57.19,60.2,57.19,59.17,1564300,56.97
"2008-08-01",59.08,59.86,58.18,59.01,1816200,56.82
"2008-08-04",58.58,59.53,57.63,58.87,1652400,56.69
"2008-08-05",58.97,61.67,58.97,61.5,3053300,59.22
"2008-08-06",66,66.66,63.9,65.86,5997000,63.42
"2008-08-07",65.24,68.4,65.24,67.07,3552100,64.58
"2008-08-08",67.34,71.78,66.75,71.23,3125000,68.59
"2008-08-11",70.56,75.11,70.07,71.89,2756200,69.22
"2008-08-12",71.61,73.48,70.22,70.65,2926500,68.03
"2008-08-13",70.53,70.99,68.34,69.75,1807500,67.16
"2008-08-14",69.99,73.68,69.31,73.05,2781700,70.34
"2008-08-15",73.5,75.43,72.94,75.01,1945700,72.23
"2008-08-18",75.38,75.38,72.85,73.83,1857200,71.09
"2008-08-19",73.19,73.99,72,72.85,2565700,70.15
"2008-08-20",72.67,73.82,71.49,72.95,1929700,70.24
"2008-08-21",72.12,74.04,71.93,72.94,1916700,70.23
"2008-08-22",73.76,74.26,72.59,73.97,1329300,71.22
"2008-08-25",72.42,73.9,71.35,71.98,1789900,69.31
"2008-08-26",72.16,72.99,71,72.34,1128200,69.66
"2008-08-27",72,73.65,71.68,73.03,1504700,70.32
"2008-08-28",72.3,75.75,72.3,75.57,1980800,72.77
"2008-08-29",74.77,76.7,74.63,75.88,1430200,73.06
"2008-09-02",76.94,78.95,75.16,75.9,2124500,73.08
"2008-09-03",75.48,76.7,74.65,76.53,2456100,73.69
"2008-09-04",75.74,76.22,73.13,73.73,2315200,70.99
"2008-09-05",72.16,74.14,71.3,73.91,1886300,71.17
"2008-09-08",76.3,77.39,74.22,75.89,1651900,73.07
"2008-09-09",76.03,76.47,73.85,74.17,1738000,71.42
"2008-09-10",74.97,75.06,71.83,73.65,1676900,70.92
"2008-09-11",72.18,74.61,71.51,74.39,1541000,71.63
"2008-09-12",73.23,73.85,72.4,73.28,2235800,70.56
"2008-09-15",69.64,73.59,69.18,70.69,1816000,68.07
"2008-09-16",69.11,73.33,68.44,73.19,2497200,70.47
"2008-09-17",71.46,72.66,68.65,68.93,2492100,66.37
"2008-09-18",70.02,71.67,64.66,70.41,3136700,67.8
"2008-09-19",72.24,82.02,68.87,71.46,2288400,68.81
"2008-09-22",70.5,71.38,67.4,67.79,1492100,65.27
"2008-09-23",67.87,69.4,67.11,68.12,1477100,65.59
"2008-09-24",67.7,69.59,66.84,68.2,1107700,65.72
"2008-09-25",69.1,71.49,68.71,70.59,2021500,68.02
"2008-09-26",69.32,72.09,68.58,71.88,1458200,69.26
"2008-09-29",70.64,70.64,65,65.8,2010500,63.4
"2008-09-30",66.88,67.33,64.05,66.64,1551200,64.21
"2008-10-01",65.76,66.3,64.39,65.48,1258000,63.1
"2008-10-02",65.05,65.25,60.95,61.36,1837400,59.13
"2008-10-03",62.47,62.47,57.65,57.99,2527800,55.88
