"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2007-03-02",46.31,46.48,45.59,45.9,7683800,39.36
"2007-03-05",45.5,45.97,44.85,45.15,6314100,38.71
"2007-03-06",45.63,45.93,45.35,45.81,4415300,39.28
"2007-03-07",45.75,47.18,45.51,46.36,7747400,39.94
"2007-03-08",46.69,46.84,46.13,46.33,4454300,39.92
"2007-03-09",46.67,46.81,46.02,46.33,4701000,39.92
"2007-03-12",45.9,46.28,45.72,45.87,4889300,39.52
"2007-03-13",45.76,46.55,45.48,45.52,8450300,39.22
"2007-03-14",45.96,46.38,45.32,46.36,6435800,39.94
"2007-03-15",46.17,46.24,45.81,45.86,4745600,39.51
"2007-03-16",45.98,46,45.33,45.75,8700700,39.42
"2007-03-19",46.07,46.4,45.77,46.32,4359200,39.91
"2007-03-20",46.21,46.79,46.18,46.72,4659100,40.25
"2007-03-21",46.8,47.38,46.65,47.13,7101400,40.61
"2007-03-22",47.6,48.35,47.58,48.08,8166100,41.43
"2007-03-23",48.1,48.64,48.1,48.28,6136100,41.6
"2007-03-26",48.42,48.82,47.79,48.62,4586600,41.89
"2007-03-27",48.63,49.16,48.48,48.98,5439500,42.2
"2007-03-28",49.32,50.05,49.3,49.77,8795600,42.88
"2007-03-29",50.24,50.46,49.58,50.3,6997800,43.34
"2007-03-30",50.25,50.26,49.25,49.31,5576200,42.48
"2007-04-02",49.23,49.82,49.22,49.58,5240900,42.72
"2007-04-03",49.1,49.88,49.07,49.67,4570500,42.8
"2007-04-04",49.67,50.36,49.12,49.75,5812700,42.86
"2007-04-05",49.73,50.04,49.44,49.95,5338900,43.04
"2007-04-09",49.77,50.4,49.49,49.68,4342800,42.8
"2007-04-10",49.9,50.6,49.73,50.34,4219200,43.37
"2007-04-11",50.29,50.75,49.53,49.86,5821200,42.96
"2007-04-12",50.19,51.2,49.96,51.13,7543500,44.05
"2007-04-13",52.8,52.81,50.83,51.27,4998800,44.17
"2007-04-16",51.47,51.5,50.78,51.44,4263500,44.32
"2007-04-17",51.5,51.65,50.68,50.95,3256100,43.9
"2007-04-18",50.95,51.35,50.67,51.12,4560300,44.04
"2007-04-19",51.11,51.11,50.1,50.25,4075400,43.29
"2007-04-20",50.54,51.82,50.54,51.71,7290800,44.55
"2007-04-23",52.61,52.61,51,51.45,5831500,44.33
"2007-04-24",51.76,52.04,51.13,51.44,5262100,44.32
"2007-04-25",51.99,52.6,51.69,52.19,4643300,44.97
"2007-04-26",50.64,51.99,49.75,51.19,5551800,44.1
"2007-04-27",51.01,51.49,50.52,51.17,4944200,44.09
"2007-04-30",51.18,51.85,50.62,50.7,5569500,43.68
"2007-05-01",50.71,50.96,50.25,50.76,3746800,43.73
"2007-05-02",50.98,51.55,50.85,51.32,3508800,44.22
"2007-05-03",51.32,52.15,51.12,51.86,4235800,44.68
"2007-05-04",51.92,52.49,51.24,51.65,5088500,44.5
"2007-05-07",51.19,51.65,51.01,51.5,3602900,44.37
"2007-05-08",51.31,51.38,50.56,51.12,4124200,44.04
"2007-05-09",51.16,51.41,50.42,51.25,4325400,44.16
"2007-05-10",51.49,51.5,50.28,50.48,4859400,43.49
"2007-05-11",50.75,52.1,50.75,51.93,5826600,44.74
"2007-05-14",51.93,52.28,51.5,51.85,6239900,44.67
"2007-05-15",51.85,52.79,51.65,52.33,6013600,45.09
"2007-05-16",52.45,53.17,52.05,53,4928900,45.66
"2007-05-17",53.25,54.28,52.69,53.99,4958000,46.52
"2007-05-18",53.35,54.93,53.35,54.67,7422000,47.1
"2007-05-21",54.55,55.18,54.3,54.79,5866300,47.21
"2007-05-22",54.92,55.31,54.47,54.52,4474700,46.97
"2007-05-23",54.69,55.11,54.27,54.61,6567800,47.05
"2007-05-24",54.3,54.96,53.71,53.93,6206800,46.47
"2007-05-25",54.55,55.07,54.42,54.96,4092900,47.35
"2007-05-29",54.53,54.53,53.71,54.07,4285500,46.59
"2007-05-30",54.08,55.23,53.64,55.09,4606500,47.46
"2007-05-31",55,55.66,54.73,54.97,5969100,47.36
"2007-06-01",55.66,56.76,55.3,56.33,6544200,48.53
"2007-06-04",56.42,58.98,56.33,58.38,8695400,50.3
"2007-06-05",58.3,58.49,57.72,58.31,5808300,50.24
"2007-06-06",58.1,58.1,57.26,57.65,6895500,49.86
"2007-06-07",57,58.21,56.66,56.67,6830400,49.01
"2007-06-08",56.6,56.99,55.93,56.94,4111100,49.24
"2007-06-11",56.76,57.7,56.48,57,3981700,49.3
"2007-06-12",56.8,57.4,56.26,56.59,4879900,48.94
"2007-06-13",56.65,57.8,56.65,57.7,4798600,49.9
"2007-06-14",58,59.21,57.88,58.73,6696700,50.79
"2007-06-15",59.19,59.46,58.98,59.31,4208400,51.29
"2007-06-18",59.35,59.73,59.25,59.38,3613100,51.35
"2007-06-19",59.39,59.44,58.73,59.1,4775200,51.11
"2007-06-20",58.4,58.74,56.97,57.11,7425800,49.39
"2007-06-21",57.98,58.64,57.55,58.52,5423300,50.61
"2007-06-22",58.8,59.13,58,58.8,8050300,50.85
"2007-06-25",58.3,58.57,57.37,57.73,5873800,49.93
"2007-06-26",57.85,58.16,55.57,55.89,8457300,48.34
"2007-06-27",55.36,57.04,54.47,56.81,7858400,49.13
"2007-06-28",57.2,57.92,57.1,57.28,5344200,49.54
"2007-06-29",57.96,58.77,57.48,57.88,5746400,50.06
"2007-07-02",58.49,58.72,58,58.72,4018900,50.78
"2007-07-03",58.84,59.2,58.72,58.8,1947700,50.85
"2007-07-05",58.68,59.77,58.55,59.46,4672000,51.42
"2007-07-06",60.05,60.06,59.34,59.77,3776800,51.69
"2007-07-09",59.98,61.05,59.58,60.64,5579100,52.44
"2007-07-10",60.2,60.75,59.75,59.79,5065900,51.71
"2007-07-11",59.66,59.96,59.3,59.71,5003500,51.64
"2007-07-12",60.98,61.92,59.71,61.75,6217800,53.4
"2007-07-13",61.65,64.28,61.56,63.6,7198000,55
"2007-07-16",63.6,63.6,60.78,61.54,6588800,53.22
"2007-07-17",62.12,62.74,60.17,60.27,7876100,52.12
"2007-07-18",60.3,62.2,60,61.93,6938700,53.56
"2007-07-19",62.58,62.6,61.93,62.24,5080900,53.83
"2007-07-20",61.98,62.64,61.46,62.1,6024300,53.71
"2007-07-23",62.65,62.69,60.65,61.37,5008900,53.08
"2007-07-24",60.75,60.99,58.57,59.17,6343400,51.17
"2007-07-25",59.75,60.86,57.72,60.72,7216900,52.51
"2007-07-26",59.8,60.25,56.75,58.17,10442100,50.31
"2007-07-27",58.22,58.27,55.88,56.9,9142600,49.21
"2007-07-30",57.62,57.75,56.15,57.41,6763800,49.65
"2007-07-31",58,58.64,56.58,56.72,6956800,49.05
"2007-08-01",57,58.22,55.66,57.21,8944300,49.48
"2007-08-02",57.44,57.58,55.95,56.97,7077500,49.27
"2007-08-03",58.16,58.16,55.25,55.26,8023500,47.79
"2007-08-06",55.27,55.44,53.26,54.29,10717500,46.95
"2007-08-07",54.29,56.1,53.51,55.35,7530600,47.87
"2007-08-08",56.09,57.3,55.43,56.36,6222800,48.74
"2007-08-09",55,55.79,54,54.6,7698800,47.22
"2007-08-10",54.02,56.05,53.5,55.64,6948100,48.12
"2007-08-13",56.06,56.64,55.5,55.6,3715300,48.09
"2007-08-14",56.44,56.5,55.15,55.24,5730100,47.77
"2007-08-15",55.5,56.15,53.95,54.18,5875300,46.86
"2007-08-16",53.1,53.38,50.66,53.1,11355200,45.92
"2007-08-17",54.89,55.1,52.87,54.33,7927300,46.99
"2007-08-20",53.83,55.52,53.59,55.04,5345500,47.6
"2007-08-21",54.75,55.49,53.81,54.56,4437300,47.19
"2007-08-22",54.98,55.8,54.24,54.95,5461300,47.52
"2007-08-23",55.06,56.24,54.42,55.06,4017700,47.62
"2007-08-24",55.25,56.9,55.19,56.73,4097000,49.06
"2007-08-27",56.45,56.91,56,56.36,2604700,48.74
"2007-08-28",55.96,56.35,54.6,54.68,6499200,47.29
"2007-08-29",55.55,56.49,54.86,56.24,7379000,48.64
"2007-08-30",56.24,57,55.55,56.38,3433000,48.76
"2007-08-31",57.14,57.61,56.6,56.69,3445400,49.03
"2007-09-04",56.7,58.56,56.6,58.02,5035000,50.18
"2007-09-05",57.66,58.5,57.53,58.37,5419400,50.48
"2007-09-06",59.02,59.79,58.58,59.1,5293900,51.33
"2007-09-07",58.32,59.7,58.21,59.03,5740400,51.27
"2007-09-10",58.52,59.38,56.86,58.68,5641800,50.97
"2007-09-11",59,59.93,58.03,59.9,5350700,52.03
"2007-09-12",59.7,61.59,59.68,60.85,8435200,52.85
"2007-09-13",60.84,62.59,60.61,62.1,5435600,53.94
"2007-09-14",61.46,62.13,60.77,61.11,5203000,53.08
"2007-09-17",60.95,61.5,60.66,61.03,4138600,53.01
"2007-09-18",61.03,64.11,60.82,63.77,6777400,55.39
"2007-09-19",64.27,65.86,64.15,64.29,6592400,55.84
"2007-09-20",64.12,64.39,63.49,63.88,4777600,55.48
"2007-09-21",64.65,64.87,63.88,64.41,4849100,55.94
"2007-09-24",63.99,64.33,63.31,63.69,5790700,55.32
"2007-09-25",63.07,63.18,62.34,62.94,4926400,54.67
"2007-09-26",63.54,64.04,62.94,63.87,8715500,55.48
"2007-09-27",64.3,65.14,63.96,64.7,6962600,56.2
"2007-09-28",64.79,65.39,63.67,64.08,4654700,55.66
"2007-10-01",64.12,66.25,64.02,66.15,7492500,57.46
"2007-10-02",65.95,66.07,64.59,65.26,6020500,56.68
"2007-10-03",64.82,64.97,63.6,64.1,5372400,55.68
"2007-10-04",64,66.21,63.29,65.83,10089800,57.18
"2007-10-05",66.21,66.64,65.81,66.41,5273200,57.68
"2007-10-08",65.35,65.98,64.9,65.17,4195700,56.6
"2007-10-09",65.34,67,65.1,66.9,4442300,58.11
"2007-10-10",66.01,67.48,65.88,67.19,3517200,58.36
"2007-10-11",67.79,70,67.05,67.76,6883700,58.85
"2007-10-12",68.26,69.53,67.86,69.21,4177300,60.11
"2007-10-15",70,70.56,68.91,69.12,6912100,60.04
"2007-10-16",69.12,71,68.57,70.64,8106100,61.36
"2007-10-17",71.44,71.49,69.28,69.79,5676100,60.62
"2007-10-18",69.8,70.37,69.47,70.14,5235500,60.92
"2007-10-19",69.7,69.85,66.42,66.71,8181400,57.94
"2007-10-22",64.12,65.76,64.04,65.2,6863700,56.63
"2007-10-23",66.67,67.55,65.51,66.75,5704300,57.98
"2007-10-24",66.08,68.07,66.03,67.83,8098700,58.92
"2007-10-25",68.3,69.81,67.69,69.05,6261200,59.97
"2007-10-26",69.98,71.42,69.93,70.77,7373600,61.47
"2007-10-29",71.2,71.42,70.01,70.23,6199200,61
"2007-10-30",69.53,69.68,66.64,66.8,7176100,58.02
"2007-10-31",67.37,69.5,66.62,69.05,7997800,59.97
"2007-11-01",67.9,69,66.21,66.76,7100100,57.99
"2007-11-02",67.5,68.86,66.9,68.74,9224900,59.71
"2007-11-05",68.67,70.99,67.51,70.74,8077200,61.44
"2007-11-06",70.99,73.92,70.84,73.69,20640600,64.01
"2007-11-07",73.9,74.33,70.8,70.88,8078300,61.56
"2007-11-08",71.23,72.96,70,71.92,9067500,62.47
"2007-11-09",71.39,72.89,70.43,70.78,8199300,61.48
"2007-11-12",70.18,70.18,66.95,67.23,7960700,58.39
"2007-11-13",67.93,68.29,65.74,68.2,7918000,59.24
"2007-11-14",68.96,70.68,68.22,68.26,4461700,59.29
"2007-11-15",67.85,68.38,65.31,65.98,6009800,57.31
"2007-11-16",66.56,68.64,66.46,68.5,7111600,59.5
"2007-11-19",68.66,69.46,67.6,68.01,6356900,59.07
"2007-11-20",68.26,71.9,68.25,71.3,6696700,61.93
"2007-11-21",70.82,74,70,70.28,8934800,61.04
"2007-11-23",70.89,72.4,70.41,72.1,2371300,62.62
"2007-11-26",72.25,72.92,68.85,69.27,6886700,60.17
"2007-11-27",68.83,68.87,67,68.52,8635400,59.51
"2007-11-28",69.17,70.1,67.2,69.79,9092200,60.62
"2007-11-29",69.78,71.52,69.34,69.98,5315400,60.78
"2007-11-30",70.48,70.76,68.77,69.77,7827100,60.6
"2007-12-03",69.19,71.32,69.19,70.55,5835300,61.28
"2007-12-04",70.25,70.39,69.03,69.36,4508700,60.24
"2007-12-05",70.14,71.95,69.36,70.3,6796800,61.06
"2007-12-06",69.99,72.56,69.49,72.54,6392000,63.23
"2007-12-07",72.49,72.87,71.49,72.3,4035500,63.02
"2007-12-10",72.26,73.08,71.58,72,4775400,62.76
"2007-12-11",72.26,73.19,69.5,69.91,6345300,60.94
"2007-12-12",71.62,73.5,71.62,72.46,6989200,63.16
"2007-12-13",71.96,73.45,71.66,73.19,5537400,63.8
"2007-12-14",72.61,72.65,70.96,71,4344800,61.89
"2007-12-17",70.83,70.83,68.38,68.88,4643500,60.04
"2007-12-18",69.52,71,69.17,70.36,5332600,61.33
"2007-12-19",71.59,72.4,70.75,71.95,5411100,62.72
"2007-12-20",72.62,72.78,71.6,72.66,4337100,63.34
"2007-12-21",72.68,75.94,72.68,75.83,7727600,66.1
"2007-12-24",75.88,76.89,75.25,76.79,1437000,66.94
"2007-12-26",78.28,78.52,76.65,78.06,3193400,68.04
"2007-12-27",77.96,78.81,77.69,78.03,3241400,68.02
"2007-12-28",79.25,79.25,77.83,78.1,2316800,68.08
"2007-12-31",77.6,78.45,76.83,76.99,2638000,67.11
"2008-01-02",78.04,79.35,77.26,78.35,5427200,68.3
"2008-01-03",78.45,80.83,78.35,80.51,5936600,70.18
"2008-01-04",79.98,80.25,77.55,77.76,6458900,67.78
"2008-01-07",78,78.49,74.7,76.4,7952300,66.6
"2008-01-08",76.93,77.78,74.23,74.5,8332100,64.94
"2008-01-09",74.74,76.4,73.68,75.91,8475200,66.17
"2008-01-10",74.74,74.95,71.45,73,12925200,63.63
"2008-01-11",72.47,74.07,71.82,72.72,9206700,63.39
"2008-01-14",73.23,75.65,73.23,75.35,5356200,65.68
"2008-01-15",74.28,74.3,71.58,71.98,7699800,62.74
"2008-01-16",70.83,72.15,67.89,70.07,12987900,61.08
"2008-01-17",70.42,72.32,68.02,68.15,11886100,59.4
"2008-01-18",68.63,70.41,67.04,68.04,10555700,59.31
"2008-01-22",63.59,66.21,63.01,65.16,11553100,56.8
"2008-01-23",62.93,64.84,60.7,64.57,12722700,56.28
"2008-01-24",64.67,66.1,63.97,65.65,10177600,57.23
"2008-01-25",66.79,67.45,64.3,64.81,8875500,56.49
"2008-01-28",65.23,65.23,62.86,64.57,9384300,56.28
"2008-01-29",66.42,69,64.73,68.49,10448300,59.7
"2008-01-30",68.95,70.59,67.58,68.86,7710900,60.02
"2008-01-31",67.64,68.47,65.68,67.8,7736300,59.1
"2008-02-01",67.87,70,67.07,69.2,8411100,60.32
"2008-02-04",69.22,70.04,67.76,69.24,5722100,60.35
"2008-02-05",68.16,68.44,66.63,66.63,5823500,58.08
"2008-02-06",67.22,67.62,64.57,64.84,6994000,56.52
"2008-02-07",64.6,65.97,63.46,65.22,8628100,56.85
"2008-02-08",64.99,67.24,64.98,66.68,5436200,58.12
"2008-02-11",66.79,68.72,65.52,68.54,8728900,59.74
"2008-02-12",69.1,70.01,67.52,68.21,6539300,59.46
"2008-02-13",68.87,70.24,67.28,70.13,6548000,61.13
"2008-02-14",70.29,73.42,70.29,71.73,8828900,62.53
"2008-02-15",72.57,72.59,70.31,71.72,6454400,62.52
"2008-02-19",73.72,75.85,73.05,75.06,7766100,65.43
"2008-02-20",74.26,76.29,74,76.15,5082900,66.38
"2008-02-21",76.3,76.74,72.92,73.09,6586100,63.71
"2008-02-22",73.53,74.34,72.15,73.57,6050400,64.13
"2008-02-25",74.04,76.34,73.84,76.03,6712800,66.27
"2008-02-26",76.14,78.73,75.9,78.07,8080500,68.05
"2008-02-27",77.44,79.39,77.4,78.7,8233700,68.6
"2008-02-28",78.29,80.41,78.29,80.41,6104100,70.09
"2008-02-29",79.67,79.67,76.55,77.37,6839000,67.44
"2008-03-03",77.5,78.82,76.67,78.24,6483100,68.2
"2008-03-04",77.67,78.16,74.5,75.84,8036700,66.11
"2008-03-05",76.59,78.88,76.19,78.46,6942400,68.39
"2008-03-06",77.83,78.28,75.4,75.46,8062900,65.99
"2008-03-07",74.75,75.85,73.35,74.29,6086900,64.96
"2008-03-10",75.44,75.45,72.83,73.47,5769700,64.25
"2008-03-11",75.5,78.95,74.38,78.59,9538400,68.72
"2008-03-12",78.82,78.92,76.33,76.41,5582300,66.82
"2008-03-13",76.12,78.14,74.88,77.37,6389900,67.66
"2008-03-14",78.09,78.09,73.69,75.27,8361500,65.82
"2008-03-17",74.21,74.21,69.27,70.67,10672900,61.8
"2008-03-18",72.74,74.22,71.58,73.96,7271100,64.67
"2008-03-19",73.69,74.35,69.05,69.17,9025900,60.49
"2008-03-20",67.57,70.23,66.39,69.94,9156500,61.16
"2008-03-24",70.09,71.89,69.29,70.74,5154400,61.86
"2008-03-25",71.19,72.13,70.3,71.76,5060700,62.75
"2008-03-26",71.53,74.25,71.53,73.95,6183300,64.67
"2008-03-27",74.26,75.15,73.08,73.2,4730300,64.01
"2008-03-28",73.7,74.68,72.13,73.22,4148300,64.03
"2008-03-31",73.69,74.7,72.16,73.17,5489800,63.98
"2008-04-01",73.1,75,72.23,74.88,6321500,65.48
"2008-04-02",74.5,75.65,74.16,74.89,8159300,65.49
"2008-04-03",74.59,76.85,74.2,75.53,6854500,66.05
"2008-04-04",75.79,77.48,75.79,76.75,5059600,67.11
"2008-04-07",78.22,78.45,76.32,76.56,4513000,66.95
"2008-04-08",76.04,77.84,75.94,77.18,4999600,67.49
"2008-04-09",77.38,79.89,77.31,78.85,5879400,68.95
"2008-04-10",78.7,79.29,77.93,78.59,5102700,68.72
"2008-04-11",78.84,78.84,77.1,77.23,3130800,67.53
"2008-04-14",77.22,78.91,77.22,78.17,5230100,68.36
"2008-04-15",79,79.9,78.74,79.47,5383600,69.49
"2008-04-16",79.86,83.4,79.68,83.19,9213900,72.75
"2008-04-17",82.87,84.1,82.44,82.87,4476100,72.47
"2008-04-18",83,83.6,82.12,82.86,7934000,72.46
"2008-04-21",83.92,84.96,82.94,84.81,6685400,74.16
"2008-04-22",84.61,86.96,84.13,86.06,7629500,75.26
"2008-04-23",86.27,86.27,83.77,84.49,5963600,73.88
"2008-04-24",85.36,85.36,82.21,82.83,7792200,72.43
"2008-04-25",84.55,86.91,83.78,86.87,7518100,75.96
"2008-04-28",87.45,87.52,85.23,85.54,6183600,74.8
"2008-04-29",85.1,85.55,83.17,83.25,6161900,72.8
"2008-04-30",83.74,84.68,82.25,83.21,6477800,72.76
"2008-05-01",82.31,82.72,78.29,81.02,9396800,70.85
"2008-05-02",82.38,83.82,81.85,83.74,5900600,73.23
"2008-05-05",84.29,86.65,84.24,85.84,4983000,75.06
"2008-05-06",86.66,89.55,86.17,89.17,6719200,77.98
"2008-05-07",89.58,89.98,86.76,86.76,7901900,75.87
"2008-05-08",87.89,88,86.42,87.92,7084500,76.88
"2008-05-09",88.02,88.68,86.41,87.85,4883300,76.82
"2008-05-12",87.29,88.67,86.59,88.01,5392400,76.96
"2008-05-13",88.45,90.14,87.01,90.14,6638700,78.82
"2008-05-14",90.7,90.98,88.53,88.8,6069600,77.65
"2008-05-15",90.23,91.65,88.7,90.83,9079300,79.43
"2008-05-16",92.27,94.99,91.25,94.99,9575700,83.06
"2008-05-19",95.35,96.78,94.62,95.46,7869700,83.48
"2008-05-20",96.2,98.03,95.71,97.85,8730700,85.57
"2008-05-21",98.17,100.04,96.19,96.45,11234600,84.34
"2008-05-22",96.77,98.54,95.22,96.03,9163000,83.97
"2008-05-23",97.01,97.01,92.37,93.34,8704900,81.62
"2008-05-27",92.68,93.14,90.92,91.36,7606600,79.89
"2008-05-28",90.41,93.12,89.73,93.12,8457800,81.43
"2008-05-29",92.47,93.78,90.88,90.92,8073100,79.51
"2008-05-30",91.64,92.52,90.83,91.93,7637100,80.39
"2008-06-02",91.5,93.69,91.26,92.5,7265000,80.89
"2008-06-03",91.89,93.75,89.54,89.66,10263600,78.4
"2008-06-04",89.17,89.6,87.3,87.4,10911800,76.43
"2008-06-05",88.69,91.74,87.56,91.64,7456000,80.14
"2008-06-06",93.22,96.67,92.41,92.7,13244600,81.35
"2008-06-09",93.47,94.52,92.21,93.56,7399500,82.1
"2008-06-10",94.45,94.45,88.81,89.87,9292700,78.86
"2008-06-11",91.34,92.5,89.3,92.02,7442600,80.75
"2008-06-12",90,90,87.68,88.39,12626900,77.56
"2008-06-13",87.55,89.15,87.03,88.07,8725600,77.28
"2008-06-16",88.7,90.41,88.3,89.54,6658300,78.57
"2008-06-17",89.24,91.7,88.54,91.14,6303300,79.98
"2008-06-18",91.37,91.42,89.09,90.26,6457400,79.21
"2008-06-19",90.59,91.98,86.69,86.89,8602000,76.25
"2008-06-20",88.37,88.51,85.08,85.64,10139300,75.15
"2008-06-23",85.34,88.09,84.49,87.61,10608600,76.88
"2008-06-24",87.46,87.79,85.91,86.06,7235600,75.52
"2008-06-25",85.94,86.24,82.43,84.86,10303400,74.47
"2008-06-26",85.03,86.28,83.51,84.94,8823000,74.54
"2008-06-27",85.18,88.52,85.18,88.45,16610500,77.62
"2008-06-30",89.86,91.13,89.1,89.86,10741400,78.85
"2008-07-01",90,92,88.91,91.44,10428000,80.24
"2008-07-02",91.29,92.49,87.84,88.42,12209600,77.59
"2008-07-03",88.56,89.18,85.15,87.25,6267300,76.56
"2008-07-07",86.88,87.71,83.42,84.42,10440500,74.08
"2008-07-08",83.02,83.02,79.34,82.53,14263100,72.42
"2008-07-09",83.29,83.96,80.87,80.99,9643900,71.07
"2008-07-10",81.14,83.75,80.18,83.6,9971400,73.36
"2008-07-11",84.3,86.04,83.12,84.05,9114700,73.76
"2008-07-14",84.13,85.73,83.06,84.06,5668200,73.76
"2008-07-15",84.19,84.5,79.25,80.2,10488100,70.38
"2008-07-16",80,80.13,75.25,77,19497000,67.57
"2008-07-17",77.97,79.7,73.12,75.1,14001900,65.9
"2008-07-18",77.24,78.19,75.41,77.59,10331900,68.09
"2008-07-21",77.87,80.41,77.65,79.97,8144700,70.18
"2008-07-22",79.24,79.46,76.06,77,9366800,67.57
"2008-07-23",76.22,77.62,71.76,72.22,16138300,63.37
"2008-07-24",73.56,74.92,70.22,73.34,17947300,64.36
"2008-07-25",73.2,77.02,72.7,75.71,10513000,66.44
"2008-07-28",76.69,78.34,75.36,76.08,8772900,66.76
"2008-07-29",76.22,76.86,73.67,75.95,10212400,66.65
"2008-07-30",76.21,81.7,75.12,80.69,12823600,70.81
"2008-07-31",79.85,80.26,77.88,78.83,9055200,69.18
"2008-08-01",78.87,80.9,78.75,79.31,7095000,69.6
"2008-08-04",79.07,79.89,73.78,74.23,9843700,65.14
"2008-08-05",73.79,75.86,72.7,75.61,9063500,66.35
"2008-08-06",75.8,78.22,75.49,77.61,7785900,68.1
"2008-08-07",78.56,79.1,76.31,76.37,7273400,67.02
"2008-08-08",74.9,76.35,73.68,76.09,7990500,66.77
"2008-08-11",76.22,77.16,74.25,75.89,6608900,66.6
"2008-08-12",76.75,77.39,75,75.48,9248300,66.24
"2008-08-13",75.99,78.75,75.29,78.13,8324200,68.56
"2008-08-14",77.77,78.05,75.9,77.42,7134200,67.94
"2008-08-15",77.2,77.24,73.73,75.71,8085300,66.44
"2008-08-18",76.44,77.58,75.4,75.62,6013500,66.36
"2008-08-19",74.74,78.24,74.74,77.73,6591500,68.21
"2008-08-20",78.79,81.68,78.49,81.2,9456200,71.25
"2008-08-21",82.44,84.95,81.44,83.81,8739300,73.55
"2008-08-22",83.25,83.7,80.9,81.78,5418000,71.76
"2008-08-25",81.31,82.96,80.33,80.84,5529100,70.94
"2008-08-26",81.37,82.94,81,82.51,4001400,72.4
"2008-08-27",83.89,84.96,83.69,84.17,5458800,73.86
"2008-08-28",84.89,85.44,79.91,80.57,10118800,70.7
"2008-08-29",81.68,81.71,78.92,79.36,6820000,69.64
"2008-09-02",75.93,76.54,74.31,75.33,10150600,66.1
"2008-09-03",75.24,76.68,73.59,75.49,7954900,66.24
"2008-09-04",75.49,76.29,72.47,73.59,8861800,64.58
"2008-09-05",73.71,74.03,71.03,73.27,6833600,64.3
"2008-09-08",74.83,74.88,70.8,71.93,7850700,63.4
"2008-09-09",70.51,71.55,66.16,66.17,13208000,58.32
"2008-09-10",66.65,70.77,66.51,69.86,10155100,61.57
"2008-09-11",69.44,70.5,67.2,69.86,9108500,61.57
"2008-09-12",70.02,73.06,70.02,72.46,8755500,63.86
"2008-09-15",67.51,71.44,66.67,67.66,10034500,59.63
"2008-09-16",65.24,70,63.96,69.81,11028600,61.53
"2008-09-17",69.6,73.53,67.66,69.05,13053700,60.86
"2008-09-18",71.26,74.14,68.47,70.95,11088800,62.53
"2008-09-19",74.28,80.76,73.38,80.5,15480700,70.95
"2008-09-22",80.36,84.16,80.15,81.24,11091200,71.6
"2008-09-23",80.68,82.14,76.44,77.16,8761400,68.01
"2008-09-24",78.09,78.34,75.88,76.65,6467300,67.56
"2008-09-25",76.73,78.8,76.01,77.88,7160800,68.64
