"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2007-05-02",78.4,79.64,78.27,78.9,1024500,78.9
"2007-05-03",78.99,79.06,77.65,77.88,1131900,77.88
"2007-05-04",78.3,78.5,77.86,78.14,920700,78.14
"2007-05-07",78.39,79.03,78.29,79.03,734500,79.03
"2007-05-08",79.03,79.3,78.64,78.83,796700,78.83
"2007-05-09",78.83,79.22,78.5,79,604600,79
"2007-05-10",78.85,78.85,77.62,77.79,975500,77.79
"2007-05-11",77.8,78.6,77.8,78.37,550900,78.37
"2007-05-14",78.16,78.49,77.77,77.89,506000,77.89
"2007-05-15",77.74,78.42,77.42,77.58,634100,77.58
"2007-05-16",78.1,78.44,77.76,78.2,470500,78.2
"2007-05-17",77.95,78.43,77.68,78.16,575500,78.16
"2007-05-18",78.27,78.51,77.81,78.43,490200,78.43
"2007-05-21",78.63,78.93,78,78.79,552100,78.79
"2007-05-22",78.79,78.84,78.17,78.44,587800,78.44
"2007-05-23",78.88,79.14,78.6,78.89,389800,78.89
"2007-05-24",78.83,79.36,78.3,78.59,678800,78.59
"2007-05-25",78.46,78.89,78.4,78.63,402500,78.63
"2007-05-29",78.42,79.1,78.29,78.52,483800,78.52
"2007-05-30",78.42,79.03,78.3,78.71,530100,78.71
"2007-05-31",78.67,79.03,78.41,78.74,858000,78.74
"2007-06-01",79.11,79.79,78.71,79.74,603200,79.74
"2007-06-04",79.35,79.65,79.19,79.46,509200,79.46
"2007-06-05",79.21,79.46,79.15,79.42,865600,79.42
"2007-06-06",79.25,79.43,78.18,79.06,841700,79.06
"2007-06-07",79.06,79.92,77.85,78.1,1101300,78.1
"2007-06-08",77.99,78.62,77.76,78.24,752300,78.24
"2007-06-11",78.24,78.77,77.92,78.77,594600,78.77
"2007-06-12",78.15,78.93,77.88,77.88,1664800,77.88
"2007-06-13",78.08,78.98,77.69,78.98,1307100,78.98
"2007-06-14",78.85,79.26,78.61,79.19,544700,79.19
"2007-06-15",79.34,79.97,79.25,79.92,1031100,79.92
"2007-06-18",79.93,79.93,79.33,79.6,480700,79.6
"2007-06-19",79.2,79.98,79.12,79.98,583600,79.98
"2007-06-20",79.98,80,79.22,79.22,675000,79.22
"2007-06-21",79.07,79.75,78.92,79.45,543600,79.45
"2007-06-22",79.05,79.49,78.5,78.7,786400,78.7
"2007-06-25",78.8,79.34,78.08,78.26,584000,78.26
"2007-06-26",78.32,78.97,78.01,78.21,713300,78.21
"2007-06-27",78.01,78.35,77.84,78.23,686500,78.23
"2007-06-28",78.09,78.97,78.01,78.32,506600,78.32
"2007-06-29",78.34,78.94,77.95,78.26,754900,78.26
"2007-07-02",78.9,79.22,78.49,79.07,607200,79.07
"2007-07-03",79.07,79.72,79,79.62,277800,79.62
"2007-07-05",79.63,81.23,79.42,81.01,1355300,81.01
"2007-07-06",80.9,81.88,80.64,81.4,898200,81.4
"2007-07-09",81.28,81.38,80.17,80.43,733800,80.43
"2007-07-10",80.18,80.6,79.12,79.18,930600,79.18
"2007-07-11",79.55,80.26,79.34,80.26,709100,80.26
"2007-07-12",80.7,81.2,80.25,80.93,701700,80.93
"2007-07-13",80.71,81.13,80.3,81.08,281000,81.08
"2007-07-16",80.93,81.57,80.85,81.24,524000,81.24
"2007-07-17",81.2,82.32,81,81.18,999100,81.18
"2007-07-18",80.8,81.11,80.03,81.05,1327800,81.05
"2007-07-19",80.95,81.1,80.17,80.74,747700,80.74
"2007-07-20",80.73,80.89,79.65,79.81,947400,79.81
"2007-07-23",80.05,80.25,78.51,78.78,888400,78.78
"2007-07-24",78.58,79.18,76.44,78.42,2027000,78.42
"2007-07-25",78.42,78.88,78.13,78.41,1115100,78.41
"2007-07-26",77.95,77.95,75.89,76.45,1271200,76.45
"2007-07-27",76.35,76.35,74.15,74.15,887300,74.15
"2007-07-30",77.04,77.04,73.65,74.56,1024300,74.56
"2007-07-31",75.05,75.93,73.78,73.85,1336800,73.85
"2007-08-01",73.8,74.05,71.7,73.27,2246400,73.27
"2007-08-02",75.35,77.36,74.72,77.14,3401600,77.14
"2007-08-03",77.04,79.42,76.75,76.75,1890200,76.75
"2007-08-06",77.15,79,77,78.86,1382200,78.86
"2007-08-07",78.3,79.25,77.64,78.07,1621100,78.07
"2007-08-08",78.19,78.19,74.9,76.55,1622500,76.55
"2007-08-09",75.35,76.48,72.69,74.48,1728400,74.48
"2007-08-10",73.9,77,72.51,76.11,1293100,76.11
"2007-08-13",76.01,77.29,75.92,76.57,789700,76.57
"2007-08-14",76.3,77.19,75.09,75.2,700100,75.2
"2007-08-15",74.7,76.44,74.47,75.11,662800,75.11
"2007-08-16",74.8,76.09,72.54,73.84,1585100,73.84
"2007-08-17",75.43,76.04,73.4,75.25,1125500,75.25
"2007-08-20",75.6,76.32,74.91,75.19,843400,75.19
"2007-08-21",74.16,75.74,74.16,75.22,550800,75.22
"2007-08-22",75.79,76.12,75.4,75.84,662300,75.84
"2007-08-23",75.77,76.33,74.61,75.26,1092300,75.26
"2007-08-24",75.1,75.94,74.92,75.85,646700,75.85
"2007-08-27",75.65,76.22,75.6,75.71,515100,75.71
"2007-08-28",75.52,75.61,73.83,73.83,791000,73.83
"2007-08-29",74.05,75.08,73.91,75.08,553700,75.08
"2007-08-30",76.25,78.38,75.88,77.7,1538300,77.7
"2007-08-31",77.88,78.37,77.23,77.66,997900,77.66
"2007-09-04",77.37,78.15,77.32,78.05,546000,78.05
"2007-09-05",78.05,78.95,77.8,78.82,959500,78.82
"2007-09-06",78.88,79.44,78.32,78.83,720300,78.83
"2007-09-07",78.63,80,77.73,77.74,942300,77.74
"2007-09-10",78.44,78.44,77.05,77.4,503200,77.4
"2007-09-11",77.87,78.49,77.61,78.16,708800,78.16
"2007-09-12",78.3,79.93,78.27,79.15,667400,79.15
"2007-09-13",79.75,80.26,79.04,79.51,585200,79.51
"2007-09-14",79.39,79.7,78.93,79.6,425200,79.6
"2007-09-17",79,79.08,78.12,78.54,684500,78.54
"2007-09-18",78.62,79.86,78.4,79.58,506600,79.58
"2007-09-19",79.55,79.85,78.27,78.43,955800,78.43
"2007-09-20",78.1,78.5,77.9,77.92,704200,77.92
"2007-09-21",78.6,78.6,77.61,77.61,1607200,77.61
"2007-09-24",77.54,77.67,76.75,76.92,898600,76.92
"2007-09-25",76.81,77.22,76.34,76.41,1005800,76.41
"2007-09-26",76.47,77.29,76.4,77.14,653700,77.14
"2007-09-27",77.52,77.52,76.11,76.94,653000,76.94
"2007-09-28",77.1,78.32,77.06,78.23,1068400,78.23
"2007-10-01",78.7,79.24,77.91,78.2,751800,78.2
"2007-10-02",78.15,78.47,77.49,77.76,560800,77.76
"2007-10-03",77.65,77.9,77.1,77.48,556100,77.48
"2007-10-04",77.58,77.79,76.42,76.95,605400,76.95
"2007-10-05",77.35,77.76,76.85,77.57,691100,77.57
"2007-10-08",77.6,78.18,77.5,77.86,451400,77.86
"2007-10-09",77.87,78.23,77.76,78.16,465100,78.16
"2007-10-10",78.21,78.94,78.11,78.88,603500,78.88
"2007-10-11",78.72,79.64,77.02,77.25,772200,77.25
"2007-10-12",77.24,78.01,77.21,77.93,383200,77.93
"2007-10-15",78.07,78.24,76.71,77.18,584000,77.18
"2007-10-16",76.9,77.58,76.39,76.42,480000,76.42
"2007-10-17",76.8,77.34,75.89,76.27,649100,76.27
"2007-10-18",76.1,76.72,76.01,76.38,526300,76.38
"2007-10-19",76.1,76.87,76.04,76.28,600400,76.28
"2007-10-22",75.5,75.87,75.09,75.66,817700,75.66
"2007-10-23",76.5,77.71,75,77.46,853900,77.46
"2007-10-24",77.33,77.48,74.82,75.89,1158800,75.89
"2007-10-25",70.5,71.8,69.1,69.5,10059300,69.5
"2007-10-26",70,70.46,69.34,69.54,2189400,69.54
"2007-10-29",69.47,69.5,67.76,68.02,4940300,68.02
"2007-10-30",67.58,69.31,67.38,68.78,2567700,68.78
"2007-10-31",69,69.45,67.71,68.75,1698000,68.75
"2007-11-01",68.76,70.16,67.73,67.94,3172300,67.94
"2007-11-02",67.94,68.59,67.47,68.52,2833700,68.52
"2007-11-05",65.13,69.05,65.13,68.4,1939200,68.4
"2007-11-06",68.45,69.46,68.13,69.35,1846200,69.35
"2007-11-07",68.5,69.53,68.35,68.44,1867500,68.44
"2007-11-08",68.5,69.22,67.98,69.11,1981100,69.11
"2007-11-09",68.34,69.66,68.05,69.2,1977000,69.2
"2007-11-12",69.48,69.63,68.65,68.76,2141400,68.76
"2007-11-13",68.86,69.35,68.37,69.06,1777000,69.06
"2007-11-14",69.34,70.32,69.08,69.93,2262300,69.93
"2007-11-15",69.79,70.87,69.39,69.7,1916100,69.7
"2007-11-16",69.96,70.21,69.37,69.72,1398000,69.72
"2007-11-19",68.82,71.47,68.82,71.09,2275800,71.09
"2007-11-20",70.59,71.3,69.63,70.1,1913600,70.1
"2007-11-21",68.75,69.79,68.53,68.53,1163900,68.53
"2007-11-23",68.64,69.84,68.64,69.59,555100,69.59
"2007-11-26",70.3,71.5,70.3,70.48,1979900,70.48
"2007-11-27",70.47,71.74,70.47,71.65,1662300,71.65
"2007-11-28",71.47,72.81,71.47,72.59,1312100,72.59
"2007-11-29",71.99,73.65,71.99,73.44,1183500,73.44
"2007-11-30",73.59,73.59,72.5,72.67,1227500,72.67
"2007-12-03",72.46,73.09,71.71,71.83,986500,71.83
"2007-12-04",71.5,72.17,71.5,71.68,875300,71.68
"2007-12-05",72.2,72.67,71.84,72.64,1081500,72.64
"2007-12-06",72.61,73.24,72.07,73.19,756300,73.19
"2007-12-07",73.47,73.47,72.71,73.1,539200,73.1
"2007-12-10",73.16,73.65,72.9,73.65,883100,73.65
"2007-12-11",73.2,74.29,73.2,73.73,1773700,73.73
"2007-12-12",74.4,74.47,73.86,74.1,1221400,74.1
"2007-12-13",73.88,74.91,73.74,74.77,876500,74.77
"2007-12-14",74.8,74.9,74.4,74.6,945800,74.6
"2007-12-17",74.13,75.39,74.13,74.64,1221400,74.64
"2007-12-18",74.96,75.14,74.46,75.02,1102400,75.02
"2007-12-19",75.18,75.19,74,74.69,1036300,74.69
"2007-12-20",75.09,75.63,75,75.63,628700,75.63
"2007-12-21",75.99,76.81,75.76,76.68,1119000,76.68
"2007-12-24",76.3,77.42,76.3,76.7,415400,76.7
"2007-12-26",76.54,76.83,76.25,76.7,416800,76.7
"2007-12-27",76.75,76.95,75.85,76.1,722200,76.1
"2007-12-28",75.94,76.49,75.41,75.55,367600,75.55
"2007-12-31",75.65,76.05,75.39,75.53,491400,75.53
"2008-01-02",75.53,76.09,74.92,75.01,1069800,75.01
"2008-01-03",75.11,75.75,74.7,75.04,746900,75.04
"2008-01-04",74.54,75.38,73.35,73.35,1015700,73.35
"2008-01-07",73.64,75.07,73.38,74.97,1011100,74.97
"2008-01-08",75.5,76.42,75.18,75.98,1061800,75.98
"2008-01-09",75.95,78.31,75.62,77.96,1875700,77.96
"2008-01-10",76.95,79.46,76.95,77.97,1621200,77.97
"2008-01-11",77.9,78.82,77.57,78.55,1428400,78.55
"2008-01-14",78.66,79.18,77.67,77.85,1073400,77.85
"2008-01-15",77.04,78.08,76.05,76.05,1328800,76.05
"2008-01-16",75.55,76.95,75.5,76.31,1263000,76.31
"2008-01-17",76.38,76.59,74.59,74.65,1461200,74.65
"2008-01-18",75.02,76.28,74.26,74.94,1894900,74.94
"2008-01-22",71.47,74.88,70.46,74.09,1541400,74.09
"2008-01-23",72.36,73.98,72.13,73.36,1438600,73.36
"2008-01-24",73.55,73.64,72.16,73.08,947100,73.08
"2008-01-25",73.47,74.01,73.1,73.5,1384700,73.5
"2008-01-28",73.5,74.61,73.09,74.55,1229900,74.55
"2008-01-29",74.83,75.22,74.5,74.94,785600,74.94
"2008-01-30",74.98,75.21,73.64,73.84,713100,73.84
"2008-01-31",72.83,74.27,72.78,73.77,1156800,73.77
"2008-02-01",73.8,74.78,73.47,74.21,818300,74.21
"2008-02-04",74,74.62,73.64,73.9,782200,73.9
"2008-02-05",73.49,73.65,72.66,72.66,997200,72.66
"2008-02-06",72.9,73.43,72.42,73.41,1282300,73.41
"2008-02-07",76.66,79.9,76.66,77.76,5120100,77.76
"2008-02-08",77.75,79.11,77.03,79.11,1854800,79.11
"2008-02-11",79.1,79.44,78.23,79.22,1129200,79.22
"2008-02-12",79.55,80,79.22,79.52,1118300,79.52
"2008-02-13",79.76,80.77,79.3,80.5,1230600,80.5
"2008-02-14",80.2,80.27,79.1,79.32,899500,79.32
"2008-02-15",79.25,79.81,78.75,79.76,842400,79.76
"2008-02-19",80.36,80.5,79.89,80.41,686800,80.41
"2008-02-20",79.87,80.41,79.34,80.27,769400,80.27
"2008-02-21",80.27,80.5,79.57,79.61,1190900,79.61
"2008-02-22",79.81,80.09,78.45,79.29,859600,79.29
"2008-02-25",79.22,79.5,78.78,79.16,1301200,79.16
"2008-02-26",78.93,79.55,78.75,79.4,1084400,79.4
"2008-02-27",79.03,79.58,78.64,78.88,720700,78.88
"2008-02-28",78.77,78.98,78.08,78.84,701400,78.84
"2008-02-29",78.99,78.99,77.27,77.31,1097400,77.31
"2008-03-03",77.06,77.56,76.44,76.9,1011000,76.9
"2008-03-04",76.48,79.01,76.48,78.89,1567900,78.89
"2008-03-05",78.91,79.73,78.58,79.32,1026000,79.32
"2008-03-06",79.28,79.51,78.53,78.69,938700,78.69
"2008-03-07",78.22,78.75,77.46,77.57,650400,77.57
"2008-03-10",77.48,78,76.95,77.21,615200,77.21
"2008-03-11",78.62,78.62,76.01,77.68,1262800,77.68
"2008-03-12",77.47,77.82,76.66,76.79,2356900,76.79
"2008-03-13",76.2,77.06,75.81,76.4,962700,76.4
"2008-03-14",76.6,76.79,74.68,75.05,1226600,75.05
"2008-03-17",74.06,75.09,73.47,73.78,1052700,73.78
"2008-03-18",74.64,75.14,73.92,75.14,1261400,75.14
"2008-03-19",75.09,76.34,75.09,75.36,1703900,75.36
"2008-03-20",79.99,79.99,74.11,74.46,2085600,74.46
"2008-03-24",74.61,75.25,74.61,74.9,1499100,74.9
"2008-03-25",75.14,75.36,73.93,74.5,1113300,74.5
"2008-03-26",73.97,74.2,72.51,73.69,1736300,73.69
"2008-03-27",73.53,74.58,73.3,74.1,1946200,74.1
"2008-03-28",74.3,74.78,72.91,73,1593800,73
"2008-03-31",73.4,73.97,73.09,73.68,1393500,73.68
"2008-04-01",72.68,74.66,72.57,74.59,979500,74.59
"2008-04-02",74.54,76.08,74.54,75.34,1401300,75.34
"2008-04-03",74.96,75.6,74.68,74.87,759600,74.87
"2008-04-04",74.73,75.07,73.8,73.88,957800,73.88
"2008-04-07",74.26,74.67,72.89,73,1029900,73
"2008-04-08",72.64,73.54,72.5,73,1030800,73
"2008-04-09",73.54,75.26,73.54,75.04,2304900,75.04
"2008-04-10",74.86,74.94,74.23,74.74,745300,74.74
"2008-04-11",74.01,74.94,74.01,74.18,775800,74.18
"2008-04-14",74.31,74.33,73.71,73.92,481000,73.92
"2008-04-15",74.24,74.57,73.39,73.63,590500,73.63
"2008-04-16",74.1,74.1,73.31,74,918300,74
"2008-04-17",74.1,74.73,73.18,73.53,1309600,73.53
"2008-04-18",74.56,75.06,74.16,74.75,1082000,74.75
"2008-04-21",74.75,76.89,74.75,76.34,1442900,76.34
"2008-04-22",76.16,76.34,74.74,74.74,854600,74.74
"2008-04-23",74.98,77.75,74.76,77.13,1829700,77.13
"2008-04-24",76.2,76.2,73,74.25,1612100,74.25
"2008-04-25",74.36,75.08,73.5,74.89,1149300,74.89
"2008-04-28",75.3,75.77,74.9,75.46,795600,75.46
"2008-04-29",75.99,75.99,73.04,74.94,678600,74.94
"2008-04-30",75.22,76.25,74.85,75.62,821900,75.62
"2008-05-01",75.6,76.35,75.24,76.17,632100,76.17
"2008-05-02",76.65,77.02,75.85,76.08,593200,76.08
"2008-05-05",75.86,76.03,75.05,75.74,570200,75.74
"2008-05-06",75.91,76.48,74.84,76.4,555400,76.4
"2008-05-07",76.55,76.78,75.61,75.63,486500,75.63
"2008-05-08",75.83,77.05,75.66,76.8,579600,76.8
"2008-05-09",76.31,77.25,75.87,77.04,710500,77.04
"2008-05-12",77.38,77.84,76.46,77.73,530400,77.73
"2008-05-13",77.46,77.95,76.94,77.13,544900,77.13
"2008-05-14",77.5,77.52,77.02,77.28,469200,77.28
"2008-05-15",77.16,77.55,76.08,76.08,823300,76.08
"2008-05-16",77.75,77.94,75.81,75.93,1036900,75.93
"2008-05-19",75.96,76.46,75.93,76.02,709900,76.02
"2008-05-20",75.81,76.81,75.81,76.07,774700,76.07
"2008-05-21",76.06,77.08,75.53,75.68,759400,75.68
"2008-05-22",75.64,76.61,75.54,76.33,595000,76.33
"2008-05-23",76.12,76.21,75.37,75.46,338600,75.46
"2008-05-27",75.49,75.8,74.8,75.28,722800,75.28
"2008-05-28",75.28,75.37,74.33,74.33,913000,74.33
"2008-05-29",74.34,74.65,72.91,73.62,2199600,73.62
"2008-05-30",73.64,73.86,73,73.79,1152100,73.79
"2008-06-02",73.85,75.06,73.82,74.76,1488100,74.76
"2008-06-03",75.03,75.51,74.56,75.02,1215200,75.02
"2008-06-04",75.28,75.37,74.2,74.42,631200,74.42
"2008-06-05",75.01,75.39,73.87,75.35,484500,75.35
"2008-06-06",74.54,75,73.79,73.88,755000,73.88
"2008-06-09",74.02,74.34,73.39,74.17,556700,74.17
"2008-06-10",73.91,74.53,73.52,74.45,571100,74.45
"2008-06-11",74.25,74.59,73.72,74,1450700,74
"2008-06-12",74.52,74.67,73.73,74.02,1715700,74.02
"2008-06-13",73.92,74.61,73.51,73.75,993700,73.75
"2008-06-16",73.44,73.95,72.95,73.6,827200,73.6
"2008-06-17",73.8,73.8,72.18,72.24,768000,72.24
"2008-06-18",71.97,72.2,70.55,70.57,2015800,70.57
"2008-06-19",70.67,71.65,70.32,71.49,1022500,71.49
"2008-06-20",71.24,71.32,69.83,69.92,1567300,69.92
"2008-06-23",70.16,70.33,69.64,69.8,1000100,69.8
"2008-06-24",69.44,70.09,68.89,69.06,1652500,69.06
"2008-06-25",69.17,70.75,69.15,70.17,1571500,70.17
"2008-06-26",69.63,70.69,69.63,70.24,955400,70.24
"2008-06-27",70.06,70.36,69.27,69.28,1446400,69.28
"2008-06-30",69.34,70.97,69.27,69.63,1763600,69.63
"2008-07-01",69.39,69.39,68.52,68.8,2928100,68.8
"2008-07-02",69.4,69.4,67.46,67.51,1760300,67.51
"2008-07-03",67.5,68.13,67.17,67.72,834000,67.72
"2008-07-07",67.66,68.4,67,67.72,980300,67.72
"2008-07-08",67.94,68.5,67.43,68.49,1162200,68.49
"2008-07-09",68.91,69.57,68.43,68.43,1618500,68.43
"2008-07-10",68.57,69.36,68.32,68.9,2718100,68.9
"2008-07-11",68.24,68.33,66.81,67.4,1756600,67.4
"2008-07-14",68.02,68.02,67.1,67.69,861300,67.69
"2008-07-15",67.52,68.11,66.79,67.76,1124800,67.76
"2008-07-16",67.97,68.36,67.46,67.8,1337900,67.8
"2008-07-17",67.85,69.08,67.53,68.92,2240500,68.92
"2008-07-18",68.84,70.12,68.69,70.03,2571000,70.03
"2008-07-21",69.95,71.15,69.33,70.32,1189500,70.32
"2008-07-22",70.62,72.03,70.62,71.93,2376500,71.93
"2008-07-23",72,72.11,71.17,71.65,1801100,71.65
"2008-07-24",65.34,67.82,65,66.87,9267900,66.87
"2008-07-25",66.71,68.83,66.71,67.92,3070900,67.92
"2008-07-28",68.08,69.71,66.6,66.71,1987700,66.71
"2008-07-29",66.98,67.61,66.5,67.25,1272000,67.25
"2008-07-30",67.39,68.09,66.78,67.44,1684900,67.44
"2008-07-31",67.21,68,66.9,67.58,1493800,67.58
"2008-08-01",67.59,67.96,66.64,67.83,1704900,67.83
"2008-08-04",67.65,69.52,67.65,68.84,1529900,68.84
"2008-08-05",69.1,70.46,68.92,70.46,1671500,70.46
"2008-08-06",72.41,72.41,69.97,70.24,930000,70.24
"2008-08-07",69.78,70.88,69.78,70.35,1174100,70.35
"2008-08-08",70.62,71.68,70.22,71.68,648800,71.68
"2008-08-11",71.43,72.53,71.3,72.4,1035100,72.4
"2008-08-12",72.35,72.75,72.1,72.4,834300,72.4
"2008-08-13",72.49,72.72,72,72.16,565500,72.16
"2008-08-14",72.42,72.53,71.73,72.21,761200,72.21
"2008-08-15",72.29,73.41,71.77,73.13,823500,73.13
"2008-08-18",73.12,73.53,72.69,73.24,1073300,73.24
"2008-08-19",73.1,73.5,72.85,73.27,748100,73.27
"2008-08-20",73.09,73.3,72.03,72.4,1089500,72.4
"2008-08-21",72.3,72.73,72.13,72.51,918800,72.51
"2008-08-22",73,73.73,72.25,72.4,947400,72.4
"2008-08-25",72.04,72.32,71.78,72,1025000,72
"2008-08-26",71.85,72.44,71.5,72.31,723500,72.31
"2008-08-27",72.25,73.19,70.51,73.07,964800,73.07
"2008-08-28",73.44,74.29,73.13,73.56,900300,73.56
"2008-08-29",73.34,73.97,73.09,73.15,568700,73.15
"2008-09-02",73.49,74.97,73.49,73.81,678100,73.81
"2008-09-03",73.84,74.69,73.41,74.33,704500,74.33
"2008-09-04",73.87,73.96,73.03,73.06,628800,73.06
"2008-09-05",72.95,73.28,72.45,72.99,920300,72.99
"2008-09-08",74.03,75.53,73.55,75.17,1132700,75.17
"2008-09-09",75.15,75.56,74.24,74.39,1017300,74.39
"2008-09-10",74.43,75.06,73.93,74,947600,74
"2008-09-11",73.18,74.41,73.18,74.38,1030800,74.38
"2008-09-12",73.97,74.36,73.52,74.08,744200,74.08
"2008-09-15",72.88,75,71.96,74.19,1225600,74.19
"2008-09-16",73.25,74.36,72.08,73,1506400,73
"2008-09-17",71.6,72.97,71.07,71.16,2164200,71.16
"2008-09-18",71.42,73.89,66.67,73.55,2067300,73.55
"2008-09-19",75.99,78.29,73.16,73.55,1658000,73.55
"2008-09-22",73.06,74.15,71.28,71.36,961300,71.36
"2008-09-23",71.33,71.7,69.47,69.99,1499500,69.99
"2008-09-24",69.97,70.99,69.66,70.52,1399500,70.52
"2008-09-25",71.18,71.25,70.06,70.58,1074500,70.58
"2008-09-26",69.89,70.58,69.41,69.53,1184000,69.53
"2008-09-29",69,69.56,66.71,68.21,1606700,68.21
"2008-09-30",69.01,69.57,65.93,69.5,1625400,69.5
"2008-10-01",68.73,71.27,68.46,69.21,1611300,69.21
"2008-10-02",69.01,69.41,66.85,67.54,1116700,67.54
"2008-10-03",68.06,68.06,66.2,66.33,1104100,66.33
"2008-10-06",65.6,65.89,61.32,62.98,1769600,62.98
"2008-10-07",63.36,65.24,61.73,61.73,1186800,61.73
"2008-10-08",60.96,63.08,59.9,60.63,2338000,60.63
