"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2007-03-26",112.5,112.63,109.31,110.43,5671000,47.84
"2007-03-27",110.4,110.4,107.57,108.63,5863000,47.06
"2007-03-28",108.01,108.83,105.48,105.5,8030000,45.89
"2007-03-29",107.18,109.08,106.55,108.47,8191000,47.18
"2007-03-30",107.79,111.9,107.65,108.64,7301600,47.26
"2007-04-02",108.25,108.25,103.17,104.48,12961600,45.45
"2007-04-03",105.33,107.21,104.34,106.74,6417400,46.43
"2007-04-04",106.74,107.21,105.65,107,3990200,46.54
"2007-04-05",106.9,108.26,106.32,107.57,3464000,46.79
"2007-04-09",108.49,109.7,108.13,108.62,3909400,47.25
"2007-04-10",108.62,109.31,108.23,108.9,3515200,47.37
"2007-04-11",109.01,109.63,107.47,108.43,4967800,47.16
"2007-04-12",108.44,108.44,106.77,107.84,3668600,46.91
"2007-04-13",107.86,108.99,106.88,108.8,3872800,47.33
"2007-04-16",109.05,109.68,108.55,109.64,2541600,47.69
"2007-04-17",110.29,111.13,109.51,111.1,3941200,48.33
"2007-04-18",111.1,112.46,110.5,111.57,4348600,48.53
"2007-04-19",111.57,112.22,110.25,110.7,3172400,48.15
"2007-04-20",113.01,113.56,111.42,111.56,4773200,48.53
"2007-04-23",111.86,115.8,111.86,112.71,6253600,49.03
"2007-04-24",113.2,114.37,112.1,112.92,3648400,49.12
"2007-04-25",113.82,113.92,111.35,113.66,4978000,49.44
"2007-04-26",114.25,115.09,112.88,113.61,3601000,49.42
"2007-04-27",112.73,112.99,111.08,112.23,4410000,48.82
"2007-04-30",111.98,112.1,109.4,109.4,3403600,47.59
"2007-05-01",109.74,110.18,107.51,108.7,4525000,47.28
"2007-05-02",110.1,113.45,110.05,112.75,6551400,49.04
"2007-05-03",113.6,114.7,112.9,113.69,4202600,49.45
"2007-05-04",114.56,115.44,113.3,113.84,3507800,49.52
"2007-05-07",113.87,115.9,113.87,115.22,3303200,50.12
"2007-05-08",115.22,116,113.46,115.64,3361200,50.3
"2007-05-09",115.64,119.37,115.29,118.94,8257800,51.74
"2007-05-10",118.94,119.98,116.68,117.69,6168400,51.19
"2007-05-11",118.31,120,118.05,120,4298800,52.2
"2007-05-14",120.4,120.8,118.75,119.63,6085000,52.04
"2007-05-15",120.2,121.76,119.31,120.66,7252800,52.48
"2007-05-16",123.2,123.4,117.82,118.4,20742400,51.5
"2007-05-17",118.75,118.83,116.7,117.55,7717000,51.13
"2007-05-18",117.56,118.27,115.55,116.51,6766800,50.68
"2007-05-21",116.5,120,116.5,118.81,6221600,51.68
"2007-05-22",119.3,119.59,117.09,117.8,4988800,51.24
"2007-05-23",118.23,118.23,115.38,115.64,5491600,50.3
"2007-05-24",116.72,116.99,113,113.04,8268200,49.17
"2007-05-25",113.06,114.95,113.06,114.44,4198800,49.78
"2007-05-29",114.8,116.15,113.96,115.35,6530000,50.17
"2007-05-30",114.75,119.45,114.64,119.44,7769800,51.95
"2007-05-31",119.75,121.48,119.46,120.47,7691800,52.4
"2007-06-01",120.62,121.38,119.13,119.76,4622400,52.09
"2007-06-04",118.9,120.37,118.42,120.21,2924000,52.29
"2007-06-05",119.27,121.61,119.27,120.9,5349400,52.59
"2007-06-06",119.61,120,117.04,117.57,5115800,51.14
"2007-06-07",116.14,118.59,114.19,114.19,6162200,49.67
"2007-06-08",114.39,116.17,113.6,116.03,4335600,50.47
"2007-06-11",116.03,117.95,115.18,116.55,4793400,50.7
"2007-06-12",114.25,117.82,114.25,116.65,5652600,50.74
"2007-06-13",117.94,120.32,117.69,120.32,7925400,52.34
"2007-06-14",120.5,121.94,120.1,120.72,6284200,52.51
"2007-06-15",121.99,123,121.38,121.75,6045800,52.96
"2007-06-18",122.59,123.02,121.93,122.02,3289600,53.08
"2007-06-19",122.01,122.22,119.8,121.63,4114200,52.91
"2007-06-20",121.64,125.21,121.37,121.5,6422600,52.85
"2007-06-21",121.5,124.3,121.32,124.3,4487200,54.07
"2007-06-22",123.3,125.64,123.02,123.35,6183200,53.65
"2007-06-25",123.46,125.17,122.41,122.79,4394000,53.41
"2007-06-26",123.75,124,120.19,120.57,4483400,52.45
"2007-06-27",119.56,121.83,118.57,121.57,3939600,53.07
"2007-06-28",121.25,121.25,119.38,119.38,4126000,52.12
"2007-06-29",120,121.59,119.62,120.74,3688200,52.71
"2007-07-02",121.65,123.85,121.12,123.5,3590600,53.92
"2007-07-03",122.99,122.99,121.44,122.23,2714200,53.36
"2007-07-05",122.48,123.75,121.94,123.06,2896800,53.72
"2007-07-06",123.38,124.54,123.15,123.71,1959400,54.01
"2007-07-09",124.04,126.98,123.95,125.82,5026400,54.93
"2007-07-10",124.92,125.22,123.69,123.88,3718600,54.08
"2007-07-11",124.26,126,124.05,125.21,3159400,54.66
"2007-07-12",125.84,128.5,125.21,128.33,4730800,56.03
"2007-07-13",128.76,131.5,128,131.08,5339400,57.23
"2007-07-16",131.92,132.5,130.53,131.6,5006400,57.45
"2007-07-17",132.03,132.8,130.56,130.9,4258600,57.15
"2007-07-18",130.5,132,129.19,130.7,4798000,57.06
"2007-07-19",132.06,133.96,131.25,133.68,3997400,58.36
"2007-07-20",130.48,131.97,128.69,129.07,7734200,56.35
"2007-07-23",131,131,127.3,127.96,4809000,55.86
"2007-07-24",127.4,128.72,125.68,125.99,3469200,55
"2007-07-25",127.39,127.8,122.33,124.32,5870600,54.27
"2007-07-26",122.27,125.07,118.67,121.02,8514600,52.83
"2007-07-27",120.21,122.51,118.71,118.94,5023200,51.93
"2007-07-30",122.05,123.15,119,122.31,4385400,53.4
"2007-07-31",125.09,126,120.22,120.42,6789000,52.57
"2007-08-01",120.02,121.36,116.86,119.87,7983600,52.33
"2007-08-02",121.49,121.49,117.79,120.18,5708800,52.47
"2007-08-03",120.04,121.85,117.35,117.46,5790000,51.28
"2007-08-06",118.98,120.12,115.73,119.9,5492600,52.34
"2007-08-07",120.1,125.5,119.03,123.79,7045200,54.04
"2007-08-08",122.7,126.74,122.7,124.84,5325600,54.5
"2007-08-09",123.9,126.44,119.99,120.1,6293400,52.43
"2007-08-10",118.53,120.85,114.52,117.3,7558200,51.21
"2007-08-13",118.77,122.06,118.3,118.65,4065800,51.8
"2007-08-14",119.5,120.19,117.09,117.09,4610000,51.12
"2007-08-15",120.76,126.92,119.34,120.6,13900400,52.65
"2007-08-16",119.31,122.99,113.91,120.53,11130600,52.62
"2007-08-17",123.06,126.01,121.29,124.61,7190400,54.4
