"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2011-10-12",74.29,75,73.83,74.24,5096200,69.97
"2011-10-13",74.83,74.92,72.39,73.54,4754600,69.31
"2011-10-14",74.45,74.85,73.99,74.64,3160800,70.34
"2011-10-17",74.48,74.57,71.95,72.12,4009900,67.97
"2011-10-18",72.46,74.92,71.7,74.12,5005100,69.85
"2011-10-19",73.5,74.78,72.5,73.26,6425700,69.04
"2011-10-20",73.58,74.65,72.57,74.25,5022400,69.98
"2011-10-21",75,75.84,74.53,75.56,6050900,71.21
"2011-10-24",76.05,76.91,75.79,76.65,4199000,72.24
"2011-10-25",75.16,76.35,74.96,75.28,4191900,70.95
"2011-10-26",76.39,76.85,75.03,76.06,4966900,71.68
"2011-10-27",77.87,79.97,77.81,79.3,6134200,74.74
"2011-10-28",79.01,79.92,78.96,79.51,4123500,74.93
"2011-10-31",79.16,79.17,77.94,77.98,3710800,73.49
"2011-11-01",76.13,76.26,74.36,75.19,5858300,70.86
"2011-11-02",76.54,77.39,76.17,76.91,4736700,72.48
"2011-11-03",77.81,78.65,77.15,78.44,4407600,73.93
"2011-11-04",78.16,78.16,76.52,77.8,4131800,73.32
"2011-11-07",78.08,78.35,76.87,78.34,3446300,73.83
"2011-11-08",78.63,79,77.91,78.87,3757000,74.33
"2011-11-09",77.43,77.65,75.96,76.44,4682600,72.04
"2011-11-10",77.29,78.12,76.86,77.47,3664300,73.01
"2011-11-11",78.66,80.36,78.66,79.83,4573700,75.24
"2011-11-14",79.18,79.73,78.68,79.05,3149500,74.5
"2011-11-15",78.81,79.8,78.14,79.33,3775500,74.76
"2011-11-16",77.91,78.9,77.34,77.45,5749500,73.44
"2011-11-17",77.26,77.42,74.93,75.69,4923200,71.77
"2011-11-18",76.25,76.42,75.27,76.11,3442300,72.17
"2011-11-21",74.64,74.84,72.84,74.07,4692300,70.23
"2011-11-22",73.84,73.95,72.53,73.05,3818100,69.27
"2011-11-23",71.77,72.43,70.97,70.97,4713600,67.29
"2011-11-25",70.41,72.01,70.41,71.04,1892600,67.36
"2011-11-28",72.61,73.58,72.49,73.14,4026100,69.35
"2011-11-29",73.72,73.89,72.95,72.98,3739900,69.2
"2011-11-30",75.35,76.93,75.34,76.6,5320300,72.63
"2011-12-01",76.2,77.15,76.2,76.58,2736300,72.61
"2011-12-02",77.61,78.32,76.45,76.54,4727700,72.57
"2011-12-05",77.84,78.11,76.04,76.64,4516800,72.67
"2011-12-06",76.97,77,76.13,76.31,3550100,72.36
"2011-12-07",75.9,76.63,74.69,76.25,5181800,72.3
"2011-12-08",75.67,76.13,74.09,74.37,4294100,70.52
"2011-12-09",74.69,76.58,74.59,76.31,3949300,72.36
"2011-12-12",75.63,75.76,74.15,74.48,4844700,70.62
"2011-12-13",75.01,75.96,73.75,74.2,5396200,70.36
"2011-12-14",73.76,74.2,72.75,73.17,5176000,69.38
"2011-12-15",73.6,74.03,72.92,73.53,3805100,69.72
"2011-12-16",73.67,74.31,71.86,72.39,11672900,68.64
"2011-12-19",72.61,73.28,71.6,71.75,4295900,68.03
"2011-12-20",73.22,74.66,72.88,74.4,4778000,70.55
"2011-12-21",74.67,74.91,72.86,73.62,6170800,69.81
"2011-12-22",73.72,73.84,72.94,73.51,5789200,69.7
"2011-12-23",73.74,74.24,73.25,74.18,2275200,70.34
"2011-12-27",73.97,74.59,73.78,74.03,2536500,70.19
"2011-12-28",73.98,74.07,72.95,73.13,2546900,69.34
"2011-12-29",72.37,73.87,72.28,73.82,2500100,70
"2011-12-30",73.86,73.97,73.08,73.09,2427800,69.3
"2012-01-03",74.91,75.64,74.43,74.66,4875200,70.79
"2012-01-04",74.28,75.25,74.09,75.05,6170700,71.16
"2012-01-05",74.46,74.72,73.67,74.33,4607100,70.48
"2012-01-06",74.22,74.52,73.62,73.9,3489100,70.07
"2012-01-09",74.5,74.5,73.76,74.1,4325600,70.26
