"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2007-05-09",75.39,75.5,73.86,74.66,3537600,69.24
"2007-05-10",74.45,74.95,72.98,73.37,3290000,68.04
"2007-05-11",73.63,75.22,73.5,75.01,2870900,69.56
"2007-05-14",74.76,76.24,74.68,76,3596300,70.48
"2007-05-15",76.26,76.28,74.8,75.03,3394400,69.58
"2007-05-16",75.04,76.47,73.75,75.09,3493500,69.64
"2007-05-17",75.05,77.1,74.64,76.57,3573100,71.01
"2007-05-18",74.87,77.98,74.86,77.95,3486400,72.29
"2007-05-21",78.34,79.77,78.15,79.04,4616300,73.3
"2007-05-22",78.79,79.43,78.25,78.32,2701400,72.63
"2007-05-23",78.57,78.99,77.62,77.83,3025700,72.18
"2007-05-24",77.86,78.5,75.73,76.27,2933600,70.73
"2007-05-25",76.89,77.35,76.03,76.6,2191800,71.04
"2007-05-29",76.54,76.65,75.3,76.08,2578500,70.56
"2007-05-30",76.11,77.25,75.57,76.99,3248200,71.4
"2007-05-31",77.2,77.66,76.33,76.78,3177600,71.21
"2007-06-01",77.71,78.32,76.81,77.67,3895000,72.03
"2007-06-04",77.6,80,77.38,79.79,3726800,74
"2007-06-05",79.99,80.28,78.86,80.13,3488300,74.31
"2007-06-06",79.89,79.9,78.25,79.57,4128600,73.79
"2007-06-07",79.6,80.26,78.31,78.31,5148100,72.63
"2007-06-08",78.28,78.34,77.1,78.31,3162100,72.63
"2007-06-11",78.5,79.7,78.08,78.72,2122900,73.01
"2007-06-12",78.73,79.64,78,78.2,2806400,72.52
"2007-06-13",78.31,79.75,78.31,79.34,3341400,73.71
"2007-06-14",79.95,80.93,79.71,80.72,3255500,74.99
"2007-06-15",81.55,82.49,81.47,82.36,3675800,76.52
"2007-06-18",82.5,83.91,82.33,83.53,3057000,77.61
"2007-06-19",82.5,83.5,81.95,83.35,3932200,77.44
"2007-06-20",83.45,83.92,80.62,80.77,3417300,75.04
"2007-06-21",81.37,81.89,80.11,81.07,4327800,75.32
"2007-06-22",80.55,80.95,79.32,80.04,3480600,74.36
"2007-06-25",79.15,79.39,77.86,78.34,4660400,72.78
"2007-06-26",79.9,79.9,76.05,76.49,4703000,71.06
"2007-06-27",75.9,77.77,75.34,77.56,3817500,72.06
"2007-06-28",78.08,78.35,76.82,77.34,3866900,71.85
"2007-06-29",78.17,79.23,77.75,78.29,3349900,72.74
"2007-07-02",78.29,79.63,78.29,79.63,2734500,73.98
"2007-07-03",79.63,80.23,79.45,79.93,1140300,74.26
"2007-07-05",80.45,80.73,78.49,79.45,3078100,73.81
"2007-07-06",79.76,80.1,78.99,79.39,2117500,73.76
"2007-07-09",79.38,80.74,79.38,79.69,2976500,74.04
"2007-07-10",79.01,79.27,78.2,78.2,3568300,72.65
"2007-07-11",78.2,78.49,77.51,78.49,2927000,72.92
"2007-07-12",78.96,79.89,78.49,79.89,3231500,74.22
"2007-07-13",79.6,80.72,79.56,80.02,2182700,74.34
"2007-07-16",79.57,79.97,78.5,79.15,2418400,73.54
"2007-07-17",79.71,80.56,78.72,79.41,3235000,73.78
"2007-07-18",79.43,83.36,79.43,83.04,8100900,77.15
"2007-07-19",83.39,83.97,82.2,82.79,3277100,76.92
"2007-07-20",83.19,83.47,81.27,81.8,3172800,76
"2007-07-23",82.2,82.35,80,80.31,2776600,74.61
"2007-07-24",79.39,79.54,77.27,77.56,4263500,72.06
"2007-07-25",77.9,79.2,76.52,78.74,3901600,73.15
"2007-07-26",78.54,78.54,74.58,76.44,5236300,71.02
"2007-07-27",76.45,76.92,73.8,74.59,4348800,69.3
"2007-07-30",74.84,75.92,74.01,75.38,3113900,70.03
"2007-07-31",76.2,76.94,74.43,74.61,2995400,69.32
"2007-08-01",75.8,79.17,75.8,78.42,6534000,72.86
"2007-08-02",78.98,80.5,77,79.31,5433600,73.68
"2007-08-03",79.7,80.46,77.1,77.12,4679000,71.65
"2007-08-06",76.55,77.84,75,77.18,5483600,71.71
"2007-08-07",76.1,79.38,75.64,78.46,4256900,72.89
"2007-08-08",78.32,80.23,77.83,78.9,3766700,73.3
"2007-08-09",75.9,77.75,75.64,76.54,6210000,71.11
"2007-08-10",76.08,76.74,74.26,75.96,5371800,70.57
"2007-08-13",77.09,78.21,76.21,76.38,3636300,70.96
"2007-08-14",76.51,77.38,75.2,75.25,2511500,69.91
"2007-08-15",75.72,77.01,73.46,73.75,3488500,68.52
"2007-08-16",72.22,73.67,69.01,72.81,6261100,67.65
"2007-08-17",74.75,75.66,72.41,75.29,4395200,69.95
"2007-08-20",74.85,75.09,73.15,74.67,3128900,69.37
"2007-08-21",74.2,74.32,72.55,73.27,2525300,68.07
"2007-08-22",73.74,74.39,72.51,73.05,3186900,67.87
"2007-08-23",73.3,74.38,72.82,74.07,3100000,68.82
"2007-08-24",74,75.5,73.95,75.3,2060600,69.96
"2007-08-27",74.72,75.35,74.08,74.63,1758600,69.34
"2007-08-28",74,74.63,73.2,73.25,2796500,68.05
"2007-08-29",73.66,75.22,73.14,74.78,2407400,69.48
"2007-08-30",74.48,75.48,74,74.46,2534200,69.18
"2007-08-31",75.32,75.94,74.95,75.31,2190600,69.97
"2007-09-04",75.31,78,74.69,77.25,2793000,71.77
"2007-09-05",77.19,78.63,77.19,78.34,2948000,72.78
"2007-09-06",78.46,80.06,78.13,78.91,3883600,73.31
"2007-09-07",77.56,78.28,76.84,77.6,2485300,72.1
"2007-09-10",77.42,78.18,75.77,77.38,2732000,71.89
"2007-09-11",77.85,78.68,76.41,78.55,3148800,72.98
"2007-09-12",78.64,80.91,78.56,80.29,3651700,74.73
"2007-09-13",80.34,80.75,79.25,79.45,3274000,73.95
"2007-09-14",78.98,80.37,78.66,79.58,2361800,74.07
"2007-09-17",79.73,80.95,79.54,79.94,2394600,74.4
"2007-09-18",79.55,82.71,79.2,82.03,3216900,76.35
"2007-09-19",82.75,84.19,82.54,83.43,3438200,77.65
"2007-09-20",83.2,84.23,82.96,83.81,2140600,78
"2007-09-21",84.67,85.2,83.81,84.83,3475400,78.95
"2007-09-24",84.86,84.86,82.02,83.2,3391800,77.44
"2007-09-25",81.61,82.25,81.3,81.88,3027300,76.21
"2007-09-26",82.35,82.59,80.4,81.78,3626700,76.11
"2007-09-27",82.41,84,81.55,83.62,3897000,77.83
"2007-09-28",84.18,84.56,82.86,83.2,2950100,77.44
"2007-10-01",82.94,84.75,82.8,84.5,2207900,78.65
"2007-10-02",84.1,84.27,82.75,84.14,2603700,78.31
"2007-10-03",83.6,84.16,82.8,83.63,1975800,77.84
"2007-10-04",83.54,86.67,82.69,85.82,3290100,79.87
"2007-10-05",86,86.5,85,86.26,2590700,80.28
"2007-10-08",85.53,85.83,84.12,84.61,2159700,78.75
"2007-10-09",85.21,86.12,85,86.07,2329900,80.11
"2007-10-10",85.55,87.66,85.11,87.05,2240000,81.02
"2007-10-11",87.97,89.55,87.14,87.9,4046400,81.81
"2007-10-12",88.09,89.26,87.85,88.09,2647400,81.99
"2007-10-15",89.79,89.85,88.41,89.11,2595000,82.94
"2007-10-16",89.2,90.87,88.84,89.97,3816700,83.74
"2007-10-17",90.1,90.49,88.81,89.76,2876300,83.54
"2007-10-18",89.93,90.85,89.25,90.52,2003300,84.25
"2007-10-19",90.01,90.26,86.39,86.63,4222500,80.63
"2007-10-22",85.5,85.63,83.86,85.52,4022400,79.6
"2007-10-23",86,86.68,84.09,85.56,4684800,79.63
"2007-10-24",85.22,86.9,84.94,86.63,3589500,80.63
"2007-10-25",87.15,89.78,86.75,89.27,3925600,83.09
"2007-10-26",90.1,93.56,89.78,93.21,5540400,86.75
"2007-10-29",93.45,94.75,92.91,93.5,2347600,87.02
"2007-10-30",92.74,92.91,89.77,90.06,4283400,83.82
"2007-10-31",91.19,93.5,90.71,93.4,4401300,86.93
"2007-11-01",93,93.56,91.07,91.31,3632500,84.98
"2007-11-02",92,93,91.25,92.56,3086700,86.15
"2007-11-05",91.35,92.93,90.54,92.41,2797600,86.01
"2007-11-06",92.49,93.7,92.34,92.72,4543900,86.3
"2007-11-07",93.44,94.65,90.24,90.5,4575600,84.23
"2007-11-08",90.66,92.53,88.46,90.5,4944000,84.23
"2007-11-09",90.02,90.02,88.46,88.63,4032800,82.49
"2007-11-12",87.68,87.68,84.45,84.62,4244300,78.76
"2007-11-13",85.16,85.74,82.39,85.66,6282900,79.73
"2007-11-14",86.35,87.99,85.98,86.01,3573900,80.05
"2007-11-15",85.84,86.89,84.1,85,3580100,79.11
"2007-11-16",85.74,86.61,84.52,86.21,4034000,80.24
"2007-11-19",86.59,87.75,85.52,85.64,4468900,79.71
"2007-11-20",85.95,87.3,85.5,86.51,3106400,80.52
"2007-11-21",86,86.77,83.77,84.03,4204900,78.21
"2007-11-23",84.74,85.84,84.04,85.34,1100400,79.43
"2007-11-26",86.44,86.75,83.8,84,2787300,78.18
"2007-11-27",82.33,83.44,81.27,83,3852900,77.25
"2007-11-28",83.33,83.37,80.05,81.58,7567700,75.93
"2007-11-29",82,83.18,80.9,81.99,8902700,76.31
"2007-11-30",82.02,83.12,81.19,82.81,3542900,77.07
"2007-12-03",82.29,83.82,82.04,83.33,3028900,77.56
"2007-12-04",83,84.25,81.87,83.11,3619700,77.35
"2007-12-05",84.05,85.88,83.85,85.22,4021400,79.32
"2007-12-06",85.19,89,84.51,88.51,4402000,82.38
"2007-12-07",88.5,88.8,87.23,87.97,2388200,81.88
"2007-12-10",87.97,89.15,87.88,89.15,2882800,82.97
"2007-12-11",89.47,90.15,86.61,86.97,3700300,80.95
"2007-12-12",88.64,90.75,88.3,89.59,4151300,83.52
"2007-12-13",89.04,90.07,88.26,89.85,2584200,83.76
"2007-12-14",88.67,89.38,88.11,88.73,3203100,82.72
"2007-12-17",88.17,89.19,86.3,86.9,3314200,81.01
"2007-12-18",87.7,88.29,85.77,86.77,3331200,80.89
"2007-12-19",86.97,87.73,86.37,87.02,2546000,81.12
"2007-12-20",87.83,88.97,87.53,88.79,2518800,82.77
"2007-12-21",89.25,91.65,89.23,91.21,4362000,85.03
"2007-12-24",90.58,92.1,90.58,91.78,901200,85.56
"2007-12-26",92.12,92.12,90.3,90.82,2210000,84.66
"2007-12-27",90.71,91.74,90.08,90.12,1843300,84.01
"2007-12-28",91.17,91.47,90.11,90.41,1930800,84.28
"2007-12-31",90.29,90.85,88.79,88.91,1685700,82.88
"2008-01-02",89.99,92.13,89.46,91.68,4014400,85.47
"2008-01-03",91.25,94,91.25,92.94,3339200,86.64
"2008-01-04",91.97,92.94,90.05,90.3,3063000,84.18
"2008-01-07",90.98,91.12,88.72,89.8,3399700,83.71
"2008-01-08",90.85,91.19,87,87.25,4146200,81.34
"2008-01-09",87.22,89.48,87.22,89.29,3460000,83.24
"2008-01-10",88.45,89.13,87.14,88.65,3232200,82.64
"2008-01-11",88.21,88.72,86.72,87.17,2853100,81.26
"2008-01-14",87.7,90.76,87.7,90.2,3286900,84.09
"2008-01-15",88.52,89.24,86.93,87.3,3490400,81.38
"2008-01-16",86.73,87.19,82.75,84.08,4823400,78.38
"2008-01-17",84.39,85.86,80.37,80.7,4806200,75.23
"2008-01-18",81.1,82.78,80.26,81.84,5203400,76.29
"2008-01-22",76.89,80.57,76.18,79.29,5088900,73.92
"2008-01-23",77.99,79.84,74.56,79.75,6516500,74.35
"2008-01-24",80,81.73,79.05,81.31,5162900,75.8
"2008-01-25",82.25,83.97,80.38,81.07,4280700,75.58
"2008-01-28",80.66,83.7,80.41,83.45,3548700,77.79
"2008-01-29",83.84,84.34,82.8,83.11,2890500,77.48
"2008-01-30",82.92,86.34,82.92,84.2,3779400,78.49
"2008-01-31",83.04,85.72,81.65,85.05,3357600,79.29
"2008-02-01",85.05,87.1,84.77,86.77,3842400,80.89
"2008-02-04",86.77,88.15,86,87.32,2037800,81.4
"2008-02-05",85.01,87,84.57,84.57,3396700,78.84
"2008-02-06",86.96,88.34,84.27,86.21,5464100,80.37
"2008-02-07",85.57,88.57,85.01,87.91,3975400,81.95
"2008-02-08",87.63,90,87.63,89.56,4418500,83.49
"2008-02-11",89.71,93.89,89.56,93.69,5988100,87.34
"2008-02-12",93.56,94.71,90.96,91.99,4618600,85.76
"2008-02-13",91.79,93.5,91.79,93.1,3564800,86.79
"2008-02-14",93.31,95,93.31,93.67,4197100,87.32
"2008-02-15",94.07,94.07,92.12,93.2,3977500,86.88
"2008-02-19",95,97.1,94.14,96.2,5473300,89.68
"2008-02-20",96,99.87,95.24,99.58,5856100,92.83
"2008-02-21",99.07,99.41,95.6,95.89,5988000,89.39
"2008-02-22",96.47,97.78,94.56,97.61,4242800,90.99
"2008-02-25",97.87,101.28,97.65,101.08,7033800,94.23
"2008-02-26",100.4,102.83,99.86,102.66,5425000,95.7
"2008-02-27",101.97,103.5,100.32,100.66,5258900,93.84
"2008-02-28",100.8,107.15,100.8,106.04,7529300,98.85
"2008-02-29",104.46,105.57,101.64,102.72,4537000,95.76
"2008-03-03",102.8,105.07,102.11,103.97,3814300,96.92
"2008-03-04",103.21,104.9,99.43,102.03,5951100,95.12
"2008-03-05",102.21,103.84,101.75,103.7,4427100,96.67
"2008-03-06",103.41,104.45,101.06,101.83,5197500,94.93
"2008-03-07",100.82,101.69,98.4,100.56,5181300,93.74
"2008-03-10",100.19,101.62,98.41,100.07,4739800,93.29
"2008-03-11",102.12,103.92,100.77,103.86,4189700,96.82
"2008-03-12",103.02,104.75,101.25,102.1,4057400,95.33
"2008-03-13",100.85,105.97,100.25,104.47,6126000,97.69
"2008-03-14",104.48,105,101.03,103.01,5314000,96.33
"2008-03-17",100.84,101.86,96.91,99.31,5572500,92.87
"2008-03-18",101.34,103.72,100.71,103.47,3880800,96.76
"2008-03-19",102.95,103.45,96.43,96.75,5417900,90.47
"2008-03-20",95,96.75,91.93,96.29,6520400,90.04
"2008-03-24",95.57,100.26,95.57,99.16,3868700,92.73
"2008-03-25",99.26,103.31,99.25,102.93,4941500,96.25
"2008-03-26",103.1,108.13,103.1,107.59,6003900,100.61
"2008-03-27",107.39,108.1,105.1,105.23,4610600,98.4
"2008-03-28",105.94,107.33,103.74,104.32,5489800,97.55
"2008-03-31",104.32,105.62,102.82,104.33,4823000,97.56
"2008-04-01",104.17,104.48,101.31,104.01,3818600,97.26
"2008-04-02",103.99,106.41,101.57,104.65,4449700,97.86
"2008-04-03",106.73,107.45,104.31,105.56,4204400,98.71
"2008-04-04",105.85,109.8,105.85,107.34,4356500,100.38
"2008-04-07",108.34,110.37,107.65,108.44,3782600,101.41
"2008-04-08",107.89,111.44,107.44,110.84,4011900,103.65
"2008-04-09",111.6,114,111.6,112.05,4238600,104.78
"2008-04-10",111.32,112.93,110.3,111.69,3183900,104.44
"2008-04-11",110.85,112.09,108.92,109.26,2588200,102.17
"2008-04-14",110.64,112.95,110.01,112.06,2782700,104.79
"2008-04-15",113.01,115.49,111.88,113.47,3041900,106.11
"2008-04-16",114.66,116.81,113.28,116.63,3490300,109.06
"2008-04-17",116.06,117.8,115.05,116.14,3759300,108.61
"2008-04-18",115.01,118.55,115.01,118.4,3456500,110.72
"2008-04-21",118.76,119.75,117.01,118.9,2701300,111.19
"2008-04-22",119.15,122.66,118.93,120.87,5015400,113.03
"2008-04-23",121.01,121.01,118.01,119.55,3543400,111.79
"2008-04-24",119.2,119.2,114.83,115.21,3678400,107.74
"2008-04-25",117.89,118.67,115.21,118.6,3702200,110.91
"2008-04-28",119.21,119.9,117.39,118.02,2901400,110.36
"2008-04-29",116.84,117,112.75,113.06,3049600,105.73
"2008-04-30",113.52,114.94,111,113.4,4267100,106.04
"2008-05-01",111.85,112.59,106.45,109.96,5038600,102.83
"2008-05-02",110.17,113.91,110.17,112.09,4026300,104.82
"2008-05-05",113.03,115.44,112.72,114.52,2802400,107.09
"2008-05-06",116.64,120.74,114.99,120.33,4778800,112.52
"2008-05-07",123,123,116.25,116.5,6609900,108.94
"2008-05-08",117.01,117.6,114.43,117.33,4668900,109.72
"2008-05-09",118.3,118.3,113.93,115.72,4121200,108.21
"2008-05-12",114.6,116.56,113.81,116.28,3298100,108.74
"2008-05-13",116.8,118.83,115.45,117.95,3360800,110.3
"2008-05-14",118.71,118.93,115.79,116.01,3626900,108.48
"2008-05-15",116.9,119.15,115.52,118.34,4455900,110.66
"2008-05-16",119.27,121.83,119.27,121.38,4605300,113.51
"2008-05-19",122.33,124.48,121.06,122.23,4700200,114.3
"2008-05-20",123.36,125.41,121.89,124.36,4229700,116.29
"2008-05-21",124.77,127.16,122.72,123.05,5510200,115.07
"2008-05-22",122.98,125.33,121.48,123.06,4515100,115.08
"2008-05-23",124.07,124.07,117.3,118.65,4758300,110.95
"2008-05-27",118.72,119.54,116.92,118.08,3854200,110.42
"2008-05-28",117.01,120.16,115.16,119.21,4065700,111.48
"2008-05-29",117.72,118.51,115.35,115.61,3895700,108.11
"2008-05-30",117.25,117.84,115.32,115.94,4044400,108.42
"2008-06-02",115.26,119.89,115.24,118.35,3475600,110.67
"2008-06-03",118.53,120.38,116.73,117.09,3739600,109.49
"2008-06-04",116.52,116.85,112.45,112.59,5124900,105.29
"2008-06-05",113.05,117.23,112,117.23,4755300,109.63
"2008-06-06",119.04,120,115.96,115.97,6047600,108.45
"2008-06-09",117.17,120.38,116.24,119.25,3807800,111.51
"2008-06-10",118.01,119.07,114.21,115.9,5289300,108.38
"2008-06-11",117.24,118.08,114.92,116.61,4169600,109.05
"2008-06-12",115,117.02,114,115.96,4472800,108.59
"2008-06-13",115.34,116.57,114.84,116.23,3787100,108.84
"2008-06-16",117.7,118.55,115.85,116.46,3870600,109.06
"2008-06-17",116.31,120.85,116.2,120.77,4400200,113.09
"2008-06-18",120.93,123.16,118.4,122.32,5734700,114.54
"2008-06-19",123.25,124.84,118.69,118.89,5976100,111.33
"2008-06-20",120.56,121.98,117.95,118.77,4439100,111.22
"2008-06-23",117.77,122.82,117.77,122.51,4549100,114.72
"2008-06-24",121.82,121.82,117.27,117.43,4132600,109.96
"2008-06-25",118.1,118.1,112.34,115.1,5816900,107.78
"2008-06-26",115.2,116.71,112.84,114.65,5589100,107.36
"2008-06-27",115,115.93,113.83,114.88,5432500,107.58
"2008-06-30",117.79,120.37,117.41,120.16,6780600,112.52
"2008-07-01",120.96,123.22,119.26,123,6189000,115.18
"2008-07-02",124.84,127.43,118.2,118.89,7334000,111.33
"2008-07-03",119.01,121.33,115.5,117.85,3525900,110.36
"2008-07-07",117.33,117.33,109.22,111,8483300,103.94
"2008-07-08",109.7,109.7,103.94,108.25,10512700,101.37
"2008-07-09",108.85,110.52,104.4,104.59,6477600,97.94
"2008-07-10",104.59,109.85,104.59,109.51,7443400,102.55
"2008-07-11",111.1,113.18,108.43,110.34,6074500,103.32
"2008-07-14",111.74,112.28,108.41,111.11,4024000,104.05
"2008-07-15",111.82,113.11,106,106.19,6919700,99.44
"2008-07-16",106.55,106.94,99.96,101.38,9474300,94.93
"2008-07-17",102,102.83,94.91,97.51,9386500,91.31
"2008-07-18",96.76,101.82,96.06,98.57,7902900,92.3
"2008-07-21",100.3,103.34,98.53,103.06,5721700,96.51
"2008-07-22",102.32,102.4,96.81,98.6,8207100,92.33
"2008-07-23",98.53,99.16,92.81,93.31,9509000,87.38
"2008-07-24",94.29,96.21,90.28,93.18,9972100,87.26
"2008-07-25",93.1,96.69,92.23,94.39,5845600,88.39
"2008-07-28",95.57,97.15,93.78,94.44,4816500,88.44
"2008-07-29",94.92,95.41,90.39,92.57,6882700,86.68
"2008-07-30",92.36,97.5,91.42,97,9503400,90.83
"2008-07-31",96.7,97.34,94.25,94.89,6473100,88.86
"2008-08-01",94.35,97.46,94.22,95.11,5269900,89.06
"2008-08-04",94.51,94.65,87.36,88.04,8277300,82.44
"2008-08-05",88.02,89.13,85.87,88.9,10710800,83.25
"2008-08-06",89.18,93.38,89,92.5,8137900,86.62
"2008-08-07",93.99,96.24,92.76,93.53,8723500,87.58
"2008-08-08",92.25,92.4,89.09,89.6,7934500,83.9
"2008-08-11",90.74,92.04,88.01,90.8,10015200,85.03
"2008-08-12",91.67,93.98,91.27,92.88,6333800,86.97
"2008-08-13",92.84,98.57,92.12,98.12,8340500,91.88
"2008-08-14",97.78,99.04,95,96.65,6663600,90.5
"2008-08-15",96.34,96.34,92.7,93.95,5965600,87.98
"2008-08-18",93.98,96.83,92.87,93.22,4908100,87.29
"2008-08-19",93.07,97.61,93.01,97.49,5386000,91.29
"2008-08-20",98.96,104.15,98.74,103.8,9207000,97.2
"2008-08-21",105.74,106.75,103.62,105.2,7402500,98.51
"2008-08-22",103.59,104.74,101.03,102.28,4303100,95.78
"2008-08-25",102.1,103.66,100.39,101.81,4024100,95.34
"2008-08-26",103.53,106.74,103.27,105.25,4771800,98.56
"2008-08-27",108.33,109.6,105.89,106.78,6668800,99.99
"2008-08-28",107.85,108.15,101.39,103.16,7112500,96.6
"2008-08-29",104.41,104.9,101.68,102.05,4576800,95.56
"2008-09-02",98.88,98.88,95.02,96.01,7875300,89.91
"2008-09-03",95.56,97.99,93.39,95.42,6848300,89.35
"2008-09-04",95.39,96.59,90.69,93.7,9073100,87.74
"2008-09-05",94.3,96.39,91.4,95.69,6984000,89.61
"2008-09-08",97.69,98,93.6,95.04,6906500,89
"2008-09-09",93.73,93.9,87.21,87.33,8513100,81.78
"2008-09-10",87.77,92.88,87.77,91.67,7499900,85.84
"2008-09-11",90.16,93.35,87.77,92.44,6965400,86.56
"2008-09-12",93.01,96.64,93,95.87,6049300,89.93
"2008-09-15",91.01,92.62,89.11,89.54,7443600,83.99
"2008-09-16",85.78,94.79,82.1,94.34,10819000,88.49
"2008-09-17",94.24,98.64,90.77,93.85,10375200,88.04
"2008-09-18",96.49,100.53,94.19,97.98,10778800,91.91
"2008-09-19",101.5,110.81,99.82,105.5,9235700,98.96
"2008-09-22",105.63,106.98,101.6,102.25,6892700,95.91
"2008-09-23",102.43,105.3,100.6,101.36,6813500,95.08
"2008-09-24",102.23,104.31,100.8,101.59,4535300,95.3
"2008-09-25",102.09,103.45,101,102.64,5813100,96.28
"2008-09-26",98.01,100.69,94.52,98.76,5477500,92.64
