"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2012-06-11",59.72,60.09,58.12,58.17,2852600,55.68
"2012-06-12",55.94,57.5,55.6,57.5,7561400,55.04
"2012-06-13",57.36,58.75,57.25,57.81,5162300,55.34
"2012-06-14",57.98,58.22,57.39,57.9,3392000,55.42
"2012-06-15",58.45,59.01,57.99,59.01,3665700,56.49
"2012-06-18",58.71,58.97,57.97,58.06,3758500,55.58
"2012-06-19",58.45,59.72,58.22,59.54,3189800,56.99
"2012-06-20",59.57,60.2,58.92,59.86,3380500,57.3
"2012-06-21",60.05,60.6,58.56,58.64,2378300,56.13
"2012-06-22",59.02,59.36,58.42,59.15,2293200,56.62
"2012-06-25",58.4,58.62,57.69,58.56,2824300,56.06
"2012-06-26",58.7,59.19,58.04,58.86,2763800,56.34
"2012-06-27",59.04,59.78,58.56,59.6,1824700,57.05
"2012-06-28",59.2,59.59,58.51,59.51,2195500,56.97
"2012-06-29",60.95,61.11,60.31,61.11,2905300,58.5
"2012-07-02",61.66,62.14,60.85,61.49,2251100,58.86
"2012-07-03",61.47,62.31,61.47,62.14,1365300,59.48
"2012-07-05",61.76,62.13,60.99,61.09,1906700,58.48
"2012-07-06",60.4,61.1,60.4,60.7,1581500,58.1
"2012-07-09",60.45,60.81,59.8,60.24,1785100,57.66
"2012-07-10",60.56,61.12,59.55,59.66,3121200,57.11
"2012-07-11",59.8,61.57,59.79,61.41,3360600,58.78
"2012-07-12",60.36,60.68,60.14,60.35,2535100,57.77
"2012-07-13",60.28,61.51,59.95,61.42,2511700,59.19
"2012-07-16",61.49,61.49,60.91,61.11,1409200,58.89
"2012-07-17",61.48,61.71,60.78,61.59,2957200,59.35
"2012-07-18",61.21,61.42,60.37,61.01,4575100,58.79
"2012-07-19",60.86,62.14,60.77,61.31,3730700,59.08
"2012-07-20",60.76,60.79,59.11,59.14,5441200,56.99
"2012-07-23",58.48,58.5,56.76,57.61,6388700,55.51
"2012-07-24",57.77,57.97,56.84,57.37,4764800,55.28
"2012-07-25",57.5,58.06,57.33,57.67,4165300,55.57
"2012-07-26",58.64,58.84,57.97,58.44,4988200,56.31
"2012-07-27",58.77,59.9,58.43,59.56,5950200,57.39
"2012-07-30",59.35,60.04,59.02,59.82,2544800,57.64
"2012-07-31",59.52,59.82,59.08,59.1,4061400,56.95
"2012-08-01",59.2,59.71,58.98,59.1,3284900,56.95
"2012-08-02",58.35,58.56,57.8,58.5,3973400,56.37
"2012-08-03",59.4,60.46,59.18,60.25,3080200,58.06
"2012-08-06",60.65,60.73,60.07,60.13,1870800,57.94
"2012-08-07",60.41,61.29,60.15,60.77,1872200,58.56
"2012-08-08",60.52,61.18,60.2,61.04,2171400,58.82
"2012-08-09",60.89,61.25,60.52,60.77,1825600,58.56
"2012-08-10",60.56,60.84,60.04,60.73,1653000,58.52
"2012-08-13",60.48,60.61,59.87,60.42,1253800,58.22
"2012-08-14",60.7,60.86,60.27,60.43,1347000,58.23
"2012-08-15",60.29,61.28,60.16,60.97,2047000,58.75
"2012-08-16",61,61.77,60.77,61.55,1906700,59.31
"2012-08-17",61.79,62.1,61.35,62.05,1727500,59.79
"2012-08-20",61.95,62.06,61.56,61.69,2084800,59.45
"2012-08-21",61.9,63.05,61.78,62.2,2767800,59.94
"2012-08-22",61.96,62.68,61.69,62.16,2060400,59.9
"2012-08-23",62.11,62.19,61.7,61.83,1853300,59.58
"2012-08-24",61.64,62.39,61.64,62.05,1365200,59.79
"2012-08-27",62.34,62.71,62,62.01,2366000,59.75
"2012-08-28",61.85,62.43,61.67,61.97,1986200,59.72
"2012-08-29",62.15,62.82,62.14,62.57,1259100,60.29
"2012-08-30",62.1,62.26,61.65,62.04,1177600,59.78
"2012-08-31",62.3,62.74,61.95,62.16,1513000,59.9
"2012-09-04",62.03,62.54,61.8,62.34,1441200,60.07
"2012-09-05",62.22,62.46,61.84,61.84,1349100,59.59
"2012-09-06",61.98,63.13,61.94,63.01,3421400,60.72
"2012-09-07",63.29,64,63.09,63.8,2548500,61.48
"2012-09-10",64.16,64.81,63.86,63.88,2781400,61.56
"2012-09-11",64.03,64.37,63.79,63.96,2276300,61.63
"2012-09-12",64.16,64.61,63.95,64.15,2159100,61.82
"2012-09-13",64.02,65.92,63.66,65.74,4091200,63.35
"2012-09-14",65.84,67.04,64.92,66.78,4270600,64.35
"2012-09-17",66.48,66.75,65.45,65.66,2412400,63.27
"2012-09-18",65.66,66.14,65.41,65.67,2425200,63.28
"2012-09-19",65.67,66.49,65.47,66.16,3368000,63.75
"2012-09-20",65.64,65.89,65.09,65.74,2806100,63.35
"2012-09-21",66.42,66.52,65.84,65.85,4485900,63.46
"2012-09-24",65.46,65.98,65.35,65.59,2090600,63.2
"2012-09-25",65.65,66.11,64.54,64.54,3349200,62.19
"2012-09-26",64.62,64.76,63.45,63.51,5162800,61.2
"2012-09-27",63.73,64.27,63.4,63.83,2698800,61.51
"2012-09-28",63.55,63.59,62.99,63.1,3503400,60.81
"2012-10-01",63.47,63.81,62.64,62.76,2890200,60.48
"2012-10-02",63.54,64.15,63.33,63.94,4219900,61.61
"2012-10-03",64.2,64.6,63.9,64.38,2519400,62.04
"2012-10-04",64.77,64.93,64.34,64.75,3578900,62.4
"2012-10-05",65.25,65.73,64.56,64.8,3288500,62.44
"2012-10-08",64.42,64.8,64.26,64.49,1503400,62.14
"2012-10-09",64.55,64.77,64.33,64.4,2905900,62.06
"2012-10-10",64.74,64.83,64.35,64.55,2391100,62.2
"2012-10-11",65.1,65.19,64.75,64.95,2384200,62.59
"2012-10-12",63.33,63.9,62.27,62.73,3984600,60.82
"2012-10-15",62.99,63.14,62.35,62.93,3014500,61.02
"2012-10-16",61.3,61.6,59.94,60.4,10576300,58.56
"2012-10-17",60.01,60.16,59.01,59.77,11395900,57.95
"2012-10-18",59.73,60.33,59.64,59.84,5057100,58.02
"2012-10-19",59.83,59.91,59.18,59.42,3281200,57.61
"2012-10-22",59.26,59.41,58.55,59.09,3140600,57.29
"2012-10-23",58.33,58.8,58.04,58.64,4315300,56.86
"2012-10-24",58.99,59.11,57.94,58,4008300,56.24
"2012-10-25",58.5,58.73,57.74,58.44,4653200,56.66
"2012-10-26",58.42,58.53,57.65,57.76,2895700,56
"2012-10-31",57.96,58.47,57.52,58.2,2699200,56.43
"2012-11-01",58.16,59.33,57.77,59.25,3956300,57.45
"2012-11-02",59.73,59.75,59,59.19,3094000,57.39
"2012-11-05",58.93,58.93,57.7,58.73,3011800,56.94
"2012-11-06",58.88,59.65,58.81,59.08,4008000,57.28
"2012-11-07",58.25,58.33,56.41,56.6,7921500,54.88
"2012-11-08",56.75,57.65,56.25,56.25,3646400,54.54
"2012-11-09",56.11,56.81,56.02,56.26,2661500,54.55
"2012-11-12",56.51,56.74,56.12,56.31,1507200,54.6
"2012-11-13",55.89,56.33,54.87,54.96,5579100,53.29
"2012-11-14",55.15,55.25,53.4,53.69,7488400,52.06
"2012-11-15",53.82,54.8,53.75,54.37,5109900,52.72
"2012-11-16",54.47,54.57,53.36,54.34,6198100,52.69
"2012-11-19",55.07,55.41,54.64,54.91,3257800,53.24
"2012-11-20",54.88,55.47,54.65,54.8,3798200,53.13
"2012-11-21",54.83,54.98,54.27,54.81,2915200,53.14
"2012-11-23",55.01,55.78,54.84,55.75,1734800,54.06
"2012-11-26",55.49,55.66,55.04,55.55,2861500,53.86
"2012-11-27",55.47,55.93,54.96,55.03,2947700,53.36
"2012-11-28",54.75,55.38,54.37,55.35,3136200,53.67
"2012-11-29",55.48,55.74,55.21,55.35,2294500,53.67
"2012-11-30",55.46,56.36,55.25,56.14,4378900,54.43
"2012-12-03",56.38,56.46,55.14,55.31,4484500,53.63
"2012-12-04",55.17,55.56,54.34,55.08,4250700,53.41
"2012-12-05",55.42,56.38,55.37,55.89,4416200,54.19
"2012-12-06",55.9,55.94,55.02,55.33,3861100,53.65
"2012-12-07",55.71,55.86,55.33,55.8,4521500,54.1
"2012-12-10",55.7,56.02,55.49,55.88,3364900,54.18
"2012-12-11",55.92,56.67,55.77,56.24,3711000,54.53
"2012-12-12",56.35,56.99,56.2,56.7,4329300,54.98
"2012-12-13",56.56,56.81,56.37,56.54,3851800,54.82
"2012-12-14",56.36,56.81,55.75,55.85,3557900,54.15
"2012-12-17",56.2,57.92,56.06,57.87,3844400,56.11
"2012-12-18",57.9,59.58,57.57,59.52,9490300,57.71
"2012-12-19",59.88,59.88,58.63,58.63,4391800,56.85
"2012-12-20",58.63,59.21,58.55,59.17,3746800,57.37
"2012-12-21",58.11,58.7,57.71,58.31,5403700,56.54
"2012-12-24",58.23,58.68,58.12,58.57,1315600,56.79
"2012-12-26",58.62,58.77,57.66,58.05,2169200,56.29
"2012-12-27",58.06,58.28,57.37,57.95,2467100,56.19
"2012-12-28",57.47,58.15,57.39,57.46,1729100,55.71
"2012-12-31",57.42,58.32,57.2,58.31,2640400,56.54
"2013-01-02",59.51,59.64,58.96,59.54,4558700,57.73
"2013-01-03",59.54,59.92,59.23,59.75,3822200,57.93
"2013-01-04",59.93,60.57,59.54,60.48,2859900,58.64
"2013-01-07",60.25,61.2,60.08,61.03,3987900,59.17
"2013-01-08",60.81,60.88,60.05,60.25,2875300,58.42
"2013-01-09",59,60.56,58.96,60.17,6196700,58.34
"2013-01-10",60.5,61.15,60.25,61.14,3386000,59.28
"2013-01-11",60.97,60.97,59.77,60.05,2770300,58.61
"2013-01-14",59.93,60.09,59.22,59.45,3241200,58.02
"2013-01-15",59.12,59.84,59.09,59.77,2553100,58.33
"2013-01-16",59.75,60.08,59.35,59.78,3483000,58.34
"2013-01-17",61.01,62.38,60.7,62.01,7112300,60.52
"2013-01-18",62.26,62.39,61.27,61.84,3564200,60.36
"2013-01-22",61.7,62.25,61.51,62.12,3078600,60.63
"2013-01-23",61.41,61.97,61.41,61.84,3008500,60.36
"2013-01-24",61.93,62.18,61.46,61.86,4158200,60.37
"2013-01-25",62.05,62.38,61.8,61.97,2607600,60.48
"2013-01-28",61.99,62.31,61.44,61.97,2557500,60.48
"2013-01-29",61.33,62.16,61.24,61.91,1989500,60.42
"2013-01-30",61.9,62.03,61.47,61.82,1835100,60.34
"2013-01-31",61.79,62.02,61.43,61.8,2968000,60.32
"2013-02-01",62.22,63.34,62.08,63.2,3416000,61.68
"2013-02-04",62.78,62.98,62.32,62.49,2430300,60.99
"2013-02-05",62.95,63.4,62.67,63.19,2132900,61.67
"2013-02-06",62.67,63.42,62.67,63.34,6757400,61.82
"2013-02-07",63.25,63.85,62.98,63.65,2742900,62.12
"2013-02-08",63.57,63.71,63.23,63.35,2197600,61.83
"2013-02-11",63.49,64.1,63.31,64,2571900,62.46
"2013-02-12",64.15,64.89,63.73,64.77,3038200,63.21
"2013-02-13",64.8,64.82,63.94,64.17,1704200,62.63
"2013-02-14",63.89,64.22,63.7,63.87,2176000,62.34
"2013-02-15",64.16,64.23,63.73,63.87,2413800,62.34
"2013-02-19",63.96,64,63.4,63.51,2933000,61.99
"2013-02-20",63.37,63.57,63.02,63.17,4372300,61.65
