"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2007-04-27",62.78,63.33,62.32,63.27,14448600,60.01
"2007-04-30",63.59,64.33,63.36,64.14,19814500,60.84
"2007-05-01",64.4,65.21,64.17,65.1,17332700,61.75
"2007-05-02",65.62,66.06,64.99,65.07,19022200,61.72
"2007-05-03",65.57,65.65,63.75,63.91,13166900,60.62
"2007-05-04",63.76,63.8,63.08,63.74,11430300,60.46
"2007-05-07",64,64.34,63.7,63.76,6510300,60.48
"2007-05-08",63.55,63.59,62.65,62.66,14057700,59.43
"2007-05-09",62.25,63.22,62.21,63.1,9582200,59.85
"2007-05-10",62.1,62.72,57.18,57.33,45943500,54.38
"2007-05-11",54.25,56.32,53.55,56.3,53636800,53.4
"2007-05-14",56.15,57.1,55.59,56.07,18810200,53.18
"2007-05-15",52.36,54.02,52.36,54.01,67983500,51.23
"2007-05-16",54.18,55.37,54.11,54.33,17813500,51.53
"2007-05-17",54.16,54.45,53.37,53.68,14182900,50.92
"2007-05-18",53.52,54.5,53.5,54.04,14810700,51.26
"2007-05-21",55.05,55.15,54.04,54.18,13562700,51.39
"2007-05-22",54.29,54.48,53.69,53.96,11410100,51.18
"2007-05-23",54.63,55.11,54.29,54.74,17075000,51.92
"2007-05-24",55.08,55.19,54.3,54.57,14429100,51.76
"2007-05-25",54.05,54.56,54.02,54.55,11472100,51.74
"2007-05-29",54.75,54.75,54.2,54.61,7618800,51.8
"2007-05-30",54.53,55.35,54.5,55.26,12579500,52.42
"2007-05-31",55.17,56.92,55.06,56.45,18948100,53.54
"2007-06-01",56.52,57.33,56.5,56.94,12117100,54.01
"2007-06-04",56.56,57.04,56.25,56.91,11562500,53.98
"2007-06-05",56.86,57.8,56.6,57.61,13685700,54.64
"2007-06-06",57.4,57.53,56.76,57.29,10347700,54.34
"2007-06-07",57,57.29,56.58,56.64,17636000,53.72
"2007-06-08",56.26,57.52,56.22,57.37,10809300,54.42
"2007-06-11",57,57.88,56.86,57.41,8179000,54.45
"2007-06-12",57.28,57.73,57.1,57.46,12180600,54.5
"2007-06-13",57.37,58.2,57.28,58.14,11213400,55.15
"2007-06-14",58.28,58.53,58.14,58.23,13010900,55.23
"2007-06-15",58.64,59.31,58.57,59.03,14402400,55.99
"2007-06-18",58.8,58.81,57.85,58.61,11354100,55.59
"2007-06-19",58.61,58.69,57.82,58.13,11552800,55.14
"2007-06-20",58.1,58.7,57.58,57.7,12025100,54.73
"2007-06-21",57.58,58.2,56.98,57.27,14105600,54.32
"2007-06-22",56.71,57.15,55.96,55.96,17973300,53.08
"2007-06-25",55.41,56.18,55.4,55.86,12443700,52.98
"2007-06-26",55.81,55.91,54.95,55.1,18835500,52.26
"2007-06-27",54.83,55.56,54.62,55.5,12000800,52.64
"2007-06-28",55.23,56.04,55.08,55.31,8258900,52.46
"2007-06-29",55.71,55.79,54.82,55.29,9595700,52.44
"2007-07-02",55.4,55.83,54.78,55.24,10779900,52.4
"2007-07-03",55.21,55.47,54.98,55.19,4463500,52.35
"2007-07-05",54.8,55.04,54.65,54.86,11122900,52.04
"2007-07-06",54.71,54.9,54.49,54.82,5841400,52
"2007-07-09",54.58,55.06,54.42,54.55,6938700,51.74
"2007-07-10",54.5,54.89,54.29,54.29,14175900,51.5
"2007-07-11",54.53,55.22,54.34,55.13,12221900,52.29
"2007-07-12",55.08,55.96,54.99,55.95,9264900,53.07
"2007-07-13",56.99,57.67,56.75,56.93,13244800,54
"2007-07-16",56.79,57.25,55.86,56.03,9156000,53.15
"2007-07-17",55.33,55.74,55.12,55.59,12039700,52.73
"2007-07-18",55.44,56.07,55.39,55.8,9029000,52.93
"2007-07-19",55.82,56.16,54.73,55.57,7495700,52.71
"2007-07-20",55.67,56.73,55.23,56.18,13928200,53.29
"2007-07-23",56.93,57.25,56.65,56.8,10326600,53.88
"2007-07-24",56.65,57.55,56.25,56.44,10456900,53.53
"2007-07-25",56.68,57.73,56.2,57.16,11603900,54.22
"2007-07-26",56.51,57.28,55.76,56.16,16671100,53.27
"2007-07-27",56.8,56.83,55.23,55.62,13140400,52.76
"2007-07-30",55.41,56.6,55.4,56.19,8029900,53.3
"2007-07-31",55.75,55.92,53.68,53.74,28078500,50.97
"2007-08-01",52.46,52.67,50.3,52.09,27714600,49.41
"2007-08-02",52.09,52.53,51.28,51.44,11050200,48.79
"2007-08-03",51.26,51.62,50.83,50.9,10746900,48.28
"2007-08-06",50.9,51.99,50.9,51.77,10255100,49.1
"2007-08-07",51.2,51.99,50.96,51.39,11656900,48.74
"2007-08-08",51.53,52,50.75,52,10734700,49.32
"2007-08-09",51.6,52.5,50.98,50.99,11271500,48.37
"2007-08-10",50.37,50.92,49.71,50.08,14413700,47.5
"2007-08-13",51.05,51.98,50.89,51.26,10331400,48.62
"2007-08-14",51.26,51.95,51.15,51.32,8339200,48.68
"2007-08-15",50.91,51.65,50.49,50.59,21209500,47.99
"2007-08-16",49.49,50.01,48.54,49.41,17405400,46.87
"2007-08-17",49.59,50.1,48.3,50.08,17597000,47.5
"2007-08-20",49.81,50.51,49,49.79,9450600,47.23
"2007-08-21",49.25,49.98,49.09,49.24,8204600,46.71
"2007-08-22",49.56,49.59,48.8,49.3,10811000,46.76
"2007-08-23",49.16,51,49.16,50.25,11249700,47.66
"2007-08-24",50.38,50.47,50,50.27,8330100,47.68
"2007-08-27",49.81,50.78,49.5,49.92,5361300,47.35
"2007-08-28",49.59,49.92,49.01,49.01,9514700,46.49
"2007-08-29",49.88,50.26,49.06,50.19,14028800,47.61
"2007-08-30",49.5,50.48,49.5,50.08,8693000,47.5
"2007-08-31",50.09,50.5,50,50.11,8929300,47.53
"2007-09-04",50.27,51.46,50.11,51.34,9014400,48.7
"2007-09-05",53.23,53.39,52.11,52.32,20417400,49.63
"2007-09-06",52.65,52.79,51.8,52.01,10949600,49.33
"2007-09-07",51.17,52.2,50.67,50.9,13801900,48.28
"2007-09-10",50.85,51.76,50.85,51.04,6786100,48.41
"2007-09-11",51.08,54.38,51,53.88,22311000,51.11
"2007-09-12",55.22,56.82,54.65,55.64,27971900,52.78
"2007-09-13",55.8,57.27,55.75,57.12,18552100,54.18
"2007-09-14",56.88,56.88,55.89,56.32,8891300,53.42
"2007-09-17",55.65,55.99,54.51,55.46,10125100,52.6
"2007-09-18",55.41,56.07,54.38,56.01,11513500,53.13
"2007-09-19",56,56.59,55.5,55.8,9915500,52.93
"2007-09-20",55.28,55.71,55.12,55.31,6959600,52.46
"2007-09-21",55.45,55.98,55.31,55.42,9383400,52.57
"2007-09-24",54.95,55.75,54.77,55.29,8193400,52.44
"2007-09-25",55.08,55.53,54.55,54.88,8120400,52.05
"2007-09-26",55.12,56.77,55.08,56.08,10346500,53.19
"2007-09-27",56.52,56.9,56.04,56.56,7090600,53.65
"2007-09-28",56.96,57.74,55.58,56.57,11709100,53.66
"2007-10-01",56.38,56.72,56.12,56.41,5830200,53.51
"2007-10-02",56.34,56.42,55.55,56.04,5143300,53.16
"2007-10-03",55.92,56.38,55.18,55.52,8798400,52.66
"2007-10-04",55.44,55.7,55.06,55.39,7712300,52.54
"2007-10-05",55.85,57.21,55.8,56.84,9800500,53.91
"2007-10-08",56.42,57,56.25,56.58,4984300,53.67
"2007-10-09",56.53,57.17,56.3,57.08,8560700,54.14
"2007-10-10",57.04,57.9,57,57.62,9335200,54.65
"2007-10-11",57.84,58.31,57.63,57.83,8960300,54.85
"2007-10-12",57.9,58.88,57.29,58.17,8096800,55.18
"2007-10-15",58.95,59.08,57.45,57.67,10386500,54.7
"2007-10-16",57.48,57.81,56.66,56.78,9027600,53.86
"2007-10-17",57.31,57.31,55.27,56.41,8264500,53.51
"2007-10-18",56.28,56.96,56.02,56.71,6639300,53.79
"2007-10-19",56.62,56.82,55.78,55.95,10966900,53.07
"2007-10-22",55.74,56.3,55.5,56.12,6664600,53.23
"2007-10-23",56.17,57.99,55.57,57.7,18268200,54.73
"2007-10-24",57.8,58.57,56.99,58.13,14128300,55.14
"2007-10-25",58.21,58.83,56.71,57.31,10747800,54.36
"2007-10-26",57.44,58.09,56.57,57.18,7456600,54.24
"2007-10-29",56.8,57.34,55.86,56.79,9183800,53.87
"2007-10-30",56.33,57.12,56.25,57.06,8641800,54.12
"2007-10-31",56.85,58.18,56.78,58.11,10150700,55.12
"2007-11-01",57.89,58.48,56.96,57.24,10237600,54.29
"2007-11-02",57.5,57.5,56.22,56.62,13718000,53.71
"2007-11-05",56.26,57.57,55.69,57.46,9851900,54.5
"2007-11-06",56.98,57.9,56.98,57.89,7081400,54.91
"2007-11-07",57.22,57.85,56.15,56.2,9819300,53.31
"2007-11-08",56.96,57.07,55.98,56.03,11789700,53.15
"2007-11-09",55.9,55.95,54.01,54.28,11779900,51.49
"2007-11-12",53.98,55.32,53.78,54.5,8577500,51.69
"2007-11-13",54.12,54.5,53.09,54.44,11023900,51.64
"2007-11-14",53.68,54.25,53.26,53.63,9316800,50.87
"2007-11-15",54.33,55.19,54.05,54.79,12225300,51.97
"2007-11-16",55.08,55.97,54.5,55.49,16627700,52.63
"2007-11-19",55.2,55.78,54.52,54.66,7917700,51.85
"2007-11-20",54.59,55.4,53.27,54.13,9059700,51.34
"2007-11-21",53.5,53.94,52.59,52.84,8839200,50.12
"2007-11-23",52.93,53.8,52.92,53.76,3096200,50.99
"2007-11-26",53.27,53.94,52.66,52.68,6118000,49.97
"2007-11-27",52.76,54.02,52.57,54.02,8013600,51.24
"2007-11-28",53.46,54.76,53.13,54.71,9516400,51.89
"2007-11-29",54.8,55.58,54.37,55.46,7075000,52.6
"2007-11-30",55.65,56.13,55.22,55.25,9850900,52.41
"2007-12-03",53.7,55.2,53.67,55.09,9557900,52.25
"2007-12-04",54.8,55.53,54.6,54.91,7437500,52.08
"2007-12-05",54.91,55.26,54.29,54.89,9949600,52.06
"2007-12-06",54.63,55.19,53.95,55.15,6104000,52.31
"2007-12-07",54.13,54.18,52.02,52.1,19205100,49.42
"2007-12-10",50.8,50.99,49.62,50.99,19065000,48.37
"2007-12-11",50.92,50.92,49.6,49.78,11574800,47.22
"2007-12-12",50.32,50.76,49.52,49.99,9223600,47.42
"2007-12-13",49.65,49.93,49.1,49.42,8698300,46.88
"2007-12-14",49.15,49.37,48.25,48.4,11493200,45.91
"2007-12-17",48.02,48.13,46.71,46.78,15010200,44.37
"2007-12-18",46.82,47.69,46.8,47.29,10876300,44.86
"2007-12-19",46.97,47.3,46.84,47.19,12844200,44.76
"2007-12-20",47.27,47.73,47.03,47.56,12259900,45.11
"2007-12-21",47.83,48.15,47.57,48.02,15730600,45.55
"2007-12-24",47.45,48.24,47.04,48.16,6696800,45.68
"2007-12-26",47.54,47.86,47.09,47.5,6797000,45.05
"2007-12-27",47.23,47.75,47.11,47.36,6340600,44.92
"2007-12-28",47.24,47.36,46.9,47.06,5453600,44.64
"2007-12-31",46.84,46.88,46.21,46.44,7226000,44.05
"2008-01-02",46.6,47.04,46.26,46.6,7934400,44.2
"2008-01-03",46.43,47.1,45.25,45.69,11976300,43.34
"2008-01-04",46.29,46.29,44.6,44.8,10310400,42.49
"2008-01-07",44.71,45.76,44.55,45.39,8529200,43.05
"2008-01-08",45.72,47.95,45.35,46.33,20974900,43.94
"2008-01-09",46.6,48,46.25,47.65,12052500,45.2
"2008-01-10",47.44,47.78,47.09,47.56,8819900,45.11
"2008-01-11",47.31,48,47.26,47.62,9080900,45.17
"2008-01-14",47.61,48.35,47.38,47.93,7262200,45.46
"2008-01-15",47.65,48.45,47.33,47.38,8801600,44.94
"2008-01-16",47.51,48.25,47.35,47.49,11853800,45.05
"2008-01-17",47.34,48.32,47.06,47.42,10171700,44.98
"2008-01-18",46.93,48.02,46.93,47.45,14816100,45.01
"2008-01-22",45.32,46.67,45.3,45.4,16253100,43.06
"2008-01-23",44.53,45.4,43.93,44.75,18863800,42.45
"2008-01-24",44.15,46.13,44,46.12,17014500,43.75
"2008-01-25",47.73,48.91,47.49,48.14,24854500,45.66
"2008-01-28",47.72,48.34,47.51,47.86,15075600,45.4
"2008-01-29",47.99,48.21,47.51,48,9554200,45.53
"2008-01-30",47.9,48.02,47.24,47.28,9047700,44.85
"2008-01-31",47.04,47.09,46.29,46.59,14666800,44.19
"2008-02-01",46.31,47.46,46.16,47.36,10087900,44.92
"2008-02-04",47.4,47.74,47.14,47.18,6929700,44.75
"2008-02-05",46.43,47.03,46.21,46.31,9218100,43.93
"2008-02-06",46.95,47.17,46.31,46.53,7858800,44.13
"2008-02-07",46.34,47.05,46.1,46.73,9152900,44.32
"2008-02-08",46.27,47.18,46.23,46.56,12304500,44.16
"2008-02-11",46.03,46.68,46,46.38,8998900,43.99
"2008-02-12",46.45,47.21,46.4,46.54,7679500,44.14
"2008-02-13",46.5,47.25,46.31,47.06,8933500,44.64
"2008-02-14",47.42,47.5,46.71,46.77,6882300,44.36
"2008-02-15",46.5,46.72,46.25,46.64,8805100,44.24
"2008-02-19",47.17,47.64,46.84,46.86,8743700,44.45
"2008-02-20",46.7,47.6,46.58,47.35,10057400,44.91
"2008-02-21",47.58,47.58,46.52,46.74,11603900,44.33
"2008-02-22",47.48,47.48,46.01,46.43,7689800,44.04
"2008-02-25",46.63,47.02,46.06,46.75,7117100,44.34
"2008-02-26",46.88,48.2,46.53,47.82,8496300,45.36
"2008-02-27",46.9,47.15,46.52,46.6,11314200,44.2
"2008-02-28",46.32,46.5,45.5,45.53,10248500,43.19
"2008-02-29",45,45.7,43.72,45.52,17399400,43.18
"2008-03-03",45.59,46.69,45.01,45.51,10884000,43.17
"2008-03-04",45.03,45.89,45.01,45.64,6661500,43.29
"2008-03-05",45.65,46.31,44.84,45.25,8630500,42.92
"2008-03-06",45,45.43,44.16,44.24,8970300,41.96
"2008-03-07",44.13,44.74,43.5,44.18,10734900,41.91
"2008-03-10",44.43,45.04,43.5,44.68,13902400,42.38
"2008-03-11",43.26,44.73,43.14,44.62,16295900,42.32
"2008-03-12",44.37,45.89,44.37,44.99,12868800,42.67
"2008-03-13",44.85,48.55,43.83,47.18,31329000,44.75
"2008-03-14",46.51,46.95,44.18,44.46,20226500,42.17
"2008-03-17",44.4,44.68,43.02,43.08,18971000,40.86
"2008-03-18",42.95,43.02,40.35,41.21,21296500,39.09
"2008-03-19",40.92,41.77,39.83,39.97,17439700,37.91
"2008-03-20",40.16,40.22,39.16,40.11,17844400,38.05
"2008-03-24",40.03,41.2,39.9,40.98,10920700,38.87
"2008-03-25",41.23,41.49,40.59,40.84,10013700,38.74
"2008-03-26",40.6,42.09,40.58,42,13604400,39.84
"2008-03-27",42.09,42.09,41.41,41.49,8553200,39.35
"2008-03-28",41.77,41.87,41.37,41.45,8477700,39.32
"2008-03-31",41.56,41.88,41.34,41.78,9899200,39.63
"2008-04-01",42.11,42.23,41.28,42.16,8515600,39.99
"2008-04-02",42.09,42.48,41.76,42.45,6493500,40.26
"2008-04-03",41.38,41.91,41.32,41.57,9462900,39.43
"2008-04-04",41.93,42.36,41.5,41.53,7004900,39.39
"2008-04-07",42,42,41.2,41.49,9762200,39.35
"2008-04-08",41.25,41.94,41.23,41.49,7975300,39.35
"2008-04-09",41.69,41.9,41.26,41.59,7386000,39.45
"2008-04-10",43.46,44.74,43.26,43.98,14271100,41.72
"2008-04-11",43.84,43.9,42.85,43.01,7495200,40.8
"2008-04-14",42.98,43.37,42.81,42.95,5926500,40.74
"2008-04-15",43.19,43.47,42.68,43.36,6944500,41.13
"2008-04-16",43.31,43.43,43.05,43.41,8071300,41.18
"2008-04-17",43.72,43.73,42.49,42.63,7537300,40.44
"2008-04-18",43.34,43.39,42.73,43.07,7902200,40.85
"2008-04-21",42.72,43.16,42.35,42.61,5850900,40.42
"2008-04-22",42.29,42.71,41.55,42.1,5623200,39.93
"2008-04-23",41.94,42.85,41.93,42.69,4690600,40.49
"2008-04-24",42.81,42.97,41.96,42.4,7908500,40.22
"2008-04-25",42.37,42.43,41.55,42.25,11556000,40.08
"2008-04-28",42.25,42.64,41.83,41.85,7007500,39.7
"2008-04-29",41.94,42.33,41.65,42.13,5144100,39.96
"2008-04-30",42.03,42.47,41.78,41.87,6468000,39.71
"2008-05-01",42.19,43.24,41.77,43.23,6402700,41
"2008-05-02",43.41,43.45,42.45,42.93,7238300,40.72
"2008-05-05",42.93,43.1,42.27,42.79,4436500,40.59
"2008-05-06",42.6,43.14,42.32,43,5092900,40.79
"2008-05-07",42.97,42.97,41.9,42.2,7587400,40.03
"2008-05-08",42.08,42.56,41.9,42.02,6348800,39.86
"2008-05-09",41.67,42.31,41.58,42.05,4046500,39.89
"2008-05-12",41.86,43.05,41.86,42.95,6059700,40.74
"2008-05-13",42.88,42.99,42.25,42.5,5979200,40.31
"2008-05-14",42.44,42.82,42.06,42.2,8027900,40.03
"2008-05-15",42.1,42.26,41.72,42.05,7276800,39.89
"2008-05-16",42.17,42.17,41.63,42.03,8236300,39.87
"2008-05-19",42.02,42.63,41.75,42.34,6456400,40.16
"2008-05-20",42.4,42.92,42.4,42.45,6404600,40.26
"2008-05-21",42.74,42.91,41.99,42.1,7786500,39.93
"2008-05-22",42.19,43.04,42.1,42.77,7823600,40.57
"2008-05-23",42.51,43.08,42.33,42.38,6486200,40.2
"2008-05-27",42.3,43.25,42.26,43.04,9409900,40.82
"2008-05-28",42.51,42.88,42.47,42.82,7617100,40.62
"2008-05-29",42.88,43.88,42.8,43.42,8830400,41.18
"2008-05-30",43.29,44.16,43.23,44.03,8505600,41.76
"2008-06-02",43.92,44.36,43.53,44.22,8460000,41.94
"2008-06-03",44.47,44.5,43.63,44.15,7980000,41.88
"2008-06-04",44,44.58,43.78,44.5,7161000,42.21
"2008-06-05",44.55,45.06,44.3,44.93,8024700,42.62
"2008-06-06",44.75,45.08,44.21,44.24,7834900,41.96
"2008-06-09",44.18,44.59,43.78,44.3,7028400,42.02
"2008-06-10",44.06,44.25,43.69,43.82,7106900,41.56
"2008-06-11",43.36,43.64,42.9,42.95,9339400,40.74
"2008-06-12",43.36,43.66,42.95,43.22,7448900,41
"2008-06-13",43.53,44.21,43.34,43.97,5768800,41.71
"2008-06-16",43.44,44.54,43.44,43.99,5844100,41.73
"2008-06-17",43.86,44.72,43.76,44.39,7447200,42.1
"2008-06-18",44.62,44.72,43.92,44.22,7416400,41.94
"2008-06-19",44.41,45.17,44.25,44.86,8685400,42.55
"2008-06-20",44.76,45.22,44.29,45.17,13889200,42.84
"2008-06-23",45.06,46.11,44.97,45.89,12392400,43.53
"2008-06-24",45.71,46.68,45.68,46.36,9384200,43.97
"2008-06-25",46.31,47.25,46.2,46.82,9391100,44.41
"2008-06-26",46.49,46.89,46.25,46.36,10497200,43.97
"2008-06-27",46.29,47.17,46.13,46.37,25531800,43.98
"2008-06-30",46.59,47.41,46.47,47.16,10093000,44.73
"2008-07-01",46.86,48.67,46.85,48.64,14781000,46.14
"2008-07-02",48.5,49.26,48.28,48.84,14299000,46.33
"2008-07-03",49.32,51,49.16,50.84,11581300,48.22
"2008-07-07",50.6,51.27,49.92,50.27,13700100,47.68
"2008-07-08",50.01,50.7,49.74,50.38,16239700,47.79
"2008-07-09",50.51,51.78,50.51,50.85,11801000,48.23
"2008-07-10",51.34,51.84,50.99,51.69,11752800,49.03
"2008-07-11",51.44,51.95,50.91,51.02,12890300,48.39
"2008-07-14",51.57,51.88,50.74,50.99,10425600,48.37
"2008-07-15",51.32,52.9,51.16,52.66,16566200,49.95
"2008-07-16",52.2,53.24,52.07,52.43,11756400,49.73
"2008-07-17",52.64,53.39,52.49,53.19,10201800,50.45
"2008-07-18",53.17,53.2,52.3,52.56,12499900,49.85
"2008-07-21",53.49,54.31,53.08,53.16,9862900,50.42
"2008-07-22",53.71,54.66,53.41,54.6,12308800,51.79
"2008-07-23",54.57,54.64,53.45,53.92,9478500,51.14
"2008-07-24",53.05,54.5,52.92,53.84,8910800,51.07
"2008-07-25",53.85,54.24,53.38,53.92,9816900,51.14
"2008-07-28",62.07,62.5,59.53,60.48,62533100,57.37
"2008-07-29",63.09,64,61.75,62.28,32980400,59.07
"2008-07-30",61.96,63.07,61.16,62.3,15344700,59.09
"2008-07-31",61.93,63.47,61.84,62.63,12343800,59.41
"2008-08-01",62.31,63.35,62.16,62.78,8617800,59.55
"2008-08-04",63.17,63.99,62.81,63.67,10281000,60.39
"2008-08-05",63.79,63.99,62.81,63.69,10283000,60.41
"2008-08-06",62.88,63.71,62.66,63.49,11568900,60.22
"2008-08-07",63.33,64.23,61.72,62.04,11157900,58.85
"2008-08-08",62.38,63.8,62.18,63.8,7995000,60.52
"2008-08-11",63.02,64.18,62.94,64.01,7245700,60.71
"2008-08-12",63.79,64.04,63.12,63.55,7037900,60.28
"2008-08-13",63.12,64.08,63.05,63.49,7366200,60.22
"2008-08-14",63.82,65.02,63.36,64.21,14714800,60.9
"2008-08-15",64.14,65.6,64.14,65.06,13132000,61.71
"2008-08-18",64.96,65.1,64.16,64.5,9381800,61.18
"2008-08-19",64,64.44,63.77,63.94,7925900,60.65
"2008-08-20",64.05,64.29,63.4,63.57,9584100,60.3
"2008-08-21",63.01,63.91,62.78,63.81,6915300,60.53
"2008-08-22",64.2,64.23,63.5,64.01,6768700,60.71
"2008-08-25",63.43,64.22,63.14,63.96,8369600,60.67
"2008-08-26",63.88,64.5,63.55,63.93,6949400,60.64
"2008-08-27",63.94,64,62.24,63.71,8351500,60.43
"2008-08-28",63.44,64.17,63.44,64.08,10522300,60.78
"2008-08-29",63.66,64.16,62.83,62.85,6727500,59.61
"2008-09-02",63.46,64.22,62.42,62.51,7657800,59.29
"2008-09-03",62.67,63.23,62.06,63.1,7207100,59.85
"2008-09-04",62.98,63.53,60.88,60.88,8933900,57.75
"2008-09-05",60.49,61.22,59.63,60.41,9757500,57.3
"2008-09-08",60.51,60.92,59.24,59.78,12198400,56.7
"2008-09-09",59.68,61.24,59.53,60.51,13646300,57.4
"2008-09-10",60.85,62.71,60.38,62.1,11072900,58.9
"2008-09-11",61.71,63.45,61.5,63.39,12081900,60.13
"2008-09-12",63.06,63.45,62.31,62.87,9507200,59.63
"2008-09-15",61.83,63.43,61.3,62.19,14707200,58.99
"2008-09-16",61.79,66.51,61.25,65.89,39118700,62.5
"2008-09-17",64.3,65,61.54,61.73,19793100,58.55
"2008-09-18",62.02,63.14,58.16,59.99,23891100,56.9
"2008-09-19",61.82,63,59.97,59.97,20283700,56.88
"2008-09-22",59.4,59.99,57.48,57.56,10244400,54.6
"2008-09-23",57.76,59.48,57.57,57.57,7776900,54.61
"2008-09-24",57.72,58.99,57.33,58.38,8469800,55.37
"2008-09-25",58.72,60,58.14,59.93,11733300,56.84
