"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2010-05-28",69.78,70.2,67.02,67.98,3170300,64.08
"2010-06-01",67.08,69.1,66.05,66.09,1911800,62.3
"2010-06-02",67.17,69.89,66.16,69.78,2779600,65.78
"2010-06-03",71.22,72,69.14,70.54,3427800,66.5
"2010-06-04",69,70,65.5,66.35,4142600,62.55
"2010-06-07",66.52,66.52,62.86,62.94,3060900,59.33
"2010-06-08",63.5,65.5,62.8,65.19,2923400,61.45
"2010-06-09",65.95,67.51,65.4,65.89,3417100,62.11
"2010-06-10",67.57,70.84,67.57,70.48,3982600,66.44
"2010-06-11",69.04,72.43,68.92,72.22,2585100,68.08
"2010-06-14",73.69,74.34,72.08,72.41,2619200,68.26
"2010-06-15",73,75.46,72.98,75.37,2652100,71.05
"2010-06-16",74.62,75.04,74.04,74.51,3103900,70.24
"2010-06-17",75.15,75.2,72.96,73.81,2259000,69.58
"2010-06-18",74.06,74.95,73.35,74.3,2796500,70.04
"2010-06-21",76,77.1,74.33,74.97,3687300,70.67
"2010-06-22",75.01,75.57,72.01,72.21,3050500,68.07
"2010-06-23",72.3,73.85,70.61,73.15,2393800,68.96
"2010-06-24",72.09,72.85,70.75,71.36,2625000,67.27
"2010-06-25",71.85,72.69,70.54,72.59,5343100,68.43
"2010-06-28",72.57,72.76,70.4,70.46,3046100,66.42
"2010-06-29",68.98,69.02,65.5,66.24,4498100,62.44
"2010-06-30",66.19,67.36,65.02,65.13,3268500,61.4
"2010-07-01",64.87,66.64,63.24,64.82,5136200,61.11
"2010-07-02",65.01,65.67,63.71,64.24,3766900,60.56
"2010-07-06",65.86,66.3,63.04,63.57,3913900,59.93
"2010-07-07",63.69,67.59,63.58,67.41,4362500,63.55
"2010-07-08",68.28,69.2,67.19,68.94,3937700,64.99
"2010-07-09",69,71.64,68.37,71.53,3400900,67.43
"2010-07-12",71.26,71.7,69.87,70.66,3155700,66.61
"2010-07-13",72.35,74.24,71.96,73.73,4266500,69.5
"2010-07-14",73.48,75.38,72.9,74.64,4053000,70.36
"2010-07-15",74.94,74.94,72.05,72.7,4563000,68.53
"2010-07-16",71.78,72.54,69.36,69.5,3625200,65.52
"2010-07-19",70.43,71.01,68.52,70.66,1924400,66.61
"2010-07-20",68.99,72.74,68.82,72.54,2450500,68.38
"2010-07-21",73.5,75.24,72.77,73.15,3241200,68.96
"2010-07-22",75.21,76.36,74.6,75.9,2723800,71.55
