"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2012-06-05",89.61,92.23,89.57,91.87,3293000,90.98
"2012-06-06",93.04,94.96,92.83,94.92,2749500,94
"2012-06-07",96.58,97.4,94.41,95.45,3279500,94.53
"2012-06-08",93.82,94.13,91.76,93.88,2358800,92.97
"2012-06-11",95.35,96.1,91.8,91.93,2084100,91.04
"2012-06-12",92.61,94.37,92.23,94.17,1928400,93.26
"2012-06-13",93.79,95.23,92.02,92.7,2879700,91.8
"2012-06-14",92.9,94.95,92.22,94.46,2549600,93.55
"2012-06-15",94.89,96.78,93.91,96.64,2899300,95.71
"2012-06-18",96.03,96.17,94.36,94.73,2246300,93.81
"2012-06-19",95.69,96.32,94.58,95.95,2251100,95.02
"2012-06-20",96.14,96.77,92.14,92.94,3099500,92.04
"2012-06-21",92.85,93.27,86.34,86.48,5959500,85.64
"2012-06-22",87.69,87.97,85.87,87.62,3315200,86.77
"2012-06-25",85.69,85.88,83.66,84.9,3089600,84.08
"2012-06-26",84.92,85.56,82.48,83.96,3709900,83.15
"2012-06-27",84.25,86.17,84.08,85.73,5036900,84.9
"2012-06-28",85.2,85.84,83.89,85.16,4022100,84.34
"2012-06-29",87.95,90.26,87.57,90.11,4970700,89.24
"2012-07-02",89.54,89.94,87.54,88.94,1715700,88.08
"2012-07-03",90,95,90,94.89,2838600,93.97
"2012-07-05",94.08,94.5,91.76,92,2050800,91.11
"2012-07-06",89.77,91.35,89.07,90.64,1712100,89.76
"2012-07-09",90.41,92.87,90.19,91.49,2357500,90.61
"2012-07-10",91.47,91.96,88.75,89.35,2352100,88.49
"2012-07-11",89.71,92.62,89.71,91.88,2693100,90.99
"2012-07-12",90.16,91.84,89.09,91.05,2934800,90.17
"2012-07-13",91.37,93.08,91.2,92.93,1845200,92.2
"2012-07-16",92.43,93.84,91.29,93.24,1799500,92.51
"2012-07-17",94.18,95.43,92.33,95.24,2547500,94.5
"2012-07-18",94.85,97.43,94.55,96.7,2558700,95.94
"2012-07-19",97.19,98.63,96.77,98.25,3074900,97.48
"2012-07-20",97.47,99.29,96.25,99.23,2748100,98.45
"2012-07-23",96.63,97.48,94.23,97.2,3235200,96.44
"2012-07-24",97.29,97.9,94.41,95.5,1858000,94.75
"2012-07-25",96.49,96.73,94.21,95.69,1512200,94.94
"2012-07-26",97.34,98.58,96.26,97.42,2020900,96.66
"2012-07-27",97.97,101.47,97.45,101.01,2395100,100.22
"2012-07-30",100.68,101.62,98.43,99.56,1689200,98.78
"2012-07-31",99.42,99.9,97.95,98.01,1618900,97.24
"2012-08-01",98.93,101.19,97.04,100.45,2246300,99.66
"2012-08-02",98.13,99.13,95.28,96.12,2483700,95.37
"2012-08-03",103.06,108.75,102.14,106.75,5258700,105.92
"2012-08-06",106.97,107.33,105.51,105.74,2520100,104.91
"2012-08-07",105.73,109.5,105.57,108.74,2488100,107.89
"2012-08-08",107.42,109.06,107.41,107.9,1899200,107.06
"2012-08-09",107.53,110.8,107.43,109.41,2075400,108.55
"2012-08-10",108.11,110.36,108,109.99,1501100,109.13
"2012-08-13",110.9,110.9,108.82,109.3,1331600,108.45
"2012-08-14",110.26,111.11,109.71,110.35,1943300,109.49
"2012-08-15",109.68,110.73,108.97,109.82,1494600,108.96
"2012-08-16",109.76,111.08,109.4,110.99,1518600,110.12
"2012-08-17",110.5,111.36,110.1,111.19,1318300,110.32
"2012-08-20",111.51,111.56,109.17,109.57,1292100,108.71
"2012-08-21",110.28,110.85,108.27,108.77,1536900,107.92
"2012-08-22",108.55,109.2,107.1,108.91,1552700,108.06
"2012-08-23",108.75,109.18,106.44,107.01,1432300,106.17
"2012-08-24",106.96,109.18,106.57,108.91,2185200,108.06
"2012-08-27",108.98,109.96,108.16,109.17,1408100,108.32
"2012-08-28",109.24,109.92,108.04,108.82,1757300,107.97
"2012-08-29",108.88,108.98,107.47,108.05,1290100,107.21
"2012-08-30",107.45,107.45,105.45,105.89,1281400,105.06
"2012-08-31",106.99,108.61,106.1,108.3,1710100,107.45
"2012-09-04",108.26,109.75,107.19,109.32,2072100,108.47
"2012-09-05",109.08,109.51,108.45,108.54,1587100,107.69
"2012-09-06",109.82,113.21,109.6,112.41,2080400,111.53
"2012-09-07",110.95,113.28,110.73,112.88,2352200,112
"2012-09-10",113,114.47,112.09,112.4,1767500,111.52
"2012-09-11",112.81,113.46,111.93,112.43,1666300,111.55
"2012-09-12",112.85,113.94,111.59,112.98,1652500,112.1
"2012-09-13",113.43,116.12,111.8,115.18,1998500,114.28
"2012-09-14",115.74,119.69,115.74,117.62,1928300,116.7
"2012-09-17",117.41,118.23,115.88,116.4,1461100,115.49
"2012-09-18",116.23,116.82,114.57,115.88,1141200,114.97
"2012-09-19",115.66,115.79,113.5,113.57,1644000,112.68
"2012-09-20",112.91,114.08,111.49,113.55,2074000,112.66
"2012-09-21",114.57,114.74,113.25,113.95,2007600,113.06
"2012-09-24",112.6,113.74,112.16,113.21,1246300,112.32
"2012-09-25",113.7,114.41,112.26,112.42,1534200,111.54
"2012-09-26",111.87,112.08,110.4,110.6,1366200,109.74
"2012-09-27",111.76,113.77,111.5,113.2,976900,112.31
"2012-09-28",112.6,113,111.14,112.05,1147700,111.17
"2012-10-01",112.99,114.69,112.91,114.19,1711000,113.3
"2012-10-02",114.79,115.28,113.87,115.14,1808600,114.24
"2012-10-03",114.83,115,110.8,111.08,2119000,110.21
"2012-10-04",111.93,112.25,110.65,111.42,2020600,110.55
"2012-10-05",111.51,112.4,109.5,109.91,1647900,109.05
"2012-10-08",108.86,109.97,108.64,109.82,1131500,108.96
"2012-10-09",109.91,111.8,109.28,111.05,1319400,110.18
"2012-10-10",110.85,111.35,109.19,109.5,1329200,108.64
"2012-10-11",110.41,111.27,109.6,109.83,997500,108.97
"2012-10-12",109.97,110.31,107.87,108.78,1279100,107.93
"2012-10-15",108.66,110.58,107.76,110.25,1489500,109.56
"2012-10-16",111.71,113.89,111.51,113.74,1643100,113.03
"2012-10-17",114.54,115.65,113.57,115.24,1437100,114.52
"2012-10-18",114.54,115.08,113.74,114.75,1085800,114.03
"2012-10-19",114.53,115.45,112.57,113.07,1512000,112.36
"2012-10-22",112.78,112.94,110.43,112.11,1858700,111.41
"2012-10-23",110.07,110.9,109.03,110.16,2000500,109.47
"2012-10-24",110.88,111.54,109.77,110.7,1887100,110.01
"2012-10-25",112.05,112.44,110.91,112.42,1150800,111.72
"2012-10-26",112.29,114.5,112.01,114.09,2231800,113.38
"2012-10-31",114.25,116.57,114.24,116.49,2300900,115.76
"2012-11-01",116.49,118.6,116.04,116.88,1831000,116.15
"2012-11-02",117.77,118.51,114.69,115.2,2503400,114.48
"2012-11-05",114.55,117.07,114.55,116.81,2189500,116.08
"2012-11-06",123.39,124.49,121.3,121.98,4274200,121.22
"2012-11-07",120,120.95,119.33,120,3015900,119.25
"2012-11-08",119.87,120.77,115.71,115.77,2256800,115.04
"2012-11-09",115.63,116.77,114.45,114.52,2492300,113.8
"2012-11-12",115.09,115.6,113.44,114.76,1088800,114.04
"2012-11-13",113.9,117.14,113.69,115.28,1942400,114.56
"2012-11-14",115.38,115.9,113,113.36,1550000,112.65
"2012-11-15",113.44,116.55,113.32,116.16,2379000,115.43
"2012-11-16",117.25,117.46,114.79,116.67,2628900,115.94
"2012-11-19",118.21,120.8,117.82,118.61,1993000,117.87
"2012-11-20",118.39,118.54,116.55,117.4,1314700,116.66
"2012-11-21",117.79,118.54,117.4,118.14,1115100,117.4
"2012-11-23",118.5,119.15,117.65,118.99,584400,118.24
"2012-11-26",117.45,117.83,115.6,116.65,1251200,115.92
"2012-11-27",115.54,116.06,114.44,115.08,2559200,114.36
"2012-11-28",114.09,116.59,112.72,116.35,1611600,115.62
"2012-11-29",117.6,118.42,116.81,117.64,1419000,116.9
"2012-11-30",117.4,118.41,117.05,117.62,1448600,116.88
"2012-12-03",118.24,119.1,117.13,117.24,1286200,116.51
"2012-12-04",116.94,118,116.69,117.18,900700,116.45
"2012-12-05",117.5,119.55,117.34,118.72,1720600,117.98
"2012-12-06",118.29,118.75,117,118.36,1208300,117.62
"2012-12-07",118.71,118.71,116.93,117.35,1335200,116.61
"2012-12-10",117.2,117.86,116.57,117.73,1066200,116.99
"2012-12-11",118.32,119.5,117.97,118.73,1358000,117.99
"2012-12-12",119.2,121.37,118.72,120.74,1811300,119.98
"2012-12-13",120.31,120.65,118.35,118.51,1894600,117.77
"2012-12-14",118.38,119.8,118.04,118.99,1200900,118.24
"2012-12-17",119.39,120.98,118.78,120.97,1249800,120.21
"2012-12-18",121.08,124.25,121,123.92,1848100,123.14
"2012-12-19",123.6,124.02,122.44,122.45,1519400,121.68
"2012-12-20",122.79,124.5,122.4,124.37,1526800,123.59
"2012-12-21",122.42,124.16,121.88,123.57,2333200,122.8
"2012-12-24",123.11,124.2,122.68,122.77,780400,122
"2012-12-26",123.14,123.15,121.22,121.55,1048200,120.79
"2012-12-27",121.98,122.15,119.56,121.63,1598300,120.87
"2012-12-28",120.56,120.93,118.5,118.61,1098100,117.87
"2012-12-31",118.11,120.98,118,120.79,1780900,120.03
"2013-01-02",123.4,123.68,121.44,123.68,1832600,122.9
"2013-01-03",123.49,125.49,122.47,124.18,1464200,123.4
"2013-01-04",124.23,126.25,123.95,125.8,1259300,125.01
"2013-01-07",125.21,126.1,124.15,125.99,1428900,125.2
"2013-01-08",125.75,125.99,123.18,124.14,1561200,123.36
"2013-01-09",124.36,125.17,123.69,124.63,877600,123.85
"2013-01-10",125.4,126.13,124.56,126.1,1138500,125.31
"2013-01-11",126.06,126.45,125,125.63,1132300,124.84
"2013-01-14",125.65,126.28,124.23,124.66,1023400,123.88
"2013-01-15",124.01,125.5,123.75,125.1,1673500,124.49
"2013-01-16",124.83,125.5,124.39,125.37,1504900,124.75
"2013-01-17",126,126.55,124.89,126.03,1724500,125.41
"2013-01-18",126.34,127.08,125.22,126.79,1766400,126.17
"2013-01-22",126.95,127.34,124.9,126.5,1915700,125.88
"2013-01-23",126.16,126.59,124.5,124.75,1141000,124.14
