"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2009-08-31",66.92,67.59,64.59,64.84,3604100,64.84
"2009-09-01",64.8,65.78,63.1,63.63,2476500,63.63
"2009-09-02",63.48,64.68,63.36,64.3,2450200,64.3
"2009-09-03",64.26,66,63.73,65.88,1887200,65.88
"2009-09-04",65.32,65.91,64.46,65.57,1758300,65.57
"2009-09-08",64.65,65.59,64.27,65.43,3020900,65.43
"2009-09-09",65.02,66.85,65.02,66.63,2526600,66.63
"2009-09-10",66.67,67.32,66.15,67.3,1602500,67.3
"2009-09-11",67.5,67.5,65.48,65.87,1616300,65.87
"2009-09-14",65.86,66.75,65.55,66.6,1917900,66.6
"2009-09-15",66.9,67.91,66.11,67.7,2372200,67.7
"2009-09-16",67.68,67.69,66.14,67.44,2297300,67.44
"2009-09-17",67.41,69.4,66.73,69.27,3686400,69.27
"2009-09-18",69.64,69.64,68.2,69.02,6392000,69.02
"2009-09-21",68.83,74.77,68.23,74.74,6864200,74.74
"2009-09-22",73.18,73.5,70.7,71.32,4803900,71.32
"2009-09-23",71.71,71.75,70.36,70.51,1742400,70.51
"2009-09-24",70.54,71.23,69.75,70.51,1792400,70.51
"2009-09-25",70.65,71.63,70.13,70.65,1731400,70.65
"2009-09-28",70.79,71.86,69.81,71.07,1552500,71.07
"2009-09-29",70.07,73.76,70.07,72.61,2227600,72.61
"2009-09-30",72.62,74.38,71.68,73.67,3087200,73.67
"2009-10-01",74.59,74.6,71.98,72.37,2145100,72.37
"2009-10-02",71.53,72,70.75,71,2298800,71
"2009-10-05",70.9,71.16,70.15,70.97,1422100,70.97
"2009-10-06",71.18,72.6,70.71,71.36,2055800,71.36
"2009-10-07",71.25,73.23,70.88,73.1,1949700,73.1
"2009-10-08",73.76,74.93,73.14,74.23,2210000,74.23
"2009-10-09",74.92,74.92,73.25,73.95,1248200,73.95
"2009-10-12",73.95,74.66,73.22,73.5,969100,73.5
"2009-10-13",73.52,73.61,72.75,73.47,1751700,73.47
"2009-10-14",73.53,75.54,71.59,75.32,3787200,75.32
"2009-10-15",75.32,76.86,74.22,74.6,2988000,74.6
"2009-10-16",74.67,74.82,73.09,73.98,1839300,73.98
"2009-10-19",73.98,74.81,72.93,73.91,1828100,73.91
"2009-10-20",74.64,75.6,72.5,75.52,1938300,75.52
"2009-10-21",75.01,76.69,74.99,75.39,1895600,75.39
"2009-10-22",73.93,76.28,71.93,74.81,3586700,74.81
"2009-10-23",73.97,75.31,73.84,74.03,1377700,74.03
"2009-10-26",73.76,75.1,72.83,73.2,1867000,73.2
"2009-10-27",73.18,74.37,72.16,72.97,7601100,72.97
"2009-10-28",61.98,64.95,58.84,60.06,24251600,60.06
"2009-10-29",60.88,61.74,56.63,58.15,10112700,58.15
"2009-10-30",57.6,59.12,56.37,57.1,7095200,57.1
"2009-11-02",57.72,58.42,56.93,57.36,3357600,57.36
"2009-11-03",57.3,58.34,57,57.29,3106500,57.29
