"","PCP.Open","PCP.High","PCP.Low","PCP.Close","PCP.Volume","PCP.Adjusted"
"2007-08-10",133,135.38,119.51,134.62,2804500,133.74
"2007-08-13",134.41,137.14,132.09,133.88,1404400,133.01
"2007-08-14",132.55,133.41,125.62,126.8,2124600,125.98
"2007-08-15",125.67,127.5,123.05,124.4,1715500,123.59
"2007-08-16",121.9,122,110.82,119.1,4528800,118.33
"2007-08-17",122.45,132.78,121.58,131.5,3107700,130.64
"2007-08-20",130,132.89,126.04,130.13,1693900,129.28
"2007-08-21",129.71,131.65,128.02,129.2,1149700,128.36
"2007-08-22",132.04,136.72,130.63,136.19,1244100,135.3
"2007-08-23",137.42,138.45,133.05,134.73,1044600,133.85
"2007-08-24",135.26,138.81,134.3,138.72,1128600,137.82
"2007-08-27",137.46,139.41,136.13,137.99,910700,137.09
"2007-08-28",137.71,137.97,131.2,131.63,1317100,130.77
"2007-08-29",132.85,134.77,132.62,133.29,1147500,132.42
"2007-08-30",131.28,132.83,128.67,130.68,1733900,129.83
"2007-08-31",131.94,133.27,129.33,130.31,2057900,129.46
"2007-09-04",130.94,133.47,130.51,132.73,1488900,131.87
"2007-09-05",131.37,132.33,129.22,132.16,1760800,131.33
"2007-09-06",132.5,133.87,130.27,132.4,846100,131.57
"2007-09-07",129.86,133,126.77,127.67,1549700,126.87
"2007-09-10",129.07,129.65,124.36,127.46,1696300,126.66
"2007-09-11",128.07,134.26,126.73,132.64,1562300,131.81
"2007-09-12",132.05,132.5,129.77,130.75,1044000,129.93
"2007-09-13",131.97,131.97,129.25,129.73,915600,128.92
"2007-09-14",128.8,132.63,127.72,131.71,1105100,130.88
"2007-09-17",131.3,132.25,130.32,130.92,765100,130.1
"2007-09-18",131.96,139.03,131.75,138.63,1662500,137.76
"2007-09-19",138.88,140.47,135.58,137,1275000,136.14
"2007-09-20",137.92,144.46,137,144.03,2041200,143.13
"2007-09-21",144.93,147.25,143.98,146.44,1394700,145.52
"2007-09-24",147.66,148.24,143.31,144.32,1179500,143.41
"2007-09-25",143.33,149.4,142.4,149.09,1125700,148.15
"2007-09-26",150.4,151,145.91,147.13,1e+06,146.21
"2007-09-27",149,149.42,145.04,147.83,937400,146.9
"2007-09-28",148.46,150,146.59,147.98,1038300,147.05
"2007-10-01",149.53,152.48,148.02,149.84,1464700,148.9
"2007-10-02",150.4,151.85,146.17,148.62,1022600,147.69
"2007-10-03",147,148.41,144.7,145.59,878100,144.68
"2007-10-04",146.4,147.51,144.18,146.27,673900,145.35
"2007-10-05",147.91,160.73,144.53,148.79,1357100,147.86
"2007-10-08",149.36,150.61,147.73,148.93,629600,147.99
"2007-10-09",148.79,152.77,148.11,151.9,784300,150.95
"2007-10-10",153.36,154.99,145.01,147.48,2889700,146.55
"2007-10-11",149.44,149.44,144.7,145.45,1356200,144.54
"2007-10-12",145.05,146.25,141.6,143.28,1239500,142.38
"2007-10-15",143.56,145.28,140.15,141.51,1375400,140.62
"2007-10-16",140.99,144.77,140.15,143.98,1276100,143.08
"2007-10-17",146.03,148.43,145.13,147.56,1403700,146.63
"2007-10-18",146.57,149.92,146.57,147.44,656900,146.51
"2007-10-19",147.5,147.96,142.35,142.51,886100,141.62
"2007-10-22",140.32,143.28,137,141.68,1554200,140.79
"2007-10-23",138.84,150.49,133.58,147.21,2547900,146.29
"2007-10-24",145.53,150.41,144.63,150.04,1575900,149.1
"2007-10-25",149.75,150.99,148,150.1,1128600,149.16
"2007-10-26",150.85,150.97,147.23,148.84,758200,147.91
"2007-10-29",149.88,151.95,148.53,149.65,1042400,148.71
"2007-10-30",149.7,150,147.42,147.93,735700,147
"2007-10-31",149,149.93,146.56,149.81,927600,148.87
"2007-11-01",149.39,150.71,147.68,148.06,1768000,147.13
"2007-11-02",149.05,151.18,147.21,150,1021900,149.06
"2007-11-05",147.24,150.92,147.24,149.17,769700,148.23
"2007-11-06",149.05,153.74,149.05,153.72,1073200,152.75
"2007-11-07",153.67,153.67,148.52,148.52,1003500,147.59
"2007-11-08",149.24,150.77,146.21,147.68,1309900,146.75
"2007-11-09",145.44,148.94,143.85,144.15,1404000,143.24
"2007-11-12",142.84,143.78,137.39,137.87,1109400,137
"2007-11-13",137.87,139.72,134.07,139.03,2166800,138.16
"2007-11-14",140,144.35,139.96,140.74,1486700,139.86
"2007-11-15",140.46,140.46,134.76,135.83,1288300,134.98
"2007-11-16",136.6,138.04,133.68,135.01,1124900,134.16
"2007-11-19",135.99,136.62,132.1,133.01,1198600,132.17
"2007-11-20",133,136.9,131.01,133.41,1489600,132.57
"2007-11-21",132.05,135.84,131.76,133.09,962600,132.25
"2007-11-23",134.24,137.08,133.75,137.08,306700,136.22
"2007-11-26",137.36,142.06,136.8,137.38,1039700,136.52
"2007-11-27",138.37,140.06,136.13,138.67,1312200,137.8
"2007-11-28",139.99,148.66,138.18,148.66,1260100,147.73
"2007-11-29",149.48,149.48,145.1,146.3,889600,145.38
"2007-11-30",149.09,150,145.65,147.34,1702200,146.41
"2007-12-03",148.73,152.48,147.68,151.36,1488000,150.41
"2007-12-04",150.16,151.62,148.57,148.67,1121700,147.74
"2007-12-05",150.35,152.7,148.37,149.63,766100,148.72
"2007-12-06",150.43,150.82,148.56,150.35,810900,149.44
"2007-12-07",150.93,150.93,148.48,150.07,729800,149.16
"2007-12-10",150.79,154.5,150.44,152.06,935500,151.14
"2007-12-11",152.6,152.96,144.28,144.91,1126000,144.03
"2007-12-12",147.2,151.75,145.78,147.66,1371700,146.76
"2007-12-13",146.64,147.8,144.95,146.62,820600,145.73
"2007-12-14",146.67,148.01,145.04,145.66,640300,144.77
"2007-12-17",145,145.29,138.21,138.39,1270900,137.55
"2007-12-18",139.67,141.63,137,139.79,1072300,138.94
"2007-12-19",139.5,140,135.49,137.99,982000,137.15
"2007-12-20",139.28,139.58,135.92,137.6,764600,136.76
"2007-12-21",138.99,141.56,138,141.24,1431900,140.38
"2007-12-24",141.09,142.78,140.13,141.88,309700,141.02
"2007-12-26",142.07,142.07,139.83,140.5,660800,139.65
"2007-12-27",139.51,140.37,136.9,138.86,767900,138.02
"2007-12-28",139.14,140.9,137.82,138.54,570400,137.7
"2007-12-31",138.01,140,137,138.7,746900,137.86
"2008-01-02",138.7,141,136.17,137.93,1064900,137.09
"2008-01-03",138.11,142.94,138.11,142.57,1106800,141.7
"2008-01-04",141.5,141.5,135.73,135.73,1031300,134.9
"2008-01-07",136,137.54,127.35,128.44,1853300,127.66
"2008-01-08",128.83,129.7,122.58,123.06,3235600,122.31
"2008-01-09",120.27,122.96,114.56,120.62,3893200,119.89
"2008-01-10",119.48,128.14,116.24,126.64,2329500,125.87
"2008-01-11",125.73,127.67,122.75,123.53,1742900,122.78
"2008-01-14",124.01,126.39,122.64,124.5,1331300,123.74
"2008-01-15",123.21,126.85,116.14,117.24,2527000,116.53
"2008-01-16",116.83,118.68,111.33,111.75,3641600,111.07
"2008-01-17",113.23,115.05,107.65,107.99,2296800,107.33
"2008-01-18",108.3,117,108.3,116,3250600,115.29
"2008-01-22",102.37,113.98,102.37,106.9,3685200,106.25
"2008-01-23",103.69,108.24,95.42,107.71,5171600,107.06
"2008-01-24",108.25,111.47,105.59,107.03,3076200,106.38
"2008-01-25",108.27,110.81,105.42,106.62,2538700,105.97
"2008-01-28",106.56,106.79,98.15,100.75,3508900,100.14
"2008-01-29",101.5,108.74,99.89,108.33,3105000,107.67
"2008-01-30",108.08,113.1,105.11,110.05,3199100,109.38
"2008-01-31",108.53,114.74,105.25,113.8,2831400,113.11
"2008-02-01",113.61,118.09,113.61,115.81,2272400,115.11
"2008-02-04",115.84,116.74,113.97,115,1100600,114.3
"2008-02-05",112.76,114.18,110,112.3,1629400,111.62
"2008-02-06",112.84,113.45,108.24,108.8,2019900,108.14
"2008-02-07",107.99,110.69,106.33,110,2213800,109.33
"2008-02-08",109.65,109.74,106.11,108.65,1556200,107.99
"2008-02-11",108.7,111.67,107.59,109.95,1541200,109.28
"2008-02-12",111.52,118.82,111.52,115.69,2758300,114.99
"2008-02-13",117.53,118.2,114.63,118.07,1244500,117.35
"2008-02-14",118.34,118.48,115.65,116.41,1443800,115.7
"2008-02-15",116.29,117.09,114.24,116.38,1432900,115.67
"2008-02-19",117.8,119.43,116.39,116.87,1563100,116.16
"2008-02-20",116,118,114.72,117.31,1222100,116.6
"2008-02-21",117.95,118.83,114.97,115.41,1050800,114.71
"2008-02-22",115.66,116.91,112.75,115.94,829800,115.24
"2008-02-25",115.78,117.1,113.77,115.94,1852200,115.24
"2008-02-26",115.16,115.98,111.22,115.77,2595800,115.07
"2008-02-27",115.47,117.33,113.75,116.02,1381800,115.31
"2008-02-28",115.42,116,113.59,115.48,1113100,114.78
"2008-02-29",113.99,114.58,109.83,110.39,1324200,109.72
"2008-03-03",109.57,110.55,107.63,109.18,1528200,108.52
"2008-03-04",107.21,108.49,103.26,106,2620200,105.36
"2008-03-05",104.2,107.86,103.62,105.68,1575800,105.07
"2008-03-06",105.37,107.48,104.84,106.25,1424700,105.63
"2008-03-07",105.2,106.34,102.58,104,2338000,103.4
"2008-03-10",103.19,103.87,99.11,99.9,2409900,99.32
"2008-03-11",101.04,104.75,97.1,101.18,3232900,100.59
"2008-03-12",101.6,101.6,95.75,96.07,3053500,95.51
"2008-03-13",94.93,99.94,92.66,99.51,3661200,98.93
"2008-03-14",100.04,102.89,96.73,97.78,3399300,97.21
"2008-03-17",93.82,97.45,93.09,95.83,1748700,95.27
"2008-03-18",97.85,102.06,96,102.06,2619900,101.47
"2008-03-19",102.35,104,96.7,96.7,1765400,96.14
"2008-03-20",95.87,97.89,93.75,97.39,2101600,96.83
"2008-03-24",97.39,102.21,97.25,100.94,1914600,100.35
"2008-03-25",100.94,102.64,99.8,101.9,1152900,101.31
"2008-03-26",100.52,102.5,99.83,101.7,1167800,101.11
"2008-03-27",101.7,103.73,100.67,101.61,1721600,101.02
"2008-03-28",102.15,104,100.72,101.35,1282300,100.76
"2008-03-31",101.51,102.96,94.63,102.08,1493800,101.49
"2008-04-01",101.59,107.89,101.59,107.83,1829300,107.2
"2008-04-02",107.88,109.85,107.88,109.26,1595000,108.63
"2008-04-03",108.82,109.4,107.37,109.4,1533800,108.77
"2008-04-04",109.35,112.07,109,111.08,1556200,110.44
"2008-04-07",112.74,112.74,109.28,109.8,761900,109.16
"2008-04-08",108.38,108.79,106.72,108.21,1414900,107.58
"2008-04-09",109,114.63,109,112.21,2227000,111.56
"2008-04-10",112,114.12,110.5,113.61,1617200,112.95
"2008-04-11",111.07,112.49,109.51,110.25,1801200,109.61
"2008-04-14",109.5,112.11,108.47,110.64,1129000,110
"2008-04-15",110.9,111.27,107.2,108.37,1470100,107.74
"2008-04-16",109.57,112.81,109.4,112.65,1175100,112
"2008-04-17",113.65,113.97,110.76,112.49,849300,111.84
"2008-04-18",114.61,117.64,113.44,115.59,1780200,114.92
"2008-04-21",115.59,117.5,115.59,116.91,1113100,116.23
"2008-04-22",112.81,115,110.07,111.43,1573800,110.78
"2008-04-23",112.01,114.99,110.78,111.16,1803900,110.52
"2008-04-24",110.34,115.99,110.34,115.21,1487400,114.54
"2008-04-25",115.01,121,115.01,120.59,2048700,119.89
"2008-04-28",122.52,122.64,120.3,120.55,1557600,119.85
"2008-04-29",120.4,120.77,117.35,118.67,1301700,117.98
"2008-04-30",118.67,119.56,116.85,117.56,1663300,116.88
"2008-05-01",116.77,119.42,115.56,119,1360400,118.31
"2008-05-02",120.42,121.66,119.83,121.41,1249700,120.71
"2008-05-05",119.95,121.02,118.73,120,1377200,119.3
"2008-05-06",118.12,131.38,116.5,128.2,4370700,127.46
"2008-05-07",128,129.99,124.12,125.31,2008200,124.58
"2008-05-08",126.03,127.14,124.7,126.66,1190500,125.93
"2008-05-09",125.17,126.15,123.9,124.5,1068600,123.78
"2008-05-12",124.26,124.96,122.09,124.82,941300,124.1
"2008-05-13",125.4,127.3,124.97,126.5,956900,125.77
"2008-05-14",126.81,126.99,125,125.32,1279000,124.59
"2008-05-15",125.87,125.97,124.38,125.85,1033200,125.12
"2008-05-16",125.85,126.17,124.24,125.28,926700,124.55
"2008-05-19",125.14,125.98,124.26,125,1414900,124.28
"2008-05-20",124.25,124.68,121.69,123.32,891700,122.61
"2008-05-21",123.13,124.5,116.73,117.3,1591600,116.62
"2008-05-22",117.69,118.04,114.26,114.74,2078700,114.07
"2008-05-23",114.16,115.31,113.15,114.73,1240000,114.06
"2008-05-27",115.36,117.91,114.43,117.58,1382900,116.9
"2008-05-28",118.5,119.32,117.39,119,1015500,118.31
"2008-05-29",118.54,119.25,116.73,118.18,942800,117.49
"2008-05-30",119,121.63,117.92,120.8,1850900,120.1
"2008-06-02",120.76,120.76,118.1,118.38,1155400,117.69
"2008-06-03",119.04,120.47,113.78,113.98,1968400,113.32
"2008-06-04",112.36,113.2,109.92,110.69,2325200,110.08
"2008-06-05",109.94,110.86,108.9,110.58,1771400,109.97
"2008-06-06",109.67,109.86,103.41,104,4986000,103.42
"2008-06-09",103.6,106,103.49,104.91,1660000,104.33
"2008-06-10",103.96,104.4,100.53,100.7,2950600,100.14
"2008-06-11",101.56,102,97.89,98.34,3091400,97.8
"2008-06-12",98.66,105.47,98.66,104.09,3193400,103.51
"2008-06-13",104.62,107.21,102.85,103.67,2349600,103.1
"2008-06-16",102.77,104.8,101.68,103.26,1440000,102.69
"2008-06-17",103.58,103.59,101.97,102.83,2158100,102.26
"2008-06-18",101.63,107.43,101.16,106.61,2716100,106.02
"2008-06-19",107,110,106.43,109.57,1836300,108.96
"2008-06-20",109.24,110.72,107.96,110.55,2641500,109.94
"2008-06-23",110.5,110.97,108.68,109.93,1344100,109.32
"2008-06-24",109,110.98,107.5,109.04,1157700,108.44
"2008-06-25",105,105,101.96,103.72,3616500,103.15
"2008-06-26",102.01,103.91,99.95,100.42,1988900,99.86
"2008-06-27",100.33,100.8,96.59,99.05,3330900,98.5
"2008-06-30",99.01,99.46,96.3,96.37,2244200,95.84
"2008-07-01",95.75,98.78,94.72,98.53,2404600,97.98
"2008-07-02",98.05,99.8,93.56,93.78,2132300,93.26
"2008-07-03",93.86,95.21,91.92,94.3,1189700,93.78
"2008-07-07",94.55,98.94,93.18,95.22,2192100,94.69
"2008-07-08",96.21,98.91,95.13,98.74,2196800,98.19
"2008-07-09",100.02,100.02,96.91,97.26,1869300,96.72
"2008-07-10",95.98,98.9,93.54,98.58,1936700,98.03
"2008-07-11",97.24,97.24,92.25,94.26,2854600,93.74
"2008-07-14",95.21,96.86,93.1,94.11,1501600,93.59
"2008-07-15",93.12,93.25,89,91.12,2313200,90.62
"2008-07-16",91.41,97.13,90.73,97.13,1893700,96.59
"2008-07-17",96.31,101.72,95.99,101.34,2827900,100.78
"2008-07-18",101.61,103.19,100,100.61,1746100,100.05
"2008-07-21",102.04,103.78,101.07,103.53,2301500,102.96
"2008-07-22",101.08,104,96.06,102.58,3094600,102.01
"2008-07-23",102.91,103.42,97.64,98.92,2247700,98.37
"2008-07-24",98.65,100.15,91.06,91.58,2352600,91.07
"2008-07-25",92.13,96.65,92.13,96.19,1893700,95.66
"2008-07-28",96.8,97.19,92.28,92.28,1154300,91.77
"2008-07-29",92.8,96.81,92.8,95.89,951300,95.36
"2008-07-30",96.42,98.81,94.45,96.47,1157700,95.94
"2008-07-31",95.62,97.2,93.29,93.43,1236900,92.91
"2008-08-01",93.48,93.75,91.85,92.76,834000,92.25
"2008-08-04",92.55,93.16,91.15,91.71,915000,91.2
"2008-08-05",91.92,97.62,91.28,97.62,1645300,97.08
"2008-08-06",96.43,98.02,95.38,97.37,948900,96.83
"2008-08-07",96.49,96.93,93.66,94.48,871900,93.96
"2008-08-08",94.23,100.25,94.04,99.31,1349500,98.76
"2008-08-11",99.25,99.27,97.01,98.17,989200,97.63
"2008-08-12",97.6,98.22,95.98,96.8,1098000,96.26
"2008-08-13",96.63,96.63,94.38,96.17,941100,95.64
"2008-08-14",94.58,99.35,94.21,98.87,1772300,98.32
"2008-08-15",97,100.1,97,99.71,1503700,99.16
"2008-08-18",100.37,102.06,99.21,100.39,1439600,99.83
"2008-08-19",99.82,100.93,98.59,99.01,1782400,98.46
"2008-08-20",100.23,100.23,97.39,98.38,1610400,97.84
"2008-08-21",97.77,98.49,96.64,98.05,1049600,97.51
"2008-08-22",98.31,100.58,97.95,99.67,1416400,99.12
"2008-08-25",99.64,99.64,96,97.71,833500,97.17
"2008-08-26",96.94,98.55,96.49,98.34,873400,97.8
"2008-08-27",98.02,99.77,97.74,99.74,681500,99.19
"2008-08-28",100.98,104.53,100.51,104.23,1791200,103.65
"2008-08-29",103.47,104.33,102.8,103.26,1107400,102.69
"2008-09-02",103.82,108.21,101.83,103.06,1166800,102.49
"2008-09-03",102.45,103.84,100,101.36,1377100,100.83
"2008-09-04",101.34,101.99,96.52,97.89,2411400,97.38
"2008-09-05",96.87,98.83,96.31,98.14,840100,97.63
"2008-09-08",101.2,101.54,96.41,99.03,2103800,98.51
"2008-09-09",98.69,101.01,97.08,97.29,1687600,96.78
"2008-09-10",98.06,99.73,96.6,98.76,1640600,98.24
"2008-09-11",97.66,100.92,96.25,99.99,1390000,99.47
"2008-09-12",98.84,103.25,98.84,103.05,1559400,102.51
"2008-09-15",99.84,101.1,98.36,98.46,1435900,97.94
"2008-09-16",96.99,100,94.6,98.53,2063300,98.01
"2008-09-17",96.22,97,87.67,88.63,3455100,88.17
"2008-09-18",89.84,92.07,77.17,88.15,4098600,87.69
"2008-09-19",92.01,94.86,81.46,88.4,2906600,87.94
"2008-09-22",87.74,87.74,83.97,83.97,1647800,83.53
"2008-09-23",84.09,85.67,81.51,82.05,1496700,81.62
"2008-09-24",82.58,84.98,81.2,84.09,1918000,83.65
"2008-09-25",84,85.05,82.05,82.64,2317100,82.21
"2008-09-26",81,81.64,79.56,81.38,1578300,80.95
"2008-09-29",79.74,80.47,76.3,77.74,2865300,77.33
"2008-09-30",79.92,80.33,76.41,78.78,2514100,78.37
"2008-10-01",77.67,78.15,73.87,76.54,1904900,76.14
"2008-10-02",75.7,76.35,69.53,70.01,1788400,69.64
"2008-10-03",71.78,73.5,70.15,70.61,2487600,70.24
"2008-10-06",69.04,69.04,63.33,66.19,2906900,65.84
